idiom,meaning,instance,label,maxVote,gold_0,gold_1,AssignmentId,WorkerId,TimeMe
blow his own horn,to talk about oneself or one's achievements especially in a way that shows pride or too much pride,he never hesitates to blow his own horn about his accomplishments,figurative,figurative,figurative,figurative,"['3KYQYYSHYBNVR763OCYIQ5J3O91DO0', '386PBUZZXVD0O83YLG411MAMYOTJL3']","['APGX2WZ59OWDN', 'APRZ7BR8C0ZMQ']","[80.226, 76.096]"
blow your own trumpet,to say things that makes your own self or kin look good,he was always blowing his own trumpet about his accomplishments,figurative,figurative,figurative,figurative,"['3NQL1CS157OTF2ARLK7AYINC2Q4YVV', '3IOEN3P9SNZBA6KN8NST83W3EC516A']","['A2A6FH0F7LD9ND', 'A2TBXASXZIRNNW']","[101.669, 26.319]"
blue blood,a member of an upper-class family,they were considered a blue blood family due to their aristocratic lineage,figurative,figurative,figurative,figurative,"['36AHBNMV17S7LLA5UZ7GSWH52J0DYB', '33NF62TLXZIP42LG0GS0MMX79OOJK0']","['A2TBXASXZIRNNW', 'APRZ7BR8C0ZMQ']","[48.95, 48.352]"
blue eyed boy,a person who is treated with special favor.,"he was the blue-eyed boy of the company, always receiving praise and promotions",figurative,figurative,figurative,figurative,"['3J4Q2Z4UTEJXLPJAKKVC7Y3OAQPQWU', '33CKWXB73Z0G3KJQ2HGCD75M61P11C']","['A2TBXASXZIRNNW', 'APRZ7BR8C0ZMQ']","[29.084, 39.803]"
blue eyed boy,a person who is treated with special favor.,the child with striking azure irises was the blue-eyed boy in the family,literal,literal,literal,literal,"['3BQU611VF50GHUPGA7AY7J5O2P1992', '326O153BMYE9FGTEUYVMLTPPK7VDEW']","['A2A6FH0F7LD9ND', 'APRZ7BR8C0ZMQ']","[57.594, 51.402]"
bone to pick,having a complaint that needs to be discussed.,he had a bone to pick with her after she made a snide comment about his work,figurative,figurative,figurative,figurative,"['3FPRZHYEPENSZZD3WZEK8ORZTPA3VV', '3VAR3R6G15HJACAC74N24D52DI48OP']","['A2A6FH0F7LD9ND', 'AX8NXTT8QMGHC']","[98.008, 40.558]"
bone to pick,having a complaint that needs to be discussed.,the dog had a bone to pick with her when she tried to take it away,literal,tie,literal,discard,"['3D4CH1LGEQ9VW4COODG8Z0RB62VG9Z', '333U7HK6IPVHQWF68Z6DI92HPFRJDN']","['A290OV59Q76QC8', 'APGX2WZ59OWDN']","[92.342, 55.866]"
bread and butter,to indicate what a person earns or earns for,"on the table, there was their bread and butter ready for breakfast",literal,literal,literal,literal,"['379J5II414WSDSH67FTA46XUTGXLEK', '3LEP4MGT3WGB8DHUK7TWKLJ4HAIDBW']","['A290OV59Q76QC8', 'A2TBXASXZIRNNW']","[44.438, 24.391]"
break a leg,good luck,"during the play, the actor accidentally tripped and managed to break a leg on stage",literal,literal,literal,literal,"['3X3OR7WPZFGB4R7FUC7ACW18IDZ8L8', '3137ONMDKWLCR035WOWURESMXZBGE9']","['A290OV59Q76QC8', 'AX8NXTT8QMGHC']","[64.597, 34.92]"
break down,to stop working,"let me break down the situation for you, so you can understand the complexity",figurative,figurative,figurative,figurative,"['304SM51WAJKHA20CHXOLFK54IDSBSO', '3NPI0JQDA4LKTWE1P2BCK96F10LTPG']","['A2LMQ4497NMK3S', 'A2TBXASXZIRNNW']","[172.073, 33.21]"
break the mould,to do something different from what is expected,her innovative ideas were breaking the mould in the industry,figurative,figurative,figurative,figurative,"['3TEM0PF1QLDAOQEKMRW704NLQ6LD0A', '3Q5C1WP232HFR2K934IOGXI3IHU15U']","['A1HKYY6XI2OHO1', 'A2A6FH0F7LD9ND']","[98.12, 35.374]"
buckle down,make sure something stays in place,"with the deadline approaching, we had to buckle down to work and finish the project",figurative,figurative,figurative,figurative,"['3LYA37P8I63JMJN4COFJOYEU1JFBK7', '39N5ACM9HU319H5NRW6VT9537TIP9C']","['A290OV59Q76QC8', 'A2A6FH0F7LD9ND']","[46.569, 75.92]"
build bridges,to foster good relationships,"as a mediator, my goal is to build bridges between them and resolve their conflicts",figurative,figurative,figurative,figurative,"['3AMW0RGHOTIMYJ9HS6P0BA0NCIZNP9', '3NQL1CS157OTF2ARLK7AYINC2Q4VYS']","['A2LMQ4497NMK3S', 'A38DXFI1TZA295']","[48.634, 32.856]"
building blocks,something that is a basic element (of the subject),hard work and dedication are the building blocks of success,figurative,figurative,figurative,figurative,"['3P59JYT7610O1PDVN400OWYMQQTT2T', '3LUY3GC63FGXVYHUCZ8BFDEXC3UP70']","['APGX2WZ59OWDN', 'APRZ7BR8C0ZMQ']","[83.361, 58.14]"
building blocks,something that is a basic element (of the subject),the children used wooden cubes as the building blocks of success in their tower construction,literal,literal,literal,literal,"['3JZQSN0I36Q4XE31RZG09WDM90QGFR', '31QTRG6Q29TGAIDVZ8YBSQYUG23YPA']","['A2TBXASXZIRNNW', 'A38DXFI1TZA295']","[27.937, 35.751]"
bull's eye,the center of a target,his speech hit the bull's eye and addressed the main issue,figurative,figurative,figurative,figurative,"['36W0OB37HCUO2RPCCHSPXO5505XZHX', '34J10VATJVEFKUZ5V3RX67UGVFRIQF']","['A2A6FH0F7LD9ND', 'A2TBXASXZIRNNW']","[52.524, 47.956]"
bun in the oven,to be pregnant,she excitedly announced that she has a bun in the oven and is expecting a baby,figurative,figurative,figurative,figurative,"['339ANSOTRLIT9R1AIY70ALI7W9ZIKN', '3IGI0VL64N04DJXGD6CLMAVX2D3ONT']","['APRZ7BR8C0ZMQ', 'AX8NXTT8QMGHC']","[26.273, 37.648]"
bun in the oven,to be pregnant,the baker has a bun in the oven and it will be ready in a few minutes,literal,literal,literal,literal,"['3Z3ZLGNNSYA0URHMA0KA21SRCXUQ3N', '3SKEMFQBZJL0KLPX9CV9XWOTTDU8K5']","['A290OV59Q76QC8', 'A2LMQ4497NMK3S']","[45.827, 139.141]"
burn the candle at both ends,to exhaust someone's energies or resources by leading a hectic life.,"during the experiment, they were burning the candle at both ends to observe the melting rate",literal,literal,literal,literal,"['3L2IS5HSFQYZQOHD9SOULGNMKZRNU5', '3OB0CAO74X5OX1F7GVQ6JHW3UBTYH5']","['A2LMQ4497NMK3S', 'A38DXFI1TZA295']","[148.242, 32.95]"
burn the candle at both ends,to exhaust someone's energies or resources by leading a hectic life.,"working two jobs and studying, she was burning the candle at both ends",figurative,figurative,figurative,figurative,"['39OWYR0EP074J5O1L526GWKQEWGFYO', '34BBWHLWHQRK4RVR7CQ3YWC2JG8WIX']","['A1HKYY6XI2OHO1', 'A38DXFI1TZA295']","[125.195, 42.063]"
bury the hatchet,to stop fighting or arguing or to end old resentments,"after years of rivalry, they decided to bury the hatchet together and become friends",figurative,figurative,figurative,figurative,"['3YDGXNSEOFAF6J0UOK8TQFZXWR548C', '3LWJHTCVCS2VA3XFUVLC3AHOFNZQFW']","['A2A6FH0F7LD9ND', 'A2LMQ4497NMK3S']","[70.601, 146.717]"
bury the hatchet,to stop fighting or arguing or to end old resentments,"during the reenactment, they pretended to bury the hatchet together as a symbol of peace",literal,tie,literal,ambiguous,"['3OE22WJIGY4KTLU5PKGBPAIRPAEQUV', '3VJ40NV2QY328W20A2YXV91PRVPTOZ']","['A2LMQ4497NMK3S', 'A2TBXASXZIRNNW']","[155.034, 61.639]"
butter up,to flatter someone so as to get something in return from them,he tried to butter up the boss by complimenting her outfit,figurative,figurative,figurative,figurative,"['3FPRZHYEPENSZZD3WZEK8ORZTPA3VV', '3VAR3R6G15HJACAC74N24D52DI48OP']","['A2A6FH0F7LD9ND', 'AX8NXTT8QMGHC']","[98.008, 40.558]"
butter up,to flatter someone so as to get something in return from them,it was her job to butter up the boss's toast every morning,literal,literal,literal,literal,"['3Y5140Z9DDWUKIYQVQC86246QJ5PIV', '3K2755HG58J1LUTAP9FS3BAPW8ADFE']","['A2A6FH0F7LD9ND', 'A2TBXASXZIRNNW']","[56.018, 35.237]"
call a spade a spade,this phrase means to say something the way it is,she called a spade a spade when she confronted her friend about her dishonesty,figurative,figurative,figurative,figurative,"['3GDTJDAPVARVA9P0UO8PC9GXIIP8MA', '3JV9LGBJW9UY3RGUQ2ZQWQM011HOGL']","['A2TBXASXZIRNNW', 'APRZ7BR8C0ZMQ']","[38.187, 76.935]"
call names,to insult someone,the kids were calling names at each other during their heated argument,figurative,tie,literal,figurative,"['3KB8R4ZV1UNEKXRLMXU4Q6M1U2YGB9', '3R2PKQ87NCOOZF1D3AKGPYABLEUIMS']","['A38DXFI1TZA295', 'AX8NXTT8QMGHC']","[31.604, 75.791]"
call on,"use courage, reserve, nerve or strength to achieve something","while walking through the hallway, I had to call on the teacher to get her attention",literal,tie,literal,figurative,"['36W0OB37HCUO2RPCCHSPXO5505XZHX', '34J10VATJVEFKUZ5V3RX67UGVFRIQF']","['A2A6FH0F7LD9ND', 'A2TBXASXZIRNNW']","[52.524, 47.956]"
can of worms,"to get into something that is messy, has problems and is unwanted","by asking about his past, she inadvertently opened a can of worms in their conversation",figurative,figurative,figurative,figurative,"['3B837J3LD4C4Q9H1DUABFZA80ZVRSH', '3018Q3ZVOY60QDV7WUOKUZG2ETORAL']","['A2A6FH0F7LD9ND', 'A2TBXASXZIRNNW']","[71.476, 19.786]"
cards are stacked against,"someone is not likely to succeed, especially because the person is not being given a fair chance","in the game of poker, the cards are stacked against them due to the dealer's unfair shuffling",literal,figurative,figurative,figurative,"['3HL8HNGX4LHPI4GTDTAQHFRZ5NW9FU', '39PAAFCOD2GXYGBXBEKBQ1VXNOMVT3']","['A2A6FH0F7LD9ND', 'AX8NXTT8QMGHC']","[62.328, 68.86]"
cash in,to earn out of something in big amounts,"at the casino, she decided to cash in on the opportunity and exchange her chips for money",literal,literal,literal,literal,"['3FQ5JJ51214LNSC1FEKSFTEOI8TNK8', '3L4PIM1GQ9W1MVTAC020XLY9HKRRYV']","['A290OV59Q76QC8', 'A2A6FH0F7LD9ND']","[61.926, 75.256]"
castles in the air,thinking of some impossible task,the artist created a stunning installation of building castles in the air using lightweight materials,literal,literal,literal,literal,"['37QW5D2ZRW2Y8425EL4BOIF3A77S86', '3U0SRXB7CTL7AWPW5YTPG502D0NRN5']","['A2TBXASXZIRNNW', 'APRZ7BR8C0ZMQ']","[35.272, 39.669]"
cat among the pigeons,do or say something that causes trouble and make a lot of people angry or worried,his controversial statement was like a cat among the pigeons in the meeting,figurative,figurative,figurative,figurative,"['3LQ8PUHQF1827102CD43XT2F4SVIHJ', '3TR2532VI5AI5N0RYCYZC3SP8T56JJ']","['A290OV59Q76QC8', 'APRZ7BR8C0ZMQ']","[58.914, 61.83]"
catch napping,"surprise, take unawares.",I walked into the room and caught him napping on the couch,literal,literal,literal,literal,"['308XBLVESYK59N0Z28OGPA08WB9BR0', '3DUZQ9U6S24WJGYIMEFLGWZBL58SVB']","['A1LI3JQS2VBOXC', 'A290OV59Q76QC8']","[45.27, 55.47]"
catch napping,"surprise, take unawares.",the surprise quiz caught him napping and he couldn't answer any questions,figurative,figurative,figurative,figurative,"['3S0TNUHWK9YS6FJNHV9MTJT394X8DS', '3L70J4KAZW26P3C2ETT0PAZYZSXDA1']","['A290OV59Q76QC8', 'A38DXFI1TZA295']","[52.825, 52.609]"
caught in the crossfire,be badly affected by a situation where two people or group are arguing with each other.,"during the heated debate between her friends, she felt caught in the crossfire",figurative,figurative,figurative,figurative,"['3AMW0RGHOTIMYJ9HS6P0BA0NCIZNP9', '3NQL1CS157OTF2ARLK7AYINC2Q4VYS']","['A2LMQ4497NMK3S', 'A38DXFI1TZA295']","[48.634, 32.856]"
child's play,an informal expression meaning something that is easy to do,the playground equipment it was child's play for the kids to enjoy,literal,literal,literal,literal,"['3P529IW9KE1KJ6H22QDGMOIU5HCLF2', '374TNBHA8RB1AUEAZLD0SVO4LYPYQ1']","['A290OV59Q76QC8', 'A2LMQ4497NMK3S']","[38.987, 145.493]"
chill to the bone,to get frightened or scare somebody,the eerie atmosphere of the haunted house left us chilled to the bone,figurative,figurative,figurative,figurative,"['36PW28KO4FCBH9Q2AO4KVSHJZ4YEAV', '3D3VGR7TAGV06SWMNF9A7R2W8JX3R2']","['A2LMQ4497NMK3S', 'A38DXFI1TZA295']","[145.843, 32.004]"
chill wind,to encounter the problems or trouble,"when the news of the layoffs arrived, a chill wind blew through the office",figurative,figurative,figurative,figurative,"['3RSDURM96Q2CDRO5QUI0YEZQ2V1YEP', '3NPFYT4IZSKLX0UMRTMMF3DTD5MGXI']","['A2LMQ4497NMK3S', 'A38DXFI1TZA295']","[166.941, 46.671]"
chip on shoulder,holding a grudge or grievance,he had a chip on his shoulder after being passed over for the promotion,figurative,figurative,figurative,figurative,"['3S96KQ6I92KB4ZBBKTKHKFPQNHIDTM', '3MB8LZR5BV9VZS9G314D21AZDDTLK4']","['A2TBXASXZIRNNW', 'AX8NXTT8QMGHC']","[31.243, 51.454]"
chip on shoulder,holding a grudge or grievance,"while carrying a wooden plank, he accidentally had a chip on his shoulder from a splinter",literal,tie,discard,literal,"['304SM51WAJKHA20CHXOLFK54IDSBSO', '3NPI0JQDA4LKTWE1P2BCK96F10LTPG']","['A2LMQ4497NMK3S', 'A2TBXASXZIRNNW']","[172.073, 33.21]"
clean sweep,an irresistible victory,the janitor made a clean sweep of the classroom floor,literal,literal,literal,literal,"['3LQ8PUHQF1827102CD43XT2F4SVIHJ', '3TR2532VI5AI5N0RYCYZC3SP8T56JJ']","['A290OV59Q76QC8', 'APRZ7BR8C0ZMQ']","[58.914, 61.83]"
clean sweep,an irresistible victory,the team made a clean sweep by winning all the matches in the tournament,figurative,figurative,figurative,figurative,"['35DR22AR5T0K3OIYWEF2W9OK90I3XY', '3HHRAGRYXOLJOHTMCWTG490DXON9OG']","['A2LMQ4497NMK3S', 'A2TBXASXZIRNNW']","[150.503, 31.684]"
clear the air,get rid of all doubts and negative feelings,"after the argument, we cleared the air with her by discussing our feelings",figurative,tie,literal,figurative,"['3CPLWGV3M4F16WTABHT3PK087EI9N1', '3QHK8ZVMI2YU6P5MXORK3YR9QJKBLA']","['A2A6FH0F7LD9ND', 'A2LMQ4497NMK3S']","[75.512, 152.174]"
clear the air,get rid of all doubts and negative feelings,we cleared the air with her by opening the windows to let the smoke out,literal,literal,literal,literal,"['3JZQSN0I36Q4XE31RZG09WDM90QGFR', '31QTRG6Q29TGAIDVZ8YBSQYUG23YPA']","['A2TBXASXZIRNNW', 'A38DXFI1TZA295']","[27.937, 35.751]"
clear the decks,get ready for action.,we cleared the decks for the event by removing all the furniture from the patio,literal,literal,literal,literal,"['3PPTZCWAL601FKOFV7FJ62X6RSTQZK', '36AHBNMV17S7LLA5UZ7GSWH52J0YDW']","['A38DXFI1TZA295', 'APRZ7BR8C0ZMQ']","[35.302, 46.585]"
cloak and dagger,of or characteristic of the activities of spies and undercover agents.,the spy was involved in a cloak and dagger operation to uncover government secrets,figurative,tie,literal,figurative,"['3RYC5T2D7J97DH19LD6HKU5XDFOPRZ', '36DSNE9QZLE8UT6VY8KTT3EGTTYJOK']","['A2A6FH0F7LD9ND', 'A2LMQ4497NMK3S']","[77.538, 158.473]"
close call,a narrow escape from disaster,he had a close call when he narrowly avoided a car accident,figurative,figurative,figurative,figurative,"['31LM9EDVO18QC86JXTKGEEEB3JTJN5', '37QW5D2ZRW2Y8425EL4BOIF3A778SM']","['A2LMQ4497NMK3S', 'A38DXFI1TZA295']","[151.706, 25.551]"
coast is clear,there is no danger in sight or that nobody can see you,"after the security guard left, we knew the coast is clear to enter the building",figurative,figurative,figurative,figurative,"['3RSDURM96Q2CDRO5QUI0YEZQ2V1YEP', '3NPFYT4IZSKLX0UMRTMMF3DTD5MGXI']","['A2LMQ4497NMK3S', 'A38DXFI1TZA295']","[166.941, 46.671]"
coast is clear,there is no danger in sight or that nobody can see you,"looking through the binoculars, the sailor confirmed that the coast is clear of any obstacles",literal,literal,literal,literal,"['34X6J5FLP9EBF5JBDLCXI89G8UGJQS', '3TYCR1GOTSZQON82327NPGYCHM6ZL4']","['A1LI3JQS2VBOXC', 'A38DXFI1TZA295']","[43.09, 40.343]"
coin money,make a great deal of money easily or very quickly.,"as mint workers, they were coining money together at the factory",literal,literal,literal,literal,"['3B837J3LD4C4Q9H1DUABFZA80ZVRSH', '3018Q3ZVOY60QDV7WUOKUZG2ETORAL']","['A2A6FH0F7LD9ND', 'A2TBXASXZIRNNW']","[71.476, 19.786]"
cold feet,loss of courage,"after walking in the snow without proper shoes, she got cold feet",literal,literal,literal,literal,"['3PPTZCWAL601FKOFV7FJ62X6RSTQZK', '36AHBNMV17S7LLA5UZ7GSWH52J0YDW']","['A38DXFI1TZA295', 'APRZ7BR8C0ZMQ']","[35.302, 46.585]"
cold turkey,in a unexpected and sudden way,"she was going cold turkey for her sandwich, but decided to add some cheese",literal,literal,literal,literal,"['35GMH2SV3UX0JDK3K792WN1OOL2EOU', '3IUZPWIU14NBAMLF7FBFBCRFBKXWK8']","['A2A6FH0F7LD9ND', 'APRZ7BR8C0ZMQ']","[97.737, 44.829]"
comb through,to look into something carefully.,she had to comb through the documents to remove the paper clips that got tangled in them,literal,figurative,figurative,figurative,"['33M4IA01QWHCMQ3074GYE7R0FEXRXP', '39OWYR0EP074J5O1L526GWKQEWGYF7']","['A2A6FH0F7LD9ND', 'APRZ7BR8C0ZMQ']","[50.764, 44.89]"
come across,to meet someone,"while researching, I came across the old book that provided valuable information",figurative,tie,literal,figurative,"['37U1UTWH9B2M7P2SZW46Y8A7O5OR8H', '3570Y55XZ5ZAX5KWWP8OYHK2FBGYG6']","['A38DXFI1TZA295', 'APRZ7BR8C0ZMQ']","[62.585, 41.782]"
come clean,to make a disclosure,"after playing in the mud, the kids decided to come clean and took a bath",literal,literal,literal,literal,"['3LYA37P8I63JMJN4COFJOYEU1JFBK7', '39N5ACM9HU319H5NRW6VT9537TIP9C']","['A290OV59Q76QC8', 'A2A6FH0F7LD9ND']","[46.569, 75.92]"
come down with,to have (usually a disease),he came down with something after being exposed to the cold weather,figurative,figurative,figurative,figurative,"['3Z3ZLGNNSYA0URHMA0KA21SRCXUQ3N', '3SKEMFQBZJL0KLPX9CV9XWOTTDU8K5']","['A290OV59Q76QC8', 'A2LMQ4497NMK3S']","[45.827, 139.141]"
come down with,to have (usually a disease),the kite came down with something tangled in its strings,literal,literal,literal,literal,"['39OWYR0EP074J5O1L526GWKQEWGFYO', '34BBWHLWHQRK4RVR7CQ3YWC2JG8WIX']","['A1HKYY6XI2OHO1', 'A38DXFI1TZA295']","[125.195, 42.063]"
come out swinging,be confrontational,"after the criticism, he came out swinging with a strong rebuttal",figurative,figurative,figurative,figurative,"['3SNLUL3WOK392OESXF8F8OJXF4RULA', '3FDJT1UU7KOHX36VBEO6LCE2RNTK5F']","['A2A6FH0F7LD9ND', 'A38DXFI1TZA295']","[74.656, 47.882]"
cook his goose,to spoil someone's chances of success,"for dinner, the chef cooked his goose with a delicious orange sauce",literal,literal,literal,literal,"['3634BBTX04AIT59WHNG3U8Q2ODIIFL', '3M81GAB8AGZ5XMLZPTZGKKQ30P7BQZ']","['A290OV59Q76QC8', 'APRZ7BR8C0ZMQ']","[43.798, 37.218]"
count chicken,make plans based on events that may or may not happen,the farmer was counting chickens before they hatch by estimating the number of eggs that would become chicks,literal,literal,literal,literal,"['3PW9OPU9P60NS51MLLGQIQFRY7312T', '3E7TUJ2EGS2SKK2XMNF0TFOETAFD9M']","['A2A6FH0F7LD9ND', 'A2LMQ4497NMK3S']","[81.149, 157.287]"
cover one's tracks,"to keep one's location, activities, and intentions hidden.",the thief covered their tracks by wiping away fingerprints,figurative,literal,literal,literal,"['3HPZF4IVN29XGT4RU3C58QZNHJOYCW', '3HHRAGRYXOLJOHTMCWTG490DXOMO9U']","['A2TBXASXZIRNNW', 'A38DXFI1TZA295']","[25.279, 35.488]"
cover one's tracks,"to keep one's location, activities, and intentions hidden.",they covered their tracks in the snow by walking backward,literal,tie,figurative,literal,"['36PW28KO4FCBH9Q2AO4KVSHJZ4YEAV', '3D3VGR7TAGV06SWMNF9A7R2W8JX3R2']","['A2LMQ4497NMK3S', 'A38DXFI1TZA295']","[145.843, 32.004]"
crack the whip,make someone work harder by asserting power or authority,the circus performer cracked the whip on the team of horses to start the show,literal,literal,literal,literal,"['3GNA64GUZUK3864QOJ83HYQBQTLQ5D', '3YJ6NA41JRWQFTIWD8X8I3J63YUJP1']","['A2TBXASXZIRNNW', 'APRZ7BR8C0ZMQ']","[47.881, 48.822]"
crack the whip,make someone work harder by asserting power or authority,the manager cracked the whip on the team to meet the deadline,figurative,figurative,figurative,figurative,"['3OVR4I9US5ZLCN0QAEPTC6KXQXQQ48', '345LHZDEDD8SMKO3R94FC2PGFI13U6']","['A290OV59Q76QC8', 'A2A6FH0F7LD9ND']","[58.378, 104.75]"
cross the line,behave in a way that is not acceptable,"during the race, he crossed the line with her as they finished together",literal,literal,literal,literal,"['379J5II414WSDSH67FTA46XUTGXLEK', '3LEP4MGT3WGB8DHUK7TWKLJ4HAIDBW']","['A290OV59Q76QC8', 'A2TBXASXZIRNNW']","[44.438, 24.391]"
crush,feel love-sick for someone.,she couldn't help but have a crush on the charming new coworker,figurative,figurative,figurative,figurative,"['3G0WWMR1UB07YVAWSJ4PBFQXHELNQ0', '3PQMUDRV77M23WBMIVMOX53U45AIIC']","['A290OV59Q76QC8', 'A2TBXASXZIRNNW']","[40.257, 25.233]"
crush,feel love-sick for someone.,the machine was designed to have a crush on the aluminum cans for recycling,literal,literal,literal,literal,"['34BBWHLWHQRK4RVR7CQ3YWC2JG8IWJ', '386PBUZZXVD0O83YLG411MAMYOTLJ5']","['A2LMQ4497NMK3S', 'APRZ7BR8C0ZMQ']","[155.306, 39.065]"
cry over spilt milk,to be upset about things that have already been done,there's no point in crying over spilt milk now that the deadline has passed,figurative,figurative,figurative,figurative,"['34BBWHLWHQRK4RVR7CQ3YWC2JG8IWJ', '386PBUZZXVD0O83YLG411MAMYOTLJ5']","['A2LMQ4497NMK3S', 'APRZ7BR8C0ZMQ']","[155.306, 39.065]"
cup of tea,to like something,"this green tea is not my cup of tea, I ordered black tea",literal,literal,literal,literal,"['3H7XDTSHKS7680PWHOQ0DKZM43GGWP', '3NS0A6KXCKOA2VU1SBA7COT4L5KGZF']","['A38DXFI1TZA295', 'AX8NXTT8QMGHC']","[31.784, 31.389]"
cut and thrust,"furious contest, discussion, etc.",the fencing match displayed the cut and thrust of the debate between two skilled opponents,literal,tie,figurative,literal,"['34Z02EIMI8TH5FAH8HWM5857TS9T09', '3GDTJDAPVARVA9P0UO8PC9GXIIPM8O']","['A290OV59Q76QC8', 'A2TBXASXZIRNNW']","[55.474, 35.955]"
cut coat according to cloth,"adapt to one's circumstances, make sure one's plans are appropriate to one's resources.",they cut their coat according to their cloth by living within their means,figurative,figurative,figurative,figurative,"['3GNA64GUZUK3864QOJ83HYQBQTLQ5D', '3YJ6NA41JRWQFTIWD8X8I3J63YUJP1']","['A2TBXASXZIRNNW', 'APRZ7BR8C0ZMQ']","[47.881, 48.822]"
cut corners,"economise on time, money, materials or effort, perhaps unwisely",the carpenter cut corners on the project to create a rounded shape,literal,literal,literal,literal,"['3OONKJ5DKSZ2CA8JAG7CVFV3LOPOB4', '3ZSY5X72NDRPSHP86DT2VU073ASROK']","['A2TBXASXZIRNNW', 'AX8NXTT8QMGHC']","[25.904, 45.545]"
cut the mustard,to succeed,"despite his efforts, he couldn't cut the mustard in the competitive sales environment",figurative,figurative,figurative,figurative,"['379J5II414WSDSH67FTA46XUTGXLEK', '3LEP4MGT3WGB8DHUK7TWKLJ4HAIDBW']","['A290OV59Q76QC8', 'A2TBXASXZIRNNW']","[44.438, 24.391]"
cut the mustard,to succeed,"with a dull knife, she couldn't cut the mustard for her sandwich",literal,literal,literal,literal,"['3KB8R4ZV1UNEKXRLMXU4Q6M1U2YGB9', '3R2PKQ87NCOOZF1D3AKGPYABLEUIMS']","['A38DXFI1TZA295', 'AX8NXTT8QMGHC']","[31.604, 75.791]"
cut your own throat,to do something that will be the cause of your own failure or ruin your chances in the future,"by revealing company secrets, he cut his own throat and ruined his career",figurative,figurative,figurative,figurative,"['39N5ACM9HU319H5NRW6VT9537TJ9PX', '3OSWBBLG1UDILGKVP3LE9IAW0D6DX5']","['A1HKYY6XI2OHO1', 'A2LMQ4497NMK3S']","[124.563, 149.144]"
cut your own throat,to do something that will be the cause of your own failure or ruin your chances in the future,"while shaving, he accidentally cut his own throat with the razor",literal,literal,literal,literal,"['3DIP6YHAPS8XYLXNDQK6Z1BO9GY8EL', '36NEMU28XVT60ALISROVQPJJ0PSWMD']","['A290OV59Q76QC8', 'AX8NXTT8QMGHC']","[89.512, 33.428]"
cutting edge,to be among the latest and the best (often used for technological advancements),the chef's knife was on the cutting edge of the countertop,literal,tie,discard,literal,"['3JCG6DTRVJ6S1SNO8BW6F9L2MP8QQQ', '3ERMJ6L4DE8RAVKHKJGJY9K27YJM71']","['A2LMQ4497NMK3S', 'APRZ7BR8C0ZMQ']","[171.447, 112.306]"
dance to tune,to do what someone else forces you to do,"at the party, they danced to the tune of their favorite song",literal,literal,literal,literal,"['37Z929RLGPOH6OUTHJF6FEBQOKSSTV', '3SB5N7Y3OJKD0AOBOHXF6PQI3Y1G0N']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8']","[110.352, 45.737]"
dancing on their grave,outlive or outlast someone and celebrate their demise,he was so happy about his rival's failure that he was practically dancing on their grave,figurative,figurative,figurative,figurative,"['39OWYR0EP074J5O1L526GWKQEWGFYO', '34BBWHLWHQRK4RVR7CQ3YWC2JG8WIX']","['A1HKYY6XI2OHO1', 'A38DXFI1TZA295']","[125.195, 42.063]"
dancing on their grave,outlive or outlast someone and celebrate their demise,the disrespectful teenagers were caught dancing on their grave in the cemetery,literal,literal,literal,literal,"['39OWYR0EP074J5O1L526GWKQEWGFYO', '34BBWHLWHQRK4RVR7CQ3YWC2JG8WIX']","['A1HKYY6XI2OHO1', 'A38DXFI1TZA295']","[125.195, 42.063]"
dark horse,"a little known, unexpectedly successful entrant","the new candidate was a dark horse in the race, surprising everyone with his unexpected success",figurative,figurative,figurative,figurative,"['3OVR4I9US5ZLCN0QAEPTC6KXQXQQ48', '345LHZDEDD8SMKO3R94FC2PGFI13U6']","['A290OV59Q76QC8', 'A2A6FH0F7LD9ND']","[58.378, 104.75]"
dead in the water,unable to produce movement,the project was found it dead in the water after the funding was cut,figurative,figurative,figurative,figurative,"['3GM6G9ZBK3DE8THOXMJK35CKWVATMK', '3M1CVSFP6GL0ECG7JFZKP96XI7MQAJ']","['A38DXFI1TZA295', 'AX8NXTT8QMGHC']","[26.856, 38.985]"
deep down,felt strongly and often hidden from other people,the divers explored the shipwreck deep down in the ocean,literal,literal,literal,literal,"['3NQL1CS157OTF2ARLK7AYINC2Q4YVV', '3IOEN3P9SNZBA6KN8NST83W3EC516A']","['A2A6FH0F7LD9ND', 'A2TBXASXZIRNNW']","[101.669, 26.319]"
dial it back,"to reduce the intensity of something, or tone it down","the radio was too loud, so she had to dial it back a bit",literal,tie,figurative,literal,"['31LM9EDVO18QC86JXTKGEEEB3JTJN5', '37QW5D2ZRW2Y8425EL4BOIF3A778SM']","['A2LMQ4497NMK3S', 'A38DXFI1TZA295']","[151.706, 25.551]"
die in harness,to expire while working,"the dedicated employee died in harness, working tirelessly until the end",figurative,tie,literal,figurative,"['3JZQSN0I36Q4XE31RZG09WDM90QGFR', '31QTRG6Q29TGAIDVZ8YBSQYUG23YPA']","['A2TBXASXZIRNNW', 'A38DXFI1TZA295']","[27.937, 35.751]"
