idiom_0,instance_0,label_0,meaning_0,idiom_1,instance_1,label_1,meaning_1,idiom_2,instance_2,label_2,meaning_2,idiom_3,instance_3,label_3,meaning_3,idiom_4,instance_4,label_4,meaning_4
bag and baggage,"before the storm hit, they left with bag and baggage to evacuate their home",1,(with) all one's belongings.,on the edge of their seat,the suspenseful movie had everyone on the edge of their seat,0,to be very interested in something and fits with both extremely exciting and nerve-wracking,a trip to the sun,the science fiction writer planned a trip to the sun for her characters in the novel,1,something which is very unlikely,throw in the towel,"while cleaning the gym, he had to throw in the towel on this project to move on to the next task",1,to quit,lump in my throat,"when I heard the sad news, I had a lump in my throat and couldn't speak",0,to have a tight feeling in your throat because of a strong emotion such as sadness or gratitude
keep your nose clean,"during allergy season, keeping your nose clean is essential for comfort",1,to stay out of trouble by not doing anything wrong,pie in the sky,the artist painted a pie in the sky to represent the whimsical nature of dreams,1,used to portray or refer to something that is lovely to consider however is probably not going to happen,bone to pick,the dog had a bone to pick with her when she tried to take it away,1,having a complaint that needs to be discussed.,across the board,the chess master made improvements across the board by adjusting the positions of his pieces,1,applying to everyone,every nook and cranny,"to find the perfect gift, they searched every nook and cranny of the shopping mall",0,to look for something everywhere
come across,"while researching, I came across the old book that provided valuable information",0,to meet someone,take with a grain of salt,"when listening to his stories, it's best to take it with a grain of salt",0,to understand that something is not completely true or right,bent your ears,the speaker bent their ears with his captivating stories,0,to talk to someone for a very long time about something boring,at the drop of a dime,the coin collector was ready at the drop of a dime to catch the rare coin,1,something that can happen very fast without hesitation,apples to apples,"in the fruit market, we had to compare apples to apples to find the best quality",1,having a fair comparison between the two things
looked through colored glasses,"during the art class, we looked through colored glasses to observe the effects on the painting",1,to look the things not as they are; having a heavily biased worldview,butter up,it was her job to butter up the boss's toast every morning,1,to flatter someone so as to get something in return from them,begun to see the light,"after hours of studying, he finally began to see the light and understood the concept",0,to suddenly begin to understand,sit on the fence,the cat was sitting on the fence and observing the birds,1,delay or avoid making a decision or choice,where the rubber meets the road,the intersection is where the rubber meets the road as cars pass by,1,when you have to face your challenges
nail biter,"watching her chew on her fingers during the movie, it was clear she was a real nail biter",1,"a situation like a close contest, which induces anxiety or tension.",give the slip,she gave him the slip by sneaking out the back door,0,to get away,lick his wounds,he licked his wounds after the fight by taking some time to recover from the emotional blow,0,"to try to recover your confidence or spirit after a defeat, failure or disappointment",hand in hand,the couple walked hand in hand along the beach,1,close ties or connections,the last straw,"when he insulted her cooking, that was the last straw and she decided to leave",0,to be the last in a sequence of unpleasant things
mind your own beeswax,"instead of gossiping about others, focus on minding your own beeswax",0,do not interfere into someone else's matter,pull your socks up,"if you want to pass the exam, you need to pull your socks up and study harder",0,to be determined to work very hard,black and blue,he fell off his bike and was bruised black and blue all over his body,1,"hurt, either bodily, emotionally or psychologically",tasted blood,"after biting his lip accidentally, he tasted blood in the competition",1,"to experience something thrilling and exciting, and want to experience it again.",cut corners,the carpenter cut corners on the project to create a rounded shape,1,"economise on time, money, materials or effort, perhaps unwisely"
knight in shining armour,he came to her rescue like a knight in shining armour when she needed help,0,used to describe someone who saves you from a difficult situation,far cry from,the echo of her voice was a far cry from the original sound,1,something that is very different from something else,made it,"after years of hard work, she finally made it in the music industry",0,used to indicated the completion of a task,baying for blood,the angry mob was baying for blood after the politician's scandal,0,want somebody to be hurt or punished.,come out swinging,"after the criticism, he came out swinging with a strong rebuttal",0,be confrontational
crack the whip,the circus performer cracked the whip on the team of horses to start the show,1,make someone work harder by asserting power or authority,cut coat according to cloth,they cut their coat according to their cloth by living within their means,0,"adapt to one's circumstances, make sure one's plans are appropriate to one's resources.",eat him alive,his lack of preparation will eat him alive in the competition against more experienced opponents,0,to criticize someone severely because you are angry with them,keep your hair on,"as the wind blew fiercely, I told him to keep his hair on by wearing a hat",1,to request someone to stay calm and not get annoyed,a whole new ball game,"when they switched from soccer to baseball, it's a whole new ball game for the players",1,a significant change in circumstances.
take up the cudgels,he took up the cudgels for her when she was unfairly criticized,0,argue strongly in support or against somebody or something,up in the air,"the balloons carrying our plans are up in the air, floating away from us",1,"unresolved, undecided",coast is clear,"looking through the binoculars, the sailor confirmed that the coast is clear of any obstacles",1,there is no danger in sight or that nobody can see you,ugly duckling,her transformation from a shy girl to a confident woman was an ugly duckling story,0,a young person who turns out to be beautiful or talented against all expectations.,a bed of roses,"despite the challenges, she learned that life is not always a bed of roses",0,easy option
clear the air,we cleared the air with her by opening the windows to let the smoke out,1,get rid of all doubts and negative feelings,die in harness,"the dedicated employee died in harness, working tirelessly until the end",0,to expire while working,out of the closet,"after years of hiding his true self, he finally came out of the closet to his family",0,go public about something private or hidden,building blocks,the children used wooden cubes as the building blocks of success in their tower construction,1,something that is a basic element (of the subject),in full swing,"when we arrived, the party was in full swing with everyone dancing and laughing",0,at a stage when the level of activity is at its highest
bull's eye,his speech hit the bull's eye and addressed the main issue,0,the center of a target,fish out of water,the poor creature flopped around like a fish out of water when it was accidentally dropped on the floor,1,to feel uncomfortable in unfamiliar surroundings,call on,"while walking through the hallway, I had to call on the teacher to get her attention",1,"use courage, reserve, nerve or strength to achieve something",die in harness,the poor horse died in harness while pulling the heavy load,1,to expire while working,loose cannon,"during the battle reenactment, the replica became a loose cannon when it broke free from its mount",1,somebody whose activities are uncommon and out of control
raise the bar,her outstanding performance raised the bar for everyone in the competition,0,to be better than what went before,down to earth,"despite her fame, she remained a down-to-earth person who was easy to talk to",0,"decent, simple, realistic",under the radar,the technician was working under the radar equipment to fix a malfunction,1,"going unnoticed, avoiding unnecessary attention",set the bar,the coach set the bar high for the high jump competition,1,fix the standards acceptable for the task,catch napping,the surprise quiz caught him napping and he couldn't answer any questions,0,"surprise, take unawares."
eat him alive,the carnivorous insects would eat him alive in the competition if he didn't wear protective gear,1,to criticize someone severely because you are angry with them,fall on our feet,"despite the challenges, we managed to fall on our feet and succeed",0,to succeed in doing something where there was a risk of failure,blow your own trumpet,he was always blowing his own trumpet about his accomplishments,0,to say things that makes your own self or kin look good,deep down,the divers explored the shipwreck deep down in the ocean,1,felt strongly and often hidden from other people,add fuel to the flames,"by spreading rumors, they added fuel to the flames of the ongoing conflict",0,"an action, whether verbal or physical that makes a bad situation even worse"
cold turkey,"she was going cold turkey for her sandwich, but decided to add some cheese",1,in a unexpected and sudden way,pull the plug,"to save electricity, she decided to pull the plug on the projector's power cord",1,to kill or discontinue,fall on his sword,"during the reenactment, he accidentally tripped and started to fall on his sword",1,to accept the consequences of an unsuccessful or wrong action,from A to Z,the alphabet book helped the child learned it from A to Z,1,comprehensive,act of God,the sudden storm that saved the village from invaders was considered an act of God,0,an occurrence of out of control natural forces in action
a voice crying in the wilderness,"his warnings about climate change were like a voice crying in the wilderness, as few people paid attention",0,to say something that is not popular,sail through,"with her determination and hard work, she managed to sail through the challenges of her new job",0,to succeed in doing it without difficulty,ring a bell,mentioning the old restaurant seemed to ring a bell for them,0,something that sounds familiar,take a hike,"on a sunny day, they decided to take a hike in the nearby forest",1,go away,an arm and a leg,the prosthetic limbs he needed cost an arm and a leg at the medical supply store,1,a large amount of money
bury the hatchet,"during the reenactment, they pretended to bury the hatchet together as a symbol of peace",1,to stop fighting or arguing or to end old resentments,run for cover,"when the boss started asking about the project's progress, we ran for cover by changing the subject",0,to seek shelter,hornets' nest,"by questioning the company's policies, he stirred up a hornets' nest among the employees",0,a violent situation or one with a lot of dispute,up a creek without a paddle,"while canoeing, we accidentally dropped our paddles and found ourselves up a creek without a paddle",1,being in trouble.,beyond the veil,the psychic claimed she looked beyond the veil and communicated with spirits,0,"In an inexplicable or concealed place or condition, especially the mysterious state of existence after death."
lick your lips,"after eating the ice cream, they licked their lips to clean off the remaining traces",1,to show that you're excited about something and are eager for it to happen,over my dead body,the cat walked over my dead body in the crime scene simulation,1,"in no way, under no circumstances",bury the hatchet,"after years of rivalry, they decided to bury the hatchet together and become friends",0,to stop fighting or arguing or to end old resentments,rise and shine,"it's a new day, rise and shine and make the most of it",0,to ask someone to wake up and become active in the daily chores,big deal,he made it a big deal when she forgot to call him back,0,important thing
bitter medicine,the harsh criticism was a dose of bitter medicine that helped him improve,0,something difficult to accept,no room to swing a cat,"with all these fragile items around, there's no room to swing a cat without breaking something",1,a very small place,you reap what you sow,"after planting the seeds, the farmer knew it was time to reap what you sow",1,"if you do bad things to people, bad things will happen to you, or good things if you do good things",spin a yarn,the two knitters spun a yarn together to create a beautiful scarf,1,to tell a tale,pass the buck,he handed her a dollar bill and passed the buck to her,1,passing blame to another person
the bottom line,"despite all the arguments, the bottom line of the situation is that we need to make a decision",0,"in the final analysis, the most important fact in a situation.",run out,"the clock's battery died, causing it to run out of time",1,to not have enough of something,a screw loose,the wobbly table has a screw loose and needs to be fixed,1,someone who behaves in a strange way and seem slightly mentally ill,back to the drawing board,the architect realized he made a mistake and was going back to the drawing board to fix it,1,back to the planning stage,spill the beans,he accidentally spilled the beans about the surprise party we had planned,0,disclose a secret or reveal something prematurely
bend over backwards,"during the yoga class, we had to bend over backwards for them to demonstrate the pose",1,do all in one's power (usually to achieve something or accommodate somebody),no room to swing a cat,"in this tiny apartment, there's no room to swing a cat",0,a very small place,foam at the mouth,he was foaming at the mouth when he found out about the betrayal,0,be extremely angry,tight spot,they found themselves in a tight spot when they had to choose between two important events,0,to be in a very difficult situation,match made in heaven,the angelic dating service claimed to provide a match made in heaven for its clients,1,a combination of two people that is perfect in every way
out of hand,the party got out of hand when people started throwing food,0,out of control,blue eyed boy,"he was the blue-eyed boy of the company, always receiving praise and promotions",0,a person who is treated with special favor.,leaps and bounds,"after attending the workshop, her skills made progress in leaps and bounds",0,progress very quickly,piece of work,"he was a real piece of work, always causing trouble and stirring up drama",0,"a complex, tricky, or odd person",face the music,"after making a mistake at work, they faced the music together and accepted the consequences",0,receive punishment
blank check,she gave him a blank check to fill in the amount for the charity donation,1,Complete authority or unrestricted freedom of action or a free hand.,household name,"after her successful book series, she became a household name in the literary world",0,to be very popular,all ears,"when she started telling her story, I promised to be all ears",0,saying that you are all ears means the other person has got your full attention in terms of listening to him,bun in the oven,the baker has a bun in the oven and it will be ready in a few minutes,1,to be pregnant,come down with,he came down with something after being exposed to the cold weather,0,to have (usually a disease)
castles in the air,the artist created a stunning installation of building castles in the air using lightweight materials,1,thinking of some impossible task,a lot on my plate,"at the potluck dinner, he was having a lot on the plate after trying a bit of everything",1,to have so many things to do at one time,in deep water,"after making a costly mistake, he found himself in deep water with his boss",0,a very serious situation,tight spot,the spelunkers found themselves in a tight spot while navigating the narrow cave,1,to be in a very difficult situation,an item,"after months of dating, they finally became an item and made their relationship official",0,be involved in a romantic relationship
toot one's own horn,"during the parade, he was tooting his own horn as part of the marching band",1,speak boastfully about oneself,cutting edge,the chef's knife was on the cutting edge of the countertop,1,to be among the latest and the best (often used for technological advancements),flog a dead horse,arguing about the same issue over and over again was like flogging a dead horse,0,waste energy on something that has no chance of succeeding,Easter egg,"during the egg hunt, the child found an Easter egg in the bushes",1,a decorated or dyed egg usually given to children at Easter,throw it over the wall,"after finishing the design, the team decided to throw it over the wall to the developers",0,"to deal with part of a problem or project, then pass the responsibility to another person or department without any communication or coordination"
piss and vinegar,"the young athlete was full of piss and vinegar, eager to prove himself",0,to self-reference someone who is in a bad mood and ready to fight.,in the good books,"the employee's name was written in the good books of the boss, which was a list of top performers",1,be in somebody's favour or good opinion,tip of the iceberg,"as we approached the glacier, we saw just the tip of the iceberg above the water",1,to only know a very small part of the problem,ball of fire,"she tackled her tasks like a ball of fire, completing them quickly and efficiently",0,"a dynamic person capable of or displaying rapid and highly effective thought, action, etc.",voice in the wilderness,"while hiking alone, she suddenly heard a voice in the wilderness and got scared",1,"someone who expresses an opinion that no one believes or listens to, especially if proved right later"
stack the deck,they stacked the deck in their favor by hiring the best lawyers,0,to be against someone or something,hard cheese,she experienced hard cheese when she lost her job and had to start over,0,"bad luck, tough luck",lean towards,"after considering the pros and cons, she was leaning towards that option",0,to be interested in something,go through channels,he went through channels to get the necessary approval for his project,0,to follow the correct steps in order to get something done,zip it,"before leaving the house, she made sure to zip it up her jacket",1,to ask someone to shut up
queer pitch,the salesman made a queer pitch by offering a bizarre combination of products,0,spoil somebody's chance of doing something.,better half,I enjoy spending time with my better half on weekends,0,spouse,kick yourself,they kicked themselves for not investing in the stock earlier,0,to be angry with yourself for something you have or have not done,blue blood,they were considered a blue blood family due to their aristocratic lineage,0,a member of an upper-class family,go down in flames,his political career went down in flames after the scandal,0,to fail spectacularly
gloves are off,"after finishing the gardening work, the gloves are off now and they can relax",1,people are beginning to behave in a more hostile or tenacious way; usually used to describe a dispute or fight,building blocks,hard work and dedication are the building blocks of success,0,something that is a basic element (of the subject),lower the bar,the company lowered the bar for everyone by reducing the performance expectations,0,to lower standards or expectations,it's a small world,"running into my childhood friend in a foreign country, I thought it's a small world after all",0,meeting someone not expected to be at a certain place,bells and whistles,the new software update added bells and whistles to improve user experience,0,special features that are added to a product or system to attract more buyers
fill the bill,the new employee filled the bill perfectly for the position we needed,0,be exactly suitable for a particular situation,knee jerk reaction,"the doctor tapped his patient's leg, causing a knee jerk reaction to the news of the reflex hammer",1,an automatic response to something,uncharted waters,starting a new business was like venturing into uncharted waters for her,0,"when you are in a situation that is unfamiliar to you, that you have no experience of and don't know what might happen",knight in shining armour,"at the medieval festival, there was a knight in shining armour on horseback",1,used to describe someone who saves you from a difficult situation,mend fences,the farmer spent the afternoon mending fences with her to keep the animals inside,1,to try and improve a bad relationship with another party
you reap what you sow,"if you treat people poorly, you'll reap what you sow when they don't help you in return",0,"if you do bad things to people, bad things will happen to you, or good things if you do good things",pour cold water on,the sudden budget cut poured cold water on their plans for the event,0,deter or discourage somebody,lead astray,the broken compass led them astray in the dense forest,1,make someone act or think in a wrong or foolish manner.,dragging its feet,the robot was malfunctioning and dragging its feet on the decision of which direction to move,1,"delaying in decision, not showing enthusiasm",put your head on the block,"during the historical reenactment, he put his head on the block for the execution scene",1,if you put yourself in a dangerous situation where you risk losing your job or your reputation if things go wrong
bread and butter,"on the table, there was their bread and butter ready for breakfast",1,to indicate what a person earns or earns for,cross the line,"during the race, he crossed the line with her as they finished together",1,behave in a way that is not acceptable,pay the piper,"after a night of excessive partying, they had to pay the piper the next day",0,to bear the ill-effects of something that was enjoyable at one time,cut the mustard,"despite his efforts, he couldn't cut the mustard in the competitive sales environment",0,to succeed,more heat than light,the heated debate generated more heat than light and left everyone confused,0,to cause anger or intense reaction but doesn't clarify anything
arm in arm,"the couple walked arm in arm down the street, enjoying the evening",1,to be closely allied,nip in the bud,"to prevent further complications, we decided to nip the problem in the bud by addressing it immediately",0,check something thoroughly.,full of beans,the bag seemed full of beans as it bulged and weighed heavily in her hand,1,to be optimistic or enthusiastic,cloak and dagger,the spy was involved in a cloak and dagger operation to uncover government secrets,0,of or characteristic of the activities of spies and undercover agents.,the last straw,"after using all the other straws, that was the last straw in the box",1,to be the last in a sequence of unpleasant things
an item,"in the virtual reality game, the player's avatar became an item to be collected by others",1,be involved in a romantic relationship,chill wind,"when the news of the layoffs arrived, a chill wind blew through the office",0,to encounter the problems or trouble,my way or the highway,the sign at the fork in the road read 'it's my way or the highway',1,to order someone to do something in a specific way without providing an alternative.,at the bottom of the ladder,she started at the bottom of the ladder in the company and worked her way up,0,"occupying the lowest, most basic position in a given group",coast is clear,"after the security guard left, we knew the coast is clear to enter the building",0,there is no danger in sight or that nobody can see you
hammer and tongs,the blacksmith went at it hammer and tongs while forging the sword,1,"to argue fiercely, with a lot of energy and noise",line in the sand,he decided to draw a line in the sand and confront his coworker about the issue,0,a boundary beyond which one cannot proceed without consequences,a roof over your head,"during the rainstorm, having a roof over your head kept you dry",1,a place to live,shoot from the hip,"at the shooting range, he practiced shooting from the hip to improve his accuracy",1,"speak directly or bluntly, without caring for consequences",have kittens,the cat had kittens over the situation when she found a safe spot to give birth,1,"to be very worried, upset, or angry about something"
Young Turk,he quickly became a Young Turk in the company due to his innovative ideas,0,a young person who has many new ideas and wants a reform,night owl,"for the costume party, he dressed up as being a night owl with large wings and a beak",1,Someone who is vigilant late at night.,"all singing, all dancing","the talent show was an all singing, all dancing event where every participant sang and danced simultaneously",1,"Something that is full of verve, vivacity and liveliness.",jump on the bandwagon,"during the parade, he jumped on the bandwagon to join the musicians",1,to start doing something because it is fashionable or profitable,a bed of roses,"while visiting the botanical garden, she noticed that life is not always a bed of roses, as there were various other flowers",1,easy option
big deal,the company made it a big deal when they signed a multi-million dollar contract,1,important thing,make it big,the baker made it big in the industry by creating giant-sized cakes,1,become very successful or famous,big cheese,"in the company, he's the big cheese and everyone respects him",0,to be an important and successful individual,hit the hay,"during the farm chores, it was time to hit the hay with a pitchfork",1,to go to sleep or head to bed.,ahead of the pack,"during the marathon, the lead runner was staying ahead of the pack of other runners",1,more successful than other people who are trying to achieve the same things
hit the books,"with exams approaching, it's time to hit the books and study hard",0,to study very hard,cover one's tracks,they covered their tracks in the snow by walking backward,1,"to keep one's location, activities, and intentions hidden.",paint the town red,"as part of a community art project, they decided to paint the town red together by covering the walls with vibrant murals",1,to celebrate and have a wild time,chill to the bone,the eerie atmosphere of the haunted house left us chilled to the bone,0,to get frightened or scare somebody,hold tongue,they held their tongue during the meeting to avoid causing conflict,0,to keep quiet when one would rather speak
pour cold water on,the prankster poured cold water on their plans as they were discussing the project,1,deter or discourage somebody,count chicken,the farmer was counting chickens before they hatch by estimating the number of eggs that would become chicks,1,make plans based on events that may or may not happen,does exactly what it says on the tin,the new software does exactly what it says on the tin and is very user-friendly,0,someone or something is exactly as they seem,in the blink of an eye,the opportunity vanished in the blink of an eye when someone else took the job,0,in an instant,leave no stone unturned,"during the archaeological dig, they left no stone unturned to uncover hidden artifacts",1,do everything that is possible in order to achieve something
big cheese,"at the cheese festival, they displayed the big cheese weighing over 100 pounds",1,to be an important and successful individual,on the crest of a wave,the surfer skillfully balanced himself while riding on the crest of a wave,1,to reach the highest point of success,pain in the neck,dealing with his constant complaints was a real pain in the neck for everyone,0,Mathematics is generally a real pain in the neck for most of the school and college students.,backroom boy(s),the company's success was largely due to the backroom boys who worked tirelessly behind the scenes,0,people who work in anonymity,clear the air,"after the argument, we cleared the air with her by discussing our feelings",0,get rid of all doubts and negative feelings
below the belt,the referee declared that comment was below the belt when the boxer hit his opponent in the groin,1,to be mean and unfair (in a fight),clear the decks,we cleared the decks for the event by removing all the furniture from the patio,1,get ready for action.,cold feet,"after walking in the snow without proper shoes, she got cold feet",1,loss of courage,yellow streak,he never stands up for himself and always has a yellow streak,0,people who  have an inclination towards being fainthearted.,smell something fishy,"when he started avoiding my questions, I smelled something fishy about his story",0,to have a suspicion that something is wrong
full of beans,"after a good night's sleep, he seemed full of beans and ready to tackle the day",0,to be optimistic or enthusiastic,blind spot,the car had a blind spot that made it difficult to see pedestrians,1,"if you have a blind spot about something, you cannot accept or understand it",miles away,"during the meeting, her thoughts seemed miles away from the topic",0,unaware of the current situation,dead in the water,the project was found it dead in the water after the funding was cut,0,unable to produce movement,a storm is brewing,"dark clouds are gathering, and a storm is brewing in the distance",1,"there is going to be trouble, probably with outbursts of anger or emotion"
toot one's own horn,he was always tooting his own horn about his accomplishments,0,speak boastfully about oneself,on the same page,"before starting the project, we need to be on the same page regarding our goals",0,everyone in agreement,cut your own throat,"by revealing company secrets, he cut his own throat and ruined his career",0,to do something that will be the cause of your own failure or ruin your chances in the future,walk out on,"disappointed by the lack of support, she walked out on the presentation and left the room",0,end a relationship with someone suddenly,straight shooter,"the archer was a straight shooter, hitting the bullseye every time",1,someone who speaks the truth
close call,he had a close call when he narrowly avoided a car accident,0,a narrow escape from disaster,axe to grind,he had an axe to grind with his coworker after the disagreement,0,have a private or selfish reason for doing something,hung out to dry,"when the team failed to support her, she felt hung out to dry",0,"to abandon someone who is in difficulty, without giving any assistance or support",dial it back,"the radio was too loud, so she had to dial it back a bit",1,"to reduce the intensity of something, or tone it down",makes my ears burn,standing too close to the bonfire makes my ears burn,1,"to be embarrassed by what you hear, especially if the conversation is about you"
