idiom,instance,label,meaning,maxVote,gold_0,gold_1,AssignmentId,WorkerId,TimeMe
draw a blank,"when asked about the details of the project, he was drawing a blank",figurative,to get no response from someone,figurative,figurative,figurative,"['3LYA37P8I63JMJN4COFJOYEU19DBKL', '30BUDKLTXTBEB3ELFSD3NH1X7GZ5EY']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8']","[103.787, 47.3]"
drive a wedge between,the lumberjack used a mallet to drive a wedge between them and split the log,literal,to damage the good relationship that two people or groups of people have,literal,literal,literal,"['3YGXWBAF7GXHIMQ75WOYS1VGM8M4CU', '3MHW492WWGTTLLLD2HJZ4N05T6PVMH']","['A2LMQ4497NMK3S', 'A38DXFI1TZA295']","[152.895, 31.362]"
drop a bombshell,the clumsy actor accidentally dropped a bombshell during the meeting while filming a war scene,literal,"make an unexpected, startling or disturbing announcement",literal,literal,literal,"['37TRT2X2467OBZHMU3F7NJEHMKDJBU', '3KXIR214IKW4K4Y583ZSGOMUAHC42O']","['A2A6FH0F7LD9ND', 'A38DXFI1TZA295']","[56.205, 91.41]"
drop by,the clumsy customer accidentally let a jar drop by the store entrance,literal,an informal visit,literal,literal,literal,"['3SPJ03342HJKO7AX4VTRVUCI7TVJY9', '38JBBYETQ4QWFKAL1NUTIPVJ7K0E4Y']","['A290OV59Q76QC8', 'A2A6FH0F7LD9ND']","[49.674, 47.302]"
every nook and cranny,"during the deep cleaning, they searched every nook and cranny of the house for dust and dirt",literal,to look for something everywhere,literal,literal,literal,"['308Q0PEVBOT9SVIJE1GBKC4RL5K9IX', '3SNLUL3WOK392OESXF8F8OJXFUPLUF']","['A290OV59Q76QC8', 'A2A6FH0F7LD9ND']","[41.075, 83.204]"
everything but the kitchen sink,"for our camping trip, we packed everything but the kitchen sink to be prepared",figurative,almost everything that one can think of,figurative,figurative,figurative,"['3TOK3KHVJ9YFAY5TXZVWQD972OV7OE', '3M68NM076XNZ3BJ46H78EUEGI0VR68']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8']","[123.647, 59.048]"
fall on our feet,"during the dance routine, we tripped and managed to fall on our feet",literal,to succeed in doing something where there was a risk of failure,literal,literal,literal,"['3KYQYYSHYBNVR763OCYIQ5J3OZYODO', '3MMN5BL1WFK99CJUI7DTLS8M2MVM3A']","['A290OV59Q76QC8', 'A2A6FH0F7LD9ND']","[41.239, 71.186]"
fan the flames,their constant arguing only fanned the flames together and made the situation worse,figurative,make a bad situation even worse,figurative,figurative,figurative,"['39GHHAVOMV74Q0WDFO5KF58BCSVJ4N', '3SKEMFQBZJL0KLPX9CV9XWOTT3RK8U']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8']","[111.002, 86.66]"
far cry from,the movie adaptation was a far cry from the original book,figurative,something that is very different from something else,figurative,figurative,figurative,"['30JNVC0ORP0FOZOLPL9C6VT1VSDHQ2', '3TS1AR6UQ6UL4LS0YWC63J0TAN47FS']","['A2LMQ4497NMK3S', 'AKQAI78JTXXC9']","[159.239, 113.325]"
feather in your cap,the hat you're wearing has a feather in your cap as a decoration,literal,It means to have an achievement in your name.,literal,literal,literal,"['33SA9F9TRDA8OMT5BT0CDHEARDYEWJ', '3PW9OPU9P60NS51MLLGQIQFRYX0217']","['A290OV59Q76QC8', 'A2A6FH0F7LD9ND']","[46.421, 74.937]"
feather in your cap,winning the championship would be a feather in your cap,figurative,It means to have an achievement in your name.,figurative,figurative,figurative,"['35K3O9HUART6D07AL4QC9TSAWABEFO', '3VJ40NV2QY328W20A2YXV91PRLOOT9']","['A1HKYY6XI2OHO1', 'A1I7H6RDJS4EKN']","[125.003, 2125.893]"
feather one's (own) nest,the bird was feathering her own nest with soft materials to make it cozy,literal,"If you say that you are feathering your own nest, you mean that you are working so hard to gather resources (money) to live a comfortable life in the future.",literal,literal,literal,"['3RRCEFRB72SY8HY1RWS3HHPY4NM4BN', '37U1UTWH9B2M7P2SZW46Y8A7OVLR8U']","['A290OV59Q76QC8', 'A38DXFI1TZA295']","[52.175, 48.645]"
feel the pinch,"after losing his job, he started to feel the pinch financially",figurative,experience financial hardship,figurative,figurative,figurative,"['3L4D84MILF8Y2CK8UVP39UHFHXJHJ9', '33FOTY3KE210QNTOIE5WU3ODAOCC1P']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8']","[127.917, 52.404]"
feel the pinch,"when the crab grabbed his finger, he started to feel the pinch",literal,experience financial hardship,literal,literal,literal,"['3P1L2B7ADH5EPJUV1TW69IR8X80LO1', '37FMASSAYS7SGOXGCLU7BIZH95OBIA']","['A1HKYY6XI2OHO1', 'A2A6FH0F7LD9ND']","[100.216, 34.816]"
fill the bill,the waiter filled the bill perfectly with all the items we ordered,literal,be exactly suitable for a particular situation,literal,literal,literal,"['37TRT2X2467OBZHMU3F7NJEHMKDJBU', '3KXIR214IKW4K4Y583ZSGOMUAHC42O']","['A2A6FH0F7LD9ND', 'A38DXFI1TZA295']","[56.205, 91.41]"
fingers and thumbs,the hand puppet was all fingers and thumbs with no other features,literal,to be clumsy and not very skilled with your hands,literal,literal,literal,"['30BXRYBRPKDK8WK71U8IYKBNJTPWHG', '31Q0U3WYD5VUE6YSRXXLEHWZ9DM71S']","['A290OV59Q76QC8', 'A2A6FH0F7LD9ND']","[57.123, 70.349]"
first light,"the sun began to rise, and we could see at first light the beautiful landscape",literal,the time when the light begins to appear in the morning,tie,literal,figurative,"['382M9COHEXVVWI40GTLBVTTD6XNEUK', '3E337GFOLPOGL6GIPNZDH1MVBH9GNB']","['A1HKYY6XI2OHO1', 'A2LMQ4497NMK3S']","[125.714, 155.442]"
foot in mouth,I put my foot in my mouth when I accidentally insulted her cooking,figurative,to say something by accident that embarrasses or upsets someone,figurative,figurative,figurative,"['3XC1O3LBO82U2BZ3XAI53SXVWGHLTN', '3GD6L00D38DDZ95FV3ZAXZTP42G1MW']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8']","[106.194, 40.352]"
get hitched,"during their road trip, they decided to get hitched to a trailer for extra storage",literal,to get married,literal,literal,literal,"['3KOPY89HMOIJ84D9FA0150G5YSZJ32', '3KKG4CDWKYEFKOJ4TCE7QBU8GNJ49D']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8']","[120.387, 48.432]"
get one's feet wet,they got their feet wet by starting with a small project before tackling the big one,figurative,to begin taking part in a new activity,tie,figurative,ambiguous,"['3F6KKYWMNRHD9M6RNXY5BGJYYPTND8', '37QW5D2ZRW2Y8425EL4BOIF3AX58S0']","['A1HKYY6XI2OHO1', 'A2A6FH0F7LD9ND']","[124.668, 63.569]"
get out of bed on the wrong side,"he was so grumpy today, it seemed like he got out of bed on the wrong side",figurative,be very irritable and grouchy,figurative,figurative,figurative,"['3XUHV3NRV0EQVD5N5TL98KYAZWNH5M', '3RKNTXVS32ETP7T9LIS7M65SM514AS']","['A2A6FH0F7LD9ND', 'A2LMQ4497NMK3S']","[65.204, 151.035]"
get to the bottom,the detective was determined to get to the bottom of the issue and solve the case,figurative,to find out the truth relating to a situation,tie,figurative,literal,"['3KYQYYSHYBNVR763OCYIQ5J3OZYODO', '3MMN5BL1WFK99CJUI7DTLS8M2MVM3A']","['A290OV59Q76QC8', 'A2A6FH0F7LD9ND']","[41.239, 71.186]"
give it a whirl,"unsure of the outcome, he gave it a whirl and tried the new recipe",figurative,to try something new.,figurative,figurative,figurative,"['3DBQWDE4YMEI59RY8RGMD4V6L8VN50', '3S96KQ6I92KB4ZBBKTKHKFPQN7ETDE']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8']","[126.835, 45.423]"
give the slip,"she accidentally gave him the slip when she handed him a wet, slippery object",literal,to get away,literal,literal,literal,"['3ZAZR5XV0HYXLJEWQPEOMX8PN3PCZE', '3OWEPKL08PSXSD5HWKVJBO92CEQN7F']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8']","[108.016, 66.468]"
go round in circles,the team was going round in circles trying to solve the problem,figurative,work at something but keep failing to make progress with it.,figurative,figurative,figurative,"['3KRVW3HTZ31DTT498MEUT0GYU2TSM7', '3X73LLYYQHUUL2BT9THV21YWQHMHNB']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8']","[101.172, 52.15]"
go through the roof,the rocket went through the roof of the building during the experiment,literal,to become very angry,literal,literal,literal,"['3IUZPWIU14NBAMLF7FBFBCRFBATWKK', '3ZDAD0O1THTP25GSBTLTEMSI3PRTXH']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8']","[103.687, 52.675]"
got somebody's goat,her constant teasing finally got his goat and he lost his temper,figurative,to annoy or irritate someone,figurative,figurative,figurative,"['3YGXWBAF7GXHIMQ75WOYS1VGM8MC42', '3LRLIPTPE6PE39IC6AFNTNUOJRRKAY']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8']","[115.33, 43.487]"
had your chips,"once you finished eating, you had your chips and were ready to leave",literal,when someone has completely failed in what they set out to achieve,literal,literal,literal,"['3TEM0PF1QLDAOQEKMRW704NLQWJ0DB', '3IRIK4HM3Q0VX9ULOKHDPZFUIZSC6N']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8']","[96.687, 47.933]"
hand in hand,success and hard work walked hand in hand in her life,figurative,close ties or connections,figurative,figurative,figurative,"['3D4CH1LGEQ9VW4COODG8Z0RB6SS9G5', '39RP059MEX9EC7N7X0SZ3B6YQE8BMQ']","['A290OV59Q76QC8', 'A2A6FH0F7LD9ND']","[46.477, 87.946]"
hands are tied,"During the magic trick, the magician made sure my hands are tied securely with a rope",literal,to not be able to do anything about a situation,literal,literal,literal,"['3TEM0PF1QLDAOQEKMRW704NLQWJ0DB', '3IRIK4HM3Q0VX9ULOKHDPZFUIZSC6N']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8']","[96.687, 47.933]"
happy camper,"after the long meeting, she was not a happy camper",figurative,to be content or satisfied with what is happening in your lifes and have no complaints,tie,figurative,ambiguous,"['38YMOXR4MAF4B70Q5BHE1TMXAFA6WQ', '30MVJZJNH2T5N62PWJ1BWDJRYKAJ9K']","['A1HKYY6XI2OHO1', 'A2A6FH0F7LD9ND']","[99.355, 38.979]"
hard cheese,"while tasting different types of dairy products, she experienced hard cheese among them",literal,"bad luck, tough luck",literal,literal,literal,"['3QEMNNSB2DFO61E47QHGFJX8YAOD7N', '3GLB5JMZFDB7ZUP50TLALWA1XD7GDT']","['A2LMQ4497NMK3S', 'A38DXFI1TZA295']","[160.22, 66.441]"
have a big mouth,the hippopotamus has a big mouth that can open up to 150 degrees,literal,one who gossips more or says things that are meant to be kept secret,literal,literal,literal,"['35GMH2SV3UX0JDK3K792WN1OOBZOEH', '3VP0C6EFSWC86V6C19BRSVK6CDX6M0']","['A290OV59Q76QC8', 'A2A6FH0F7LD9ND']","[62.593, 57.684]"
hit the nail on the head,"when she suggested a new marketing strategy, she really hit the nail on the head",figurative,be accurately right about something,figurative,figurative,figurative,"['31HQ4X3T38QTNBMO8ADFTN19UX3SL5', '3180JW2OTKSMMJ0DTTOUKXEPCOQJ5S']","['A290OV59Q76QC8', 'A2A6FH0F7LD9ND']","[48.675, 79.492]"
hit the road,"during the earthquake, the car forcefully hit the road together with a loud thud",literal,depart,literal,literal,literal,"['3E7TUJ2EGS2SKK2XMNF0TFOET0C9DV', '3IGI0VL64N04DJXGD6CLMAVX231ON7']","['A1HKYY6XI2OHO1', 'A2A6FH0F7LD9ND']","[141.766, 36.871]"
hit the roof,"when he found out about the surprise party, he hit the roof unexpectedly",figurative,experience sudden anger,figurative,figurative,figurative,"['3JWH6J9I98TKUP87917ZGQVYV4HNB1', '3Z3ZLGNNSYA0URHMA0KA21SRCNRQ30']","['A1HKYY6XI2OHO1', 'A38DXFI1TZA295']","[120.909, 50.118]"
hold all the aces,"during the negotiation, he held all the aces and had the upper hand",figurative,be in a winning position.,tie,figurative,ambiguous,"['38YMOXR4MAF4B70Q5BHE1TMXAFA6WQ', '30MVJZJNH2T5N62PWJ1BWDJRYKAJ9K']","['A1HKYY6XI2OHO1', 'A2A6FH0F7LD9ND']","[99.355, 38.979]"
hold all the aces,"during the poker game, he held all the aces in his hand",literal,be in a winning position.,literal,literal,literal,"['36WLNQG78FQG0JVUG24GQ31PHCGEB3', '37C0GNLMHVJ5210ZOGCO95XC3Z4D6O']","['A1HKYY6XI2OHO1', 'A2LMQ4497NMK3S']","[116.321, 153.414]"
hornets' nest,"while clearing the backyard, she accidentally stirred up a hornets' nest and got stung",literal,a violent situation or one with a lot of dispute,literal,literal,literal,"['3Z7EFSHGNPU8GOEHP7Q3PCSEF3RCXH', '3EG49X351ASJ075GFGD03C04JHG6XJ']","['A290OV59Q76QC8', 'A2LMQ4497NMK3S']","[62.052, 146.511]"
in cold blood,"the villain committed the crime in cold blood, showing no remorse",figurative,in a cruel way and without pity or other emotion,figurative,figurative,figurative,"['3JWH6J9I98TKUP87917ZGQVYV4HNB1', '3Z3ZLGNNSYA0URHMA0KA21SRCNRQ30']","['A1HKYY6XI2OHO1', 'A38DXFI1TZA295']","[120.909, 50.118]"
in high dudgeon,"she left the room in high dudgeon, a castle known for its dramatic history",literal,feeling or exhibiting great resentment,tie,literal,discard,"['3W8CV64QJIF9W07Z8JYQK03CLS59H4', '33PPUNGG3OL1RL3F8M4JBS7BN4TRZ0']","['A1HKYY6XI2OHO1', 'A38DXFI1TZA295']","[104.323, 76.872]"
in hot water,he found himself in hot water after forgetting to submit the report on time,figurative,in trouble or state of shame,figurative,figurative,figurative,"['37W3JXSD6MO6URAWBUC6KK6Q9P3WYG', '3EWIJTFFV4NFGWSKIM7R6M56Q8K0E4']","['A2LMQ4497NMK3S', 'A38DXFI1TZA295']","[146.281, 44.872]"
in one's blood,"she's a natural athlete, it's in her blood",figurative,a natural or inherited characteristic.,tie,figurative,literal,"['3SPJ03342HJKO7AX4VTRVUCI7TVJY9', '38JBBYETQ4QWFKAL1NUTIPVJ7K0E4Y']","['A290OV59Q76QC8', 'A2A6FH0F7LD9ND']","[49.674, 47.302]"
in the bag,"after weeks of preparation, she had it in the bag and aced the interview",figurative,have something as good as secured or certain,figurative,figurative,figurative,"['3QEMNNSB2DFO61E47QHGFJX8YAOD7N', '3GLB5JMZFDB7ZUP50TLALWA1XD7GDT']","['A2LMQ4497NMK3S', 'A38DXFI1TZA295']","[160.22, 66.441]"
in the dark,"during the power outage, we were kept in the dark until the electricity came back",literal,"uninformed, a state of ignorance.",literal,literal,literal,"['30JNVC0ORP0FOZOLPL9C6VT1VS9HQY', '37C0GNLMHVJ5210ZOGCO95XC3Z7D6R']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8']","[127.313, 77.38]"
in touch,"even after moving to another city, we promised to stay in touch",figurative,"to remain in contact with someone, especially when separated by time or distance",figurative,figurative,figurative,"['3YGXWBAF7GXHIMQ75WOYS1VGM8M4CU', '3MHW492WWGTTLLLD2HJZ4N05T6PVMH']","['A2LMQ4497NMK3S', 'A38DXFI1TZA295']","[152.895, 31.362]"
it's not brain surgery,"fixing a broken computer is complicated, but it's not brain surgery",literal,to indicate that a specific task is simple and easy to undertake ,figurative,figurative,figurative,"['3DBQWDE4YMEI59RY8RGMD4V6L8VN50', '3S96KQ6I92KB4ZBBKTKHKFPQN7ETDE']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8']","[126.835, 45.423]"
jam on your face,"while eating breakfast, he accidentally had jam on his face from the toast",literal,"people who appear to be caught, embarrassed or found guilty",literal,literal,literal,"['3KRVW3HTZ31DTT498MEUT0GYU2TSM7', '3X73LLYYQHUUL2BT9THV21YWQHMHNB']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8']","[101.172, 52.15]"
"judge, jury and executioner","in the dystopian play, the main character was acting as judge, jury, and executioner in a twisted legal system",literal,"people that are in charge of every decision made, and they have the power to be rid of whomever they choose",literal,literal,literal,"['30JNVC0ORP0FOZOLPL9C6VT1VS9HQY', '37C0GNLMHVJ5210ZOGCO95XC3Z7D6R']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8']","[127.313, 77.38]"
jungle out there,"as we entered the dense rainforest, our guide warned us, it's a jungle out there",literal,the situation is dangerous and is characterized by ruthless behavior and competition,literal,literal,literal,"['31HQ4X3T38QTNBMO8ADFTN19UX3SL5', '3180JW2OTKSMMJ0DTTOUKXEPCOQJ5S']","['A290OV59Q76QC8', 'A2A6FH0F7LD9ND']","[48.675, 79.492]"
just deserts,"after cheating on the test, they received their just deserts when they were caught",figurative,get what one deserves,figurative,figurative,figurative,"['34T446B1CGU0JY86MV1WGY535W6C0M', '3JV9LGBJW9UY3RGUQ2ZQWQM01REOGY']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8']","[108.273, 45.577]"
just off the boat,"he was so naive and inexperienced, as if he was just off the boat",figurative,a person who is naive and inexperienced,figurative,figurative,figurative,"['3KRVW3HTZ31DTT498MEUT0GYU2TSM7', '3X73LLYYQHUUL2BT9THV21YWQHMHNB']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8']","[101.172, 52.15]"
just what the doctor ordered,a relaxing vacation was just what the doctor ordered after a stressful year,figurative,exactly what was wanted or needed,figurative,figurative,figurative,"['3TK8OJTYMH1Z6OIQUXBRLRU0YBYPV5', '30IQTZXKA0MOMWJ1DRXJUBQD6EUX09']","['A290OV59Q76QC8', 'A2YO837C0O1E91']","[53.466, 45.91]"
know which side one's bread is buttered,he carefully observed the sandwich and knows which side his bread is buttered to avoid getting his hands greasy,literal,to be cognizant of where one's interests lie in a given situation.,literal,literal,literal,"['3TK8OJTYMH1Z6OIQUXBRLRU0YBYPV5', '30IQTZXKA0MOMWJ1DRXJUBQD6EUX09']","['A290OV59Q76QC8', 'A2YO837C0O1E91']","[53.466, 45.91]"
knowing which way the wind blows,he made a wise decision by knowing which way the wind blows in the company,figurative,this means that you should know how things are developing and be prepared for the future,figurative,figurative,figurative,"['3TK8OJTYMH1Z6OIQUXBRLRU0YBYPV5', '30IQTZXKA0MOMWJ1DRXJUBQD6EUX09']","['A290OV59Q76QC8', 'A2YO837C0O1E91']","[53.466, 45.91]"
let sleeping dogs lie,it's better to let sleeping dogs lie and not bring up past conflicts,figurative,its best to leave a situation as it is if disturbing it might cause trouble,figurative,figurative,figurative,"['3E7TUJ2EGS2SKK2XMNF0TFOET0C9DV', '3IGI0VL64N04DJXGD6CLMAVX231ON7']","['A1HKYY6XI2OHO1', 'A2A6FH0F7LD9ND']","[141.766, 36.871]"
let the cat out of the bag,he accidentally let the cat out of the bag about the surprise party,figurative,to let a secret out in the open,figurative,figurative,figurative,"['3D4CH1LGEQ9VW4COODG8Z0RB6SS9G5', '39RP059MEX9EC7N7X0SZ3B6YQE8BMQ']","['A290OV59Q76QC8', 'A2A6FH0F7LD9ND']","[46.477, 87.946]"
lie low,"during the game of hide and seek, he decided to lie low in the tall grass",literal,"To go out of sight, usually after having done something bad.",literal,literal,literal,"['3YGXWBAF7GXHIMQ75WOYS1VGM8M4CU', '3MHW492WWGTTLLLD2HJZ4N05T6PVMH']","['A2LMQ4497NMK3S', 'A38DXFI1TZA295']","[152.895, 31.362]"
live at rack and manger,"after winning the lottery, they lived at rack and manger with no financial worries",figurative,in between plenty and abundance,figurative,figurative,figurative,"['30JNVC0ORP0FOZOLPL9C6VT1VS9HQY', '37C0GNLMHVJ5210ZOGCO95XC3Z7D6R']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8']","[127.313, 77.38]"
loaves and fishes,the charity event shared loaves and fishes by providing for the needy,figurative,done for material benefits,tie,literal,ambiguous,"['3TOK3KHVJ9YFAY5TXZVWQD972OV7OE', '3M68NM076XNZ3BJ46H78EUEGI0VR68']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8']","[123.647, 59.048]"
long run,the marathon was in the long run category of races,literal,far away in the future,literal,literal,literal,"['3TOK3KHVJ9YFAY5TXZVWQD972OV7OE', '3M68NM076XNZ3BJ46H78EUEGI0VR68']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8']","[123.647, 59.048]"
look before you leap,"when making a big decision, always remember to look before you leap",figurative,to make sure that everything is alright before doing something important which you cannot revert,tie,figurative,ambiguous,"['308Q0PEVBOT9SVIJE1GBKC4RL5K9IX', '3SNLUL3WOK392OESXF8F8OJXFUPLUF']","['A290OV59Q76QC8', 'A2A6FH0F7LD9ND']","[41.075, 83.204]"
lose it,she lost it during the meeting when her pen slipped out of her hand,literal,go insane or crazy,tie,literal,ambiguous,"['3L4D84MILF8Y2CK8UVP39UHFHXJHJ9', '33FOTY3KE210QNTOIE5WU3ODAOCC1P']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8']","[127.917, 52.404]"
lose your marbles,"after working non-stop for days, he finally lost his marbles and started talking nonsense",figurative,strange behaviors.,figurative,figurative,figurative,"['3E13VNJ1N3BR3QFOAO1I56M8NTW1IG', '31QTRG6Q29TGAIDVZ8YBSQYUGSZYPM']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8']","[147.3, 42.162]"
made it,"despite the heavy traffic, they finally made it to the party",literal,used to indicated the completion of a task,figurative,figurative,figurative,"['3KOPY89HMOIJ84D9FA0150G5YSZJ32', '3KKG4CDWKYEFKOJ4TCE7QBU8GNJ49D']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8']","[120.387, 48.432]"
make ends meet,"after losing her job, she was struggling to make ends meet and pay her bills",figurative,make sufficient money to survive on,figurative,figurative,figurative,"['31HQ4X3T38QTNBMO8ADFTN19UX3SL5', '3180JW2OTKSMMJ0DTTOUKXEPCOQJ5S']","['A290OV59Q76QC8', 'A2A6FH0F7LD9ND']","[48.675, 79.492]"
make ends meet,the tailor was struggling to make ends meet when sewing the two pieces of fabric together,literal,make sufficient money to survive on,literal,literal,literal,"['3P1L2B7ADH5EPJUV1TW69IR8X80LO1', '37FMASSAYS7SGOXGCLU7BIZH95OBIA']","['A1HKYY6XI2OHO1', 'A2A6FH0F7LD9ND']","[100.216, 34.816]"
make ones bed and lie on it,they made their bed and lied on it when they decided to invest in that risky business,figurative,to be responsible for what you have done and accept the results,figurative,figurative,figurative,"['3L4D84MILF8Y2CK8UVP39UHFHXJHJ9', '33FOTY3KE210QNTOIE5WU3ODAOCC1P']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8']","[127.917, 52.404]"
meet halfway,"since they lived on opposite sides of town, they agreed to meet halfway in the park for a picnic",literal,to reach a compromise,literal,literal,literal,"['3JWH6J9I98TKUP87917ZGQVYV4HNB1', '3Z3ZLGNNSYA0URHMA0KA21SRCNRQ30']","['A1HKYY6XI2OHO1', 'A38DXFI1TZA295']","[120.909, 50.118]"
mend fences,"after the argument, he started mending fences with her by apologizing",figurative,to try and improve a bad relationship with another party,figurative,figurative,figurative,"['3BDCF01OGDAQJXYX7G54B9PABI0LYD', '3Y54SXRO111XL1MX6OA6UFTE97ATUP']","['A2A6FH0F7LD9ND', 'A38DXFI1TZA295']","[113.946, 31.328]"
mind your own business,the entrepreneurs were minding their own business by managing their respective companies,literal,to look into your own matter,literal,literal,literal,"['31HQ4X3T38QTNBMO8ADFTN19UX3SL5', '3180JW2OTKSMMJ0DTTOUKXEPCOQJ5S']","['A290OV59Q76QC8', 'A2A6FH0F7LD9ND']","[48.675, 79.492]"
my hands are full,"Carrying a stack of books and a cup of coffee, my hands are full at the moment",literal,someone is too busy or has too much going on to be able to do or become involved with anything else,literal,literal,literal,"['3IUZPWIU14NBAMLF7FBFBCRFBATWKK', '3ZDAD0O1THTP25GSBTLTEMSI3PRTXH']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8']","[103.687, 52.675]"
nail in the coffin,the undertaker put the final nail in the coffin before lowering it into the ground,literal,"an action/event that will help bring about the death, end, or failure of something or someone",literal,literal,literal,"['32RIADZIS8KXP3F32IEY76ZY8BA4SQ', '3OS4RQUCRPV86XVQBDOM8LMPTDZFBQ']","['A290OV59Q76QC8', 'A2LMQ4497NMK3S']","[83.249, 148.876]"
off the hook,"after untangling the fishing line, we managed to let him off the hook",literal,free of a difficult situation,tie,ambiguous,literal,"['37TRT2X2467OBZHMU3F7NJEHMKDJBU', '3KXIR214IKW4K4Y583ZSGOMUAHC42O']","['A2A6FH0F7LD9ND', 'A38DXFI1TZA295']","[56.205, 91.41]"
old school,the museum showcased an old school approach to education with antique desks and chalkboards,literal,old fashioned ideas or approach compared to current trends,literal,literal,literal,"['3RRCEFRB72SY8HY1RWS3HHPY4NM4BN', '37U1UTWH9B2M7P2SZW46Y8A7OVLR8U']","['A290OV59Q76QC8', 'A38DXFI1TZA295']","[52.175, 48.645]"
on a silver platter,he served it on a silver platter by doing all the work for her,figurative,to get something without having to work for it,figurative,figurative,figurative,"['30JNVC0ORP0FOZOLPL9C6VT1VSDHQ2', '3TS1AR6UQ6UL4LS0YWC63J0TAN47FS']","['A2LMQ4497NMK3S', 'AKQAI78JTXXC9']","[159.239, 113.325]"
on its knees,"in the art installation, the city was on its knees as the artist had created a miniature version of it, resting on two large sculptures of human knees",literal,something that is in a very weak situation or on the verge of failure,literal,literal,literal,"['3JWH6J9I98TKUP87917ZGQVYV4HNB1', '3Z3ZLGNNSYA0URHMA0KA21SRCNRQ30']","['A1HKYY6XI2OHO1', 'A38DXFI1TZA295']","[120.909, 50.118]"
on pins and needles,"during the acupressure therapy session, she was waiting on pins and needles placed on her back",literal,being anxious or nervous,literal,literal,literal,"['3YGXWBAF7GXHIMQ75WOYS1VGM8MC42', '3LRLIPTPE6PE39IC6AFNTNUOJRRKAY']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8']","[115.33, 43.487]"
on pins and needles,"while anticipating the exam results, we were waiting on pins and needles",figurative,being anxious or nervous,figurative,figurative,figurative,"['37W3JXSD6MO6URAWBUC6KK6Q9P3WYG', '3EWIJTFFV4NFGWSKIM7R6M56Q8K0E4']","['A2LMQ4497NMK3S', 'A38DXFI1TZA295']","[146.281, 44.872]"
on the brink of,the company was on the brink of something big when they launched their new product,figurative,to be on the verge of doing something,figurative,figurative,figurative,"['36WLNQG78FQG0JVUG24GQ31PHCGEB3', '37C0GNLMHVJ5210ZOGCO95XC3Z4D6O']","['A1HKYY6XI2OHO1', 'A2LMQ4497NMK3S']","[116.321, 153.414]"
on the crest of a wave,"after the successful product launch, the company was riding on the crest of a wave",figurative,to reach the highest point of success,figurative,figurative,figurative,"['34T446B1CGU0JY86MV1WGY535W6C0M', '3JV9LGBJW9UY3RGUQ2ZQWQM01REOGY']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8']","[108.273, 45.577]"
on the money,his prediction about the game's outcome was right on the money,figurative,being right about something.,figurative,figurative,figurative,"['30JNVC0ORP0FOZOLPL9C6VT1VSDHQ2', '3TS1AR6UQ6UL4LS0YWC63J0TAN47FS']","['A2LMQ4497NMK3S', 'AKQAI78JTXXC9']","[159.239, 113.325]"
on the pig's back,"after winning the lottery, he was riding on the pig's back and enjoying his newfound wealth",figurative,a successful situation and everything is going well for that person,figurative,figurative,figurative,"['3IUZPWIU14NBAMLF7FBFBCRFBATWKK', '3ZDAD0O1THTP25GSBTLTEMSI3PRTXH']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8']","[103.687, 52.675]"
out of business,the new competitor put them out of business by offering lower prices,figurative,out of operational conditions,literal,literal,literal,"['35K3O9HUART6D07AL4QC9TSAWABEFO', '3VJ40NV2QY328W20A2YXV91PRLOOT9']","['A1HKYY6XI2OHO1', 'A1I7H6RDJS4EKN']","[125.003, 2125.893]"
out of hand,the ball got out of hand when he accidentally dropped it,literal,out of control,literal,literal,literal,"['3XUHV3NRV0EQVD5N5TL98KYAZWNH5M', '3RKNTXVS32ETP7T9LIS7M65SM514AS']","['A2A6FH0F7LD9ND', 'A2LMQ4497NMK3S']","[65.204, 151.035]"
