idiom,meaning,instance,label,assignment_0,assignment_1,assignment_2,gold_0,gold_1,gold_2,maxVote,review_noAgreement,review_maxVoteGptDiff,num_discard
too many cooks spoil the broth,to mean that something does not go well when there are too many ways to do it,"There were too many cooks trying to come up with a solution, so the problem was never solved",0,"{'WorkerId': 'A1QUQ0TV9KVD4C', 'WorkTimeInSeconds': 124, 'AssignmentId': '3FTYUGLFSA19JX0LJX2JHZJCYD8D5W', 'HITId': '34OWYT6U4BX65BKPNZBAVS81YVHI99', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}","{'WorkerId': 'A230VUDYOCRZ4N', 'WorkTimeInSeconds': 69, 'AssignmentId': '3EICBYG64KC7L49S83B2Y3KZVEQJCN', 'HITId': '34OWYT6U4BX65BKPNZBAVS81YVHI99', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 3, 'bad': False}","{'WorkerId': 'APRZ7BR8C0ZMQ', 'WorkTimeInSeconds': 46, 'AssignmentId': '369J354OFTQ8ELAQQ6DWFQ09700G6Q', 'HITId': '34OWYT6U4BX65BKPNZBAVS81YVHI99', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}",0,3,0,0,False,False,1
tight-lipped,unwilling to speak about an event,He was tight-lipped because he'd been stitching up his lips,1,"{'WorkerId': 'A1QUQ0TV9KVD4C', 'WorkTimeInSeconds': 29.269, 'AssignmentId': '34J10VATJVEFKUZ5V3RX67UGNQCQIM', 'HITId': '3P888QFVYIAMTWCE2WZ11KUCK5ZQOF', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 3, 'bad': False}","{'WorkerId': 'AURYD2FH3FUOQ', 'WorkTimeInSeconds': 21.924, 'AssignmentId': '3FQ5JJ51214LNSC1FEKSFTEOAJEKN4', 'HITId': '3P888QFVYIAMTWCE2WZ11KUCK5ZQOF', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 1, 'bad': False}","{'WorkerId': 'AX8NXTT8QMGHC', 'WorkTimeInSeconds': 34.853, 'AssignmentId': '34YB12FSQE4A3OVIDMKD4MXVYCNMG3', 'HITId': '3P888QFVYIAMTWCE2WZ11KUCK5ZQOF', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 1, 'bad': False}",3,1,1,1,False,False,1
rat race,"to be following a routine that is both, exhaustive as well as competitive","He's in the rat race, literally running on a track",1,"{'WorkerId': 'A1QUQ0TV9KVD4C', 'WorkTimeInSeconds': 133, 'AssignmentId': '3M1CVSFP6GL0ECG7JFZKP96X96XQAJ', 'HITId': '37AQKJ12UC4FY49EFHFV0ZBM3J0TT1', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 1, 'bad': False}","{'WorkerId': 'A38DXFI1TZA295', 'WorkTimeInSeconds': 268, 'AssignmentId': '3XC1O3LBO82U2BZ3XAI53SXVNPWTLJ', 'HITId': '37AQKJ12UC4FY49EFHFV0ZBM3J0TT1', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 3, 'bad': False}","{'WorkerId': 'APRZ7BR8C0ZMQ', 'WorkTimeInSeconds': 32, 'AssignmentId': '3QRYMNZ7FEXKQB2O9NYKGK1KSKWNTF', 'HITId': '37AQKJ12UC4FY49EFHFV0ZBM3J0TT1', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 1, 'bad': False}",1,3,1,1,False,False,1
there's no such thing as a free lunch,to be aware of something that seems free of cost but may have a charge levied in another form,You can't get a free lunch,2,"{'WorkerId': 'A290OV59Q76QC8', 'WorkTimeInSeconds': 161, 'AssignmentId': '3IXEICO79IZCJQWWA6C3E9FYXU6T6A', 'HITId': '36818Z1KWIT5KRCBU2INNHHWLV2A3G', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 3, 'bad': False}","{'WorkerId': 'A2A6FH0F7LD9ND', 'WorkTimeInSeconds': 500, 'AssignmentId': '3U088ZLJV099XWEB3M1XSSC6OL20W6', 'HITId': '36818Z1KWIT5KRCBU2INNHHWLV2A3G', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 2, 'bad': False}","{'WorkerId': 'APRZ7BR8C0ZMQ', 'WorkTimeInSeconds': 422, 'AssignmentId': '3RU7GD8VP49JEW1M026MA4ATQGISPQ', 'HITId': '36818Z1KWIT5KRCBU2INNHHWLV2A3G', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 2, 'bad': False}",3,2,2,2,False,False,1
the rose that grew from concrete,a person who achieved greatness even though they came from a place not so great.,She is the rose that grew from concrete in the backyard,1,"{'WorkerId': 'A1QUQ0TV9KVD4C', 'WorkTimeInSeconds': 19.507, 'AssignmentId': '3S96KQ6I92KB4ZBBKTKHKFPQELBDTE', 'HITId': '3WKGUBL7TE27Y6MJR7CW60PDT7GL4D', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 2, 'bad': True}","{'WorkerId': 'A2LMQ4497NMK3S', 'WorkTimeInSeconds': 146.643, 'AssignmentId': '3MB8LZR5BV9VZS9G314D21AZ4HMLKW', 'HITId': '3WKGUBL7TE27Y6MJR7CW60PDT7GL4D', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 1, 'bad': False}","{'WorkerId': 'A38DXFI1TZA295', 'WorkTimeInSeconds': 30.432, 'AssignmentId': '35GCEFQ6IL498JIDXW3NTU4V8473ZL', 'HITId': '3WKGUBL7TE27Y6MJR7CW60PDT7GL4D', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 3, 'bad': False}",2,1,3,1,True,False,1
still waters run deep,to have passion or furore underneath a calm expression,His still waters run deep - he owns a boat and likes to take it out sailing,1,"{'WorkerId': 'A2LMQ4497NMK3S', 'WorkTimeInSeconds': 122, 'AssignmentId': '3MAOD8E576QR7SB8EXZH5NMQ5GKXN8', 'HITId': '3UUSLRKAV0JLJHGAGOCFQZ1IB0L7DK', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}","{'WorkerId': 'A38DXFI1TZA295', 'WorkTimeInSeconds': 41, 'AssignmentId': '3I02618YAGMZT9TQP71MP5SHBD4PU4', 'HITId': '3UUSLRKAV0JLJHGAGOCFQZ1IB0L7DK', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 3, 'bad': False}","{'WorkerId': 'APRZ7BR8C0ZMQ', 'WorkTimeInSeconds': 42, 'AssignmentId': '3KOPY89HMOIJ84D9FA0150G5P1FJ3R', 'HITId': '3UUSLRKAV0JLJHGAGOCFQZ1IB0L7DK', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 1, 'bad': False}",0,3,1,0,True,True,1
slap on the wrist,to show disapproval.,He got slapped on the wrist,2,"{'WorkerId': 'A277V4SHQB8JRS', 'WorkTimeInSeconds': 49.644, 'AssignmentId': '3YGXWBAF7GXHIMQ75WOYS1VGEUN4CV', 'HITId': '3CVBMEMMYQW2VXLC2KV5HKGG3TU7HB', 'HITTypeId': '3VU3J1KUFRFVJRVRP9M4MWPPXMFGTQ', 'gold': 2, 'bad': False}","{'WorkerId': 'A2YO837C0O1E91', 'WorkTimeInSeconds': 18.552, 'AssignmentId': '3KRVW3HTZ31DTT498MEUT0GYLGOSML', 'HITId': '3OREP8RUUHRBXDTRVVP31MQB7IBBG3', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 3, 'bad': True}","{'WorkerId': 'AX8NXTT8QMGHC', 'WorkTimeInSeconds': 30.233, 'AssignmentId': '3ITXP059PCZNSLYO5P12D8OHHMTSJH', 'HITId': '3OREP8RUUHRBXDTRVVP31MQB7IBBG3', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 2, 'bad': False}",2,3,2,2,False,False,1
shed light,to explain something in order to make it easier to understand,She is shedding light,2,"{'WorkerId': 'A1HKYY6XI2OHO1', 'WorkTimeInSeconds': 47.257, 'AssignmentId': '3JAOYWH7VYKBIWQPZ4DOCSWJTNAL92', 'HITId': '37PGLWGSK8MQM73GRW2ZL1MH9PCIKM', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 0, 'bad': False}","{'WorkerId': 'A2H1QUGX0SOUMH', 'WorkTimeInSeconds': 186.791, 'AssignmentId': '3VNL7UK1XVZ82JP7BZF78FSBQYRFTR', 'HITId': '37PGLWGSK8MQM73GRW2ZL1MH9PCIKM', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 3, 'bad': False}","{'WorkerId': 'A38DXFI1TZA295', 'WorkTimeInSeconds': 46.714, 'AssignmentId': '3DEL4X4ELM1LJRFMLZ8SM3KX954YXP', 'HITId': '37PGLWGSK8MQM73GRW2ZL1MH9PCIKM', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 2, 'bad': False}",0,3,2,0,True,True,1
round the clock,continuously or interrupted,She works round the clock by sleeping for three hours and then getting up for work again,1,"{'WorkerId': 'A277V4SHQB8JRS', 'WorkTimeInSeconds': 348.396, 'AssignmentId': '3NJM2BJS4CM37FCQ3GGMVZ6B5QHCPS', 'HITId': '3EGKVCRQGB8BJ4ERP1B98MXFCFYBY0', 'HITTypeId': '3VU3J1KUFRFVJRVRP9M4MWPPXMFGTQ', 'gold': 0, 'bad': False}","{'WorkerId': 'A290OV59Q76QC8', 'WorkTimeInSeconds': 60.578, 'AssignmentId': '30OG32W0SARI1SKRJS9PHY1JPFPNEF', 'HITId': '3YGE63DIOND6ACGHCKWW38GGA240W5', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 0, 'bad': False}","{'WorkerId': 'A2A6FH0F7LD9ND', 'WorkTimeInSeconds': 47.763, 'AssignmentId': '3GNA64GUZUK3864QOJ83HYQBHXE5QK', 'HITId': '3YGE63DIOND6ACGHCKWW38GGA240W5', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 3, 'bad': False}",0,0,3,0,False,True,1
rob Peter to pay Paul,to cause harm to one person in order to do good for another.,He was robed Peter to pay Paul,2,"{'WorkerId': 'A1I7H6RDJS4EKN', 'WorkTimeInSeconds': 97.882, 'AssignmentId': '3JW0YLFXR9W25MFWWTUIZNLAQ2SWW4', 'HITId': '3KG2UQJ0NY44BBC21HZOMVU7UVUQN0', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 3, 'bad': False}","{'WorkerId': 'A26UIS59SY4NM6', 'WorkTimeInSeconds': 90.601, 'AssignmentId': '3TXWC2NHNF6YM9LFJDAPOEAEMOC9SD', 'HITId': '3KG2UQJ0NY44BBC21HZOMVU7UVUQN0', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 0, 'bad': False}","{'WorkerId': 'AURYD2FH3FUOQ', 'WorkTimeInSeconds': 25.653, 'AssignmentId': '3NKQQ8O39ELQ4CQ0KYARPBBSY6ADUC', 'HITId': '3KG2UQJ0NY44BBC21HZOMVU7UVUQN0', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 2, 'bad': False}",3,0,2,0,True,True,1
there's no such thing as a free lunch,to be aware of something that seems free of cost but may have a charge levied in another form,"You can't get a free lunch, so you will have to work hard to achieve the desired outcome",0,"{'WorkerId': 'A2TBXASXZIRNNW', 'WorkTimeInSeconds': 267, 'AssignmentId': '36ZN444YT7ECZIMPGQZTH2ZG7DLOIE', 'HITId': '3ZTE0JGGDT8IZV2VXEY6HF5VGPJOCR', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 3, 'bad': False}","{'WorkerId': 'APRZ7BR8C0ZMQ', 'WorkTimeInSeconds': 476, 'AssignmentId': '3TUI152ZZR34KO37NW6RE8DU5CRQ1V', 'HITId': '3ZTE0JGGDT8IZV2VXEY6HF5VGPJOCR', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}","{'WorkerId': 'AX8NXTT8QMGHC', 'WorkTimeInSeconds': 67, 'AssignmentId': '3WEV0KO0O28APZYWVTFRAAT4CXGSDD', 'HITId': '3ZTE0JGGDT8IZV2VXEY6HF5VGPJOCR', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}",3,0,0,0,False,False,1
in the buff,naked,He was in the buff cheering on his team during the game,0,"{'WorkerId': 'A2TBXASXZIRNNW', 'WorkTimeInSeconds': 570, 'AssignmentId': '3TYCR1GOTSZQON82327NPGYC8P5ZL0', 'HITId': '3KWGG5KP7YIUZSHJKYJTPBGQLPHCMD', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 2, 'bad': False}","{'WorkerId': 'APGX2WZ59OWDN', 'WorkTimeInSeconds': 212, 'AssignmentId': '3DQQ64TANW1CLDIVK7GN7TDEWX3PWZ', 'HITId': '3KWGG5KP7YIUZSHJKYJTPBGQLPHCMD', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 2, 'bad': False}","{'WorkerId': 'APRZ7BR8C0ZMQ', 'WorkTimeInSeconds': 52, 'AssignmentId': '3EKVH9QMEEKHK0HY1E0LJSG0E742DF', 'HITId': '3KWGG5KP7YIUZSHJKYJTPBGQLPHCMD', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 3, 'bad': False}",2,2,3,2,False,True,1
keep one's own counsel,say little or nothing about one's opinions or intentions.,He kept his own counsel,2,"{'WorkerId': 'A1LI3JQS2VBOXC', 'WorkTimeInSeconds': 162, 'AssignmentId': '3DZQRBDBS1VC77WZ249FX17SLKPS3D', 'HITId': '3OEWW2KGRYRS4N89XATH1LND1PVODR', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 3, 'bad': False}","{'WorkerId': 'A1QUQ0TV9KVD4C', 'WorkTimeInSeconds': 177, 'AssignmentId': '3COPXFW7XRSLQDOEVTXKJIJJ9M5KP1', 'HITId': '3OEWW2KGRYRS4N89XATH1LND1PVODR', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 2, 'bad': False}","{'WorkerId': 'AEK2SAEL9GG39', 'WorkTimeInSeconds': 107, 'AssignmentId': '3DL65MZB8TVZAON0U20B1N77Q6VCEW', 'HITId': '3OEWW2KGRYRS4N89XATH1LND1PVODR', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 2, 'bad': False}",3,2,2,2,False,False,1
catch a cold,suffer a financial loss.,She caught a cold after feeling the cold shoulder from her friends,0,"{'WorkerId': 'A2YO837C0O1E91', 'WorkTimeInSeconds': 38.991, 'AssignmentId': '3DY46V3X35YEFKLS4RK0JNVKL1R557', 'HITId': '3TKSOBLOI0WF6WLGF9XP0BZER5JBBM', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 1, 'bad': False}","{'WorkerId': 'A38DXFI1TZA295', 'WorkTimeInSeconds': 45.8, 'AssignmentId': '3G5W44VEUNYFD0VFSA7XP95R80ZGKK', 'HITId': '3TKSOBLOI0WF6WLGF9XP0BZER5JBBM', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 3, 'bad': False}","{'WorkerId': 'AX8NXTT8QMGHC', 'WorkTimeInSeconds': 35.057, 'AssignmentId': '3SBEHTYCW3JOTWQRMD8RJTXILS1IYA', 'HITId': '3TKSOBLOI0WF6WLGF9XP0BZER5JBBM', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 0, 'bad': False}",1,3,0,0,True,False,1
bottom fell out,"when something causes a plan, project or venture to collapse or fail",When the bottom fell out,2,"{'WorkerId': 'A1HKYY6XI2OHO1', 'WorkTimeInSeconds': 23.463, 'AssignmentId': '3CTOC39K3N619NEWHM3RIHSLVFAJ7U', 'HITId': '3HA5ODM5LP8TWW0OVCAKRC3LYMHVSB', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 2, 'bad': False}","{'WorkerId': 'A2LMQ4497NMK3S', 'WorkTimeInSeconds': 19.759, 'AssignmentId': '37M28K1J06TJSPCUOPFBS8UBWNGAJC', 'HITId': '3HA5ODM5LP8TWW0OVCAKRC3LYMHVSB', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 2, 'bad': False}","{'WorkerId': 'AEK2SAEL9GG39', 'WorkTimeInSeconds': 90.219, 'AssignmentId': '3M68NM076XNZ3BJ46H78EUEGALK6RA', 'HITId': '3HA5ODM5LP8TWW0OVCAKRC3LYMHVSB', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 3, 'bad': False}",2,2,3,2,False,False,1
break one's back,get through the hardest part of something.,I broke my back,2,"{'WorkerId': 'A1AXQM54WTRGA5', 'WorkTimeInSeconds': 405, 'AssignmentId': '32N49TQG3WYSJKCO5ETUVW55Q20AVT', 'HITId': '3UUSLRKAV0JLJHGAGOCFQZ1IB0Y7DX', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 3, 'bad': False}","{'WorkerId': 'A1LI3JQS2VBOXC', 'WorkTimeInSeconds': 297, 'AssignmentId': '3BDCF01OGDAQJXYX7G54B9PA2V1YL8', 'HITId': '3UUSLRKAV0JLJHGAGOCFQZ1IB0Y7DX', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 2, 'bad': False}","{'WorkerId': 'APRZ7BR8C0ZMQ', 'WorkTimeInSeconds': 394, 'AssignmentId': '3MYYFCXHJJNUZY6C7IKHISGVBDH4GO', 'HITId': '3UUSLRKAV0JLJHGAGOCFQZ1IB0Y7DX', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 2, 'bad': False}",3,2,2,2,False,False,1
bring someone to book,make somebody accountable for their conduct.,The police brought him to book,2,"{'WorkerId': 'A1QUQ0TV9KVD4C', 'WorkTimeInSeconds': 14.219, 'AssignmentId': '31T4R4OBO8WE198Q7UM5VDFQ5V1C79', 'HITId': '3S4TINXCDF3ZPQAPJE2B6VZDY5YOB1', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 2, 'bad': True}","{'WorkerId': 'AURYD2FH3FUOQ', 'WorkTimeInSeconds': 23.371, 'AssignmentId': '352YTHGROBT8ZU1NRO2Z3SSWRLFH42', 'HITId': '3S4TINXCDF3ZPQAPJE2B6VZDY5YOB1', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 0, 'bad': False}","{'WorkerId': 'AX8NXTT8QMGHC', 'WorkTimeInSeconds': 71.777, 'AssignmentId': '3X73LLYYQHUUL2BT9THV21YWI2ANH3', 'HITId': '3S4TINXCDF3ZPQAPJE2B6VZDY5YOB1', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 3, 'bad': False}",2,0,3,0,True,True,1
burst at the seams,to be filled up to the brim,The room was bursting at the seams due to all the wear and tear it had sustained,1,"{'WorkerId': 'A1LI3JQS2VBOXC', 'WorkTimeInSeconds': 39, 'AssignmentId': '3KOPY89HMOIJ84D9FA0150G5P1F3JB', 'HITId': '3MIVREZQWWE335RZ4478U3D30ZAKQ8', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 1, 'bad': False}","{'WorkerId': 'A1QUQ0TV9KVD4C', 'WorkTimeInSeconds': 96, 'AssignmentId': '3LQ8PUHQF1827102CD43XT2FVR7IHK', 'HITId': '3MIVREZQWWE335RZ4478U3D30ZAKQ8', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 1, 'bad': False}","{'WorkerId': 'A38DXFI1TZA295', 'WorkTimeInSeconds': 43, 'AssignmentId': '3HWRJOOETLIFH5CWROQBGSBPC9HSE6', 'HITId': '3MIVREZQWWE335RZ4478U3D30ZAKQ8', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 3, 'bad': False}",1,1,3,1,False,False,1
carry coals to new castle,to take something to a place or a person that has a lot of that thing already,She carried coals to Newcastle although she knew it was a futile effort,0,"{'WorkerId': 'A1P3Z24Y6GRNVA', 'WorkTimeInSeconds': 39.236, 'AssignmentId': '31JLPPHS2AAX9F46VNS6DWXRP7XO3C', 'HITId': '372AGES0JJL9Z656G2BXPNVASV6XRS', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 2, 'bad': False}","{'WorkerId': 'A3CGQOJC28OVGN', 'WorkTimeInSeconds': 25.859, 'AssignmentId': '34S6N1K2ZBZ4X288XG1GP9U7D7BLH0', 'HITId': '372AGES0JJL9Z656G2BXPNVASV6XRS', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 3, 'bad': False}","{'WorkerId': 'AURYD2FH3FUOQ', 'WorkTimeInSeconds': 25.129, 'AssignmentId': '3FPRZHYEPENSZZD3WZEK8ORZL0U3VT', 'HITId': '372AGES0JJL9Z656G2BXPNVASV6XRS', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 2, 'bad': False}",2,3,2,2,False,True,1
in the bad books,out of favour,He's in the bad books because he checked them out of the library but never returned them,1,"{'WorkerId': 'A1QUQ0TV9KVD4C', 'WorkTimeInSeconds': 134, 'AssignmentId': '36TFCYNS4KQZXWPXBZ4403PUJ4BXHZ', 'HITId': '3RDTX9JRUDH9GR3T487D43ISKF6793', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 3, 'bad': False}","{'WorkerId': 'A2LMQ4497NMK3S', 'WorkTimeInSeconds': 184, 'AssignmentId': '3MAOD8E576QR7SB8EXZH5NMQ5GKNXY', 'HITId': '3RDTX9JRUDH9GR3T487D43ISKF6793', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}","{'WorkerId': 'A2TBXASXZIRNNW', 'WorkTimeInSeconds': 269, 'AssignmentId': '3A1COHJ8NZB9IVOP3RSCK481SV2H8B', 'HITId': '3RDTX9JRUDH9GR3T487D43ISKF6793', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 1, 'bad': False}",3,0,1,0,True,True,1
basket case,a person or a thing that is not able to function properly,He is a basket case because he is carrying all the groceries in a basket,1,"{'WorkerId': 'A1QUQ0TV9KVD4C', 'WorkTimeInSeconds': 290, 'AssignmentId': '32SCWG5HIXKERY3PTP3J9ZE18RN6PK', 'HITId': '3U18MJKL2920HA2JWZYT2Q5QQFENCB', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 1, 'bad': False}","{'WorkerId': 'A2A6FH0F7LD9ND', 'WorkTimeInSeconds': 576, 'AssignmentId': '34S9DKFK7J5G7X1IJTLJO1TZ7MEYNF', 'HITId': '3U18MJKL2920HA2JWZYT2Q5QQFENCB', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 1, 'bad': False}","{'WorkerId': 'A38DXFI1TZA295', 'WorkTimeInSeconds': 231, 'AssignmentId': '3KAKFY4PGAINDTT3XSF1TZ15CMQ3IZ', 'HITId': '3U18MJKL2920HA2JWZYT2Q5QQFENCB', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 3, 'bad': False}",1,1,3,1,False,False,1
bang on,to be exact; to be correct; to be proper,She was bang on the door trying to get inside,1,"{'WorkerId': 'A277V4SHQB8JRS', 'WorkTimeInSeconds': 115.787, 'AssignmentId': '3DY4FPOOAH4KI1Y57PFGQMUFRFKVR1', 'HITId': '3DWNFENNFIB13GYJOM0JQLCLPJ8J48', 'HITTypeId': '3VU3J1KUFRFVJRVRP9M4MWPPXMFGTQ', 'gold': 1, 'bad': False}","{'WorkerId': 'A290OV59Q76QC8', 'WorkTimeInSeconds': 33.556, 'AssignmentId': '3MD9PLUKKYUGCNBNFFN22821DLYNZL', 'HITId': '32L724R8600RXY0W4O77HI8G3ZIIPN', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 3, 'bad': False}","{'WorkerId': 'AX8NXTT8QMGHC', 'WorkTimeInSeconds': 46.584, 'AssignmentId': '3VHHR074HJX74D2WK7F4YW5DYXM7LC', 'HITId': '32L724R8600RXY0W4O77HI8G3ZIIPN', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 1, 'bad': False}",1,3,1,1,False,False,1
back to the wall,to be in a difficult situation,They were backed up against the wall,2,"{'WorkerId': 'A290OV59Q76QC8', 'WorkTimeInSeconds': 31.956, 'AssignmentId': '3F1567XTNCLM9T62R9LKTEVD3TW9QE', 'HITId': '31J7RYEC006Q67P04PTU82IAHN6L10', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 2, 'bad': False}","{'WorkerId': 'A2YO837C0O1E91', 'WorkTimeInSeconds': 65.905, 'AssignmentId': '3JC6VJ2SARZBLQX9ZNBHRYB6DFSA5I', 'HITId': '31J7RYEC006Q67P04PTU82IAHN6L10', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 3, 'bad': False}","{'WorkerId': 'AX8NXTT8QMGHC', 'WorkTimeInSeconds': 44.445, 'AssignmentId': '3ZOTGHDK5YR1TWPLL2T7L453GG3SO0', 'HITId': '31J7RYEC006Q67P04PTU82IAHN6L10', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 2, 'bad': False}",2,3,2,2,False,False,1
cold shoulder,to treat somebody with coldness and contempt,He gave me the cold shoulder by literally keeping his arm away from me,1,"{'WorkerId': 'A290OV59Q76QC8', 'WorkTimeInSeconds': 39.118, 'AssignmentId': '30MVJZJNH2T5N62PWJ1BWDJRPY49JN', 'HITId': '3OPLMF3EVK3TKEWP9CRS59VDKOBNLA', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 1, 'bad': False}","{'WorkerId': 'A2A6FH0F7LD9ND', 'WorkTimeInSeconds': 62.325, 'AssignmentId': '3WEV0KO0O28APZYWVTFRAAT4C2XDSP', 'HITId': '3OPLMF3EVK3TKEWP9CRS59VDKOBNLA', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 3, 'bad': False}","{'WorkerId': 'A2LMQ4497NMK3S', 'WorkTimeInSeconds': 155.97, 'AssignmentId': '3NGI5ARFT9LJKC2SNJR2E3NK0LN1P7', 'HITId': '3OPLMF3EVK3TKEWP9CRS59VDKOBNLA', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 1, 'bad': False}",1,3,1,1,False,False,1
