idiom,meaning,s_f_brkt,s_l_brkt,s_f,s_l,s_a,p_f_de_nllb,p_f_he_nllb,p_f_hi_nllb,p_f_hu_nllb,p_f_ko_nllb,p_f_es_nllb,p_f_yo_nllb,p_f_zh_nllb,p_l_de_nllb,p_l_he_nllb,p_l_hi_nllb,p_l_hu_nllb,p_l_ko_nllb,p_l_es_nllb,p_l_yo_nllb,p_l_zh_nllb,p_a_de_nllb,p_a_he_nllb,p_a_hi_nllb,p_a_hu_nllb,p_a_ko_nllb,p_a_es_nllb,p_a_yo_nllb,p_a_zh_nllb
knee jerk reaction,an automatic response to something,His sudden outburst was [[a knee jerk reaction to the news]] of the company's bankruptcy,"The doctor tapped his patient's leg, causing [[a knee jerk reaction to the news]] of the reflex hammer",His sudden outburst was a knee jerk reaction to the news of the company's bankruptcy,"The doctor tapped his patient's leg, causing a knee jerk reaction to the news of the reflex hammer",a knee jerk reaction to the news,Sein Ausbruch war eine Reaktion auf die Bankrottmeldung.,התפרצותו הפתאומית הייתה תגובה פזיזה לחדשות על פשיטת הרגל של החברה.,कंपनी के दिवालिया होने की खबर पर उनका अचानक प्रकोप एक घुटने की झटके की प्रतिक्रिया थी,"A hirtelen kitörése egy térdrepülés reakció volt a hírre, hogy a cég csődbe ment.",그의 갑작스러운 분노는 회사의 파산 소식을 듣고 일어난,Su repentino estallido fue una reacción de arrullo a la noticia de la quiebra de la compañía,Ìwà àìlọ́gbọ́n-nínú tó hù yìí jẹ́ nítorí pé ó gbọ́ pé ilé iṣẹ́ náà ti forí ṣánpọ́n,他突然的暴发是对公司破产的消息的动反应,"Der Arzt klopfte dem Patienten auf das Bein, was zu einer Reaktion auf die Nachricht vom Reflexhammer führte.","הרופא פגע ברגל של המטופל שלו, מה שגרם לתגובה של הרגל לריבוי כף הברך לחדשות על פטיש הרפלקס","डॉक्टर ने अपने मरीज के पैर को टटोला, जिससे रिफ्लेक्स हथौड़े की खबर पर घुटने की झटके की प्रतिक्रिया हुई","Az orvos megütötte a páciens lábát, és a reflex kalapács hírére térdráma volt.","의사 는 환자 의 다리 를 두드렸는데, 그 결과 환자 의 무릎 이 반사 망치 에 대한 소식 에 반응 을 보인 것 입니다","El médico golpeó la pierna de su paciente, causando una reacción de tirón de rodilla a la noticia del martillo reflejo","Dókítà náà fọwọ́ kan ẹsẹ̀ aláìsàn rẹ̀, èyí sì mú kí orúnkún rẹ̀ gbọ̀n pẹ̀pẹ̀ nígbà tó gbọ́ ìròyìn nípa òòlù tó ń fi nǹkan gún ara","医生敲打他的病人腿,导致膝盖动反应的反射的消息",Eine Reaktion auf die Nachrichten.,תגובה עצבנית לחדשות.,समाचार के लिए एक घुटने झटका प्रतिक्रिया,A térd-repülés reakciója a hírekre,뉴스에 대한 무릎  반응,una reacción de repulsión de rodilla a las noticias,ìmóríyá tó máa ń ṣe nígbà tí ìròyìn bá dé,对于新闻的反应
knock on wood,tap knuckle on wood in order to avoid bad luck,"Hoping for good luck, [[she knocked on wood]] before the big presentation","To test the sturdiness of the table, [[she knocked on wood]]","Hoping for good luck, she knocked on wood before the big presentation","To test the sturdiness of the table, she knocked on wood",she knocked on wood,In der Hoffnung auf Glück klopfte sie vor der großen Präsentation an Holz.,"בתקווה למזל טוב, היא דפקה על עץ לפני המצגת הגדולה.","अच्छी किस्मत की उम्मीद में, वह बड़ी प्रस्तुति से पहले लकड़ी पर दस्तक दी","A jó szerencsére remélve, kopogtatott a fába a nagy bemutató előtt.","행운을 바라고, 그녀는 큰 발표 전에 나무에 두드렸다","Esperando tener suerte, llamó a la madera antes de la gran presentación.","Ó ń retí pé òun á rí i pé òun ṣàṣeyọrí, ló bá kan ilẹ̀kùn igi kó tó di pé wọ́n ṣe ìfilọ̀ náà.","在大演讲之前,她敲了木头,希望能有好运.","Um die Festigkeit des Tisches zu testen, klopfte sie an Holz","כדי לבדוק את חוזק השולחן, היא דפק על עץ","मेज की मजबूती को परखने के लिए, उसने लकड़ी पर दस्तक दी","Hogy megvizsgálja az asztal szilárdságát, fába kopogott.","테이블의 견고함을 시험하기 위해, 그녀는 나무를 두드렸습니다","Para probar la solidez de la mesa, ella golpeó en la madera","Láti lè mọ̀ bóyá tábìlì náà lágbára, ó kan igi","为了测试桌子的坚固性,她敲了木头",Sie klopfte an Holz.,היא דפקה על עץ.,उसने लकड़ी पर दस्तक दी,kopogtatott a fába.,그녀는 나무를 두드렸다,Ella golpeó la madera,ó kan igi,她敲了木头
know the ropes,to know all the ways and means to get something done,"Having worked there for years, [[he knew the ropes well]] and could handle any task","As an experienced sailor, [[he knew the ropes well]] and could tie any knot","Having worked there for years, he knew the ropes well and could handle any task","As an experienced sailor, he knew the ropes well and could tie any knot",he knew the ropes well,"Er hatte jahrelang dort gearbeitet, kannte die Fäden gut und konnte jede Aufgabe bewältigen.","לאחר שעבד שם במשך שנים, הוא ידע את החבלים היטב ויכול להתמודד עם כל משימה","वहां वर्षों तक काम करने के बाद, वह रस्सियों को अच्छी तरह से जानता था और किसी भी कार्य को संभाल सकता था","Évekig dolgozott ott, jól ismerte a köteleket és minden feladatot el tudott végezni.","몇 년 동안 일해 왔기 때문에, 그는 로프를 잘 알고 어떤 일을 할 수 있었다","Habiendo trabajado allí durante años, conocía bien las cuerdas y podía manejar cualquier tarea.","Ó ti ṣiṣẹ́ níbẹ̀ fún ọ̀pọ̀ ọdún, ó mọ gbogbo nǹkan tó yẹ ní ṣíṣe, ó sì lè ṣe iṣẹ́ èyíkéyìí tó bá ní kó ṣe","他知道这里的工作, 能处理任何任务.",Als erfahrener Seemann kannte er die Seile gut und konnte jeden Knoten binden,"כנווט מנוסה, הוא ידע את החבלים היטב ויכול לקשור כל קשר","एक अनुभवी नाविक के रूप में, वह रस्सियों को अच्छी तरह से जानता था और किसी भी गाँठ को बांध सकता था","Mint tapasztalt tengerész, jól ismerte a köteleket, és minden csomót meg tudott kötni","경험 많은 선원 으로서, 그는 로프를 잘 알고 어떤 매듭 을든 묶을 수 있었습니다","Como marinero experimentado, conocía bien las cuerdas y podía atar cualquier nudo","Torí pé ó ti mọ ọkọ̀ òkun rìn dáadáa, ó mọ àwọn okùn tó wà nínú ọkọ̀ náà dáadáa, ó sì lè so ìdè èyíkéyìí tó bá wù ú","作为一名经验丰富的水手, 他很熟悉绳索, 能把任何一条绳索都绑起来",Er kannte die Fäden gut.,הוא ידע את החבלים היטב.,वह रस्सियों को अच्छी तरह से जानता था,Jól ismerte a köteleket.,그는 줄 잘 알고,Él conocía bien las cuerdas.,ó mọ àwọn ohun tó yẹ kó ṣe dáadáa,他很了解这些事情.
know which side one's bread is buttered,to be cognizant of where one's interests lie in a given situation.,"He always supports the boss's decisions, showing that he [[knows which side his bread is buttered]]",He carefully observed the sandwich and [[knows which side his bread is buttered]] to avoid getting his hands greasy,"He always supports the boss's decisions, showing that he knows which side his bread is buttered",He carefully observed the sandwich and knows which side his bread is buttered to avoid getting his hands greasy,knows which side his bread is buttered,"Er unterstützt immer die Entscheidungen des Chefs und zeigt, dass er weiß, auf welcher Seite sein Brot mit Butter bestellt ist","הוא תמיד תומך בהחלטות הבוס, מראה שהוא יודע באיזה צד לחם שלו הוא חמאה",वह हमेशा अपने बॉस के फैसलों का समर्थन करता है और दिखाता है कि वह जानता है कि उसकी रोटी किस तरफ मक्खन से मक्खन की जाती है,"Mindig támogatja a főnök döntéseit, és megmutatja, hogy tudja, melyik oldalán van a kenyerének a vaj","그는 항상 상사의 결정 을 지지 하며, 자기 가 어떤 면 으로 버터 를 넣었는지 알고 있다는 것 을 보여 줍니다","Siempre apoya las decisiones del jefe, mostrando que sabe qué lado de su pan está untado","Ó máa ń fara mọ́ ìpinnu tí ọ̀gá rẹ̀ bá ṣe, ó sì máa ń fi hàn pé òun mọ ibi tóun ti lè ṣe ohun tó tọ́","他总是支持老板的决定, 表明他知道他的面包是哪一面的","Er beobachtet das Brot genau und weiß, auf welcher Seite das Brot mit Butter ist, damit seine Hände nicht schmierig werden.",הוא מתבונן בזהירות בסנדוויץ' ויודע באיזה צד לחם שלו יש חמאה כדי למנוע את ידיו שמנות,वह रोटी को ध्यान से देखता है और जानता है कि रोटी के किस तरफ मक्खन लगाया गया है ताकि उसके हाथों में तेल न लगे,"Óvatosan megnézte a szendvicset, és tudja, melyik oldalán van a kenyér vaj, hogy ne legyen zsíros a keze.","그는 샌드위치 를 주의 깊게 관찰 하고, 손에 기름 을 묻히지 않도록 빵 의 어느 쪽 에 버터 가 들어 있는지 알고 있습니다.",Observa cuidadosamente el sándwich y sabe qué lado de su pan está untado para evitar que sus manos se engrasen,"Ó máa ń fara balẹ̀ wo búrẹ́dì náà, ó sì máa ń mọ apá ibi tí wọ́n ti fi òróró sí kó má bàa di pé ọwọ́ rẹ̀ máa sanra","他仔细观察三明治,知道面包的哪一边是用黄油的,以免让他的手变油","weiß, auf welcher Seite sein Brot mit Butter bestückt ist",יודע באיזה צד לחם שלו חמאה,जानता है कि उसकी रोटी किस तरफ मक्खन से मक्खन है,"Tudja, melyik oldalán van a kenyér vajzattal.",빵이 어떤 쪽에 버터를 넣었는지 알고,Sabe qué lado de su pan está untado,ó mọ apá ibi tí wọ́n ti fi òróró sí búrẹ́dì rẹ̀,知道他的面包是哪一面面的
knowing which way the wind blows,this means that you should know how things are developing and be prepared for the future,He made a wise decision by [[knowing which way the wind blows]] in the company,"As an experienced sailor, he was skilled at [[knowing which way the wind blows]]",He made a wise decision by knowing which way the wind blows in the company,"As an experienced sailor, he was skilled at knowing which way the wind blows",knowing which way the wind blows,"Er traf eine kluge Entscheidung, weil er wusste, in welche Richtung der Wind in der Firma weht",הוא קיבל החלטה נבונה על ידי ידי ידיעה לאיזה כיוון הרוח נושבת בחברה,"उसने कंपनी में हवा किस तरफ बहती है, यह जानकर एक बुद्धिमानी भरा फैसला किया","Bölcsen döntött, mert tudta, hogy a cégben melyik irányba fúj a szél",회사 에서 바람 이 어느 쪽 으로 불는지 알고 현명 한 결정 을 내렸어요,Tomó una decisión sabia al saber de qué lado sopla el viento en la compañía,Ó ṣe ìpinnu tó bọ́gbọ́n mu torí ó mọ ibi tí ẹ̀fúùfù ti ń fẹ́ lọ láàárín àwọn tó ń ṣiṣẹ́,"他明智地做出了决定,因为他知道公司的风向哪里吹","Als erfahrener Segler war er gut darin, zu erkennen, in welche Richtung der Wind weht","כנווט מנוסה, הוא היה מיומן בהבנת כיוון הרוח","एक अनुभवी नाविक के रूप में, वह हवा की दिशा जानने में कुशल था","Mint tapasztalt tengerész, ügyesen tudta, merre fúj a szél","경험 많은 선원 이자 로서, 그는 바람 이 어느 쪽 으로 불는지 잘 알고 있었다","Como marinero experimentado, era hábil para saber de qué lado soplaba el viento","Gẹ́gẹ́ bí atukọ̀ òkun tó ti pẹ́ lẹ́nu iṣẹ́, ó mọ ibi tí ẹ̀fúùfù ti ń fẹ́","作为一个有经验的水手,他熟练地知道风向哪里吹","Wissen, woher der Wind weht",לדעת לאיזה כיוון הרוח נושבת.,हवा किस दिशा में बहती है यह जानकर,"Tudva, merre fúj a szél",바람이 어느 쪽으로 불는지 알고,sabiendo de qué lado sopla el viento,mímọ ibi tí afẹ́fẹ́ ti ń fẹ́,知道风向哪里吹
lead astray,make someone act or think in a wrong or foolish manner.,The false information [[led them astray]] in their investigation,The broken compass [[led them astray]] in the dense forest,The false information led them astray in their investigation,The broken compass led them astray in the dense forest,led them astray,Die falschen Informationen haben sie in ihrer Untersuchung in die Irre geführt.,המידע השגוי הוביל אותם לדרך הלא נכונה בחקירתם.,गलत सूचना ने उन्हें अपनी जांच में भटकने पर मजबूर कर दिया,A hamis információ félrevezeti őket a nyomozásukban.,잘못된 정보가 그들을 잘못 인도했습니다.,La información falsa los llevó por mal camino en su investigación.,Ìsọfúnni èké náà ló mú kí wọ́n ṣi ìwádìí wọn lọ́nà,错误的信息使他们误入了错误的调查,Der kaputte Kompass führte sie in den dichten Wäldern in die Irre.,המצפן השבור הוביל אותם לאיבוד ביער הצפוף.,टूटे हुए कंपास ने उन्हें घने जंगल में भटकने का रास्ता दिखाया,A törött iránytű elvezette őket a sűrű erdőbe.,부서진 나침반이 그들을 밀집한 숲에서 길을 잃게 했습니다.,La brújula rota los llevó a perderse en el denso bosque,Ìlà tó ti bà jẹ́ ló mú wọn ṣìnà nínú igbó tó tutù,破碎的指南针使他们在森林中迷路,und sie irregeführt,הוליך אותם לאיבוד,और उन्हें गुमराह किया,Eltévelyedett őket.,그들을 방황케 했으니,Los hizo extraviarse,ó mú wọn ṣìnà,"他曾使他们迷误,"
lean towards,to be interested in something,"After considering the pros and cons, she [[was leaning towards that option]]","While standing near the table, he [[was leaning towards that option]] to get a closer look","After considering the pros and cons, she was leaning towards that option","While standing near the table, he was leaning towards that option to get a closer look",was leaning towards that option,"Nachdem sie die Vor- und Nachteile betrachtet hatte, neigte sie sich zu dieser Option","אחרי שבדקה את היתרונות והחסרונות, היא נטה לאפשרות הזאת.","इसके फायदे और नुकसान पर विचार करने के बाद, वह उस विकल्प की ओर झुक रही थी","Miután mérlegelte az előnyeit és hátrányait, inkább erre a lehetőségre hajolt.","장단점을 고려한 후, 그녀는 그 선택에 대해","Después de considerar los pros y los contras, ella se inclinaba hacia esa opción","Lẹ́yìn tó ti gbé àwọn àǹfààní àti àléébù tó wà nínú ọ̀ràn náà yẹ̀ wò, ó pinnu pé irú nǹkan bẹ́ẹ̀ ló máa ṣe.","考虑了好坏,她倾向于选择这个选择","Während er in der Nähe des Tisches stand, neigte er sich zu dieser Option, um einen genaueren Blick zu bekommen","בזמן שעמד ליד השולחן, הוא נשען לעבר האפשרות הזאת כדי לקבל מבט מקרוב","मेज के पास खड़े रहते हुए, वह उस विकल्प की ओर झुक रहा था ताकि करीब से देख सके","Amíg az asztal mellett állt, arra a lehetőségre hajolt, hogy közelebbről megnézze","테이블에 가까이 서있는 동안, 그는 더 가까이 볼 수있는 옵션을 향해 기울여 있었다","Mientras estaba de pie cerca de la mesa, se inclinaba hacia esa opción para ver de cerca","Nígbà tí ó dúró nítòsí tábìlì, ó ń nàgà síbi tí ó wà láti lè wo ọ̀ràn náà dáadáa","站在桌子旁边,他倾向于那个选项,以更好地看看",war zu dieser Option geneigt,היה נוטה לאפשרות הזאת,इस विकल्प की ओर झुकाव था,- Az a lehetőség.,그 선택에 대해,se inclinaba hacia esa opción,ó fẹ́ràn láti ṣe irú nǹkan bẹ́ẹ̀,倾向于使用这种选择
leaps and bounds,progress very quickly,"After attending the workshop, her skills [[made progress in leaps and bounds]]",The kangaroo [[made progress in leaps and bounds]] across the field,"After attending the workshop, her skills made progress in leaps and bounds",The kangaroo made progress in leaps and bounds across the field,made progress in leaps and bounds,Nach dem Workshop hat sie ihre Fähigkeiten in Sprüngen verbessert.,"לאחר שהשתתפה בסדנה, כישוריה התקדמו בקפיצות","कार्यशाला में भाग लेने के बाद, उसके कौशल में छलांग और सीमाओं में प्रगति हुई","A műhelyen való részvétel után, a képességei ugrásszerűen fejlődtek.",워크숍에 참석한 후 그녀의 기술은 급격히 발전했습니다.,"Después de asistir al taller, sus habilidades progresaron a pasos agigantados.","Lẹ́yìn tó lọ síbi ìdánilẹ́kọ̀ọ́ náà, ó bẹ̀rẹ̀ sí í mọ bí wọ́n ṣe ń ṣe nǹkan","在参加了研讨会后,她的技能飞速发展",Der Känguru sprang und sprang über das Feld.,הקנגורו התקדמה בקפיצות על פני השדה,कंगारू ने मैदान में छलांग लगाकर प्रगति की,A kenguru ugrálgatva haladt át a mezőn,거루 는 들판 을 뛰어 넘으며 진전 을 이룩 하였다,El canguro avanzó a saltos y límites a través del campo,Kàngárì náà ń sáré kiri nínú pápá náà,袋鼠在田间里跳跃而飞,Fortschritte in Sprüngen und Grenzen,התקדמות קפיצה.,प्रगति में छलांग और सीमाएं,ugrással és határtalanul haladt.,한발  한발  한발  한발  한발  한발,progreso hecho en saltos y límites,ìtẹ̀síwájú tó yára kánkán,取得了飞跃的进展
learn to walk before you run,to take smaller steps initially,You should [[learn to walk before you run]] when it comes to mastering a new skill,"As a toddler, you must [[learn to walk before you run]] to avoid falling",You should learn to walk before you run when it comes to mastering a new skill,"As a toddler, you must learn to walk before you run to avoid falling",learn to walk before you run,"Man sollte erst laufen lernen, bevor man läuft, wenn es darum geht, eine neue Fähigkeit zu beherrschen.",אתה צריך ללמוד ללכת לפני שאתה רץ כשזה מגיע לשלוט בכישרון חדש,जब आप किसी नए कौशल में महारत हासिल करने की बात करते हैं तो आपको दौड़ने से पहले चलना सीखना चाहिए,"Meg kell tanulnod járni, mielőtt futni kezdesz, ha új készséget kell elsajátítanod.",새로운 기술을 익히기 위해서는 달리기 전에 걷는 법을 배워야 한다,Deberías aprender a caminar antes de correr cuando se trata de dominar una nueva habilidad,Ó yẹ kó o kọ́ bí wàá ṣe máa rìn kó o tó bẹ̀rẹ̀ sí í sáré tó bá dọ̀rọ̀ kíkọ́ ohun tuntun,"对于掌握新技能,你应该先学会走路,然后再跑步.","Als Kleinkind musst du erst laufen lernen, um nicht zu fallen","בתור תינוק קטן, עליך ללמוד ללכת לפני שאתה רץ כדי להימנע מליפול","एक बच्चे के रूप में, आपको गिरने से बचने के लिए दौड़ने से पहले चलना सीखना चाहिए","Mint kisgyerek, el kell tanulnod járni, mielőtt futni kezdesz, hogy ne ess le","유아 는 달리기 를 하기 전 에 걸음을 배워야 하며, 그렇게 하면 넘어지지 않을 것 입니다","Cuando eres un niño pequeño, debes aprender a caminar antes de correr para evitar caer","Nígbà tó o ṣì kéré, o gbọ́dọ̀ kọ́ bí wàá ṣe máa rìn kó o tó bẹ̀rẹ̀ sí í sáré kó o má bàa ṣubú","作为一个步行步的孩子,你必须先学会走路,然后再跑步,以免摔倒","Lerne zu gehen, bevor du rennst.",תלמד ללכת לפני שאתה רץ.,दौड़ने से पहले चलना सीखें,"Tanulj meg járni, mielőtt futni kezdesz.",달리기 전에 걷기를 배우세요,Aprende a caminar antes de correr,kọ́ bó o ṣe lè máa rìn kó o tó máa sáré,在跑步之前先学会走路
leave at the altar,decide not to marry someone at the very last moment,[[He left her at the altar]] when he decided not to show up for their wedding,[[He left her at the altar]] to fetch the forgotten wedding rings from their car,He left her at the altar when he decided not to show up for their wedding,He left her at the altar to fetch the forgotten wedding rings from their car,He left her at the altar,"Er hat sie vor dem Altar gelassen, als er beschloss, nicht zu ihrer Hochzeit zu kommen.",הוא השאיר אותה במזבח כשהוא החליט לא להופיע לחתונה שלהם,उन्होंने उसे वेदी पर छोड़ दिया जब उन्होंने अपनी शादी के लिए नहीं दिखाने का फैसला किया,"Az oltárnál hagyta, amikor úgy döntött, nem jön el az esküvőjükre.","결혼식에 오지 않기로 결심했을 때, 그는 그녀를 제단에서 버렸어요.",La dejó en el altar cuando decidió no aparecer en su boda.,Ó fi í sílẹ̀ níbi pẹpẹ nígbà tó pinnu láti máà wá síbi ìgbéyàwó wọn,"他决定不去参加他们的婚礼时,","Er hat sie am Altar gelassen, um die vergessenen Eheringe aus dem Auto zu holen.",הוא השאיר אותה במזבח כדי להביא את טבעות הנישואין שנשכחו ממכוניתם.,वह उसे वेदी पर छोड़ दिया उनकी कार से भूल शादी की अंगूठी लाने के लिए,"Otthagyta az oltárnál, hogy elvigye a felejtett jegygyűrűket a kocsijukból.",결혼반지를 차에서 가져오기 위해 그녀를 제단에서 두고 갔어요,La dejó en el altar para recoger los anillos de bodas olvidados de su coche,Ó fi í sílẹ̀ níbi pẹpẹ láti lọ mú àwọn òrùka ìgbéyàwó tí wọ́n gbàgbé nínú ọkọ̀ wọn,"他把她留在祭坛上,从他们的车里拿回遗忘的结婚戒指.",Er hat sie am Altar gelassen.,הוא השאיר אותה במזבח.,वह उसे वेदी पर छोड़ दिया,Otthagyta az oltárnál.,제단에서 그녀를 떠났어,La dejó en el altar.,Ó fi í sílẹ̀ ní pẹpẹ,他把她留在祭坛前
leg up,give or receive assistance to achieve a goal,The scholarship [[gave her a leg up]] in her pursuit of higher education,He [[gave her a leg up]] to help her climb over the fence,The scholarship gave her a leg up in her pursuit of higher education,He gave her a leg up to help her climb over the fence,gave her a leg up,Das Stipendium verschaffte ihr einen Vorteil bei der Verfolgung der höheren Bildung,המלגה נתנה לה יתרון בחיפוש אחר השכלה גבוהה,इस छात्रवृत्ति ने उसे उच्च शिक्षा प्राप्त करने में मदद की,Az ösztöndíj segített neki a felsőoktatás megszerzésében,그 장학금 은 그 가 고등 교육 을 추구 하는 데 도움 이 되었다,La beca le dio una ventaja en su búsqueda de una educación superior,Ẹ̀kọ́ tó gbà yìí ló jẹ́ kó lè lọ sí ilé ẹ̀kọ́ gíga,这项奖学金使她在追求高等教育方面有了很大的进步,"Er hat ihr ein Bein hochgeholt, damit sie über den Zaun klettert.",הוא העניק לה רגל כדי לעזור לה לטפס על הגדר.,उसने उसे एक पैर दिया ताकि वह बाड़ पर चढ़ने में मदद कर सके,"Felállította a lábát, hogy át tudjon mászni a kerítésen.",그는 그녀의 발을 위로 어 울타리를 넘도록 도와줬어요.,Le dio una pierna para ayudarla a trepar la valla,Ó gbé ẹ̀sẹ̀ rẹ̀ sókè láti ràn án lọ́wọ́ láti gun odi náà,"他给了她一条腿,帮助她爬过.",Ich habe ihr ein Bein nach oben gegeben.,נתתי לה את הרגל למעלה,उसे एक पैर दिया,- Adtam neki egy lábat.,그녀를 위해,le dio una ventaja,ó fún un ní ìtìlẹyìn,让她有了自己的一条脚
let the cat out of the bag,to let a secret out in the open,He accidentally [[let the cat out of the bag]] about the surprise party,She opened the bag and [[let the cat out of the bag]] after bringing it home from the shelter,He accidentally let the cat out of the bag about the surprise party,She opened the bag and let the cat out of the bag after bringing it home from the shelter,let the cat out of the bag,Er hat versehentlich die Katze aus dem Sack gelassen wegen der Überraschungsparty,הוא בטעות הוציא את החתול מהתיק על מסיבת ההפתעה.,उसने गलती से आश्चर्य पार्टी के बारे में बिल्ली को बैग से बाहर कर दिया,Véletlenül kiengedte a macskát a zsákból a meglepetés buli miatt.,우연히 깜짝 파티에 대해 털어놓았어요,Él accidentalmente dejó salir el gato de la bolsa sobre la fiesta sorpresa,Ó fi àṣìṣe tú òkò jáde nípa ayẹyẹ àrà ọ̀tọ̀ náà,他不小心就把这个惊喜派对说出来了.,"Sie öffnete die Tasche und ließ die Katze aus der Tasche, nachdem sie sie aus dem Tierheim mit nach Hause gebracht hatte.",היא פתחה את התיק ושיחררה את החתול מתוך התיק לאחר שהביאה אותו הביתה מהמחסה.,उसने बैग खोला और उसे आश्रय से घर लाने के बाद बिल्ली को बैग से बाहर निकाला,"Kinyitotta a zacskót és kiengedte a macskát, miután hazahozta a menedékből.","그녀는 가방을 열고, 보호소에서 집으로 데려온 후 고양이를 가방을 밖으로 내렸습니다.",Abrió la bolsa y dejó salir al gato después de traerlo a casa del refugio.,Ó ṣí àpò náà ó sì tú ológbò náà jáde lẹ́yìn tí ó ti mú un wá láti ilé ìtura,"她打开袋子,让猫从收容所带回家后从袋子里出来",Lass die Katze aus dem Sack.,תן לחתול לצאת מהתיק.,बिल्ली को बैग से बाहर जाने दें,- Kiengedni a macskát a zsákból.,고양이를 가방에서 내보내,Dejar el gato fuera de la bolsa,jẹ́ kí ológbò náà jáde nínú àpò,让猫从袋子里出来
lick his wounds,"to try to recover your confidence or spirit after a defeat, failure or disappointment",He [[licked his wounds after the fight]] by taking some time to recover from the emotional blow,The injured dog [[licked his wounds after the fight]] with another canine,He licked his wounds after the fight by taking some time to recover from the emotional blow,The injured dog licked his wounds after the fight with another canine,licked his wounds after the fight,"Er leckte sich nach dem Kampf die Wunden, indem er sich von dem emotionalen Schlag erholte.",הוא ליקק את הפצעים שלו אחרי הקרב על ידי לוקח קצת זמן להתאושש מההלם הרגשי,उन्होंने लड़ाई के बाद अपने घावों को चाट लिया और भावनात्मक झटके से उबरने में कुछ समय लिया।,"A harc után megnyalta a sebeit, és egy kis időt szánt, hogy felépüljön az érzelmi csapásból.",그는 싸움 후에 상처를 아 감성적인 충격으로부터 회복하는 데 시간을 보냈습니다.,Se lamió las heridas después de la pelea tomándose un tiempo para recuperarse del golpe emocional.,"Ó fi ìgbà díẹ̀ tójú ara rẹ̀ ti ń yá lára lẹ́yìn ìjà náà, ó sì fi ń fi ọ̀rọ̀ ara rẹ̀ tọ́jú ara rẹ̀.","他了自己的伤口, 争斗后花了一些时间从情感打击恢复",Der verletzte Hund leckte sich nach dem Kampf mit einem anderen Hund die Wunden.,הכלב הפצוע ליקק את פצעיו לאחר הקרב עם כלב אחר.,घायल कुत्ते ने दूसरे कुत्ते के साथ लड़ाई के बाद अपने घावों को चाट लिया,A sebesült kutya megcsókolta a sebeit egy másik kutyával való verekedés után.,부상당한 개 는 다른 개 와 싸웠을 때 상처 를 아,El perro lesionado se lamió las heridas después de la pelea con otro canino,Ajá tó fara pa náà fi ẹnu bọ ọgbẹ́ tó ní lẹ́yìn ìjà tó bá ajá mìíràn jà,伤害的狗在与另一只狗斗争后了他的伤口,Ich habe seine Wunden nach dem Kampf geleckt.,ליקק את הפצעים שלו אחרי הקרב.,लड़ाई के बाद अपने घाव चाट,Megnyalta a sebét a harc után.,싸움 후에 그의 상처를 아,se lamió las heridas después de la pelea,ó fi ọ̀bẹ̀ rọ ọgbẹ́ tó ní lẹ́yìn ìjà náà,在战斗结束后了他的伤口
lick your lips,to show that you're excited about something and are eager for it to happen,[[They licked their lips]] in anticipation of the delicious meal,"After eating the ice cream, [[they licked their lips]] to clean off the remaining traces",They licked their lips in anticipation of the delicious meal,"After eating the ice cream, they licked their lips to clean off the remaining traces",They licked their lips,Sie leckten sich die Lippen in Erwartung des köstlichen Essens,הם ליקקו את שפתיהם בציפייה לארוחה הטעימה.,वे स्वादिष्ट भोजन की प्रत्याशा में अपने होंठों को चाटते थे,"A szájukat nyalják, hogy megérezzék a finom ételt.",맛있는 식사 를 기대 하면서 입술 을 아,Se lamieron los labios en anticipación de la deliciosa comida,Wọ́n ń fi ẹnu wọn lé oúnjẹ aládùn náà,"他们着嘴唇,期待美味的饭.","Nachdem sie das Eis gegessen hatten, leckten sie sich die Lippen, um die verbliebenen Spuren zu entfernen.","אחרי שאכלו את הגלידה, הם ליקקו את שפתיהם כדי לנקות את השרידים שנותרו.","आइसक्रीम खाने के बाद, वे अपने होंठों को चाटते हैं ताकि शेष निशानों को साफ किया जा सके","Miután megették a fagyit, lecsókolták az ajkukat, hogy eltávolítsák a maradék nyomokat.","아이스크림을 먹은 후, 그들은 남은 흔적을 씻기 위해 입술을 다","Después de comer el helado, se lamieron los labios para limpiar los restos.","Lẹ́yìn tí wọ́n jẹ yìnyín náà tán, wọ́n máa ń fi ẹnu wọn lé e láti fọ àwọn àlàfo tó kù","吃完冰淋后, 他们嘴唇去除剩下的痕迹",Sie leckten sich die Lippen.,הם ליקקו את שפתיהם.,वे अपने होंठ चाट लिया,A szájukat nyalják.,입술을 아,Se lamieron los labios,Wọ́n ń fi ẹnu wọn lé e,他们着嘴唇
