Input.idiom_0,Input.meaning_0,Input.instance_0,Input.label_0,Input.idiom_1,Input.meaning_1,Input.instance_1,Input.label_1,Input.idiom_2,Input.meaning_2,Input.instance_2,Input.label_2,Input.idiom_3,Input.meaning_3,Input.instance_3,Input.label_3,Input.idiom_4,Input.meaning_4,Input.instance_4,Input.label_4,Answer.0_gold,Answer.1_gold,Answer.2_gold,Answer.3_gold,Answer.4_gold
blue blood,a member of an upper-class family,His blue blood indicates his rich and noble background,0,on cue,to happen at the precise moment,She arrived on cue as if she knew what was going to happen next,0,give it a whirl,to try something new.,"Yesterday, I gave it a whirl",2,hit the sack,to go to bed,He hit the sack,2,put your head on the block,if you put yourself in a dangerous situation where you risk losing your job or your reputation if things go wrong,He put his head on the block as he was being beheaded,1,0,0,2,2,1
get hitched,to get married,They got hitched yesterday and declared their commitment to each other,0,wash dirty linen in public,discuss publicly matters that one should keep private,She washed her dirty linen in public at a laundromat yesterday,1,it's a small world,meeting someone not expected to be at a certain place,It's a small world when I unexpectedly ran into my old high school teacher,0,ugly duckling,a young person who turns out to be beautiful or talented against all expectations.,She was an ugly duckling,2,no picnic,used to express that an activity or action is not fun,The project was no picnic since it was challenging and time-consuming,0,1,1,0,2,0
get hitched,to get married,They got hitched yesterday and declared their commitment to each other,0,wash dirty linen in public,discuss publicly matters that one should keep private,She washed her dirty linen in public at a laundromat yesterday,1,it's a small world,meeting someone not expected to be at a certain place,It's a small world when I unexpectedly ran into my old high school teacher,0,ugly duckling,a young person who turns out to be beautiful or talented against all expectations.,She was an ugly duckling,2,no picnic,used to express that an activity or action is not fun,The project was no picnic since it was challenging and time-consuming,0,0,1,0,2,0
get hitched,to get married,They got hitched yesterday and declared their commitment to each other,0,wash dirty linen in public,discuss publicly matters that one should keep private,She washed her dirty linen in public at a laundromat yesterday,1,it's a small world,meeting someone not expected to be at a certain place,It's a small world when I unexpectedly ran into my old high school teacher,0,ugly duckling,a young person who turns out to be beautiful or talented against all expectations.,She was an ugly duckling,2,no picnic,used to express that an activity or action is not fun,The project was no picnic since it was challenging and time-consuming,0,0,1,0,2,0
rain or shine,Doing something regularly regardless of the circumstances.,We will go rain or shine,2,paddle own canoe,To be able to act without having to depend on anyone.,She was paddling her own canoe,2,the lion's den,a place which is uncomfortable,They walked into the lion's den and were confronted by the animal,1,sail through,to succeed in doing it without difficulty,She sailed through the project due to her diligence and hard work,0,wooden spoon,the person who finishes last in a race or competition receives an imaginary prize,She was given the wooden spoon as she was the last person to finish the race,0,2,2,1,0,0
rain or shine,Doing something regularly regardless of the circumstances.,We will go rain or shine,2,paddle own canoe,To be able to act without having to depend on anyone.,She was paddling her own canoe,2,the lion's den,a place which is uncomfortable,They walked into the lion's den and were confronted by the animal,1,sail through,to succeed in doing it without difficulty,She sailed through the project due to her diligence and hard work,0,wooden spoon,the person who finishes last in a race or competition receives an imaginary prize,She was given the wooden spoon as she was the last person to finish the race,0,2,2,1,0,0
rain or shine,Doing something regularly regardless of the circumstances.,We will go rain or shine,2,paddle own canoe,To be able to act without having to depend on anyone.,She was paddling her own canoe,2,the lion's den,a place which is uncomfortable,They walked into the lion's den and were confronted by the animal,1,sail through,to succeed in doing it without difficulty,She sailed through the project due to her diligence and hard work,0,wooden spoon,the person who finishes last in a race or competition receives an imaginary prize,She was given the wooden spoon as she was the last person to finish the race,0,2,2,1,0,0
sweep under the rug,try to hide a problem or keep a problem secret instead of dealing with it,They swept it under the rug and pretended the problem never existed,0,beat around the bush,avoid talking about the main topic,He was beating around the bush,2,bitter pill,something unpleasant to be endured,I had to swallow the bitter pill of making a mistake,0,outside the lines,not sticking to the rules,She was outside the lines when she tried to come up with a unique concept for her latest project,0,lose head,not have control over your emotions,The situation made him lose his head and he began making decisions without thinking,0,0,2,0,0,0
sweep under the rug,try to hide a problem or keep a problem secret instead of dealing with it,They swept it under the rug and pretended the problem never existed,0,beat around the bush,avoid talking about the main topic,He was beating around the bush,2,bitter pill,something unpleasant to be endured,I had to swallow the bitter pill of making a mistake,0,outside the lines,not sticking to the rules,She was outside the lines when she tried to come up with a unique concept for her latest project,0,lose head,not have control over your emotions,The situation made him lose his head and he began making decisions without thinking,0,0,2,2,0,0
sweep under the rug,try to hide a problem or keep a problem secret instead of dealing with it,They swept it under the rug and pretended the problem never existed,0,beat around the bush,avoid talking about the main topic,He was beating around the bush,2,bitter pill,something unpleasant to be endured,I had to swallow the bitter pill of making a mistake,0,outside the lines,not sticking to the rules,She was outside the lines when she tried to come up with a unique concept for her latest project,0,lose head,not have control over your emotions,The situation made him lose his head and he began making decisions without thinking,0,0,2,0,0,0
crowning glory,The greatest or most beautiful thing,Her crowning glory shone brightly as she achieved success in her career,0,your guess is as good as mine,I don't know,Your guess is as good as mine as to why she was behaving so bizarrely,0,red carpet,to give people a special welcome to show that you think they are important,They rolled out the red carpet,2,in the doghouse,someone who is in disgrace and very unpopular at the moment,He's in the doghouse because he forgot to pick up the kids,0,got it made,"to be certain to be successful and have a good life, often without much effort:",He's got it made since he is successful in both his personal and professional life,0,0,2,2,0,0
crowning glory,The greatest or most beautiful thing,Her crowning glory shone brightly as she achieved success in her career,0,your guess is as good as mine,I don't know,Your guess is as good as mine as to why she was behaving so bizarrely,0,red carpet,to give people a special welcome to show that you think they are important,They rolled out the red carpet,2,in the doghouse,someone who is in disgrace and very unpopular at the moment,He's in the doghouse because he forgot to pick up the kids,0,got it made,"to be certain to be successful and have a good life, often without much effort:",He's got it made since he is successful in both his personal and professional life,0,0,0,2,0,0
crowning glory,The greatest or most beautiful thing,Her crowning glory shone brightly as she achieved success in her career,0,your guess is as good as mine,I don't know,Your guess is as good as mine as to why she was behaving so bizarrely,0,red carpet,to give people a special welcome to show that you think they are important,They rolled out the red carpet,2,in the doghouse,someone who is in disgrace and very unpopular at the moment,He's in the doghouse because he forgot to pick up the kids,0,got it made,"to be certain to be successful and have a good life, often without much effort:",He's got it made since he is successful in both his personal and professional life,0,0,2,2,2,1
keep the wolf from the door,to have sufficient money to prevent starvation or hunger,They did what they could to keep the wolf from the door and prevent him from entering their home,1,know the ropes,to know all the ways and means to get something done,"He knows the ropes to the ship, having worked there for years",1,a wet blanket,a person who spoils other people's fun.,"He's a wet blanket, literally drenching the atmosphere with water",1,in the buff,naked,He was in the buff painting his house yesterday,1,will never fly,there's no chance that something will work; to be unsuccessful,His plan will never fly as it's too ambitious,0,1,1,1,0,0
keep the wolf from the door,to have sufficient money to prevent starvation or hunger,They did what they could to keep the wolf from the door and prevent him from entering their home,1,know the ropes,to know all the ways and means to get something done,"He knows the ropes to the ship, having worked there for years",1,a wet blanket,a person who spoils other people's fun.,"He's a wet blanket, literally drenching the atmosphere with water",1,in the buff,naked,He was in the buff painting his house yesterday,1,will never fly,there's no chance that something will work; to be unsuccessful,His plan will never fly as it's too ambitious,0,1,0,1,1,0
keep the wolf from the door,to have sufficient money to prevent starvation or hunger,They did what they could to keep the wolf from the door and prevent him from entering their home,1,know the ropes,to know all the ways and means to get something done,"He knows the ropes to the ship, having worked there for years",1,a wet blanket,a person who spoils other people's fun.,"He's a wet blanket, literally drenching the atmosphere with water",1,in the buff,naked,He was in the buff painting his house yesterday,1,will never fly,there's no chance that something will work; to be unsuccessful,His plan will never fly as it's too ambitious,0,1,0,1,2,0
keep an eye on,keep a watch on something or someone closely,He keeps an eye on her to make sure he can see her from across the room,1,come clean,to make a disclosure,"He finally came clean"" ",2,not getting anywhere,to make no progress at all; not improving or advancing a particular situation,I'm not getting anywhere,2,a nine days wonder,a cause of great excitement or interest for a short time but then quickly forgotten,This debate was a nine days wonder,2,scratch the surface,to deal with only a small part of a problem,He only scratched the surface of the wall to clean off the paint,1,1,0,2,0,1
keep an eye on,keep a watch on something or someone closely,He keeps an eye on her to make sure he can see her from across the room,1,come clean,to make a disclosure,"He finally came clean"" ",2,not getting anywhere,to make no progress at all; not improving or advancing a particular situation,I'm not getting anywhere,2,a nine days wonder,a cause of great excitement or interest for a short time but then quickly forgotten,This debate was a nine days wonder,2,scratch the surface,to deal with only a small part of a problem,He only scratched the surface of the wall to clean off the paint,1,0,0,2,0,1
keep an eye on,keep a watch on something or someone closely,He keeps an eye on her to make sure he can see her from across the room,1,come clean,to make a disclosure,"He finally came clean"" ",2,not getting anywhere,to make no progress at all; not improving or advancing a particular situation,I'm not getting anywhere,2,a nine days wonder,a cause of great excitement or interest for a short time but then quickly forgotten,This debate was a nine days wonder,2,scratch the surface,to deal with only a small part of a problem,He only scratched the surface of the wall to clean off the paint,1,0,2,2,0,1
high roller,"a wealthy person or company who spends their money in a risky way, often by making risky investments that can offer large rewards","She's a high roller"" ",2,put his heart into,to be very enthusiastic and invest a lot of energy and hard work in something,He put his heart into it,2,on top of the world,in a good mood as everything is going well for you,She's on top of the world since she climbed to the peak of the mountain,1,have a big mouth,one who gossips more or says things that are meant to be kept secret,I have a big mouth,2,add fuel to the flames,"an action, whether verbal or physical that makes a bad situation even worse",He added fuel to the flames by placing some fuel on the burning log,1,0,0,2,2,1
high roller,"a wealthy person or company who spends their money in a risky way, often by making risky investments that can offer large rewards","She's a high roller"" ",2,put his heart into,to be very enthusiastic and invest a lot of energy and hard work in something,He put his heart into it,2,on top of the world,in a good mood as everything is going well for you,She's on top of the world since she climbed to the peak of the mountain,1,have a big mouth,one who gossips more or says things that are meant to be kept secret,I have a big mouth,2,add fuel to the flames,"an action, whether verbal or physical that makes a bad situation even worse",He added fuel to the flames by placing some fuel on the burning log,1,2,2,1,2,1
high roller,"a wealthy person or company who spends their money in a risky way, often by making risky investments that can offer large rewards","She's a high roller"" ",2,put his heart into,to be very enthusiastic and invest a lot of energy and hard work in something,He put his heart into it,2,on top of the world,in a good mood as everything is going well for you,She's on top of the world since she climbed to the peak of the mountain,1,have a big mouth,one who gossips more or says things that are meant to be kept secret,I have a big mouth,2,add fuel to the flames,"an action, whether verbal or physical that makes a bad situation even worse",He added fuel to the flames by placing some fuel on the burning log,1,2,2,2,2,1
up to the neck,"when people are very involved in something, especially when it's something wrong",They were up to the neck in work recently and were too busy to take a break,0,end of the day,to look at all the possibilities and then to make a final decision,At the end of the day,2,bone to pick,having a complaint that needs to be discussed.,I have a bone to pick,2,the brains behind,"used to refer to the person who originally invented a particular scheme, plan or idea","He is the brains behind the operation, manipulating the system",1,fall flat,"fails to amuse people, or fails to have the effect that was intended",His joke fell flat and no one laughed,0,0,2,2,0,0
up to the neck,"when people are very involved in something, especially when it's something wrong",They were up to the neck in work recently and were too busy to take a break,0,end of the day,to look at all the possibilities and then to make a final decision,At the end of the day,2,bone to pick,having a complaint that needs to be discussed.,I have a bone to pick,2,the brains behind,"used to refer to the person who originally invented a particular scheme, plan or idea","He is the brains behind the operation, manipulating the system",1,fall flat,"fails to amuse people, or fails to have the effect that was intended",His joke fell flat and no one laughed,0,0,2,2,1,0
up to the neck,"when people are very involved in something, especially when it's something wrong",They were up to the neck in work recently and were too busy to take a break,0,end of the day,to look at all the possibilities and then to make a final decision,At the end of the day,2,bone to pick,having a complaint that needs to be discussed.,I have a bone to pick,2,the brains behind,"used to refer to the person who originally invented a particular scheme, plan or idea","He is the brains behind the operation, manipulating the system",1,fall flat,"fails to amuse people, or fails to have the effect that was intended",His joke fell flat and no one laughed,0,1,3,0,0,0
got in his hair,to annoy someone so much that they cannot get on with what they are doing,My project got in his hair as he was getting overwhelmed by it,0,in the bag,have something as good as secured or certain,This deal is in the bag as they signed the contract yesterday,1,burst at the seams,to be filled up to the brim,The room was bursting at the seams with people eager to learn the new skill,0,cold turkey,in a unexpected and sudden way,She went cold turkey,2,Young Turk,a young person who has many new ideas and wants a reform,He's a Young Turk as his family is from Turkey,1,0,0,0,0,1
got in his hair,to annoy someone so much that they cannot get on with what they are doing,My project got in his hair as he was getting overwhelmed by it,0,in the bag,have something as good as secured or certain,This deal is in the bag as they signed the contract yesterday,1,burst at the seams,to be filled up to the brim,The room was bursting at the seams with people eager to learn the new skill,0,cold turkey,in a unexpected and sudden way,She went cold turkey,2,Young Turk,a young person who has many new ideas and wants a reform,He's a Young Turk as his family is from Turkey,1,0,0,0,0,1
got in his hair,to annoy someone so much that they cannot get on with what they are doing,My project got in his hair as he was getting overwhelmed by it,0,in the bag,have something as good as secured or certain,This deal is in the bag as they signed the contract yesterday,1,burst at the seams,to be filled up to the brim,The room was bursting at the seams with people eager to learn the new skill,0,cold turkey,in a unexpected and sudden way,She went cold turkey,2,Young Turk,a young person who has many new ideas and wants a reform,He's a Young Turk as his family is from Turkey,1,2,0,0,0,1
field day,have a great time doing something enjoyable,She had a field day checking her bank account balance,0,jam on your face,"people who appear to be caught, embarrassed or found guilty",John had jam on his face when we saw him in the party,0,snake in the shoes,to be in a state of fear,"There was a snake in the shoes metaphorically speaking, implying that disaster was about to happen",0,bag and baggage,(with) all one's belongings.,She packed her bag and baggage,2,the devil is beating his wife,raining whereas the sun is shining.,The devil is beating his wife.,2,0,2,0,2,2
field day,have a great time doing something enjoyable,She had a field day checking her bank account balance,0,jam on your face,"people who appear to be caught, embarrassed or found guilty",John had jam on his face when we saw him in the party,0,snake in the shoes,to be in a state of fear,"There was a snake in the shoes metaphorically speaking, implying that disaster was about to happen",0,bag and baggage,(with) all one's belongings.,She packed her bag and baggage,2,the devil is beating his wife,raining whereas the sun is shining.,The devil is beating his wife.,2,0,2,0,0,0
field day,have a great time doing something enjoyable,She had a field day checking her bank account balance,0,jam on your face,"people who appear to be caught, embarrassed or found guilty",John had jam on his face when we saw him in the party,0,snake in the shoes,to be in a state of fear,"There was a snake in the shoes metaphorically speaking, implying that disaster was about to happen",0,bag and baggage,(with) all one's belongings.,She packed her bag and baggage,2,the devil is beating his wife,raining whereas the sun is shining.,The devil is beating his wife.,2,0,2,0,1,2
bite the dust,to fall to the ground,The team bit the dust when they marched over it,1,hornets' nest,a violent situation or one with a lot of dispute,He stirred the hornets' nest when he disturbed the hive of buzzing insects,1,line in the sand,a boundary beyond which one cannot proceed without consequences,He drew a line in the sand when it came to the issue of whether to stay with his current job,0,cat among the pigeons,do or say something that causes trouble and make a lot of people angry or worried,He caused a cat among the pigeons,2,a damp squib,an event which people think will be exciting but which is disappointing when it happens.,The event was a damp squib as it failed to live up to expectations,0,1,1,0,0,2
bite the dust,to fall to the ground,The team bit the dust when they marched over it,1,hornets' nest,a violent situation or one with a lot of dispute,He stirred the hornets' nest when he disturbed the hive of buzzing insects,1,line in the sand,a boundary beyond which one cannot proceed without consequences,He drew a line in the sand when it came to the issue of whether to stay with his current job,0,cat among the pigeons,do or say something that causes trouble and make a lot of people angry or worried,He caused a cat among the pigeons,2,a damp squib,an event which people think will be exciting but which is disappointing when it happens.,The event was a damp squib as it failed to live up to expectations,0,3,1,0,2,0
bite the dust,to fall to the ground,The team bit the dust when they marched over it,1,hornets' nest,a violent situation or one with a lot of dispute,He stirred the hornets' nest when he disturbed the hive of buzzing insects,1,line in the sand,a boundary beyond which one cannot proceed without consequences,He drew a line in the sand when it came to the issue of whether to stay with his current job,0,cat among the pigeons,do or say something that causes trouble and make a lot of people angry or worried,He caused a cat among the pigeons,2,a damp squib,an event which people think will be exciting but which is disappointing when it happens.,The event was a damp squib as it failed to live up to expectations,0,1,1,0,2,0
icing on the cake,when something good is added to another good thing that you already have,This was the icing on the cake,2,clamp down,suppress or prevent something in an oppressive or harsh manner,They clamped down on free speech by using metal clamps to attach protesters' mouths shut,1,drive a wedge between,to damage the good relationship that two people or groups of people have,They drove a wedge between us,2,when pigs fly,something that will never happen,"It will happen when pigs fly, which is actually possible if they are trained to do so""",1,at bottom,to the core of the object,It's all at bottom when it comes to the root of the issue,0,2,1,0,1,2
icing on the cake,when something good is added to another good thing that you already have,This was the icing on the cake,2,clamp down,suppress or prevent something in an oppressive or harsh manner,They clamped down on free speech by using metal clamps to attach protesters' mouths shut,1,drive a wedge between,to damage the good relationship that two people or groups of people have,They drove a wedge between us,2,when pigs fly,something that will never happen,"It will happen when pigs fly, which is actually possible if they are trained to do so""",1,at bottom,to the core of the object,It's all at bottom when it comes to the root of the issue,0,2,1,0,1,0
icing on the cake,when something good is added to another good thing that you already have,This was the icing on the cake,2,clamp down,suppress or prevent something in an oppressive or harsh manner,They clamped down on free speech by using metal clamps to attach protesters' mouths shut,1,drive a wedge between,to damage the good relationship that two people or groups of people have,They drove a wedge between us,2,when pigs fly,something that will never happen,"It will happen when pigs fly, which is actually possible if they are trained to do so""",1,at bottom,to the core of the object,It's all at bottom when it comes to the root of the issue,0,2,1,2,3,0
end of the day,to look at all the possibilities and then to make a final decision,"At the end of the day, I finally went to bed",1,go by the book,"do things strictly according to the written rules, etc.",He went by the book,2,bear fruit,to produces positive or successful results,The efforts bore fruit when the trees started to produce apples,1,bug-eyed,The bulging of the eyes out is known as being bug eyed.,He looked bug-eyed because he didn't get enough sleep,1,in stitches,to laugh so hard that you are not able to control yourself,We were in stitches,2,1,0,1,1,2
end of the day,to look at all the possibilities and then to make a final decision,"At the end of the day, I finally went to bed",1,go by the book,"do things strictly according to the written rules, etc.",He went by the book,2,bear fruit,to produces positive or successful results,The efforts bore fruit when the trees started to produce apples,1,bug-eyed,The bulging of the eyes out is known as being bug eyed.,He looked bug-eyed because he didn't get enough sleep,1,in stitches,to laugh so hard that you are not able to control yourself,We were in stitches,2,1,0,1,0,2
end of the day,to look at all the possibilities and then to make a final decision,"At the end of the day, I finally went to bed",1,go by the book,"do things strictly according to the written rules, etc.",He went by the book,2,bear fruit,to produces positive or successful results,The efforts bore fruit when the trees started to produce apples,1,bug-eyed,The bulging of the eyes out is known as being bug eyed.,He looked bug-eyed because he didn't get enough sleep,1,in stitches,to laugh so hard that you are not able to control yourself,We were in stitches,2,1,2,1,1,2
foot in the door,succeed with a first step.,He got his foot in the door,2,run out,to not have enough of something,I ran out of ideas on how to solve this problem,0,beg to differ,to politely refuse something,I beg to differ; I cannot accept the offer you made,1,"all singing, all dancing","Something that is full of verve, vivacity and liveliness.","The car is all singing, all dancing",2,sacred cow,something that people believe or accept as true without questioning it.,It's a sacred cow because it is treated with respect in Indian culture,1,2,1,1,2,1
foot in the door,succeed with a first step.,He got his foot in the door,2,run out,to not have enough of something,I ran out of ideas on how to solve this problem,0,beg to differ,to politely refuse something,I beg to differ; I cannot accept the offer you made,1,"all singing, all dancing","Something that is full of verve, vivacity and liveliness.","The car is all singing, all dancing",2,sacred cow,something that people believe or accept as true without questioning it.,It's a sacred cow because it is treated with respect in Indian culture,1,2,0,0,2,0
foot in the door,succeed with a first step.,He got his foot in the door,2,run out,to not have enough of something,I ran out of ideas on how to solve this problem,0,beg to differ,to politely refuse something,I beg to differ; I cannot accept the offer you made,1,"all singing, all dancing","Something that is full of verve, vivacity and liveliness.","The car is all singing, all dancing",2,sacred cow,something that people believe or accept as true without questioning it.,It's a sacred cow because it is treated with respect in Indian culture,1,2,0,0,0,1
show true colors,to reveal what one is really like,He showed his true colors when he finally painted the walls in his room the color of his choice,1,get down to brass tacks,talk about the important things,Let's get down to brass tacks,2,curiosity killed the cat,too much curiosity can lead to dangerous situations,"Her curiosity killed the cat, as she fed it some poisonous food",1,eager beaver,someone who is very eager to perform tasks and is always offering to do more,She's an eager beaver,2,flip the bird,show someone the middle finger as an act of contempt or anger,He flipped the bird when he was angry,0,2,0,2,0,1
show true colors,to reveal what one is really like,He showed his true colors when he finally painted the walls in his room the color of his choice,1,get down to brass tacks,talk about the important things,Let's get down to brass tacks,2,curiosity killed the cat,too much curiosity can lead to dangerous situations,"Her curiosity killed the cat, as she fed it some poisonous food",1,eager beaver,someone who is very eager to perform tasks and is always offering to do more,She's an eager beaver,2,flip the bird,show someone the middle finger as an act of contempt or anger,He flipped the bird when he was angry,0,1,0,1,2,0
show true colors,to reveal what one is really like,He showed his true colors when he finally painted the walls in his room the color of his choice,1,get down to brass tacks,talk about the important things,Let's get down to brass tacks,2,curiosity killed the cat,too much curiosity can lead to dangerous situations,"Her curiosity killed the cat, as she fed it some poisonous food",1,eager beaver,someone who is very eager to perform tasks and is always offering to do more,She's an eager beaver,2,flip the bird,show someone the middle finger as an act of contempt or anger,He flipped the bird when he was angry,0,0,0,1,2,2
snake in the shoes,to be in a state of fear,There was a snake in the shoes when I opened the box,1,all the way up,"Literally refers to ascending a mountain or cliff, or navigating a river to a specific terminal point.",She goes all the way up the stairs,1,pull leg,tease someone,He pulled my leg,2,paddle own canoe,To be able to act without having to depend on anyone.,"She was paddling her own canoe in the middle of the lake."" Here ""paddle one's own canoe"" means to steer and move a canoe forward, typically with the help of a paddle",1,fall at first hurdle,to fail to overcome the first difficulty encountered,He fell at the first hurdle,2,1,2,2,1,2
snake in the shoes,to be in a state of fear,There was a snake in the shoes when I opened the box,1,all the way up,"Literally refers to ascending a mountain or cliff, or navigating a river to a specific terminal point.",She goes all the way up the stairs,1,pull leg,tease someone,He pulled my leg,2,paddle own canoe,To be able to act without having to depend on anyone.,"She was paddling her own canoe in the middle of the lake."" Here ""paddle one's own canoe"" means to steer and move a canoe forward, typically with the help of a paddle",1,fall at first hurdle,to fail to overcome the first difficulty encountered,He fell at the first hurdle,2,0,1,2,1,2
snake in the shoes,to be in a state of fear,There was a snake in the shoes when I opened the box,1,all the way up,"Literally refers to ascending a mountain or cliff, or navigating a river to a specific terminal point.",She goes all the way up the stairs,1,pull leg,tease someone,He pulled my leg,2,paddle own canoe,To be able to act without having to depend on anyone.,"She was paddling her own canoe in the middle of the lake."" Here ""paddle one's own canoe"" means to steer and move a canoe forward, typically with the help of a paddle",1,fall at first hurdle,to fail to overcome the first difficulty encountered,He fell at the first hurdle,2,2,1,2,1,2
safe bet,fair assumption; reasonable guess; opinion or view that is likely to prove correct.,It's a safe bet that I'll be able to talk to the CEO,0,stop the rot,"when you prevent a situation from deteriorating, especially in business or politics",We need to stop the rot,2,apples to apples,having a fair comparison between the two things,Let's compare apples to apples to see which one tastes sweeter,1,turn aside,refuse entry to somewhere,She turned aside her anger towards him and forgave him,0,kiss and make up,to become friendly again after an argument,They kissed and made up,2,0,2,1,0,2
safe bet,fair assumption; reasonable guess; opinion or view that is likely to prove correct.,It's a safe bet that I'll be able to talk to the CEO,0,stop the rot,"when you prevent a situation from deteriorating, especially in business or politics",We need to stop the rot,2,apples to apples,having a fair comparison between the two things,Let's compare apples to apples to see which one tastes sweeter,1,turn aside,refuse entry to somewhere,She turned aside her anger towards him and forgave him,0,kiss and make up,to become friendly again after an argument,They kissed and made up,2,0,2,1,0,0
safe bet,fair assumption; reasonable guess; opinion or view that is likely to prove correct.,It's a safe bet that I'll be able to talk to the CEO,0,stop the rot,"when you prevent a situation from deteriorating, especially in business or politics",We need to stop the rot,2,apples to apples,having a fair comparison between the two things,Let's compare apples to apples to see which one tastes sweeter,1,turn aside,refuse entry to somewhere,She turned aside her anger towards him and forgave him,0,kiss and make up,to become friendly again after an argument,They kissed and made up,2,0,2,1,3,2
use your loaf,To tell someone to use their brain more in analysing what they are doing.,He used his loaf,2,got off your back,to be annoyed and ask someone to stop finding faults or criticize you,He got off my back,2,piece of work,"a complex, tricky, or odd person",She's a piece of work to deal with; she's always making ridiculous demands,0,upper crust,"the aristocracy and upper classes, informal",She's part of the upper crust of the quiche she baked,1,love to death,love someone very much,She loves him to death,2,2,2,0,1,0
use your loaf,To tell someone to use their brain more in analysing what they are doing.,He used his loaf,2,got off your back,to be annoyed and ask someone to stop finding faults or criticize you,He got off my back,2,piece of work,"a complex, tricky, or odd person",She's a piece of work to deal with; she's always making ridiculous demands,0,upper crust,"the aristocracy and upper classes, informal",She's part of the upper crust of the quiche she baked,1,love to death,love someone very much,She loves him to death,2,2,2,0,0,0
use your loaf,To tell someone to use their brain more in analysing what they are doing.,He used his loaf,2,got off your back,to be annoyed and ask someone to stop finding faults or criticize you,He got off my back,2,piece of work,"a complex, tricky, or odd person",She's a piece of work to deal with; she's always making ridiculous demands,0,upper crust,"the aristocracy and upper classes, informal",She's part of the upper crust of the quiche she baked,1,love to death,love someone very much,She loves him to death,2,2,2,0,3,0
night owl,Someone who is vigilant late at night.,He's a night owl,2,rocket science,something very difficult to understand,This isn't rocket science,2,cut the mustard,to succeed,He cut the mustard to top his sandwich with,1,tight spot,to be in a very difficult situation,He was in a tight spot,2,dollars to donuts,an outcome that is almost assured is called as dollars to doughnuts,It'll cost dollars to donuts if you want to buy a batter and donuts,1,0,2,1,2,1
night owl,Someone who is vigilant late at night.,He's a night owl,2,rocket science,something very difficult to understand,This isn't rocket science,2,cut the mustard,to succeed,He cut the mustard to top his sandwich with,1,tight spot,to be in a very difficult situation,He was in a tight spot,2,dollars to donuts,an outcome that is almost assured is called as dollars to doughnuts,It'll cost dollars to donuts if you want to buy a batter and donuts,1,2,2,1,2,1
night owl,Someone who is vigilant late at night.,He's a night owl,2,rocket science,something very difficult to understand,This isn't rocket science,2,cut the mustard,to succeed,He cut the mustard to top his sandwich with,1,tight spot,to be in a very difficult situation,He was in a tight spot,2,dollars to donuts,an outcome that is almost assured is called as dollars to doughnuts,It'll cost dollars to donuts if you want to buy a batter and donuts,1,0,2,1,2,2
up a blind alley,to be doing something that will definitely have a negative outcome,We went up a blind alley when we followed that advice,0,lean towards,to be interested in something,They leaned towards the solution by including more options,0,behind bars,to be in jail or prison,He was behind bars trying to figure out the best way to move forward with his life,0,stir up a hornet's nest,to create trouble,He stirred up a hornet's nest with his controversial statement,0,"you can't have cake and the topping, too","you can't have everything the way you want it, especially if your desires are contradictory","He said you can't have cake and the topping, too - meaning you can't have it all",0,0,0,0,0,0
up a blind alley,to be doing something that will definitely have a negative outcome,We went up a blind alley when we followed that advice,0,lean towards,to be interested in something,They leaned towards the solution by including more options,0,behind bars,to be in jail or prison,He was behind bars trying to figure out the best way to move forward with his life,0,stir up a hornet's nest,to create trouble,He stirred up a hornet's nest with his controversial statement,0,"you can't have cake and the topping, too","you can't have everything the way you want it, especially if your desires are contradictory","He said you can't have cake and the topping, too - meaning you can't have it all",0,2,0,2,0,0
up a blind alley,to be doing something that will definitely have a negative outcome,We went up a blind alley when we followed that advice,0,lean towards,to be interested in something,They leaned towards the solution by including more options,0,behind bars,to be in jail or prison,He was behind bars trying to figure out the best way to move forward with his life,0,stir up a hornet's nest,to create trouble,He stirred up a hornet's nest with his controversial statement,0,"you can't have cake and the topping, too","you can't have everything the way you want it, especially if your desires are contradictory","He said you can't have cake and the topping, too - meaning you can't have it all",0,2,0,0,0,0
turn turtle,It refers to something turning upside down.,The boat turned turtle,2,betwixt and between,to be undecided about something,She was betwixt and between when it came to making the tough decision,0,out of hand,out of control,The party got out of hand,2,pieces of the same cake,things that have the same characteristics or qualities,We are pieces of the same cake that we are about to share,1,ate her alive,to criticize someone severely because you are angry with them,They ate her alive,2,2,0,2,1,2
turn turtle,It refers to something turning upside down.,The boat turned turtle,2,betwixt and between,to be undecided about something,She was betwixt and between when it came to making the tough decision,0,out of hand,out of control,The party got out of hand,2,pieces of the same cake,things that have the same characteristics or qualities,We are pieces of the same cake that we are about to share,1,ate her alive,to criticize someone severely because you are angry with them,They ate her alive,2,0,0,0,1,2
turn turtle,It refers to something turning upside down.,The boat turned turtle,2,betwixt and between,to be undecided about something,She was betwixt and between when it came to making the tough decision,0,out of hand,out of control,The party got out of hand,2,pieces of the same cake,things that have the same characteristics or qualities,We are pieces of the same cake that we are about to share,1,ate her alive,to criticize someone severely because you are angry with them,They ate her alive,2,0,0,0,1,2
