annotations_ambiguous,annotations_figurative,annotations_literal,bad_idiom,converted,error,idiom,intended_ambiguous,intended_ambiguous_old,intended_figurative,intended_figurative_old,intended_literal,intended_literal_old,is_literal,iter,justification,maxvote - for sort,maxvote_ambiguous,maxvote_figurative,maxvote_literal,meaning,well_formed
"['figurative', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'ambiguous']","['literal', 'figurative', 'figurative']",False,True,False,back the wrong horse,she backed the wrong horse,He's backed the wrong horse,she backed the wrong horse when she supported the losing candidate,He's backed the wrong horse by not taking the advice of his experienced colleagues,"at the racetrack, she backed the wrong horse and lost her bet",He's backed the wrong horse because he placed his bet on the unsuccessful one,True,0,"In this context, the idiom is used literally, as it refers to someone actually betting on a horse at a racetrack and losing their bet.",ambiguous : figurative : figurative,ambiguous,figurative,figurative,to make the wrong decision and support a person or action that is later unsuccessful,False
"['ambiguous', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']",False,False,False,back to the drawing board,going back to the drawing board,We went back to the drawing board,"after the failed presentation, we were going back to the drawing board to revise our strategy",We went back to the drawing board after finding out the new regulations,the architect realized he made a mistake and was going back to the drawing board to fix it,We went back to the drawing board as we needed a fresh start,True,0,"In this case, the idiom 'back to the drawing board' is used literally, as the architect is actually going back to the physical drawing board to fix a mistake in their design.",figurative : figurative : figurative,figurative,figurative,figurative,back to the planning stage,False
"['ambiguous', 'ambiguous', 'ambiguous']","['ambiguous', 'ambiguous', 'figurative']","['literal', 'ambiguous', 'literal']",False,False,False,back to the salt mines,going back to the salt mines,Time to go back to the salt mines,"after a relaxing vacation, it's time for going back to the salt mines and working hard",Time to go back to the salt mines and get to work,the miners finished their lunch break and were going back to the salt mines to continue their work,Time to go back to the salt mines as the job requires it,True,0,"The hypothesis describes a situation where miners are literally returning to work in salt mines after a break, which is a literal interpretation of the idiom 'back to the salt mines'.",ambiguous : ambiguous : literal,ambiguous,ambiguous,literal,"resume work, usually with some reluctance",False
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,False,False,backroom boy(s),the backroom boys,He is one of the backroom boys,the company's success was largely due to the backroom boys who worked tirelessly behind the scenes,"He is one of the backroom boys, quietly involved in decision-making processes","in the storage area, the backroom boys were busy organizing and restocking shelves","He is one of the backroom boys, spending time in the office at the back of the building",True,0,"In this context, 'backroom boys' is used to describe people who are working in the storage area, which is a literal interpretation of the idiom. The idiom is not used in its figurative sense, which refers to people who work behind the scenes and contribute to a project or organization without being in the spotlight.",ambiguous : figurative : literal,ambiguous,figurative,literal,people who work in anonymity,True
"['ambiguous', 'ambiguous', 'figurative']","['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']",False,False,False,bad blood,<there's bad blood between them>,There is bad blood between them,"due to their past disagreements, <there's bad blood between them>",There is bad blood between them because of the unresolved argument,"after the transfusion, the doctor discovered <there's bad blood between them>",There is bad blood between them since their last physical altercation,False,0,"The hypothesis is not a literal interpretation of the idiom 'bad blood' because it uses the idiom to describe a negative relationship between people, not the actual quality of blood.",ambiguous : figurative : figurative,ambiguous,figurative,figurative,to have ill feelings towards someone,False
"['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,False,False,bad egg,turned out to be a bad egg,He's a bad egg,"despite his charming demeanor, he turned out to be a bad egg in the company","He's a bad egg, always trying to take advantage of other people",the carton of eggs we bought turned out to be a bad egg when we cracked it open,He's a bad egg because there was a crack in it,True,0,"In this case, the hypothesis is using the term 'bad egg' to describe an actual egg that is not good for consumption, which is a literal interpretation of the idiom.",figurative : figurative : literal,figurative,figurative,literal,someone who fails to meet expectations,False
"['figurative', 'figurative', 'figurative']","['figurative', 'literal', 'literal']","['figurative', 'ambiguous', 'literal']",False,False,False,bad-mouth,<bad-mouthed the company>,He bad-mouthed the teacher,he <bad-mouthed the company> by spreading false rumors,He bad-mouthed the teacher by spreading rumors about him,the actor <bad-mouthed the company> in a scene where he played an angry customer,He bad-mouthed the teacher by actually saying bad words about him,False,0,"The idiom 'bad-mouth' is used figuratively in the hypothesis, as it means to criticize or speak negatively about someone or something, not to have a literal 'bad mouth'.",figurative : literal : ambiguous,figurative,literal,ambiguous,to say something bad about something,False
"['ambiguous', 'figurative', 'literal']","['literal', 'literal', 'literal']","['literal', 'literal', 'literal']",False,True,False,bag and baggage,they left with bag and baggage,She packed her bag and baggage,"after the argument, they left with bag and baggage, cutting all ties with their family",She packed her bag and baggage when she left the country for a year-long academic program,"before the storm hit, they left with bag and baggage to evacuate their home",She packed her bag and baggage to fit all of her belongings,True,0,"In this context, 'bag and baggage' is used literally to mean that they took all of their belongings with them while evacuating their home.",ambiguous : literal : literal,ambiguous,literal,literal,(with) all one's belongings.,False
"['figurative', 'ambiguous', 'figurative']","['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']",False,False,False,ball and chain,carrying a ball and chain,My job is like a ball and chain,he felt like he was carrying a ball and chain with his overwhelming responsibilities,My job is like a ball and chain that constrains my freedom,the prisoner was carrying a ball and chain as a part of his punishment,My job is like a ball and chain because I have to stay in the office all day,True,0,"In this sentence, the 'ball and chain' is used in its literal sense, referring to a heavy metal ball attached to a chain that a prisoner carries as a part of their punishment.",figurative : figurative : figurative,figurative,figurative,figurative,a burden or problem that ties you down and prevents you from doing what you want,False
"['ambiguous', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']","['literal', 'figurative', 'literal']",False,False,False,ball of fire,like a ball of fire,The teacher is a ball of fire,"she tackled her tasks like a ball of fire, completing them quickly and efficiently","The teacher is a ball of fire, always demonstrating enthusiasm and vigor in his teaching",the meteor appeared like a ball of fire as it streaked across the sky,"The teacher is a ball of fire, literally spitting out sparks with his lectures",True,0,"In this context, the phrase 'ball of fire' is used to describe the appearance of the meteor, which is a literal interpretation of the idiom.",figurative : figurative : literal,figurative,figurative,literal,"a dynamic person capable of or displaying rapid and highly effective thought, action, etc.",False
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'ambiguous', 'figurative']","['literal', 'literal', 'literal']",False,False,False,bang head against wall,banging head against the wall,He's been banging his head against the wall,trying to solve that complex math problem felt like banging head against the wall,He's been banging his head against the wall when trying to figure out how to solve this problem,he accidentally tripped and ended up banging head against the wall,He's been banging his head against the wall even though it's giving him a headache,True,0,"The hypothesis describes a situation where someone physically hits their head against a wall due to tripping, which is a literal interpretation of the idiom.",ambiguous : figurative : literal,ambiguous,figurative,literal,to be frustrated in your efforts to change something or make something happen,True
"['figurative', 'ambiguous', 'ambiguous']","['literal', 'figurative', 'figurative']","['figurative', 'literal', 'figurative']",False,False,False,bare bones,presented the bare bones,We can only afford the bare bones,"during the meeting, she presented the bare bones of the project plan",We can only afford the bare bones of what we need for this project so we can try to keep costs low,the archaeologist presented the bare bones of the ancient skeleton,"We can only afford the bare bones of the project we need, literally leaving it incomplete",True,0,"In this context, 'bare bones' is used to describe the actual physical bones of the ancient skeleton, which is a literal interpretation of the phrase.",ambiguous : figurative : figurative,ambiguous,figurative,figurative,most basic and important elements or facts,False
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,False,False,bark up the wrong tree,barking up the wrong tree,You've been barking up the wrong tree,accusing her of stealing the documents was barking up the wrong tree,You've been barking up the wrong tree ever since you started searching for the answers,"the confused dog was barking up the wrong tree, as the squirrel had already moved to another one",You've been barking up the wrong tree because the animal you're looking for is in a different one,True,0,"In this case, the hypothesis is a literal interpretation of the idiom, as it describes a dog actually barking up a tree where the squirrel is not present.",ambiguous : figurative : literal,ambiguous,figurative,literal,waste one's efforts by pursuing the wrong thing or path,True
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'ambiguous', 'literal']",False,False,False,bats in the belfry,had bats in the belfry,There are bats in the belfry,his wild theories and peculiar behavior made others think he had bats in the belfry,There are bats in the belfry because the professor's ideas seem a bit crazy,the old church tower had bats in the belfry that flew out at dusk,There are bats in the belfry because they found a way to get in,True,1,"The idiom 'bats in the belfry' is used figuratively to mean someone is crazy or eccentric. However, the hypothesis provided is a literal interpretation, as it describes actual bats living in the belfry of a church tower.",ambiguous : figurative : literal,ambiguous,figurative,literal,to be silly and slightly crazy and behave in a confused way,True
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'ambiguous', 'literal']",False,False,False,batten down the hatches,batten down the hatches,We battened down the hatches,"when the company announced layoffs, employees had to batten down the hatches and prepare for the worst",We battened down the hatches as the economic crisis hit us,"as the storm approached, the sailors rushed to batten down the hatches on the ship",We battened down the hatches on the boat against the strong wind,True,0,"The hypothesis is a literal interpretation of the idiom, as it describes the actual action of securing the hatches on a ship during a storm.",ambiguous : figurative : literal,ambiguous,figurative,literal,to get ready for trouble,True
"['figurative', 'ambiguous', 'figurative']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'figurative']",False,False,False,baying for blood,baying for blood,The crowd was baying for blood,the angry mob was baying for blood after the politician's scandal,The crowd was baying for blood after hearing the allegations against the accused,the pack of hungry wolves was baying for blood as they hunted their prey,The crowd was baying for blood as the smell of it aroused their sense of thirst,True,0,"In this case, the hypothesis is a literal interpretation of the idiom, as it describes a pack of wolves actually howling or baying for blood while hunting, rather than using the idiom figuratively to describe people demanding punishment or vengeance.",figurative : figurative : literal,figurative,figurative,literal,want somebody to be hurt or punished.,False
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,False,False,be on a collision course,on a collision course with each other,They're on a collision course,their opposing political views put them on a collision course with each other,They're on a collision course to fail the project because they can't agree on the key components,"the two ships, sailing at full speed, were on a collision course with each other",They're on a collision course since they're planning to fly their planes at the same time,True,0,"In this context, the idiom 'be on a collision course' is used literally, as it describes two ships physically heading towards each other, potentially resulting in a collision.",ambiguous : figurative : literal,ambiguous,figurative,literal,doing or saying things which are certain to cause a serious disagreement or a fight between them.,True
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,False,False,bear fruit,bears fruit in the long run,The efforts bore fruit,hard work and dedication bears fruit in the long run for success,The efforts bore fruit when the new program was successfully instituted,the apple tree bears fruit in the long run after years of growth,The efforts bore fruit when the trees started to produce apples,True,0,"In this context, 'bear fruit' is used literally to describe the process of a tree producing fruit, which is the direct meaning of the words.",ambiguous : figurative : literal,ambiguous,figurative,literal,to produces positive or successful results,True
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,False,False,beat around the bush,stop beating around the bush,He was beating around the bush,"if you have something to say, just stop beating around the bush and tell me",He was beating around the bush and not answering my question directly,"if you want to trim the garden, stop beating around the bush and start cutting it",He was beating around the bush to clear away the leaves and twigs,True,0,"In this sentence, 'beating around the bush' is used in a literal sense, referring to physically trimming or cutting the bush in a garden, rather than its figurative meaning of avoiding the main point.",ambiguous : figurative : literal,ambiguous,figurative,literal,avoid talking about the main topic,True
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'ambiguous']","['literal', 'literal', 'literal']",False,False,False,beat the drum,<beat the drum for the cause>,He's been beating the drum,he <beat the drum for the cause> by promoting it on social media,He's been beating the drum to spread the message about the upcoming election,the musician <beat the drum for the cause> during the charity concert,He's been beating the drum to make some noise at the parade,False,0,"In this context, 'beat the drum' is used figuratively to mean promoting or supporting a cause, not literally hitting a drum.",ambiguous : figurative : literal,ambiguous,figurative,literal,to speak eagerly about something you support,True
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['ambiguous', 'ambiguous', 'ambiguous']",False,False,False,bee in bonnet,had a bee in her bonnet,She has a bee in her bonnet,she had a bee in her bonnet about the new policy changes,She has a bee in her bonnet about cleaning her room before the weekend arrives,"during the picnic, she accidentally had a bee in her bonnet and panicked",She has a bee in her bonnet that just won't go away,True,0,"The hypothesis describes a situation where a bee is literally inside someone's bonnet (hat), which is a direct, word-for-word interpretation of the idiom, rather than its figurative meaning of being obsessed or preoccupied with something.",ambiguous : figurative : ambiguous,ambiguous,figurative,ambiguous,be possessed with one thought or scheme,False
"['figurative', 'ambiguous', 'ambiguous']","['figurative', 'literal', 'figurative']","['literal', 'literal', 'literal']",False,False,False,been tailor made,has been tailor made,He's been tailor made,the job opportunity has been tailor made for her skills and experience,"He's been tailor made for success, always putting his needs first",the suit has been tailor made to fit his measurements perfectly,"He's been tailor made for his new suit, which fits him perfectly",True,0,"In this case, the idiom 'been tailor made' is used in its literal sense, as it refers to a suit that has been custom-made to fit someone's measurements.",ambiguous : figurative : literal,ambiguous,figurative,literal,specially made for a particular purpose,True
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'ambiguous']",False,False,False,begun to see the light,began to see the light,I have begun to see the light,"after hours of studying, he finally began to see the light and understood the concept",I have begun to see the light after doing lots of research and talking to mentors,"as the sun rose, she began to see the light streaming through the window",I have begun to see the light as the sun came up,True,0,"In this context, 'began to see the light' is used to describe the literal action of seeing sunlight coming through the window, rather than the figurative meaning of understanding or realizing something.",ambiguous : figurative : literal,ambiguous,figurative,literal,to suddenly begin to understand,True
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'ambiguous', 'figurative']","['figurative', 'literal', 'ambiguous']",False,False,False,behind bars,put him behind bars,He was behind bars,the judge's decision to put him behind bars was due to his criminal actions,He was behind bars trying to figure out the best way to move forward with his life,the zookeeper put him behind bars to clean the animal cages,He was behind bars since he was arrested for shoplifting,True,0,"In this context, 'behind bars' is used literally to describe the physical location of the zookeeper while cleaning the animal cages, which are enclosed by bars.",ambiguous : figurative : ambiguous,ambiguous,figurative,ambiguous,to be in jail or prison,False
"['ambiguous', 'ambiguous', 'ambiguous']","['literal', 'ambiguous', 'figurative']","['literal', 'literal', 'literal']",False,False,False,behind closed doors,behind closed doors,They talked behind closed doors,the board members discussed the matter behind closed doors to maintain confidentiality,They talked behind closed doors when they thought nobody else was listening,"they stood behind closed doors while discussing the matter, as the room was too noisy",They talked behind closed doors because the windows were locked,True,2,"In this case, the idiom 'behind closed doors' is used literally, as they are physically standing behind closed doors to discuss the matter due to the noise in the room.",ambiguous : ambiguous : literal,ambiguous,ambiguous,literal,in clandestine,False
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'literal']","['ambiguous', 'figurative', 'literal']",False,False,False,being bouncing off the walls,bouncing off the walls,"He's been bouncing off the walls"" ",the kids were bouncing off the walls after eating too much candy,He's been bouncing off the walls due to his hyperactivity,the rubber ball kept bouncing off the walls in the small room,He's been bouncing off the walls since he's been playing on a trampoline,True,0,"The hypothesis describes a rubber ball physically bouncing off the walls in a small room, which is a literal interpretation of the idiom 'bouncing off the walls'. The figurative meaning of the idiom, which is being overly energetic or excited, is not present in the hypothesis.",ambiguous : figurative : ambiguous,ambiguous,figurative,ambiguous,excited and full of nervous energy,False
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'ambiguous']",False,False,False,bells and whistles,added bells and whistles,I wanted all the bells and whistles,the new software update added bells and whistles to improve user experience,I wanted all the bells and whistles that come with the job,the parade float designer added bells and whistles to create a festive atmosphere,I wanted all the bells and whistles on the bicycle,True,0,"In this context, the phrase 'bells and whistles' is used to describe the actual addition of bells and whistles to the parade float, which is a literal interpretation of the idiom.",ambiguous : ambiguous : figurative,ambiguous,ambiguous,figurative,special features that are added to a product or system to attract more buyers,False
"['figurative', 'ambiguous', 'figurative']","['figurative', 'figurative', 'figurative']","['literal', 'ambiguous', 'literal']",False,False,False,below the belt,that comment was below the belt,He said something below the belt,"insulting her intelligence, that comment was below the belt",He said something below the belt - it was a savage comment,the referee declared that comment was below the belt when the boxer hit his opponent in the groin,He said something below the belt - it was a comment about my trousers,True,0,"In this context, 'below the belt' is used to describe a physical action in a boxing match, where hitting below the belt is against the rules. This is a literal interpretation of the idiom, as it refers to an actual location on the body.",figurative : figurative : literal,figurative,figurative,literal,to be mean and unfair (in a fight),False
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'ambiguous', 'figurative']","['literal', 'literal', 'literal']",False,False,False,bend over backwards,bend over backwards for them,He bent over backwards,I always bend over backwards for them to make sure they're happy,He bent over backwards to make sure his new business was successful,"during the yoga class, we had to bend over backwards for them to demonstrate the pose",He bent over backwards until he was completely upside down,True,0,"In this context, 'bend over backwards' is used to describe a physical action during a yoga class, which is a literal interpretation of the idiom, rather than its figurative meaning of making a great effort to help or please someone.",ambiguous : figurative : literal,ambiguous,figurative,literal,do all in one's power (usually to achieve something or accommodate somebody),True
"['figurative', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['figurative', 'ambiguous', 'figurative']",False,False,False,bent out of shape,got bent out of shape,He's bent out of shape,he got bent out of shape when he found out his favorite band was sold out,He's bent out of shape due to the harsh words said by his manager,the metal rod got bent out of shape after the car accident,He's bent out of shape because of the car accident,True,0,"In this context, 'bent out of shape' is used to describe the physical deformation of a metal rod, which is a literal interpretation of the phrase.",ambiguous : figurative : figurative,ambiguous,figurative,figurative,to become angry.,False
"['figurative', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['figurative', 'literal', 'literal']",False,False,False,bent your ears,bent their ears,He bent my ears,the speaker bent their ears with his captivating stories,He bent my ears with his stories about his travels,the strong wind bent their ears as they walked through the storm,He bent my ears back to make me listen,True,0,"The hypothesis is a literal interpretation of the idiom 'bent your ears' as it describes the physical action of the wind bending their ears during a storm, rather than the figurative meaning of someone talking to you for a long time.",ambiguous : figurative : literal,ambiguous,figurative,literal,to talk to someone for a very long time about something boring,True
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,True,False,bet on the wrong horse,she bet on the wrong horse,She bet on the wrong horse,she bet on the wrong horse when she chose to invest in that failing company,She bet on the wrong horse when she invested her money in that company as it eventually failed,"at the racetrack, she bet on the wrong horse and lost her money",She bet on the wrong horse when she placed her bet on the losing horse at the racetrack,True,0,"The hypothesis is a literal interpretation of the idiom, as it describes a situation where someone actually bet on a horse in a race and lost their money.",ambiguous : figurative : literal,ambiguous,figurative,literal,support a person or thing that ultimately fails,True
"['figurative', 'ambiguous', 'figurative']","['figurative', 'literal', 'figurative']","['literal', 'literal', 'figurative']",False,False,False,better half,spending time with my better half,He is my better half,I enjoy spending time with my better half on weekends,He is my better half because he completes me,"I cut the cake in two and decided to eat the bigger portion, spending time with my better half",He is my better half because I am only half as good without him,True,0,"In this context, 'better half' refers to the larger portion of the cake, which is a literal interpretation of the phrase. It does not refer to the common idiomatic meaning of a person's spouse or significant other.",figurative : figurative : literal,figurative,figurative,literal,spouse,False
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,False,False,between a rock and a hard place,caught between a rock and a hard place,He's between a rock and a hard place,he was caught between a rock and a hard place when he had to choose between his job and his family,He's between a rock and a hard place as he has to decide between two equally unattractive options,"while hiking, she found herself caught between a rock and a hard place in a narrow passage",He's between a rock and a hard place because he is stuck in a narrow gap,True,0,"In this context, the idiom is used to describe a physical situation where the person is literally stuck between a rock and a hard place, rather than the figurative meaning of being in a difficult situation with no good options.",ambiguous : figurative : literal,ambiguous,figurative,literal,having two very bad choices,True
"['ambiguous', 'ambiguous', 'ambiguous']","['ambiguous', 'figurative', 'figurative']","['literal', 'ambiguous', 'literal']",False,False,False,between you and me,"between you and me, there's a secret",Between you and me,"between you and me, there's a secret that I can't share with anyone else","Between you and me, I think that plan is impossible","he placed a mysterious box between you and me, there's a secret hidden inside it","Between you and me, there is only a one-foot distance",True,0,"In this case, the phrase 'between you and me' is used to describe the physical placement of a mysterious box, which is a literal interpretation of the words.",ambiguous : figurative : literal,ambiguous,figurative,literal,a secret to be kept between two people,True
"['figurative', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'literal']","['figurative', 'figurative', 'ambiguous']",False,False,False,beyond the veil,looked beyond the veil,He ventured beyond the veil,the psychic claimed she looked beyond the veil and communicated with spirits,He ventured beyond the veil to explore the mysteries of the universe,"standing in front of the window, she looked beyond the veil and saw the beautiful garden",He ventured beyond the veil to enter the secret room,True,0,"In this context, 'beyond the veil' is used to describe looking past a physical curtain or veil to see the garden. This is a literal interpretation of the idiom, as it does not refer to the figurative meaning of understanding or experiencing something hidden or mysterious.",ambiguous : figurative : figurative,ambiguous,figurative,figurative,"In an inexplicable or concealed place or condition, especially the mysterious state of existence after death.",False
"['ambiguous', 'ambiguous', 'ambiguous']","['literal', 'literal', 'figurative']","['literal', 'literal', 'literal']",False,False,False,big brother,<watched by big brother>,The big brother was watching,"with the new surveillance system, we felt like we were constantly <watched by big brother>","The big brother was watching, making sure everyone was staying safe","as a protective sibling, she was always <watched by big brother> when playing outside",The big brother was watching his little sister play,False,0,"The hypothesis is not a literal interpretation of the idiom 'big brother' because it refers to an actual older sibling watching over the younger one, rather than the figurative meaning of an authoritative figure or organization monitoring people's actions.",ambiguous : literal : literal,ambiguous,literal,literal,A large organization or government agency that tries to control all aspects of human life and society.,False
"['figurative', 'ambiguous', 'figurative']","['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']",False,False,False,big cheese,the big cheese,He's the big cheese,"in the company, he's the big cheese and everyone respects him","He's the big cheese around here, so you should respect him highly."" Here ""big cheese"" means a leader or an important person","at the cheese festival, they displayed the big cheese weighing over 100 pounds","He's the big cheese in the cheese factory, so he's the one in charge of the operations",True,0,"In this context, 'big cheese' is used to describe a large piece of cheese, which is a literal interpretation of the words. It does not refer to the idiomatic meaning of an important or influential person.",figurative : figurative : figurative,figurative,figurative,figurative,to be an important and successful individual,False
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['ambiguous', 'literal', 'ambiguous']",False,False,False,big deal,<made it a big deal>,It's a big deal,she <made it a big deal> when her friend forgot her birthday,It's a big deal for me to get accepted into that college,the company <made it a big deal> when they signed a multi-million dollar contract,It's a big deal because they bought a large one,False,0,"In this context, 'big deal' is used figuratively to describe the importance or significance of the event, not a literal large deal or transaction.",ambiguous : figurative : ambiguous,ambiguous,figurative,ambiguous,important thing,False
"['ambiguous', 'ambiguous', 'ambiguous']","['ambiguous', 'ambiguous', 'ambiguous']","['literal', 'ambiguous', 'literal']",False,False,False,big gun,bring in the big gun,He brought out the big gun,"to solve the complex problem, we had to bring in the big gun from the head office",He brought out the big gun to put an end to the argument,"to defend the fort, they had to bring in the big gun from the armory",He brought out the big gun to go hunting,True,0,"In this context, 'big gun' is used to describe a large weapon, which is a literal interpretation of the phrase. The idiom 'big gun' is typically used figuratively to refer to an influential or powerful person.",ambiguous : ambiguous : literal,ambiguous,ambiguous,literal,a very powerful individual,False
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,False,False,big mouth,has a big mouth,He's got a big mouth,"he can't keep a secret, he has a big mouth",He's got a big mouth and he won't stop gossiping about everyone,the hippopotamus has a big mouth to consume large amounts of food,He's got a big mouth and it makes his face look funny,True,0,"In this context, 'big mouth' is used to describe the physical size of the hippopotamus's mouth, which is a literal interpretation of the phrase.",ambiguous : figurative : literal,ambiguous,figurative,literal,someone who talks too much,True
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'ambiguous', 'figurative']","['literal', 'literal', 'literal']",False,False,False,bigger fish to fry,have bigger fish to fry,I've got bigger fish to fry,"I can't focus on this minor issue, I have bigger fish to fry at work","I've got bigger fish to fry, so I'm unable to help you with this","I can't cook these small ones now, I have bigger fish to fry for the dinner party","I've got bigger fish to fry, so I'll catch them instead",True,0,"In this sentence, the speaker is literally talking about frying bigger fish for a dinner party, which is a direct interpretation of the idiom without any figurative meaning.",ambiguous : figurative : literal,ambiguous,figurative,literal,"to have other, more important things to do.",True
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,False,False,bite head off,bit his head off,He bit the head off,she was so angry that she bit his head off when he tried to explain,He bit the head off the issue by getting straight to the point,the snake bit his head off when he got too close to its nest,He bit the head off the snake as it threatened to attack him,True,0,"In this context, the phrase 'bite head off' is used literally, as it describes a snake biting someone's head off. The idiom 'bite someone's head off' usually means to respond angrily or rudely to someone, but in this case, it is used in its literal sense.",ambiguous : figurative : literal,ambiguous,figurative,literal,overreact in an angry or harsh way,True
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,False,False,bite off more than one can chew,bit off more than he could chew,He bit off more than he can chew,"by accepting too many projects at once, he bit off more than he could chew",He bit off more than he can chew when he promised to finish the project by the end of the week,he bit off more than he could chew when he tried to eat the whole sandwich in one bite,He bit off more than he can chew when he tried to eat the entire sandwich,True,0,"The hypothesis is a literal interpretation of the idiom, as it refers to physically biting and chewing a large sandwich, rather than the figurative meaning of taking on more than one can handle.",ambiguous : figurative : literal,ambiguous,figurative,literal,"to try to do something that is too difficult for you, or more than you can manage",True
"['figurative', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'literal']",False,False,False,bite the bullet,<bit the bullet and faced>,We had to bite the bullet,he <bit the bullet and faced> the consequences of his actions,We had to bite the bullet and make a difficult decision,"during the reenactment, the actor <bit the bullet and faced> the firing squad",We had to bite the bullet because the doctor had run out of anesthesia,False,0,"The hypothesis is not a literal interpretation of the idiom 'bite the bullet', as it is used figuratively to mean facing a difficult or unpleasant situation. The actor facing the audience is not literally biting a bullet.",ambiguous : figurative : figurative,ambiguous,figurative,figurative,to endure a painful experience that you cannot avoid,False
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['ambiguous', 'literal', 'ambiguous']",False,False,False,bite the hand that feed,bit the hand that fed,He bit the hand that feed him,"by criticizing her mentor, she bit the hand that fed her",He bit the hand that feed him by insulting his boss and not showing respect,the untrained dog bit the hand that fed him,He bit the hand that feed him when the food he was given had a sharp edge,True,0,"In this case, the hypothesis is a literal interpretation of the idiom, as it describes a dog physically biting the hand of the person who feeds it.",ambiguous : figurative : ambiguous,ambiguous,figurative,ambiguous,to turn against someone who has been a benefactor in the past,False
"['figurative', 'figurative', 'figurative']","['literal', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,False,False,bits and pieces,gathered the bits and pieces,I know the story in bits and pieces,"after the meeting, we gathered the bits and pieces of information to create a report",I know the story in bits and pieces as I've heard it from various people,"following the vase's shattering, we gathered the bits and pieces from the floor",I know the story in bits and pieces since I pieced the story together from scraps of paper I found,True,0,"In this context, 'bits and pieces' is used to describe the literal fragments of the shattered vase, which is a direct and literal interpretation of the idiom.",figurative : figurative : literal,figurative,figurative,literal,miscellaneous small objects,False
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,False,False,bitter medicine,a dose of bitter medicine,It was a bitter medicine,the harsh criticism was a dose of bitter medicine that helped him improve,It was a bitter medicine to have to tell my friend the bad news,the doctor prescribed a dose of bitter medicine to treat his illness,It was a bitter medicine because I had to drink something I didn't like,True,0,"In this case, the hypothesis is a literal interpretation of the idiom 'bitter medicine', as it refers to an actual medicine that has a bitter taste, prescribed by a doctor to treat an illness.",ambiguous : figurative : literal,ambiguous,figurative,literal,something difficult to accept,True
