idiom,meaning,intended_ambiguous,intended_figurative,intended_literal,is_literal,justification,converted,iter,bad_idiom,error,intended_ambiguous_old,intended_figurative_old,intended_literal_old,maxvote - for sort,maxvote_ambiguous,maxvote_figurative,maxvote_literal,well_formed,annotations_ambiguous,annotations_figurative,annotations_literal
bark up the wrong tree,waste one's efforts by pursuing the wrong thing or path,barking up the wrong tree,accusing her of stealing the documents was barking up the wrong tree,"the confused dog was barking up the wrong tree, as the squirrel had already moved to another one",True,"In this case, the hypothesis is a literal interpretation of the idiom, as it describes a dog actually barking up a tree where the squirrel is not present.",False,0,False,False,You've been barking up the wrong tree,You've been barking up the wrong tree ever since you started searching for the answers,You've been barking up the wrong tree because the animal you're looking for is in a different one,ambiguous : figurative : literal,ambiguous,figurative,literal,True,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']"
bats in the belfry,to be silly and slightly crazy and behave in a confused way,had bats in the belfry,his wild theories and peculiar behavior made others think he had bats in the belfry,the old church tower had bats in the belfry that flew out at dusk,True,"The idiom 'bats in the belfry' is used figuratively to mean someone is crazy or eccentric. However, the hypothesis provided is a literal interpretation, as it describes actual bats living in the belfry of a church tower.",False,1,False,False,There are bats in the belfry,There are bats in the belfry because the professor's ideas seem a bit crazy,There are bats in the belfry because they found a way to get in,ambiguous : figurative : literal,ambiguous,figurative,literal,True,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'ambiguous', 'literal']"
batten down the hatches,to get ready for trouble,batten down the hatches,"when the company announced layoffs, employees had to batten down the hatches and prepare for the worst","as the storm approached, the sailors rushed to batten down the hatches on the ship",True,"The hypothesis is a literal interpretation of the idiom, as it describes the actual action of securing the hatches on a ship during a storm.",False,0,False,False,We battened down the hatches,We battened down the hatches as the economic crisis hit us,We battened down the hatches on the boat against the strong wind,ambiguous : figurative : literal,ambiguous,figurative,literal,True,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'ambiguous', 'literal']"
baying for blood,want somebody to be hurt or punished.,baying for blood,the angry mob was baying for blood after the politician's scandal,the pack of hungry wolves was baying for blood as they hunted their prey,True,"In this case, the hypothesis is a literal interpretation of the idiom, as it describes a pack of wolves actually howling or baying for blood while hunting, rather than using the idiom figuratively to describe people demanding punishment or vengeance.",False,0,False,False,The crowd was baying for blood,The crowd was baying for blood after hearing the allegations against the accused,The crowd was baying for blood as the smell of it aroused their sense of thirst,figurative : figurative : literal,figurative,figurative,literal,False,"['figurative', 'ambiguous', 'figurative']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'figurative']"
be on a collision course,doing or saying things which are certain to cause a serious disagreement or a fight between them.,on a collision course with each other,their opposing political views put them on a collision course with each other,"the two ships, sailing at full speed, were on a collision course with each other",True,"In this context, the idiom 'be on a collision course' is used literally, as it describes two ships physically heading towards each other, potentially resulting in a collision.",False,0,False,False,They're on a collision course,They're on a collision course to fail the project because they can't agree on the key components,They're on a collision course since they're planning to fly their planes at the same time,ambiguous : figurative : literal,ambiguous,figurative,literal,True,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']"
bear fruit,to produces positive or successful results,bears fruit in the long run,hard work and dedication bears fruit in the long run for success,the apple tree bears fruit in the long run after years of growth,True,"In this context, 'bear fruit' is used literally to describe the process of a tree producing fruit, which is the direct meaning of the words.",False,0,False,False,The efforts bore fruit,The efforts bore fruit when the new program was successfully instituted,The efforts bore fruit when the trees started to produce apples,ambiguous : figurative : literal,ambiguous,figurative,literal,True,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']"
beat around the bush,avoid talking about the main topic,stop beating around the bush,"if you have something to say, just stop beating around the bush and tell me","if you want to trim the garden, stop beating around the bush and start cutting it",True,"In this sentence, 'beating around the bush' is used in a literal sense, referring to physically trimming or cutting the bush in a garden, rather than its figurative meaning of avoiding the main point.",False,0,False,False,He was beating around the bush,He was beating around the bush and not answering my question directly,He was beating around the bush to clear away the leaves and twigs,ambiguous : figurative : literal,ambiguous,figurative,literal,True,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']"
beat the drum,to speak eagerly about something you support,<beat the drum for the cause>,she <beat the drum for the cause> by raising awareness on social media,"during the parade, he <beat the drum for the cause> as a part of the marching band",False,"In this context, 'beat the drum' is used figuratively to mean promoting or supporting a cause, not literally hitting a drum.",False,0,False,False,He's been beating the drum,He's been beating the drum to spread the message about the upcoming election,He's been beating the drum to make some noise at the parade,ambiguous : figurative : literal,ambiguous,figurative,literal,True,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'ambiguous']","['literal', 'literal', 'literal']"
bee in bonnet,be possessed with one thought or scheme,had a bee in her bonnet,she had a bee in her bonnet about the new policy changes,"during the picnic, she accidentally had a bee in her bonnet and panicked",True,"The hypothesis describes a situation where a bee is literally inside someone's bonnet (hat), which is a direct, word-for-word interpretation of the idiom, rather than its figurative meaning of being obsessed or preoccupied with something.",False,0,False,False,She has a bee in her bonnet,She has a bee in her bonnet about cleaning her room before the weekend arrives,She has a bee in her bonnet that just won't go away,ambiguous : figurative : ambiguous,ambiguous,figurative,ambiguous,False,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['ambiguous', 'ambiguous', 'ambiguous']"
been tailor made,specially made for a particular purpose,has been tailor made,the job opportunity has been tailor made for her skills and experience,the suit has been tailor made to fit his measurements perfectly,True,"In this case, the idiom 'been tailor made' is used in its literal sense, as it refers to a suit that has been custom-made to fit someone's measurements.",False,0,False,False,He's been tailor made,"He's been tailor made for success, always putting his needs first","He's been tailor made for his new suit, which fits him perfectly",ambiguous : figurative : literal,ambiguous,figurative,literal,True,"['figurative', 'ambiguous', 'ambiguous']","['figurative', 'literal', 'figurative']","['literal', 'literal', 'literal']"
begun to see the light,to suddenly begin to understand,began to see the light,"after hours of studying, he finally began to see the light and understood the concept","as the sun rose, she began to see the light streaming through the window",True,"In this context, 'began to see the light' is used to describe the literal action of seeing sunlight coming through the window, rather than the figurative meaning of understanding or realizing something.",False,0,False,False,I have begun to see the light,I have begun to see the light after doing lots of research and talking to mentors,I have begun to see the light as the sun came up,ambiguous : figurative : literal,ambiguous,figurative,literal,True,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'ambiguous']"
behind bars,to be in jail or prison,put him behind bars,the judge's decision to put him behind bars was due to his criminal actions,the zookeeper put him behind bars to clean the animal cages,True,"In this context, 'behind bars' is used literally to describe the physical location of the zookeeper while cleaning the animal cages, which are enclosed by bars.",False,0,False,False,He was behind bars,He was behind bars trying to figure out the best way to move forward with his life,He was behind bars since he was arrested for shoplifting,ambiguous : figurative : ambiguous,ambiguous,figurative,ambiguous,False,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'ambiguous', 'figurative']","['figurative', 'literal', 'ambiguous']"
behind closed doors,in clandestine,behind closed doors,the board members discussed the matter behind closed doors to maintain confidentiality,"they stood behind closed doors while discussing the matter, as the room was too noisy",True,"In this case, the idiom 'behind closed doors' is used literally, as they are physically standing behind closed doors to discuss the matter due to the noise in the room.",False,2,False,False,They talked behind closed doors,They talked behind closed doors when they thought nobody else was listening,They talked behind closed doors because the windows were locked,ambiguous : ambiguous : literal,ambiguous,ambiguous,literal,False,"['ambiguous', 'ambiguous', 'ambiguous']","['literal', 'ambiguous', 'figurative']","['literal', 'literal', 'literal']"
being bouncing off the walls,excited and full of nervous energy,bouncing off the walls,the kids were bouncing off the walls after eating too much candy,the rubber ball kept bouncing off the walls in the small room,True,"The hypothesis describes a rubber ball physically bouncing off the walls in a small room, which is a literal interpretation of the idiom 'bouncing off the walls'. The figurative meaning of the idiom, which is being overly energetic or excited, is not present in the hypothesis.",False,0,False,False,"He's been bouncing off the walls"" ",He's been bouncing off the walls due to his hyperactivity,He's been bouncing off the walls since he's been playing on a trampoline,ambiguous : figurative : ambiguous,ambiguous,figurative,ambiguous,False,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'literal']","['ambiguous', 'figurative', 'literal']"
bells and whistles,special features that are added to a product or system to attract more buyers,added bells and whistles,the new software update added bells and whistles to improve user experience,the parade float designer added bells and whistles to create a festive atmosphere,True,"In this context, the phrase 'bells and whistles' is used to describe the actual addition of bells and whistles to the parade float, which is a literal interpretation of the idiom.",False,0,False,False,I wanted all the bells and whistles,I wanted all the bells and whistles that come with the job,I wanted all the bells and whistles on the bicycle,ambiguous : ambiguous : figurative,ambiguous,ambiguous,figurative,False,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'ambiguous']"
below the belt,to be mean and unfair (in a fight),that comment was below the belt,"insulting her intelligence, that comment was below the belt",the referee declared that comment was below the belt when the boxer hit his opponent in the groin,True,"In this context, 'below the belt' is used to describe a physical action in a boxing match, where hitting below the belt is against the rules. This is a literal interpretation of the idiom, as it refers to an actual location on the body.",False,0,False,False,He said something below the belt,He said something below the belt - it was a savage comment,He said something below the belt - it was a comment about my trousers,figurative : figurative : literal,figurative,figurative,literal,False,"['figurative', 'ambiguous', 'figurative']","['figurative', 'figurative', 'figurative']","['literal', 'ambiguous', 'literal']"
bend over backwards,do all in one's power (usually to achieve something or accommodate somebody),bend over backwards for them,I always bend over backwards for them to make sure they're happy,"during the yoga class, we had to bend over backwards for them to demonstrate the pose",True,"In this context, 'bend over backwards' is used to describe a physical action during a yoga class, which is a literal interpretation of the idiom, rather than its figurative meaning of making a great effort to help or please someone.",False,0,False,False,He bent over backwards,He bent over backwards to make sure his new business was successful,He bent over backwards until he was completely upside down,ambiguous : figurative : literal,ambiguous,figurative,literal,True,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'ambiguous', 'figurative']","['literal', 'literal', 'literal']"
bent out of shape,to become angry.,got bent out of shape,he got bent out of shape when he found out his favorite band was sold out,the metal rod got bent out of shape after the car accident,True,"In this context, 'bent out of shape' is used to describe the physical deformation of a metal rod, which is a literal interpretation of the phrase.",False,0,False,False,He's bent out of shape,He's bent out of shape due to the harsh words said by his manager,He's bent out of shape because of the car accident,ambiguous : figurative : figurative,ambiguous,figurative,figurative,False,"['figurative', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['figurative', 'ambiguous', 'figurative']"
bent your ears,to talk to someone for a very long time about something boring,bent their ears,the speaker bent their ears with his captivating stories,the strong wind bent their ears as they walked through the storm,True,"The hypothesis is a literal interpretation of the idiom 'bent your ears' as it describes the physical action of the wind bending their ears during a storm, rather than the figurative meaning of someone talking to you for a long time.",False,0,False,False,He bent my ears,He bent my ears with his stories about his travels,He bent my ears back to make me listen,ambiguous : figurative : literal,ambiguous,figurative,literal,True,"['figurative', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['figurative', 'literal', 'literal']"
bet on the wrong horse,support a person or thing that ultimately fails,she bet on the wrong horse,she bet on the wrong horse when she chose to invest in that failing company,"at the racetrack, she bet on the wrong horse and lost her money",True,"The hypothesis is a literal interpretation of the idiom, as it describes a situation where someone actually bet on a horse in a race and lost their money.",False,0,False,False,She bet on the wrong horse,She bet on the wrong horse when she invested her money in that company as it eventually failed,She bet on the wrong horse when she placed her bet on the losing horse at the racetrack,ambiguous : figurative : literal,ambiguous,figurative,literal,True,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']"
better half,spouse,spending time with my better half,I enjoy spending time with my better half on weekends,"I cut the cake in two and decided to eat the bigger portion, spending time with my better half",True,"In this context, 'better half' refers to the larger portion of the cake, which is a literal interpretation of the phrase. It does not refer to the common idiomatic meaning of a person's spouse or significant other.",False,0,False,False,He is my better half,He is my better half because he completes me,He is my better half because I am only half as good without him,figurative : figurative : literal,figurative,figurative,literal,False,"['figurative', 'ambiguous', 'figurative']","['figurative', 'literal', 'figurative']","['literal', 'literal', 'figurative']"
between a rock and a hard place,having two very bad choices,caught between a rock and a hard place,he was caught between a rock and a hard place when he had to choose between his job and his family,"while hiking, she found herself caught between a rock and a hard place in a narrow passage",True,"In this context, the idiom is used to describe a physical situation where the person is literally stuck between a rock and a hard place, rather than the figurative meaning of being in a difficult situation with no good options.",False,0,False,False,He's between a rock and a hard place,He's between a rock and a hard place as he has to decide between two equally unattractive options,He's between a rock and a hard place because he is stuck in a narrow gap,ambiguous : figurative : literal,ambiguous,figurative,literal,True,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']"
between you and me,a secret to be kept between two people,"between you and me, there's a secret","between you and me, there's a secret that I can't share with anyone else","he placed a mysterious box between you and me, there's a secret hidden inside it",True,"In this case, the phrase 'between you and me' is used to describe the physical placement of a mysterious box, which is a literal interpretation of the words.",False,0,False,False,Between you and me,"Between you and me, I think that plan is impossible","Between you and me, there is only a one-foot distance",ambiguous : figurative : literal,ambiguous,figurative,literal,True,"['ambiguous', 'ambiguous', 'ambiguous']","['ambiguous', 'figurative', 'figurative']","['literal', 'ambiguous', 'literal']"
beyond the veil,"In an inexplicable or concealed place or condition, especially the mysterious state of existence after death.",looked beyond the veil,the psychic claimed she looked beyond the veil and communicated with spirits,"standing in front of the window, she looked beyond the veil and saw the beautiful garden",True,"In this context, 'beyond the veil' is used to describe looking past a physical curtain or veil to see the garden. This is a literal interpretation of the idiom, as it does not refer to the figurative meaning of understanding or experiencing something hidden or mysterious.",False,0,False,False,He ventured beyond the veil,He ventured beyond the veil to explore the mysteries of the universe,He ventured beyond the veil to enter the secret room,ambiguous : figurative : figurative,ambiguous,figurative,figurative,False,"['figurative', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'literal']","['figurative', 'figurative', 'ambiguous']"
big brother,A large organization or government agency that tries to control all aspects of human life and society.,<the big brother is watching>,"with the new surveillance system, it feels like <the big brother is watching> us","as they played in the park, <the big brother is watching> his younger siblings",False,"The idiom 'big brother' is used figuratively here to describe a protective sibling, not literally referring to a physically larger brother.",False,0,False,False,The big brother was watching,"The big brother was watching, making sure everyone was staying safe",The big brother was watching his little sister play,ambiguous : literal : literal,ambiguous,literal,literal,False,"['ambiguous', 'ambiguous', 'ambiguous']","['literal', 'literal', 'figurative']","['literal', 'literal', 'literal']"
big cheese,to be an important and successful individual,the big cheese,"in the company, he's the big cheese and everyone respects him","at the cheese festival, they displayed the big cheese weighing over 100 pounds",True,"In this context, 'big cheese' is used to describe a large piece of cheese, which is a literal interpretation of the words. It does not refer to the idiomatic meaning of an important or influential person.",False,0,False,False,He's the big cheese,"He's the big cheese around here, so you should respect him highly."" Here ""big cheese"" means a leader or an important person","He's the big cheese in the cheese factory, so he's the one in charge of the operations",figurative : figurative : figurative,figurative,figurative,figurative,False,"['figurative', 'ambiguous', 'figurative']","['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']"
big deal,important thing,<it's a big deal>,getting promoted to manager <it's a big deal> for her career,the large and heavy package that arrived <it's a big deal> to carry upstairs,False,"The idiom 'big deal' is used figuratively in the hypothesis to emphasize the importance or significance of the event, not referring to a literal large deal or transaction.",False,0,False,False,It's a big deal,It's a big deal for me to get accepted into that college,It's a big deal because they bought a large one,ambiguous : figurative : ambiguous,ambiguous,figurative,ambiguous,False,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['ambiguous', 'literal', 'ambiguous']"
big gun,a very powerful individual,bring in the big gun,"to solve the complex problem, we had to bring in the big gun from the head office","to defend the fort, they had to bring in the big gun from the armory",True,"In this context, 'big gun' is used to describe a large weapon, which is a literal interpretation of the phrase. The idiom 'big gun' is typically used figuratively to refer to an influential or powerful person.",False,0,False,False,He brought out the big gun,He brought out the big gun to put an end to the argument,He brought out the big gun to go hunting,ambiguous : ambiguous : literal,ambiguous,ambiguous,literal,False,"['ambiguous', 'ambiguous', 'ambiguous']","['ambiguous', 'ambiguous', 'ambiguous']","['literal', 'ambiguous', 'literal']"
big mouth,someone who talks too much,has a big mouth,"he can't keep a secret, he has a big mouth",the hippopotamus has a big mouth to consume large amounts of food,True,"In this context, 'big mouth' is used to describe the physical size of the hippopotamus's mouth, which is a literal interpretation of the phrase.",False,0,False,False,He's got a big mouth,He's got a big mouth and he won't stop gossiping about everyone,He's got a big mouth and it makes his face look funny,ambiguous : figurative : literal,ambiguous,figurative,literal,True,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']"
bigger fish to fry,"to have other, more important things to do.",have bigger fish to fry,"I can't focus on this minor issue, I have bigger fish to fry at work","I can't cook these small ones now, I have bigger fish to fry for the dinner party",True,"In this sentence, the speaker is literally talking about frying bigger fish for a dinner party, which is a direct interpretation of the idiom without any figurative meaning.",False,0,False,False,I've got bigger fish to fry,"I've got bigger fish to fry, so I'm unable to help you with this","I've got bigger fish to fry, so I'll catch them instead",ambiguous : figurative : literal,ambiguous,figurative,literal,True,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'ambiguous', 'figurative']","['literal', 'literal', 'literal']"
bite head off,overreact in an angry or harsh way,bit his head off,she was so angry that she bit his head off when he tried to explain,the snake bit his head off when he got too close to its nest,True,"In this context, the phrase 'bite head off' is used literally, as it describes a snake biting someone's head off. The idiom 'bite someone's head off' usually means to respond angrily or rudely to someone, but in this case, it is used in its literal sense.",False,0,False,False,He bit the head off,He bit the head off the issue by getting straight to the point,He bit the head off the snake as it threatened to attack him,ambiguous : figurative : literal,ambiguous,figurative,literal,True,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']"
bite off more than one can chew,"to try to do something that is too difficult for you, or more than you can manage",bit off more than he could chew,"by accepting too many projects at once, he bit off more than he could chew",he bit off more than he could chew when he tried to eat the whole sandwich in one bite,True,"The hypothesis is a literal interpretation of the idiom, as it refers to physically biting and chewing a large sandwich, rather than the figurative meaning of taking on more than one can handle.",False,0,False,False,He bit off more than he can chew,He bit off more than he can chew when he promised to finish the project by the end of the week,He bit off more than he can chew when he tried to eat the entire sandwich,ambiguous : figurative : literal,ambiguous,figurative,literal,True,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']"
bite the bullet,to endure a painful experience that you cannot avoid,<bit the bullet and faced>,he <bit the bullet and faced> the consequences of his actions,"during a bizarre dare, he <bit the bullet and faced> the taste of cold metal in his mouth",False,"The hypothesis is not a literal interpretation of the idiom 'bite the bullet', as it is used figuratively to describe facing a difficult or unpleasant situation. The actor is not actually biting a bullet in this context.",False,0,False,False,We had to bite the bullet,We had to bite the bullet and make a difficult decision,We had to bite the bullet because the doctor had run out of anesthesia,ambiguous : figurative : figurative,ambiguous,figurative,figurative,False,"['figurative', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'literal']"
bite the hand that feed,to turn against someone who has been a benefactor in the past,bit the hand that fed,"by criticizing her mentor, she bit the hand that fed her",the untrained dog bit the hand that fed him,True,"In this case, the hypothesis is a literal interpretation of the idiom, as it describes a dog physically biting the hand of the person who feeds it.",False,0,False,False,He bit the hand that feed him,He bit the hand that feed him by insulting his boss and not showing respect,He bit the hand that feed him when the food he was given had a sharp edge,ambiguous : figurative : ambiguous,ambiguous,figurative,ambiguous,False,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['ambiguous', 'literal', 'ambiguous']"
bits and pieces,miscellaneous small objects,gathered the bits and pieces,"after the meeting, we gathered the bits and pieces of information to create a report","following the vase's shattering, we gathered the bits and pieces from the floor",True,"In this context, 'bits and pieces' is used to describe the literal fragments of the shattered vase, which is a direct and literal interpretation of the idiom.",False,0,False,False,I know the story in bits and pieces,I know the story in bits and pieces as I've heard it from various people,I know the story in bits and pieces since I pieced the story together from scraps of paper I found,figurative : figurative : literal,figurative,figurative,literal,False,"['figurative', 'figurative', 'figurative']","['literal', 'figurative', 'figurative']","['literal', 'literal', 'literal']"
bitter medicine,something difficult to accept,a dose of bitter medicine,the harsh criticism was a dose of bitter medicine that helped him improve,the doctor prescribed a dose of bitter medicine to treat his illness,True,"In this case, the hypothesis is a literal interpretation of the idiom 'bitter medicine', as it refers to an actual medicine that has a bitter taste, prescribed by a doctor to treat an illness.",False,0,False,False,It was a bitter medicine,It was a bitter medicine to have to tell my friend the bad news,It was a bitter medicine because I had to drink something I didn't like,ambiguous : figurative : literal,ambiguous,figurative,literal,True,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']"
bitter pill,something unpleasant to be endured,swallow a bitter pill,he had to swallow a bitter pill when he realized he couldn't afford his dream car,the medicine was so awful that she had to swallow a bitter pill,True,"In this sentence, the 'bitter pill' is used to describe the actual taste of the medicine, which is a literal interpretation of the idiom.",False,0,False,False,I had to swallow the bitter pill,I had to swallow the bitter pill of making a mistake,I had to swallow the bitter pill the doctor prescribed me,ambiguous : figurative : literal,ambiguous,figurative,literal,True,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'ambiguous', 'figurative']","['literal', 'literal', 'literal']"
black and blue,"hurt, either bodily, emotionally or psychologically",bruised black and blue,"after the harsh criticism, his ego was bruised black and blue",he fell off his bike and was bruised black and blue all over his body,True,"In this context, 'black and blue' is used to describe the literal appearance of bruises on the person's body after falling off the bike.",False,0,False,False,My arm is black and blue,My arm is black and blue because of the emotional abuse I've been through,My arm is black and blue because of the fall I took yesterday,literal : ambiguous : literal,literal,ambiguous,literal,False,"['literal', 'literal', 'ambiguous']","['literal', 'ambiguous', 'figurative']","['literal', 'literal', 'literal']"
black book,a book containing a list of secret contacts,found in the black book,"after betraying his trust, she was found in the black book of his memories",the old photograph was found in the black book on the dusty shelf,True,"In this context, the 'black book' refers to an actual book with a black cover, which is a literal interpretation of the idiom. The idiom 'black book' is not used in its figurative sense, which means a list of people who are disapproved or not favored.",False,0,False,False,He wrote it in his black book,He wrote it in his black book so he would never forget it,He wrote it in his black book when the ink matched,ambiguous : ambiguous : literal,ambiguous,ambiguous,literal,False,"['ambiguous', 'ambiguous', 'ambiguous']","['ambiguous', 'ambiguous', 'literal']","['literal', 'literal', 'literal']"
black hole,a place in which things are lost never to be seen again,a black hole in the system,"the inefficient department created a black hole in the system, draining resources",scientists discovered a black hole in the system while observing the galaxy,True,"In this context, 'black hole' is used in its literal sense, referring to an astronomical phenomenon where a region in space has a gravitational pull so strong that nothing can escape it, including light.",False,0,False,False,He fell into a black hole,He fell into a black hole when he got fired without notice,He fell into a black hole literally when he gazed at the stars outside his window,ambiguous : figurative : ambiguous,ambiguous,figurative,ambiguous,False,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'figurative', 'ambiguous']"
black sheep,a disgrace,the black sheep in their midst,"despite his successful siblings, John's unconventional career choice made him the black sheep in their midst","among the white ones, there was the black sheep in their midst grazing in the field",True,"The hypothesis describes a literal black sheep among white ones in a field, which is a direct, literal interpretation of the idiom 'black sheep' without any figurative meaning.",False,1,False,False,He was the black sheep,He was the black sheep in the family and an outcast in the social circle,He was the black sheep of the family and he was the only one with black wool,ambiguous : figurative : literal,ambiguous,figurative,literal,True,"['ambiguous', 'figurative', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']"
blank check,Complete authority or unrestricted freedom of action or a free hand.,gave him a blank check,the CEO gave him a blank check to make any necessary changes in the department,she gave him a blank check to fill in the amount for the charity donation,True,"In this case, the idiom 'blank check' is used in its literal sense, referring to an actual check without a specified amount written on it, allowing the recipient to fill in the desired amount.",False,0,False,False,He gave me a blank check,"He gave me a blank check when it came to decisions, to emphasize his trust in me and my judgement",He gave me a blank check with no funds in it,ambiguous : figurative : literal,ambiguous,figurative,literal,True,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'ambiguous']","['literal', 'literal', 'literal']"
blazing row,a very angry argument,had a blazing row,the couple next door had a blazing row over their finances,the firefighters had a blazing row of flames to extinguish,True,"In this context, 'blazing row' is used to describe a literal row of flames that firefighters need to extinguish, rather than the figurative meaning of a heated argument.",False,0,False,False,They had a blazing row,They had a blazing row where they shouted angrily at each other,They had a blazing row in which they fired and burned candles,figurative : figurative : literal,figurative,figurative,literal,False,"['figurative', 'figurative', 'ambiguous']","['ambiguous', 'figurative', 'figurative']","['ambiguous', 'literal', 'literal']"
blind as a bat,unconscious to something,as blind as a bat,"without his glasses, he's as blind as a bat and can't see anything","the cave-dwelling creature was as blind as a bat, relying on echolocation to navigate",True,"In this case, the hypothesis is a literal interpretation of the idiom, as it refers to an actual cave-dwelling creature (a bat) that relies on echolocation for navigation, which is a characteristic of bats.",False,0,False,False,He is blind as a bat,He is blind as a bat when it comes to his own mistakes,He is blind as a bat because he was born without sight,figurative : figurative : literal,figurative,figurative,literal,False,"['figurative', 'ambiguous', 'figurative']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']"
blind leading the blind,someone who does not understand something but tries to explain it to others,<the blind leading the blind>,the inexperienced interns were <the blind leading the blind> in the office,"in the movie, there was a scene where <the blind leading the blind> through a dark alley",False,"The hypothesis is not a literal interpretation of the idiom because it uses the idiom to describe the actors' portrayal of visually impaired characters, which is a figurative way of saying that they are inexperienced or lack guidance.",False,0,False,False,We were the blind leading the blind,We were the blind leading the blind when we tried to solve this difficult problem without any help,We were the blind leading the blind as we physically held each other's hands to guide ourselves,ambiguous : figurative : literal,ambiguous,figurative,literal,True,"['ambiguous', 'figurative', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']"
blind spot,"if you have a blind spot about something, you cannot accept or understand it",had a blind spot,he had a blind spot when it came to recognizing his own flaws,the car had a blind spot that made it difficult to see pedestrians,True,"In this context, 'blind spot' is used literally to describe an area where the driver's vision is obstructed, making it difficult to see pedestrians.",False,0,False,False,He has a blind spot,He has a blind spot when it comes to making financial decisions,He has a blind spot in his vision because of a medical condition,ambiguous : figurative : literal,ambiguous,figurative,literal,True,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'literal', 'figurative']","['literal', 'literal', 'literal']"
"blood, sweat, and tears",putting a lot of effort to get a task done.,"<put blood, sweat, and tears into it>","they <put blood, sweat, and tears into it> to achieve their goals","after a long day of manual labor and a minor injury, they <put blood, sweat, and tears into it>",False,"The idiom 'blood, sweat, and tears' is used figuratively to describe hard work and effort. In the hypothesis, it is not used to describe actual blood, sweat, and tears on the work clothes, but rather the effort put into the work.",False,0,False,False,"It took blood, sweat, and tears","It took blood, sweat, and tears to make this business a success","It took blood, sweat, and tears due to all the injured hands",figurative : figurative : literal,figurative,figurative,literal,False,"['figurative', 'figurative', 'ambiguous']","['figurative', 'figurative', 'figurative']","['ambiguous', 'literal', 'literal']"
blow away,impress someone very much,blew away the competition,their innovative product blew away the competition in the market,the strong gust of wind blew away the competition papers from the table,True,"In this context, 'blow away' is used to describe the physical action of the wind blowing the papers off the table, which is a literal interpretation of the phrase.",False,0,False,False,The audience was blown away,The audience was blown away by his incredible performance,The audience was blown away by the strong wind,ambiguous : figurative : literal,ambiguous,figurative,literal,True,"['figurative', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']"
