annotations_ambiguous,annotations_figurative,annotations_literal,error,idiom,intended_ambiguous,intended_ambiguous_retrial,intended_figurative,intended_figurative_retrial,intended_literal,intended_literal_retrial,iter,maxvote - for sort,maxvote_ambiguous,maxvote_figurative,maxvote_literal,meaning,not_found,well_formed
"['figurative', 'figurative', 'ambiguous']","['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']",False,cost an arm and a leg,This painting cost an arm and a leg,<cost an arm and a leg>,This painting cost an arm and a leg because of its high quality,the designer dress she wanted <cost an arm and a leg>,"This painting cost an arm and a leg, which I had to pay in order to buy it","in the horror movie, the haunted house's entry fee <cost an arm and a leg> as a gruesome form of payment",1.0,figurative : figurative : figurative,figurative,figurative,figurative,very expensive,False,False
"['ambiguous', 'ambiguous', 'ambiguous']","['ambiguous', 'ambiguous', 'ambiguous']","['literal', 'literal', 'literal']",False,count chicken,I'm counting chicken,<counting chickens before they hatch>,I'm counting chicken before they've hatched,he was <counting chickens before they hatch> when he started planning his victory party,I'm counting chicken to make sure I have enough for dinner,the farmer was <counting chickens before they hatch> by estimating the number of eggs that would become chicks,0.0,ambiguous : ambiguous : literal,ambiguous,ambiguous,literal,make plans based on events that may or may not happen,False,False
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,cover one's tracks,He covered his tracks,,He covered his tracks by deleting his browsing history,,He covered his tracks with weeds so the hiker wouldn't find them,,,ambiguous : figurative : literal,ambiguous,figurative,literal,"to keep one's location, activities, and intentions hidden.",False,True
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,crack the whip,He cracked the whip,,He cracked the whip to get his team motivated and complete their tasks,,He cracked the whip to startle the horses and get them moving,,,ambiguous : figurative : literal,ambiguous,figurative,literal,make someone work harder by asserting power or authority,False,True
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,cross paths,We crossed paths,,We crossed paths earlier today when I saw you at the store,,We crossed paths when we were running the same route,,,ambiguous : figurative : literal,ambiguous,figurative,literal,encounter or meet someone by chance.,False,True
"['figurative', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,cross swords,We crossed swords,,"We crossed swords in our debate, trying to outwit and out-argue each other",,"We crossed swords, as we staged a fencing match",,,ambiguous : figurative : literal,ambiguous,figurative,literal,to fight with another person physically or verbally.,False,True
"['literal', 'ambiguous', 'ambiguous']","['figurative', 'literal', 'ambiguous']","['literal', 'literal', 'literal']",False,cross the bridge,We have to cross the bridge,<crossed the bridge together>,We have to cross the bridge when we get to the difficult part of the journey,they <crossed the bridge together> when they decided to face their problems as a team,We have to cross the bridge over the river because the other side is where we need to go,the two friends <crossed the bridge together> while enjoying the scenic view,0.0,ambiguous : ambiguous : literal,ambiguous,ambiguous,literal,to delay worrying about something that might not happen anyway,False,False
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'ambiguous', 'literal']",False,cross the line,He crossed the line,,He crossed the line when it came to showing disrespect,,He crossed the line as he stepped into the wrong side of the street,,,ambiguous : figurative : literal,ambiguous,figurative,literal,behave in a way that is not acceptable,False,True
"['ambiguous', 'ambiguous', 'figurative']","['figurative', 'figurative', 'figurative']","['literal', 'ambiguous', 'literal']",False,crowning glory,Her crowning glory shone brightly,,Her crowning glory shone brightly as she achieved success in her career,,Her crowning glory shone brightly as she wore a sparkling tiara,,,ambiguous : figurative : literal,ambiguous,figurative,literal,The greatest or most beautiful thing,False,True
"['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']","['literal', 'ambiguous', 'literal']",False,crush,I have a crush on him,<have a crush>,"I have a crush on him, I feel butterflies in my stomach when I'm around him",she couldn't help but <have a crush> on the charming new coworker,"I have a crush on him, I literally want to crush him in a hug when I see him",the machine was designed to <have a crush> on the aluminum cans for recycling,0.0,figurative : figurative : literal,figurative,figurative,literal,feel love-sick for someone.,False,False
"['ambiguous', 'ambiguous', 'figurative']","['figurative', 'figurative', 'figurative']","['figurative', 'literal', 'figurative']",False,cry over spilt milk,Don't cry over spilt milk,<crying over spilt milk>,Don't cry over spilt milk; it's not worth wallowing in regret,there's no point in <crying over spilt milk> now that the deadline has passed,Don't cry over spilt milk; it's a complete waste of tears,the toddler was <crying over spilt milk> on the kitchen floor,0.0,ambiguous : figurative : figurative,ambiguous,figurative,figurative,to be upset about things that have already been done,False,False
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'literal']","['literal', 'literal', 'ambiguous']",False,cup of tea,It's not my cup of tea,,It's not my cup of tea as I don't find it enjoyable,,It's not my cup of tea as I don't like how it tastes,,,ambiguous : figurative : literal,ambiguous,figurative,literal,to like something,False,True
"['ambiguous', 'figurative', 'ambiguous']","['literal', 'figurative', 'figurative']","['ambiguous', 'literal', 'literal']",False,curiosity killed the cat,Her curiosity killed the cat,,"Her curiosity killed the cat, as she wanted to know what was happening behind closed doors",,"Her curiosity killed the cat, as she fed it some poisonous food",,,ambiguous : figurative : literal,ambiguous,figurative,literal,too much curiosity can lead to dangerous situations,False,True
"['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']",False,cut and dried,The situation is cut and dried,<a cut and dried decision>,The situation is cut and dried; there's no more room for discussion,"with her impressive qualifications, it was <a cut and dried decision> to hire her",The situation is cut and dried; it was decided weeks ago,the process of making fruit leather involves <a cut and dried decision> with the fruit,1.0,figurative : figurative : figurative,figurative,figurative,figurative,ready-made,False,False
"['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'figurative']",False,cut and thrust,The negotiations involved some cut and thrust,<the cut and thrust of the debate>,The negotiations involved some cut and thrust with both parties giving and taking to come to an understanding,the politicians engaged in <the cut and thrust of the debate> during the election campaign,The negotiations involved some cut and thrust with both sides wielding swords,the fencing match displayed <the cut and thrust of the debate> between two skilled opponents,0.0,figurative : figurative : literal,figurative,figurative,literal,"furious contest, discussion, etc.",False,False
"['ambiguous', 'figurative', 'literal']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,cut coat according to cloth,They cut their coat according to cloth,,They cut their coat according to cloth as they knew their financial constraints,,They cut their coat according to cloth so that it fits them perfectly,,,ambiguous : figurative : literal,ambiguous,figurative,literal,"adapt to one's circumstances, make sure one's plans are appropriate to one's resources.",False,True
"['figurative', 'figurative', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'figurative', 'figurative']",False,cut corners,He cut corners on the project,<cut corners on the project>,"He cut corners on the project by doing a shoddy job, sacrificing quality for speed","to save time and money, they <cut corners on the project> by using cheaper materials",He cut corners on the project by making the edges less sharp to save material,the carpenter <cut corners on the project> to create a rounded shape,0.0,figurative : figurative : figurative,figurative,figurative,figurative,"economise on time, money, materials or effort, perhaps unwisely",False,False
"['literal', 'ambiguous', 'ambiguous']","['literal', 'literal', 'literal']","['literal', 'literal', 'literal']",False,cut down,We had to cut down the tree,<cut down the tree>,We had to cut down the tree to make room for the new flower bed,he had to <cut down the tree> of his ego to become a better person,We had to cut down the tree because it was blocking the view,the lumberjack used a chainsaw to <cut down the tree> in the forest,0.0,ambiguous : literal : literal,ambiguous,literal,literal,to reduce the amount of something (usually bad),False,False
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,cut the cord,I had to cut the cord,,I had to cut the cord and move out of my parents' house,,I had to cut the cord that held the balloon in place,,,ambiguous : figurative : literal,ambiguous,figurative,literal,to end a connection with someone,False,True
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,cut the mustard,He cut the mustard,,He cut the mustard by performing brilliantly at his presentation,,He cut the mustard to top his sandwich with,,,ambiguous : figurative : literal,ambiguous,figurative,literal,to succeed,False,True
"['literal', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['ambiguous', 'figurative', 'ambiguous']",False,cut your own throat,You'll be cutting your own throat,<cut his own throat>,You'll be cutting your own throat if you don't accept this opportunity,"by revealing company secrets, he <cut his own throat> and ruined his career",You'll be cutting your own throat if you don't find a way to stop yourself,"while shaving, he accidentally <cut his own throat> with the razor",0.0,ambiguous : figurative : ambiguous,ambiguous,figurative,ambiguous,to do something that will be the cause of your own failure or ruin your chances in the future,False,False
"['ambiguous', 'ambiguous', 'figurative']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,cutting edge,"They are on the cutting edge"" ",,They are on the cutting edge of technology as they always have the newest gadgets,,They are on the cutting edge of their knives as they sharpen them before going hunting,,,ambiguous : figurative : literal,ambiguous,figurative,literal,to be among the latest and the best (often used for technological advancements),False,True
"['literal', 'ambiguous', 'ambiguous']","['literal', 'literal', 'literal']","['literal', 'literal', 'literal']",False,dance to tune,She danced to the tune,<danced to the tune>,She danced to the tune of the energetic music,he always <danced to the tune> of his boss's demands,She danced to the tune which the musician was playing,"at the party, they <danced to the tune> of their favorite song",0.0,ambiguous : literal : literal,ambiguous,literal,literal,to do what someone else forces you to do,False,False
"['ambiguous', 'ambiguous', 'ambiguous']","['literal', 'figurative', 'figurative']","['ambiguous', 'ambiguous', 'literal']",False,dancing on their grave,They were dancing on their grave,<dancing on their grave>,They were dancing on their grave to celebrate the downfall of their competitor,he was so happy about his rival's failure that he was practically <dancing on their grave>,They were dancing on their grave at the cemetery,the disrespectful teenagers were caught <dancing on their grave> in the cemetery,0.0,ambiguous : figurative : ambiguous,ambiguous,figurative,ambiguous,outlive or outlast someone and celebrate their demise,False,False
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['ambiguous', 'literal', 'literal']",False,dark horse,He's a dark horse,,He's a dark horse since no one really knows his true abilities,,"He's a dark horse since he has black patches on his coat""",,,ambiguous : figurative : literal,ambiguous,figurative,literal,"a little known, unexpectedly successful entrant",False,True
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,dead and buried,It's dead and buried,,It's dead and buried - the idea was completely dismissed,,It's dead and buried - we gave the deceased the proper burial ceremony,,,ambiguous : figurative : literal,ambiguous,figurative,literal,no longer in use.,False,True
"['literal', 'ambiguous', 'ambiguous']","['figurative', 'ambiguous', 'ambiguous']","['figurative', 'literal', 'ambiguous']",False,dead duck,He's a dead duck,<a dead duck in the situation>,"He's a dead duck and there is no way to save him."" ","without any support, he was <a dead duck in the situation> and couldn't succeed",He's a dead duck after his heart stopped beating,the hunter shot down <a dead duck in the situation> and retrieved it,0.0,ambiguous : ambiguous : ambiguous,ambiguous,ambiguous,ambiguous,a project or scheme which has been abandoned or is certain to fail,False,False
"['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']",False,dead in the water,The project is dead in the water,<found it dead in the water>,The project is dead in the water and there's nothing more we can do about it,the project was <found it dead in the water> after the funding was cut,The project is dead in the water as it can't move due to lack of resources,the fisherman <found it dead in the water> while he was out on the lake,0.0,figurative : figurative : figurative,figurative,figurative,figurative,unable to produce movement,False,False
"['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']","['literal', 'figurative', 'figurative']",False,deep down,She knew deep down,<deep down in the ocean>,She knew deep down that she deserved a better job,he knew <deep down in the ocean> of his heart that he had made the right decision,She knew deep down in her heart that she was capable of achieving her goals,the divers explored the shipwreck <deep down in the ocean>,0.0,figurative : figurative : figurative,figurative,figurative,figurative,felt strongly and often hidden from other people,False,False
"['ambiguous', 'ambiguous', 'ambiguous']","['literal', 'ambiguous', 'ambiguous']","['literal', 'literal', 'literal']",False,deliver the goods,They delivered the goods,<delivered the goods on time>,They delivered the goods when they accomplished the mission,the new employee <delivered the goods on time> by meeting all the project deadlines,They delivered the goods when the package arrived,the courier <delivered the goods on time> to the customer's doorstep,0.0,ambiguous : ambiguous : literal,ambiguous,ambiguous,literal,do what is required,False,False
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,dial it back,He dialed it back,,He dialed it back as he wanted to try a more subdued approach,,He dialed it back on the radio to his favorite station,,,ambiguous : figurative : literal,ambiguous,figurative,literal,"to reduce the intensity of something, or tone it down",False,True
"['figurative', 'ambiguous', 'figurative']","['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']",False,die hard,He's a die hard fan,<a die-hard fan>,He's a die hard fan who watches all of the team's games,he's <a die-hard fan> of the local football team and never misses a game,"He's a die hard fan, never missing an opportunity to purchase tickets to all of the games","in the movie, Bruce Willis plays <a die-hard fan> of action and adventure",0.0,figurative : figurative : figurative,figurative,figurative,figurative,"disappear or change very slowly, take a long time to cease to exist or be dropped from consideration. Noun: a person who displays such resistance or loyalty. Example 1: Die hard boarders are snatching up second homes here, but so far it has managed to stay affordable. Example 2: Die-hard football enthusiasts were planning the rebirth of a town team. Example 3: On the morning of my visit, a few die-hards were setting up a small fund-raising event at the gro",False,False
"['figurative', 'ambiguous', 'ambiguous']","['ambiguous', 'literal', 'ambiguous']","['literal', 'literal', 'literal']",False,die in harness,He died in harness,<died in harness>,He died in harness as he was still working till his last breath,"the dedicated employee <died in harness>, working tirelessly until the end",He died in harness as he was wearing it while working,the poor horse <died in harness> while pulling the heavy load,0.0,ambiguous : ambiguous : literal,ambiguous,ambiguous,literal,to expire while working,False,False
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,dig one's own grave,He was digging his own grave,,He was digging his own grave by making bad choices,,He was digging his own grave in preparation for his death,,,ambiguous : figurative : literal,ambiguous,figurative,literal,"to do something that has negative consequences for you, even though these consequences can be easily seen.",False,True
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'figurative', 'ambiguous']",False,do the trick,It did the trick,<that should do the trick>,It did the trick because it provided the solution to my problem,"adding a little more salt to the soup, <that should do the trick>",It did the trick when it lassoed the horse,"performing a magic act, the magician said '<that should do the trick>' as he pulled a rabbit from his hat",0.0,ambiguous : figurative : ambiguous,ambiguous,figurative,ambiguous,successfully achieve a result,False,False
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,dodge a bullet,I dodged a bullet,,I dodged a bullet when I got out of the relationship unscathed,,I dodged a bullet when I moved quickly to the side as I saw it coming,,,ambiguous : figurative : literal,ambiguous,figurative,literal,to narrowly avoid a very serious problem or a disaster,False,True
"['ambiguous', 'ambiguous', 'ambiguous']","['ambiguous', 'literal', 'figurative']","['literal', 'literal', 'literal']",False,does exactly what it says on the tin,The product does exactly what it says on the tin.,<does exactly what it says on the tin>,"The product does exactly what it says on the tin, fulfilling all your expectations",the new software <does exactly what it says on the tin> and is very user-friendly,"The product does exactly what it says on the tin, meaning it'll help you cook dinner faster",the paint <does exactly what it says on the tin> and dries in just 30 minutes,0.0,ambiguous : ambiguous : literal,ambiguous,ambiguous,literal,someone or something is exactly as they seem,False,False
"['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'figurative']",False,double-edged sword,This job is a double-edged sword,<a double-edged sword in this situation>,"This job is a double-edged sword because it gives me great satisfaction in the end, but I need to work long hours and sacrifice my weekends to complete it","having a high-profile job can be <a double-edged sword in this situation>, as it brings both prestige and stress",This job is a double-edged sword as it comes with two sharp edges,the knight wielded <a double-edged sword in this situation> to defend himself against multiple attackers,0.0,figurative : figurative : literal,figurative,figurative,literal,something that could either help you or hurt you,False,False
"['ambiguous', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,down to earth,He is down to earth,<a down-to-earth person>,He is down to earth because of his humbleness and grounded nature,"despite her fame, she remained <a down-to-earth person> who was easy to talk to",He is down to earth because he jumped off the top of the building,"the astronaut, once back from space, became <a down-to-earth person> again",0.0,figurative : figurative : literal,figurative,figurative,literal,"decent, simple, realistic",False,False
"['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']","['figurative', 'literal', 'literal']",False,dragging its feet,The project is dragging its feet,<dragging its feet on the decision>,The project is dragging its feet because people are not taking the necessary steps to finish it quickly,the committee was <dragging its feet on the decision> to approve the project,The project is dragging its feet because it weighs too much,the robot was malfunctioning and <dragging its feet on the decision> of which direction to move,0.0,figurative : figurative : literal,figurative,figurative,literal,"delaying in decision, not showing enthusiasm",False,False
"['ambiguous', 'figurative', 'ambiguous']","['figurative', 'figurative', 'figurative']","['ambiguous', 'literal', 'literal']",False,draw a blank,I drew a blank,,I drew a blank when I was asked to remember her name,,I drew a blank on the paper when I was sketching the landscape,,,ambiguous : figurative : literal,ambiguous,figurative,literal,to get no response from someone,False,True
"['figurative', 'figurative', 'ambiguous']","['figurative', 'figurative', 'figurative']","['ambiguous', 'literal', 'literal']",False,drive a wedge between,They drove a wedge between us,<drive a wedge between them>,They drove a wedge between us when they started spreading false rumors,the disagreement started to <drive a wedge between them> and their friendship,They drove a wedge between us by using a sledgehammer,the lumberjack used a mallet to <drive a wedge between them> and split the log,0.0,figurative : figurative : literal,figurative,figurative,literal,to damage the good relationship that two people or groups of people have,False,False
"['ambiguous', 'literal', 'ambiguous']","['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']",False,drive up the wall,He's been driving me up the wall,<driving me up the wall>,He's been driving me up the wall with his indifference,his constant humming is <driving me up the wall>,He's been driving me up the wall with his driving skills,the remote-controlled car was <driving me up the wall> as it climbed vertically,0.0,ambiguous : figurative : figurative,ambiguous,figurative,figurative,to make someone angry or irritated,False,False
"['ambiguous', 'figurative', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,drop a bombshell,He dropped a bombshell,,He dropped a bombshell when he unexpectedly announced his resignation,,He dropped a bombshell in the garden to get rid of the weeds,,,ambiguous : figurative : literal,ambiguous,figurative,literal,"make an unexpected, startling or disturbing announcement",False,True
"['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']","['figurative', 'literal', 'literal']",False,drop by,He dropped by last night,<drop by the store>,He dropped by last night to see how I was doing,I'll <drop by the store> to see if they have any new books,He dropped by last night to deliver the package,the clumsy customer accidentally let a jar <drop by the store> entrance,0.0,figurative : figurative : literal,figurative,figurative,literal,an informal visit,False,False
"['ambiguous', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,Dutch uncle,He talked to me like a Dutch uncle,<like a Dutch uncle>,He talked to me like a Dutch uncle when he scolded me for not making the right decisions,"he gave me advice <like a Dutch uncle>, always straightforward and honest",He talked to me like a Dutch uncle as he was born in The Netherlands,he dressed up <like a Dutch uncle> for the historical reenactment,0.0,figurative : figurative : literal,figurative,figurative,literal,"criticize, scold or lecture someone",False,False
"['ambiguous', 'literal', 'ambiguous']","['figurative', 'figurative', 'ambiguous']","['literal', 'literal', 'literal']",False,Easter egg,She found the Easter egg,,She found the Easter egg which was the key to her success,,She found the Easter egg which was the prize for the Easter egg hunt,,,ambiguous : figurative : literal,ambiguous,figurative,literal,a decorated or dyed egg usually given to children at Easter,False,True
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,eat crow,She had to eat crow,,She had to eat crow and admit she was wrong about her prediction,,She had to eat crow since that was the only food available,,,ambiguous : figurative : literal,ambiguous,figurative,literal,being proven wrong after taking a strong stand,False,True
"['ambiguous', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']","['figurative', 'ambiguous', 'literal']",False,eat him alive,The audience ate him alive,<eat him alive in the competition>,The audience ate him alive by booing off the stage,his lack of preparation will <eat him alive in the competition> against more experienced opponents,The audience ate him alive with their jaws and teeth,the carnivorous insects would <eat him alive in the competition> if he didn't wear protective gear,0.0,figurative : figurative : ambiguous,figurative,figurative,ambiguous,to criticize someone severely because you are angry with them,False,False
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'ambiguous', 'ambiguous']","['literal', 'ambiguous', 'literal']",False,elephant in the room,There's an elephant in the room,<address the elephant in the room>,There's an elephant in the room and everyone is ignoring it,"during the family meeting, it was time to <address the elephant in the room> and discuss the ongoing conflict",There's an elephant in the room and it's ruining my decorating scheme,"at the wildlife conservation conference, the speaker decided to <address the elephant in the room> and talk about habitat preservation",0.0,ambiguous : ambiguous : literal,ambiguous,ambiguous,literal,"a difficult, controversial, or obvious problem that no one wants to talk about or mention because the subject is problematic, uncomfortable, or awkward",False,False
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'ambiguous', 'literal']","['literal', 'literal', 'literal']",False,end of story,That's the end of the story,<that's the end of the story>,That's the end of the story; there's nothing else to discuss,"I told him I wasn't interested, and <that's the end of the story>",That's the end of the story; I've reached the last line,"she closed the book and said, '<that's the end of the story>'",0.0,ambiguous : ambiguous : literal,ambiguous,ambiguous,literal,there is  nothing more to add to the matter under discussion,False,False
"['figurative', 'ambiguous', 'ambiguous']","['figurative', 'ambiguous', 'figurative']","['ambiguous', 'ambiguous', 'figurative']",False,every nook and cranny,They searched every nook and cranny,<searched every nook and cranny>,They searched every nook and cranny for the missing pieces,"to find the perfect gift, she <searched every nook and cranny> of the shopping mall",They searched every nook and cranny of the house,"during the deep cleaning, they <searched every nook and cranny> of the house for dust and dirt",0.0,ambiguous : figurative : ambiguous,ambiguous,figurative,ambiguous,to look for something everywhere,False,False
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']",False,everything but the kitchen sink,He brought everything but the kitchen sink,<packed everything but the kitchen sink>,"He brought everything but the kitchen sink to his date, hoping to impress her","for our camping trip, we <packed everything but the kitchen sink> to be prepared",He brought everything but the kitchen sink to his date in order to set up a romantic dinner,"while moving, they <packed everything but the kitchen sink>, which was left for the new owners",0.0,ambiguous : figurative : figurative,ambiguous,figurative,figurative,almost everything that one can think of,False,False
"['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']","['ambiguous', 'literal', 'literal']",False,face the music,He had to face the music,<faced the music together>,He had to face the music when the painful truth was revealed,"after making a mistake at work, they <faced the music together> and accepted the consequences",He had to face the music as the performers played their instruments,"as the orchestra began to play, they <faced the music together> and enjoyed the performance",0.0,figurative : figurative : literal,figurative,figurative,literal,receive punishment,False,False
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,fall at first hurdle,He fell at the first hurdle,,He fell at the first hurdle when the project he had been working on was rejected,,He fell at the first hurdle when he tripped and stumbled during the race,,,ambiguous : figurative : literal,ambiguous,figurative,literal,to fail to overcome the first difficulty encountered,False,True
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['ambiguous', 'ambiguous', 'literal']",False,fall between the cracks,The report fell between the cracks,<fell between the cracks>,The report fell between the cracks when the team missed an important deadline,his request for a promotion <fell between the cracks> due to the company's restructuring,The report fell between the cracks of the bookshelf,the small toy <fell between the cracks> of the wooden floor,0.0,ambiguous : figurative : ambiguous,ambiguous,figurative,ambiguous,be ignored or unobserved,False,False
"['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']","['literal', 'figurative', 'figurative']",False,fall flat,His joke fell flat,<the joke fell flat>,His joke fell flat and no one laughed,"he tried to make everyone laugh, but <the joke fell flat> and no one reacted",His joke fell flat and hit the ground with a thud,"the book slipped from her hand, and <the joke fell flat> on the floor",0.0,figurative : figurative : figurative,figurative,figurative,figurative,"fails to amuse people, or fails to have the effect that was intended",False,False
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,fall on his sword,He fell on his sword,,He fell on his sword to take the blame for the failed project,,He fell on his sword when he tripped over it,,,ambiguous : figurative : literal,ambiguous,figurative,literal,to accept the consequences of an unsuccessful or wrong action,False,True
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'ambiguous']","['literal', 'literal', 'ambiguous']",False,fall on our feet,We fell on our feet,,We fell on our feet and we managed to come up with a solution,,We fell on our feet and got right back up,,,ambiguous : figurative : literal,ambiguous,figurative,literal,to succeed in doing something where there was a risk of failure,False,True
"['figurative', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'ambiguous']",False,fall out,They had a fall out,,They had a fall out when they had a major disagreement,,They had a fall out when the items in their closet started to collapse,,,ambiguous : figurative : literal,ambiguous,figurative,literal,to disagree with someone about something,False,True
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,fan the flames,He fanned the flames,,He fanned the flames of anger when he said something rude,,He fanned the flames of the fire to make it bigger,,,ambiguous : figurative : literal,ambiguous,figurative,literal,make a bad situation even worse,False,True
"['figurative', 'figurative', 'figurative']","['figurative', 'literal', 'figurative']","['figurative', 'figurative', 'figurative']",False,far cry from,It's a far cry from what I expected,<a far cry from the original>,"It's a far cry from what I expected, as the situation was much worse than I'd imagined",the movie adaptation was <a far cry from the original> book,It's a far cry from what I expected with it being twice as far as I anticipated,the echo of her voice was <a far cry from the original> sound,0.0,figurative : figurative : figurative,figurative,figurative,figurative,something that is very different from something else,False,False
"['figurative', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'figurative']",False,feather in your cap,It was a feather in your cap,,It was a feather in your cap when you published that book,,It was a feather in your cap when you found the perfect hat to match your outfit,,,ambiguous : figurative : literal,ambiguous,figurative,literal,It means to have an achievement in your name.,False,True
"['figurative', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'figurative', 'literal']",False,feather one's (own) nest,He was feathering his nest,,He was feathering his nest when he started to save up money for retirement,,He was feathering his nest when he was putting cushions on his furniture,,,ambiguous : figurative : literal,ambiguous,figurative,literal,"If you say that you are feathering your own nest, you mean that you are working so hard to gather resources (money) to live a comfortable life in the future.",False,True
"['figurative', 'ambiguous', 'figurative']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,feel the pinch,I'm starting to feel the pinch,<started to feel the pinch>,I'm starting to feel the pinch as I'm running out of funds,"after losing his job, he <started to feel the pinch> financially",I'm starting to feel the pinch because my shoes fit too tight,"when the crab grabbed his finger, he <started to feel the pinch>",0.0,figurative : figurative : literal,figurative,figurative,literal,experience financial hardship,False,False
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,feet of clay,He has feet of clay,,He has feet of clay so he can never achieve his dreams,,He has feet of clay because he stepped on some wet clay,,,ambiguous : figurative : literal,ambiguous,figurative,literal,have a flaw or weakness most people are unaware of.,False,True
"['figurative', 'ambiguous', 'ambiguous']","['ambiguous', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,fiddle while Rome burns,He is fiddling while Rome burns,,He is fiddling while Rome burns and doesn't seem to be taking the issue seriously,,He is fiddling while Rome burns as the city is being engulfed by flames,,,ambiguous : figurative : literal,ambiguous,figurative,literal,to perform an inconsequential task or act irresponsibly in the midst of a disastrous event.,False,True
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'ambiguous', 'literal']",False,field day,She had a field day,,She had a field day checking her bank account balance,,She had a field day since it was a sports day in school,,,ambiguous : figurative : literal,ambiguous,figurative,literal,have a great time doing something enjoyable,False,True
