idiom,meaning,example
paddle own canoe,To be able to act without having to depend on anyone.,He feels he can paddle his own canoe now so wants to move out of his parent's house.
shilly-shally,To be undecided.,He is not shilly-shally about his plans to move to the United States of America.
filthy rich,Someone who is rich beyond measure.,His father is filthy rich so obviously he is not worried about choosing the right university. He can get admission in any of them that he chooses.
love at first sight,strong and immediate attraction to someone you have just met,"For Sarah and Samuel, it was love at first sight, and they have now decided to get married."
fish for a compliment,It refers to an attempt to make someone say something nice to you or about you.,"When the student said that he was still not confident of the subject after a score of 80 on 100 in the test, the teacher knew that he was only fishing for a compliment."
clam up,refusal to talk further or reply,"She clams up every time I walk in, it is worrisome."
a whale of,very big (piece) of something,"That birthday party was super fun, all the children had a whale of a time there."
doozy,it is something that is unique,"It's a doozy of a painting, she is so creative."
Van Gogh's ear for music,Van Gogh was a painter who cut his ear off and this phrase is a pun intended one referring to being tone deaf.,Her singing is so bad she has Van Gogh's ear for music.
dry run,a rehearsal before the actual performance,Today is only a dry run so we will not be using the actual costumes.
know the ropes,to know all the ways and means to get something done,She has been working here for 30 years and knows the ropes to getting anything done.
high on the hog,someone who is used to luxury,We aren't as wealthy as the Jones' to eat so high on the hog.
flesh and blood,"This phrase refers to direct family members, people that share a DNA, that is, flesh and blood.","Of course I care about her well-being, my sister is my flesh and blood after all."
as easy as pie,an easy thing,The results are sure to be good this time since the exam was as easy as a pie.
"all singing, all dancing","Something that is full of verve, vivacity and liveliness.",She went home from the play all singing all dancing. It was one of the liveliest performances that she had ever witnessed.
long in the tooth,To get too old for something.,He is too long in the tooth to be working with 18 year old paired opposite him in movies.
mumbo jumbo,Something that does not make sense.,"I do not believe in this mumbo jumbo, human life should be valued far more than some ritual that one is not willing to forego."
laughing stock,Something ridiculous which can be laughed upon.,"After the event and how he behaved there, he was the laughing stock in school for days to come."
well read,Well-educated and learned.,She is well read does not mean that she can go out on the streets and fend for herself. To be street smart is a requirement in what she wants to do.
as bald as a coot,Totally bald.,She is in remission now but the Chemo Therapy has left her as bald as a coot.
happy as a clam,To be very happy.,"Although the job does not pay very well, she is as happy as a clam there."
slap on the wrist,to show disapproval.,I have to keep slapping his wrist away from the cake or there will be nothing left for the party.
dead ringer,A duplicate of the exact nature.,She is a dead ringer of one of my friends. I in fact walked up to her at an event mistaking her for my friend.
class clown,a wiseacre,He is the class clown with the constant talking and making fun of others.
tall story,a story that cannot be believed easily,You cannot believe everything he says since most of them are just tall stories.
red letter day,a day of significance,The day that I started my journey towards my real career was a red-letter day for me.
lovey-dovey,showing lot of love or affection,"We had gone for lunch with our boss and his wife, but it was pretty awkward with a couple getting lovey-dovey a couple of tables away from us."
head over heels,"fall deeply and completely in love, especially suddenly",Tom and Mary are head over heels in love with each other and are going to get married next month.
"wear off, out",Something that deteriorates or changes by wearing,That garment is completely worn out. Why don't you just throw it away?
love rat,"someone, usually a man, who has a secret affair while being in a relationship",I heard Bill had an affair with his wife's best friend! What a love rat he is!
"marry in haste, repent at leisure","if you marry someone without knowing the person well, you will later regret your decision to marry","Sally and Bob had hardly known each other for a few months before they decided to get married, and now they are having big problems. Marry in haste, repent at leisure!"
love is blind,"if you love someone, you cannot see the faults in that person","I really don't understand why Mia likes Chris so much. He's very selfish and inconsiderate; and doesn't even treat her well. Well, love really is blind."
beauty is in the eye of the beholder,different people have different ideas and views about what is beautiful,"I don't see why he finds her attractive, I think she is downright ugly; but, beauty is in the eye of the beholder, as they say."
let your heart rule your head,do something based on emotions rather than logic,I think it would be unwise for you to be in a relationship with him; he is a known womanizer. Don't let your heart rule your head.
wear heart on sleeve,display your emotions openly,It was evident that he was in love with her. He wore his heart on his sleeve and you could see how he felt about her.
kiss and make up,to become friendly again after an argument,"After having a heated argument the previous night, the young couple kissed and made up and decided to settle their differences amicably."
break up | split up,end a romantic relationship with someone,"After having been married for eight years, their decision to break up came as a huge surprise to their friends."
leave at the altar,decide not to marry someone at the very last moment,Judy was devastated when her fiance did not turn up for their wedding and left her at the altar.
walk out on,end a relationship with someone suddenly,Everyone was shocked when he walked out on his wife of fourteen years and their two beautiful children aged ten and seven.
those three little words,"the three words ""I love you""","It is obvious that Steve really loves Sarah, but she told me that he has not said those three little words yet."
double date,a date on which two couples go together,"When Jim and Sam went on a double date with their girlfriends, they had a fun evening together."
pop the question,propose marriage to someone,"I heard you had a special date with Tom yesterday; so did he pop the question, then?"
match made in heaven,a combination of two people that is perfect in every way,Jules and Nora are a match made in heaven. They love doing things together and cannot bear to be away from each other.
labour of love,"a task done for the pleasure of doing it, not for gains or rewards","Every morning, he dusted, cleaned and wound up the old grandfather clock that he had inherited as a family heirloom. It was truly a labour of love."
an item,be involved in a romantic relationship,John and Sally are frequently seen together nowadays. Are they an item?
all is fair in love and war,in situations of love and war you do not have to obey rules of reasonable behaviour,"In order to go on a date with Elle, Paul tricked her into believing that her boyfriend was seeing another woman. Well, all's fair in love and war."
one cannot love and be wise,people often do foolish things when they are in love,"I don't think it is wise of Elsie and Ray to decide to get married so soon into their relationship. But then, one cannot love and be wise."
the course of true love never did run smooth,people in love often have to overcome difficulties in order to be with each other,Judy and I are in a long distance relationship and it is not easy staying away from each other. The course of true love never did run smooth.
love to death,love someone very much,"He is prepared to do anything for her, go to any extent. He loves her to death."
no love lost,there is a mutual dislike between two people,Bob and Jill cannot get along together. There is no love lost between them.
every picture tells a story,scene of happening that explains hidden reality,"Shannon is denying but I am quite sure that she had done something wrong, every picture tells a story."
turn turtle,It refers to something turning upside down.,The automobile turned turtle on the highway when the storm got too strong.
stormy relationship,a relationship with many disagreements,"After having a very stormy relationship for around two years, they decided to separate."
eat humble pie,To become very humble in behaviour when someone points out a wrong doing by the person.,I know for certain that the appliance should not be handled this way but if I turn out to be wrong then I'll eat humble pie.
have eyes only for,be attracted to someone exclusively,"Jane was a very popular girl in her college and was surrounded by admirers, but she had eyes only for Steve."
smitten with,suddenly start to like or love someone very much,He is completely smitten with love for her.
"if wishes were horses, beggars would ride",To wish for things does not yield to anything.,"She told me she wanted to become Miss Universe and I said, ""If wishes were horses, beggars would ride"". How else was I to react to such an absurd thing?"
as nice as ninepence,A place that is very well organized.,I was taken aback when I saw that this place is as nice as ninepence.
i'll eat my hat,This is an expression of not believing something very strongly.,If you are really able to climb that 8 feet wall by yourself then I'll eat my hat.
born with a silver spoon in mouth,to be born to parents who are rich and have a good social rank,He has never worked hard for anything because he was born with a silver spoon in his mouth. His parents brought everything to him instead.
bob's your uncle,it is said after a set of instructions are provided and one wants to convey that the work will be simple for the other person to do,"You add two cups of water to the mix, heat it for five minutes and Bob's your uncle, the soup is ready."
love nest,a home or place where two people who love each other live,"It was rumoured that the boss was having an illicit love affair with one of his subordinates. Apparently, he had set up a love nest a few blocks away from the office where they met everyday after work."
chew the fat,to have friendly banter for hours on end.,"I've been meaning to get a hold of my friends from the US for quite a while. If I can manage to do that after the party, then I'll go and chew the fat with them at our regular hangout."
puppy love,"a mild infatuation, or a crush","Most teenagers are quick to fall in love and expect it to last a lifetime, but of course it is puppy love and they soon fall out of it."
love of life,the person who is loved most by someone in all their life,"After having spent most of his life being single, he finally found the love of his life at the ripe old age of fifty."
fancy free,something or someone who has no commitments or ties,Until the time his father was around to take care of him he was footloose and fancy free. Now things are very different.
veg out,to stop working hard,"After a tiring week, I like to veg out in front of the television during the weekend."
whet one's appetite,"A stimulation that causes you to want additional of something, mostly food.",You have whetted my appetite to go for another theatre performance after making me watch this one.
cupboard love,affection given in order to gain a reward,I had suspected all along that Jane's affair with that man was just cupboard love. What she really liked about him was his big mansion and luxurious car.
get hitched,to get married,Have you heard? Marge and Sam are getting hitched this weekend.
tie the knot,to get married,They have been dating each other for quite some time now and are planning to tie the knot a few months from now.
go through a rough patch,to experience a lot of problems in a period of life,"They have usually been very supportive of each other, but right now, their marriage is going through a bit of a rough patch."
blazing row,a very angry argument,"After having a blazing row with his wife, he stormed out of the room and banged the door behind him."
can't stand the sight of,to hate someone very much,"After years of being in an unhappy marriage and later going through an ugly divorce, they now can't stand the sight of each other."
keep schtum,To be quiet when one knows that if the wrong thing is said then there will be more trouble.,I can't tell you because you will not be able to keep schtum about it.
one stop shop,a store that fulfills various requirements which is preferable by customers,That corner store is a one stop shop for anyone looking for video games.
cloud nine,very happy,She's been on cloud nine since she heard the news of her engagement.
as calm as a toad in the sun,To be very calm in a situation that can be unnerving.,"No matter what the situation is, you are always as calm as a toad in the sun. What is your secret in maintaining so much composure?"
bug someone,to bother or irritate someone,The squadron leader bugged the military man in order to find out if he was a spy for the enemy.
when pigs fly,something that will never happen,"Her crazy mother said that being so lazy, Megan is going to be rich one day for sure and without any hard working job. Come on, when pigs fly!"
set in ways,leading a fixed lifestyle,People tend to get set in their ways as they grow older.
"if it's not one thing, it's the other",everything is going wrong,"It's such a bad day today. If it's not one thing, it's the other!"
keep an eye on,keep a watch on something or someone closely,The cops always kept an eye on the top trouble makers of the city to ensure that the festival period are not affected.
kick the bucket,to die,Have you heard? The old man down the street has kicked the bucket.
over the top,"excessive, exaggerated",The politician was over the top with his speech. Everything he said was exaggerated.
until the cows come home,for a very long time,"We can keep on arguing about this till the cows come home, but it won't solve anything."
spitting image,look exactly like someone else,My sister is the spitting image of my mother.
smell a rat,sense that something is not right,"When he made that offer, I smelt a rat. It sounded too good to be true."
find feet,become familiar with a new situation,He's still new in his job; give him some time to find his feet.
rule of thumb,a principle that is kept to,"As a rule of thumb, I do not start a new project on Fridays."
water under the bridge,past events that are not important anymore,"We used to have big disagreements some years back, but that's all water under the bridge now. We get along fine."
tongue in cheek,"something said in humour, but with an act of being serious",The latest movie I watched was a tongue in cheek look at the way the media tends to over-hype certain pieces of news.
you are what you eat,"if you eat good food you will be healthy, if you eat bad food you will be unhealthy","To stay healthy, it's best to keep off junk food. You are what you eat."
flog a dead horse,waste energy on something that has no chance of succeeding,"He keeps trying to get his manuscripts published, but I think he is flogging a dead horse."
break a leg,good luck,"""Break a leg!"" shouted the stage director to his actors before the beginning of the play."
against the clock,in a great hurry to finish something before a particular time,The team was working against the clock to finish the project on time.
twist arm,to make someone do what you want by making it difficult for them to refuse,"I did not want to attend the concert, but he twisted my arm into it."
drive up the wall,to make someone angry or irritated,This stagnant traffic and constant honking is driving me up the wall.
hold your horses,to wait,"Hold your horses! We have not won yet, so don't start celebrating."
pull leg,tease someone,Don't worry about what he said. He's just pulling your leg.
cut to the chase,come to the point,We haven't got all day for this discussion. Let's cut to the chase.
between a rock and a hard place,having two very bad choices,I hate my job but cannot quit owing to my economic condition. I'm stuck between a rock and a hard place
it's a small world,meeting someone not expected to be at a certain place,"I had no contact with him since school, and I bumped into him at a friend's party! It's a small world."
pull a rabbit out of the hat,do something unexpected or surprising,"The team was losing till almost the end, but suddenly, it pulled a rabbit out of its hat and won the contest in the dying minutes."
pull yourself together,to calm down and behave normally after an upsetting event,"I know its difficult to get over your loss, but try to pull yourself together and get on with life."
your guess is as good as mine,I don't know,"If you want to know which one is the best of these movies, well, your guess is as good as mine."
leave no stone unturned,do everything that is possible in order to achieve something,The chief of security said that his team would leave no stone unturned in nabbing the miscreants.
cut somebody some slack,give additional freedom to someone,I know he is not up to the mark right now but let's cut him some slack. He's new to this environment and needs time to adjust.
go down in flames,to fail spectacularly,The company went down in flames after reports came out that it had been financing illegal activities.
tar with the same brush,to think that somebody has the same bad qualities as others in a similar surrounding,"Though the impression is that all government officials are corrupt, some of them are quite honest; its not fair to tar them with the same brush."
shoot from the hip,"speak directly or bluntly, without caring for consequences","Even if you don't agree with your boss' ideas, don't shoot from the hip. It won't augur well for your growth."
come out swinging,be confrontational,The government came out swinging against the oppositions charges of corruption during the debate.
go the extra mile,to make an extra effort,"When it comes to weaker students, the teacher goes the extra mile to help them understand."
running on fumes,to continue doing something even when you have no energy left,"After two nights of continuous work, I'm running on fumes today."
sell someone out,to betray someone,"The company had put a lot of trust on him, but he sold them out by leaking confidential information to the competitors."
couldn't care less,total lack of interest in something,"I have heard that my ex is going through another break-up, but I couldn't care less."
blow away,impress someone very much,This new has has such an interesting story and an amazing ending that it just blew me away.
tickled pink,excited and happy,His wife was tickled pink when he sent her flowers and gifts at work for no reason.
let the chips fall where they may,"let something happen, no matter what happens after that","Honesty demands that you tell the truth about what happened, and let the chips fall where they may."
stone's throw,a short distance,His workplace is a stone's throw away from his home.
hit the books,to study very hard,"I have an exam tomorrow, I need to hit the books tonight."
over the moon,extremely pleased or happy,Judy was over the moon when Tim proposed to her.
jump the gun,"start something too soon or early, especially without thinking",The media jumped the gun and gave out their verdict of the scandal even before the investigation was complete.
chip on shoulder,holding a grudge or grievance,He's always picking up fights with everyone. He seems to have a chip on his shoulder.
a fool and his money are easily parted,This meaning is as it literally states. Someone who is foolish can easily lose their money as it would be easy to dupe them out of it.,Woody was cheated several times in his lifetime since a fool and his money are easily parted.
a house divided against itself cannot stand,things will work out when there is unity amongst those people that are involved in the task,The workers will need to form a union because a house divided against itself cannot stand.
a leopard can't change his spots,one cannot change who they are,"He is bound to fail the exam again, a Leopard cannot change his spots after all."
at stake,"It means to be on wager or bet, when there is some sort of uncertainty.","You needn't have all your money at stake in the share market, it is better to diversify."
X Factor,an outstanding extraordinary ability,This is the right time to invest in Gold and Real Estate. It may turn out to be an X-Factor.
a friend in need is a friend indeed,used for a person who helps at the time of a requirement is a true friend,"He stayed with me throughout the time I was in the hospital, a friend in need is a friend indeed!"
a good man is hard to find,This proverb refers to women who are looking for suitable alliances but aren't able to find them.,He has stood by her in all her troubled times. Usually a good man is hard to find but she has done quite well for herself.
a golden key can open any door,The prospect of receiving money will end up in getting any task accomplished.,You should tip the reception staff to get a table sooner because a golden key can open any doors.
a little of what you fancy does you good,It is a coveted way of addressing the benefits that one derives out of having sex.,He was very happy to work overtime today because he could go home half day on his anniversary. A little of what he wanted has done him good.
a drowning man will clutch at a straw,It refers to the desperate measures that someone in need may make in order to come out of the situation.,Although there was no possibility of success he tried his hand at this interview to get a job because a downing man will even clutch at a straw.
a cat may look at a king,Someone who is inferior in any form is not totally restricted in how they behave in front of a superior.,Her boss had just entered but she still went on break. This cat looks at the king on a daily basis.
a nod is as good as a wink,This phrase refers to passing signals to convey a message. This signal can be subtle for those who want to understand it.,She wanted to go for the late night party so her friend made up a story about them getting together to study. Funny thing is that she had not said anything to her friend but a nod is as good as a wink between friends.
a place for everything and everything in its place,This phrase is advisory in nature which talks about things being stacked neatly and should be put back in its place when one is not using that particular item.,She is a strict mother and teaches her children to make a place for everything and have everything in place.
a miss is as good as a mile,"This phrase points to the fact that regardless of how badly (or not) someone missed the target, it is a miss after all.","Although they scored the last goal, that one miss was as good as a mile."
a little knowledge is a dangerous thing,gaining some knowledge can make a person believe that they have now become experts in that field,"He read about the procedure online and thought he doesn't need the doctor to get it done. Now he will have to stay in the hospital far more than he might have in the first place, a little knowledge is indeed a dangerous thing."
a rolling stone gathers no moss,it is difficult for a wanderer to be able to flourish,It was time for you to settle down at least five years back. You should find a place that you like and build a home there because a rolling stone gathers no moss.
a penny saved is a penny earned,This phrase advises people to be cautious of their money and have savings.,Now that he has financial difficulties he will realize that a penny saved is as good as a penny earned.
drink like a fish,"this phrase means to drink heavily, which becomes worrisome","At any party that he goes, he drinks like a fish. His wife ought to control this if she can."
not hurt a fly or flea,"To not be able to cause harm to anyone, including even a tiny and insignificant insect.","He is such an innocent little child, he could not hurt a fly."
stir up a hornet's nest,to create trouble,"When the auditor asked for more shreds evidence, the treasury department stirred up a Hornet's nest because they did not have more. This is how the fraud was actually revealed."
bug-eyed,The bulging of the eyes out is known as being bug eyed.,I was bug eyed looking at her wedding dress and jewelry. Her parents have gone over and above to see her happy.
hive of activity,a very busy place,The restaurant on this weekend will be a hive of activities.
sick as a dog,To be very sick.,You should not go to study with him today. He seemed to be as sick as a dog according to his friends.
use your loaf,To tell someone to use their brain more in analysing what they are doing.,I do not like it that you talk about people's disabilities so often. You ought to use your loaf and understand that you may be hurting someone's sentiments.
green around the gills,Someone who looks sick or nauseated.,You need not know all the rules to understand that this kind of turbulent weather makes anyone on board go green around the gills. The cruise should have been stopped for a while.
fate worse than death,It means to have to suffer through ordeal that makes a person prefer death over going through it again.,Even after she got the surgery done she was in pain for weeks. It was a fate worse than death.
basket case,a person or a thing that is not able to function properly,You should accept this job offer since this is your first job and that organization is a real basket case.
have never had it so good,"It literally means what it says, that is, a person has not had better of whatever it is that is being discussed before.",You should not have broken up with her. You have never had it so good with anyone else.
dish fit for the gods,This refers to food that is of an exemplary quality,She is such a wonderful cook. The cakes that she bakes are dish fit for the gods!
at sea,It means to be confused or not understand something at all.,I was at sea when he started discussing quantum physics during dinner.
lose touch,fail to keep in contact,Michelle was my best friend at the university. But over the years we've lost touch.
name is mud,It means that the person is extremely unpopular.,If you keep hanging out with the local goons then soon your name will be mud too.
as mad as a hatter,it refers to someone being completely crazy,"The way he dressed for the event, he must be as mad as a hatter."
ginger up,to cheer up a group or any activity,As soon as they heard about the picnic - the children in the class gingered up.
a chain is only as strong as its weakest link,"this proverb means what it states, literally","No matter how confident the cheer-leading group is in carrying out the human pyramid gig, the team is only as strong as its weakest link."
a bunch of fives,This phrase refers to the human fist where the bunch of fives literally point out to the five digits.,The two enemy groups in the college this time came together for a fight with nothing but their bunch of fives.
sit tight,wait patiently,"Just relax and sit tight, we'll get the problem sorted for you."
cold turkey,in a unexpected and sudden way,"He had been trying to quit smoking since a year but couldn't, so he decided to go cold turkey."
baby blues,The depression that is caused to new mothers after childbirth.,"Do not speak to her in a rude tone, she is just going through some baby blues right now and needs compassion from you."
before one can say Jack Robinson,very suddenly,I wanted to have a meaningful conversation with him when he was back from work but he was gone before I could say Jack Robinson.
Kangaroo court,It refers to a court that passes judgement but is not a valid court.,"The Kangaroo court announced two years back that the family should be banished and the people in the village followed the judgement. To this day, nobody even talks to anyone in that family."
feather in your cap,It means to have an achievement in your name.,"Ruth scored the last goal for her team, adding a feather in her cap."
call a spade a spade,this phrase means to say something the way it is,"That dress made her look fat, let's call a spade a spade before she goes out wearing it and embarrasses herself."
diamond is forever,It is the slogan of the popular diamond seller De Beers.,"'No matter how much you love your man, it is the diamond that lasts forever', joked the girls at the brunch table."
pitch in,join in and help with something,On Jane's birthday her friends decided to pitch in and have a surprise party for her.
ring a bell,something that sounds familiar,That name rings a bell but I cannot recall where I have heard it before.
face the music,receive punishment,"If you have done something wrong, you have to face the music. There's no escaping out of it."
fool's paradise,This phrase refers to someone who becomes happy at hopes provided based on false facts.,The money was never going to be deposited by him. He kept promising her and let her stay in that fool's paradise for way too long.
fish rots from the head down,It refers to failing organizations and how the blame of it should be on its 'head' that is its leadership.,The company was bound to be closed sooner or later considering the kind of mangers that they had hired. A fish rots from the head down after all.
call of the wild,It talks about nature appealing to a person.,"How could he hurt her like that? He has always been so nice, talk about the call of the wild!"
man's best friend,"It refers to animals that are of use to human beings, mostly used to address dogs.",When his dog died he cried for many days in the memory of his only best friend.
out of the closet,go public about something private or hidden,He was in his late teens when he came out of the closet.
closed book,ing: something that one knows or understands nothing about. Example: I'm afraid that this new physics formula will always be a closed book toExample: ing: something that one knows or understands nothing about. ,I'm afraid that this new physics formula will always be a closed book toExample: ing: something that one knows or understands nothing about. Example: I'm afraid that this new physics formula will always be a closed book to
clear the decks,ing: get ready for action. Example: The British Petroleum company is clearing the decks for setting up many huge new projects around glExample: ing: get ready for action. ,The British Petroleum company is clearing the decks for setting up many huge new projects around glExample: ing: get ready for action. Example: The British Petroleum company is clearing the decks for setting up many huge new projects around gl
sealed with a kiss,written and sent with love and care,"When Ted and Judy were living apart in different cities, he would write a letter to her every week and all the letters would be marked with SWAK, or sealed with a kiss, as a mark of how much he loved her."
bite off more than can chew,try to do more than one is able to do,"By accepting two part-time jobs, he is clearly biting off more than he can chew."
bite tongue,to keep yourself from saying something that you really want to say,I had to bite my tongue when Peter said that he was hard-working.
black sheep,a disgrace,I have always been the black sheep of my family. Everyone else has responsible jobs while I have chosen to be an artist.
in black and white,printed form of a document,Bank demanded in submit the proposal in black and white.
draw a blank,to get no response from someone,The bank manager will question you on why you need such a big amount as loan. You have to be confident in your answers and for heaven's sake do not draw a blank at that time.
make no bones about,"to talk openly about something, instead of being silent",She makes no bones about his feelings towards the protestors.
think outside the box,think differently,The team always thinks outside the box to come up with unique advertisements for all its clients.
bread and butter,to indicate what a person earns or earns for,"The person depends on you for his bread and butter, how can you be so thoughtless?"
bear the brunt of,to be bearing the main force that came from a blow,The family has borne the brunt of his misdeed for a very long time. I think they should be excused now.
bite the hand that feed,to turn against someone who has been a benefactor in the past,The strategies of the state government are not perfect but the people should not bite the hand that feeds them since many lucrative policies have been brought about by this government for the common people.
burn bridges,"remove someone's all options of retreat, act decisively",She has already burned his bridges with his previous employer by publicly criticizing their marketing policy.
take the bull by the horns,decisively deal with a difficult or dangerous situation,Jone decided to take the bull by the horns and organise things for himself.
burn the midnight oil,work long hours and hard,"It is very very hard assignment, and I had to burn the midnight oil to get it completed on time."
on the back burner,to put something (that is to be done) for later,The assignment is on the back burner while I concentrate on writing this play.
as busy as a bee,very busy,I am trying to complete my assignment by the weekend and am as busy as a bee. Could we rather meet up next week?
let bygones be bygones,what's done is done,The two international rivals shook hands and agreed to let bygones be bygones.
turn back on,choose not to speak to,"The client has been given a commitment, we cannot turn back on the project now even if it means working for extra hours."
butterflies in stomach,to feel very nervous and restless,He had butterflies in his stomach as he walked out onto the stage for his dance performance.
bird of passage,a transient,She moves out nearly every year; she's a true bird of passage.
blue blood,a member of an upper-class family,The new student is very arrogant because his blood is blue.
bull in a china shop,"extremely awkward, clumsy person",The president has been attacking foreign ministers and even the people in his own party like a bull in a china shop. This has not only led to a lot of criticism but people have started alienating from him.
bite the dust,to fall to the ground,The soldier bit the dust after a very long fight and even at that he managed to take many enemy soldiers with him.
big deal,important thing,Winning a scholarship is no big deal for him.
bits and pieces,miscellaneous small objects,"After the accident, there were bits and pieces of the wreckage spread all over the road."
at bay,to keep something dangerous at a safe distance,The scientists were able to keep the disease at bay with the help of modern medicine.
beat a hasty retreat,abandon something (speedily),"Once I realized that John was going to be at the party, I beat a hasty retreat."
bated breath,to wait in a nervous and excited manner,The announcer announced the last number with bated breath which made the audience very anxious of the result.
pass on the baton,"ing: give responsibility for something important to another person. Example: The governor of the State Bank of India resigns this month, passing on the baton to one of his closest associaExample: ing: give responsibility for something important to another person. ","The governor of the State Bank of India resigns this month, passing on the baton to one of his closest associaExample: ing: give responsibility for something important to another person. Example: The governor of the State Bank of India resigns this month, passing on the baton to one of his closest associa"
baying for blood,ing: want somebody to be hurt or punished. Example: The victims' families could be seen baying for blood of the assaulter's during the trExample: ing: want somebody to be hurt or punished. ,The victims' families could be seen baying for blood of the assaulter's during the trExample: ing: want somebody to be hurt or punished. Example: The victims' families could be seen baying for blood of the assaulter's during the tr
tighten belt,to save your money,I have had to tighten my belt since I lost my job at the ice cream factory.
a bed of roses,easy option,"Weight loss is a challenging task, not a bed of roses."
raining cats and dogs,too much heavy rain,It's raining cats and dogs I am worried about how my kids will reach home.
below the belt,to be mean and unfair (in a fight),The shot that he took at him was completely below the belt. Decent people do not compete like this.
make the best of,to look for a positive side of a seemingly negative situation,The sun was shining so he made the best of his day and went to the beach with his family.
safe bet,ing: fair assumption; reasonable guess; opinion or view that is likely to prove correct. Example: The party president decided that the 75-year-old sitting legislator was still a safe bet for re-electExample: ing: fair assumption; reasonable guess; opinion or view that is likely to prove correct. ,The party president decided that the 75-year-old sitting legislator was still a safe bet for re-electExample: ing: fair assumption; reasonable guess; opinion or view that is likely to prove correct. Example: The party president decided that the 75-year-old sitting legislator was still a safe bet for re-elect
the better of,to become superior to someone or thing,The man has seen many troubled times and is determined to give the better of days to his children.
better late than never,it is better for somebody or something to be late than never to arrive or to happen,All of us have been waiting for you for two hours - but better late than never.
better half,spouse,I think a two-bedroom flat would suit us but I'd better confirm it with my better half.
beyond a shadow of doubt,to be certain about something's validity,The government has clarified beyond a shadow of doubt that the people who have been evading taxes so far will be caught very soon.
bide time,to wait for the perfect moment to do something,The big tiger bides time until the zebra had to make its way to the water fountain and then struck.
big cheese,to be an important and successful individual,The guy is among the big cheeses in the region and his word rules.
back to the drawing board,back to the planning stage,"My experiment was a failure, so I'm back to the drawing board."
fill the bill,be exactly suitable for a particular situation,The person who claims he fills the bill for the role of such an important office should at least be decent with his communication on social networks. This guy is not worth the people's while.
foot the bill,pay the bill,It was a splendid party and I'm glad that I don't have to foot that particular bill.
a bird in the hand,a possession that is worthy,The fact is that he did not realise that a bird in the hand was worth more and went after having an extra marital affair. Now he neither has his wife nor his girlfriend.
bona fide,"to be genuine, verified","The text on this website is bona fides, always."
born yesterday,naive; inexperienced,"Susan might look young, but she was not born yesterday. She is not going to fall for your lies."
at bottom,to the core of the object,"At bottom she is her father's daughter. No matter how much the family curses him, she will always be on his side."
burn fingers,to bear an unpleasant result of an action that has been taken in the past,The minister was warned not to venture into this sort of a contract. If he wants to burn his fingers in spite of that then he may continue.
carrot and stick,mixture of rewards and punishments,He said the carrot and stick approach is in effective when it comes to management.
put the cart before the horse,to do things in the wrong order or sequence,Aren't you putting the cart before the horse in decorating your new office? You haven't even been awarded the job yet.
castles in the air,thinking of some impossible task,"She keeps talking about her big-time ambitions, but it's all castles in the air."
let the cat out of the bag,to let a secret out in the open,The Mason's let the cat out of the bag at the end minute. Until then nobody at the party knew about the performance by such a famous film star in a regular party.
catch-22,the particular situation in which one cannot win,"I couldn't start my own business until I have got money, and I couldn't get the money until I start my own business, oh my God, this is the real Catch-22 situation."
change of heart,change one's opinion or the way one feels about something,The call-back of the military and troops from Afghanistan shows a change of heart by the British government.
throw caution to the winds,to take a decision without caring about the negative effects that come with it,The caretaker threw caution to the winds when taking the baby out of the house even though he was already sick.
charity begins at home,"the family comes first, and one should help their family before helping others","She spends the little money that she earns on social work and neglects her own family, forgetting that charity begins at home."
three cheers for,"ing: good for, congratulations to, hurrah for. Example 1: Three cheers for Liverpool Football Club for great victory of Grand Final match. Example 2: Three cheers for your beautiful, newly born b","ing: good for, congratulations to, hurrah for. Example 1: Three cheers for Liverpool Football Club for great victory of Grand Final match. Example 2: Three cheers for your beautiful, newly born b"
chink in armour,ing: a susceptible or vulnerable area. Example: She is a brilliant social worker but her lack of political awareness may be the chink in her armourExample: ing: a susceptible or vulnerable area. ,She is a brilliant social worker but her lack of political awareness may be the chink in her armourExample: ing: a susceptible or vulnerable area. Example: She is a brilliant social worker but her lack of political awareness may be the chink in her armourRead on
when the chips are down,ing: when a situation is urgent or desperate. Example: She's the person you would like to have around when the chips are downExample: ing: when a situation is urgent or desperate. ,She's the person you would like to have around when the chips are downExample: ing: when a situation is urgent or desperate. Example: She's the person you would like to have around when the chips are downRead on
strike a chord,to trigger a strong memory or feeling based on which there can be a mutual interest,The two immediately struck a note on the basis of the fact that they follow the same faith. This has led to a beautiful marriage and a lifelong companionship.
go round in circles,"ing: work at something but keep failing to make progress with it. Example: In the absence of adequate data, the surveyors are just going round in circlesExample: ing: work at something but keep failing to make progress with it. ","In the absence of adequate data, the surveyors are just going round in circlesExample: ing: work at something but keep failing to make progress with it. Example: In the absence of adequate data, the surveyors are just going round in circlesRead on"
come full circle,"ing: return to an earlier position or decision. Example: After changing couple of jobs in last three years, Jane Stuart come full circle in her first companyExample: ing: return to an earlier position or decision. ","After changing couple of jobs in last three years, Jane Stuart come full circle in her first companyExample: ing: return to an earlier position or decision. Example: After changing couple of jobs in last three years, Jane Stuart come full circle in her first company"
Hobson's choice,given two options when in fact there is only one choice,"This is the dirtiest hotel that I have ever slept in! It is this room or out on the street, it's Hobson's choice."
clean slate,to wipe the past out and begin afresh,The criminal has completed his sentence and has come out as a clean slate.
cold comfort,"insufficient ease, sympathy, or encouragement",A small increment after two years is cold comfort.
