idiom,meaning,example,source,dupl,idiom_set,idiom_dict,meaning_dict,example_dict,idiom_pfbt,meaning_pfbt
long in the tooth,To get too old for something.,He is too long in the tooth to be working with 18 year old paired opposite him in movies.,dict,0,"frozenset({'long', 'tooth'})",long in the tooth,To get too old for something.,He is too long in the tooth to be working with 18 year old paired opposite him in movies.,,
mumbo jumbo,Something that does not make sense.,"I do not believe in this mumbo jumbo, human life should be valued far more than some ritual that one is not willing to forego.",dict,0,"frozenset({'mumbo', 'jumbo'})",mumbo jumbo,Something that does not make sense.,"I do not believe in this mumbo jumbo, human life should be valued far more than some ritual that one is not willing to forego.",,
laughing stock,Something ridiculous which can be laughed upon.,"After the event and how he behaved there, he was the laughing stock in school for days to come.",dict,0,"frozenset({'laugh', 'stock'})",laughing stock,Something ridiculous which can be laughed upon.,"After the event and how he behaved there, he was the laughing stock in school for days to come.",,
well read,Well-educated and learned.,She is well read does not mean that she can go out on the streets and fend for herself. To be street smart is a requirement in what she wants to do.,dict,0,"frozenset({'well', 'read'})",well read,Well-educated and learned.,She is well read does not mean that she can go out on the streets and fend for herself. To be street smart is a requirement in what she wants to do.,,
as bald as a coot,Totally bald.,She is in remission now but the Chemo Therapy has left her as bald as a coot.,dict,0,"frozenset({'bald', 'coot'})",as bald as a coot,Totally bald.,She is in remission now but the Chemo Therapy has left her as bald as a coot.,,
happy as a clam,To be very happy.,"Although the job does not pay very well, she is as happy as a clam there.",dict,0,"frozenset({'happi', 'clam'})",happy as a clam,To be very happy.,"Although the job does not pay very well, she is as happy as a clam there.",,
slap on the wrist,to show disapproval.,I have to keep slapping his wrist away from the cake or there will be nothing left for the party.,dict,0,"frozenset({'wrist', 'slap'})",slap on the wrist,to show disapproval.,I have to keep slapping his wrist away from the cake or there will be nothing left for the party.,,
dead ringer,A duplicate of the exact nature.,She is a dead ringer of one of my friends. I in fact walked up to her at an event mistaking her for my friend.,dict,0,"frozenset({'ringer', 'dead'})",dead ringer,A duplicate of the exact nature.,She is a dead ringer of one of my friends. I in fact walked up to her at an event mistaking her for my friend.,,
class clown,a wiseacre,He is the class clown with the constant talking and making fun of others.,dict,0,"frozenset({'clown', 'class'})",class clown,a wiseacre,He is the class clown with the constant talking and making fun of others.,,
tall story,a story that cannot be believed easily,You cannot believe everything he says since most of them are just tall stories.,dict,0,"frozenset({'stori', 'tall'})",tall story,a story that cannot be believed easily,You cannot believe everything he says since most of them are just tall stories.,,
red letter day,a day of significance,The day that I started my journey towards my real career was a red-letter day for me.,dict,0,"frozenset({'red', 'day', 'letter'})",red letter day,a day of significance,The day that I started my journey towards my real career was a red-letter day for me.,,
lovey-dovey,showing lot of love or affection,"We had gone for lunch with our boss and his wife, but it was pretty awkward with a couple getting lovey-dovey a couple of tables away from us.",dict,0,"frozenset({'dovey', 'lovey'})",lovey-dovey,showing lot of love or affection,"We had gone for lunch with our boss and his wife, but it was pretty awkward with a couple getting lovey-dovey a couple of tables away from us.",,
head over heels,"fall deeply and completely in love, especially suddenly",Tom and Mary are head over heels in love with each other and are going to get married next month.,dict,0,"frozenset({'over', 'heel', 'head'})",head over heels,"fall deeply and completely in love, especially suddenly",Tom and Mary are head over heels in love with each other and are going to get married next month.,,
"wear off, out",Something that deteriorates or changes by wearing,That garment is completely worn out. Why don't you just throw it away?,dict,0,"frozenset({'out', 'off', 'wear'})","wear off, out",Something that deteriorates or changes by wearing,That garment is completely worn out. Why don't you just throw it away?,,
love rat,"someone, usually a man, who has a secret affair while being in a relationship",I heard Bill had an affair with his wife's best friend! What a love rat he is!,dict,0,"frozenset({'love', 'rat'})",love rat,"someone, usually a man, who has a secret affair while being in a relationship",I heard Bill had an affair with his wife's best friend! What a love rat he is!,,
"marry in haste, repent at leisure","if you marry someone without knowing the person well, you will later regret your decision to marry","Sally and Bob had hardly known each other for a few months before they decided to get married, and now they are having big problems. Marry in haste, repent at leisure!",dict,0,"frozenset({'hast', 'marri', 'repent', 'leisur'})","marry in haste, repent at leisure","if you marry someone without knowing the person well, you will later regret your decision to marry","Sally and Bob had hardly known each other for a few months before they decided to get married, and now they are having big problems. Marry in haste, repent at leisure!",,
love is blind,"if you love someone, you cannot see the faults in that person","I really don't understand why Mia likes Chris so much. He's very selfish and inconsiderate; and doesn't even treat her well. Well, love really is blind.",dict,0,"frozenset({'love', 'blind'})",love is blind,"if you love someone, you cannot see the faults in that person","I really don't understand why Mia likes Chris so much. He's very selfish and inconsiderate; and doesn't even treat her well. Well, love really is blind.",,
beauty is in the eye of the beholder,different people have different ideas and views about what is beautiful,"I don't see why he finds her attractive, I think she is downright ugly; but, beauty is in the eye of the beholder, as they say.",dict,0,"frozenset({'beauti', 'behold', 'eye'})",beauty is in the eye of the beholder,different people have different ideas and views about what is beautiful,"I don't see why he finds her attractive, I think she is downright ugly; but, beauty is in the eye of the beholder, as they say.",,
let your heart rule your head,do something based on emotions rather than logic,I think it would be unwise for you to be in a relationship with him; he is a known womanizer. Don't let your heart rule your head.,dict,0,"frozenset({'rule', 'heart', 'let', 'head'})",let your heart rule your head,do something based on emotions rather than logic,I think it would be unwise for you to be in a relationship with him; he is a known womanizer. Don't let your heart rule your head.,,
wear heart on sleeve,display your emotions openly,It was evident that he was in love with her. He wore his heart on his sleeve and you could see how he felt about her.,dict,0,"frozenset({'sleev', 'heart', 'wear'})",wear heart on sleeve,display your emotions openly,It was evident that he was in love with her. He wore his heart on his sleeve and you could see how he felt about her.,,
kiss and make up,to become friendly again after an argument,"After having a heated argument the previous night, the young couple kissed and made up and decided to settle their differences amicably.",dict,0,"frozenset({'make', 'kiss', 'up'})",kiss and make up,to become friendly again after an argument,"After having a heated argument the previous night, the young couple kissed and made up and decided to settle their differences amicably.",,
break up | split up,end a romantic relationship with someone,"After having been married for eight years, their decision to break up came as a huge surprise to their friends.",dict,0,"frozenset({'split', 'up', 'break'})",break up | split up,end a romantic relationship with someone,"After having been married for eight years, their decision to break up came as a huge surprise to their friends.",,
leave at the altar,decide not to marry someone at the very last moment,Judy was devastated when her fiance did not turn up for their wedding and left her at the altar.,dict,0,"frozenset({'altar', 'leav'})",leave at the altar,decide not to marry someone at the very last moment,Judy was devastated when her fiance did not turn up for their wedding and left her at the altar.,,
walk out on,end a relationship with someone suddenly,Everyone was shocked when he walked out on his wife of fourteen years and their two beautiful children aged ten and seven.,dict,0,"frozenset({'out', 'walk'})",walk out on,end a relationship with someone suddenly,Everyone was shocked when he walked out on his wife of fourteen years and their two beautiful children aged ten and seven.,,
those three little words,"the three words ""I love you""","It is obvious that Steve really loves Sarah, but she told me that he has not said those three little words yet.",dict,0,"frozenset({'littl', 'word', 'three'})",those three little words,"the three words ""I love you""","It is obvious that Steve really loves Sarah, but she told me that he has not said those three little words yet.",,
double date,a date on which two couples go together,"When Jim and Sam went on a double date with their girlfriends, they had a fun evening together.",dict,0,"frozenset({'date', 'doubl'})",double date,a date on which two couples go together,"When Jim and Sam went on a double date with their girlfriends, they had a fun evening together.",,
pop the question,propose marriage to someone,"I heard you had a special date with Tom yesterday; so did he pop the question, then?",dict,0,"frozenset({'pop', 'question'})",pop the question,propose marriage to someone,"I heard you had a special date with Tom yesterday; so did he pop the question, then?",,
match made in heaven,a combination of two people that is perfect in every way,Jules and Nora are a match made in heaven. They love doing things together and cannot bear to be away from each other.,dict,0,"frozenset({'made', 'heaven', 'match'})",match made in heaven,a combination of two people that is perfect in every way,Jules and Nora are a match made in heaven. They love doing things together and cannot bear to be away from each other.,,
labour of love,"a task done for the pleasure of doing it, not for gains or rewards","Every morning, he dusted, cleaned and wound up the old grandfather clock that he had inherited as a family heirloom. It was truly a labour of love.",dict,0,"frozenset({'labour', 'love'})",labour of love,"a task done for the pleasure of doing it, not for gains or rewards","Every morning, he dusted, cleaned and wound up the old grandfather clock that he had inherited as a family heirloom. It was truly a labour of love.",,
an item,be involved in a romantic relationship,John and Sally are frequently seen together nowadays. Are they an item?,dict,0,frozenset({'item'}),an item,be involved in a romantic relationship,John and Sally are frequently seen together nowadays. Are they an item?,,
all is fair in love and war,in situations of love and war you do not have to obey rules of reasonable behaviour,"In order to go on a date with Elle, Paul tricked her into believing that her boyfriend was seeing another woman. Well, all's fair in love and war.",dict,0,"frozenset({'fair', 'love', 'war', 'all'})",all is fair in love and war,in situations of love and war you do not have to obey rules of reasonable behaviour,"In order to go on a date with Elle, Paul tricked her into believing that her boyfriend was seeing another woman. Well, all's fair in love and war.",,
one cannot love and be wise,people often do foolish things when they are in love,"I don't think it is wise of Elsie and Ray to decide to get married so soon into their relationship. But then, one cannot love and be wise.",dict,0,"frozenset({'cannot', 'one', 'wise', 'love'})",one cannot love and be wise,people often do foolish things when they are in love,"I don't think it is wise of Elsie and Ray to decide to get married so soon into their relationship. But then, one cannot love and be wise.",,
the course of true love never did run smooth,people in love often have to overcome difficulties in order to be with each other,Judy and I are in a long distance relationship and it is not easy staying away from each other. The course of true love never did run smooth.,dict,0,"frozenset({'never', 'love', 'run', 'smooth', 'cours', 'true'})",the course of true love never did run smooth,people in love often have to overcome difficulties in order to be with each other,Judy and I are in a long distance relationship and it is not easy staying away from each other. The course of true love never did run smooth.,,
love to death,love someone very much,"He is prepared to do anything for her, go to any extent. He loves her to death.",dict,0,"frozenset({'love', 'death'})",love to death,love someone very much,"He is prepared to do anything for her, go to any extent. He loves her to death.",,
no love lost,there is a mutual dislike between two people,Bob and Jill cannot get along together. There is no love lost between them.,dict,0,"frozenset({'love', 'lost'})",no love lost,there is a mutual dislike between two people,Bob and Jill cannot get along together. There is no love lost between them.,,
every picture tells a story,scene of happening that explains hidden reality,"Shannon is denying but I am quite sure that she had done something wrong, every picture tells a story.",dict,0,"frozenset({'stori', 'everi', 'tell', 'pictur'})",every picture tells a story,scene of happening that explains hidden reality,"Shannon is denying but I am quite sure that she had done something wrong, every picture tells a story.",,
turn turtle,It refers to something turning upside down.,The automobile turned turtle on the highway when the storm got too strong.,dict,0,"frozenset({'turtl', 'turn'})",turn turtle,It refers to something turning upside down.,The automobile turned turtle on the highway when the storm got too strong.,,
stormy relationship,a relationship with many disagreements,"After having a very stormy relationship for around two years, they decided to separate.",dict,0,"frozenset({'relationship', 'stormi'})",stormy relationship,a relationship with many disagreements,"After having a very stormy relationship for around two years, they decided to separate.",,
eat humble pie,To become very humble in behaviour when someone points out a wrong doing by the person.,I know for certain that the appliance should not be handled this way but if I turn out to be wrong then I'll eat humble pie.,dict,0,"frozenset({'eat', 'humbl', 'pie'})",eat humble pie,To become very humble in behaviour when someone points out a wrong doing by the person.,I know for certain that the appliance should not be handled this way but if I turn out to be wrong then I'll eat humble pie.,,
have eyes only for,be attracted to someone exclusively,"Jane was a very popular girl in her college and was surrounded by admirers, but she had eyes only for Steve.",dict,0,"frozenset({'onli', 'have', 'eye'})",have eyes only for,be attracted to someone exclusively,"Jane was a very popular girl in her college and was surrounded by admirers, but she had eyes only for Steve.",,
smitten with,suddenly start to like or love someone very much,He is completely smitten with love for her.,dict,0,frozenset({'smitten'}),smitten with,suddenly start to like or love someone very much,He is completely smitten with love for her.,,
"if wishes were horses, beggars would ride",To wish for things does not yield to anything.,"She told me she wanted to become Miss Universe and I said, ""If wishes were horses, beggars would ride"". How else was I to react to such an absurd thing?",dict,0,"frozenset({'wish', 'beggar', 'ride', 'hors', 'would'})","if wishes were horses, beggars would ride",To wish for things does not yield to anything.,"She told me she wanted to become Miss Universe and I said, ""If wishes were horses, beggars would ride"". How else was I to react to such an absurd thing?",,
as nice as ninepence,A place that is very well organized.,I was taken aback when I saw that this place is as nice as ninepence.,dict,0,"frozenset({'nice', 'ninep'})",as nice as ninepence,A place that is very well organized.,I was taken aback when I saw that this place is as nice as ninepence.,,
i'll eat my hat,This is an expression of not believing something very strongly.,If you are really able to climb that 8 feet wall by yourself then I'll eat my hat.,dict,0,"frozenset({'eat', 'hat'})",i'll eat my hat,This is an expression of not believing something very strongly.,If you are really able to climb that 8 feet wall by yourself then I'll eat my hat.,,
born with a silver spoon in mouth,to be born to parents who are rich and have a good social rank,He has never worked hard for anything because he was born with a silver spoon in his mouth. His parents brought everything to him instead.,dict,0,"frozenset({'mouth', 'born', 'spoon', 'silver'})",born with a silver spoon in mouth,to be born to parents who are rich and have a good social rank,He has never worked hard for anything because he was born with a silver spoon in his mouth. His parents brought everything to him instead.,,
bob's your uncle,it is said after a set of instructions are provided and one wants to convey that the work will be simple for the other person to do,"You add two cups of water to the mix, heat it for five minutes and Bob's your uncle, the soup is ready.",dict,0,"frozenset({'uncl', 'bob'})",bob's your uncle,it is said after a set of instructions are provided and one wants to convey that the work will be simple for the other person to do,"You add two cups of water to the mix, heat it for five minutes and Bob's your uncle, the soup is ready.",,
love nest,a home or place where two people who love each other live,"It was rumoured that the boss was having an illicit love affair with one of his subordinates. Apparently, he had set up a love nest a few blocks away from the office where they met everyday after work.",dict,0,"frozenset({'love', 'nest'})",love nest,a home or place where two people who love each other live,"It was rumoured that the boss was having an illicit love affair with one of his subordinates. Apparently, he had set up a love nest a few blocks away from the office where they met everyday after work.",,
chew the fat,to have friendly banter for hours on end.,"I've been meaning to get a hold of my friends from the US for quite a while. If I can manage to do that after the party, then I'll go and chew the fat with them at our regular hangout.",dict,0,"frozenset({'fat', 'chew'})",chew the fat,to have friendly banter for hours on end.,"I've been meaning to get a hold of my friends from the US for quite a while. If I can manage to do that after the party, then I'll go and chew the fat with them at our regular hangout.",,
puppy love,"a mild infatuation, or a crush","Most teenagers are quick to fall in love and expect it to last a lifetime, but of course it is puppy love and they soon fall out of it.",dict,0,"frozenset({'puppi', 'love'})",puppy love,"a mild infatuation, or a crush","Most teenagers are quick to fall in love and expect it to last a lifetime, but of course it is puppy love and they soon fall out of it.",,
love of life,the person who is loved most by someone in all their life,"After having spent most of his life being single, he finally found the love of his life at the ripe old age of fifty.",dict,0,"frozenset({'love', 'life'})",love of life,the person who is loved most by someone in all their life,"After having spent most of his life being single, he finally found the love of his life at the ripe old age of fifty.",,
fancy free,something or someone who has no commitments or ties,Until the time his father was around to take care of him he was footloose and fancy free. Now things are very different.,dict,0,"frozenset({'free', 'fanci'})",fancy free,something or someone who has no commitments or ties,Until the time his father was around to take care of him he was footloose and fancy free. Now things are very different.,,
veg out,to stop working hard,"After a tiring week, I like to veg out in front of the television during the weekend.",dict,0,"frozenset({'out', 'veg'})",veg out,to stop working hard,"After a tiring week, I like to veg out in front of the television during the weekend.",,
whet one's appetite,"A stimulation that causes you to want additional of something, mostly food.",You have whetted my appetite to go for another theatre performance after making me watch this one.,dict,0,"frozenset({'whet', 'appetit'})",whet one's appetite,"A stimulation that causes you to want additional of something, mostly food.",You have whetted my appetite to go for another theatre performance after making me watch this one.,,
cupboard love,affection given in order to gain a reward,I had suspected all along that Jane's affair with that man was just cupboard love. What she really liked about him was his big mansion and luxurious car.,dict,0,"frozenset({'love', 'cupboard'})",cupboard love,affection given in order to gain a reward,I had suspected all along that Jane's affair with that man was just cupboard love. What she really liked about him was his big mansion and luxurious car.,,
get hitched,to get married,Have you heard? Marge and Sam are getting hitched this weekend.,dict,0,"frozenset({'get', 'hitch'})",get hitched,to get married,Have you heard? Marge and Sam are getting hitched this weekend.,,
tie the knot,to get married,They have been dating each other for quite some time now and are planning to tie the knot a few months from now.,dict,0,"frozenset({'tie', 'knot'})",tie the knot,to get married,They have been dating each other for quite some time now and are planning to tie the knot a few months from now.,,
go through a rough patch,to experience a lot of problems in a period of life,"They have usually been very supportive of each other, but right now, their marriage is going through a bit of a rough patch.",dict,0,"frozenset({'patch', 'go', 'rough', 'through'})",go through a rough patch,to experience a lot of problems in a period of life,"They have usually been very supportive of each other, but right now, their marriage is going through a bit of a rough patch.",,
blazing row,a very angry argument,"After having a blazing row with his wife, he stormed out of the room and banged the door behind him.",dict,0,"frozenset({'blaze', 'row'})",blazing row,a very angry argument,"After having a blazing row with his wife, he stormed out of the room and banged the door behind him.",,
can't stand the sight of,to hate someone very much,"After years of being in an unhappy marriage and later going through an ugly divorce, they now can't stand the sight of each other.",dict,0,"frozenset({'stand', 'sight'})",can't stand the sight of,to hate someone very much,"After years of being in an unhappy marriage and later going through an ugly divorce, they now can't stand the sight of each other.",,
keep schtum,To be quiet when one knows that if the wrong thing is said then there will be more trouble.,I can't tell you because you will not be able to keep schtum about it.,dict,0,"frozenset({'schtum', 'keep'})",keep schtum,To be quiet when one knows that if the wrong thing is said then there will be more trouble.,I can't tell you because you will not be able to keep schtum about it.,,
one stop shop,a store that fulfills various requirements which is preferable by customers,That corner store is a one stop shop for anyone looking for video games.,dict,0,"frozenset({'shop', 'one', 'stop'})",one stop shop,a store that fulfills various requirements which is preferable by customers,That corner store is a one stop shop for anyone looking for video games.,,
cloud nine,very happy,She's been on cloud nine since she heard the news of her engagement.,dict,0,"frozenset({'nine', 'cloud'})",cloud nine,very happy,She's been on cloud nine since she heard the news of her engagement.,,
as calm as a toad in the sun,To be very calm in a situation that can be unnerving.,"No matter what the situation is, you are always as calm as a toad in the sun. What is your secret in maintaining so much composure?",dict,0,"frozenset({'toad', 'calm', 'sun'})",as calm as a toad in the sun,To be very calm in a situation that can be unnerving.,"No matter what the situation is, you are always as calm as a toad in the sun. What is your secret in maintaining so much composure?",,
bug someone,to bother or irritate someone,The squadron leader bugged the military man in order to find out if he was a spy for the enemy.,dict,0,"frozenset({'bug', 'someon'})",bug someone,to bother or irritate someone,The squadron leader bugged the military man in order to find out if he was a spy for the enemy.,,
when pigs fly,something that will never happen,"Her crazy mother said that being so lazy, Megan is going to be rich one day for sure and without any hard working job. Come on, when pigs fly!",dict,0,"frozenset({'pig', 'fli'})",when pigs fly,something that will never happen,"Her crazy mother said that being so lazy, Megan is going to be rich one day for sure and without any hard working job. Come on, when pigs fly!",,
set in ways,leading a fixed lifestyle,People tend to get set in their ways as they grow older.,dict,0,"frozenset({'set', 'way'})",set in ways,leading a fixed lifestyle,People tend to get set in their ways as they grow older.,,
"if it's not one thing, it's the other",everything is going wrong,"It's such a bad day today. If it's not one thing, it's the other!",dict,0,"frozenset({'thing', 'one'})","if it's not one thing, it's the other",everything is going wrong,"It's such a bad day today. If it's not one thing, it's the other!",,
keep an eye on,keep a watch on something or someone closely,The cops always kept an eye on the top trouble makers of the city to ensure that the festival period are not affected.,dict,0,"frozenset({'keep', 'eye'})",keep an eye on,keep a watch on something or someone closely,The cops always kept an eye on the top trouble makers of the city to ensure that the festival period are not affected.,,
kick the bucket,to die,Have you heard? The old man down the street has kicked the bucket.,dict,0,"frozenset({'kick', 'bucket'})",kick the bucket,to die,Have you heard? The old man down the street has kicked the bucket.,,
over the top,"excessive, exaggerated",The politician was over the top with his speech. Everything he said was exaggerated.,dict,0,"frozenset({'over', 'top'})",over the top,"excessive, exaggerated",The politician was over the top with his speech. Everything he said was exaggerated.,,
until the cows come home,for a very long time,"We can keep on arguing about this till the cows come home, but it won't solve anything.",dict,0,"frozenset({'cow', 'come', 'until', 'home'})",until the cows come home,for a very long time,"We can keep on arguing about this till the cows come home, but it won't solve anything.",,
spitting image,look exactly like someone else,My sister is the spitting image of my mother.,dict,0,"frozenset({'spit', 'imag'})",spitting image,look exactly like someone else,My sister is the spitting image of my mother.,,
smell a rat,sense that something is not right,"When he made that offer, I smelt a rat. It sounded too good to be true.",dict,0,"frozenset({'smell', 'rat'})",smell a rat,sense that something is not right,"When he made that offer, I smelt a rat. It sounded too good to be true.",,
find feet,become familiar with a new situation,He's still new in his job; give him some time to find his feet.,dict,0,"frozenset({'find', 'feet'})",find feet,become familiar with a new situation,He's still new in his job; give him some time to find his feet.,,
rule of thumb,a principle that is kept to,"As a rule of thumb, I do not start a new project on Fridays.",dict,0,"frozenset({'rule', 'thumb'})",rule of thumb,a principle that is kept to,"As a rule of thumb, I do not start a new project on Fridays.",,
water under the bridge,past events that are not important anymore,"We used to have big disagreements some years back, but that's all water under the bridge now. We get along fine.",dict,1,"frozenset({'water', 'under', 'bridg'})",water under the bridge,past events that are not important anymore,"We used to have big disagreements some years back, but that's all water under the bridge now. We get along fine.",water under the bridge,if something difficult or unpleasant took place in the past but is no longer important
tongue in cheek,"something said in humour, but with an act of being serious",The latest movie I watched was a tongue in cheek look at the way the media tends to over-hype certain pieces of news.,dict,0,"frozenset({'cheek', 'tongu'})",tongue in cheek,"something said in humour, but with an act of being serious",The latest movie I watched was a tongue in cheek look at the way the media tends to over-hype certain pieces of news.,,
you are what you eat,"if you eat good food you will be healthy, if you eat bad food you will be unhealthy","To stay healthy, it's best to keep off junk food. You are what you eat.",dict,0,frozenset({'eat'}),you are what you eat,"if you eat good food you will be healthy, if you eat bad food you will be unhealthy","To stay healthy, it's best to keep off junk food. You are what you eat.",,
flog a dead horse,waste energy on something that has no chance of succeeding,"He keeps trying to get his manuscripts published, but I think he is flogging a dead horse.",dict,0,"frozenset({'dead', 'hors', 'flog'})",flog a dead horse,waste energy on something that has no chance of succeeding,"He keeps trying to get his manuscripts published, but I think he is flogging a dead horse.",,
break a leg,good luck,"""Break a leg!"" shouted the stage director to his actors before the beginning of the play.",dict,0,"frozenset({'leg', 'break'})",break a leg,good luck,"""Break a leg!"" shouted the stage director to his actors before the beginning of the play.",,
against the clock,in a great hurry to finish something before a particular time,The team was working against the clock to finish the project on time.,dict,1,"frozenset({'against', 'clock'})",against the clock,in a great hurry to finish something before a particular time,The team was working against the clock to finish the project on time.,against the clock,to be in a hurry to do something before a particular time
twist arm,to make someone do what you want by making it difficult for them to refuse,"I did not want to attend the concert, but he twisted my arm into it.",dict,0,"frozenset({'twist', 'arm'})",twist arm,to make someone do what you want by making it difficult for them to refuse,"I did not want to attend the concert, but he twisted my arm into it.",,
drive up the wall,to make someone angry or irritated,This stagnant traffic and constant honking is driving me up the wall.,dict,0,"frozenset({'wall', 'drive', 'up'})",drive up the wall,to make someone angry or irritated,This stagnant traffic and constant honking is driving me up the wall.,,
hold your horses,to wait,"Hold your horses! We have not won yet, so don't start celebrating.",dict,1,"frozenset({'hors', 'hold'})",hold your horses,to wait,"Hold your horses! We have not won yet, so don't start celebrating.",hold his horse,used to tell someone to stop and consider carefully their decision or opinion about something
pull leg,tease someone,Don't worry about what he said. He's just pulling your leg.,dict,0,"frozenset({'leg', 'pull'})",pull leg,tease someone,Don't worry about what he said. He's just pulling your leg.,,
cut to the chase,come to the point,We haven't got all day for this discussion. Let's cut to the chase.,dict,0,"frozenset({'cut', 'chase'})",cut to the chase,come to the point,We haven't got all day for this discussion. Let's cut to the chase.,,
between a rock and a hard place,having two very bad choices,I hate my job but cannot quit owing to my economic condition. I'm stuck between a rock and a hard place,dict,0,"frozenset({'between', 'rock', 'hard', 'place'})",between a rock and a hard place,having two very bad choices,I hate my job but cannot quit owing to my economic condition. I'm stuck between a rock and a hard place,,
it's a small world,meeting someone not expected to be at a certain place,"I had no contact with him since school, and I bumped into him at a friend's party! It's a small world.",dict,0,"frozenset({'world', 'small'})",it's a small world,meeting someone not expected to be at a certain place,"I had no contact with him since school, and I bumped into him at a friend's party! It's a small world.",,
pull a rabbit out of the hat,do something unexpected or surprising,"The team was losing till almost the end, but suddenly, it pulled a rabbit out of its hat and won the contest in the dying minutes.",dict,0,"frozenset({'rabbit', 'hat', 'pull', 'out'})",pull a rabbit out of the hat,do something unexpected or surprising,"The team was losing till almost the end, but suddenly, it pulled a rabbit out of its hat and won the contest in the dying minutes.",,
pull yourself together,to calm down and behave normally after an upsetting event,"I know its difficult to get over your loss, but try to pull yourself together and get on with life.",dict,0,"frozenset({'pull', 'togeth'})",pull yourself together,to calm down and behave normally after an upsetting event,"I know its difficult to get over your loss, but try to pull yourself together and get on with life.",,
your guess is as good as mine,I don't know,"If you want to know which one is the best of these movies, well, your guess is as good as mine.",dict,0,"frozenset({'guess', 'good'})",your guess is as good as mine,I don't know,"If you want to know which one is the best of these movies, well, your guess is as good as mine.",,
leave no stone unturned,do everything that is possible in order to achieve something,The chief of security said that his team would leave no stone unturned in nabbing the miscreants.,dict,0,"frozenset({'stone', 'unturn', 'leav'})",leave no stone unturned,do everything that is possible in order to achieve something,The chief of security said that his team would leave no stone unturned in nabbing the miscreants.,,
cut somebody some slack,give additional freedom to someone,I know he is not up to the mark right now but let's cut him some slack. He's new to this environment and needs time to adjust.,dict,0,"frozenset({'cut', 'somebodi', 'slack'})",cut somebody some slack,give additional freedom to someone,I know he is not up to the mark right now but let's cut him some slack. He's new to this environment and needs time to adjust.,,
go down in flames,to fail spectacularly,The company went down in flames after reports came out that it had been financing illegal activities.,dict,0,"frozenset({'flame', 'down', 'go'})",go down in flames,to fail spectacularly,The company went down in flames after reports came out that it had been financing illegal activities.,,
tar with the same brush,to think that somebody has the same bad qualities as others in a similar surrounding,"Though the impression is that all government officials are corrupt, some of them are quite honest; its not fair to tar them with the same brush.",dict,0,"frozenset({'tar', 'same', 'brush'})",tar with the same brush,to think that somebody has the same bad qualities as others in a similar surrounding,"Though the impression is that all government officials are corrupt, some of them are quite honest; its not fair to tar them with the same brush.",,
shoot from the hip,"speak directly or bluntly, without caring for consequences","Even if you don't agree with your boss' ideas, don't shoot from the hip. It won't augur well for your growth.",dict,0,"frozenset({'shoot', 'hip'})",shoot from the hip,"speak directly or bluntly, without caring for consequences","Even if you don't agree with your boss' ideas, don't shoot from the hip. It won't augur well for your growth.",,
come out swinging,be confrontational,The government came out swinging against the oppositions charges of corruption during the debate.,dict,0,"frozenset({'out', 'swing', 'come'})",come out swinging,be confrontational,The government came out swinging against the oppositions charges of corruption during the debate.,,
go the extra mile,to make an extra effort,"When it comes to weaker students, the teacher goes the extra mile to help them understand.",dict,0,"frozenset({'extra', 'go', 'mile'})",go the extra mile,to make an extra effort,"When it comes to weaker students, the teacher goes the extra mile to help them understand.",,
running on fumes,to continue doing something even when you have no energy left,"After two nights of continuous work, I'm running on fumes today.",dict,0,"frozenset({'fume', 'run'})",running on fumes,to continue doing something even when you have no energy left,"After two nights of continuous work, I'm running on fumes today.",,
sell someone out,to betray someone,"The company had put a lot of trust on him, but he sold them out by leaking confidential information to the competitors.",dict,0,"frozenset({'out', 'sell', 'someon'})",sell someone out,to betray someone,"The company had put a lot of trust on him, but he sold them out by leaking confidential information to the competitors.",,
couldn't care less,total lack of interest in something,"I have heard that my ex is going through another break-up, but I couldn't care less.",dict,0,"frozenset({'care', 'less'})",couldn't care less,total lack of interest in something,"I have heard that my ex is going through another break-up, but I couldn't care less.",,
blow away,impress someone very much,This new has has such an interesting story and an amazing ending that it just blew me away.,dict,0,"frozenset({'blow', 'away'})",blow away,impress someone very much,This new has has such an interesting story and an amazing ending that it just blew me away.,,
tickled pink,excited and happy,His wife was tickled pink when he sent her flowers and gifts at work for no reason.,dict,0,"frozenset({'pink', 'tickl'})",tickled pink,excited and happy,His wife was tickled pink when he sent her flowers and gifts at work for no reason.,,
let the chips fall where they may,"let something happen, no matter what happens after that","Honesty demands that you tell the truth about what happened, and let the chips fall where they may.",dict,0,"frozenset({'chip', 'fall', 'may', 'let'})",let the chips fall where they may,"let something happen, no matter what happens after that","Honesty demands that you tell the truth about what happened, and let the chips fall where they may.",,
stone's throw,a short distance,His workplace is a stone's throw away from his home.,dict,0,frozenset({'stthrow'}),stone's throw,a short distance,His workplace is a stone's throw away from his home.,,
hit the books,to study very hard,"I have an exam tomorrow, I need to hit the books tonight.",dict,0,"frozenset({'book', 'hit'})",hit the books,to study very hard,"I have an exam tomorrow, I need to hit the books tonight.",,
over the moon,extremely pleased or happy,Judy was over the moon when Tim proposed to her.,dict,0,"frozenset({'moon', 'over'})",over the moon,extremely pleased or happy,Judy was over the moon when Tim proposed to her.,,
