idiom,meaning,intended_ambiguous,intended_figurative,intended_literal,num_reprompt,pron_converted,intended_ambiguous_old,intended_figurative_old,intended_literal_old,annotations_ambiguous_old,annotations_figurative_old,annotations_literal_old,well_formed_old,maxvote_id_old,maxvote_ambiguous_old,maxvote_figurative_old,maxvote_literal_old
crack the whip,make someone work harder by asserting power or authority,cracked the whip on the team,the manager cracked the whip on the team to meet the deadline,the circus performer cracked the whip on the team of horses to start the show,0,False,He cracked the whip,He cracked the whip to get his team motivated and complete their tasks,He cracked the whip to startle the horses and get them moving,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",True,ambiguous : figurative : literal,ambiguous,figurative,literal
cross paths,encounter or meet someone by chance.,cross paths with her,I never thought I would cross paths with her again after high school,"while walking in the park, we happened to cross paths with her at the intersection",0,False,We crossed paths,We crossed paths earlier today when I saw you at the store,We crossed paths when we were running the same route,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",True,ambiguous : figurative : literal,ambiguous,figurative,literal
cross swords,to fight with another person physically or verbally.,crossed swords with him,"during the heated debate, she crossed swords with him over their differing opinions","at the fencing tournament, they crossed swords with him in a thrilling match",0,False,We crossed swords,"We crossed swords in our debate, trying to outwit and out-argue each other","We crossed swords, as we staged a fencing match","['figurative', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",True,ambiguous : figurative : literal,ambiguous,figurative,literal
cross the bridge,to delay worrying about something that might not happen anyway,crossed the bridge together,they crossed the bridge together when they decided to face their problems as a team,the two friends crossed the bridge together while enjoying the scenic view,0,False,We have to cross the bridge,We have to cross the bridge when we get to the difficult part of the journey,We have to cross the bridge over the river because the other side is where we need to go,"['literal', 'ambiguous', 'ambiguous']","['figurative', 'literal', 'ambiguous']","['literal', 'literal', 'literal']",False,ambiguous : ambiguous : literal,ambiguous,ambiguous,literal
cross the line,behave in a way that is not acceptable,he crossed the line with her,he crossed the line with her when he made that inappropriate comment,"during the race, he crossed the line with her as they finished together",0,True,He crossed the line,He crossed the line when it came to showing disrespect,He crossed the line as he stepped into the wrong side of the street,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'ambiguous', 'literal']",True,ambiguous : figurative : literal,ambiguous,figurative,literal
crush,feel love-sick for someone.,have a crush,she couldn't help but have a crush on the charming new coworker,the machine was designed to have a crush on the aluminum cans for recycling,0,False,I have a crush on him,"I have a crush on him, I feel butterflies in my stomach when I'm around him","I have a crush on him, I literally want to crush him in a hug when I see him","['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']","['literal', 'ambiguous', 'literal']",False,figurative : figurative : literal,figurative,figurative,literal
cry over spilt milk,to be upset about things that have already been done,crying over spilt milk,there's no point in crying over spilt milk now that the deadline has passed,the toddler was crying over spilt milk on the kitchen floor,0,False,Don't cry over spilt milk,Don't cry over spilt milk; it's not worth wallowing in regret,Don't cry over spilt milk; it's a complete waste of tears,"['ambiguous', 'ambiguous', 'figurative']","['figurative', 'figurative', 'figurative']","['figurative', 'literal', 'figurative']",False,ambiguous : figurative : figurative,ambiguous,figurative,figurative
cup of tea,to like something,not my cup of tea,"skydiving is not my cup of tea, I prefer calmer activities","this green tea is not my cup of tea, I ordered black tea",0,False,It's not my cup of tea,It's not my cup of tea as I don't find it enjoyable,It's not my cup of tea as I don't like how it tastes,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'literal']","['literal', 'literal', 'ambiguous']",True,ambiguous : figurative : literal,ambiguous,figurative,literal
cut and dried,ready-made,a cut and dried decision,"with her impressive qualifications, it was a cut and dried decision to hire her",the process of making fruit leather involves a cut and dried decision with the fruit,1,False,The situation is cut and dried,The situation is cut and dried; there's no more room for discussion,The situation is cut and dried; it was decided weeks ago,"['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']",False,figurative : figurative : figurative,figurative,figurative,figurative
cut and thrust,"furious contest, discussion, etc.",the cut and thrust of the debate,the politicians engaged in the cut and thrust of the debate during the election campaign,the fencing match displayed the cut and thrust of the debate between two skilled opponents,0,False,The negotiations involved some cut and thrust,The negotiations involved some cut and thrust with both parties giving and taking to come to an understanding,The negotiations involved some cut and thrust with both sides wielding swords,"['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'figurative']",False,figurative : figurative : literal,figurative,figurative,literal
cut coat according to cloth,"adapt to one's circumstances, make sure one's plans are appropriate to one's resources.",cut their coat according to their cloth,they cut their coat according to their cloth by living within their means,the tailor cut their coat according to their cloth to avoid wasting fabric,0,False,They cut their coat according to cloth,They cut their coat according to cloth as they knew their financial constraints,They cut their coat according to cloth so that it fits them perfectly,"['ambiguous', 'figurative', 'literal']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",True,ambiguous : figurative : literal,ambiguous,figurative,literal
cut corners,"economise on time, money, materials or effort, perhaps unwisely",cut corners on the project,"to save time and money, they cut corners on the project by using cheaper materials",the carpenter cut corners on the project to create a rounded shape,0,False,He cut corners on the project,"He cut corners on the project by doing a shoddy job, sacrificing quality for speed",He cut corners on the project by making the edges less sharp to save material,"['figurative', 'figurative', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'figurative', 'figurative']",False,figurative : figurative : figurative,figurative,figurative,figurative
cut down,to reduce the amount of something (usually bad),to cut down the tree,he had to cut down the tree of his ego to become a better person,the lumberjack used a chainsaw to cut down the tree in the forest,0,True,We had to cut down the tree,We had to cut down the tree to make room for the new flower bed,We had to cut down the tree because it was blocking the view,"['literal', 'ambiguous', 'ambiguous']","['literal', 'literal', 'literal']","['literal', 'literal', 'literal']",False,ambiguous : literal : literal,ambiguous,literal,literal
cut the cord,to end a connection with someone,cut the cord with her,he decided to cut the cord with her and end their toxic relationship,the nurse cut the cord with her after the baby was born,0,False,I had to cut the cord,I had to cut the cord and move out of my parents' house,I had to cut the cord that held the balloon in place,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",True,ambiguous : figurative : literal,ambiguous,figurative,literal
cut the mustard,to succeed,couldn't cut the mustard,"despite his efforts, he couldn't cut the mustard in the competitive sales environment","with a dull knife, she couldn't cut the mustard for her sandwich",0,False,He cut the mustard,He cut the mustard by performing brilliantly at his presentation,He cut the mustard to top his sandwich with,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",True,ambiguous : figurative : literal,ambiguous,figurative,literal
cut your own throat,to do something that will be the cause of your own failure or ruin your chances in the future,cut his own throat,"by revealing company secrets, he cut his own throat and ruined his career","while shaving, he accidentally cut his own throat with the razor",0,False,You'll be cutting your own throat,You'll be cutting your own throat if you don't accept this opportunity,You'll be cutting your own throat if you don't find a way to stop yourself,"['literal', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['ambiguous', 'figurative', 'ambiguous']",False,ambiguous : figurative : ambiguous,ambiguous,figurative,ambiguous
cutting edge,to be among the latest and the best (often used for technological advancements),on the cutting edge,their research is on the cutting edge of technology,the chef's knife was on the cutting edge of the countertop,0,False,"They are on the cutting edge"" ",They are on the cutting edge of technology as they always have the newest gadgets,They are on the cutting edge of their knives as they sharpen them before going hunting,"['ambiguous', 'ambiguous', 'figurative']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",True,ambiguous : figurative : literal,ambiguous,figurative,literal
dance to tune,to do what someone else forces you to do,danced to the tune,he always danced to the tune of his boss's demands,"at the party, they danced to the tune of their favorite song",0,False,She danced to the tune,She danced to the tune of the energetic music,She danced to the tune which the musician was playing,"['literal', 'ambiguous', 'ambiguous']","['literal', 'literal', 'literal']","['literal', 'literal', 'literal']",False,ambiguous : literal : literal,ambiguous,literal,literal
dancing on their grave,outlive or outlast someone and celebrate their demise,dancing on their grave,he was so happy about his rival's failure that he was practically dancing on their grave,the disrespectful teenagers were caught dancing on their grave in the cemetery,0,False,They were dancing on their grave,They were dancing on their grave to celebrate the downfall of their competitor,They were dancing on their grave at the cemetery,"['ambiguous', 'ambiguous', 'ambiguous']","['literal', 'figurative', 'figurative']","['ambiguous', 'ambiguous', 'literal']",False,ambiguous : figurative : ambiguous,ambiguous,figurative,ambiguous
dark horse,"a little known, unexpectedly successful entrant",a dark horse in the race,"the new candidate was a dark horse in the race, surprising everyone with his unexpected success",the trainer brought a dark horse in the race to compete against the other thoroughbreds,0,False,He's a dark horse,He's a dark horse since no one really knows his true abilities,"He's a dark horse since he has black patches on his coat""","['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['ambiguous', 'literal', 'literal']",True,ambiguous : figurative : literal,ambiguous,figurative,literal
dead and buried,no longer in use.,that issue is dead and buried,"we resolved our differences, so that issue is dead and buried now",the archaeologist confirmed that that issue is dead and buried beneath the ancient ruins,0,False,It's dead and buried,It's dead and buried - the idea was completely dismissed,It's dead and buried - we gave the deceased the proper burial ceremony,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",True,ambiguous : figurative : literal,ambiguous,figurative,literal
dead duck,a project or scheme which has been abandoned or is certain to fail,a dead duck in the situation,"without any support, he was a dead duck in the situation and couldn't succeed",the hunter shot down a dead duck in the situation and retrieved it,0,False,He's a dead duck,"He's a dead duck and there is no way to save him."" ",He's a dead duck after his heart stopped beating,"['literal', 'ambiguous', 'ambiguous']","['figurative', 'ambiguous', 'ambiguous']","['figurative', 'literal', 'ambiguous']",False,ambiguous : ambiguous : ambiguous,ambiguous,ambiguous,ambiguous
dead in the water,unable to produce movement,found it dead in the water,the project was found it dead in the water after the funding was cut,the fisherman found it dead in the water while he was out on the lake,0,False,The project is dead in the water,The project is dead in the water and there's nothing more we can do about it,The project is dead in the water as it can't move due to lack of resources,"['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']",False,figurative : figurative : figurative,figurative,figurative,figurative
deep down,felt strongly and often hidden from other people,deep down in the ocean,he knew deep down in the ocean of his heart that he had made the right decision,the divers explored the shipwreck deep down in the ocean,0,False,She knew deep down,She knew deep down that she deserved a better job,She knew deep down in her heart that she was capable of achieving her goals,"['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']","['literal', 'figurative', 'figurative']",False,figurative : figurative : figurative,figurative,figurative,figurative
deliver the goods,do what is required,delivered the goods on time,the new employee delivered the goods on time by meeting all the project deadlines,the courier delivered the goods on time to the customer's doorstep,0,False,They delivered the goods,They delivered the goods when they accomplished the mission,They delivered the goods when the package arrived,"['ambiguous', 'ambiguous', 'ambiguous']","['literal', 'ambiguous', 'ambiguous']","['literal', 'literal', 'literal']",False,ambiguous : ambiguous : literal,ambiguous,ambiguous,literal
dial it back,"to reduce the intensity of something, or tone it down",to dial it back a bit,he was advised to dial it back a bit during the heated discussion,"the radio was too loud, so she had to dial it back a bit",0,True,He dialed it back,He dialed it back as he wanted to try a more subdued approach,He dialed it back on the radio to his favorite station,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",True,ambiguous : figurative : literal,ambiguous,figurative,literal
die in harness,to expire while working,died in harness,"the dedicated employee died in harness, working tirelessly until the end",the poor horse died in harness while pulling the heavy load,0,False,He died in harness,He died in harness as he was still working till his last breath,He died in harness as he was wearing it while working,"['figurative', 'ambiguous', 'ambiguous']","['ambiguous', 'literal', 'ambiguous']","['literal', 'literal', 'literal']",False,ambiguous : ambiguous : literal,ambiguous,ambiguous,literal
dig one's own grave,"to do something that has negative consequences for you, even though these consequences can be easily seen.",was digging his own grave,"by spreading false rumors about the boss, he was digging his own grave at work","as a cemetery worker, he was digging his own grave to prepare for his eventual burial",0,True,He was digging his own grave,He was digging his own grave by making bad choices,He was digging his own grave in preparation for his death,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",True,ambiguous : figurative : literal,ambiguous,figurative,literal
do the trick,successfully achieve a result,that should do the trick,"adding a little more salt to the soup, that should do the trick","performing a magic act, the magician said 'that should do the trick' as he pulled a rabbit from his hat",0,False,It did the trick,It did the trick because it provided the solution to my problem,It did the trick when it lassoed the horse,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'figurative', 'ambiguous']",False,ambiguous : figurative : ambiguous,ambiguous,figurative,ambiguous
dodge a bullet,to narrowly avoid a very serious problem or a disaster,dodged a bullet there,"when the company went bankrupt, I realized I dodged a bullet there by not investing","during the paintball game, he dodged a bullet there by quickly ducking behind a barrier",0,False,I dodged a bullet,I dodged a bullet when I got out of the relationship unscathed,I dodged a bullet when I moved quickly to the side as I saw it coming,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",True,ambiguous : figurative : literal,ambiguous,figurative,literal
does exactly what it says on the tin,someone or something is exactly as they seem,does exactly what it says on the tin,the new software does exactly what it says on the tin and is very user-friendly,the paint does exactly what it says on the tin and dries in just 30 minutes,0,False,The product does exactly what it says on the tin.,"The product does exactly what it says on the tin, fulfilling all your expectations","The product does exactly what it says on the tin, meaning it'll help you cook dinner faster","['ambiguous', 'ambiguous', 'ambiguous']","['ambiguous', 'literal', 'figurative']","['literal', 'literal', 'literal']",False,ambiguous : ambiguous : literal,ambiguous,ambiguous,literal
double-edged sword,something that could either help you or hurt you,a double-edged sword in this situation,"having a high-profile job can be a double-edged sword in this situation, as it brings both prestige and stress",the knight wielded a double-edged sword in this situation to defend himself against multiple attackers,0,False,This job is a double-edged sword,"This job is a double-edged sword because it gives me great satisfaction in the end, but I need to work long hours and sacrifice my weekends to complete it",This job is a double-edged sword as it comes with two sharp edges,"['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'figurative']",False,figurative : figurative : literal,figurative,figurative,literal
down to earth,"decent, simple, realistic",a down-to-earth person,"despite her fame, she remained a down-to-earth person who was easy to talk to","the astronaut, once back from space, became a down-to-earth person again",0,False,He is down to earth,He is down to earth because of his humbleness and grounded nature,He is down to earth because he jumped off the top of the building,"['ambiguous', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,figurative : figurative : literal,figurative,figurative,literal
dragging its feet,"delaying in decision, not showing enthusiasm",dragging its feet on the decision,the committee was dragging its feet on the decision to approve the project,the robot was malfunctioning and dragging its feet on the decision of which direction to move,0,False,The project is dragging its feet,The project is dragging its feet because people are not taking the necessary steps to finish it quickly,The project is dragging its feet because it weighs too much,"['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']","['figurative', 'literal', 'literal']",False,figurative : figurative : literal,figurative,figurative,literal
draw a blank,to get no response from someone,was drawing a blank,"when asked about the details of the project, he was drawing a blank",the artist was drawing a blank canvas to prepare for her next masterpiece,0,True,I drew a blank,I drew a blank when I was asked to remember her name,I drew a blank on the paper when I was sketching the landscape,"['ambiguous', 'figurative', 'ambiguous']","['figurative', 'figurative', 'figurative']","['ambiguous', 'literal', 'literal']",True,ambiguous : figurative : literal,ambiguous,figurative,literal
drive a wedge between,to damage the good relationship that two people or groups of people have,to drive a wedge between them,the disagreement started to drive a wedge between them and their friendship,the lumberjack used a mallet to drive a wedge between them and split the log,0,True,They drove a wedge between us,They drove a wedge between us when they started spreading false rumors,They drove a wedge between us by using a sledgehammer,"['figurative', 'figurative', 'ambiguous']","['figurative', 'figurative', 'figurative']","['ambiguous', 'literal', 'literal']",False,figurative : figurative : literal,figurative,figurative,literal
drive up the wall,to make someone angry or irritated,driving me up the wall,his constant humming is driving me up the wall,the remote-controlled car was driving me up the wall as it climbed vertically,0,False,He's been driving me up the wall,He's been driving me up the wall with his indifference,He's been driving me up the wall with his driving skills,"['ambiguous', 'literal', 'ambiguous']","['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']",False,ambiguous : figurative : figurative,ambiguous,figurative,figurative
drop a bombshell,"make an unexpected, startling or disturbing announcement",dropped a bombshell during the meeting,the CEO dropped a bombshell during the meeting when he announced the company's bankruptcy,the clumsy actor accidentally dropped a bombshell during the meeting while filming a war scene,0,False,He dropped a bombshell,He dropped a bombshell when he unexpectedly announced his resignation,He dropped a bombshell in the garden to get rid of the weeds,"['ambiguous', 'figurative', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",True,ambiguous : figurative : literal,ambiguous,figurative,literal
drop by,an informal visit,drop by the store,I'll drop by the store to see if they have any new books,the clumsy customer accidentally let a jar drop by the store entrance,0,False,He dropped by last night,He dropped by last night to see how I was doing,He dropped by last night to deliver the package,"['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']","['figurative', 'literal', 'literal']",False,figurative : figurative : literal,figurative,figurative,literal
Dutch uncle,"criticize, scold or lecture someone",like a Dutch uncle,"he gave me advice like a Dutch uncle, always straightforward and honest",he dressed up like a Dutch uncle for the historical reenactment,0,False,He talked to me like a Dutch uncle,He talked to me like a Dutch uncle when he scolded me for not making the right decisions,He talked to me like a Dutch uncle as he was born in The Netherlands,"['ambiguous', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,figurative : figurative : literal,figurative,figurative,literal
Easter egg,a decorated or dyed egg usually given to children at Easter,found an Easter egg,"while playing the video game, he found an Easter egg hidden by the developers","during the egg hunt, the child found an Easter egg in the bushes",0,False,She found the Easter egg,She found the Easter egg which was the key to her success,She found the Easter egg which was the prize for the Easter egg hunt,"['ambiguous', 'literal', 'ambiguous']","['figurative', 'figurative', 'ambiguous']","['literal', 'literal', 'literal']",True,ambiguous : figurative : literal,ambiguous,figurative,literal
eat him alive,to criticize someone severely because you are angry with them,eat him alive in the competition,his lack of preparation will eat him alive in the competition against more experienced opponents,the carnivorous insects would eat him alive in the competition if he didn't wear protective gear,0,False,The audience ate him alive,The audience ate him alive by booing off the stage,The audience ate him alive with their jaws and teeth,"['ambiguous', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']","['figurative', 'ambiguous', 'literal']",False,figurative : figurative : ambiguous,figurative,figurative,ambiguous
elephant in the room,"a difficult, controversial, or obvious problem that no one wants to talk about or mention because the subject is problematic, uncomfortable, or awkward",to address the elephant in the room,"during the family meeting, it was time to address the elephant in the room and discuss the ongoing conflict","at the wildlife conservation conference, the speaker decided to address the elephant in the room and talk about habitat preservation",0,True,There's an elephant in the room,There's an elephant in the room and everyone is ignoring it,There's an elephant in the room and it's ruining my decorating scheme,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'ambiguous', 'ambiguous']","['literal', 'ambiguous', 'literal']",False,ambiguous : ambiguous : literal,ambiguous,ambiguous,literal
end of story,there is  nothing more to add to the matter under discussion,that's the end of the story,"I told him I wasn't interested, and that's the end of the story","she closed the book and said, 'that's the end of the story'",0,False,That's the end of the story,That's the end of the story; there's nothing else to discuss,That's the end of the story; I've reached the last line,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'ambiguous', 'literal']","['literal', 'literal', 'literal']",False,ambiguous : ambiguous : literal,ambiguous,ambiguous,literal
every nook and cranny,to look for something everywhere,they searched every nook and cranny,"to find the perfect gift, they searched every nook and cranny of the shopping mall","during the deep cleaning, they searched every nook and cranny of the house for dust and dirt",0,False,They searched every nook and cranny,They searched every nook and cranny for the missing pieces,They searched every nook and cranny of the house,"['figurative', 'ambiguous', 'ambiguous']","['figurative', 'ambiguous', 'figurative']","['ambiguous', 'ambiguous', 'figurative']",False,ambiguous : figurative : ambiguous,ambiguous,figurative,ambiguous
everything but the kitchen sink,almost everything that one can think of,packed everything but the kitchen sink,"for our camping trip, we packed everything but the kitchen sink to be prepared","while moving, they packed everything but the kitchen sink, which was left for the new owners",0,False,He brought everything but the kitchen sink,"He brought everything but the kitchen sink to his date, hoping to impress her",He brought everything but the kitchen sink to his date in order to set up a romantic dinner,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']",False,ambiguous : figurative : figurative,ambiguous,figurative,figurative
face the music,receive punishment,they faced the music together,"after making a mistake at work, they faced the music together and accepted the consequences","as the orchestra began to play, they faced the music together and enjoyed the performance",0,True,He had to face the music,He had to face the music when the painful truth was revealed,He had to face the music as the performers played their instruments,"['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']","['ambiguous', 'literal', 'literal']",False,figurative : figurative : literal,figurative,figurative,literal
fall at first hurdle,to fail to overcome the first difficulty encountered,fell at the first hurdle,the new employee fell at the first hurdle when he failed to complete the initial task,the inexperienced horse rider fell at the first hurdle during the race,0,False,He fell at the first hurdle,He fell at the first hurdle when the project he had been working on was rejected,He fell at the first hurdle when he tripped and stumbled during the race,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",True,ambiguous : figurative : literal,ambiguous,figurative,literal
fall between the cracks,be ignored or unobserved,fell between the cracks,his request for a promotion fell between the cracks due to the company's restructuring,the small toy fell between the cracks of the wooden floor,0,False,The report fell between the cracks,The report fell between the cracks when the team missed an important deadline,The report fell between the cracks of the bookshelf,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['ambiguous', 'ambiguous', 'literal']",False,ambiguous : figurative : ambiguous,ambiguous,figurative,ambiguous
fall flat,"fails to amuse people, or fails to have the effect that was intended",the joke fell flat,"he tried to make everyone laugh, but the joke fell flat and no one reacted","the book slipped from her hand, and the joke fell flat on the floor",0,False,His joke fell flat,His joke fell flat and no one laughed,His joke fell flat and hit the ground with a thud,"['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']","['literal', 'figurative', 'figurative']",False,figurative : figurative : figurative,figurative,figurative,figurative
fall on his sword,to accept the consequences of an unsuccessful or wrong action,to fall on his sword,he decided to fall on his sword and take responsibility for the team's failure,"during the reenactment, he accidentally tripped and started to fall on his sword",0,True,He fell on his sword,He fell on his sword to take the blame for the failed project,He fell on his sword when he tripped over it,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",True,ambiguous : figurative : literal,ambiguous,figurative,literal
fall on our feet,to succeed in doing something where there was a risk of failure,to fall on our feet,"despite the challenges, we managed to fall on our feet and succeed","during the dance routine, we tripped and managed to fall on our feet",0,True,We fell on our feet,We fell on our feet and we managed to come up with a solution,We fell on our feet and got right back up,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'ambiguous']","['literal', 'literal', 'ambiguous']",True,ambiguous : figurative : literal,ambiguous,figurative,literal
fall out,to disagree with someone about something,they had a fall out,they had a fall out over a disagreement about their business,"while climbing the tree, they had a fall out and landed on the ground",0,False,They had a fall out,They had a fall out when they had a major disagreement,They had a fall out when the items in their closet started to collapse,"['figurative', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'ambiguous']",True,ambiguous : figurative : literal,ambiguous,figurative,literal
fan the flames,make a bad situation even worse,fanned the flames together,their constant arguing only fanned the flames together and made the situation worse,they fanned the flames together to keep the campfire going,0,False,He fanned the flames,He fanned the flames of anger when he said something rude,He fanned the flames of the fire to make it bigger,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",True,ambiguous : figurative : literal,ambiguous,figurative,literal
far cry from,something that is very different from something else,a far cry from the original,the movie adaptation was a far cry from the original book,the echo of her voice was a far cry from the original sound,0,False,It's a far cry from what I expected,"It's a far cry from what I expected, as the situation was much worse than I'd imagined",It's a far cry from what I expected with it being twice as far as I anticipated,"['figurative', 'figurative', 'figurative']","['figurative', 'literal', 'figurative']","['figurative', 'figurative', 'figurative']",False,figurative : figurative : figurative,figurative,figurative,figurative
feather in your cap,It means to have an achievement in your name.,a feather in your cap,winning the championship would be a feather in your cap,the hat you're wearing has a feather in your cap as a decoration,0,False,It was a feather in your cap,It was a feather in your cap when you published that book,It was a feather in your cap when you found the perfect hat to match your outfit,"['figurative', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'figurative']",True,ambiguous : figurative : literal,ambiguous,figurative,literal
feather one's (own) nest,"If you say that you are feathering your own nest, you mean that you are working so hard to gather resources (money) to live a comfortable life in the future.",feathering her own nest,she was accused of feathering her own nest by taking bribes,the bird was feathering her own nest with soft materials to make it cozy,0,False,He was feathering his nest,He was feathering his nest when he started to save up money for retirement,He was feathering his nest when he was putting cushions on his furniture,"['figurative', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'figurative', 'literal']",True,ambiguous : figurative : literal,ambiguous,figurative,literal
feel the pinch,experience financial hardship,he started to feel the pinch,"after losing his job, he started to feel the pinch financially","when the crab grabbed his finger, he started to feel the pinch",0,True,I'm starting to feel the pinch,I'm starting to feel the pinch as I'm running out of funds,I'm starting to feel the pinch because my shoes fit too tight,"['figurative', 'ambiguous', 'figurative']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,figurative : figurative : literal,figurative,figurative,literal
feet of clay,have a flaw or weakness most people are unaware of.,had feet of clay,"despite his confident demeanor, he had feet of clay when it came to public speaking",the statue had feet of clay as part of its unique design,0,False,He has feet of clay,He has feet of clay so he can never achieve his dreams,He has feet of clay because he stepped on some wet clay,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",True,ambiguous : figurative : literal,ambiguous,figurative,literal
fiddle while Rome burns,to perform an inconsequential task or act irresponsibly in the midst of a disastrous event.,fiddled while Rome burned,he fiddled while Rome burned by playing video games during the company crisis,the musician fiddled while Rome burned as he was unaware of the fire,0,False,He is fiddling while Rome burns,He is fiddling while Rome burns and doesn't seem to be taking the issue seriously,He is fiddling while Rome burns as the city is being engulfed by flames,"['figurative', 'ambiguous', 'ambiguous']","['ambiguous', 'figurative', 'figurative']","['literal', 'literal', 'literal']",True,ambiguous : figurative : literal,ambiguous,figurative,literal
field day,have a great time doing something enjoyable,had a field day,the gossipers had a field day when they heard about the scandal,the students had a field day participating in various outdoor activities,0,False,She had a field day,She had a field day checking her bank account balance,She had a field day since it was a sports day in school,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'ambiguous', 'literal']",True,ambiguous : figurative : literal,ambiguous,figurative,literal
fight a losing battle,trying to do something even when there is little chance of succeeding,fighting a losing battle,trying to convince her to change her mind was like fighting a losing battle,the outnumbered soldiers knew they were fighting a losing battle against the invading forces,0,False,He was fighting a losing battle,"He was fighting a losing battle, so he settled for a lesser job just to make ends meet","He was fighting a losing battle, as the other opponent had better equipment","['literal', 'ambiguous', 'figurative']","['figurative', 'literal', 'figurative']","['literal', 'ambiguous', 'literal']",True,ambiguous : figurative : literal,ambiguous,figurative,literal
fill the bill,be exactly suitable for a particular situation,filled the bill perfectly,the new employee filled the bill perfectly for the position we needed,the waiter filled the bill perfectly with all the items we ordered,0,False,The job would fill the bill,The job would fill the bill and pave the way for a successful career,The job would fill the bill and provide enough money to cover expenses,"['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']","['literal', 'figurative', 'figurative']",False,figurative : figurative : figurative,figurative,figurative,figurative
