idiom,meaning,example
ahead of the curve,better than others,"His ideas are so innovative, he is way ahead of the curve. He might end up running the company at this rate."
does exactly what it says on the tin,someone or something is exactly as they seem,"This medicine does exactly what it says on the tin, because I feel so much better."
home is where the heart is,a place you feel connected to emotionally,"No matter where I go, it's always so lovely to come back here. Home is where the heart is after all."
troubled waters,a difficult phase of life,"The situation was getting worse, but like all the other members of the company, he was fascinated by troubled waters."
live wire,an energetic and volatile person,John is such a live wire; he is a good source of entertainment.
long run,far away in the future,"To make this project successful in the long run, they will need more partners."
Black Friday,a day of a financial disaster,My friends wait desperately for online sales on Black Friday.
get the wrong end of the stick,to understand something in the wrong way,"When Jack and Taylor arrived at the award function together, everyone got the wrong end of the stick."
get on nerves,tick someone off,Put your mobile phone in a silent mode - its loud ringtone is getting on my nerves.
mind your own business,to look into your own matter,I would like you to mind your own business and stop telling me what to do.
good grief,occurrence of something shocking,"Good grief, is she going to kick her brother in front of the entire school? This is really shocking for me."
the lion's den,a place which is uncomfortable,Two of the new students were thrown into the lion's den as their ragging was taking place.
miles away,unaware of the current situation,"Just by reading her facial expressions, I can easily tell you that she is miles away."
make a mountain out of a molehill,magnifying the content,"You are just making a mountain out of a molehill, you just gave a wrong answer, it doesn't mean you're not going to qualify to the second round."
dead as a doornail,becoming obsolete,The flowers are all dead as a doornail.
dead in the water,unable to produce movement,Their company is trying to revive an income that is dead in the water.
rule out,to exclude out something,Rule out each and every word from the application which you don't want the principal to read.
as a result,the outcome of something that you have done.,"As a result of this mishap, he was not on work for a week."
spend a fortune,a great amount of money,Do not spend a fortune on the gifts to make others happy.
black day,it is a day on which something terrible has happened,My grandmother told me that it is a black day tomorrow.
"six of one, half a dozen of the other",comparison between the two things which are identical,"If I go north or south, I will turn up at the same location. It is six of one, half dozen of the other."
out of business,out of operational conditions,"If we keep on selling our goods at the same price, we will soon go out of business."
against the grain,a difficult path to be followed,It is against the grain for me to tackle dishonest people.
music to ears,something that is soothing to your ears,Our teacher told us that we will get a long summer break and this was just music to my ears.
apples to apples,having a fair comparison between the two things,To find out who is stronger is the apples to apples measure their capability to win the first prize in the field of Olympics.
by chance,something which was not planned to happen,He told himself that it was by chance so as to bring peace to his mind.
take for granted,to underestimate the value of something or someone,I took the weather for granted when I lived in America. Now I am struggling to get used to the cold.
mind your own beeswax,do not interfere into someone else's matter,"I am not asking for your opinion, mind your own beeswax."
walking on air,to be very happy (elated),I have been walking on air since I found out that I have been awarded a scholarship to study music.
lean towards,to be interested in something,I am not sure which couch would look best in our house. I am leaning towards the blue one. What do you think?
chill pill,something that has a relaxing outcome,Can someone please tell Matthew to take a chill pill? We will be on time for the party.
bundle up,to dress warmly to protect oneself from the elements,It is important to bundle up before you go out to keep from getting cold.
set off,to start a journey,We would like to set off for Paris by 10 o'clock tomorrow morning.
catch up,"to get to the same level, standard, or status as something or someone",Singapore is trying so hard to catch up with Japan when it comes to technological advancements.
you're on,used to accept a challenge or bet,Max: I challenge you to join me in my 100km run this month. Samuel: You're on!
put the brakes on,to stop or slow down an activity,The economic situation is not looking good because of Brexit and this making the Prime Minister put the brakes on international investments.
easy does it,"used to tell someone to go ahead with something with slowly, and carefully","Sandra: I asked him for a simple drawing! To be honest, I am so angry right now. Andrew: Easy does it, Sandra. We will make sure he refunds the money."
mark my words,used to let someone know to pay attention to what you are saying because it is very important especially when you are certain something would happen in future,"Mark my words, she won't regret taking me up on my offer."
pie in the sky,used to portray or refer to something that is lovely to consider however is probably not going to happen,Her dream of wanting to move to London to become a famous singer is a pie in the sky if you ask me.
Easter egg,a decorated or dyed egg usually given to children at Easter,"While scrolling down the menu of Grand Theft Auto V, I happened upon an Easter egg."
out of the frying pan into the fire,to go from a bad to worse situation,"In a bid to gain independence, she agreed to get married early, not knowing she was jumping out of the frying pan into the fire."
act of God,an occurrence of out of control natural forces in action,No matter how strong you are but you can't stop the acts of God.
toot one's own horn,speak boastfully about oneself,My father told me never to toot my own horn.
fast food,food that is tasty but has less or no nutritional value is referred to as fast food,Nina loves French fries and other fast food.
on a roll,making a lot of progress,Our team has won eleven out of our twelve matches this season. We are on a roll.
ward off,to prevent something from harming you,Our government has doubled the number of soldiers at the border to ward off illegal immigrants.
drop by,an informal visit,I hope to finish the dress before Saturday. If you want to see what it looks like you should drop by over the weekend.
broken heart,"when a person is emotionally sad or grief-stricken, then it's broken hearted","I know he broke your heart, but there are other boys out there who are better than him."
blind as a bat,unconscious to something,"Maria is so in love, she is as blind as a bat when it comes to Mark's rude behavior."
in a fog,in a great confusion,Jane always seems to be in a fog.
dollars to donuts,an outcome that is almost assured is called as dollars to doughnuts,And I'll bet dollars to donuts that he will have no strategic plan on how to effectively deny Clinton's speech.
fair-weather friend,used to refer a friend who is not reliable in difficult times,"Simran is looking for a loyal friend, not a fair-weather friend."
under fire,being shot at,The politician came under fire after it was discovered that he had spend campaign money on lavish parties.
first light,the time when the light begins to appear in the morning,The search for the missing children will continue at first light.
"once bitten, twice shy",a bad experience cause to believe caution,"I will never work with Peter again. He expects everyone to do the work on his behalf, once bitten twice shy."
kick the habit,to overcome an addiction especially of an addiction like drugs,"Even after trying so hard, I could not kick the habit of drinking."
make ends meet,make sufficient money to survive on,We will need to start saving money in order to make ends meet.
head above water,to succeed to survive in bad financial situations,I have to work 60 hours a week just to keep my head above water. I don't know how people do it.
up and about,to get out of the bed actively after sleep,He was up and about within a few days of the operation.
free spirit,a person who freely lives a life of his own way,"His wife is a free spirit, she does not believe in the work that we do."
keep the wolf from the door,to have sufficient money to prevent starvation or hunger,Both the man and his wife must work long hours just to keep the wolf from the door.
so to speak,as it where,"I will tell you what is going on but only because you are already family, so to speak."
stands to reason,to reach a logical conclusion,The company stands to reason that the project will take at least another six months to conclude given that none of the managers have a better grip on the work.
up to no good,to have an evil plan,The children can be up to no good cooped up in that attic together for two hours. You must go up and check.
zip it,to ask someone to shut up,The teacher had asked the class to zip it but today everybody seemed to want to talk a lot. So she punished the entire class.
in vain,without success,It seems as if the merger will go through and all our hard work has been in vain.
sleep tight,an affectionate way of wishing someone a good night's sleep,"I am going to bed now. Good night, sleep tight."
on your mark,absolutely accurate,"Runners, please get ready. On your mark, get set, go!"
too close to call,a margin that is too close to determine a winner,There are only a few minutes left in the match and it is too close to call.
the devil is beating his wife,raining whereas the sun is shining.,The sunshower is said to occur when the devil is beating his wife in various German-speaking countries.
when hell freezes over,"impolite way of saying ""it will never happen""","I guess, she will forgive you when hell freezes over."
all that glitters is not gold,the shining outer look of something is not a consistent sign of its real character,My grandmother advised me to be careful about making new friends because all that glitters is not gold.
forty winks,"sleep for a while, mostly during the day",The bank manager caught the security guard while taking forty winks on duty.
snow under,to bury or cover something or somebody in the snow (Literal meaning),I feel snowed under with all the work my boss keeps throwing my way.
last long,existing or persevering for a significant amount of time,The debate on whether man and woman were created equal has been long-lasting and significant.
next of kin,close relative,We cannot release the names of the soldiers killed at the battle of Normandy until we've informed their next of kin.
fall from grace,"to lose status, respect or prestige",The Economic and Finance minister's fall from grace gave her detractors great satisfaction.
go with the flow,to do what other people are doing in any particular situation,"Kevin didn't want to be part of the protest, but all his friends wanted to stand for something, so he chose to go with the flow."
neck and neck,extremely near one another,The two athletes have been neck and neck for this entire race.
under the radar,"going unnoticed, avoiding unnecessary attention","They managed to stay under the radar for years, after stealing all that money from their friends."
get your goat,irritate somebody,She got my goat the moment she said my mother was no good at parenting.
piece of writing,"the work of a writer, anything expressed in letters of the alphabet (especially when considered from the point of view of style and effect)",The editorial was a fine piece of writing.
speak soon,talk to you soon,"Thank you so much for your assistance Sandra, speak soon."
piece of work,"a complex, tricky, or odd person","My friend has the weirdest of opinions, he's a real piece of work."
stand out,extend beyond or above a surface,The blood vessels in the back of his right leg stood out.
road to recovery,the procedure of becoming healthy again,The Grecian Government was supposed to put Europe on the road to recovery from the Economic and financial crisis.
slip of the tongue,a mistake in speech (or writing),"The election bill was altered, by what I believe was a slip of the pen."
over and above,in addition to,Firefighters always go over and above to ensure that people are safe.
over and over again,again and again,I have cleaned up this mess over and over again but ever time I come back it is dirty again.
over and out,said when someone is finished talking,I have told you that you will not be going to the party. There will be no further discussion. Over and out.
prone to,having a tendency to something - usually awful or unfortunate,Kindly drive slow; this road is prone to accidents.
get off,to leave a place in order to start a journey,If we get off before five o'clock the traffic will not be as bad.
on the mend,to improve in health after an illness,After a long illness he is finally on the mend.
so and so,"Used in the place of someone's name, indicating that the person is of little importance",I love how June is always telling us how she met so-and-so on her travels. Everyone knows that she is making it up.
so so,average - neither bad and nor good,"The new restaurant in town is so-so. It is not the worst food that I have ever eaten, but I would not go back."
all the rage,when something is the height of popularity,My parents used to love the Beatles. They were all the rage when they were teenagers.
earworm,a situation when a song that comes to your mind again and again,This new PitBull song is a real earworm. I haven't been able to get it out of my head since last week.
lose it,go insane or crazy,I thought he had lost it when he told me how much his new car had cost.
lost on,it means that someone did not understand the remark or joke,"She seems like a very smart lady, but my sense of humour seems to be lost on her."
lost to,to be defeated by someone,I cannot believe that we lost to their team on Saturday. We practised so hard.
take over,to take control of something - often by force,I can't believe that they were able to launch a takeover of our company.
"Mr Right, Ms Right",the best future life partner for someone,I wish that I could meet Mr Right. All of the men that I meet seem so immature.
meet halfway,to reach a compromise,"I don't enjoy camping and my husband hates the cold. So, we had to meet halfway and go to the beach for the weekend."
ups and downs,good times and bad times,Every relationship has its ups and downs. It is important to stick it out.
take care,be careful,"Thanks for the visit, Peter, take care."
larger than life,something or someone that is very impressive,His father is a great man. He is larger than life.
take on,someone's take on something is their opinion on a matter,"I don't agree with your take on the matter, but I will respect your choice."
in stitches,to laugh so hard that you are not able to control yourself,The movie had everyone in the theatre in stitches.
red herring,something irrelevant that distracts you from something important,The new law is just a red herring meant to draw our attention away from the issues regarding education.
knight in shining armour,used to describe someone who saves you from a difficult situation,Thank you so much for fixing my flat tire. You are a knight in shining armour.
pot calling the kettle black,criticizing someone for a fault that you have too,I can't believe that you are upset because I was late. That is the pot calling the kettle black. 
heart and soul,with all the effort you can put into it,He's dedicated to the project heart and soul.
miles to go before I sleep,you have a lot to do before you can rest,We need to get all of these files completed before anyone leaves. There are miles to go before I sleep.
fat chance,when there is little or no chance of something happening,Did you really think that he would show up to work the day after a long weekend? Fat chance!
point out,to identify something within a group,I have to go to the office to point out the person that keeps jamming the printer.
take it on the chin,this is a boxing metaphor meaning don't shy away from difficulty,You're going to have to take it on the chin when your father gets home and sees what you've done.
you can't teach an old dog new tricks,you cannot make others change their habits,I tried to make my grandmother learn how to use a smartphone but it was just like you can't teach an old dog new tricks.
the best is yet to come,whatever is happening now will be surpassed by something better in the future,"I am glad that you are enjoying your holiday,the best is yet to come."
give a shot,to have a try at something,"I have never eaten sushi, but I will give it a shot."
take turns,to alternate doing something,"I understand that everybody wants to try driving, but you will have to take turns."
high roller,"a wealthy person or company who spends their money in a risky way, often by making risky investments that can offer large rewards",I would never invest money in their company. They are high rollers and I cannot afford that kind of risk.
cut the crap,a very crude way of telling someone to stop doing something that you do not like,Please cut the crap and tell us what really happened at his birthday party.
wind up,to be annoyed by someone,My sister really knows how to wind me up.
up to the mark,to be good enough,Your exam results this term were not up to the mark.
hang up,to disconnect a phone call. It is often used when someone does not want to continue a conversation,If you do not stop complaining then I will hang up on you.
in a row,to happen a couple of consecutive times without break,He has been sick for three days in a row.
and so on,and related stuff,"I enjoy outdoor sports like swimming, surfing, hiking and so on."
black hole,a place in which things are lost never to be seen again,My handbag is a black hole. You can try and find the keys in there but I can't promise anything.
see the light,realise or understand something,After my terrible grade in mathematics I saw the light and started working harder.
spanner in the works,a roadblock that prevents an activity from succeeding,The lack of power has thrown a spanner in the works regarding our MS-PowerPoint presentation.
of course,with absolute certainty,"Of course, I will help you to move. That's what friends are for."
warm-hearted,to be kind and loving,"My grandmother is a very warm-hearted person, everybody loves her."
hold tongue,to keep quiet when one would rather speak,When she said that she was very hardworking I had to hold my tongue.
catnap,"a short sleep, usually during the day",I had a very late night last night. I think that I will have a catnap during my lunch hour.
pardon me,it is a way of apologising for something that has been said or done,Pardon me for offending you. I didn't realise that you were sensitive to the subject.
sea change,to have a big change in perspective,There was a sea change in his personality after he married his wife.
figure out,to solve something by using reasoning,It doesn't matter how long it takes. I am going to figure out this math problem.
eat crow,being proven wrong after taking a strong stand,No that my brother has proved that I was wrong I will have to eat crow.
on a silver platter,to get something without having to work for it,She has never had to work a day in her life. Her parents hand her everything on a silver platter.
fit of anger,"to display a very bad temper, often by screaming a lot","When she didn't get her way, she drove off in a fit of anger."
zip past,to move past (someone or something) very fast,The guy just zipped past me in the queue today without bothering about the rules of the organization.
zero-sum game,to be in a situation where the outcomes can either be to win or to lose,The budget division is a zero-sum game.
a voice crying in the wilderness,to say something that is not popular,The tales are interesting if you are into that kind of thing but for me it is like listening to a voice crying in the wilderness.
at the drop of a dime,something that can happen very fast without hesitation,"The play can begin at the drop of a dime, you just need to say the word."
time after time,to repeat something,The narrator repeated her name time after time in the story but I could not understand her connection with the plot until the very end of the story.
roll the dice,to gamble or take a chance on something or someone,The bartender decided to roll the dice and use rum for the cocktail since they were out of gin.
sitting duck,to be an easy target,The fact that she had no backup plan in case she got caught made her a sitting duck.
throw the baby out with the bathwater,to remove something good in the bid of getting rid of something bad,Janet quitting her job because her ex started working there is a classic example of throwing out the baby with the bathwater.
skating on thin ice,to do something considered quite dangerous or risky,Sebastian using all his savings to buy blue chip stocks is definitely skating on thin ice.
playing second fiddle,to play a secondary or minor role with regards to someone else,Sheila was determined to be the star of the show and she was not going to play second fiddle to anyone.
mend fences,to try and improve a bad relationship with another party,"After the nasty fight with her sister, Alice decided to mend fences by buying her sister some presents."
cry me a river,usually used sarcastically to someone who is constantly complaining,"""My baby wouldn't sleep last night, I am so tired."" ""Cry me a river, Joan. I haven't had a good night's sleep in years."""
eat words,to take back what was said,I can't believe that he didn't trust that we could win. He will have to eat his words.
time will tell,something that will not be proven until a later date,"I don't think that he studied for his test, even though he says he did. Only time will tell."
on the other hand,from a different point of view,"It seems like a great building, on the other hand, you are displacing a lot of animals by building it."
silence is golden,it is often better to say nothing at all,"Do not tell your mom that I broke her vase! Remember, silence is golden."
paint the town red,to celebrate and have a wild time,I can't wait to go out with my best friend and paint the town red!
end of the day,to look at all the possibilities and then to make a final decision,"At the end of the day, I have decided that law school would be the best path for me."
fall out,to disagree with someone about something,I had a fall out with my mom about her losing my earrings.
in touch,"to remain in contact with someone, especially when separated by time or distance",We will definitely keep in touch with each other when you move to Australia.
eager beaver,someone who is very eager to perform tasks and is always offering to do more,"Don't be such an eager beaver, we have plenty of time to complete the task."
come over,to go to someone else's house,"June and her sister will come over for lunch on Sunday, we are having chicken pie."
run out,to not have enough of something,I cannot believe that we have run out of milk! Just when I wanted to make a cup of tea.
count on,it means that you are able to depend on somebody or something,"It doesn't matter what happens, you will always be able to count on."
a sight for sore eyes,a way of saying that you are happy to see someone,I can't believe that I haven't seen you in a year! You are a sight for sore eyes.
weak in the knees,"to be overcome by a strong feeling, usually desire",The man makes me weak in the knees when he kisses me.
never mind,to urge somebody not to worry about something,"Never mind, I will do it myself."
say what,used when asking someone to repeat what they have said,"They are going out tonight, even though we told them to stay at home. ""Say what!"""
point blank,to fire something at such close range that it cannot be missed,"I asked the boy whether he thought that I was pretty, he said ""no"" point blank, without even trying to spare my feelings."
cheat sheet,a cheat sheet is a sheet containing information,"John got caught using a cheat sheet during the test, he will be receiving a failing grade and will be in detention for the next three months."
in a huff,to be upset or angry about something,"June was very upset because her mother would not buy her a new pair of shoes, so she stormed out of the room in a huff."
give up,to stop trying to figure something out,John was so tired of trying to fix the stove that he decided to give up and phone an electrician.
all the best,a polite way to end a letter or email,We would like to wish you all the best in the year to come.
pain in the neck,Mathematics is generally a real pain in the neck for most of the school and college students.,Mathematics is generally a real pain in the neck for most of the school and college students.
learning curve,the rate of learning new skills,Every employee undergoes a learning curve while getting to know the company.
as simple as that,extremely easy to understand or comprehend,"There can be no exceptions. Every new recruit has to undergo an orientation course, it's as simple as that."
take stock,to think carefully about a situation in order to make a decision,"Before deciding on which job to take, Peter has decided to take stock in order to make an informed decision on which choice would be best for him and his family."
all day long,"the whole day, throughout the entire day",The beggar had to beg all day long before getting enough money to feed his hungry children.
carry on,to continue with something,After the huge earthquake the children are still carrying on with their shock.
slow day,"a day in which not much happens, so it feels like it is taking very long to pass","The shop did not make a lot of money today, we had a slow day."
head start,to start ahead of the official start of an event,"I know that the paper only has to be in next week, but I would like to get a head start."
speak up,raise your voice,Can you speak up because those at the back can barely hear you?
break open,"to cause something to open suddenly, especially from within",The violent storms shook the very foundation of the house and broke open the doors.
hang on,hold on or hold tightly,The child hung on to her mother and would not let go of her hands.
what are you up to,"another way to ask someone, what are you doing?","Seeing me going from room to room with no apparent method, my friend couldn't help but ask what I was up to."
at the same time,used to refer to two or more things occurring together,My mother has the ability to make me laugh and cry at the same time.
none of your business,used to tell someone not to get involved in whatever you have going on,My mother in law was not pleased when we politely told her that the honeymoon plan was none of her business.
high up,to have an important standing in society,"With the way he barked orders at the workers, everyone got the impression that he is high up in the company."
all set,to refer a state of being ready for an event,"After putting the luggage in the trunk, we were all set to go on our vacation."
pass away,die,Martha let us know that our grandfather passed away two nights ago.
stay up,not go to sleep,Mom made sure we stayed up to welcome our dad home after months of him being on military tour.
go after,to catch up to someone after they have gone,Leo has decided to go after his dreams with all that he has.
drive crazy,to disturb or irritate someone,He drives me crazy with the lazy way he executes all his tasks.
speak too soon,to say something with the belief that it will be right and then it is later found out to be untrue,"I was certain Nina would fail at her task and said so boldly. When she successfully completed her task, I knew I had spoken too soon."
a burnt child dreads the fire,everyone avoids repeating a hurting experience again in life,"After his first accident, Sam is quite careful in driving now because a burnt child dreads a fire."
blowing smoke,to intentionally misinform or deceive,I know your motives behind this act; don't try to blow smoke in my eyes.
heart goes out to,to feel sympathy for someone when they are distressed,"Following the aftermath of the hurricane, my heart goes out to all the residents of New Orleans."
high time,to refer to something that is already overdue but must be started immediately,"After months of being unemployed, it's high time Paul starts a business of his own rather than keep waiting for paid employment."
treasure trove,a priceless or valuable discovery,"After his mother's death, David found a treasure trove when he found her collection of music records."
finishing touch,something that is added to ensure that something else is made complete,Mike was sure he would ace the auditions as he put finishing touches on his performance.
necessary evil,something unpleasant that must be done in order to achieve a goal or objective,Mike saw his going to work for his father as a necessary evil if he was ever to own his own company someday
shades of grey,refers to a situation where things are not really clear,Tina's story to the police on how she got mugged was different shades of grey as it was not consistent.
as different as chalk and cheese,for two things to be completely different from each other,"Despite James and John being identical twins, their characters were as different as chalk and cheese."
means to an end,a necessary action carried out just to achieve a goal,Her working as a public defender was not due to her passion for the job but solely as a means to an end.
line in the sand,a boundary beyond which one cannot proceed without consequences,His resolve to either get a paid internship or drop out of school was his line in the sand.
full of beans,to be optimistic or enthusiastic,"Upon hearing the good news, Mary was definitely full of beans."
from pillar to post,to move from one place to another with no purpose and direction,"Failing to get a satisfactory answer from her doctor, Mary went from pillar to post searching for a cure for her illness."
shed light,to explain something in order to make it easier to understand,"Due to the complicated equations, we thought it is best to hire a private tutor to shed more light on the topics."
laughter is the best medicine,"means that laughter can help cure negative feelings such as stress, anger, worry, depression, etc.","After spending several hours in good company, Martha felt her depression lifting and realised that laughter is indeed the best medicine."
butter up,to flatter someone so as to get something in return from them,Mary's nice compliments about her not so nice boss made it clear that she was just trying to butter him up.
buck up,to summon the courage to do something,"After losing the first place position to Martha, everyone heard Mary's mother tell her to buck up."
stiff upper lip,to be brave in the face of adversity,"Throughout the funeral of her parents, Mary kept a stiff upper lip."
wet behind the ears,immature or poor skill,"From the way the soldier handled the gun, everyone could tell that he was wet behind the ears."
kill the goose that lays the golden egg,to destroy something that is profitable to you mostly because of greed.,"By selling off his business, Alex killed the goose that lays the golden egg."
in a nutshell,to be brief and straight to the point.,"In a nutshell, all the new mayor was saying is that the fight against crime will be taken much more seriously."
keep your nose clean,to stay out of trouble by not doing anything wrong,"By avoiding the drug dealers on the corner street, James was making an effort to keep his nose clean."
cat got your tongue,used to refer a time when someone has nothing to say,Speak up boy or cat got your tongue?
from now on,used to refer a time in the not so distant future,"From now on, every student must switch off their phones before coming to my class."
head-on,front-to-front,"Even with the increased hostility at work, Amanda faced all her colleagues head-on as she pitched her new proposal."
bite the bullet,to endure a painful experience that you cannot avoid,"When the time comes, I'll bite the bullet and take my punishment without a fuss."
in a pickle,to be in a difficult situation,"Seeing as the deadline was looming and Grace was yet to round up the project, she realised she was in a pickle."
walk on eggshell,to be careful about one's words or actions around another person,"Whenever Lisa is around the house, everyone has to walk on eggshells around her in order not to get her annoyed."
bun in the oven,to be pregnant,"After trying for a baby for several years, Mark was happy when his wife told him she had a bun in the oven."
tight-lipped,unwilling to speak about an event,"When it came the time for him to share stories of this conquests, he became strangely tight-lipped."
apple polisher,a flatterer; toady,"Even with her boss looking very untidy, Mel still complimented her and this showed her to be an apple polisher."
a lot on my plate,to have so many things to do at one time,This week will be so hectic as I have a lot on my plate.
far-fetched,unlikely to be true,"When he told us the stories of his youth, everyone could agree that they were far-fetched."
no man is an island,no one is self-sufficient; everyone relies on others somehow,Having children has taught me that no man is an island.
bring home the bacon,to go out and earn a living or earn money for the family,"As the head of the family, he ensures that he brings home the bacon."
chill to the marrow,to be very cold,The movie gave me a chill to the marrow. I am not recommending it to anyone. It is horrible.
running around like a headless chicken,to carry on in a disorganised manner,"After failing to take her equipment to the lab, Lizzie ran around like a headless chicken while trying to conduct her experiment."
beck and call,being completely available to someone when needed,"No matter what time of day it is, she is always at his beck and call."
at sixes and sevens,used to express a situation of uncertainty or confusion,I don't want to be at sixes and sevens with you.
the eleventh hour,at the very last minute before an event,"Just minutes before the deadline, he definitely submitted his assignment at the eleventh hour."
bon appetit,enjoy your meal/food,"I want to thank you all for coming to my dinner party, and I'd like to wish you all bon appetit!"
back against the wall,to be in a tough situation with limited options,"The company has its back against the wall and if the employees do not help out now, it will be bankrupt soon."
button your lip,to stop speaking,"""His continuous talking makes me wish he could button his lip."""
break the mould,to do something different from what is expected,His method of teaching physics breaks the mould.
that's the way the cookie crumbles,"no matter how unfair the situation is, it must be accepted","The manager was fired from his job after making such a huge mistake, but that's the way the cookie crumbles."
feel the pinch,experience financial hardship,"Since Farrokh was made redundant, we've really felt the pinch. We can't even afford to buy the kids new shoes."
keep your hair on,to request someone to stay calm and not get annoyed,The general kept his hair on during the meeting this time.
take a hike,go away,We're all sick of you saying the same things over and over again. Why don't you just take a hike?
just what the doctor ordered,exactly what was wanted or needed,"I was so hungry, and that meal was absolutely delicious! It was just what the doctor ordered."
blow your own trumpet,to say things that makes your own self or kin look good,The crew tried to blow their own trumpet but the manager did not buy their story.
tear-jerking,a story that is purposefully sentimental,This movie is a total tear-jerking for anyone who has lost a parent.
spine-tingling,to be very horrific,The movie has the most spine-tingling end that you would never be able to guess.
has-been,to have had a wonderful past but no present or future in the field,The company is now just a has-been.
page-turner,a thrilling book,The book is a page-turner and now I cannot take a break until I complete reading it.
household name,to be very popular,The character is a household name because people are able to identify with the struggles that he faces.
the last thing I want,I don't want,"The report showed up all the flaws in the project, and that was the last thing I wanted!"
do justice to,to speak of or otherwise show a person or thing in its true light,Your plan is excellent - it really does justice to all of the ideas we put forward.
head and shoulders above,significantly better than everybody else in the field,"I'm so proud of our boy, Johnny - he was head and shoulders above the rest of his class in his school project."
bang head against wall,to be frustrated in your efforts to change something or make something happen,Trying to keep this place clean and tidy is like hitting my head against a brick wall.
memory like a sieve,poor memory,I'm so sorry I forgot your birthday - I've got a memory like a sieve!
like father like son,the man/boy being talked about is very much like/exactly like his father ,"Joe's doing really well on the football team this season. He has nearly matched Joe senior's reputation for being a sharp shooter! I guess it's a case of like father, like son."
if it's the last thing I do,indicates determination to achieve something,I am going to get this house cleaned today if it's the last thing I do.
not the sharpest tool in the shed,"someone who is not very clever, according to others","Joe doesn't seem to understand that we're working to a different schedule now, since the workload has doubled.  He's not the sharpest tool in the shed."
a trip to the sun,something which is very unlikely,My dream has always been to settle in Australia. But I know it's like a trip to the sun. I just have to make peace with this place.
touch off,to ignite a thought,The presentation touched off a very important point and I would like to spend some time talking about it.
eat like a horse,to eat a lot,He eats like a horse - there's never enough left for everyone else once he's been at the buffet.
time flies,for a particular phase in life to seem shorter than it really was,Time flies when I go to play with friends.
in the cross hairs,in a position where one might receive severe criticism,The man was in the cross hairs from the very beginning of the interrogation.
pay the piper,to bear the ill-effects of something that was enjoyable at one time,The man controlled every aspect of his wife's life until he was asked to pay the piper.
rub the wrong way,to tick someone off,The guy has rubbed me in such a wrong way that I do not even want to look at him ever again.
you can't make an omelette without breaking a few eggs,to have to go through something seemingly not nice for a good result,The course requires a lot of effort on your part. It is true that you can't make an omelette without breaking a few eggs.
forbidden fruit is always the sweetest,to desire something that is not within a feasible reach,The guy thinks that the forbidden fruit is always the sweetest and keeps asking her out even though she has refused him several times. I seem to think that this is becoming unhealthy and obsessive.
"out of sight, out of mind",to not stay an active issue when something is not immediately visible,"The company's top managers do not consider these government policy changes and important for their strategic planning. It is out of sight, out of mind for them but that is not a good thing in any way."
ignorance is bliss,to not get affected by something that is not known,The farmers were using these pesticides in their fields without even considering the harmful effects it has on the land. Ignorance is bliss.
"if you scratch my back, I'll scratch yours",to return a favour for a favour,"The government cannot expect any progress in the society with a ""if you scratch my back, I'll scratch yours"" attitude."
no news is good news,"to assume that since there is no news, it will not be bad news",The exam results are not yet out and I feel no news is good news.
tip of the iceberg,to only know a very small part of the problem,The manager-employee problems in this company are just the tip of the iceberg.
hands are tied,to not be able to do anything about a situation,"The manager tried his best to explain the situation after such a terrible mess created by the employee in the account. In the end, his hands were tied and he had to fire the staff members responsible for the mistake."
money doesn't grow on trees,to have to put an effort in earning money,"The kids need to understand that even though they have been born with a silver spoon in their mouths, that money doesn't grow on trees."
learn to walk before you run,to take smaller steps initially,The plan will gradually get the company the revenue that they need to sustain in this market but you need to learn to walk before you run.
"if it ain't broke, don't fix it",to not try to mend things that do not require it,"Their marriage does not need a councillor. You should keep out and if it ain't broke, don't fix it."
still waters run deep,to have passion or furore underneath a calm expression,"Though he rarely speaks in class, still waters run deep."
first things first,to have a priority order,"The deal is on but first things first, let's discuss how the remuneration for the work will be done."
it's better to be safe than sorry,being careful may keep away unpleasant situation,They have taught their kids to play any sport only after wearing its gear because it is better to be safe than sorry.
look before you leap,to make sure that everything is alright before doing something important which you cannot revert,You better check out the costs that you will have to incur through the duration of this lawsuit before filling it. It is always better to look before you leap.
"where there's a will, there's a way",willpower will defeat any difficulty,"The man drove through eight countries in his car. It is true, where there is a will, there is a way. "
many hands make light work,to come together for a cause,The workers gathered when the company was facing financial trouble to raise capital and proved that many hands make light work.
strike while the iron is hot,to take advantage of a situation,"The study plans were such that it required you to read when your mind was fresh, strike while the iron is hot."
too many cooks spoil the broth,to mean that something does not go well when there are too many ways to do it,The company management had 11 decision makers. No wonder it closed operations since too many cooks spoil the broth.
absence makes the heart grow fonder,to miss and love someone more when they are not around,The couple reunited after almost a year and understood that the absence had made their hearts grow fonder.
honesty is the best policy,being honest is always good and fruitful,"The company has high moral standards and has the words ""honesty is the best policy"" written all over its premises."
grass is always greener on the other side,to think that other's part is better than mine,The lawyer always thought that the grass is greener on the other side and left his profession to become an MBA graduate. Guess what? He is still struggling to find a job.
two heads are better than one,to have more than one participant in an activity to make it better,The company engaged with another marketing consultant because it is an important project and two heads are better than one.
familiarity breeds contempt,to start disliking something when one gets to know too much about it,The couple could not stay together long after their wedding because familiarity breeds contempt.
there's no time like the present,right now is the best time,The master chef always told me that there's no time like the present to start working on your signature dish.
all good things must come to an end,"everything that is deemed nice, ends",The band breaking up was a terrible things but I guess all good things must come to an end.
