idiom,instance,label,meaning,gold,revision,TimeMe,AssignmentId,WorkerId,gold_0,revision_0,gold_1,revision_1,gold_2,revision_2,gold_3,revision_3,maxVote
hammer and tongs,went at it hammer and tongs,ambiguous,"to argue fiercely, with a lot of energy and noise","[2, 2, 0, 0]","['{}', '{}', 'they went at it hammer and tongs', 'They went at it like hammer and tongs']","[121.916, 35.994, 192.179, 58.584]","['3Y4W8Q93LF0QHRF0POKWLXDBJ26DV9', '3HHRAGRYXOLJOHTMCWTG490DWOVO92', '3SB4CE2TJBBKN9HJ5TUCJH2QEAIAX8', '3TVSS0C0EHGAD5B21OP7C3EBTXXTWJ']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8', 'A2LMQ4497NMK3S', 'AX8NXTT8QMGHC']",ambiguous,{},ambiguous,{},figurative,they went at it hammer and tongs,figurative,They went at it like hammer and tongs,discard
against the grain,his decision to quit his job was going against the grain of his family's expectations,figurative,a difficult path to be followed,"[0, 0, 0, 0]","['{}', '{}', '{}', '{}']","[131.503, 41.432, 51.151, 155.411]","['3ZAZR5XV0HYXLJEWQPEOMX8PMH1ZC4', '3K3R2QNK8RJE1MDJ8I5P3FS2EELU9V', '3ZAK8W07IKUW5SP68MMWA4R9BAQU0I', '3EFE17QCRSLR1F3YHPYH1V82CU8HSS']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8', 'A2A6FH0F7LD9ND', 'A2LMQ4497NMK3S']",figurative,{},figurative,{},figurative,{},figurative,{},figurative
walking on broken glass,dealing with her sensitive feelings was like walking on broken glass,figurative,when a person is punished for something,"[0, 0, 0, 0]","['{}', '{}', '{}', '{}']","[121.916, 35.994, 192.179, 58.584]","['3Y4W8Q93LF0QHRF0POKWLXDBJ26DV9', '3HHRAGRYXOLJOHTMCWTG490DWOVO92', '3SB4CE2TJBBKN9HJ5TUCJH2QEAIAX8', '3TVSS0C0EHGAD5B21OP7C3EBTXXTWJ']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8', 'A2LMQ4497NMK3S', 'AX8NXTT8QMGHC']",figurative,{},figurative,{},figurative,{},figurative,{},figurative
not getting anywhere,not getting anywhere with this,ambiguous,to make no progress at all; not improving or advancing a particular situation,"[2, 1, 2, 2]","['{}', '{}', '{}', '{}']","[224.945, 101.841, 105.239, 119.184]","['3LS2AMNW5V6PGGA8TY42Q4Q26OXQOO', '3CN4LGXD5D4ULPRC1O6NPSNZO6GY4R', '3DQQ64TANW1CLDIVK7GN7TDE4UAPW8', '3BF51CHDTBQR06JM8NFXRP2JHYOH0W']","['A1HKYY6XI2OHO1', 'A2A6FH0F7LD9ND', 'AKQAI78JTXXC9', 'AX8NXTT8QMGHC']",ambiguous,{},literal,{},ambiguous,{},ambiguous,{},ambiguous
kick yourself,kicked themselves,ambiguous,to be angry with yourself for something you have or have not done,"[2, 2, 2, 2]","['they kicked themselves', '{}', '{}', 'They kicked themselves']","[224.945, 101.841, 105.239, 119.184]","['3LS2AMNW5V6PGGA8TY42Q4Q26OXQOO', '3CN4LGXD5D4ULPRC1O6NPSNZO6GY4R', '3DQQ64TANW1CLDIVK7GN7TDE4UAPW8', '3BF51CHDTBQR06JM8NFXRP2JHYOH0W']","['A1HKYY6XI2OHO1', 'A2A6FH0F7LD9ND', 'AKQAI78JTXXC9', 'AX8NXTT8QMGHC']",ambiguous,they kicked themselves,ambiguous,{},ambiguous,{},ambiguous,They kicked themselves,ambiguous
treasure trove,"when they found the old library, they discovered a treasure trove of knowledge",figurative,a priceless or valuable discovery,"[0, 0, 1, 0]","['{}', '{}', '{}', '{}']","[145.92, 53.175, 39.377, 173.21]","['3XM0HYN6N0FI4DW4Z7MHLN6EXU7PE2', '33UKMF931P0ILO786JKWPJ7CP7FTT1', '3TVSS0C0EHGAD5B21OP7C3EBT1ZWTW', '39DD6S19J5RCIHYAMGKJCL8S7TEZEX']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8', 'A2A6FH0F7LD9ND', 'A2LMQ4497NMK3S']",figurative,{},figurative,{},literal,{},figurative,{},figurative
you can't have your cake and eat it,can't have the cake and eat it,ambiguous,you can't have things both ways,"[2, 2, 2, 0]","[""you can't have the cake and eat it"", '{}', '{}', ""She can't have the cake and eat it too,""]","[224.945, 101.841, 105.239, 119.184]","['3LS2AMNW5V6PGGA8TY42Q4Q26OXQOO', '3CN4LGXD5D4ULPRC1O6NPSNZO6GY4R', '3DQQ64TANW1CLDIVK7GN7TDE4UAPW8', '3BF51CHDTBQR06JM8NFXRP2JHYOH0W']","['A1HKYY6XI2OHO1', 'A2A6FH0F7LD9ND', 'AKQAI78JTXXC9', 'AX8NXTT8QMGHC']",ambiguous,you can't have the cake and eat it,ambiguous,{},ambiguous,{},figurative,"She can't have the cake and eat it too,",ambiguous
smell something fishy,I smelled something fishy,ambiguous,to have a suspicion that something is wrong,"[2, 2, 2, 2]","['{}', '{}', '{}', '{}']","[224.945, 101.841, 105.239, 119.184]","['3LS2AMNW5V6PGGA8TY42Q4Q26OXQOO', '3CN4LGXD5D4ULPRC1O6NPSNZO6GY4R', '3DQQ64TANW1CLDIVK7GN7TDE4UAPW8', '3BF51CHDTBQR06JM8NFXRP2JHYOH0W']","['A1HKYY6XI2OHO1', 'A2A6FH0F7LD9ND', 'AKQAI78JTXXC9', 'AX8NXTT8QMGHC']",ambiguous,{},ambiguous,{},ambiguous,{},ambiguous,{},ambiguous
strike while the iron is hot,to strike while the iron is hot,ambiguous,to take advantage of a situation,"[2, 2, 2, 2]","['{}', '{}', '{}', '{}']","[134.469, 26.218, 154.966, 58.625]","['3SUWZRL0METAU7EZKBN8FNFX2LG6E4', '3GD6L00D38DDZ95FV3ZAXZTP3CTM1D', '3YWRV122C8FENHU93QZB3JXRU418UA', '32ZKVD547V3DQLFXRINK7CXSPX1B33']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8', 'A2LMQ4497NMK3S', 'A38DXFI1TZA295']",ambiguous,{},ambiguous,{},ambiguous,{},ambiguous,{},ambiguous
chink in armour,"while examining the knight's suit, he found a chink in their armour that needed repair",literal,a susceptible or vulnerable area.,"[1, 1, 1, 1]","['{}', '{}', '{}', '{}']","[133.606, 40.675, 155.56, 46.13]","['3C5W7UE9CV6LPAQ82WKHS8XQ8V7MXC', '3NJM2BJS4CM37FCQ3GGMVZ6BCIUPC9', '3HVVDCPGTU8E2A62GP7VX0ZR49YTYR', '3DQQ64TANW1CLDIVK7GN7TDE4YCPWI']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8', 'A2LMQ4497NMK3S', 'AX8NXTT8QMGHC']",literal,{},literal,{},literal,{},literal,{},literal
second wind,"while searching through the attic, he found a second wind chime to add to his collection",literal,another burst of energy when you had been too tired to finish,"[1, 1, 1, 1]","['{}', '{}', '{}', '{}']","[145.92, 53.175, 39.377, 173.21]","['3XM0HYN6N0FI4DW4Z7MHLN6EXU7PE2', '33UKMF931P0ILO786JKWPJ7CP7FTT1', '3TVSS0C0EHGAD5B21OP7C3EBT1ZWTW', '39DD6S19J5RCIHYAMGKJCL8S7TEZEX']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8', 'A2A6FH0F7LD9ND', 'A2LMQ4497NMK3S']",literal,{},literal,{},literal,{},literal,{},literal
give it a whirl,he gave it a whirl by spinning the wheel at the carnival game,literal,to try something new.,"[1, 1, 1, 2]","['{}', '{}', '{}', '{}']","[131.503, 41.432, 51.151, 155.411]","['3ZAZR5XV0HYXLJEWQPEOMX8PMH1ZC4', '3K3R2QNK8RJE1MDJ8I5P3FS2EELU9V', '3ZAK8W07IKUW5SP68MMWA4R9BAQU0I', '3EFE17QCRSLR1F3YHPYH1V82CU8HSS']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8', 'A2A6FH0F7LD9ND', 'A2LMQ4497NMK3S']",literal,{},literal,{},literal,{},ambiguous,{},literal
a witch hunt,"during the historical reenactment, they started a witch hunt to portray the events accurately",literal,an attempt to find and punish people whose opinions are unpopular and who are said to be a danger to society,"[1, 1, 1, 1]","['{}', '{}', '{}', '{}']","[122.43, 84.787, 158.859, 89.957]","['3U8YCDAGX5W4DZIPRD2R03UK8PJQ08', '3PM8NZGV8EWCAPO0UPRY9HHVIW5QX4', '324G5B4FBJOU7HDAVETL0CDP3ZS70S', '3S4AW7T80RYALQKDI9HXVKL3FVD4LE']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8', 'A2LMQ4497NMK3S', 'AURYD2FH3FUOQ']",literal,{},literal,{},literal,{},literal,{},literal
yoke around one's neck,the burden of his student loans felt like a yoke around his neck,figurative,a fatiguing burden.,"[0, 0, 0, 0]","['{}', '{}', '{}', '{}']","[38.857, 42.625, 175.089, 42.526]","['3RGU30DZTQOKUQLJLS5G1ZPBXTRJMC', '3MMN5BL1WFK99CJUI7DTLS8M1W5M33', '39LNWE0K4AC7CN6MCCB2G8R5X0NIU9', '3U4J9857OURVR4GKTUQAKT98UZN7B4']","['A290OV59Q76QC8', 'A2A6FH0F7LD9ND', 'A2LMQ4497NMK3S', 'AURYD2FH3FUOQ']",figurative,{},figurative,{},figurative,{},figurative,{},figurative
blow your own trumpet,blowing his own trumpet,ambiguous,to say things that makes your own self or kin look good,"[2, 2, 2, 2]","['{}', '{}', 'he was blowing his own trumpet', '{}']","[38.857, 42.625, 175.089, 42.526]","['3RGU30DZTQOKUQLJLS5G1ZPBXTRJMC', '3MMN5BL1WFK99CJUI7DTLS8M1W5M33', '39LNWE0K4AC7CN6MCCB2G8R5X0NIU9', '3U4J9857OURVR4GKTUQAKT98UZN7B4']","['A290OV59Q76QC8', 'A2A6FH0F7LD9ND', 'A2LMQ4497NMK3S', 'AURYD2FH3FUOQ']",ambiguous,{},ambiguous,{},ambiguous,he was blowing his own trumpet,ambiguous,{},ambiguous
as far as,his influence extends as far as the eye can see in the business world,figurative,to the extent of something,"[0, 0, 0, 0]","['{}', '{}', '{}', '{}']","[38.857, 42.625, 175.089, 42.526]","['3RGU30DZTQOKUQLJLS5G1ZPBXTRJMC', '3MMN5BL1WFK99CJUI7DTLS8M1W5M33', '39LNWE0K4AC7CN6MCCB2G8R5X0NIU9', '3U4J9857OURVR4GKTUQAKT98UZN7B4']","['A290OV59Q76QC8', 'A2A6FH0F7LD9ND', 'A2LMQ4497NMK3S', 'AURYD2FH3FUOQ']",figurative,{},figurative,{},figurative,{},figurative,{},figurative
keep at arm's length,"during the self-defense training, she kept him at arm's length to maintain a safe distance",literal,keep distance from something or somebody,"[1, 1, 1, 1]","['{}', '{}', '{}', '{}']","[131.503, 41.432, 51.151, 155.411]","['3ZAZR5XV0HYXLJEWQPEOMX8PMH1ZC4', '3K3R2QNK8RJE1MDJ8I5P3FS2EELU9V', '3ZAK8W07IKUW5SP68MMWA4R9BAQU0I', '3EFE17QCRSLR1F3YHPYH1V82CU8HSS']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8', 'A2A6FH0F7LD9ND', 'A2LMQ4497NMK3S']",literal,{},literal,{},literal,{},literal,{},literal
rocket science,"compared to the study of biology, physics is not exactly rocket science",literal,something very difficult to understand,"[2, 0, 0, 2]","['{}', '{}', '{}', '{}']","[122.43, 84.787, 158.859, 89.957]","['3U8YCDAGX5W4DZIPRD2R03UK8PJQ08', '3PM8NZGV8EWCAPO0UPRY9HHVIW5QX4', '324G5B4FBJOU7HDAVETL0CDP3ZS70S', '3S4AW7T80RYALQKDI9HXVKL3FVD4LE']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8', 'A2LMQ4497NMK3S', 'AURYD2FH3FUOQ']",ambiguous,{},figurative,{},figurative,{},ambiguous,{},discard
line in the sand,"while playing at the beach, the children decided to draw a line in the sand to divide their territories",literal,a boundary beyond which one cannot proceed without consequences,"[1, 1, 1, 1]","['{}', '{}', '{}', '{}']","[136.427, 51.322, 158.004, 79.213]","['37XITHEISCPOJSS5G8KB0U6QD0JCRP', '3YW4XOSQK61WCHAO45QWO9AJG2W1US', '36H9ULYP6IAEOGT2Z51369520WHFJB', '31UV0MXWN6SQR8G7BB3U8WZPYNDI5I']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8', 'A2LMQ4497NMK3S', 'AURYD2FH3FUOQ']",literal,{},literal,{},literal,{},literal,{},literal
lights are on but nobody is home,"when I tried to explain the situation to him, it seemed like the lights are on but nobody is home",figurative,used to describe a stupid person.,"[0, 0, 0, 0]","['{}', '{}', '{}', '{}']","[133.606, 40.675, 155.56, 46.13]","['3C5W7UE9CV6LPAQ82WKHS8XQ8V7MXC', '3NJM2BJS4CM37FCQ3GGMVZ6BCIUPC9', '3HVVDCPGTU8E2A62GP7VX0ZR49YTYR', '3DQQ64TANW1CLDIVK7GN7TDE4YCPWI']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8', 'A2LMQ4497NMK3S', 'AX8NXTT8QMGHC']",figurative,{},figurative,{},figurative,{},figurative,{},figurative
got in his hair,the confetti from the party got in his hair and took a while to remove,literal,to annoy someone so much that they cannot get on with what they are doing,"[1, 1, 0, 1]","['{}', '{}', '{}', '{}']","[120.577, 84.11, 34.788, 154.466]","['3HWRJOOETLIFH5CWROQBGSBPKEESEL', '30X31N5D6J6CRSVKBJOPK9LYZZGSAQ', '386PBUZZXVD0O83YLG411MAMXS4LJN', '3RUIQRXJBR46JYRYO1GEH1NE1H9LLP']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8', 'A2A6FH0F7LD9ND', 'A2LMQ4497NMK3S']",literal,{},literal,{},figurative,{},literal,{},literal
below the belt,"insulting her intelligence, that comment was below the belt",figurative,to be mean and unfair (in a fight),"[0, 0, 0, 0]","['{}', '{}', '{}', '{}']","[131.503, 41.432, 51.151, 155.411]","['3ZAZR5XV0HYXLJEWQPEOMX8PMH1ZC4', '3K3R2QNK8RJE1MDJ8I5P3FS2EELU9V', '3ZAK8W07IKUW5SP68MMWA4R9BAQU0I', '3EFE17QCRSLR1F3YHPYH1V82CU8HSS']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8', 'A2A6FH0F7LD9ND', 'A2LMQ4497NMK3S']",figurative,{},figurative,{},figurative,{},figurative,{},figurative
wet behind the ears,"after swimming, she was still wet behind the ears despite toweling off",literal,immature or poor skill,"[1, 1, 1, 1]","['{}', '{}', '{}', '{}']","[52.129, 50.168, 166.05, 113.879]","['3EJJQNKU97LF003L20YCBL36QSOHR3', '3B2X28YI3CVCN42FAKLIEF9CZS56BE', '3OVHNO1VEMH7QBKAQL9Z63Q77HDZD4', '30LSNF239ABYSBXKTS1WAPWDEDMI2H']","['A290OV59Q76QC8', 'A2A6FH0F7LD9ND', 'A2LMQ4497NMK3S', 'AX8NXTT8QMGHC']",literal,{},literal,{},literal,{},literal,{},literal
skeleton in the closet,we discovered a skeleton in the closet,ambiguous,"a secret of an embarrassing, guilty or shameful nature that you don't want to disclose","[2, 2, 2, 2]","['{}', '{}', '{}', '{}']","[141.136, 35.086, 206.678, 132.0]","['3QL2OFSM9MY34U0DN13URA1GCZRCNQ', '3UJ1CZ6IZX5FLMJ3GNX8CY5C7HF5SP', '3AUQQEL7UL9WI7E6DCW16QTSPDWV0X', '3OVHNO1VEMH7QBKAQL9Z63Q77DCDZ9']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8', 'A2LMQ4497NMK3S', 'AURYD2FH3FUOQ']",ambiguous,{},ambiguous,{},ambiguous,{},ambiguous,{},ambiguous
from A to Z,she studied the subject so thoroughly that she learned it from A to Z,figurative,comprehensive,"[0, 0, 0, 0]","['{}', '{}', '{}', '{}']","[133.606, 40.675, 155.56, 46.13]","['3C5W7UE9CV6LPAQ82WKHS8XQ8V7MXC', '3NJM2BJS4CM37FCQ3GGMVZ6BCIUPC9', '3HVVDCPGTU8E2A62GP7VX0ZR49YTYR', '3DQQ64TANW1CLDIVK7GN7TDE4YCPWI']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8', 'A2LMQ4497NMK3S', 'AX8NXTT8QMGHC']",figurative,{},figurative,{},figurative,{},figurative,{},figurative
top dog,"at the dog show, her well-trained canine became the top dog among all the competitors",literal,"The term ""top dog"" means a person, group, or thing in a position of power, particularly after struggling or winning a grueling competition.","[1, 1, 1, 1]","['{}', '{}', '{}', '{}']","[120.577, 84.11, 34.788, 154.466]","['3HWRJOOETLIFH5CWROQBGSBPKEESEL', '30X31N5D6J6CRSVKBJOPK9LYZZGSAQ', '386PBUZZXVD0O83YLG411MAMXS4LJN', '3RUIQRXJBR46JYRYO1GEH1NE1H9LLP']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8', 'A2A6FH0F7LD9ND', 'A2LMQ4497NMK3S']",literal,{},literal,{},literal,{},literal,{},literal
the early bird catches the worm,the early bird catches the worm,ambiguous,it refers to people who arrive earlier are the ones who get the best deals,"[2, 2, 2, 2]","['{}', '{}', '{}', '{}']","[141.136, 35.086, 206.678, 132.0]","['3QL2OFSM9MY34U0DN13URA1GCZRCNQ', '3UJ1CZ6IZX5FLMJ3GNX8CY5C7HF5SP', '3AUQQEL7UL9WI7E6DCW16QTSPDWV0X', '3OVHNO1VEMH7QBKAQL9Z63Q77DCDZ9']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8', 'A2LMQ4497NMK3S', 'AURYD2FH3FUOQ']",ambiguous,{},ambiguous,{},ambiguous,{},ambiguous,{},ambiguous
fall out,they had a fall out,ambiguous,to disagree with someone about something,"[0, 2, 0, 0]","['they had a falling out', '{}', 'they had a falling out', 'They fell out.']","[141.136, 35.086, 206.678, 132.0]","['3QL2OFSM9MY34U0DN13URA1GCZRCNQ', '3UJ1CZ6IZX5FLMJ3GNX8CY5C7HF5SP', '3AUQQEL7UL9WI7E6DCW16QTSPDWV0X', '3OVHNO1VEMH7QBKAQL9Z63Q77DCDZ9']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8', 'A2LMQ4497NMK3S', 'AURYD2FH3FUOQ']",figurative,they had a falling out,ambiguous,{},figurative,they had a falling out,figurative,They fell out.,figurative
go through the roof,went through the roof,ambiguous,to become very angry,"[2, 2, 2, 2]","['{}', '{}', '{}', '{}']","[32.206, 41.713, 169.531, 61.357]","['3SEPORI8W3F9S4HY6BIXG2I1MAGAZ5', '388U7OUMFNH4P0XP4SRR5T4P47K0RA', '3C6FJU71T69T2NLRGUX52WLTNJ3UY9', '3JPSL1DZ58FFBF3F3N73LFBSCWPAN5']","['A290OV59Q76QC8', 'A2A6FH0F7LD9ND', 'A2LMQ4497NMK3S', 'AX8NXTT8QMGHC']",ambiguous,{},ambiguous,{},ambiguous,{},ambiguous,{},ambiguous
joined the club,joined the club together,ambiguous,"said in answer to something that someone has said, meaning that you are in the same bad situation as they are","[2, 2, 2, 2]","['{}', '{}', 'they joined the club together', '{}']","[32.206, 41.713, 169.531, 61.357]","['3SEPORI8W3F9S4HY6BIXG2I1MAGAZ5', '388U7OUMFNH4P0XP4SRR5T4P47K0RA', '3C6FJU71T69T2NLRGUX52WLTNJ3UY9', '3JPSL1DZ58FFBF3F3N73LFBSCWPAN5']","['A290OV59Q76QC8', 'A2A6FH0F7LD9ND', 'A2LMQ4497NMK3S', 'AX8NXTT8QMGHC']",ambiguous,{},ambiguous,{},ambiguous,they joined the club together,ambiguous,{},ambiguous
looked through colored glasses,looked through colored glasses,ambiguous,to look the things not as they are; having a heavily biased worldview,"[2, 2, 2, 2]","['{}', '{}', '{}', '{}']","[32.206, 41.713, 169.531, 61.357]","['3SEPORI8W3F9S4HY6BIXG2I1MAGAZ5', '388U7OUMFNH4P0XP4SRR5T4P47K0RA', '3C6FJU71T69T2NLRGUX52WLTNJ3UY9', '3JPSL1DZ58FFBF3F3N73LFBSCWPAN5']","['A290OV59Q76QC8', 'A2A6FH0F7LD9ND', 'A2LMQ4497NMK3S', 'AX8NXTT8QMGHC']",ambiguous,{},ambiguous,{},ambiguous,{},ambiguous,{},ambiguous
run out,run out of time,ambiguous,to not have enough of something,"[2, 0, 0, 0]","['{}', '{}', '{}', 'They run out of time']","[32.206, 41.713, 169.531, 61.357]","['3SEPORI8W3F9S4HY6BIXG2I1MAGAZ5', '388U7OUMFNH4P0XP4SRR5T4P47K0RA', '3C6FJU71T69T2NLRGUX52WLTNJ3UY9', '3JPSL1DZ58FFBF3F3N73LFBSCWPAN5']","['A290OV59Q76QC8', 'A2A6FH0F7LD9ND', 'A2LMQ4497NMK3S', 'AX8NXTT8QMGHC']",ambiguous,{},figurative,{},figurative,{},figurative,They run out of time,figurative
draw a blank,was drawing a blank,ambiguous,to get no response from someone,"[2, 0, 2, 0]","['{}', '{}', '{}', 'He was drawing a blank']","[32.206, 41.713, 169.531, 61.357]","['3SEPORI8W3F9S4HY6BIXG2I1MAGAZ5', '388U7OUMFNH4P0XP4SRR5T4P47K0RA', '3C6FJU71T69T2NLRGUX52WLTNJ3UY9', '3JPSL1DZ58FFBF3F3N73LFBSCWPAN5']","['A290OV59Q76QC8', 'A2A6FH0F7LD9ND', 'A2LMQ4497NMK3S', 'AX8NXTT8QMGHC']",ambiguous,{},figurative,{},ambiguous,{},figurative,He was drawing a blank,discard
cloud on the horizon,"as we looked out to sea, we noticed a cloud on the horizon signaling an approaching storm",literal,"a problem or difficulty that is predictable, or seems likely to arise in the future","[1, 1, 1, 1]","['{}', '{}', '{}', '{}']","[136.427, 51.322, 158.004, 79.213]","['37XITHEISCPOJSS5G8KB0U6QD0JCRP', '3YW4XOSQK61WCHAO45QWO9AJG2W1US', '36H9ULYP6IAEOGT2Z51369520WHFJB', '31UV0MXWN6SQR8G7BB3U8WZPYNDI5I']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8', 'A2LMQ4497NMK3S', 'AURYD2FH3FUOQ']",literal,{},literal,{},literal,{},literal,{},literal
bite head off,bit his head off,ambiguous,overreact in an angry or harsh way,"[2, 2, 2, 2]","['{}', '{}', '{}', '{}']","[33.537, 28.984, 148.981, 36.098]","['3TEM0PF1QLDAOQEKMRW704NLP6U0D5', '3FQ5JJ51214LNSC1FEKSFTEOH82NKG', '3ATTHHXXWQ4ZTR0HHHMP0FQ9RI4IX1', '36W0OB37HCUO2RPCCHSPXO55Z54HZL']","['A290OV59Q76QC8', 'A2A6FH0F7LD9ND', 'A2LMQ4497NMK3S', 'APGX2WZ59OWDN']",ambiguous,{},ambiguous,{},ambiguous,{},ambiguous,{},ambiguous
"judge, jury and executioner","was acting as judge, jury, and executioner",ambiguous,"people that are in charge of every decision made, and they have the power to be rid of whomever they choose","[2, 2, 0, 2]","['{}', '{}', '{}', '{}']","[33.537, 28.984, 148.981, 36.098]","['3TEM0PF1QLDAOQEKMRW704NLP6U0D5', '3FQ5JJ51214LNSC1FEKSFTEOH82NKG', '3ATTHHXXWQ4ZTR0HHHMP0FQ9RI4IX1', '36W0OB37HCUO2RPCCHSPXO55Z54HZL']","['A290OV59Q76QC8', 'A2A6FH0F7LD9ND', 'A2LMQ4497NMK3S', 'APGX2WZ59OWDN']",ambiguous,{},ambiguous,{},figurative,{},ambiguous,{},ambiguous
sail through,the experienced captain was able to sail through the challenges of the stormy sea,literal,to succeed in doing it without difficulty,"[1, 1, 1, 1]","['{}', '{}', '{}', '{}']","[131.503, 41.432, 51.151, 155.411]","['3ZAZR5XV0HYXLJEWQPEOMX8PMH1ZC4', '3K3R2QNK8RJE1MDJ8I5P3FS2EELU9V', '3ZAK8W07IKUW5SP68MMWA4R9BAQU0I', '3EFE17QCRSLR1F3YHPYH1V82CU8HSS']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8', 'A2A6FH0F7LD9ND', 'A2LMQ4497NMK3S']",literal,{},literal,{},literal,{},literal,{},literal
all the way up,the elevator went all the way up to the top floor of the building,literal,"Literally refers to ascending a mountain or cliff, or navigating a river to a specific terminal point.","[1, 1, 1, 1]","['{}', '{}', '{}', '{}']","[52.129, 50.168, 166.05, 113.879]","['3EJJQNKU97LF003L20YCBL36QSOHR3', '3B2X28YI3CVCN42FAKLIEF9CZS56BE', '3OVHNO1VEMH7QBKAQL9Z63Q77HDZD4', '30LSNF239ABYSBXKTS1WAPWDEDMI2H']","['A290OV59Q76QC8', 'A2A6FH0F7LD9ND', 'A2LMQ4497NMK3S', 'AX8NXTT8QMGHC']",literal,{},literal,{},literal,{},literal,{},literal
blank check,gave him a blank check,ambiguous,Complete authority or unrestricted freedom of action or a free hand.,"[2, 2, 2, 2]","['she gave him a blank check', '{}', '{}', '{}']","[126.925, 31.901, 149.19, 157.613]","['39L1G8WVW67CDNX5PLUV10KJ3LA31C', '3U5JL4WY50P5LK12WSKL6EGQM1O4XV', '3QECW5O0KXHG0MWI5N2YM31Y90T5TE', '37UQDCYH6DBA0IEQYBHAL53FXR2V7X']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8', 'A2LMQ4497NMK3S', 'AKQAI78JTXXC9']",ambiguous,she gave him a blank check,ambiguous,{},ambiguous,{},ambiguous,{},ambiguous
feather in your cap,a feather in your cap,ambiguous,It means to have an achievement in your name.,"[2, 2, 2, 2]","['{}', '{}', '{}', '{}']","[126.925, 31.901, 149.19, 157.613]","['39L1G8WVW67CDNX5PLUV10KJ3LA31C', '3U5JL4WY50P5LK12WSKL6EGQM1O4XV', '3QECW5O0KXHG0MWI5N2YM31Y90T5TE', '37UQDCYH6DBA0IEQYBHAL53FXR2V7X']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8', 'A2LMQ4497NMK3S', 'AKQAI78JTXXC9']",ambiguous,{},ambiguous,{},ambiguous,{},ambiguous,{},ambiguous
cold turkey,he quit smoking by going cold turkey without any assistance,figurative,in a unexpected and sudden way,"[0, 0, 0, 0]","['{}', '{}', '{}', '{}']","[120.577, 84.11, 34.788, 154.466]","['3HWRJOOETLIFH5CWROQBGSBPKEESEL', '30X31N5D6J6CRSVKBJOPK9LYZZGSAQ', '386PBUZZXVD0O83YLG411MAMXS4LJN', '3RUIQRXJBR46JYRYO1GEH1NE1H9LLP']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8', 'A2A6FH0F7LD9ND', 'A2LMQ4497NMK3S']",figurative,{},figurative,{},figurative,{},figurative,{},figurative
in the black,"after months of struggling, our business is finally in the black",figurative,to not be in debt,"[0, 0, 0, 0]","['{}', '{}', '{}', '{}']","[126.925, 31.901, 149.19, 157.613]","['39L1G8WVW67CDNX5PLUV10KJ3LA31C', '3U5JL4WY50P5LK12WSKL6EGQM1O4XV', '3QECW5O0KXHG0MWI5N2YM31Y90T5TE', '37UQDCYH6DBA0IEQYBHAL53FXR2V7X']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8', 'A2LMQ4497NMK3S', 'AKQAI78JTXXC9']",figurative,{},figurative,{},figurative,{},figurative,{},figurative
fingers crossed,"while making a wish, I was keeping my fingers crossed for added luck",literal,a gesture of crossed fingers used to express good luck,"[1, 1, 0, 0]","['{}', '{}', '{}', 'while making a wish, I kept my fingers crossed for added luck']","[52.129, 50.168, 166.05, 113.879]","['3EJJQNKU97LF003L20YCBL36QSOHR3', '3B2X28YI3CVCN42FAKLIEF9CZS56BE', '3OVHNO1VEMH7QBKAQL9Z63Q77HDZD4', '30LSNF239ABYSBXKTS1WAPWDEDMI2H']","['A290OV59Q76QC8', 'A2A6FH0F7LD9ND', 'A2LMQ4497NMK3S', 'AX8NXTT8QMGHC']",literal,{},literal,{},figurative,{},figurative,"while making a wish, I kept my fingers crossed for added luck",discard
