idiom,meaning,subsentence,sentence,label,reason
bring someone to book,make somebody accountable for their conduct.,The police brought him to book,The police brought him to book after a long investigation to answer for his actions.,0,"Here, ""bring someone to book"" means to hold someone accountable for their actions."
bring someone to book,make somebody accountable for their conduct.,The police brought him to book,The police brought him to book to record his statement in their register.,1,"Here, ""bring someone to book"" means to summon someone to the police station."
broken heart,"when a person is emotionally sad or grief-stricken, then it's broken hearted",He has a broken heart,He has a broken heart because the girl he loved left him.,0,"Here, ""broken heart"" means to feel deep emotional emptiness and sadness because of a negative experience."
broken heart,"when a person is emotionally sad or grief-stricken, then it's broken hearted",He has a broken heart,He has a broken heart because he suffered from a heart attack.,1,"Here, ""broken heart"" means to have a physical heart condition."
brownie points,"Praise or appreciation, usually for a service someone has done.",He earned some brownie points,He earned some brownie points from his boss for finishing the project ahead of schedule.,0,"Here, ""brownie points"" means to gain favor or recognition from another person."
brownie points,"Praise or appreciation, usually for a service someone has done.",He earned some brownie points,He earned some brownie points by baking a tray of delicious treats.,1,"Here, ""brownie points"" means to earn something good in exchange for one's efforts."
buckle down,make sure something stays in place,I need to buckle down,I need to buckle down and get this project done in time.,0,"Here, ""buckle down"" means to work hard and focus on an important task."
buckle down,make sure something stays in place,I need to buckle down,I need to buckle down the straps of my backpack,1,"Here, ""buckle down"" means to secure something firmly in place."
bug-eyed,The bulging of the eyes out is known as being bug eyed.,He looked bug-eyed,He looked bug-eyed when he saw the wild animal.,0,"Here, ""bug-eyed"" means to be shocked or surprised by something."
bug-eyed,The bulging of the eyes out is known as being bug eyed.,He looked bug-eyed,He looked bug-eyed because he didn't get enough sleep.,1,"Here, ""bug-eyed"" means having eyes that are wide open because of tiredness."
build bridges,to foster good relationships,They've been building bridges,They've been building bridges to connect people with different backgrounds and ideas.,0,"Here, ""build bridges""means to create relationships between different parties or to facilitate peace and compromise."
build bridges,to foster good relationships,They've been building bridges,They've been building bridges by constructing physical structures over water.,1,"Here, ""build bridges"" means to create a physical bridge as a structure to span over a water or land obstacle."
building blocks,something that is a basic element (of the subject),The building blocks are there,The building blocks are there to launch a successful business.,0,"Here, ""building blocks"" means the basic, essential elements needed to create something."
building blocks,something that is a basic element (of the subject),The building blocks are there,The building blocks are there to build a fort.,1,"Here, ""building blocks"" means the actual physical blocks used to construct a structure."
bull in a china shop,"extremely awkward, clumsy person",He acted like a bull in a china shop,"He acted like a bull in a china shop when making decisions, breaking many fragile objects as he went.",0,"Here, to ""act like a bull in a china shop"" means to be clumsy, destructive, and careless."
bull in a china shop,"extremely awkward, clumsy person",He acted like a bull in a china shop,"He acted like a bull in a china shop, charging through the store shelves and knocking them over.",1,"Here, to ""act like a bull in a china shop"" means to physically move around in a destructive and chaotic way."
bull's eye,the center of a target,I hit the bull's eye,I hit the bull's eye by acing the presentation.,0,"Here, to ""hit the bull's eye"" means to achieve success."
bull's eye,the center of a target,I hit the bull's eye,I hit the bull's eye with the arrow during target practice.,1,"Here, to ""hit the bull's eye"" means to hit the central area of the target."
bun in the oven,to be pregnant,They have a bun in the oven,They have a bun in the oven and are expecting their first child.,0,"Here, ""bun in the oven"" means to be pregnant."
bun in the oven,to be pregnant,They have a bun in the oven,They have a bun in the oven and are baking it for their lunch.,1,"Here, ""bun in the oven"" means to literally have a bun in the oven to bake."
bundle up,to dress warmly to protect oneself from the elements,We have to bundle up,We have to bundle up our resources so we can manage them more efficiently.,0,"Here, ""bundle up"" means to put several things together in the same package."
bundle up,to dress warmly to protect oneself from the elements,We have to bundle up,We have to bundle up because it's cold outside.,1,"Here, ""bundle up"" means to wear layers of warm clothing."
burn bridges,"remove someone's all options of retreat, act decisively",He burned bridges,He burned bridges by leaving without saying goodbye.,0,"Here, ""burn bridges"" means to create a difficult situation which makes a reconciliation with someone or some organization impossible."
burn bridges,"remove someone's all options of retreat, act decisively",He burned bridges,He burned bridges when he lit a match.,1,"Here, ""burn bridges"" means to physically set a bridge on fire."
burn fingers,to bear an unpleasant result of an action that has been taken in the past,He burnt his fingers,He burnt his fingers when he invested everything in that risky business.,0,"Here, ""burn fingers"" means to suffer losses because of a miscalculation or bad decision."
burn fingers,to bear an unpleasant result of an action that has been taken in the past,He burnt his fingers,He burnt his fingers when he accidentally touched the heated stove.,1,"Here, ""burn fingers"" means to get physically injured due to proximity to a source of heat."
burn the candle at both ends,to exhaust someone's energies or resources by leading a hectic life.,She's been burning the candle at both ends,She's been burning the candle at both ends trying to get her schoolwork and her extracurriculars done in time.,0,"Here, to ""burn the candle at both ends"" means to work continually without rest and burn oneself out."
burn the candle at both ends,to exhaust someone's energies or resources by leading a hectic life.,She's been burning the candle at both ends,She's been burning the candle at both ends and now it has melted.,1,"Here, to ""burn the candle at both ends"" means to light up both ends of a candle and use it up very quickly."
burst at the seams,to be filled up to the brim,The room was bursting at the seams,The room was bursting at the seams with people eager to learn the new skill.,0,"Here, ""burst at the seams"" means to be overflowing with something."
burst at the seams,to be filled up to the brim,The room was bursting at the seams,The room was bursting at the seams due to all the wear and tear it had sustained.,1,"Here, ""burst at the seams"" means to be torn apart because of physical strain."
burst the bubble,the sudden end of a very happy or successful period,She burst the bubble,She burst the bubble of high hopes when she said no to the job offer.,0,"Here, ""burst the bubble"" means to shatter someone's expectations."
burst the bubble,the sudden end of a very happy or successful period,She burst the bubble,She burst the bubble when she threw a stone at it.,1,"Here, ""burst the bubble"" means to break a structure made of a bubble or film."
bury head in the sand,hide from the truth,He buried his head in the sand,He buried his head in the sand when he heard the difficult news.,0,"Here, to ""bury head in the sand"" means to ignore an unpleasant reality in order to cope with it."
bury head in the sand,hide from the truth,He buried his head in the sand,"He buried his head in the sand, making a sandcastle.",1,"Here, to ""bury head in the sand"" means to literally bury his head in the sand."
bury the hatchet,to stop fighting or arguing or to end old resentments,We buried the hatchet,We buried the hatchet to make up after our argument.,0,"Here, ""bury the hatchet"" means to forgive and forget and make peace."
bury the hatchet,to stop fighting or arguing or to end old resentments,We buried the hatchet,We buried the hatchet in the ground.,1,"Here, ""bury the hatchet"" means to physically put the hatchet away and no longer use it."
butter up,to flatter someone so as to get something in return from them,He was buttering up the boss,He was buttering up the boss by complimenting his work style.,0,"Here, ""butter up"" means to flatter or charm someone in order to gain favor."
butter up,to flatter someone so as to get something in return from them,He was buttering up the boss,He was buttering up the boss by giving her a jar of fresh butter.,1,"Here, ""butter up"" means to show appreciation or kindness by giving something tangible."
butterflies in stomach,to feel very nervous and restless,He had butterflies in his stomach,He had butterflies in his stomach when he gave his first public speech.,0,"Here, ""butterflies in stomach"" means to have a feeling of anxiousness or anticipation. "
butterflies in stomach,to feel very nervous and restless,He had butterflies in his stomach,He had butterflies in his stomach because he ate butterfly larvae.,1,"Here, ""butterflies in stomach"" means to have the actual physical presence of butterflies in the stomach."
button your lip,to stop speaking,He buttoned his lip,He buttoned his lip when his boss was speaking to the whole team.,0,"Here, ""button your lip"" means to stay quiet and not express any opinion."
button your lip,to stop speaking,He buttoned his lip,He buttoned his lip to prevent himself from letting out a scream.,1,"Here, ""button your lip"" means to physically close one's mouth with something."
by dint of,as a result of something,"He graduated by dint of"" ",He graduated by dint of his determination and unwavering commitment to the course.,0,"Here, ""by dint of"" means to achieve something with great effort."
by dint of,as a result of something,"He graduated by dint of"" ",He graduated by dint of completing all the necessary credits.,1,"Here, ""by dint of"" means to go through the required process."
by hook or by crook,by any possible means,He will get it by hook or by crook,"He will get it by hook or by crook, no matter what it takes.",0,"Here, ""by hook or by crook"" means to achieve a goal, regardless of the means."
by hook or by crook,by any possible means,He will get it by hook or by crook,"He will get it by hook or by crook, depending on which tool works better.",1,"Here, ""by hook or by crook"" means to choose whichever tool is most appropriate for a task."
call a spade a spade,this phrase means to say something the way it is,She calls a spade a spade,She calls a spade a spade and never sugarcoats her opinions.,0,"Here, ""call a spade a spade"" means to speak plainly and directly without softening anything."
call a spade a spade,this phrase means to say something the way it is,She calls a spade a spade,She calls a spade a spade when she points to the gardening tools.,1,"Here, ""call a spade a spade"" means to use the correct term for an object."
call bluff,"to challenge to prove one's claim, when they are likely attempting to deceive",You can call his bluff,You can call his bluff and see if he really has the resources to carry out his plan.,0,"Here, ""call bluff"" means to challenge someone's claims or bold assertions."
call bluff,"to challenge to prove one's claim, when they are likely attempting to deceive",You can call his bluff,You can call his bluff and make him show his cards.,1,"Here, ""call bluff"" means to challenge someone to prove their claim."
call it a day,"stop doing something, especially working",Let's call it a day,"Let's call it a day, since we have achieved all our goals and can't do anything more.",0,"Here, to ""call it a day"" means to end a task one is working on."
call it a day,"stop doing something, especially working",Let's call it a day,"Let's call it a day, since it is already dark outside.",1,"Here, to ""call it a day"" means to end an activity at night."
call names,to insult someone,She called names,She called names to disparage his character.,0,"Here, to ""call names"" means to criticize someone in an offensive way."
call names,to insult someone,She called names,She called names to get his attention.,1,"Here, to ""call names"" means to shout out someone's name."
call on,"use courage, reserve, nerve or strength to achieve something",She called on him,She called on him to help her in her time of need.,0,"Here, to ""call on"" someone means to ask them for assistance."
call on,"use courage, reserve, nerve or strength to achieve something",She called on him,She called on him when he was at the door.,1,"Here, to ""call on"" someone means to address them."
camp follower,"a person who is supportive of the cause, person or organisation",He was a camp follower,"He was a camp follower, forever eager to join the popular trends and fit in with the crowd.",0,"Here, to ""be a camp follower"" means to attach oneself to a popular trend."
camp follower,"a person who is supportive of the cause, person or organisation",He was a camp follower,"He was a camp follower, following his army camp wherever it went.",1,"Here, to ""be a camp follower"" means to be a person who follows an army camp."
can of worms,"to get into something that is messy, has problems and is unwanted",It opened up a can of worms,It opened up a can of worms when they started investigating the case.,0,"Here, ""can of worms"" means to open or create a complex or difficult situation."
can of worms,"to get into something that is messy, has problems and is unwanted",It opened up a can of worms,It opened up a can of worms when they tried to open the can.,1,"Here, ""can of worms"" means to be faced with the contents of a can that actually contains worms."
can't judge a book by its cover,outward appearance cannot be an indicator of someone or something's value or worth,Don't judge the book by its cover,Don't judge the book by its cover; she's actually a kind-hearted soul.,0,"Here, ""can't judge a book by its cover"" means not to judge someone based on their outward looks or appearance."
can't judge a book by its cover,outward appearance cannot be an indicator of someone or something's value or worth,Don't judge the book by its cover,Don't judge the book by its cover; its contents may be exactly what you need.,1,"Here, ""can't judge a book by its cover"" means not to consider the physical appearance of a book as the sole indicator of how useful it may be."
can't stand the sight of,to hate someone very much,I can't stand the sight of him,I can't stand the sight of him because he keeps breaking promises and lying.,0,"Here, ""can't stand the sight of"" means to feel intense dislike or hatred. "
can't stand the sight of,to hate someone very much,I can't stand the sight of him,I can't stand the sight of him because he's so ugly.,1,"Here, ""can't stand the sight of"" means to find something visually displeasing."
card up sleeve,to have a secret advantage that is suddenly revealed to change the game,He had a card up his sleeve,He had a card up his sleeve when he asked for a raise at work.,0,"Here, ""card up sleeve"" means to have something up one's sleeve, usually a plan of some sort, to surprise or outwit others. "
card up sleeve,to have a secret advantage that is suddenly revealed to change the game,He had a card up his sleeve,He had a card up his sleeve when he was playing poker.,1,"Here, ""card up sleeve"" means to have an extra card as a means of cheating."
cards are stacked against,"someone is not likely to succeed, especially because the person is not being given a fair chance",The cards are stacked against him,The cards are stacked against him because the odds of his success are low.,0,"Here, to ""stack the cards against"" means to make something more difficult."
cards are stacked against,"someone is not likely to succeed, especially because the person is not being given a fair chance",The cards are stacked against him,The cards are stacked against him in the poker game.,1,"Here, to ""stack the cards against"" means to arrange the cards in a specific order to give a certain player an advantage."
carrot and stick,mixture of rewards and punishments,Using the carrot and stick,"Using the carrot and stick approach, I motivated the team to complete the task on time.",0,"Here, to ""carrot and stick"" means to use incentive and punishment to motivate someone to do something."
carrot and stick,mixture of rewards and punishments,Using the carrot and stick,"Using the carrot and stick, I managed to get the donkey to move.",1,"Here, to ""carrot and stick"" means to use a literal carrot to entice an animal and a stick to guide them in a particular direction."
carry coals to new castle,to take something to a place or a person that has a lot of that thing already,She carried coals to Newcastle,She carried coals to Newcastle although she knew it was a futile effort.,0,"Here, ""carry coals to Newcastle"" means to do something that is not useful because it has no result."
carry coals to new castle,to take something to a place or a person that has a lot of that thing already,She carried coals to Newcastle,She carried coals to Newcastle as part of her job.,1,"Here, ""carry coals to Newcastle"" means to physically transport coal from one place to another."
carry on,to continue with something,I had to carry on,I had to carry on when my best friend passed away.,0,"Here, to ""carry on"" means to emotionally and mentally cope with a difficult or challenging situation."
carry on,to continue with something,I had to carry on,I had to carry on with my daily tasks even though it was tiring.,1,"Here, to ""carry on"" means to continue doing what was intended to be done."
carry out,"put something into action, to accomplish something, to do something.",We had to carry out,We had to carry out the task quickly and efficiently.,0,"Here, to ""carry out"" means to carry through a task to a successful conclusion."
carry out,"put something into action, to accomplish something, to do something.",We had to carry out,We had to carry out the heavy laundry basket.,1,"Here, to ""carry out"" means to take something from inside to outside."
carry the torch for,to have strong feelings for someone with whom you do not or cannot have a relationship,She carried the torch for him,"She carried the torch for him, keeping his memory alive even after he passed away.",0,"Here, ""carry the torch for"" means to keep the memory of someone alive."
carry the torch for,to have strong feelings for someone with whom you do not or cannot have a relationship,She carried the torch for him,"She carried the torch for him, lighting his way in the dark.",1,"Here, ""carry the torch for"" means to provide light or guidance for someone."
cash in,to earn out of something in big amounts,You should cash in,You should cash in on your hard work and success by taking that opportunity.,0,"Here, to ""cash in"" means to take advantage of a situation for one’s own benefit."
cash in,to earn out of something in big amounts,You should cash in,You should cash in the coupon that's about to expire.,1,"Here, to ""cash in"" means to exchange something of value for money."
castles in the air,thinking of some impossible task,They are building castles in the air,They are building castles in the air instead of having realistic goals.,0,"Here, ""castles in the air"" means to have impossible dreams and pretty fantasies."
castles in the air,thinking of some impossible task,They are building castles in the air,They are building castles in the air using only clouds and air.,1,"Here, ""castles in the air"" means to have a structure in the sky that is created entirely out of clouds."
cat among the pigeons,do or say something that causes trouble and make a lot of people angry or worried,He caused a cat among the pigeons,He caused a cat among the pigeons when he mentioned that he was considering changing jobs.,0,"Here, ""cat among the pigeons"" means to introduce an element of surprise or disruption into a situation. "
cat among the pigeons,do or say something that causes trouble and make a lot of people angry or worried,He caused a cat among the pigeons,He caused a cat among the pigeons when he actually brought it into the garden.,1,"Here, ""cat among the pigeons"" means to physically introduce a cat into a flock of pigeons."
cat got your tongue,used to refer a time when someone has nothing to say,Has the cat got your tongue?,Has the cat got your tongue? Are you too scared to answer my question?,0,"Here, ""cat got your tongue"" means to be too scared or intimidated to speak."
cat got your tongue,used to refer a time when someone has nothing to say,Has the cat got your tongue?,Has the cat got your tongue? You've been silent for so many minutes.,1,"Here, ""cat got your tongue"" means to not be able to speak."
catch a cold,suffer a financial loss.,She caught a cold,She caught a cold after feeling the cold shoulder from her friends.,0,"Here, to ""catch a cold"" means to feel ignored or excluded by others."
catch a cold,suffer a financial loss.,She caught a cold,She caught a cold after going outside without a jacket.,1,"Here, to ""catch a cold"" means to get a physical cold caused by a virus."
catch napping,"surprise, take unawares.",I was caught napping,I was caught napping while I was distracted by other tasks.,0,"Here, ""catch napping"" means to be unaware of something important or to underestimate something."
catch napping,"surprise, take unawares.",I was caught napping,I was caught napping while I was taking a nap.,1,"Here, ""catch napping"" means to physically find someone sleeping."
catch up,"to get to the same level, standard, or status as something or someone",I'm trying to catch up,I'm trying to catch up with the latest trends in fashion.,0,"Here, ""catch up"" means to become aware of or try to stay on par with the same level as others."
catch up,"to get to the same level, standard, or status as something or someone",I'm trying to catch up,I'm trying to catch up with the bus I missed.,1,"Here, ""catch up"" means to gain speed to reach someone who is ahead of you."
caught between two stools,"come between two alternatives, and so fail to fulfill either of them",She was caught between two stools,She was caught between two stools as she tried to make a difficult choice.,0,"Here, to be ""caught between two stools"" means to be unable to decide between two options."
caught between two stools,"come between two alternatives, and so fail to fulfill either of them",She was caught between two stools,She was caught between two stools as she wasn't tall enough to reach the counter.,1,"Here, to be ""caught between two stools"" means to be stuck physically between two stools."
caught in the crossfire,be badly affected by a situation where two people or group are arguing with each other.,He got caught in the crossfire,He got caught in the crossfire of the political debate and couldn't escape.,0,"Here, ""caught in the crossfire"" means to be stuck in a difficult situation between two opposing sides."
caught in the crossfire,be badly affected by a situation where two people or group are arguing with each other.,He got caught in the crossfire,He got caught in the crossfire when the shots rang out.,1,"Here, ""caught in the crossfire"" means to be injured by stray bullets when two or more people shoot guns at the same time."
chapter and verse,verbatim; word for word details.,She can tell you chapter and verse,"She can tell you chapter and verse about the situation, as if it came out of a textbook.",0,"Here, ""chapter and verse"" means to be able to provide a detailed and accurate explanation or account."
chapter and verse,verbatim; word for word details.,She can tell you chapter and verse,She can tell you chapter and verse from the Bible.,1,"Here, ""chapter and verse"" means to be able to accurately cite specific numbers of the chapter and verse from a book, specifically the Bible."
chew the fat,to have friendly banter for hours on end.,Let's chew the fat,Let's chew the fat and catch up on the news.,0,"Here, ""chew the fat"" means to converse and discuss current topics."
chew the fat,to have friendly banter for hours on end.,Let's chew the fat,Let's chew the fat because we've got plenty of time.,1,"Here, ""chew the fat"" means to talk at length in a conversational manner."
child's play,an informal expression meaning something that is easy to do,This is child's play,This is child's play compared to what I usually do.,0,"Here, ""child's play"" means to be something that is easy and effortless."
child's play,an informal expression meaning something that is easy to do,This is child's play,This is child's play as I have been playing this with my niece.,1,"Here, ""child's play"" means to be something that is fun and entertaining that is meant for a child."
chill to the bone,to get frightened or scare somebody,The wind was chill to the bone,The wind was chill to the bone; I felt so uncomfortable when I stepped outside today.,0,"Here, ""chill to the bone"" means to experience a severe feeling of cold."
chill to the bone,to get frightened or scare somebody,The wind was chill to the bone,The wind was chill to the bone; I felt like my very bones were freezing.,1,"Here, ""chill to the bone"" means to experience a very cold temperature that affects the deepest parts of the body."
chill wind,to encounter the problems or trouble,The chill wind blew,"The chill wind blew, leaving feelings of dread and isolation in its path.",0,"Here, ""chill wind"" means an atmosphere of fear or despair."
chill wind,to encounter the problems or trouble,The chill wind blew,The chill wind blew as the cold weather arrived.,1,"Here, ""chill wind"" means a cold wind that makes the temperature feel colder."
chink in armour,a susceptible or vulnerable area.,The chink in his armour,The chink in his armour was his lack of empathy.,0,"Here, ""chink in armour"" means a weak point or vulnerability."
chink in armour,a susceptible or vulnerable area.,The chink in his armour,The chink in his armour was a tear in the fabric.,1,"Here, ""chink in armour"" means a physical (and literal) gap or hole in the protective clothing."
chip off the old block,the term is used to describe people who look like their parents.,He is a chip off the old block,He is a chip off the old block because he is following in his father's footsteps.,0,"Here, ""chip off the old block"" means someone resembles their parent in character or behavior."
chip off the old block,the term is used to describe people who look like their parents.,He is a chip off the old block,He is a chip off the old block because he looks just like his father.,1,"Here, ""chip off the old block"" means someone resembles their parent in physical appearance."
chip on shoulder,holding a grudge or grievance,He has a chip on his shoulder,He has a chip on his shoulder ever since his promotion got denied.,0,"Here, ""chip on shoulder"" means to have an attitude of annoyance towards someone due to a perceived slight."
chip on shoulder,holding a grudge or grievance,He has a chip on his shoulder,He has a chip on his shoulder from the accident which gave him a physical scar.,1,"Here, ""chip on shoulder"" means to have a literal chip on his shoulder from a past injury."
choke up,make a person become overemotional and speechless,He choked up,He choked up during his speech when he talked about his parents.,0,"Here, to ""choke up"" refers to being overwhelmed with emotion and finding it difficult to continue talking."
choke up,make a person become overemotional and speechless,He choked up,He choked up when he was trying to swallow his food.,1,"Here, to ""choke up"" means to have difficulty swallowing and a restricted air passage."
chop and change,repeatedly change.,They often chop and change,They often chop and change their minds when a situation arises.,0,"Here, to ""chop and change"" means to quickly change one's opinion or decisions."
chop and change,repeatedly change.,They often chop and change,They often chop and change the ingredients in their recipes.,1,"Here, to ""chop and change"" means to cut and modify the ingredients in a recipe."
clamp down,suppress or prevent something in an oppressive or harsh manner,They clamped down on free speech,They clamped down on free speech by introducing new regulations on protests.,0,"Here, to ""clamp down"" means to enforce a strict control."
clamp down,suppress or prevent something in an oppressive or harsh manner,They clamped down on free speech,They clamped down on free speech by using metal clamps to attach protesters' mouths shut.,1,"Here, ""to clamp down"" means to physically secure something with a clamp."
class clown,a wiseacre,"He was the class clown"" ",He was the class clown and always made everyone laugh with his jokes.,0,"Here, ""class clown"" means to be the student who is always making people laugh."
class clown,a wiseacre,"He was the class clown"" ",He was the class clown and was always making silly faces during lectures.,1,"Here, ""class clown"" means to be a student who behaves silly during class."
clean slate,to wipe the past out and begin afresh,She started with a clean slate,"She started with a clean slate, enabling her to achieve her desired goals without any setbacks.",0,"Here, ""clean slate"" means to start over without any burdens or impediments."
clean slate,to wipe the past out and begin afresh,She started with a clean slate,"She started with a clean slate, giving her the opportunity to write down new ideas without erasing any old ones.",1,"Here, ""clean slate"" means to have a clear and unblemished surface without any evidence of previous use."
clean sweep,an irresistible victory,They made a clean sweep,They made a clean sweep when they spoke up boldly and won the debate.,0,"Here, ""clean sweep"" means to win or gain in an absolute manner."
clean sweep,an irresistible victory,They made a clean sweep,They made a clean sweep when they used the broom to clean the entire room.,1,"Here, ""clean sweep"" means to make sure that no trace of dirt or dust is left behind."
clear the air,get rid of all doubts and negative feelings,We need to clear the air,We need to clear the air by calmly tackling the issue and putting our differences aside.,0,"Here, ""clear the air"" means to resolve an issue and ease tension."
clear the air,get rid of all doubts and negative feelings,We need to clear the air,We need to clear the air by opening up all the windows.,1,"Here, ""clear the air"" means to get rid of an unpleasant smell by circulating fresh air."
clear the decks,get ready for action.,We need to clear the decks,We need to clear the decks before we begin the project.,0,"Here, ""clear the decks"" means to remove obstacles and distractions that stand in the way of success."
clear the decks,get ready for action.,We need to clear the decks,We need to clear the decks of the boat to make it ready for the voyage.,1,"Here, ""clear the decks"" means to prepare the boat for use by removing anything that is not necessary for sailing."
cloak and dagger,of or characteristic of the activities of spies and undercover agents.,The meeting was cloak and dagger,"The meeting was cloak and dagger, full of secretive and suspicious activities.",0,"Here, ""cloak and dagger"" means secret and suspicious behavior."
cloak and dagger,of or characteristic of the activities of spies and undercover agents.,The meeting was cloak and dagger,The meeting was cloak and dagger as everyone was wearing a cape and sword.,1,"Here, ""cloak and dagger"" means to physically wear a cloak and dagger."
close call,a narrow escape from disaster,That was a close call,That was a close call when I almost missed the deadline.,0,"Here, ""close call"" means to narrowly avoid something or get out of a difficult situation."
close call,a narrow escape from disaster,That was a close call,That was a close call since the car stopped just inches away from me.,1,"Here, ""close call"" means to be in a narrow near miss situation."
close shave,a narrow escape,That was a close shave,That was a close shave talking to the police officer without getting into trouble.,0,"Here, ""close shave"" means a narrowly avoided danger or difficulty."
close shave,a narrow escape,That was a close shave,That was a close shave getting so close to the edge without falling off.,1,"Here, ""close shave"" means to barely make it with a narrow margin."
closed book,something that one knows or understands nothing about.,This is a closed book,This is a closed book since they won't tell me why they're mad at me.,0,"Here, ""closed book"" means to keep something secret and unrevealed."
closed book,something that one knows or understands nothing about.,This is a closed book,"This is a closed book, because it has no contents left inside.",1,"Here, ""closed book"" means to be a book that is physically sealed and unreadable."
cloud nine,very happy,I'm on cloud nine,I'm on cloud nine after getting the promotion I wanted.,0,"Here, ""on cloud nine"" means to be in a state of ecstasy."
cloud nine,very happy,I'm on cloud nine,"I'm on cloud nine, hovering up in the sky.",1,"Here, ""on cloud nine"" means to be in the highest of all clouds."
cloud on the horizon,"a problem or difficulty that is predictable, or seems likely to arise in the future",There's a cloud on the horizon,"There's a cloud on the horizon, meaning that something bad is about to happen.",0,"Here, to ""have a cloud on the horizon"" means to have an approaching problem or trouble. "
cloud on the horizon,"a problem or difficulty that is predictable, or seems likely to arise in the future",There's a cloud on the horizon,There's a cloud on the horizon as storm clouds are rolling in.,1,"Here, to ""have a cloud on the horizon"" means to have an actual cloud in the sky."
coast is clear,there is no danger in sight or that nobody can see you,The coast is clear,The coast is clear for us to plan our big project.,0,"Here, ""coast is clear"" means there are no obstacles in the way."
coast is clear,there is no danger in sight or that nobody can see you,The coast is clear,The coast is clear of people so we can go swimming.,1,"Here, ""coast is clear"" means the area is free of people."
coin money,make a great deal of money easily or very quickly.,He was coining money,He was coining money quickly by playing the stock market.,0,"Here, to ""coin money"" means to make or acquire money quickly or effortlessly."
coin money,make a great deal of money easily or very quickly.,He was coining money,He was coining money by minting coins in his basement.,1,"Here, to ""coin money"" means to physically mint coins in order to create currency."
cold feet,loss of courage,He had cold feet,He had cold feet when it came to getting married as he felt hesitant.,0,"Here, ""cold feet"" means to suddenly feel nervous or doubt a decision."
cold feet,loss of courage,He had cold feet,He had cold feet as he was standing outside in the snow.,1,"Here, ""cold feet"" means to have an actual physical sensation of cold feet due to cold temperatures."
cold shoulder,to treat somebody with coldness and contempt,He gave me the cold shoulder,He gave me the cold shoulder by ignoring me during the meeting.,0,"Here, ""cold shoulder"" means to show indifference or reject someone."
cold shoulder,to treat somebody with coldness and contempt,He gave me the cold shoulder,He gave me the cold shoulder by literally keeping his arm away from me.,1,"Here, ""cold shoulder"" means to physically keep distance from someone."
cold turkey,in a unexpected and sudden way,She went cold turkey,She went cold turkey and made an effort to quit smoking.,0,"Here, ""cold turkey"" means to abruptly stop something."
cold turkey,in a unexpected and sudden way,She went cold turkey,She went cold turkey and made an effort to cook a turkey without any spices.,1,"Here, ""cold turkey"" means to try something without the help of other ingredients."
comb through,to look into something carefully.,He combed through the books,He combed through the books to find the answer he was looking for.,0,"Here, to ""comb through"" means to search something thoroughly and carefully."
comb through,to look into something carefully.,He combed through the books,He combed through the books as if he was brushing his hair.,1,"Here, to ""comb through"" means to run a comb through something."
come across,to meet someone,I came across it,I came across it while scrolling through social media.,0,"Here, to ""come across"" means to find or encounter something unexpectedly."
come across,to meet someone,I came across it,I came across it when I walked in front of the store.,1,"Here, to ""come across"" means to physically encounter something during the course of a journey."
come clean,to make a disclosure,"He finally came clean"" ",He finally came clean and confessed all of his lies.,0,"Here, to ""come clean"" means to be honest and open about a past situation. "
come clean,to make a disclosure,"He finally came clean"" ",He finally came clean and washed the dishes.,1,"Here, to ""come clean"" means to do the task of cleaning."
come down with,to have (usually a disease),She came down with something,She came down with something when she heard the bad news.,0,"Here, ""come down with"" means to be overwhelmed with a feeling such as sadness."
come down with,to have (usually a disease),She came down with something,She came down with something because she was running a fever.,1,"Here, ""come down with"" means to contract a physical illness."
come full circle,return to an earlier position or decision.,The situation has come full circle,The situation has come full circle when it eventually returned to its original point.,0,"Here, ""come full circle"" means to return to the original place where something started."
come full circle,return to an earlier position or decision.,The situation has come full circle,The situation has come full circle as it went around and around in a circular motion.,1,"Here, ""come full circle"" means to form a complete circle."
come out swinging,be confrontational,He came out swinging,He came out swinging when he spoke up about unfair business practices.,0,"Here, to ""come out swinging"" means to aggressively start something with a lot of enthusiasm and energy. "
come out swinging,be confrontational,He came out swinging,He came out swinging when he joined the boxing class.,1,"Here, to ""come out swinging"" means to use motion to fight with a lot of energy and effort."
concern with,to be busy with something,He was concerned with the results,He was concerned with the results of his hard work and dedication.,0,"Here, to ""be concerned with"" means to be worried or anxious about a certain situation."
concern with,to be busy with something,He was concerned with the results,He was concerned with the results of the experiment he just conducted.,1,"Here, to ""be concerned with"" means to pay attention to certain results or outcome."
cook his goose,to spoil someone's chances of success,He's cooked his goose,He's cooked his goose by lying about his credentials.,0,"Here, ""cook his goose"" means to be ruined or destroyed."
cook his goose,to spoil someone's chances of success,He's cooked his goose,He's cooked his goose for dinner.,1,"Here, ""cook his goose"" means to prepare a goose for eating."
cool as cucumber,"be very calm and relaxed, particularly when it's astonishing",He was cool as cucumber.,He was cool as cucumber even when his team lost the game.,0,"Here, ""cool as cucumber"" means to be exceptionally calm and relaxed in difficult situations."
cool as cucumber,"be very calm and relaxed, particularly when it's astonishing",He was cool as cucumber.,He was cool as cucumber when I touched the back of his neck.,1,"Here, ""cool as cucumber"" means that his body temperature was physically similar to that of a cucumber."
cool heels,to wait or take rest,They had to cool their heels,They had to cool their heels and wait patiently for the instructions to arrive.,0,"Here, ""cool heels"" means to wait idly or passively for something. "
