idiom,meaning,s_f_brkt,s_l_brkt,s_f,s_l,s_a,t_f_brkt_ko,t_l_brkt_ko,t_f_ko,t_l_ko,t_f_a_ko,t_l_a_ko,t_f_brkt_zh,t_l_brkt_zh,t_f_zh,t_l_zh,t_f_a_zh,t_l_a_zh
at the bottom of the ladder,"occupying the lowest, most basic position in a given group",[[She started at the bottom of the ladder]] in the company and worked her way up,"Before climbing, [[she started at the bottom of the ladder]] and checked each rung for stability",She started at the bottom of the ladder in the company and worked her way up,"Before climbing, she started at the bottom of the ladder and checked each rung for stability",She started at the bottom of the ladder,[[그녀는 회사 맨 밑바닥 직급부터 시작해서]] 승진해 나아갔습니다,등만하기 전에 [[그녀는 사다리 밑에서 부터 시작하여]] 각 발판의 안정성을 점검했습니다,그녀는 회사 맨 밑바닥 직급부터 시작해서 승진해 나아갔습니다,등만하기 전에 그녀는 사다리 밑에서 부터 시작하여 각 발판의 안정성을 점검했습니다,그녀는 회사 맨 밑바닥 직급부터 시작해서,그녀는 사다리 밑에서 부터 시작하여,她在公司[[从底层开始打拼]]并一路向上,在攀登前，她[[从梯子底部开始]]，检查每个阶梯的稳定性,她在公司从底层开始打拼并一路向上,在攀登前，她从梯子底部开始，检查每个阶梯的稳定性,从底层开始打拼,从梯子底部开始
at the drop of a dime,something that can happen very fast without hesitation,Our team is always [[ready at the drop of a dime]] to tackle any challenge,The coin collector was [[ready at the drop of a dime]] to catch the rare coin,Our team is always ready at the drop of a dime to tackle any challenge,The coin collector was ready at the drop of a dime to catch the rare coin,ready at the drop of a dime,우리 우리팀은 언제든지 어떠한 도전에도 대처할 수 있도록 [[만반의 준비가 되어있습니다]],동선 수집가는 그 희귀한 [[동전이 땅에 떨어지기 전에 잡기 위해 준비가 되어있었습니다]],우리 우리팀은 언제든지 어떠한 도전에도 대처할 수 있도록 만반의 준비가 되어있습니다,동선 수집가는 그 희귀한 동전이 땅에 떨어지기 전에 잡기 위해 준비가 되어있었습니다,만반의 준비가 되어있습니다,동전이 땅에 떨어지기 전에 잡기 위해 준비가 되어있었습니다,我们队[[随时准备好]]解决任何挑战,硬币收集者已[[为银币的掉落准备好]]，以抓到这稀有的硬币,我们队随时准备好解决任何挑战,硬币收集者已为银币的掉落准备好，以抓到这稀有的硬币,随时准备好,为银币的掉落准备好
at the drop of the hat,to do something easily and without any preparation,She was always [[ready at the drop of a hat]] to help her friends,"As a professional hat catcher, he was [[ready at the drop of a hat]] to catch any falling hats",She was always ready at the drop of a hat to help her friends,"As a professional hat catcher, he was ready at the drop of a hat to catch any falling hats",ready at the drop of a hat,그녀는 친구들을 돕기 위한 [[만반의 준비가]] 항상 [[되어있었습니다]],"전문 모자 잡이로서, 그는 언제든 [[떨어지는 모자를 잡기 위해 준비가 되어 있었습니다]]",그녀는 친구들을 돕기 위한 만반의 준비가 항상 되어있었습니다,"전문 모자 잡이로서, 그는 언제든 떨어지는 모자를 잡기 위해 준비가 되어 있었습니다",만반의 준비가 되어있었습니다,떨어지는 모자를 잡기 위해 준비가 되어 있었습니다,她一直[[随时准备好]]帮助她的朋友,作为一个专业的接帽子的人，他[[准备好在帽子掉下时]]抓住下落的帽子,她一直随时准备好帮助她的朋友,作为一个专业的接帽子的人，他准备好在帽子掉下时抓住下落的帽子,随时准备好,准备好在帽子掉下时
ate her alive,to criticize someone severely because you are angry with them,The guilt of lying to her best friend [[it ate her alive]] for days,"In the horror movie, the monster found her hiding spot and [[it ate her alive]]",The guilt of lying to her best friend it ate her alive for days,"In the horror movie, the monster found her hiding spot and it ate her alive",it ate her alive,그녀의 절친한 친구에게 거짓말한 죄책감이 며칠 동안 [[그녀를 힘들게 했습니다]],공포 영화에서 괴물이 그녀의 은신처를 찾아내어 [[그녀를 산 채로 먹어치웠습니다]],그녀의 절친한 친구에게 거짓말한 죄책감이 며칠 동안 그녀를 힘들게 했습니다,공포 영화에서 괴물이 그녀의 은신처를 찾아내어 그녀를 산 채로 먹어치웠습니다,그녀를 힘들게 했습니다,그녀를 산 채로 먹어치웠습니다,对她朋友撒谎的罪恶感让她几天[[彷徨不安]],在恐怖电影里，怪兽发现了她的藏身之处并[[生吞]]了她,对她朋友撒谎的罪恶感让她几天彷徨不安,在恐怖电影里，怪兽发现了她的藏身之处并生吞了她,彷徨不安,生吞
axe to grind,have a private or selfish reason for doing something,He [[had an axe to grind]] with his coworker after the disagreement,The lumberjack [[had an axe to grind]] before chopping down the tree,He had an axe to grind with his coworker after the disagreement,The lumberjack had an axe to grind before chopping down the tree,had an axe to grind,그는 의견 충돌 이후 그의 직장 동료와 함께 [[다른 속셈이 생겼습니다]],나무꾼에게는 나무를 베기 전에 [[갈아야할 도끼가 있었습니다]],그는 의견 충돌 이후 그의 직장 동료와 함께 다른 속셈이 생겼습니다,나무꾼에게는 나무를 베기 전에 갈아야할 도끼가 있었습니다,다른 속셈이 생겼습니다,갈아야할 도끼가 있었습니다,他在和同事争论之后[[心怀鬼胎]],伐木工人在砍树之前要[[磨斧头]],他在和同事争论之后心怀鬼胎,伐木工人在砍树之前要磨斧头,心怀鬼胎,磨斧头
back against the wall,to be in a tough situation with limited options,"With no other options left, [[he had his back against the wall]] and had to make a decision",[[He had his back against the wall]] while waiting for the elevator,"With no other options left, he had his back against the wall and had to make a decision",He had his back against the wall while waiting for the elevator,he had his back against the wall,다른 선택이 없기에 [[그는 궁지에 몰린 채로]] 결정을 내려야만 했습니다,[[그는]] 엘리베이터를 기다리는 동안 [[벽에 등을 기대고 있었습니다]],다른 선택이 없기에 그는 궁지에 몰린 채로 결정을 내려야만 했습니다,그는 엘리베이터를 기다리는 동안 벽에 등을 기대고 있었습니다,그는 궁지에 몰린 채로,그는 벽에 등을 기대고 있었습니다,在选择耗尽后，他[[被逼到墙角]]，必须做出抉择,他在等电梯时把[[背靠着墙壁上]],在选择耗尽后，他被逼到墙角，必须做出抉择,他在等电梯时把背靠着墙壁上,被逼到墙角,背靠着墙壁上
back the wrong horse,to make the wrong decision and support a person or action that is later unsuccessful,[[She backed the wrong horse]] when she supported the losing candidate,"At the racetrack, [[she backed the wrong horse]] and lost her bet",She backed the wrong horse when she supported the losing candidate,"At the racetrack, she backed the wrong horse and lost her bet",She backed the wrong horse,그녀는 지는 후보를 지지하는 [[잘못된 선택을 했습니다]],"경마장에서 [[그녀는 잘못된 말에 돈을 걸었고]], 그 돈을 잃었습니다",그녀는 지는 후보를 지지하는 잘못된 선택을 했습니다,"경마장에서 그녀는 잘못된 말에 돈을 걸었고, 그 돈을 잃었습니다",잘못된 선택을 했습니다,그녀는 잘못된 말에 돈을 걸었고,她[[站错了队]]，支持了失败的候选人。,她在赛马场[[押注了错误的马匹]]，因而输掉了赌注。,她站错了队，支持了失败的候选人。,她在赛马场押注了错误的马匹，因而输掉了赌注。,站错了队,押注了错误的马匹
backroom boy(s),people who work in anonymity,The company's success was largely due to [[the backroom boys]] who worked tirelessly behind the scenes,"In the storage area, [[the backroom boys]] were busy organizing and restocking shelves",The company's success was largely due to the backroom boys who worked tirelessly behind the scenes,"In the storage area, the backroom boys were busy organizing and restocking shelves",the backroom boys,회사의 성공은 대부분 뒤에서 끊임없이 일하는 [[막후의 인물들]] 덕분이었습니다,창고에서 [[재고 담당 일꾼]]들은 열심히 재고를 정리하고 다시 채우는 데 바빴습니다,회사의 성공은 대부분 뒤에서 끊임없이 일하는 막후의 인물들 덕분이었습니다,창고에서 재고 담당 일꾼들은 열심히 재고를 정리하고 다시 채우는 데 바빴습니다,막후의 인물들,재고 담당 일꾼,对于这家公司的成功，那些[[幕后工作者们]]功不可没，他们在幕后不知疲倦地工作。,[[后勤人员]]正在储藏区辛苦地整理和填充货架。,对于这家公司的成功，那些幕后工作者们功不可没，他们在幕后不知疲倦地工作。,后勤人员正在储藏区辛苦地整理和填充货架。,幕后工作者们,后勤人员
bad egg,someone who fails to meet expectations,"Despite his charming demeanor, he [[turned out to be a bad egg]] in the company",The carton of eggs we bought [[turned out to be a bad egg]] when we cracked it open,"Despite his charming demeanor, he turned out to be a bad egg in the company",The carton of eggs we bought turned out to be a bad egg when we cracked it open,turned out to be a bad egg,매력적인 품행에도 불구하고 그는 회사에서 [[믿지 못할 나쁜 사람으로 드러났습니다]],달걀을 깨서 열자 우리가 샀던 달걀판이 [[나쁜 달걀이었다는 것으로 드러났습니다]],매력적인 품행에도 불구하고 그는 회사에서 믿지 못할 나쁜 사람으로 드러났습니다,달걀을 깨서 열자 우리가 샀던 달걀판이 나쁜 달걀이었다는 것으로 드러났습니다,믿지 못할 나쁜 사람으로 드러났습니다,나쁜 달걀이었다는 것으로 드러났습니다,尽管他的行为举止很有魅力，[[事实证明他不]]是公司的一名[[称职]]员工。,当我们把买来的鸡蛋敲开时，[[发现它们变质了]]。,尽管他的行为举止很有魅力，事实证明他不是公司的一名称职员工。,当我们把买来的鸡蛋敲开时，发现它们变质了。,事实证明他不 称职,发现它们变质了
ball and chain,a burden or problem that ties you down and prevents you from doing what you want,He felt like he [[was carrying a ball and chain]] with his overwhelming responsibilities,The prisoner [[was carrying a ball and chain]] as a part of his punishment,He felt like he was carrying a ball and chain with his overwhelming responsibilities,The prisoner was carrying a ball and chain as a part of his punishment,was carrying a ball and chain,그는 막중한 책임으로 인해 자신을 [[구속하는 짐을 짊어지고 있는 것]] 같다고 느꼈습니다,죄수는 처벌의 일부로 [[공과 사슬을 옮기고 있었습니다]],그는 막중한 책임으로 인해 자신을 구속하는 짐을 짊어지고 있는 것 같다고 느꼈습니다,죄수는 처벌의 일부로 공과 사슬을 옮기고 있었습니다,구속하는 짐을 짊어지고 있는 것,공과 사슬을 옮기고 있었습니다,他感觉自己就像[[身背千钧重负]]，因为他肩负了太多责任。,这名囚犯身负[[铁球和铁链]]，作为对他惩罚的一部分。,他感觉自己就像身背千钧重负，因为他肩负了太多责任。,这名囚犯身负铁球和铁链，作为对他惩罚的一部分。,身背千钧重负,铁球和铁链
bare bones,most basic and important elements or facts,"During the meeting, she [[presented the bare bones]] of the project plan",The archaeologist [[presented the bare bones]] of the ancient skeleton,"During the meeting, she presented the bare bones of the project plan",The archaeologist presented the bare bones of the ancient skeleton,presented the bare bones,회의 도중 그녀는 프로젝트 계획의 [[기본적인 틀을 제시했습니다]],고고학자는 고대 골격의 [[맨뼈를 보였습니다]],회의 도중 그녀는 프로젝트 계획의 기본적인 틀을 제시했습니다,고고학자는 고대 골격의 맨뼈를 보였습니다,기본적인 틀을 제시했습니다,맨뼈를 보였습니다,她在会议中[[展示了]]项目计划的[[精髓]]。,考古学家[[展示了]]古代尸骸的[[裸露的骨头]]。,她在会议中展示了项目计划的精髓。,考古学家展示了古代尸骸的裸露的骨头。,展示了 精髓,展示了 裸露的骨头
bark up the wrong tree,waste one's efforts by pursuing the wrong thing or path,Accusing her of stealing the documents [[was barking up the wrong tree]],"The confused dog [[was barking up the wrong tree]], as the squirrel had already moved to another one",Accusing her of stealing the documents was barking up the wrong tree,"The confused dog was barking up the wrong tree, as the squirrel had already moved to another one",was barking up the wrong tree,그녀를 문서 도용 혐의로 몰아붙이는 것은 [[엉뚱한 사람을 잘못 짚은 것이었습니다]],다른 나무로 다람쥐가 옮겨가자 혼란에 빠진 개는 [[잘못된 나무를 향해 짖고 있었습니다]],그녀를 문서 도용 혐의로 몰아붙이는 것은 엉뚱한 사람을 잘못 짚은 것이었습니다,다른 나무로 다람쥐가 옮겨가자 혼란에 빠진 개는 잘못된 나무를 향해 짖고 있었습니다,엉뚱한 사람을 잘못 짚은 것이었습니다,잘못된 나무를 향해 짖고 있었습니다,对她盗窃文档的指控是[[南辕北辙]]的。,那条迷惑的狗[[正朝着错误的树狂吠]]，因为那只松鼠已经跑到另一棵树上了。,对她盗窃文档的指控是南辕北辙的。,那条迷惑的狗正朝着错误的树狂吠，因为那只松鼠已经跑到另一棵树上了。,南辕北辙,正朝着错误的树狂吠
bats in the belfry,to be silly and slightly crazy and behave in a confused way,His wild theories and peculiar behavior made others think he [[had bats in the belfry]],The old church tower [[had bats in the belfry]] that flew out at dusk,His wild theories and peculiar behavior made others think he had bats in the belfry,The old church tower had bats in the belfry that flew out at dusk,had bats in the belfry,그의 거침없는 이론과 기행적인 행실은 사람들로 하여금 그가 [[정신이 이상하다고]] 생각하게 만들었습니다,오래된 교회 탑에는 매 황혼마다 날아오르는 [[박쥐가 종탑에]] 있었습니다,그의 거침없는 이론과 기행적인 행실은 사람들로 하여금 그가 정신이 이상하다고 생각하게 만들었습니다,오래된 교회 탑에는 매 황혼마다 날아오르는 박쥐가 종탑에 있었습니다,정신이 이상하다고,박쥐가 종탑에,他那些荒诞的理论和奇怪的举止令人觉得他[[脑子进水了]]。,那幢老教堂的[[钟楼里有一些蝙蝠]]，它们会在黄昏时飞走。,他那些荒诞的理论和奇怪的举止令人觉得他脑子进水了。,那幢老教堂的钟楼里有一些蝙蝠，它们会在黄昏时飞走。,脑子进水了,钟楼里有一些蝙蝠
batten down the hatches,to get ready for trouble,"When the company announced layoffs, employees had [[to batten down the hatches]] and prepare for the worst","As the storm approached, the sailors rushed [[to batten down the hatches]] on the ship","When the company announced layoffs, employees had to batten down the hatches and prepare for the worst","As the storm approached, the sailors rushed to batten down the hatches on the ship",to batten down the hatches,회사가 감원을 발표하자 직원들은 [[위기에 대비하여]] 최악의 사태를 고려해두어야 했습니다,폭풍이 다가오자 선원들은 서둘러 [[배의 갑판을 단단히 고정했습니다]],회사가 감원을 발표하자 직원들은 위기에 대비하여 최악의 사태를 고려해두어야 했습니다,폭풍이 다가오자 선원들은 서둘러 배의 갑판을 단단히 고정했습니다,위기에 대비하여,배의 갑판을 단단히 고정했습니다,当公司宣布裁员时，员工们需要[[做好心理准备]]，并做好最坏的打算。,当风暴接近时，水手们忙着去[[钉上]]船上的[[扣板并密闭舱口]]。,当公司宣布裁员时，员工们需要做好心理准备，并做好最坏的打算。,当风暴接近时，水手们忙着去钉上船上的扣板并密闭舱口。,做好心理准备,钉上 扣板并密闭舱口
be on a collision course,doing or saying things which are certain to cause a serious disagreement or a fight between them.,Their opposing political views put them [[on a collision course with each other]],"The two ships, sailing at full speed, were [[on a collision course with each other]]",Their opposing political views put them on a collision course with each other,"The two ships, sailing at full speed, were on a collision course with each other",on a collision course with each other,그들의 대립적인 정치적 견해는 [[그들의 의견 충돌을 불가피하게]] 했습니다,최고 속도로 항해하는 두 척의 배는 [[서로 충돌하는 경로에]] 있었습니다,그들의 대립적인 정치적 견해는 그들의 의견 충돌을 불가피하게 했습니다,최고 속도로 항해하는 두 척의 배는 서로 충돌하는 경로에 있었습니다,그들의 의견 충돌을 불가피하게,서로 충돌하는 경로에,对立的政治观念让他们[[势如水火]]。,两艘船正[[在即将相撞的航线上]]全速行驶。,对立的政治观念让他们势如水火。,两艘船正在即将相撞的航线上全速行驶。,势如水火,在即将相撞的航线上
beat around the bush,avoid talking about the main topic,"If you have something to say, just [[stop beating around the bush]] and tell me","If you want to trim the garden, [[stop beating around the bush]] and start cutting it","If you have something to say, just stop beating around the bush and tell me","If you want to trim the garden, stop beating around the bush and start cutting it",stop beating around the bush,"당신이 말하고 싶은 것이 있다면, [[요점을 피하지 말고]] 곧이 곧대로 말해주십시오",당신이 정원을 다듬고 싶다면 [[덤불 언저리를 두들기는 것을 멈추고]] 곧바로 자르기 시작하십시오,"당신이 말하고 싶은 것이 있다면, 요점을 피하지 말고 곧이 곧대로 말해주십시오",당신이 정원을 다듬고 싶다면 덤불 언저리를 두들기는 것을 멈추고 곧바로 자르기 시작하십시오,요점을 피하지 말고,덤불 언저리를 두들기는 것을 멈추고,你有话直说，不要[[东拉西扯]]。,如果你想修剪花园，就开始给那些[[灌木]]剪枝吧，[[别再捶打它们了]]。,你有话直说，不要东拉西扯。,如果你想修剪花园，就开始给那些灌木剪枝吧，别再捶打它们了。,东拉西扯,灌木 别再捶打它们了
beat the drum,to speak eagerly about something you support,He tirelessly [[beat the drum for the cause]] to raise awareness about climate change,The musician [[beat the drum for the cause]] during the charity concert,He tirelessly beat the drum for the cause to raise awareness about climate change,The musician beat the drum for the cause during the charity concert,beat the drum for the cause,그는 기후 변화에 대한 인식을 높이기 위해 지치지 않고 [[홍보를 계속했습니다]],음악가는 자선 콘서트 동안 [[대의를 위해 북을 울렸습니다]],그는 기후 변화에 대한 인식을 높이기 위해 지치지 않고 홍보를 계속했습니다,음악가는 자선 콘서트 동안 대의를 위해 북을 울렸습니다,홍보를 계속했습니다,대의를 위해 북을 울렸습니다,他孜孜不倦地为唤醒大家对气候变化的意识而[[大声疾呼]]。,这名音乐工作者在慈善音乐会中负责[[敲鼓]]。,他孜孜不倦地为唤醒大家对气候变化的意识而大声疾呼。,这名音乐工作者在慈善音乐会中负责敲鼓。,大声疾呼,敲鼓
bee in bonnet,be possessed with one thought or scheme,She [[had a bee in her bonnet]] about the new policy changes,"During the picnic, she accidentally [[had a bee in her bonnet]] and panicked",She had a bee in her bonnet about the new policy changes,"During the picnic, she accidentally had a bee in her bonnet and panicked",had a bee in her bonnet,그녀는 새로운 정책 변경에 대한 [[생각에 사로잡혀 있었습니다]],소풍 도중 그녀는 어쩌다 [[모자 안에 벌이 들어가자]] 당황하여 어쩔 줄을 몰라했습니다,그녀는 새로운 정책 변경에 대한 생각에 사로잡혀 있었습니다,소풍 도중 그녀는 어쩌다 모자 안에 벌이 들어가자 당황하여 어쩔 줄을 몰라했습니다,생각에 사로잡혀 있었습니다,모자 안에 벌이 들어가자,她对新的政策变化[[耿耿于怀]]。,在野餐时，[[一只]]意外[[出现在她帽子里的蜜蜂]]使她感到惊慌。,她对新的政策变化耿耿于怀。,在野餐时，一只意外出现在她帽子里的蜜蜂使她感到惊慌。,耿耿于怀,一只 出现在她帽子里的蜜蜂
been tailor made,specially made for a particular purpose,The job opportunity [[has been tailor made]] for her skills and experience,The suit [[has been tailor made]] to fit his measurements perfectly,The job opportunity has been tailor made for her skills and experience,The suit has been tailor made to fit his measurements perfectly,has been tailor made,그 취업 기회는 그녀의 기술과 경험에 [[안성맞춤이었습니다]],이 정장은 그의 치수에 완벽하게 맞도록 [[맞춤 제작되었습니다]],그 취업 기회는 그녀의 기술과 경험에 안성맞춤이었습니다,이 정장은 그의 치수에 완벽하게 맞도록 맞춤 제작되었습니다,안성맞춤이었습니다,맞춤 제작되었습니다,这个工作机会是为她的技能和经验[[量身定做]]的。,这套西装[[是裁衣匠]]根据他的尺寸[[量身定做的]]。,这个工作机会是为她的技能和经验量身定做的。,这套西装是裁衣匠根据他的尺寸量身定做的。,量身定做,是裁衣匠 量身定做的
begun to see the light,to suddenly begin to understand,"After hours of studying, he finally [[began to see the light]] and understood the concept","As the sun rose, she [[began to see the light]] streaming through the window","After hours of studying, he finally began to see the light and understood the concept","As the sun rose, she began to see the light streaming through the window",began to see the light,몇 시간의 공부 끝에 그는 마침내 [[깨달음을 얻고]] 개념을 이해하기 [[시작했습니다]],태양이 떠오르자 그녀는 창문을 통해 [[흐르는 빛을 보았습니다]],몇 시간의 공부 끝에 그는 마침내 깨달음을 얻고 개념을 이해하기 시작했습니다,태양이 떠오르자 그녀는 창문을 통해 흐르는 빛을 보았습니다,깨달음을 얻고 시작했습니다,흐르는 빛을 보았습니다,经过了数小时的学习，他终于[[看到了曙光]]，弄懂了那个概念。,当太阳升起来时，她[[开始看到阳光]]穿过窗户照射进来。,经过了数小时的学习，他终于看到了曙光，弄懂了那个概念。,当太阳升起来时，她开始看到阳光穿过窗户照射进来。,看到了曙光,开始看到阳光
behind closed doors,in clandestine,The board members discussed the matter [[behind closed doors]] to maintain confidentiality,"They stood [[behind closed doors]] while discussing the matter, as the room was too noisy",The board members discussed the matter behind closed doors to maintain confidentiality,"They stood behind closed doors while discussing the matter, as the room was too noisy",behind closed doors,이사회 구성원들은 기밀성을 유지하기 위해 문제를 [[비밀리에]] 논의했습니다,그들은 방이 너무 시끄러워지자 토론을 하는 동안 [[닫힌 문 뒤에]] 서있었습니다,이사회 구성원들은 기밀성을 유지하기 위해 문제를 비밀리에 논의했습니다,그들은 방이 너무 시끄러워지자 토론을 하는 동안 닫힌 문 뒤에 서있었습니다,비밀리에,닫힌 문 뒤에,出于保密原因，董事会成员们[[秘密地]]讨论了这项事宜。,外面房间太吵了，所以他们[[关起门来]]对这项事宜进行了讨论。,出于保密原因，董事会成员们秘密地讨论了这项事宜。,外面房间太吵了，所以他们关起门来对这项事宜进行了讨论。,秘密地,关起门来
being bouncing off the walls,excited and full of nervous energy,The kids were [[bouncing off the walls]] after eating too much candy,The rubber ball kept [[bouncing off the walls]] in the small room,The kids were bouncing off the walls after eating too much candy,The rubber ball kept bouncing off the walls in the small room,bouncing off the walls,아이들은 너무 많은 사탕을 먹고 난 뒤 [[몹시 흥분해 있었습니다]],작은 방 안에서 고무 공은 계속해서 [[벽에 튕겨졌습니다]],아이들은 너무 많은 사탕을 먹고 난 뒤 몹시 흥분해 있었습니다,작은 방 안에서 고무 공은 계속해서 벽에 튕겨졌습니다,몹시 흥분해 있었습니다,벽에 튕겨졌습니다,孩子们在吃了太多糖果后[[欢呼雀跃]]。,橡胶球在小房间的[[墙壁间]]不停地[[弹跳]]。,孩子们在吃了太多糖果后欢呼雀跃。,橡胶球在小房间的墙壁间不停地弹跳。,欢呼雀跃,墙壁间 弹跳
bend over backwards,do all in one's power (usually to achieve something or accommodate somebody),I always [[bend over backwards for them]] to make sure they're happy,"During the yoga class, we had to [[bend over backwards for them]] to demonstrate the pose",I always bend over backwards for them to make sure they're happy,"During the yoga class, we had to bend over backwards for them to demonstrate the pose",bend over backwards for them,저는 항상 그들이 행복을 확인하기 위해 [[안간힘을 씁니다]],요가 수업 동안 우리는 자세를 시범으로 보이기 위해 [[허리를 숙였습니다]],저는 항상 그들이 행복을 확인하기 위해 안간힘을 씁니다,요가 수업 동안 우리는 자세를 시범으로 보이기 위해 허리를 숙였습니다,안간힘을 씁니다,허리를 숙였습니다,为了确保他们快乐，我总是[[全力以赴]]。,在瑜伽课上，我们通过[[向后折叠身体]]来演示这个动作。,为了确保他们快乐，我总是全力以赴。,在瑜伽课上，我们通过向后折叠身体来演示这个动作。,全力以赴,向后折叠身体
bent out of shape,to become angry.,He [[got bent out of shape]] when he found out his favorite band was sold out,The metal rod [[got bent out of shape]] after the car accident,He got bent out of shape when he found out his favorite band was sold out,The metal rod got bent out of shape after the car accident,got bent out of shape,그는 자신이 가장 좋아하는 밴드의 티켓이 매진되었다는 사실을 알고 [[몹시 화가 났습니다]],자동차 사고 이후 금속 막대의 [[형태가 찌그러졌습니다]],그는 자신이 가장 좋아하는 밴드의 티켓이 매진되었다는 사실을 알고 몹시 화가 났습니다,자동차 사고 이후 금속 막대의 형태가 찌그러졌습니다,몹시 화가 났습니다,형태가 찌그러졌습니다,听说喜爱的乐队票卖光了，他[[勃然大怒]]。,那根金属杆在车祸中被撞得[[弯曲变了形]]。,听说喜爱的乐队票卖光了，他勃然大怒。,那根金属杆在车祸中被撞得弯曲变了形。,勃然大怒,弯曲变了形
bent your ears,to talk to someone for a very long time about something boring,The speaker [[bent their ears]] with his captivating stories,The strong wind [[bent their ears]] as they walked through the storm,The speaker bent their ears with his captivating stories,The strong wind bent their ears as they walked through the storm,bent their ears,발표자는 그의 매혹적인 이야기로 [[오랜 시간동안 말을 이어나갔습니다]],그들이 폭풍을 뚫고 걸어가자 강력한 바람이 그들의 [[귀를 휘어지게 했습니다]],발표자는 그의 매혹적인 이야기로 오랜 시간동안 말을 이어나갔습니다,그들이 폭풍을 뚫고 걸어가자 강력한 바람이 그들의 귀를 휘어지게 했습니다,오랜 시간동안 말을 이어나갔습니다,귀를 휘어지게 했습니다,演讲者用他精彩的故事[[征服了听众]]。,在穿越风暴时，狂风[[吹弯了他们的耳朵]]。,演讲者用他精彩的故事征服了听众。,在穿越风暴时，狂风吹弯了他们的耳朵。,征服了听众,吹弯了他们的耳朵
bet on the wrong horse,support a person or thing that ultimately fails,[[She bet on the wrong horse]] when she chose to invest in that failing company,"At the racetrack, [[she bet on the wrong horse]] and lost her money",She bet on the wrong horse when she chose to invest in that failing company,"At the racetrack, she bet on the wrong horse and lost her money",She bet on the wrong horse,그녀는 실패한 회사에 투자를 함으로써 [[잘못된 선택을 했습니다]],경마장에서 그녀는 [[잘못된 말에 돈을 걸었고]] 돈을 잃었습니다,그녀는 실패한 회사에 투자를 함으로써 잘못된 선택을 했습니다,경마장에서 그녀는 잘못된 말에 돈을 걸었고 돈을 잃었습니다,잘못된 선택을 했습니다,잘못된 말에 돈을 걸었고,当她选择投资那个即将倒闭的公司时，[[她押错了宝]]。,在赛马场，[[她押注了错误的马匹]]，输了她的赌注。,当她选择投资那个即将倒闭的公司时，她押错了宝。,在赛马场，她押注了错误的马匹，输了她的赌注。,她押错了宝,她押注了错误的马匹
between a rock and a hard place,having two very bad choices,He was [[caught between a rock and a hard place]] when he had to choose between his job and his family,"While hiking, she found herself [[caught between a rock and a hard place]] in a narrow passage",He was caught between a rock and a hard place when he had to choose between his job and his family,"While hiking, she found herself caught between a rock and a hard place in a narrow passage",caught between a rock and a hard place,그는 자신의 일과 가족 중 하나를 골라야하는 [[곤란한 처지에 놓였습니다]],등산 도중 그녀는 좁은 통로에서 [[암석과 단단한 무언가에 갇혀 움직이지 못하게 되었습니다]],그는 자신의 일과 가족 중 하나를 골라야하는 곤란한 처지에 놓였습니다,등산 도중 그녀는 좁은 통로에서 암석과 단단한 무언가에 갇혀 움직이지 못하게 되었습니다,곤란한 처지에 놓였습니다,암석과 단단한 무언가에 갇혀 움직이지 못하게 되었습니다,他在工作和家庭之间[[难以取舍]]。,在徒步时，她在一个狭窄的通道里[[被一块岩石和一条困难的路径卡住了]]。,他在工作和家庭之间难以取舍。,在徒步时，她在一个狭窄的通道里被一块岩石和一条困难的路径卡住了。,难以取舍,被一块岩石和一条困难的路径卡住了
beyond the veil,"In an inexplicable or concealed place or condition, especially the mysterious state of existence after death.",The psychic claimed [[she looked beyond the veil]] and communicated with spirits,"Standing in front of the window, [[she looked beyond the veil]] and saw the beautiful garden",The psychic claimed she looked beyond the veil and communicated with spirits,"Standing in front of the window, she looked beyond the veil and saw the beautiful garden",she looked beyond the veil,예언자는 [[그녀가 저승을 볼 수 있고]] 영혼과 대화할 수 있다고 주장했습니다,창문 앞에 서서 [[그녀는 베일 저편을 바라보다가]] 아름다운 정원을 발견했습니다,예언자는 그녀가 저승을 볼 수 있고 영혼과 대화할 수 있다고 주장했습니다,창문 앞에 서서 그녀는 베일 저편을 바라보다가 아름다운 정원을 발견했습니다,그녀가 저승을 볼 수 있고,그녀는 베일 저편을 바라보다가,那位通灵者称[[她揭开了神秘的面纱]]并与灵魂进行了交流。,[[她]]站在窗前[[透过纱窗]]看到了美丽的花园。,那位通灵者称她揭开了神秘的面纱并与灵魂进行了交流。,她站在窗前透过纱窗看到了美丽的花园。,她揭开了神秘的面纱,她 透过纱窗
