idiom,meaning,s_f_brkt,s_l_brkt,s_f,s_l,s_a,t_f_brkt_ko,t_l_brkt_ko,t_f_ko,t_l_ko,t_f_a_ko,t_l_a_ko,t_f_brkt_zh,t_l_brkt_zh,t_f_zh,t_l_zh,t_f_a_zh,t_l_a_zh,p_f_ko_gpt4,p_l_ko_gpt4,p_a_ko_gpt4,p_f_ko_nllb,p_l_ko_nllb,p_a_ko_nllb
back against the wall,to be in a tough situation with limited options,"With no other options left, [[he had his back against the wall]] and had to make a decision",[[He had his back against the wall]] while waiting for the elevator,"With no other options left, he had his back against the wall and had to make a decision",He had his back against the wall while waiting for the elevator,he had his back against the wall,다른 선택이 없기에 [[그는 궁지에 몰린 채로]] 결정을 내려야만 했습니다,[[그는]] 엘리베이터를 기다리는 동안 [[벽에 등을 기대고 있었습니다]],다른 선택이 없기에 그는 궁지에 몰린 채로 결정을 내려야만 했습니다,그는 엘리베이터를 기다리는 동안 벽에 등을 기대고 있었습니다,그는 궁지에 몰린 채로,그는 벽에 등을 기대고 있었습니다,在选择耗尽后，他[[被逼到墙角]]，必须做出抉择,他在等电梯时把[[背靠着墙壁上]],在选择耗尽后，他被逼到墙角，必须做出抉择,他在等电梯时把背靠着墙壁上,被逼到墙角,背靠着墙壁上,다른 선택지가 없어 벽에 등을 맞대고 결정을 내려야 했다.,그는 엘리베이터를 기다리는 동안 벽에 등을 기댔습니다.,그는 벽에 등을 기대고 있었다.,다른 선택지가 없어서 그는 벽에 뒤집어 결정해야 했습니다,엘리베이터를 기다리는 동안 벽에 뒤집어 있었다,그는 벽에 등을 고 있었다
back the wrong horse,to make the wrong decision and support a person or action that is later unsuccessful,[[She backed the wrong horse]] when she supported the losing candidate,"At the racetrack, [[she backed the wrong horse]] and lost her bet",She backed the wrong horse when she supported the losing candidate,"At the racetrack, she backed the wrong horse and lost her bet",She backed the wrong horse,그녀는 지는 후보를 지지하는 [[잘못된 선택을 했습니다]],"경마장에서 [[그녀는 잘못된 말에 돈을 걸었고]], 그 돈을 잃었습니다",그녀는 지는 후보를 지지하는 잘못된 선택을 했습니다,"경마장에서 그녀는 잘못된 말에 돈을 걸었고, 그 돈을 잃었습니다",잘못된 선택을 했습니다,그녀는 잘못된 말에 돈을 걸었고,她[[站错了队]]，支持了失败的候选人。,她在赛马场[[押注了错误的马匹]]，因而输掉了赌注。,她站错了队，支持了失败的候选人。,她在赛马场押注了错误的马匹，因而输掉了赌注。,站错了队,押注了错误的马匹,"그녀가 패배한 후보를 지지했을 때, 그녀는 잘못된 말을 밀어붙였다.",경마장에서 그녀는 잘못된 말에 내기를 했고 그 베팅을 잃었습니다.,그녀는 잘못된 말을 응원했다.,그녀는 패배한 후보를 지지하면서 잘못된 말을 지지했습니다,"레이스 트랙에서, 그녀는 잘못된 말을 뒷받침하고 내기를 잃었습니다",그녀는 잘못된 말을 지지했다
backroom boy(s),people who work in anonymity,The company's success was largely due to [[the backroom boys]] who worked tirelessly behind the scenes,"In the storage area, [[the backroom boys]] were busy organizing and restocking shelves",The company's success was largely due to the backroom boys who worked tirelessly behind the scenes,"In the storage area, the backroom boys were busy organizing and restocking shelves",the backroom boys,회사의 성공은 대부분 뒤에서 끊임없이 일하는 [[막후의 인물들]] 덕분이었습니다,창고에서 [[재고 담당 일꾼]]들은 열심히 재고를 정리하고 다시 채우는 데 바빴습니다,회사의 성공은 대부분 뒤에서 끊임없이 일하는 막후의 인물들 덕분이었습니다,창고에서 재고 담당 일꾼들은 열심히 재고를 정리하고 다시 채우는 데 바빴습니다,막후의 인물들,재고 담당 일꾼,对于这家公司的成功，那些[[幕后工作者们]]功不可没，他们在幕后不知疲倦地工作。,[[后勤人员]]正在储藏区辛苦地整理和填充货架。,对于这家公司的成功，那些幕后工作者们功不可没，他们在幕后不知疲倦地工作。,后勤人员正在储藏区辛苦地整理和填充货架。,幕后工作者们,后勤人员,회사의 성공은 주로 뒷방에서 끊임없이 일하는 뒷방 소년들 덕분이었습니다.,창고에서는 뒷방 직원들이 선반 정리와 재고 보충에 분주했습니다.,백룸 보이들,이 회사의 성공은 대부분 배후 방에서 끊임없이 활동한 소년들 때문이었습니다.,저장소 에 있는 소년 들 은 뒤방 에 있는 창고 를 정리 하고 재충전 하는 일 에 바쁘게 일렀습니다,뒷방 소년들
bad egg,someone who fails to meet expectations,"Despite his charming demeanor, he [[turned out to be a bad egg]] in the company",The carton of eggs we bought [[turned out to be a bad egg]] when we cracked it open,"Despite his charming demeanor, he turned out to be a bad egg in the company",The carton of eggs we bought turned out to be a bad egg when we cracked it open,turned out to be a bad egg,매력적인 품행에도 불구하고 그는 회사에서 [[믿지 못할 나쁜 사람으로 드러났습니다]],달걀을 깨서 열자 우리가 샀던 달걀판이 [[나쁜 달걀이었다는 것으로 드러났습니다]],매력적인 품행에도 불구하고 그는 회사에서 믿지 못할 나쁜 사람으로 드러났습니다,달걀을 깨서 열자 우리가 샀던 달걀판이 나쁜 달걀이었다는 것으로 드러났습니다,믿지 못할 나쁜 사람으로 드러났습니다,나쁜 달걀이었다는 것으로 드러났습니다,尽管他的行为举止很有魅力，[[事实证明他不]]是公司的一名[[称职]]员工。,当我们把买来的鸡蛋敲开时，[[发现它们变质了]]。,尽管他的行为举止很有魅力，事实证明他不是公司的一名称职员工。,当我们把买来的鸡蛋敲开时，发现它们变质了。,事实证明他不 称职,发现它们变质了,"그의 매력적인 태도에도 불구하고, 그는 회사에서 나쁜 놈으로 밝혀졌다.",우리가 산 계란 판이 깨뜨렸을 때 나쁜 계란이었던 것으로 드러났습니다.,결국 나쁜 놈이었다,매력적인 행동에도 불구하고 그는 회사에서 나쁜 계란으로 밝혀졌습니다.,우리가 샀던 계란 박스는 우리가 깨고 나면 나쁜 계란이 된 것 같았습니다.,난 나쁜 알이 된 것 같네요
ball and chain,a burden or problem that ties you down and prevents you from doing what you want,He felt like he [[was carrying a ball and chain]] with his overwhelming responsibilities,The prisoner [[was carrying a ball and chain]] as a part of his punishment,He felt like he was carrying a ball and chain with his overwhelming responsibilities,The prisoner was carrying a ball and chain as a part of his punishment,was carrying a ball and chain,그는 막중한 책임으로 인해 자신을 [[구속하는 짐을 짊어지고 있는 것]] 같다고 느꼈습니다,죄수는 처벌의 일부로 [[공과 사슬을 옮기고 있었습니다]],그는 막중한 책임으로 인해 자신을 구속하는 짐을 짊어지고 있는 것 같다고 느꼈습니다,죄수는 처벌의 일부로 공과 사슬을 옮기고 있었습니다,구속하는 짐을 짊어지고 있는 것,공과 사슬을 옮기고 있었습니다,他感觉自己就像[[身背千钧重负]]，因为他肩负了太多责任。,这名囚犯身负[[铁球和铁链]]，作为对他惩罚的一部分。,他感觉自己就像身背千钧重负，因为他肩负了太多责任。,这名囚犯身负铁球和铁链，作为对他惩罚的一部分。,身背千钧重负,铁球和铁链,그는 압도적인 책임 때문에 족쇄와 공을 끌고 다니는 것 같았다.,수감자는 처벌의 일환으로 볼과 체인을 짊어지고 있었다.,공과 사슬을 들고 있었다.,그는 자신의 압도적인 책임과 함께 공과 연쇄를 가지고 있는 것처럼 느꼈습니다.,죄수는 형벌의 일부로 공과 연쇄를 들고 있었습니다.,공과 사슬을 들고 있었다
bare bones,most basic and important elements or facts,"During the meeting, she [[presented the bare bones]] of the project plan",The archaeologist [[presented the bare bones]] of the ancient skeleton,"During the meeting, she presented the bare bones of the project plan",The archaeologist presented the bare bones of the ancient skeleton,presented the bare bones,회의 도중 그녀는 프로젝트 계획의 [[기본적인 틀을 제시했습니다]],고고학자는 고대 골격의 [[맨뼈를 보였습니다]],회의 도중 그녀는 프로젝트 계획의 기본적인 틀을 제시했습니다,고고학자는 고대 골격의 맨뼈를 보였습니다,기본적인 틀을 제시했습니다,맨뼈를 보였습니다,她在会议中[[展示了]]项目计划的[[精髓]]。,考古学家[[展示了]]古代尸骸的[[裸露的骨头]]。,她在会议中展示了项目计划的精髓。,考古学家展示了古代尸骸的裸露的骨头。,展示了 精髓,展示了 裸露的骨头,회의 중에 그녀는 프로젝트 계획의 기본 골격을 제시했습니다.,고고학자는 고대 골격의 베어 본을 제시했다.,기본 골격을 제시했다.,회의 중에 그녀는 프로젝트 계획의 헐골 뼈를 제시했습니다.,고고학자 는 고대 골격 의 맨골 을 제시 하였다,맨몸의 뼈를 제시하였으니
bark up the wrong tree,waste one's efforts by pursuing the wrong thing or path,Accusing her of stealing the documents [[was barking up the wrong tree]],"The confused dog [[was barking up the wrong tree]], as the squirrel had already moved to another one",Accusing her of stealing the documents was barking up the wrong tree,"The confused dog was barking up the wrong tree, as the squirrel had already moved to another one",was barking up the wrong tree,그녀를 문서 도용 혐의로 몰아붙이는 것은 [[엉뚱한 사람을 잘못 짚은 것이었습니다]],다른 나무로 다람쥐가 옮겨가자 혼란에 빠진 개는 [[잘못된 나무를 향해 짖고 있었습니다]],그녀를 문서 도용 혐의로 몰아붙이는 것은 엉뚱한 사람을 잘못 짚은 것이었습니다,다른 나무로 다람쥐가 옮겨가자 혼란에 빠진 개는 잘못된 나무를 향해 짖고 있었습니다,엉뚱한 사람을 잘못 짚은 것이었습니다,잘못된 나무를 향해 짖고 있었습니다,对她盗窃文档的指控是[[南辕北辙]]的。,那条迷惑的狗[[正朝着错误的树狂吠]]，因为那只松鼠已经跑到另一棵树上了。,对她盗窃文档的指控是南辕北辙的。,那条迷惑的狗正朝着错误的树狂吠，因为那只松鼠已经跑到另一棵树上了。,南辕北辙,正朝着错误的树狂吠,그녀를 문서 훔치기로 몰아붙이는 것은 잘못된 나무에 짖는 것이었다.,혼란스러운 개는 다른 나무로 옮겨간 다람쥐 때문에 잘못된 나무에 짖고 있었다.,잘못된 나무에 짖고 있었다.,서류를 훔쳤다고 비난하는 것은 잘못된 나무를 짖는 것이었습니다,"혼란스러운 개는 잘못된 나무를 짖고 있었는데, 스카이어는 이미 다른 나무로 이동했기 때문에",잘못된 나무를 짖고 있었다
bats in the belfry,to be silly and slightly crazy and behave in a confused way,His wild theories and peculiar behavior made others think he [[had bats in the belfry]],The old church tower [[had bats in the belfry]] that flew out at dusk,His wild theories and peculiar behavior made others think he had bats in the belfry,The old church tower had bats in the belfry that flew out at dusk,had bats in the belfry,그의 거침없는 이론과 기행적인 행실은 사람들로 하여금 그가 [[정신이 이상하다고]] 생각하게 만들었습니다,오래된 교회 탑에는 매 황혼마다 날아오르는 [[박쥐가 종탑에]] 있었습니다,그의 거침없는 이론과 기행적인 행실은 사람들로 하여금 그가 정신이 이상하다고 생각하게 만들었습니다,오래된 교회 탑에는 매 황혼마다 날아오르는 박쥐가 종탑에 있었습니다,정신이 이상하다고,박쥐가 종탑에,他那些荒诞的理论和奇怪的举止令人觉得他[[脑子进水了]]。,那幢老教堂的[[钟楼里有一些蝙蝠]]，它们会在黄昏时飞走。,他那些荒诞的理论和奇怪的举止令人觉得他脑子进水了。,那幢老教堂的钟楼里有一些蝙蝠，它们会在黄昏时飞走。,脑子进水了,钟楼里有一些蝙蝠,그의 난폭한 이론과 특이한 행동으로 인해 다른 사람들은 그가 정신이 혼란스러운 것 같다고 생각했다.,오래된 교회 탑에는 해질 무렵 날아오르는 박쥐들이 종소리를 울리는 곳에 있었습니다.,나팔수리가 종각에 있었다.,그의 야생 이론과 특이한 행동은 다른 사람들이 그가 벨파리에서 박쥐를 가지고 있다고 생각하게 했습니다,오래된 교회 탑에는 밤새 날아가던 박쥐들이 있었다,벨파리에는 박쥐가 있었다
batten down the hatches,to get ready for trouble,"When the company announced layoffs, employees had [[to batten down the hatches]] and prepare for the worst","As the storm approached, the sailors rushed [[to batten down the hatches]] on the ship","When the company announced layoffs, employees had to batten down the hatches and prepare for the worst","As the storm approached, the sailors rushed to batten down the hatches on the ship",to batten down the hatches,회사가 감원을 발표하자 직원들은 [[위기에 대비하여]] 최악의 사태를 고려해두어야 했습니다,폭풍이 다가오자 선원들은 서둘러 [[배의 갑판을 단단히 고정했습니다]],회사가 감원을 발표하자 직원들은 위기에 대비하여 최악의 사태를 고려해두어야 했습니다,폭풍이 다가오자 선원들은 서둘러 배의 갑판을 단단히 고정했습니다,위기에 대비하여,배의 갑판을 단단히 고정했습니다,当公司宣布裁员时，员工们需要[[做好心理准备]]，并做好最坏的打算。,当风暴接近时，水手们忙着去[[钉上]]船上的[[扣板并密闭舱口]]。,当公司宣布裁员时，员工们需要做好心理准备，并做好最坏的打算。,当风暴接近时，水手们忙着去钉上船上的扣板并密闭舱口。,做好心理准备,钉上 扣板并密闭舱口,"회사가 인원 감축을 발표했을 때, 직원들은 최악의 상황에 대비하여 대비를 갖추어야 했습니다.",폭풍이 다가오자 선원들은 배의 갑판을 빨리 단단히 고정하기 위해 서두르기 시작했다.,갑판을 덮다,회사에서 해고 발표를 했을 때 직원들은 뚜을 꺾고 최악의 상황에 대비해야 했습니다.,폭풍이 다가오자 선원들은 배를 뚫고 을 기 위해 달려갔다.,뚜을 을 때려
be on a collision course,doing or saying things which are certain to cause a serious disagreement or a fight between them.,Their opposing political views put them [[on a collision course with each other]],"The two ships, sailing at full speed, were [[on a collision course with each other]]",Their opposing political views put them on a collision course with each other,"The two ships, sailing at full speed, were on a collision course with each other",on a collision course with each other,그들의 대립적인 정치적 견해는 [[그들의 의견 충돌을 불가피하게]] 했습니다,최고 속도로 항해하는 두 척의 배는 [[서로 충돌하는 경로에]] 있었습니다,그들의 대립적인 정치적 견해는 그들의 의견 충돌을 불가피하게 했습니다,최고 속도로 항해하는 두 척의 배는 서로 충돌하는 경로에 있었습니다,그들의 의견 충돌을 불가피하게,서로 충돌하는 경로에,对立的政治观念让他们[[势如水火]]。,两艘船正[[在即将相撞的航线上]]全速行驶。,对立的政治观念让他们势如水火。,两艘船正在即将相撞的航线上全速行驶。,势如水火,在即将相撞的航线上,그들의 대립하는 정치적 견해로 인해 서로 충돌하는 길에 올랐다.,두 척의 배가 최고 속도로 항해하며 서로 충돌 코스에 있었습니다.,서로 충돌하는 코스에 있습니다.,그들의 반대 정치 견해 는 그들을 서로 충돌하는 방향으로 이끌었습니다,"두 배는 빠른 속도로 항해하고 있었고, 서로 충돌하는 궤도에 있었습니다.",서로 충돌하는 궤도에
beat around the bush,avoid talking about the main topic,"If you have something to say, just [[stop beating around the bush]] and tell me","If you want to trim the garden, [[stop beating around the bush]] and start cutting it","If you have something to say, just stop beating around the bush and tell me","If you want to trim the garden, stop beating around the bush and start cutting it",stop beating around the bush,"당신이 말하고 싶은 것이 있다면, [[요점을 피하지 말고]] 곧이 곧대로 말해주십시오",당신이 정원을 다듬고 싶다면 [[덤불 언저리를 두들기는 것을 멈추고]] 곧바로 자르기 시작하십시오,"당신이 말하고 싶은 것이 있다면, 요점을 피하지 말고 곧이 곧대로 말해주십시오",당신이 정원을 다듬고 싶다면 덤불 언저리를 두들기는 것을 멈추고 곧바로 자르기 시작하십시오,요점을 피하지 말고,덤불 언저리를 두들기는 것을 멈추고,你有话直说，不要[[东拉西扯]]。,如果你想修剪花园，就开始给那些[[灌木]]剪枝吧，[[别再捶打它们了]]。,你有话直说，不要东拉西扯。,如果你想修剪花园，就开始给那些灌木剪枝吧，别再捶打它们了。,东拉西扯,灌木 别再捶打它们了,"말하고 싶은 게 있다면, 둘러대지 말고 그냥 말해요.","정원을 다듬고 싶다면, 더 이상 말장난을 하지 말고 잘라 시작하세요.",둘레를 돌지 말고 바로 말해.,"만약 당신이 말할 것이 있다면, 그냥 덤불에 박을 것을 멈추고 말해","정원을 잘라보고 싶다면, 덤불을 꺾고 잘라라",을 지 말고
beat the drum,to speak eagerly about something you support,He tirelessly [[beat the drum for the cause]] to raise awareness about climate change,The musician [[beat the drum for the cause]] during the charity concert,He tirelessly beat the drum for the cause to raise awareness about climate change,The musician beat the drum for the cause during the charity concert,beat the drum for the cause,그는 기후 변화에 대한 인식을 높이기 위해 지치지 않고 [[홍보를 계속했습니다]],음악가는 자선 콘서트 동안 [[대의를 위해 북을 울렸습니다]],그는 기후 변화에 대한 인식을 높이기 위해 지치지 않고 홍보를 계속했습니다,음악가는 자선 콘서트 동안 대의를 위해 북을 울렸습니다,홍보를 계속했습니다,대의를 위해 북을 울렸습니다,他孜孜不倦地为唤醒大家对气候变化的意识而[[大声疾呼]]。,这名音乐工作者在慈善音乐会中负责[[敲鼓]]。,他孜孜不倦地为唤醒大家对气候变化的意识而大声疾呼。,这名音乐工作者在慈善音乐会中负责敲鼓。,大声疾呼,敲鼓,그는 기후 변화에 대한 인식을 높이기 위한 목적을 위해 지치지 않고 북을 두드렸다.,음악가는 자선 콘서트 동안 그 원인을 위해 북을 쳤다.,사명을 위해 북을 두드려라,그는 기후변화에 대한 관심을 높이기 위해 끊임없이 드럼을 부딪혔습니다.,음악가 가사는 자선 콘서트에서 원인을 위해 드러름을 치었습니다,원인을 위해 드럼을 치라
bee in bonnet,be possessed with one thought or scheme,She [[had a bee in her bonnet]] about the new policy changes,"During the picnic, she accidentally [[had a bee in her bonnet]] and panicked",She had a bee in her bonnet about the new policy changes,"During the picnic, she accidentally had a bee in her bonnet and panicked",had a bee in her bonnet,그녀는 새로운 정책 변경에 대한 [[생각에 사로잡혀 있었습니다]],소풍 도중 그녀는 어쩌다 [[모자 안에 벌이 들어가자]] 당황하여 어쩔 줄을 몰라했습니다,그녀는 새로운 정책 변경에 대한 생각에 사로잡혀 있었습니다,소풍 도중 그녀는 어쩌다 모자 안에 벌이 들어가자 당황하여 어쩔 줄을 몰라했습니다,생각에 사로잡혀 있었습니다,모자 안에 벌이 들어가자,她对新的政策变化[[耿耿于怀]]。,在野餐时，[[一只]]意外[[出现在她帽子里的蜜蜂]]使她感到惊慌。,她对新的政策变化耿耿于怀。,在野餐时，一只意外出现在她帽子里的蜜蜂使她感到惊慌。,耿耿于怀,一只 出现在她帽子里的蜜蜂,그녀는 새로운 정책 변경에 대해 머리에 벌을 두었다.,소풍 중에 그녀는 실수로 모자 안에 벌이 들어가자 당황했습니다.,그녀는 머리에 벌이 있었다.,그녀는 새로운 정책 변경에 대해 그녀의 모자를 가지고 있었다,피크닉 중에 그녀는 우연히 꿀벌을 모자 안에 넣고 공황을 겪었습니다,그 모자 안에 벌이 있었다
been tailor made,specially made for a particular purpose,The job opportunity [[has been tailor made]] for her skills and experience,The suit [[has been tailor made]] to fit his measurements perfectly,The job opportunity has been tailor made for her skills and experience,The suit has been tailor made to fit his measurements perfectly,has been tailor made,그 취업 기회는 그녀의 기술과 경험에 [[안성맞춤이었습니다]],이 정장은 그의 치수에 완벽하게 맞도록 [[맞춤 제작되었습니다]],그 취업 기회는 그녀의 기술과 경험에 안성맞춤이었습니다,이 정장은 그의 치수에 완벽하게 맞도록 맞춤 제작되었습니다,안성맞춤이었습니다,맞춤 제작되었습니다,这个工作机会是为她的技能和经验[[量身定做]]的。,这套西装[[是裁衣匠]]根据他的尺寸[[量身定做的]]。,这个工作机会是为她的技能和经验量身定做的。,这套西装是裁衣匠根据他的尺寸量身定做的。,量身定做,是裁衣匠 量身定做的,그녀의 기술과 경험에 맞춤 제작된 채용 기회가 있습니다.,이 정장은 그의 치수에 완벽하게 맞추기 위해 맞춤 제작되었습니다.,맞춤 제작되었습니다,그 직업 기회는 그녀의 기술과 경험에 맞게 만들어졌습니다.,그 옷은 그의 크기에 완벽하게 맞게 맞게 만들어졌습니다.,맞춤형으로 제작되었습니다
begun to see the light,to suddenly begin to understand,"After hours of studying, he finally [[began to see the light]] and understood the concept","As the sun rose, she [[began to see the light]] streaming through the window","After hours of studying, he finally began to see the light and understood the concept","As the sun rose, she began to see the light streaming through the window",began to see the light,몇 시간의 공부 끝에 그는 마침내 [[깨달음을 얻고]] 개념을 이해하기 [[시작했습니다]],태양이 떠오르자 그녀는 창문을 통해 [[흐르는 빛을 보았습니다]],몇 시간의 공부 끝에 그는 마침내 깨달음을 얻고 개념을 이해하기 시작했습니다,태양이 떠오르자 그녀는 창문을 통해 흐르는 빛을 보았습니다,깨달음을 얻고 시작했습니다,흐르는 빛을 보았습니다,经过了数小时的学习，他终于[[看到了曙光]]，弄懂了那个概念。,当太阳升起来时，她[[开始看到阳光]]穿过窗户照射进来。,经过了数小时的学习，他终于看到了曙光，弄懂了那个概念。,当太阳升起来时，她开始看到阳光穿过窗户照射进来。,看到了曙光,开始看到阳光,"공부를 몇 시간 한 뒤에, 그는 마침내 이해하기 시작했고 개념을 이해했습니다.","태양이 떠오르자, 그녀는 창문을 통해 들어오는 빛이 흐르는 것을 보기 시작했다.",빛을 보기 시작했다,"몇 시간 연구 후, 그는 마침내 빛을 보기 시작했고, 그 개념을 이해했습니다.",태양이 떠오르면서 그녀는 창문에서 빛의 흐름을 보기 시작했습니다,빛을 보기 시작했어요
behind closed doors,in clandestine,The board members discussed the matter [[behind closed doors]] to maintain confidentiality,"They stood [[behind closed doors]] while discussing the matter, as the room was too noisy",The board members discussed the matter behind closed doors to maintain confidentiality,"They stood behind closed doors while discussing the matter, as the room was too noisy",behind closed doors,이사회 구성원들은 기밀성을 유지하기 위해 문제를 [[비밀리에]] 논의했습니다,그들은 방이 너무 시끄러워지자 토론을 하는 동안 [[닫힌 문 뒤에]] 서있었습니다,이사회 구성원들은 기밀성을 유지하기 위해 문제를 비밀리에 논의했습니다,그들은 방이 너무 시끄러워지자 토론을 하는 동안 닫힌 문 뒤에 서있었습니다,비밀리에,닫힌 문 뒤에,出于保密原因，董事会成员们[[秘密地]]讨论了这项事宜。,外面房间太吵了，所以他们[[关起门来]]对这项事宜进行了讨论。,出于保密原因，董事会成员们秘密地讨论了这项事宜。,外面房间太吵了，所以他们关起门来对这项事宜进行了讨论。,秘密地,关起门来,이사회 구성원들은 기밀성을 유지하기 위해 문을 닫고 그 문제를 논의했습니다.,그들은 이 문제를 논의하면서 방이 너무 시끄러워서 닫힌 문 뒤에 서 있었습니다.,문이 닫힌 뒤에,이사회 구성원들은 비밀유지를 위해 문을 닫은 뒤에서 이 문제를 논의했습니다,방이 너무 험난해서 문을 닫고 이야기를 나누는 동안 그들은 서 있었습니다,닫힌 문 뒤에
being bouncing off the walls,excited and full of nervous energy,The kids were [[bouncing off the walls]] after eating too much candy,The rubber ball kept [[bouncing off the walls]] in the small room,The kids were bouncing off the walls after eating too much candy,The rubber ball kept bouncing off the walls in the small room,bouncing off the walls,아이들은 너무 많은 사탕을 먹고 난 뒤 [[몹시 흥분해 있었습니다]],작은 방 안에서 고무 공은 계속해서 [[벽에 튕겨졌습니다]],아이들은 너무 많은 사탕을 먹고 난 뒤 몹시 흥분해 있었습니다,작은 방 안에서 고무 공은 계속해서 벽에 튕겨졌습니다,몹시 흥분해 있었습니다,벽에 튕겨졌습니다,孩子们在吃了太多糖果后[[欢呼雀跃]]。,橡胶球在小房间的[[墙壁间]]不停地[[弹跳]]。,孩子们在吃了太多糖果后欢呼雀跃。,橡胶球在小房间的墙壁间不停地弹跳。,欢呼雀跃,墙壁间 弹跳,사탕을 너무 많이 먹은 후에 아이들은 벽에서 튀어 다녔어요.,작은 방에서 고무공이 계속 벽에 부딪혀 튀어오르고 있었다.,벽에서 튕기다,아이들이 너무 많은 과자를 먹은 후 벽에서 뛰어내렸습니다.,작은 방의 벽에서 고무 공이 계속 뛰어나,벽에서 뛰어내리는
bend over backwards,do all in one's power (usually to achieve something or accommodate somebody),I always [[bend over backwards for them]] to make sure they're happy,"During the yoga class, we had to [[bend over backwards for them]] to demonstrate the pose",I always bend over backwards for them to make sure they're happy,"During the yoga class, we had to bend over backwards for them to demonstrate the pose",bend over backwards for them,저는 항상 그들이 행복을 확인하기 위해 [[안간힘을 씁니다]],요가 수업 동안 우리는 자세를 시범으로 보이기 위해 [[허리를 숙였습니다]],저는 항상 그들이 행복을 확인하기 위해 안간힘을 씁니다,요가 수업 동안 우리는 자세를 시범으로 보이기 위해 허리를 숙였습니다,안간힘을 씁니다,허리를 숙였습니다,为了确保他们快乐，我总是[[全力以赴]]。,在瑜伽课上，我们通过[[向后折叠身体]]来演示这个动作。,为了确保他们快乐，我总是全力以赴。,在瑜伽课上，我们通过向后折叠身体来演示这个动作。,全力以赴,向后折叠身体,나는 항상 그들이 행복한지 확인하기 위해 뒤로 굽힌다.,"요가 수업 동안, 우리는 그들이 자세를 보여주기 위해 뒤로 굽혀야 했습니다.",그들을 위해 뒤로 굽히다,항상 반향을 기울여서 행복해지도록 하죠,요가 수업 중에 우리는 그들이 자세를 보여주기 위해 뒤쪽으로 굴러야 했습니다.,그들을 위해 뒤집어
bent out of shape,to become angry.,He [[got bent out of shape]] when he found out his favorite band was sold out,The metal rod [[got bent out of shape]] after the car accident,He got bent out of shape when he found out his favorite band was sold out,The metal rod got bent out of shape after the car accident,got bent out of shape,그는 자신이 가장 좋아하는 밴드의 티켓이 매진되었다는 사실을 알고 [[몹시 화가 났습니다]],자동차 사고 이후 금속 막대의 [[형태가 찌그러졌습니다]],그는 자신이 가장 좋아하는 밴드의 티켓이 매진되었다는 사실을 알고 몹시 화가 났습니다,자동차 사고 이후 금속 막대의 형태가 찌그러졌습니다,몹시 화가 났습니다,형태가 찌그러졌습니다,听说喜爱的乐队票卖光了，他[[勃然大怒]]。,那根金属杆在车祸中被撞得[[弯曲变了形]]。,听说喜爱的乐队票卖光了，他勃然大怒。,那根金属杆在车祸中被撞得弯曲变了形。,勃然大怒,弯曲变了形,그는 좋아하는 밴드의 공연이 매진되었다는 것을 알게 되자 기분이 상했다.,자동차 사고 이후 금속 막대가 모양이 휘어졌다.,모양이 망가졌다,그가 좋아하는 밴드가 팔렸다는 것을 알게 되면서 그는 폼을 잃었습니다.,자동차 사고 후 금속 막대기가 구부러졌어요,은 모양이 없어졌어요
bent your ears,to talk to someone for a very long time about something boring,The speaker [[bent their ears]] with his captivating stories,The strong wind [[bent their ears]] as they walked through the storm,The speaker bent their ears with his captivating stories,The strong wind bent their ears as they walked through the storm,bent their ears,발표자는 그의 매혹적인 이야기로 [[오랜 시간동안 말을 이어나갔습니다]],그들이 폭풍을 뚫고 걸어가자 강력한 바람이 그들의 [[귀를 휘어지게 했습니다]],발표자는 그의 매혹적인 이야기로 오랜 시간동안 말을 이어나갔습니다,그들이 폭풍을 뚫고 걸어가자 강력한 바람이 그들의 귀를 휘어지게 했습니다,오랜 시간동안 말을 이어나갔습니다,귀를 휘어지게 했습니다,演讲者用他精彩的故事[[征服了听众]]。,在穿越风暴时，狂风[[吹弯了他们的耳朵]]。,演讲者用他精彩的故事征服了听众。,在穿越风暴时，狂风吹弯了他们的耳朵。,征服了听众,吹弯了他们的耳朵,그 연설자는 그의 매력적인 이야기로 사람들의 귀를 사로잡았다.,그들이 폭풍 속을 걸어가면서 강한 바람이 그들의 귀를 굽혔다.,귀를 기울였다,연설자 는 매력적 인 이야기 를 들려주며 그들의 귀 를 굽히고 말 하였다,강풍이 폭풍을 통과하면서 그들의 귀를 굽혔습니다.,그들의 귀가 
