idiom,meaning,s_f_brkt,s_l_brkt,s_f,s_l,s_a,p_a_de_gpt,p_f_de_gpt,p_l_de_gpt,p_a_he_gpt,p_f_he_gpt,p_l_he_gpt
big cheese,to be an important and successful individual,"In the company, he's [[the big cheese]] and everyone respects him","At the cheese festival, they displayed [[the big cheese]] weighing over 100 pounds","In the company, he's the big cheese and everyone respects him","At the cheese festival, they displayed the big cheese weighing over 100 pounds",the big cheese,der große Käse,In der Firma ist er der große Boss und jeder respektiert ihn.,"Auf dem Käsefest zeigten sie den großen Käse, der über 100 Pfund wiegt.",הגבינה הגדולה,"בחברה, הוא הגבינה הגדולה וכולם מכבדים אותו.","בפסטיבל הגבינה, הציגו את הגבינה הגדולה ששוקלת מעל 100 פאונד."
big gun,a very powerful individual,"To solve the complex problem, we had [[to bring in the big gun]] from the head office","To defend the fort, they had [[to bring in the big gun]] from the armory","To solve the complex problem, we had to bring in the big gun from the head office","To defend the fort, they had to bring in the big gun from the armory",to bring in the big gun,Die großen Geschütze auffahren.,"Um das komplexe Problem zu lösen, mussten wir die große Kanone aus der Zentrale hinzuziehen.","Um das Fort zu verteidigen, mussten sie die große Kanone aus dem Waffenlager holen.",להביא את הכלי הגדול,"כדי לפתור את הבעיה המורכבת, היינו חייבים להביא את הנשק הגדול מהמשרד המרכזי.","כדי להגן על המבצר, הייתה צורך להביא את התותח הגדול מהאצטחה."
big mouth,someone who talks too much,"He can't keep a secret, he [[has a big mouth]]",The hippopotamus [[has a big mouth]] to consume large amounts of food,"He can't keep a secret, he has a big mouth",The hippopotamus has a big mouth to consume large amounts of food,has a big mouth,hat eine große Klappe.,"Er kann kein Geheimnis für sich behalten, er hat eine große Klappe.","Das Flusspferd hat einen großen Mund, um große Mengen an Nahrung zu konsumieren.",יש לו פה גדול,"הוא לא יכול לשמור על סוד, יש לו פה גדול.",היפופוטם יש לו פה גדול כדי לצרוך כמויות גדולות של מזון.
bigger fish to fry,"to have other, more important things to do.","I can't focus on this minor issue, [[I have bigger fish to fry]] at work","I can't cook these small ones now, [[I have bigger fish to fry]] for the dinner party","I can't focus on this minor issue, I have bigger fish to fry at work","I can't cook these small ones now, I have bigger fish to fry for the dinner party",I have bigger fish to fry,Ich habe wichtigere Dinge zu tun.,"Ich kann mich nicht auf dieses kleine Problem konzentrieren, ich habe bei der Arbeit größere Fische zu braten.","Ich kann diese kleinen jetzt nicht kochen, ich habe größere Fische zu braten für die Abendgesellschaft.",יש לי דברים חשובים יותר לעשות.,"אני לא יכול להתמקד בנושא הזה הקטן, יש לי דברים גדולים יותר לטפל בהם בעבודה.","אני לא יכול לבשל את הקטנים האלה עכשיו, יש לי דגים גדולים יותר לצלות למסיבת הערב."
bite head off,overreact in an angry or harsh way,She was so angry that she [[bit his head off]] when he tried to explain,The snake [[bit his head off]] when he got too close to its nest,She was so angry that she bit his head off when he tried to explain,The snake bit his head off when he got too close to its nest,bit his head off,Er hat ihm den Kopf abgebissen.,"Sie war so wütend, dass sie ihm den Kopf abgebissen hat, als er versuchte zu erklären.","Die Schlange biss ihm den Kopf ab, als er ihrem Nest zu nahe kam.",נשכה את ראשו,היא הייתה כל כך כועסת שהיא נשכה את ראשו כשניסה להסביר.,הנחש נשך את ראשו כשהגיע יותר מדי קרוב לקן שלו.
bite off more than one can chew,"to try to do something that is too difficult for you, or more than you can manage","By accepting too many projects at once, [[he bit off more than he could chew]]",[[He bit off more than he could chew]] when he tried to eat the whole sandwich in one bite,"By accepting too many projects at once, he bit off more than he could chew",He bit off more than he could chew when he tried to eat the whole sandwich in one bite,he bit off more than he could chew,Er hat sich übernommen.,"Indem er zu viele Projekte auf einmal annahm, hat er sich übernommen.","Er hat sich übernommen, als er versuchte, das ganze Sandwich auf einmal zu essen.",הוא לקח יותר ממה שהוא יכול לפעול עםו.,"על ידי קבלת מספר פרויקטים יותר מידי בו זמנית, הוא נכנס למצב של לקחת יותר ממה שהוא יכול לפעול בו.",הוא לקח יותר ממה שהוא יכול לגרום לו לקחת כל הסנדוויץ' בפה אחד.
bite the hand that feed,to turn against someone who has been a benefactor in the past,"By criticizing her mentor, she [[bit the hand that fed]] her",The untrained dog [[bit the hand that fed]] him,"By criticizing her mentor, she bit the hand that fed her",The untrained dog bit the hand that fed him,bit the hand that fed,"die Hand gebissen, die gefüttert hat","Indem sie ihren Mentor kritisierte, biss sie die Hand, die sie fütterte.","Der untrainierte Hund biss die Hand, die ihn fütterte.",נשכה את היד שהאכילה,"בזמן שביקרה את המנטור שלה, היא נשכה את היד שהאכילה אותה.",הכלב שאינו מאומן נשכה את היד שהאכילה אותו.
bits and pieces,miscellaneous small objects,"After the meeting, [[we gathered the bits and pieces]] of information to create a report","Following the vase's shattering, [[we gathered the bits and pieces]] from the floor","After the meeting, we gathered the bits and pieces of information to create a report","Following the vase's shattering, we gathered the bits and pieces from the floor",we gathered the bits and pieces,Wir haben die Stücke zusammengetragen.,"Nach dem Meeting sammelten wir die Informationen zusammen, um einen Bericht zu erstellen.","Nachdem die Vase zerschlagen war, sammelten wir die Stücke vom Boden auf.",צברנו את החתיכים והפיסות,"אחרי הפגישה, אספנו את חתיכות המידע כדי ליצור דו""ח.","אחרי שבזכות הושבר, אספנו את הפסולת מהרצפה."
bitter medicine,something difficult to accept,The harsh criticism was [[a dose of bitter medicine]] that helped him improve,The doctor prescribed [[a dose of bitter medicine]] to treat his illness,The harsh criticism was a dose of bitter medicine that helped him improve,The doctor prescribed a dose of bitter medicine to treat his illness,a dose of bitter medicine,eine Dosis bittere Medizin,"Die harsche Kritik war eine Dosis bitterer Medizin, die ihm half, sich zu verbessern.","Der Arzt verschrieb eine Dosis bitterer Medizin, um seine Krankheit zu behandeln.",מנת תרופה מרה,הביקורת הקשה הייתה מינוי של תרופה מרה שעזרה לו להשתפר.,הרופא מציע מנה של תרופה מרירה לטיפול במחלתו.
bitter pill,something unpleasant to be endured,He had [[to swallow a bitter pill]] when he realized he couldn't afford his dream car,The medicine was so awful that she had [[to swallow a bitter pill]],He had to swallow a bitter pill when he realized he couldn't afford his dream car,The medicine was so awful that she had to swallow a bitter pill,to swallow a bitter pill,eine bittere Pille schlucken,"Er musste eine bittere Pille schlucken, als er realisierte, dass er sich sein Traumauto nicht leisten konnte.","Die Medizin war so schrecklich, dass sie eine bittere Pille schlucken musste.",לבלוע כדור מר.,הוא היה חייב לבלוע כדור מר כשהוא הבין שהוא לא יכול להרשות לעצמו את המכונית החלומית שלו.,התרופה הייתה כל כך נוראית שהיא הייתה חייבת לבלוע כדור מר עמרם
black and blue,"hurt, either bodily, emotionally or psychologically","After the harsh criticism, his ego [[was bruised black and blue]]",He fell off his bike and [[was bruised black and blue]] all over his body,"After the harsh criticism, his ego was bruised black and blue",He fell off his bike and was bruised black and blue all over his body,was bruised black and blue,war blau und schwarz gequetscht,Nach der harten Kritik war sein Ego blau und blau geschlagen.,Er fiel von seinem Fahrrad und war am ganzen Körper blau und grün geschlagen.,נפגע כחול ושחור,"אחרי הביקורת הקשה, האגו שלו נפגע כחול ושחור.",הוא נפל מהאופניים שלו והוא נפצע כחול-שחור בכל חלקי גופו.
black book,a book containing a list of secret contacts,"After betraying his trust, she [[was found in the black book]] of his memories",The old photograph [[was found in the black book]] on the dusty shelf,"After betraying his trust, she was found in the black book of his memories",The old photograph was found in the black book on the dusty shelf,was found in the black book,Wurde im schwarzen Buch gefunden.,"Nachdem sie sein Vertrauen verraten hatte, wurde sie im schwarzen Buch seiner Erinnerungen gefunden.",Das alte Foto wurde im schwarzen Buch auf dem staubigen Regal gefunden.,נמצא בספר השחור,"לאחר שהפריעה את האמון שלו, נמצאה בספר השחור של זכרונותיו.",התמונה הישנה נמצאה בספר השחור על המדף המאובק.
black hole,a place in which things are lost never to be seen again,"The inefficient department created [[a black hole in the system]], draining resources",Scientists discovered [[a black hole in the system]] while observing the galaxy,"The inefficient department created a black hole in the system, draining resources",Scientists discovered a black hole in the system while observing the galaxy,a black hole in the system,Ein schwarzes Loch im System.,Die ineffiziente Abteilung hat ein schwarzes Loch im System geschaffen und Ressourcen abgezogen.,"Wissenschaftler entdeckten ein schwarzes Loch im System, während sie die Galaxie beobachteten.",חור שחור במערכת,"המחלקה הלא-יעילה יצרה חור שחור במערכת, מורידה משאבים.",המדענים גילו חור שחור במערכת בעת התצפית על הגלקסיה.
black sheep,a disgrace,"Despite his successful siblings, John's unconventional career choice made him [[the black sheep in their midst]]","Among the white ones, there was [[the black sheep in their midst]] grazing in the field","Despite his successful siblings, John's unconventional career choice made him the black sheep in their midst","Among the white ones, there was the black sheep in their midst grazing in the field",the black sheep in their midst,Das schwarze Schaf in ihrer Mitte.,Trotz seiner erfolgreichen Geschwister machte Johns unkonventionelle Karrierewahl ihn zum schwarzen Schaf in ihrer Mitte.,"Unter den Weißen war das schwarze Schaf in ihrer Mitte, das auf der Weide graste.",הכבש השחור בקרבם,"למרות האחים המצליחים שלו, בחירת הקריירה הלא קונבנציונלית של ג'ון עשתה אותו הכבש השחור בקרבם.","בין הלבנים, היה הכבש השחור בתוכם מרעה בשדה."
blazing row,a very angry argument,The couple next door [[had a blazing row]] over their finances,The firefighters [[had a blazing row]] of flames to extinguish,The couple next door had a blazing row over their finances,The firefighters had a blazing row of flames to extinguish,had a blazing row,hatte einen heftigen Streit.,Das Paar von nebenan hatte einen heftigen Streit über ihre Finanzen.,Die Feuerwehrleute hatten eine lodernde Flammenreihe zu löschen.,הייתה לו ריב לוהט,הזוג הסמוך היה לו ריב לוהט על המסגרת הכספית שלהם.,הכבאים חוו סדרה של להבות בעלי עוצמה שהיו צריכים לכבות.
blind as a bat,unconscious to something,"Without his glasses, he's [[as blind as a bat]] and can't see anything","The cave-dwelling creature was [[as blind as a bat]], relying on echolocation to navigate","Without his glasses, he's as blind as a bat and can't see anything","The cave-dwelling creature was as blind as a bat, relying on echolocation to navigate",as blind as a bat,so blind wie eine Fledermaus,Ohne seine Brille ist er so blind wie eine Fledermaus und kann nichts sehen.,"Das höhlenbewohnende Wesen war genauso blind wie eine Fledermaus und verließ sich auf Echolot, um sich zu orientieren.",כעיוור כעטלף,"בלי המשקפיים שלו, הוא עיוור כעטלף ולא יכול לראות כלום.",היצור החי במערות היה עיוור כעטלף והסתמך על אקוולוציה כדי לנווט.
blow away,impress someone very much,Their innovative product [[blew away the competition]] in the market,The strong gust of wind [[blew away the competition]] papers from the table,Their innovative product blew away the competition in the market,The strong gust of wind blew away the competition papers from the table,blew away the competition,fegte die Konkurrenz weg,Ihr innovatives Produkt hat die Konkurrenz auf dem Markt weggeblasen.,Der starke Windstoß blies die Wettbewerbspapiere vom Tisch weg.,ניפח לרוח את המתחרים,המוצר החדשני שלהם ניפח את המתחרים בשוק.,הרוח החזקה נשבה את דפי התחרות מהשולחן.
blow cover,to reveal the true identity,The undercover agent [[blew their cover]] by accidentally revealing their true identity,The strong wind [[blew their cover]] off the outdoor furniture,The undercover agent blew their cover by accidentally revealing their true identity,The strong wind blew their cover off the outdoor furniture,blew their cover,verrieten ihre Tarnung,Der Undercover-Agent hat seine Tarnung durch versehentliches Enthüllen seiner wahren Identität aufgedeckt.,Der starke Wind blies ihre Abdeckung von den Gartenmöbeln.,גילו את זהותם,הסוכן הסמוי חשף את זהותו האמיתית בטעות וכך חשף את הכיסוי שלו.,הרוח החזקה ניפחה את המכסה שלהם מהרהיטים החיצוניים.
blow his own horn,to talk about oneself or one's achievements especially in a way that shows pride or too much pride,He never hesitates to [[blow his own horn]] about his accomplishments,"As a trumpet player, he would [[blow his own horn]] during practice",He never hesitates to blow his own horn about his accomplishments,"As a trumpet player, he would blow his own horn during practice",blow his own horn,sich selbst loben,"Er zögert nie, seine eigenen Leistungen anzupreisen.",Als Trompetenspieler würde er während des Trainings seine eigene Trompete blasen.,לתזמן את החצוצרה שלו,הוא לעולם לא מתלבט להתגאות בהישגיו.,"כשחן בחצוצרה, הוא היה מפזר על עצמו במהלך התרגול."
blow your own trumpet,to say things that makes your own self or kin look good,He was always [[blowing his own trumpet]] about his accomplishments,"During the parade, he was [[blowing his own trumpet]] as part of the marching band",He was always blowing his own trumpet about his accomplishments,"During the parade, he was blowing his own trumpet as part of the marching band",blowing his own trumpet,sich selbst loben,Er hat immer mit seinen Leistungen angegeben.,Während der Parade blies er als Teil der Marschkapelle seine eigene Trompete.,מנגן על חצוצרת עצמו,הוא תמיד מתפאר בהישגיו.,"במהלך הפרייד, הוא נפח את החצוצר שלו כחלק מהלהקה המצעדת."
blue blood,a member of an upper-class family,They were considered [[a blue blood family]] due to their aristocratic lineage,"In a bizarre science fiction world, they were [[a blue blood family]] with copper-based hemocyanin",They were considered a blue blood family due to their aristocratic lineage,"In a bizarre science fiction world, they were a blue blood family with copper-based hemocyanin",a blue blood family,eine Adelsfamilie,Sie galten aufgrund ihrer aristokratischen Abstammung als Adelsfamilie.,In einer bizarren Science-Fiction-Welt waren sie eine blaublütige Familie mit kupferbasiertem Hämocyanin.,משפחת דם כחול,הם נחשבו למשפחת דם כחול בגלל המוצא האצול שלהם.,"בעולם מדע בדיוני מוזר, הם היו משפחת דם כחולה עם המוקדם המבוסס על נחושת."
blue eyed boy,a person who is treated with special favor.,"He was [[the blue-eyed boy]] of the company, always receiving praise and promotions",The child with striking azure irises was [[the blue-eyed boy]] in the family,"He was the blue-eyed boy of the company, always receiving praise and promotions",The child with striking azure irises was the blue-eyed boy in the family,the blue-eyed boy,der blauäugige Junge,"Er war der Liebling der Firma, erhielt immer Lob und Beförderungen.",Das Kind mit auffälligen azurblauen Iris war der blauäugige Junge in der Familie.,הילד עם העיניים הכחולות,"הוא היה בן העיניים הכחולות של החברה, תמיד מקבל שבחים וקידומים.",הילד עם האיריסים הכחולות המרהיבות היה הבן עם העיניים הכחולות במשפחה.
born yesterday,naive; inexperienced,He was [[not born yesterday]] and could easily see through their lies,"Since today is her first birthday, she was [[not born yesterday]]",He was not born yesterday and could easily see through their lies,"Since today is her first birthday, she was not born yesterday",not born yesterday,Nicht gestern geboren.,Er ist nicht gestern geboren und konnte leicht durch ihre Lügen sehen.,"Da heute ihr erster Geburtstag ist, wurde sie nicht gestern geboren.",לא נולדתי אתמול,הוא לא נולד אתמול ויכול לראות בקלות את השקרים שלהם.,"מכיוון שהיום הוא יום הולדתה הראשון, היא לא נולדה אתמול."
bread and butter,to indicate what a person earns or earns for,"Graphic design is [[their bread and butter]], as it's their main source of income","On the table, there was [[their bread and butter]] ready for breakfast","Graphic design is their bread and butter, as it's their main source of income","On the table, there was their bread and butter ready for breakfast",their bread and butter,ihr täglich Brot,"Grafikdesign ist ihr täglich Brot, da es ihre Haupteinnahmequelle ist.",Auf dem Tisch stand ihr Brot und Butter bereit für das Frühstück.,הלחם והחמאה שלהם,"עיצוב גרפי הוא לחם וחמאה שלהם, מכיוון שזה המקור העיקרי של הכנסתם.",על השולחן היה הלחם והחמאה שלהם מוכנים לארוחת בוקר.
break a leg,good luck,"Before her performance, we told her [[to break a leg on stage]]","During the play, the actor accidentally tripped and managed [[to break a leg on stage]]","Before her performance, we told her to break a leg on stage","During the play, the actor accidentally tripped and managed to break a leg on stage",to break a leg on stage,Ein Bein auf der Bühne brechen.,"Vor ihrem Auftritt haben wir ihr gesagt, dass sie auf der Bühne ein Bein brechen soll.","Während des Stücks ist der Schauspieler versehentlich gestolpert und hat es geschafft, sich auf der Bühne ein Bein zu brechen.",לשבור רגל על הבמה,"לפני הופעתה, אמרנו לה לשבור רגל בבמה.","במהלך ההצגה, השחקן כושל בטעות והצליח לשבור רגל על הבמה."
break down,to stop working,"Let me [[break down the situation]] for you, so you can understand the complexity",The firefighters had to [[break down the situation]] by removing debris after the collapse,"Let me break down the situation for you, so you can understand the complexity",The firefighters had to break down the situation by removing debris after the collapse,break down the situation,Die Situation analysieren.,"Lass mich dir die Situation erklären, damit du die Komplexität verstehen kannst.",Die Feuerwehrleute mussten die Situation durch Entfernen von Trümmern nach dem Einsturz bewältigen.,פרק את המצב,"תן לי לפרק את המצב עבורך, כדי שתוכל להבין את המורכבות.",הכבאים היו צריכים לפרק את המצב על ידי הסרת פסולת לאחר הקריסה.
break the ice,"to do or say something that makes people feel more comfortable, especially at the start of a meeting or party",We started [[breaking the ice together]] by playing a fun team-building game,"During the winter expedition, we were [[breaking the ice together]] to clear a path",We started breaking the ice together by playing a fun team-building game,"During the winter expedition, we were breaking the ice together to clear a path",breaking the ice together,Das Eis gemeinsam brechen.,"Wir haben damit begonnen, das Eis gemeinsam zu brechen, indem wir ein lustiges Teambuilding-Spiel gespielt haben.","Während der Winterexpedition haben wir gemeinsam das Eis gebrochen, um einen Weg freizumachen.",שבירת הקרח יחד,התחלנו לשבור את הקרח יחד על ידי משחק מהנה לבניית קבוצה.,"במסע החורף, פיצלנו את הקרח יחד כדי לנקות נתיב."
break the mould,to do something different from what is expected,Her innovative ideas were [[breaking the mould]] in the industry,The sculptor was [[breaking the mould]] to reveal the finished statue,Her innovative ideas were breaking the mould in the industry,The sculptor was breaking the mould to reveal the finished statue,breaking the mould,das Muster brechen,Ihre innovativen Ideen brachen das Muster in der Branche.,"Der Bildhauer brach die Form auf, um die fertige Statue zu enthüllen.",שבירת התבנית,הרעיונות החדשניים שלה פורצים את התבנית בתעשייה.,החצוב היה שובר את המולדת כדי לחשוף את הפסל הגמור.
break up,end a romantic relationship with someone,"After months of arguments, they [[decided to break up]] and end their relationship",The construction workers [[decided to break up]] the concrete with a jackhammer,"After months of arguments, they decided to break up and end their relationship",The construction workers decided to break up the concrete with a jackhammer,decided to break up,entschieden sich zu trennen.,"Nach Monaten des Streits beschlossen sie, sich zu trennen und ihre Beziehung zu beenden.","Die Bauarbeiter entschieden sich, den Beton mit einem Presslufthammer zu zerkleinern.",החלטתי להיפרד.,"לאחר חודשים של טיעונים, הם החליטו להיפרד ולסיים את הקשר שלהם.",העובדים בבנייה החליטו לפצוץ את הבטון באמצעות מכדורגלן.
bright spark,an intelligent and lively person (humorously),"She was [[a bright spark]] in the team, always coming up with innovative ideas",The firework display created [[a bright spark]] in the night sky,"She was a bright spark in the team, always coming up with innovative ideas",The firework display created a bright spark in the night sky,a bright spark,ein heller Funke,"Sie war ein helles Köpfchen im Team, das immer mit innovativen Ideen aufwartete.",Das Feuerwerk erzeugte einen hellen Funken am Nachthimmel.,להבה בוערת,"היא הייתה להבה מבריקה בצוות, תמיד מציעה רעיונות חדשניים.",התצוגה של האורבניות יצרה ניצוץ מבריק בשמי הלילה.
buckle down,make sure something stays in place,"With the deadline approaching, we had [[to buckle down to work]] and finish the project",The carpenter had [[to buckle down to work]] on the leather belt,"With the deadline approaching, we had to buckle down to work and finish the project",The carpenter had to buckle down to work on the leather belt,to buckle down to work,sich an die Arbeit machen,Mit dem Annäherung der Frist mussten wir uns an die Arbeit machen und das Projekt abschließen.,"Der Zimmermann musste sich an die Arbeit machen, um den Ledergürtel anzufertigen.",להתחיל לעבוד ברצינות,"עם המועד הקרוב, היינו חייבים להתמקד בעבודה ולסיים את הפרויקט.",הנגר היה צריך להתמקד בעבודה על חגורת העור.
build bridges,to foster good relationships,"As a mediator, my goal is [[to build bridges between them]] and resolve their conflicts",The construction company was hired [[to build bridges between them]] to connect the two islands,"As a mediator, my goal is to build bridges between them and resolve their conflicts",The construction company was hired to build bridges between them to connect the two islands,to build bridges between them,Brücken zwischen ihnen bauen.,"Als Vermittler ist mein Ziel, Brücken zwischen ihnen zu bauen und ihre Konflikte zu lösen.","Das Bauunternehmen wurde beauftragt, Brücken zwischen ihnen zu bauen, um die beiden Inseln zu verbinden.",לבנות גשרים ביניהם,"כתוֹפֵי עֲסָקִים, מַטַרְתִּי הִיא לִבְנוֹת גְּשָׁרִים בֵּינֵיהֶם וּלְפַתֵּר אֶת הַסְכָּסוּמִים שֶׁלָּהֶם.",החברה לבנייה נשכרה כדי לבנות גשרים ביניהם כדי לחבר את שתי האיים.
building blocks,something that is a basic element (of the subject),Hard work and dedication are [[the building blocks of success]],The children used wooden cubes as [[the building blocks of success]] in their tower construction,Hard work and dedication are the building blocks of success,The children used wooden cubes as the building blocks of success in their tower construction,the building blocks of success,Die Bausteine des Erfolgs.,Harte Arbeit und Hingabe sind die Bausteine des Erfolgs.,Die Kinder verwendeten hölzerne Würfel als Bausteine des Erfolgs beim Bau ihres Turms.,בלוקי הבנייה של ההצלחה,העבודה המאמצת והמחויבות הם בנייני הקריירה.,הילדים השתמשו בקוביות עץ כבלוקי בנייה להצלחת המגדל שלהם.
bun in the oven,to be pregnant,She excitedly announced that she [[has a bun in the oven]] and is expecting a baby,The baker [[has a bun in the oven]] and it will be ready in a few minutes,She excitedly announced that she has a bun in the oven and is expecting a baby,The baker has a bun in the oven and it will be ready in a few minutes,has a bun in the oven,hat einen Braten in der Röhre,"Sie verkündete aufgeregt, dass sie ein Baby erwartet und schwanger ist.",Der Bäcker hat ein Brötchen im Ofen und es wird in wenigen Minuten fertig sein.,יש לה כיכר בתנור,היא הכריזה בתהודה כי יש לה כיסוי בתנור והיא מצפה לתינוק.,המאפה יש לו כיכר בתנור וזה יהיה מוכן תוך כמה דקות.
burn bridges,"remove someone's all options of retreat, act decisively","After the argument, she [[burned bridges with them]] and never spoke to them again",The vandals [[burned bridges with them]] as they escaped the village,"After the argument, she burned bridges with them and never spoke to them again",The vandals burned bridges with them as they escaped the village,burned bridges with them,verbrannte Brücken mit ihnen,Nach dem Streit hat sie alle Brücken zu ihnen abgebrannt und nie wieder mit ihnen gesprochen.,"Die Vandalen haben Brücken verbrannt, als sie aus dem Dorf geflohen sind.",שרפתי גשרים איתם,"אחרי הווכחה, היא שרף את הגשרים עם הם ולעולם לא דיברה איתם שוב.",הוונדלים שרפו גשרים איתם בזמן שברחו מהכפר.
burn fingers,to bear an unpleasant result of an action that has been taken in the past,[[They burned their fingers]] by investing in a risky business,[[They burned their fingers]] while trying to grab a hot pan,They burned their fingers by investing in a risky business,They burned their fingers while trying to grab a hot pan,They burned their fingers,Sie haben sich die Finger verbrannt.,"Sie haben sich die Finger verbrannt, indem sie in ein riskantes Geschäft investiert haben.","Sie haben sich die Finger verbrannt, als sie versuchten, eine heiße Pfanne zu greifen.",הם שרפו את אצבעותיהם,הם שרפו את אצבעותיהם על ידי השקעה בעסק סיכון,הם שרפו את אצבעותיהם בניסיון לתפוס מחבת חמה
burn the candle at both ends,to exhaust someone's energies or resources by leading a hectic life.,"Working two jobs and studying, she was [[burning the candle at both ends]]","During the experiment, they were [[burning the candle at both ends]] to observe the melting rate","Working two jobs and studying, she was burning the candle at both ends","During the experiment, they were burning the candle at both ends to observe the melting rate",burning the candle at both ends,Das Leben auf der Überholspur leben.,"Sie arbeitete in zwei Jobs und studierte, sie brannte das Kerzenlicht an beiden Enden.","Während des Experiments brannten sie die Kerze an beiden Enden, um die Schmelzrate zu beobachten.",שריפת הנר משני צדדיו,"עובדת בשתי עבודות ומתכוננת, היא מציתה את הנר משני הקצוות.","במהלך הניסוי, הם שרפו את הנר משני הקצוות כדי לעקוב אחר קצב ההתכה."
bury head in the sand,hide from the truth,They [[buried their heads in the sand]] when confronted with the company's financial problems,The ostriches [[buried their heads in the sand]] to search for food,They buried their heads in the sand when confronted with the company's financial problems,The ostriches buried their heads in the sand to search for food,buried their heads in the sand,vergruben ihren Kopf im Sand,"Sie steckten den Kopf in den Sand, als sie mit den finanziellen Problemen des Unternehmens konfrontiert wurden.","Die Strauße haben ihre Köpfe in den Sand gesteckt, um nach Nahrung zu suchen.",טמנו את ראשם בחול.,הם טמנו את ראשיהם בחול כשנתקלו בבעיות הכספיות של החברה.,הינהמים טיפסו את ראשם בחול כדי לחפש אוכל.
butter up,to flatter someone so as to get something in return from them,He tried [[to butter up the boss]] by complimenting her outfit,It was her job [[to butter up the boss]]'s toast every morning,He tried to butter up the boss by complimenting her outfit,It was her job to butter up the boss's toast every morning,to butter up the boss,Den Chef einschmeicheln.,"Er versuchte, den Chef zu schmeicheln, indem er ihr Outfit lobte.","Es war ihr Job, dem Chef jeden Morgen das Toastbrot zu bestreichen.",לסלסל את המנהל,ניסה להתחמק לפני המנהלת על ידי מחמם לה את הלבוש.,זה היה העבודה שלה לפרסם את הריבות של הבוס בכל בוקר.
call a spade a spade,this phrase means to say something the way it is,[[She called a spade a spade]] when she confronted her friend about her dishonesty,"While playing cards, [[she called a spade a spade]] when she identified the suit correctly",She called a spade a spade when she confronted her friend about her dishonesty,"While playing cards, she called a spade a spade when she identified the suit correctly",She called a spade a spade,Sie nannte die Dinge beim Namen.,"Sie nannte die Dinge beim Namen, als sie ihre Freundin mit ihrer Unehrlichkeit konfrontierte.","Während sie Karten spielte, nannte sie eine Pik-Karte eine Pik-Karte, als sie die Farbe richtig identifizierte.",היא קראה למגרעת מגרעת.,היא קראה למגרעת מגרעת כשהיא עמדה לפני חברתה והתמודדה עם האי-כנות שלה.,"בזמן שהיא שיחקה בקלפים, היא קראה לקלף קלף כשהיא זיהתה את הסוג נכון."
can of worms,"to get into something that is messy, has problems and is unwanted","By asking about his past, she inadvertently [[opened a can of worms]] in their conversation",The fisherman [[opened a can of worms]] to bait his hook,"By asking about his past, she inadvertently opened a can of worms in their conversation",The fisherman opened a can of worms to bait his hook,opened a can of worms,hat eine Büchse der Pandora geöffnet.,"Indem sie nach seiner Vergangenheit fragte, öffnete sie unabsichtlich eine Büchse der Pandora in ihrer Unterhaltung.","Der Fischer öffnete eine Dose Würmer, um seinen Haken zu ködern.",פתח פח של תולעות,"בעקבות שאלתה על העבר שלו, היא בטעות פתחה תיבת פנדורה בשיחתם.",הדייג פתח פח של תולעי כדי להשתמש בהם כדיור לחכה שלו.
card up sleeve,to have a secret advantage that is suddenly revealed to change the game,"During the negotiation, he [[had a card up his sleeve]] that gave him an advantage","As a magician, he cleverly [[had a card up his sleeve]] for his next trick","During the negotiation, he had a card up his sleeve that gave him an advantage","As a magician, he cleverly had a card up his sleeve for his next trick",had a card up his sleeve,hatte eine Karte im Ärmel,"Während der Verhandlung hatte er eine Trumpfkarte, die ihm einen Vorteil verschaffte.",Als Zauberer hatte er geschickt eine Karte in seinem Ärmel für seinen nächsten Trick.,היה לו קלף בשרוול,"במהלך המו""מ, היה לו קלף בשרוול שנתן לו יתרון.","כקוסם, הוא היה מכין בצורה מתוקנת קלף בשרוול שלו לקסם הבא."
carry the torch for,to have strong feelings for someone with whom you do not or cannot have a relationship,"He's been [[carrying the torch for her]] since high school, but she never noticed","During the relay race, he was [[carrying the torch for her]] until it was her turn to run","He's been carrying the torch for her since high school, but she never noticed","During the relay race, he was carrying the torch for her until it was her turn to run",carrying the torch for her,Ihr die Fackel tragen.,"Er trägt seit der High School die Fackel für sie, aber sie hat es nie bemerkt.","Während des Staffellaufs trug er die Fackel für sie, bis es an der Reihe war, dass sie lief.",נשאת את המשואה עבורה,"הוא נושא את המשואה עבורה מאז התיכון, אך היא לעולם לא שם לב.","במהלך מרוץ הרשת, הוא נשא את המשואה עבורה עד שהגיע תורה לרוץ."
cash in,to earn out of something in big amounts,He decided to [[cash in on the opportunity]] and invest in the startup,"At the casino, she decided to [[cash in on the opportunity]] and exchange her chips for money",He decided to cash in on the opportunity and invest in the startup,"At the casino, she decided to cash in on the opportunity and exchange her chips for money",cash in on the opportunity,Profitieren Sie von der Gelegenheit.,"Er entschied sich, die Gelegenheit zu nutzen und in das Startup zu investieren.","Im Casino beschloss sie, die Gelegenheit zu nutzen und ihre Chips gegen Geld einzutauschen.",להשתמש בהזדמנות,הוא החליט לנצל את ההזדמנות ולהשקיע בסטארטאפ.,"בקזינו, היא החליטה לנצל את ההזדמנות ולהמיר את הקישורים שלה לכסף."
