idiom,meaning,s_f_brkt,s_l_brkt,s_f,s_l,s_a,p_a_de_gpt,p_f_de_gpt
come out swinging,be confrontational,"After the criticism, [[he came out swinging]] with a strong rebuttal","As soon as the boxing match started, [[he came out swinging]] at his opponent","After the criticism, he came out swinging with a strong rebuttal","As soon as the boxing match started, he came out swinging at his opponent",he came out swinging,Er kam schwingend heraus.,Nach der Kritik legte er mit einer starken Widerlegung los.
cook his goose,to spoil someone's chances of success,"When he was caught cheating, his teacher [[cooked his goose]] by failing him","For dinner, the chef [[cooked his goose]] with a delicious orange sauce","When he was caught cheating, his teacher cooked his goose by failing him","For dinner, the chef cooked his goose with a delicious orange sauce",cooked his goose,hat ihm den Garaus gemacht.,"Als er beim Schummeln erwischt wurde, hat sein Lehrer ihn erwischt, indem er ihn durchfallen ließ."
cool heels,to wait or take rest,They [[were cooling their heels]] in the waiting room before the interview,"After walking on hot sand, they [[were cooling their heels]] in the ocean water",They were cooling their heels in the waiting room before the interview,"After walking on hot sand, they were cooling their heels in the ocean water",were cooling their heels,saßen auf dem Trockenen,Sie saßen im Wartezimmer und warteten auf das Vorstellungsgespräch.
count chicken,make plans based on events that may or may not happen,He [[was counting chickens before they hatch]] when he started planning his victory party,The farmer [[was counting chickens before they hatch]] by estimating the number of eggs that would become chicks,He was counting chickens before they hatch when he started planning his victory party,The farmer was counting chickens before they hatch by estimating the number of eggs that would become chicks,was counting chickens before they hatch,"Ich habe die Hühner gezählt, bevor sie geschlüpft sind.","Er zählte die Hühner, bevor sie schlüpften, als er seine Siegesfeier plante."
crack the whip,make someone work harder by asserting power or authority,The manager [[cracked the whip on the team]] to meet the deadline,The circus performer [[cracked the whip on the team]] of horses to start the show,The manager cracked the whip on the team to meet the deadline,The circus performer cracked the whip on the team of horses to start the show,cracked the whip on the team,Die Peitsche auf das Team geknallt.,"Der Manager trieb das Team an, um die Frist einzuhalten."
cross swords,to fight with another person physically or verbally.,"During the heated debate, she [[crossed swords with him]] over their differing opinions","At the fencing tournament, they [[crossed swords with him]] in a thrilling match","During the heated debate, she crossed swords with him over their differing opinions","At the fencing tournament, they crossed swords with him in a thrilling match",crossed swords with him,Ich habe mit ihm die Klingen gekreuzt.,Während der hitzigen Debatte kreuzte sie mit ihm die Klingen aufgrund ihrer unterschiedlichen Meinungen.
cross the bridge,to delay worrying about something that might not happen anyway,They [[crossed the bridge together]] when they decided to face their problems as a team,The two friends [[crossed the bridge together]] while enjoying the scenic view,They crossed the bridge together when they decided to face their problems as a team,The two friends crossed the bridge together while enjoying the scenic view,crossed the bridge together,überquerten die Brücke zusammen,"Sie überquerten die Brücke zusammen, als sie beschlossen, ihre Probleme als Team anzugehen."
cross the line,behave in a way that is not acceptable,[[He crossed the line with her]] when he made that inappropriate comment,"During the race, [[he crossed the line with her]] as they finished together",He crossed the line with her when he made that inappropriate comment,"During the race, he crossed the line with her as they finished together",He crossed the line with her,Er hat mit ihr die Grenze überschritten.,"Er hat die Grenze überschritten, als er diesen unangemessenen Kommentar gemacht hat."
crush,feel love-sick for someone.,She couldn't help but [[have a crush]] on the charming new coworker,The machine was designed to [[have a crush]] on the aluminum cans for recycling,She couldn't help but have a crush on the charming new coworker,The machine was designed to have a crush on the aluminum cans for recycling,have a crush,einen Schwarm haben,"Sie konnte nicht anders, als auf den charmanten neuen Kollegen zu stehen."
cry over spilt milk,to be upset about things that have already been done,There's no point in [[crying over spilt milk]] now that the deadline has passed,The toddler was [[crying over spilt milk]] on the kitchen floor,There's no point in crying over spilt milk now that the deadline has passed,The toddler was crying over spilt milk on the kitchen floor,crying over spilt milk,über verschüttete Milch weinen,"Es hat keinen Sinn, jetzt noch über verschüttete Milch zu weinen, da die Frist abgelaufen ist."
cup of tea,to like something,"Skydiving is [[not my cup of tea]], I prefer calmer activities","This green tea is [[not my cup of tea]], I ordered black tea","Skydiving is not my cup of tea, I prefer calmer activities","This green tea is not my cup of tea, I ordered black tea",not my cup of tea,nicht mein Ding,"Fallschirmspringen ist nicht mein Ding, ich bevorzuge ruhigere Aktivitäten."
cut and dried,ready-made,"With her impressive qualifications, it was [[a cut and dried decision]] to hire her",The process of making fruit leather involves [[a cut and dried decision]] with the fruit,"With her impressive qualifications, it was a cut and dried decision to hire her",The process of making fruit leather involves a cut and dried decision with the fruit,a cut and dried decision,eine klare Entscheidung,"Mit ihren beeindruckenden Qualifikationen war es eine klare Entscheidung, sie einzustellen."
cut coat according to cloth,"adapt to one's circumstances, make sure one's plans are appropriate to one's resources.",They [[cut their coat according to their cloth]] by living within their means,The tailor [[cut their coat according to their cloth]] to avoid wasting fabric,They cut their coat according to their cloth by living within their means,The tailor cut their coat according to their cloth to avoid wasting fabric,cut their coat according to their cloth,"Man muss das Fell des Bären nicht verteilen, bevor man ihn erlegt hat.","Sie schneiden ihren Mantel nach ihrem Stoff, indem sie innerhalb ihrer Mittel leben."
cut corners,"economise on time, money, materials or effort, perhaps unwisely","To save time and money, they [[cut corners on the project]] by using cheaper materials",The carpenter [[cut corners on the project]] to create a rounded shape,"To save time and money, they cut corners on the project by using cheaper materials",The carpenter cut corners on the project to create a rounded shape,cut corners on the project,Beim Projekt Ecken abschneiden.,"Um Zeit und Geld zu sparen, haben sie bei dem Projekt Ecken und Kanten abgeschnitten, indem sie billigere Materialien verwendet haben."
cut the cord,to end a connection with someone,He decided to [[cut the cord with her]] and end their toxic relationship,The nurse [[cut the cord with her]] after the baby was born,He decided to cut the cord with her and end their toxic relationship,The nurse cut the cord with her after the baby was born,cut the cord with her,Schneide das Band mit ihr durch.,"Er entschied sich, den Kontakt mit ihr abzubrechen und ihre giftige Beziehung zu beenden."
cut the mustard,to succeed,"Despite his efforts, he [[couldn't cut the mustard]] in the competitive sales environment","With a dull knife, she [[couldn't cut the mustard]] for her sandwich","Despite his efforts, he couldn't cut the mustard in the competitive sales environment","With a dull knife, she couldn't cut the mustard for her sandwich",couldn't cut the mustard,konnte nicht mithalten,Trotz seiner Bemühungen konnte er im wettbewerbsintensiven Verkaufsumfeld nicht mithalten.
cut your own throat,to do something that will be the cause of your own failure or ruin your chances in the future,"By revealing company secrets, he [[cut his own throat]] and ruined his career","While shaving, he accidentally [[cut his own throat]] with the razor","By revealing company secrets, he cut his own throat and ruined his career","While shaving, he accidentally cut his own throat with the razor",cut his own throat,schnitt sich die eigene Kehle auf,"Indem er Firmengeheimnisse enthüllte, hat er sich ins eigene Fleisch geschnitten und seine Karriere ruiniert."
dance to tune,to do what someone else forces you to do,He always [[danced to the tune]] of his boss's demands,"At the party, they [[danced to the tune]] of their favorite song",He always danced to the tune of his boss's demands,"At the party, they danced to the tune of their favorite song",danced to the tune,tanzte zur Melodie,Er tanzte immer nach der Pfeife seines Chefs.
dancing on their grave,outlive or outlast someone and celebrate their demise,He was so happy about his rival's failure that he was practically [[dancing on their grave]],The disrespectful teenagers were caught [[dancing on their grave]] in the cemetery,He was so happy about his rival's failure that he was practically dancing on their grave,The disrespectful teenagers were caught dancing on their grave in the cemetery,dancing on their grave,Auf ihrem Grab tanzen.,"Er war so glücklich über das Scheitern seines Rivalen, dass er praktisch auf dessen Grab tanzte."
dead duck,a project or scheme which has been abandoned or is certain to fail,"Without any support, he was [[a dead duck in the situation]] and couldn't succeed",The hunter shot down [[a dead duck in the situation]] and retrieved it,"Without any support, he was a dead duck in the situation and couldn't succeed",The hunter shot down a dead duck in the situation and retrieved it,a dead duck in the situation,Eine tote Ente in der Situation.,Ohne jegliche Unterstützung war er in der Situation ein hoffnungsloser Fall und konnte nicht erfolgreich sein.
dead in the water,unable to produce movement,The project was [[found it dead in the water]] after the funding was cut,The fisherman [[found it dead in the water]] while he was out on the lake,The project was found it dead in the water after the funding was cut,The fisherman found it dead in the water while he was out on the lake,found it dead in the water,Ich habe es leblos im Wasser gefunden.,Das Projekt wurde nach der Kürzung der Finanzierung als gescheitert angesehen.
deep down,felt strongly and often hidden from other people,He knew [[deep down in the ocean]] of his heart that he had made the right decision,The divers explored the shipwreck [[deep down in the ocean]],He knew deep down in the ocean of his heart that he had made the right decision,The divers explored the shipwreck deep down in the ocean,deep down in the ocean,tief unten im Ozean,"Er wusste tief in seinem Herzen, dass er die richtige Entscheidung getroffen hatte."
deliver the goods,do what is required,The new employee [[delivered the goods on time]] by meeting all the project deadlines,The courier [[delivered the goods on time]] to the customer's doorstep,The new employee delivered the goods on time by meeting all the project deadlines,The courier delivered the goods on time to the customer's doorstep,delivered the goods on time,lieferte die Waren pünktlich aus,"Der neue Mitarbeiter hat die Waren pünktlich geliefert, indem er alle Projektfristen eingehalten hat."
die in harness,to expire while working,"The dedicated employee [[died in harness]], working tirelessly until the end",The poor horse [[died in harness]] while pulling the heavy load,"The dedicated employee died in harness, working tirelessly until the end",The poor horse died in harness while pulling the heavy load,died in harness,starb in der Harnisch,Der engagierte Mitarbeiter starb im Geschirr und arbeitete unermüdlich bis zum Ende.
dig one's own grave,"to do something that has negative consequences for you, even though these consequences can be easily seen.","By spreading false rumors about the boss, he [[was digging his own grave]] at work","As a cemetery worker, he [[was digging his own grave]] to prepare for his eventual burial","By spreading false rumors about the boss, he was digging his own grave at work","As a cemetery worker, he was digging his own grave to prepare for his eventual burial",was digging his own grave,Er grub sein eigenes Grab.,"Indem er falsche Gerüchte über den Chef verbreitete, hat er sich bei der Arbeit sein eigenes Grab geschaufelt."
do the trick,successfully achieve a result,"Adding a little more salt to the soup, [[that should do the trick]]","Performing a magic act, the magician said '[[that should do the trick]]' as he pulled a rabbit from his hat","Adding a little more salt to the soup, that should do the trick","Performing a magic act, the magician said 'that should do the trick' as he pulled a rabbit from his hat",that should do the trick,Das sollte funktionieren.,"Ein bisschen mehr Salz in die Suppe geben, das sollte funktionieren."
dodge a bullet,to narrowly avoid a very serious problem or a disaster,"When the company went bankrupt, I realized I [[dodged a bullet there]] by not investing","During the paintball game, he [[dodged a bullet there]] by quickly ducking behind a barrier","When the company went bankrupt, I realized I dodged a bullet there by not investing","During the paintball game, he dodged a bullet there by quickly ducking behind a barrier",dodged a bullet there,Bin da knapp davongekommen.,"Als das Unternehmen bankrott ging, wurde mir klar, dass ich dort knapp an einer Investition vorbeigeschrammt bin."
does exactly what it says on the tin,someone or something is exactly as they seem,The new software [[does exactly what it says on the tin]] and is very user-friendly,The paint [[does exactly what it says on the tin]] and dries in just 30 minutes,The new software does exactly what it says on the tin and is very user-friendly,The paint does exactly what it says on the tin and dries in just 30 minutes,does exactly what it says on the tin,"Macht genau das, was auf der Dose steht.","Die neue Software tut genau das, was sie verspricht, und ist sehr benutzerfreundlich."
double-edged sword,something that could either help you or hurt you,"Having a high-profile job can be [[a double-edged sword in this situation]], as it brings both prestige and stress",The knight wielded [[a double-edged sword in this situation]] to defend himself against multiple attackers,"Having a high-profile job can be a double-edged sword in this situation, as it brings both prestige and stress",The knight wielded a double-edged sword in this situation to defend himself against multiple attackers,a double-edged sword in this situation,ein zweischneidiges Schwert in dieser Situation,"Eine hochkarätige Arbeit kann in dieser Situation ein zweischneidiges Schwert sein, da sie sowohl Prestige als auch Stress mit sich bringt."
down to earth,"decent, simple, realistic","Despite her fame, she remained [[a down-to-earth person]] who was easy to talk to","The astronaut, once back from space, became [[a down-to-earth person]] again","Despite her fame, she remained a down-to-earth person who was easy to talk to","The astronaut, once back from space, became a down-to-earth person again",a down-to-earth person,eine bodenständige Person,"Trotz ihres Ruhms blieb sie eine bodenständige Person, mit der man leicht reden konnte."
draw a blank,to get no response from someone,"When asked about the details of the project, he [[was drawing a blank]]",The artist [[was drawing a blank]] canvas to prepare for her next masterpiece,"When asked about the details of the project, he was drawing a blank",The artist was drawing a blank canvas to prepare for her next masterpiece,was drawing a blank,Ich hatte eine Blockade.,"Als er nach den Details des Projekts gefragt wurde, fiel ihm nichts ein."
drive a wedge between,to damage the good relationship that two people or groups of people have,The disagreement started [[to drive a wedge between them]] and their friendship,The lumberjack used a mallet [[to drive a wedge between them]] and split the log,The disagreement started to drive a wedge between them and their friendship,The lumberjack used a mallet to drive a wedge between them and split the log,to drive a wedge between them,einen Keil zwischen sie treiben,"Die Meinungsverschiedenheit begann, einen Keil zwischen sie zu treiben und ihre Freundschaft."
drive up the wall,to make someone angry or irritated,His constant humming is [[driving me up the wall]],The remote-controlled car was [[driving me up the wall]] as it climbed vertically,His constant humming is driving me up the wall,The remote-controlled car was driving me up the wall as it climbed vertically,driving me up the wall,bringt mich an die Decke,Sein ständiges Summen bringt mich zur Verzweiflung.
drop a bombshell,"make an unexpected, startling or disturbing announcement",The CEO [[dropped a bombshell during the meeting]] when he announced the company's bankruptcy,The clumsy actor accidentally [[dropped a bombshell during the meeting]] while filming a war scene,The CEO dropped a bombshell during the meeting when he announced the company's bankruptcy,The clumsy actor accidentally dropped a bombshell during the meeting while filming a war scene,dropped a bombshell during the meeting,Er ließ während des Treffens eine Bombe platzen.,"Der CEO hat während des Meetings eine Bombe platzen lassen, als er den Konkurs des Unternehmens ankündigte."
drop by,an informal visit,I'll [[drop by the store]] to see if they have any new books,The clumsy customer accidentally let a jar [[drop by the store]] entrance,I'll drop by the store to see if they have any new books,The clumsy customer accidentally let a jar drop by the store entrance,drop by the store,Schau im Laden vorbei.,"Ich werde im Laden vorbeischauen, um zu sehen, ob sie neue Bücher haben."
eat him alive,to criticize someone severely because you are angry with them,His lack of preparation will [[eat him alive in the competition]] against more experienced opponents,The carnivorous insects would [[eat him alive in the competition]] if he didn't wear protective gear,His lack of preparation will eat him alive in the competition against more experienced opponents,The carnivorous insects would eat him alive in the competition if he didn't wear protective gear,eat him alive in the competition,Fressen Sie ihn lebendig im Wettbewerb.,Sein Mangel an Vorbereitung wird ihn im Wettbewerb gegen erfahrene Gegner aufreiben.
elephant in the room,"a difficult, controversial, or obvious problem that no one wants to talk about or mention because the subject is problematic, uncomfortable, or awkward","During the family meeting, it was time [[to address the elephant in the room]] and discuss the ongoing conflict","At the wildlife conservation conference, the speaker decided [[to address the elephant in the room]] and talk about habitat preservation","During the family meeting, it was time to address the elephant in the room and discuss the ongoing conflict","At the wildlife conservation conference, the speaker decided to address the elephant in the room and talk about habitat preservation",to address the elephant in the room,Das Problem beim Namen nennen.,"Während des Familientreffens war es Zeit, das offensichtliche Problem anzusprechen und den anhaltenden Konflikt zu diskutieren."
end of story,there is  nothing more to add to the matter under discussion,"I told him I wasn't interested, and [[that's the end of the story]]","She closed the book and said, '[[that's the end of the story]]'","I told him I wasn't interested, and that's the end of the story","She closed the book and said, 'that's the end of the story'",that's the end of the story,Das ist das Ende der Geschichte.,"Ich sagte ihm, dass ich nicht interessiert bin, und das ist das Ende der Geschichte."
every nook and cranny,to look for something everywhere,"To find the perfect gift, [[they searched every nook and cranny]] of the shopping mall","During the deep cleaning, [[they searched every nook and cranny]] of the house for dust and dirt","To find the perfect gift, they searched every nook and cranny of the shopping mall","During the deep cleaning, they searched every nook and cranny of the house for dust and dirt",they searched every nook and cranny,Sie durchsuchten jede Ecke und jeden Winkel.,"Um das perfekte Geschenk zu finden, durchsuchten sie jede Ecke des Einkaufszentrums."
everything but the kitchen sink,almost everything that one can think of,"For our camping trip, we [[packed everything but the kitchen sink]] to be prepared","While moving, they [[packed everything but the kitchen sink]], which was left for the new owners","For our camping trip, we packed everything but the kitchen sink to be prepared","While moving, they packed everything but the kitchen sink, which was left for the new owners",packed everything but the kitchen sink,Alles eingepackt außer der Küchenspüle.,"Für unseren Campingausflug haben wir alles eingepackt, außer der Küchenspüle, um vorbereitet zu sein."
face the music,receive punishment,"After making a mistake at work, [[they faced the music together]] and accepted the consequences","As the orchestra began to play, [[they faced the music together]] and enjoyed the performance","After making a mistake at work, they faced the music together and accepted the consequences","As the orchestra began to play, they faced the music together and enjoyed the performance",they faced the music together,Sie haben gemeinsam die Konsequenzen getragen.,"Nachdem sie bei der Arbeit einen Fehler gemacht hatten, stellten sie sich gemeinsam der Musik und akzeptierten die Konsequenzen."
fall at first hurdle,to fail to overcome the first difficulty encountered,The new employee [[fell at the first hurdle]] when he failed to complete the initial task,The inexperienced horse rider [[fell at the first hurdle]] during the race,The new employee fell at the first hurdle when he failed to complete the initial task,The inexperienced horse rider fell at the first hurdle during the race,fell at the first hurdle,Scheiterte beim ersten Hindernis.,"Der neue Mitarbeiter ist beim ersten Hindernis gescheitert, als er die anfängliche Aufgabe nicht abgeschlossen hat."
fall between the cracks,be ignored or unobserved,His request for a promotion [[fell between the cracks]] due to the company's restructuring,The small toy [[fell between the cracks]] of the wooden floor,His request for a promotion fell between the cracks due to the company's restructuring,The small toy fell between the cracks of the wooden floor,fell between the cracks,fiel durch die Risse,Sein Antrag auf Beförderung fiel aufgrund der Umstrukturierung des Unternehmens durchs Raster.
fall on his sword,to accept the consequences of an unsuccessful or wrong action,He decided [[to fall on his sword]] and take responsibility for the team's failure,"During the reenactment, he accidentally tripped and started [[to fall on his sword]]",He decided to fall on his sword and take responsibility for the team's failure,"During the reenactment, he accidentally tripped and started to fall on his sword",to fall on his sword,sich das Schwert in die Brust stoßen,"Er entschied sich, auf sein Schwert zu fallen und die Verantwortung für das Scheitern des Teams zu übernehmen."
fall on our feet,to succeed in doing something where there was a risk of failure,"Despite the challenges, we managed [[to fall on our feet]] and succeed","During the dance routine, we tripped and managed [[to fall on our feet]]","Despite the challenges, we managed to fall on our feet and succeed","During the dance routine, we tripped and managed to fall on our feet",to fall on our feet,auf die Füße fallen,"Trotz der Herausforderungen haben wir es geschafft, auf unsere Füße zu fallen und Erfolg zu haben."
fall out,to disagree with someone about something,[[They had a fall out]] over a disagreement about their business,"While climbing the tree, [[they had a fall out]] and landed on the ground",They had a fall out over a disagreement about their business,"While climbing the tree, they had a fall out and landed on the ground",They had a fall out,Sie hatten einen Streit.,Sie hatten einen Streit wegen einer Meinungsverschiedenheit über ihr Geschäft.
fan the flames,make a bad situation even worse,Their constant arguing only [[fanned the flames together]] and made the situation worse,They [[fanned the flames together]] to keep the campfire going,Their constant arguing only fanned the flames together and made the situation worse,They fanned the flames together to keep the campfire going,fanned the flames together,fachte die Flammen zusammen an,Ihr ständiges Streiten hat nur die Flammen zusammen angefacht und die Situation verschlimmert.
feather in your cap,It means to have an achievement in your name.,Winning the championship would be [[a feather in your cap]],The hat you're wearing has [[a feather in your cap]] as a decoration,Winning the championship would be a feather in your cap,The hat you're wearing has a feather in your cap as a decoration,a feather in your cap,Eine Feder in deiner Kappe.,"Den Meistertitel zu gewinnen, wäre eine Trophäe für dich."
feather one's (own) nest,"If you say that you are feathering your own nest, you mean that you are working so hard to gather resources (money) to live a comfortable life in the future.",She was accused of [[feathering her own nest]] by taking bribes,The bird was [[feathering her own nest]] with soft materials to make it cozy,She was accused of feathering her own nest by taking bribes,The bird was feathering her own nest with soft materials to make it cozy,feathering her own nest,Ihr eigenes Nest befiedern.,"Sie wurde beschuldigt, ihr eigenes Nest zu befiedern, indem sie Bestechungsgelder annahm."
feel the pinch,experience financial hardship,"After losing his job, [[he started to feel the pinch]] financially","When the crab grabbed his finger, [[he started to feel the pinch]]","After losing his job, he started to feel the pinch financially","When the crab grabbed his finger, he started to feel the pinch",he started to feel the pinch,"Er begann, den Druck zu spüren.","Nachdem er seinen Job verloren hatte, begann er finanziell zu spüren."
feet of clay,have a flaw or weakness most people are unaware of.,"Despite his confident demeanor, he [[had feet of clay]] when it came to public speaking",The statue [[had feet of clay]] as part of its unique design,"Despite his confident demeanor, he had feet of clay when it came to public speaking",The statue had feet of clay as part of its unique design,had feet of clay,hatte Füße aus Ton,Trotz seines selbstbewussten Auftretens hatte er bei öffentlichen Reden Schwächen.
fiddle while Rome burns,to perform an inconsequential task or act irresponsibly in the midst of a disastrous event.,He [[fiddled while Rome burned]] by playing video games during the company crisis,The musician [[fiddled while Rome burned]] as he was unaware of the fire,He fiddled while Rome burned by playing video games during the company crisis,The musician fiddled while Rome burned as he was unaware of the fire,fiddled while Rome burned,"Spielte Geige, während Rom brannte.","Er spielte Videospiele, während Rom brannte, während der Krise des Unternehmens."
fill the bill,be exactly suitable for a particular situation,The new employee [[filled the bill perfectly]] for the position we needed,The waiter [[filled the bill perfectly]] with all the items we ordered,The new employee filled the bill perfectly for the position we needed,The waiter filled the bill perfectly with all the items we ordered,filled the bill perfectly,erfüllte die Anforderungen perfekt,"Der neue Mitarbeiter hat perfekt die Anforderungen für die Stelle erfüllt, die wir brauchten."
fingers and thumbs,to be clumsy and not very skilled with your hands,"When it comes to knitting, I'm [[all fingers and thumbs]]",The hand puppet was [[all fingers and thumbs]] with no other features,"When it comes to knitting, I'm all fingers and thumbs",The hand puppet was all fingers and thumbs with no other features,all fingers and thumbs,alle Finger und Daumen,"Wenn es ums Stricken geht, bin ich total ungeschickt."
flash in the pan,"something that cannot be repeated, usually a positive concept","His sudden success turned out to be [[a flash in the pan]], as he couldn't maintain it","The oil caught fire, creating [[a flash in the pan]] while she was cooking","His sudden success turned out to be a flash in the pan, as he couldn't maintain it","The oil caught fire, creating a flash in the pan while she was cooking",a flash in the pan,ein Strohfeuer,"Sein plötzlicher Erfolg stellte sich als Strohfeuer heraus, da er ihn nicht aufrechterhalten konnte."
flesh and blood,"This phrase refers to direct family members, people that share a DNA, that is, flesh and blood.",I couldn't believe [[my own flesh and blood]] would betray me like that,The horror movie showed a scene where [[my own flesh and blood]] was exposed after a terrible accident,I couldn't believe my own flesh and blood would betray me like that,The horror movie showed a scene where my own flesh and blood was exposed after a terrible accident,my own flesh and blood,mein eigen Fleisch und Blut,"Ich konnte nicht glauben, dass mein eigen Fleisch und Blut mich so verraten würde."
foam at the mouth,be extremely angry,He [[was foaming at the mouth]] when he found out about the betrayal,The rabid dog [[was foaming at the mouth]] and needed to be isolated,He was foaming at the mouth when he found out about the betrayal,The rabid dog was foaming at the mouth and needed to be isolated,was foaming at the mouth,schäumte aus dem Mund,"Er schäumte vor Wut, als er von dem Verrat erfuhr."
foot in the door,succeed with a first step.,"By volunteering at the company, she [[got a foot in the door]] for a full-time position","When the door was closing, he quickly [[got a foot in the door]] to prevent it from shutting","By volunteering at the company, she got a foot in the door for a full-time position","When the door was closing, he quickly got a foot in the door to prevent it from shutting",got a foot in the door,Einen Fuß in der Tür haben.,"Indem sie ehrenamtlich in der Firma arbeitete, bekam sie einen Fuß in die Tür für eine Vollzeitstelle."
from A to Z,comprehensive,She studied the subject so thoroughly that she [[learned it from A to Z]],The alphabet book helped the child [[learned it from A to Z]],She studied the subject so thoroughly that she learned it from A to Z,The alphabet book helped the child learned it from A to Z,learned it from A to Z,Ich habe es von A bis Z gelernt.,"Sie hat das Thema so gründlich studiert, dass sie es von A bis Z gelernt hat."
full of beans,to be optimistic or enthusiastic,"After a good night's sleep, he [[seemed full of beans]] and ready to tackle the day",The bag [[seemed full of beans]] as it bulged and weighed heavily in her hand,"After a good night's sleep, he seemed full of beans and ready to tackle the day",The bag seemed full of beans as it bulged and weighed heavily in her hand,seemed full of beans,scheint voller Energie gewesen zu sein,"Nach einer guten Nacht schien er voller Energie zu sein und bereit, den Tag anzugehen."
get hitched,to get married,"After dating for five years, [[they decided to get hitched]] and start a family","During their road trip, [[they decided to get hitched]] to a trailer for extra storage","After dating for five years, they decided to get hitched and start a family","During their road trip, they decided to get hitched to a trailer for extra storage",they decided to get hitched,"Sie haben beschlossen, sich zu vermählen.",Nach fünf Jahren Beziehung beschlossen sie zu heiraten und eine Familie zu gründen.
get one's feet wet,to begin taking part in a new activity,[[They got their feet wet]] by starting with a small project before tackling the big one,[[They got their feet wet]] when they accidentally stepped into a puddle,They got their feet wet by starting with a small project before tackling the big one,They got their feet wet when they accidentally stepped into a puddle,They got their feet wet,Sie haben ihre Füße nass gemacht.,"Sie haben sich die Füße nass gemacht, indem sie mit einem kleinen Projekt begonnen haben, bevor sie das große angegangen sind."
get out of bed on the wrong side,be very irritable and grouchy,"He was so grumpy today, it seemed like he [[got out of bed on the wrong side]]","Due to the rearrangement of his room, he accidentally [[got out of bed on the wrong side]] and bumped into the wall","He was so grumpy today, it seemed like he got out of bed on the wrong side","Due to the rearrangement of his room, he accidentally got out of bed on the wrong side and bumped into the wall",got out of bed on the wrong side,Mit dem falschen Fuß aufgestanden.,"Er war heute so mürrisch, als ob er mit dem falschen Fuß aufgestanden wäre."
get the sack,be dismissed from the job,[[She got the sack from the company]] after failing to meet her sales targets,[[She got the sack from the company]] to carry her groceries home,She got the sack from the company after failing to meet her sales targets,She got the sack from the company to carry her groceries home,She got the sack from the company,Sie wurde von der Firma entlassen.,"Sie wurde von der Firma entlassen, nachdem sie ihre Verkaufsziele nicht erreicht hatte."
get the wrong end of the stick,to understand something in the wrong way,He misunderstood the situation and [[got the wrong end of the stick]],"While trying to pick up the stick, he accidentally [[got the wrong end of the stick]] covered in mud",He misunderstood the situation and got the wrong end of the stick,"While trying to pick up the stick, he accidentally got the wrong end of the stick covered in mud",got the wrong end of the stick,hat etwas falsch verstanden.,Er hat die Situation missverstanden und hat etwas falsch verstanden.
get your goat,irritate somebody,His constant teasing finally [[got your goat]] and made you angry,The farmer [[got your goat]] from the pen and brought it to you,His constant teasing finally got your goat and made you angry,The farmer got your goat from the pen and brought it to you,got your goat,Habe dich aufgezogen.,Sein ständiges Ärgern hat dich schließlich auf die Palme gebracht und dich wütend gemacht.
gets it out of his system,get rid of a strong emotion or desire by expressing it openly or trying to fulfill it,He needs to vent his frustrations to [[gets it out of his system]],"After taking the medicine, he finally [[gets it out of his system]] through detoxification",He needs to vent his frustrations to gets it out of his system,"After taking the medicine, he finally gets it out of his system through detoxification",gets it out of his system,Er lässt es aus seinem System raus.,"Er muss seine Frustrationen rauslassen, um sie loszuwerden."
getting my fingers burnt,"to suffer unpleasant results of an action, especially loss of money, so you do not want to do the same thing again","After investing in that risky business, I ended [[up getting my fingers burnt]]","While trying to light the candle, I ended [[up getting my fingers burnt]]","After investing in that risky business, I ended up getting my fingers burnt","While trying to light the candle, I ended up getting my fingers burnt",up getting my fingers burnt,Ich habe mir die Finger verbrannt.,"Nachdem ich in dieses riskante Geschäft investiert hatte, habe ich mir am Ende die Finger verbrannt."
give a shot,to have a try at something,"Even though he was nervous, he [[gave it a shot]] and presented his idea to the team",The nurse [[gave it a shot]] of vaccine to the patient,"Even though he was nervous, he gave it a shot and presented his idea to the team",The nurse gave it a shot of vaccine to the patient,gave it a shot,Ich habe es versucht.,"Obwohl er nervös war, hat er es versucht und seine Idee dem Team präsentiert."
give it a whirl,to try something new.,"Unsure of the outcome, [[he gave it a whirl]] and tried the new recipe",[[He gave it a whirl]] by spinning the wheel at the carnival game,"Unsure of the outcome, he gave it a whirl and tried the new recipe",He gave it a whirl by spinning the wheel at the carnival game,he gave it a whirl,Er hat es versucht.,"Unsicher über das Ergebnis, wagte er es und probierte das neue Rezept aus."
give the slip,to get away,She [[gave him the slip]] by sneaking out the back door,"She accidentally [[gave him the slip]] when she handed him a wet, slippery object",She gave him the slip by sneaking out the back door,"She accidentally gave him the slip when she handed him a wet, slippery object",gave him the slip,Gab ihm einen Korb.,"Sie entkam ihm, indem sie durch die Hintertür davongeschlichen ist."
glass ceiling,"an unseen (glass) barrier for women and people who belong to minority groups in climbing up the corporate, political or the ladder of success regardless of whether they are qualified for the job","Despite her qualifications, she [[hit the glass ceiling]] in her career progression","While installing the chandelier, he accidentally [[hit the glass ceiling]] and shattered it","Despite her qualifications, she hit the glass ceiling in her career progression","While installing the chandelier, he accidentally hit the glass ceiling and shattered it",hit the glass ceiling,stoße an die gläserne Decke,Trotz ihrer Qualifikationen stieß sie in ihrer Karriereentwicklung an die gläserne Decke.
