idiom,meaning,source_model,source_sentence,translation,afl,correctness
cut your own throat,to do something that will be the cause of your own failure or ruin your chances in the future,opus,cut his own throat,שיסף לעצמו את הגרון.,l,
,,opus,"By revealing company secrets, he [[cut his own throat]] and ruined his career","על ידי גילוי סודות החברה, הוא חתך את גרונו שלו והרס את הקריירה שלו",l,2
,,opus,"While shaving, he accidentally [[cut his own throat]] with the razor","בזמן הגילוח, הוא חתך בטעות את גרונו עם סכין הגילוח.",l,0
cut your own throat,to do something that will be the cause of your own failure or ruin your chances in the future,nllb,cut his own throat,חתך את גרונו.,l,
,,nllb,"By revealing company secrets, he [[cut his own throat]] and ruined his career","על ידי גילוי סודות החברה, הוא חתך את גרונו של עצמו והרס את הקריירה שלו",l,2
,,nllb,"While shaving, he accidentally [[cut his own throat]] with the razor","בזמן גילוח, הוא חתך בטעות את גרונו עם הסכין.",l,0
cut your own throat,to do something that will be the cause of your own failure or ruin your chances in the future,palm,cut his own throat,חתך את גרונו,l,
,,palm,"By revealing company secrets, he [[cut his own throat]] and ruined his career",גילוי סודות החברה חתך את גרונו והרס את הקריירה שלו,l,2
,,palm,"While shaving, he accidentally [[cut his own throat]] with the razor",תוך כדי גילוח הוא חתך בטעות את גרונו עם סכין הגילוח,l,0
deliver the goods,do what is required,nllb,delivered the goods on time,מסרו את הסחורה בזמן,l,
,,nllb,The new employee [[delivered the goods on time]] by meeting all the project deadlines,העובד החדש מסר את הסחורה בזמן על ידי ביצוע כל מועד הסוף של הפרויקט,l,2
,,nllb,The courier [[delivered the goods on time]] to the customer's doorstep,השליח מסר את הסחורה בזמן לדלת של הלקוח,l,0
deliver the goods,do what is required,opus,delivered the goods on time,מסר את הסחורה בזמן.,l,
,,opus,The new employee [[delivered the goods on time]] by meeting all the project deadlines,העובד החדש מסר את הסחורה בזמן על ידי עמידה בכל מועדי היעד של הפרויקט,l,2
,,opus,The courier [[delivered the goods on time]] to the customer's doorstep,השליח מסר את הסחורה בזמן למפתן דלתו של הלקוח.,l,0
deliver the goods,do what is required,palm,delivered the goods on time,משלוח המוצרים בזמן,l,
,,palm,The new employee [[delivered the goods on time]] by meeting all the project deadlines,עובד חדש סיפק את הסחורה בזמן על ידי עמידה בכל מועדי הפרויקט,f,0
,,palm,The courier [[delivered the goods on time]] to the customer's doorstep,חברת השליחויות סיפקה את הסחורה בזמן לדלת הלקוח,l,0
deliver the goods,do what is required,gpt,delivered the goods on time,מסר את המוצרים בזמן,l,
,,gpt,The new employee [[delivered the goods on time]] by meeting all the project deadlines,העובד החדש מסר את המסירות בזמן על ידי עמידה בכל מועדי הפרויקט.,l,2
,,gpt,The courier [[delivered the goods on time]] to the customer's doorstep,המשלוחן מסר את הסחורות בזמן לסף הבית של הלקוח.,l,1
everything but the kitchen sink,almost everything that one can think of,palm,packed everything but the kitchen sink,ארזתי הכל חוץ מהכיור,l,
,,palm,"For our camping trip, we [[packed everything but the kitchen sink]] to be prepared",טיול הקמפינג שלנו ארזנו הכל מלבד הכיור במטבח כדי להיות מוכנים,l,2
,,palm,"While moving, they [[packed everything but the kitchen sink]], which was left for the new owners",תוך כדי המעבר הם ארזו הכל חוץ מהכיור במטבח שנשאר לבעלי הבית החדשים,l,0
everything but the kitchen sink,almost everything that one can think of,opus,packed everything but the kitchen sink,ארז הכל חוץ מהכיור במטבח.,l,
,,opus,"For our camping trip, we [[packed everything but the kitchen sink]] to be prepared","לטיול המחנאות שלנו, ארזנו הכל חוץ מהכיור במטבח כדי להיות מוכנים.",l,2
,,opus,"While moving, they [[packed everything but the kitchen sink]], which was left for the new owners","בזמן המעבר, הם ארזו הכל חוץ מהכיור במטבח, שהושאר לבעלים החדשים",l,0
everything but the kitchen sink,almost everything that one can think of,nllb,packed everything but the kitchen sink,ארזתי הכל חוץ מהכיור במטבח.,l,
,,nllb,"For our camping trip, we [[packed everything but the kitchen sink]] to be prepared","למסע המחנאות שלנו, ארזנו הכל, אבל הכיור במטבח צריך להיות מוכן.",l,2
,,nllb,"While moving, they [[packed everything but the kitchen sink]], which was left for the new owners","בזמן המעבר, הם ארזו הכל חוץ מהכיור במטבח, שנשאר לבעלים החדשים",l,0
everything but the kitchen sink,almost everything that one can think of,gpt,packed everything but the kitchen sink,ארזתי הכל חוץ מכיור המטבח.,l,
,,gpt,"For our camping trip, we [[packed everything but the kitchen sink]] to be prepared","לטיול המחנאות שלנו, ארזנו הכל חוץ מכיור המטבח כדי להיות מוכנים.",l,2
,,gpt,"While moving, they [[packed everything but the kitchen sink]], which was left for the new owners","בזמן המעבר, הם ערכו את כל החפצים חוץ מכיור המטבח, שהושאר לבעלי הבית החדשים.",l,1
feather in your cap,It means to have an achievement in your name.,nllb,a feather in your cap,נוצה בכובע שלך.,l,
,,nllb,Winning the championship would be [[a feather in your cap]],לזכות באליפות תהיה נוצה בכובע שלך.,l,2
,,nllb,The hat you're wearing has [[a feather in your cap]] as a decoration,הכובע שאתה לובש יש נוצה בכובע שלך כעיטור,l,1
feather in your cap,It means to have an achievement in your name.,palm,a feather in your cap,אות כבוד,f,
,,palm,Winning the championship would be [[a feather in your cap]],זכייה באליפות תהיה כתר על ראשך,f,0
,,palm,The hat you're wearing has [[a feather in your cap]] as a decoration,כובע עם נוצות,l,2
feather in your cap,It means to have an achievement in your name.,gpt,a feather in your cap,עוף בכובע שלך,x,
,,gpt,Winning the championship would be [[a feather in your cap]],לזכות באליפות יהיה עוף בכפה שלך.,x,2
,,gpt,The hat you're wearing has [[a feather in your cap]] as a decoration,הכובע שאתה עונה עליו יש לו עט בתוך הכובע כקישוט.,l,2
feather in your cap,It means to have an achievement in your name.,opus,a feather in your cap,"""נוצה בכובעך,",l,
,,opus,Winning the championship would be [[a feather in your cap]],לזכות באליפות תהיה נוצה בכובע שלך.,l,2
,,opus,The hat you're wearing has [[a feather in your cap]] as a decoration,לכובע שאתה חובש יש נוצה בכובע כקישוט.,l,0
feel the pinch,experience financial hardship,palm,he started to feel the pinch,התחילו להרגיש את הלחץ,f,
,,palm,"After losing his job, [[he started to feel the pinch]] financially",לאחר שאיבד את עבודתו הוא התחיל להרגיש את הלחץ הכלכלי,f,0
,,palm,"When the crab grabbed his finger, [[he started to feel the pinch]]",כשהסרטן תפס את אצבעו הוא התחיל להרגיש את הצריבה,l,0
feel the pinch,experience financial hardship,gpt,he started to feel the pinch,הוא התחיל להרגיש את הלחץ,f,
,,gpt,"After losing his job, [[he started to feel the pinch]] financially","לאחר שאיבד את עבודתו, הוא התחיל להרגיש את הצמיחה כלכלית.",f,1
,,gpt,"When the crab grabbed his finger, [[he started to feel the pinch]]","כשהסרטן אחז באצבע שלו, הוא התחיל להרגיש את הצמרמורת.",l,1
feel the pinch,experience financial hardship,opus,he started to feel the pinch,הוא התחיל להרגיש צביטה.,l,
,,opus,"After losing his job, [[he started to feel the pinch]] financially","לאחר שאיבד את משרתו, הוא התחיל להרגיש צביטה כלכלית",l,2
,,opus,"When the crab grabbed his finger, [[he started to feel the pinch]]","כאשר הסרטן תפס את אצבעו, הוא התחיל להרגיש את צביטה",l,0
feel the pinch,experience financial hardship,nllb,he started to feel the pinch,הוא התחיל להרגיש את הצביטה.,l,
,,nllb,"After losing his job, [[he started to feel the pinch]] financially","אחרי שהוא איבד את עבודתו, הוא החל להרגיש את הצירפין מבחינה כלכלית",x,2
,,nllb,"When the crab grabbed his finger, [[he started to feel the pinch]]","כשהסרטן תפס את אצבעו, הוא החל להרגיש את הצביטה.",l,0
flash in the pan,"something that cannot be repeated, usually a positive concept",palm,a flash in the pan,אש זקופה,x,
,,palm,"His sudden success turned out to be [[a flash in the pan]], as he couldn't maintain it",ההצלחה הפתאומית שלו התבררה כבהבת חמה מכיוון שלא הצליח לשמר אותה,l,2
,,palm,"The oil caught fire, creating [[a flash in the pan]] while she was cooking",השמן התלקח והתרחשה התלקחות פתאומית במחבת בזמן שהיא בישלה,l,1
flash in the pan,"something that cannot be repeated, usually a positive concept",gpt,a flash in the pan,פָּנִים בַּזָּבַת.,x,
,,gpt,"His sudden success turned out to be [[a flash in the pan]], as he couldn't maintain it","הצלחתו הפתאומית התבררה כהברקה במחבת, מכיוון שהוא לא הצליח לשמר אותה.",l,2
,,gpt,"The oil caught fire, creating [[a flash in the pan]] while she was cooking","השמן נתפס באש, יוצר בזמן הבישול פלאש במחבת.",l,0
flash in the pan,"something that cannot be repeated, usually a positive concept",nllb,a flash in the pan,הבזק בפאנטה.,x,
,,nllb,"His sudden success turned out to be [[a flash in the pan]], as he couldn't maintain it","ההצלחה הפתאומית שלו התבררה כבהירה בתנור, כי הוא לא הצליח לשמור עליה.",l,2
,,nllb,"The oil caught fire, creating [[a flash in the pan]] while she was cooking","השמן עלה באש, ויצר הבזק בפאנק בזמן שהיא בישלה.",x,2
flash in the pan,"something that cannot be repeated, usually a positive concept",opus,a flash in the pan,הבזק במחבת,l,
,,opus,"His sudden success turned out to be [[a flash in the pan]], as he couldn't maintain it","ההצלחה הפתאומית שלו התבררה כהבזק במחבת, כפי שהוא לא יכול לשמור אותו",l,2
,,opus,"The oil caught fire, creating [[a flash in the pan]] while she was cooking","השמן עלה באש, ויצר הבזק במחבת בזמן שהיא בישלה",l,0
get hitched,to get married,opus,they decided to get hitched,הם החליטו להתחתן.,f,
,,opus,"After dating for five years, [[they decided to get hitched]] and start a family","אחרי שהם יצאו חמש שנים, הם החליטו להתחתן ולהקים משפחה.",f,0
,,opus,"During their road trip, [[they decided to get hitched]] to a trailer for extra storage","במהלך הנסיעה שלהם, הם החליטו להתחתן לקרוואן לאחסון נוסף",f,2
get hitched,to get married,nllb,they decided to get hitched,הם החליטו להתחתן.,f,
,,nllb,"After dating for five years, [[they decided to get hitched]] and start a family","אחרי שיצאו יחד במשך חמש שנים, הם החליטו להתחתן ולהקים משפחה.",f,0
,,nllb,"During their road trip, [[they decided to get hitched]] to a trailer for extra storage","במהלך הנסיעה שלהם, הם החליטו להיות קשור לקרון-הקרוואן כדי שיהיה להם מקום נוסף",l,1
get hitched,to get married,palm,they decided to get hitched,הם החליטו להתחתן,f,
,,palm,"After dating for five years, [[they decided to get hitched]] and start a family",חמישה שנה אחרי שהתחילו לצאת הם החליטו להתחתן ולהקים משפחה,f,1
,,palm,"During their road trip, [[they decided to get hitched]] to a trailer for extra storage",במהלך טיול הדרך שלהם הם החליטו להתחבר לקרוואן לאחסון נוסף,l,0
get hitched,to get married,gpt,they decided to get hitched,הם החליטו להתחתן,f,
,,gpt,"After dating for five years, [[they decided to get hitched]] and start a family","לאחר שהם נפגשו לפני חמש שנים, הם החליטו להתחתן ולהתחיל משפחה.",f,0
,,gpt,"During their road trip, [[they decided to get hitched]] to a trailer for extra storage","במהלך הטיול שלהם, הם החליטו לצמצם את המקום ולצמצם את הטריילר לאחסון נוסף.",x,1
go the extra mile,to make an extra effort,palm,he went the extra mile,הוא עשה מעל ומעבר,f,
,,palm,"To make sure the project was perfect, [[he went the extra mile]] and double - checked everything",כדי לוודא שהפרויקט היה מושלם הוא הלך רחוק יותר ובדק הכל פעמיים,f,0
,,palm,"During the marathon, [[he went the extra mile]] by mistake due to a wrong turn",במהלך המרתון הוא עשה קילומטר נוסף בטעות בגלל פניה שגויה,l,0
go the extra mile,to make an extra effort,gpt,he went the extra mile,הוא הלך צעד נוסף,f,
,,gpt,"To make sure the project was perfect, [[he went the extra mile]] and double - checked everything","כדי לוודא שהפרויקט היה מושלם, הוא הלך עוד קילומטר ובדק הכל פעמיים.",l,2
,,gpt,"During the marathon, [[he went the extra mile]] by mistake due to a wrong turn","במרתון, הוא הלך את המייל הנוסף בטעות בגלל פנייה לכיוון שגוי.",l,0
go the extra mile,to make an extra effort,opus,he went the extra mile,הוא הלך צעד נוסף.,f,
,,opus,"To make sure the project was perfect, [[he went the extra mile]] and double - checked everything","כדי לוודא שהפרויקט היה מושלם, הוא עשה צעד נוסף ובדק פעמיים הכל.",f,0
,,opus,"During the marathon, [[he went the extra mile]] by mistake due to a wrong turn","במהלך המרתון, הוא הלך צעד נוסף בטעות עקב פנייה לא נכונה",f,1
go the extra mile,to make an extra effort,nllb,he went the extra mile,הוא עשה מאמץ נוסף.,f,
,,nllb,"To make sure the project was perfect, [[he went the extra mile]] and double - checked everything","כדי לוודא שהפרויקט מושלם, הוא עשה מאמץ נוסף ובדק שוב ושוב את כל הדברים",f,0
,,nllb,"During the marathon, [[he went the extra mile]] by mistake due to a wrong turn","במהלך המרתון, הוא הלך קילומטר נוסף בטעות בגלל פנייה לא נכונה",l,0
go through a rough patch,to experience a lot of problems in a period of life,opus,going through a rough patch,עובר תקופה קשה.,f,
,,opus,"After losing her job, she was [[going through a rough patch]] in her life","לאחר שאיבדה את עבודתה, עברה עליה תקופה קשה בחייה.",f,0
,,opus,"While hiking, we were [[going through a rough patch]] filled with rocks and thorns","כשטיילנו, עברנו תקופה קשה מלאה בסלעים וקוצים.",f,2
go through a rough patch,to experience a lot of problems in a period of life,gpt,going through a rough patch,עובר תקופה קשה,f,
,,gpt,"After losing her job, she was [[going through a rough patch]] in her life","לאחר שאיבדה את עבודתה, היא עברה תקופה קשה בחייה.",f,0
,,gpt,"While hiking, we were [[going through a rough patch]] filled with rocks and thorns","במהלך הטיול, עברנו דרך חלק קשה מלא באבנים וקוצים.",l,0
go through a rough patch,to experience a lot of problems in a period of life,nllb,going through a rough patch,עובר תקופה קשה.,f,
,,nllb,"After losing her job, she was [[going through a rough patch]] in her life","אחרי שאיבדה את עבודתה, היא עברה תקופה קשה בחייה.",f,0
,,nllb,"While hiking, we were [[going through a rough patch]] filled with rocks and thorns","בזמן הליכה, עברנו דרך שטח קשה מלא סלעים וחרדים",l,0
go through a rough patch,to experience a lot of problems in a period of life,palm,going through a rough patch,עבר תקופה קשה,f,
,,palm,"After losing her job, she was [[going through a rough patch]] in her life",לאחר שאיבדתי את עבודתי עברתי תקופה קשה בחיי,f,1
,,palm,"While hiking, we were [[going through a rough patch]] filled with rocks and thorns",תוך כדי הליכה עברנו דרך קשה מלאה בסלעים וקוצצים,l,0
got in his hair,to annoy someone so much that they cannot get on with what they are doing,palm,got in his hair,התחפרה לו בשיער,l,
,,palm,The constant questions from his coworkers [[got in his hair]] and made it difficult to concentrate,שאלותיהם התמידיות של עמיתיו הטרידו אותו והקשתה עליו להתרכז,f,1
,,palm,The confetti from the party [[got in his hair]] and took a while to remove,ניירות הנפץ מהמסיבה נתקעו בשיערו והיה קשה להסיר אותם,l,0
got in his hair,to annoy someone so much that they cannot get on with what they are doing,nllb,got in his hair,נכנס בשיער שלו.,l,
,,nllb,The constant questions from his coworkers [[got in his hair]] and made it difficult to concentrate,השאלות המתמשכות של עמיתיו לעבודה היו מטרידות את שיערו ועשו את זה קשה להתרכז,l,2
,,nllb,The confetti from the party [[got in his hair]] and took a while to remove,הקונפטי מהמסיבה נכנס לשיער שלו ולקח לו זמן להוציא אותו.,l,0
got in his hair,to annoy someone so much that they cannot get on with what they are doing,opus,got in his hair,נכנס לשיער שלו.,l,
,,opus,The constant questions from his coworkers [[got in his hair]] and made it difficult to concentrate,השאלות הקבועות מעמיתיו לעבודה נכנסו לשיערו והקשיו עליו להתרכז,l,2
,,opus,The confetti from the party [[got in his hair]] and took a while to remove,הקונפטי מהמסיבה נכנס לשיער שלו ולקח לו קצת זמן להסיר,l,0
got in his hair,to annoy someone so much that they cannot get on with what they are doing,gpt,got in his hair,נכנס לשיער שלו,l,
,,gpt,The constant questions from his coworkers [[got in his hair]] and made it difficult to concentrate,השאלות התמידיות מקולגותיו גרמו לו להתקשות להתרכז.,f,0
,,gpt,The confetti from the party [[got in his hair]] and took a while to remove,הקונפטי מהמסיבה נכנס לשיער שלו ולקח זמן להסירו.,l,0
hard cheese,"bad luck, tough luck",palm,She experienced hard cheese,ניסתה גבינה קשה,l,
,,palm,[[She experienced hard cheese]] when she lost her job and had to start over,היא עברה תקופה קשה כשאיבדה את עבודתה והייתה צריכה להתחיל מחדש,f,0
,,palm,"While tasting different types of dairy products, [[she experienced hard cheese]] among them",תוך כדי טעימת סוגים שונים של מוצרי חלב היא ניסתה גבינה קשה ביניהם,l,0
hard cheese,"bad luck, tough luck",opus,She experienced hard cheese,היא חוותה גבינה קשה.,l,
,,opus,[[She experienced hard cheese]] when she lost her job and had to start over,היא חוותה גבינה קשה כשהיא איבדה את עבודתה והייתה צריכה להתחיל מחדש,l,2
,,opus,"While tasting different types of dairy products, [[she experienced hard cheese]] among them","בזמן שהיא טועמת סוגים שונים של מוצרי חלב, היא חוותה גבינה קשה ביניהם.",l,1
hard cheese,"bad luck, tough luck",nllb,She experienced hard cheese,היא חוותה גבינה קשה,l,
,,nllb,[[She experienced hard cheese]] when she lost her job and had to start over,היא חוותה גבינה קשה כשהיא איבדה את עבודתה והייתה צריכה להתחיל מחדש,l,2
,,nllb,"While tasting different types of dairy products, [[she experienced hard cheese]] among them","בזמן שהיא טעמתה סוגים שונים של מוצרי חלב, היא חוותה גבינה קשה ביניהם",l,1
hard cheese,"bad luck, tough luck",gpt,She experienced hard cheese,היא חוותה גבינה קשה,l,
,,gpt,[[She experienced hard cheese]] when she lost her job and had to start over,היא חוותה גבינה קשה כשהיא איבדה את עבודתה והייתה צריכה להתחיל מחדש.,l,2
,,gpt,"While tasting different types of dairy products, [[she experienced hard cheese]] among them","בזמן שהיא טעמה מגוונים של מוצרי חלב, היא חוותה גבינה קשה ביניהם.",l,1
hit the bull's-eye,to be exactly right about something or achieve the best result possible,palm,hit the bull's-eye,פגיעה בול,f,
,,palm,Her speech [[hit the bull's-eye]] and resonated with the audience,נאומה פגע בול והדהד בקהל,f,1
,,palm,"With a steady hand, she aimed and [[hit the bull's-eye]] on the target",יד יציבה היא כיוונה והחטיאה את המטרה,f,2
hit the bull's-eye,to be exactly right about something or achieve the best result possible,nllb,hit the bull's-eye,פגע בעין השור.,l,
,,nllb,Her speech [[hit the bull's-eye]] and resonated with the audience,הנאום שלה פגע בעין השור וזכה לתשומת לב הקהל,l,2
,,nllb,"With a steady hand, she aimed and [[hit the bull's-eye]] on the target","עם יד יציבה, היא כיוונה ונתקעה בכוונת המטרה",f,2
hit the bull's-eye,to be exactly right about something or achieve the best result possible,gpt,hit the bull's-eye,פגע במטרה,f,
,,gpt,Her speech [[hit the bull's-eye]] and resonated with the audience,הנאום שלה פגע במטרה והתאפק לקהל.,f,1
,,gpt,"With a steady hand, she aimed and [[hit the bull's-eye]] on the target","עם יד יציבה, היא כוונה ופגעה במטרה במרכז המטרה.",f,2
hit the bull's-eye,to be exactly right about something or achieve the best result possible,opus,hit the bull's-eye,פגע בול.,f,
,,opus,Her speech [[hit the bull's-eye]] and resonated with the audience,"הנאום שלה פגע בול, והדהד בקהל.",f,1
,,opus,"With a steady hand, she aimed and [[hit the bull's-eye]] on the target","עם יד יציבה, היא כיוונה ופגעה בול במטרה.",f,2
hold all the aces,be in a winning position.,palm,he held all the aces,הוא החזיק את כל האסים,l,
,,palm,"During the negotiation, [[he held all the aces]] and had the upper hand",במהלך המשא ומתן הוא החזיק בכל האסים והיה בעל היד העליונה,l,2
,,palm,"During the poker game, [[he held all the aces]] in his hand",במשחק הפוקר הוא החזיק את כל האסים בידו,l,0
hold all the aces,be in a winning position.,nllb,he held all the aces,הוא החזיק את כל האס,l,
,,nllb,"During the negotiation, [[he held all the aces]] and had the upper hand","במהלך המשא ומתן, הוא החזיק את כל האסס והיה לו את היתרון",l,2
,,nllb,"During the poker game, [[he held all the aces]] in his hand","במהלך משחק הפוקר, הוא החזיק את כל האס ביד שלו.",l,1
hold all the aces,be in a winning position.,gpt,he held all the aces,הוא החזיק את כל האסים,l,
,,gpt,"During the negotiation, [[he held all the aces]] and had the upper hand","במהלך המו""מ, היה לו את כל הקלפים והוא היה בידיים העליונות.",f,1
,,gpt,"During the poker game, [[he held all the aces]] in his hand","במהלך המשחק של הפוקר, הוא החזיק את כל האסים בידו.",l,0
hold all the aces,be in a winning position.,opus,he held all the aces,הוא החזיק את כל האסים.,l,
,,opus,"During the negotiation, [[he held all the aces]] and had the upper hand","במהלך המשא ומתן, הוא החזיק את כל האסים והיה לו את היד העליונה",l,2
,,opus,"During the poker game, [[he held all the aces]] in his hand","במהלך משחק הפוקר, הוא החזיק את כל האסים בידו.",l,0
in the loop,to be aware of the information,palm,kept in the loop,מעורבים בעניין,f,
,,palm,"As a team member, I want to be [[kept in the loop]] about project updates",כבעל תפקיד בצוות אני רוצה להיות מעודכן בעדכונים של הפרויקט,f,0
,,palm,The rope was [[kept in the loop]] to secure the boat to the dock,חבלים נשמרים במעגל כדי לאבטח את הסירה למזח,l,2
in the loop,to be aware of the information,gpt,kept in the loop,נשמר בלולאה,l,
,,gpt,"As a team member, I want to be [[kept in the loop]] about project updates","כחבר צוות, אני רוצה להיות מעודכן בכל העדכונים בפרויקט.",f,0
,,gpt,The rope was [[kept in the loop]] to secure the boat to the dock,החבל נשמר בלול כדי לאבטח את הסירה למורד.,l,2
in the loop,to be aware of the information,nllb,kept in the loop,שמור על הפרטים.,f,
,,nllb,"As a team member, I want to be [[kept in the loop]] about project updates","כחבר צוות, אני רוצה להיות מעודכן לגבי עדכונים בפרויקט",f,0
,,nllb,The rope was [[kept in the loop]] to secure the boat to the dock,החבל היה מחובר כדי לאחוז את הסירה במזח.,l,1
in the loop,to be aware of the information,opus,kept in the loop,שמור בלולאה,l,
,,opus,"As a team member, I want to be [[kept in the loop]] about project updates","כחבר צוות, אני רוצה להיות כל הזמן בלולאה על עדכוני פרויקט",l,2
,,opus,The rope was [[kept in the loop]] to secure the boat to the dock,החבל נשמר בלולאה כדי לאבטח את הסירה לרציף.,l,0
kick the bucket,to die,palm,kicked the bucket together,נספו יחד,f,
,,palm,"The old couple, inseparable in life, [[kicked the bucket together]] in their sleep",הזוג המבוגר שהיה בלתי נפרד בחייו נפטר יחד בשנתם,f,0
,,palm,"While cleaning the barn, they accidentally [[kicked the bucket together]] and spilled water everywhere",תוך כדי ניקוי האסם הם בעטו בטעות יחד בדלי והשפיעו מים בכל מקום,l,1
kick the bucket,to die,gpt,kicked the bucket together,הם נפלו יחד לגלילם.,x,
,,gpt,"The old couple, inseparable in life, [[kicked the bucket together]] in their sleep","הזוג הזקן, שהיו בלתי נפרדים בחיים, הלכו לעולמם ביחד בשינה.",f,0
,,gpt,"While cleaning the barn, they accidentally [[kicked the bucket together]] and spilled water everywhere","בזמן שהם ניקו את האסם, הם בטעות זרקו את הדלי ביחד והפיצו מים בכל מקום.",l,1
kick the bucket,to die,opus,kicked the bucket together,בעטנו בדלי ביחד.,l,
,,opus,"The old couple, inseparable in life, [[kicked the bucket together]] in their sleep","הזוג הזקן, בלתי נפרד בחיים, בעט את הדלי יחד בשנתם",l,2
,,opus,"While cleaning the barn, they accidentally [[kicked the bucket together]] and spilled water everywhere","בזמן שניקינו את האסם, הם בטעות בעטו בדלי יחד ושפכו מים בכל מקום.",l,0
kick the bucket,to die,nllb,kicked the bucket together,"""הרגנו את עצמנו יחד.",f,
,,nllb,"The old couple, inseparable in life, [[kicked the bucket together]] in their sleep","הזוג הזקן, בלתי נפרד בחיים, בעטו את הדלי יחד בשנתם",l,2
,,nllb,"While cleaning the barn, they accidentally [[kicked the bucket together]] and spilled water everywhere","בזמן ניקוי האסם, הם בעטו בטעות בדלי יחד ושפכו מים בכל מקום",l,0
know which side one's bread is buttered,to be cognizant of where one's interests lie in a given situation.,palm,knows which side his bread is buttered,ידע על איזה צד הלחם שלו מרוח חמאה,l,
,,palm,"He always supports the boss's decisions, showing that he [[knows which side his bread is buttered]]",הוא תמיד תומך בהחלטות הבוס ומראה שהוא יודע על איזה צד הלחם שלו מרוח חמאה,l,2
,,palm,He carefully observed the sandwich and [[knows which side his bread is buttered]] to avoid getting his hands greasy,הוא בחן את הסנדוויץ' בקפידה וידע איזה צד של הלחם שלו הוא עם חמאה כדי להימנע מללכלך את ידיו,l,0
know which side one's bread is buttered,to be cognizant of where one's interests lie in a given situation.,opus,knows which side his bread is buttered,יודע באיזה צד הלחם שלו מרוח בחמאה.,l,
,,opus,"He always supports the boss's decisions, showing that he [[knows which side his bread is buttered]]","הוא תמיד תומך בהחלטות של הבוס, מראה שהוא יודע באיזה צד הלחם שלו מרוח בחמאה",l,2
,,opus,He carefully observed the sandwich and [[knows which side his bread is buttered]] to avoid getting his hands greasy,הוא צפה בזהירות בכריך ויודע באיזה צד לחם הוא חמאה כדי להימנע מקבל ידיו שמנוניות,l,0
know which side one's bread is buttered,to be cognizant of where one's interests lie in a given situation.,nllb,knows which side his bread is buttered,יודע באיזה צד לחם שלו חמאה,l,
,,nllb,"He always supports the boss's decisions, showing that he [[knows which side his bread is buttered]]","הוא תמיד תומך בהחלטות הבוס, מראה שהוא יודע באיזה צד לחם שלו הוא חמאה",l,2
,,nllb,He carefully observed the sandwich and [[knows which side his bread is buttered]] to avoid getting his hands greasy,הוא מתבונן בזהירות בסנדוויץ' ויודע באיזה צד לחם שלו יש חמאה כדי למנוע את ידיו שמנות,l,1
know which side one's bread is buttered,to be cognizant of where one's interests lie in a given situation.,gpt,knows which side his bread is buttered,יודע איזה צד של הלחם שלו מומחה.,x,
,,gpt,"He always supports the boss's decisions, showing that he [[knows which side his bread is buttered]]","הוא תמיד תומך בהחלטות המנהל, מראה שהוא יודע על איזו צד הלחמניות שלו מפוזרות.",x,2
,,gpt,He carefully observed the sandwich and [[knows which side his bread is buttered]] to avoid getting his hands greasy,הוא עקב בזהירות אחרי הכרובית ויודע על איזו צדדי הלחם הוא מזין חמאה כדי למנוע מלככב ידיים שמנות.,x,2
on the line,to be at serious risk.,gpt,She put it on the line,היא הניחה את זה על הקו.,l,
,,gpt,[[She put it on the line]] when she confronted her boss about the unfair treatment,היא הציבה את זה על הקו כשהתמודדה עם המנהל שלה על הטיפול הבלתי הוגן.,l,2
,,gpt,[[She put it on the line]] to dry after washing her clothes,היא נתנה את זה על החבל לייבוש לאחר כביסת הבגדים שלה.,l,1
on the line,to be at serious risk.,opus,She put it on the line,היא סיכנה את זה.,f,
,,opus,[[She put it on the line]] when she confronted her boss about the unfair treatment,היא סיכנה את זה כשהיא התעמתה עם הבוס שלה על הטיפול הלא הוגן.,f,0
,,opus,[[She put it on the line]] to dry after washing her clothes,היא הניחה אותו על הקו לייבוש לאחר שכבסה את בגדיה,l,1
on the line,to be at serious risk.,nllb,She put it on the line,היא סיכנה את זה.,f,
,,nllb,[[She put it on the line]] when she confronted her boss about the unfair treatment,היא סיכנה את זה כשהיא התמודדה עם הבוס שלה על הטיפול הלא הוגן,f,0
,,nllb,[[She put it on the line]] to dry after washing her clothes,היא שמה את זה על הקו כדי להתייבש אחרי שטיפת הבגדים שלה,l,1
on the line,to be at serious risk.,palm,She put it on the line,נתנה אותו על הקו,l,
,,palm,[[She put it on the line]] when she confronted her boss about the unfair treatment,היא העמידה את זה על השולחן כשהתעמתה עם הבוס שלה על היחס הלא הוגן,f,2
,,palm,[[She put it on the line]] to dry after washing her clothes,היא תלה אותו על החבל לייבוש לאחר ששטפה את הבגדים,l,1
on the pig's back,a successful situation and everything is going well for that person,opus,was riding on the pig's back,רכב על גבו של החזיר.,l,
,,opus,"After winning the lottery, he [[was riding on the pig's back]] and enjoying his newfound wealth","לאחר שזכה בלוטו, הוא רכב על גבו של החזיר ונהנה מעושרו החדש.",l,2
,,opus,"At the farm, the child [[was riding on the pig's back]] for fun","בחווה, הילד רכב על גבו של החזיר בשביל הכיף.",l,0
on the pig's back,a successful situation and everything is going well for that person,gpt,was riding on the pig's back,רכב על גב החזיר,l,
,,gpt,"After winning the lottery, he [[was riding on the pig's back]] and enjoying his newfound wealth","לאחר שזכה בגרלה, הוא רכב על גב החזיר ונהנה מהעושר החדש שלו.",l,2
