annotations_ambiguous,annotations_figurative,annotations_literal,error,idiom,intended_ambiguous_old,intended_ambiguous,intended_figurative_old,intended_figurative,intended_literal_old,intended_literal,iter,maxvote - for sort,maxvote_ambiguous,maxvote_figurative,maxvote_literal,meaning,not_found,well_formed,converted
"['literal', 'figurative', 'figurative']","['literal', 'ambiguous', 'figurative']","['literal', 'ambiguous', 'literal']",False,catch up,I'm trying to catch up,catch up with her,I'm trying to catch up with the latest trends in fashion,I need to catch up with her to discuss the latest news,I'm trying to catch up with the bus I missed,I had to run faster to catch up with her during the race,0.0,figurative : ambiguous : literal,figurative,ambiguous,literal,"to get to the same level, standard, or status as something or someone",False,False,False
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'figurative', 'literal']",False,caught between two stools,She was caught between two stools,caught between two stools,She was caught between two stools as she tried to make a difficult choice,he was caught between two stools when deciding between the two job offers,She was caught between two stools as she wasn't tall enough to reach the counter,"while trying to balance, she was caught between two stools and fell",0.0,ambiguous : figurative : literal,ambiguous,figurative,literal,"come between two alternatives, and so fail to fulfill either of them",False,True,False
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,caught in the crossfire,He got caught in the crossfire,caught in the crossfire,He got caught in the crossfire of the political debate and couldn't escape,"during the heated debate between her friends, she felt caught in the crossfire",He got caught in the crossfire when the shots rang out,"during the intense paintball match, he was caught in the crossfire between two opposing teams",0.0,ambiguous : figurative : literal,ambiguous,figurative,literal,be badly affected by a situation where two people or group are arguing with each other.,False,True,False
"['figurative', 'ambiguous', 'ambiguous']","['literal', 'literal', 'figurative']","['figurative', 'ambiguous', 'literal']",False,chapter and verse,She can tell you chapter and verse,gave them chapter and verse,"She can tell you chapter and verse about the situation, as if it came out of a textbook","when asked about the new policy, she gave them chapter and verse on the company's regulations",She can tell you chapter and verse from the Bible,the priest gave them chapter and verse from the Bible during the sermon,0.0,ambiguous : literal : ambiguous,ambiguous,literal,ambiguous,verbatim; word for word details.,False,False,False
"['ambiguous', 'ambiguous', 'ambiguous']","['literal', 'figurative', 'figurative']","['literal', 'figurative', 'literal']",False,child's play,This is child's play,it was child's play,This is child's play compared to what I usually do,solving the puzzle it was child's play for the experienced detective,This is child's play as I have been playing this with my niece,the playground equipment it was child's play for the kids to enjoy,0.0,ambiguous : figurative : literal,ambiguous,figurative,literal,an informal expression meaning something that is easy to do,False,True,False
"['figurative', 'literal', 'literal']","['literal', 'literal', 'literal']","['literal', 'literal', 'literal']",False,chill to the bone,The wind was chill to the bone,chilled to the bone,The wind was chill to the bone; I felt so uncomfortable when I stepped outside today,the eerie atmosphere of the haunted house left us chilled to the bone,The wind was chill to the bone; I felt like my very bones were freezing,"after being outside in the freezing weather, we were chilled to the bone",0.0,literal : literal : literal,literal,literal,literal,to get frightened or scare somebody,False,False,False
"['ambiguous', 'literal', 'literal']","['literal', 'ambiguous', 'literal']","['literal', 'literal', 'literal']",False,chill wind,The chill wind blew,a chill wind blew,"The chill wind blew, leaving feelings of dread and isolation in its path","when the news of the layoffs arrived, a chill wind blew through the office",The chill wind blew as the cold weather arrived,"as we walked through the forest, a chill wind blew and made us shiver",0.0,literal : literal : literal,literal,literal,literal,to encounter the problems or trouble,False,False,False
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']",False,chink in armour,The chink in his armour,found a chink in their armour,The chink in his armour was his lack of empathy,"after analyzing their strategy, we found a chink in their armour that we could exploit",The chink in his armour was a tear in the fabric,"while examining the knight's suit, he found a chink in their armour that needed repair",0.0,ambiguous : figurative : figurative,ambiguous,figurative,figurative,a susceptible or vulnerable area.,False,False,False
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'figurative', 'literal']",False,chip on shoulder,He has a chip on his shoulder,had a chip on his shoulder,He has a chip on his shoulder ever since his promotion got denied,he had a chip on his shoulder after being passed over for the promotion,He has a chip on his shoulder from the accident which gave him a physical scar,"while carrying a wooden plank, he accidentally had a chip on his shoulder from a splinter",0.0,ambiguous : figurative : literal,ambiguous,figurative,literal,holding a grudge or grievance,False,True,False
"['ambiguous', 'ambiguous', 'ambiguous']","['literal', 'ambiguous', 'figurative']","['literal', 'literal', 'ambiguous']",False,choke up,He choked up,he started to choke up,He choked up during his speech when he talked about his parents,"hearing the sad news, he started to choke up and could n't speak",He choked up when he was trying to swallow his food,"while eating too quickly, he started to choke up on a piece of food",0.0,ambiguous : ambiguous : literal,ambiguous,ambiguous,literal,make a person become overemotional and speechless,False,False,True
"['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,clamp down,They clamped down on free speech,clamp down on the situation,They clamped down on free speech by introducing new regulations on protests,the principal decided to clamp down on the situation by enforcing stricter rules,They clamped down on free speech by using metal clamps to attach protesters' mouths shut,the mechanic used a tool to clamp down on the situation and secure the loose parts,0.0,figurative : figurative : literal,figurative,figurative,literal,suppress or prevent something in an oppressive or harsh manner,False,False,False
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'ambiguous', 'figurative']",False,clean slate,She started with a clean slate,start with a clean slate,"She started with a clean slate, enabling her to achieve her desired goals without any setbacks","after apologizing, they decided to start with a clean slate and rebuild their friendship","She started with a clean slate, giving her the opportunity to write down new ideas without erasing any old ones",the artist decided to start with a clean slate by wiping off the chalkboard,0.0,ambiguous : figurative : ambiguous,ambiguous,figurative,ambiguous,to wipe the past out and begin afresh,False,False,False
"['figurative', 'figurative', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,clean sweep,They made a clean sweep,made a clean sweep,They made a clean sweep when they spoke up boldly and won the debate,the team made a clean sweep by winning all the matches in the tournament,They made a clean sweep when they used the broom to clean the entire room,the janitor made a clean sweep of the classroom floor,0.0,figurative : figurative : literal,figurative,figurative,literal,an irresistible victory,False,False,False
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,clear the air,We need to clear the air,cleared the air with her,We need to clear the air by calmly tackling the issue and putting our differences aside,"after the argument, we cleared the air with her by discussing our feelings",We need to clear the air by opening up all the windows,we cleared the air with her by opening the windows to let the smoke out,0.0,ambiguous : figurative : literal,ambiguous,figurative,literal,get rid of all doubts and negative feelings,False,True,False
"['ambiguous', 'ambiguous', 'ambiguous']","['ambiguous', 'literal', 'figurative']","['literal', 'ambiguous', 'literal']",False,clear the decks,We need to clear the decks,cleared the decks for the event,We need to clear the decks before we begin the project,we cleared the decks for the event by finishing all our pending tasks,We need to clear the decks of the boat to make it ready for the voyage,we cleared the decks for the event by removing all the furniture from the patio,0.0,ambiguous : ambiguous : literal,ambiguous,ambiguous,literal,get ready for action.,False,False,False
"['figurative', 'ambiguous', 'figurative']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,cloak and dagger,The meeting was cloak and dagger,involved in a cloak and dagger,"The meeting was cloak and dagger, full of secretive and suspicious activities",the spy was involved in a cloak and dagger operation to uncover government secrets,The meeting was cloak and dagger as everyone was wearing a cape and sword,the costume designer was involved in a cloak and dagger project for the upcoming play,0.0,figurative : figurative : literal,figurative,figurative,literal,of or characteristic of the activities of spies and undercover agents.,False,False,False
"['ambiguous', 'figurative', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'figurative']",False,close call,That was a close call,had a close call,That was a close call when I almost missed the deadline,he had a close call when he narrowly avoided a car accident,That was a close call since the car stopped just inches away from me,the two phones had a close call when they were placed side by side,0.0,ambiguous : figurative : literal,ambiguous,figurative,literal,a narrow escape from disaster,False,True,False
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,cloud on the horizon,There's a cloud on the horizon,a cloud on the horizon,"There's a cloud on the horizon, meaning that something bad is about to happen","despite the success of the project, there was a cloud on the horizon in the form of budget cuts",There's a cloud on the horizon as storm clouds are rolling in,"as we looked out to sea, we noticed a cloud on the horizon signaling an approaching storm",0.0,ambiguous : figurative : literal,ambiguous,figurative,literal,"a problem or difficulty that is predictable, or seems likely to arise in the future",False,True,False
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'ambiguous']",False,coast is clear,The coast is clear,the coast is clear,The coast is clear for us to plan our big project,"after the security guard left, we knew the coast is clear to enter the building",The coast is clear of people so we can go swimming,"looking through the binoculars, the sailor confirmed that the coast is clear of any obstacles",0.0,ambiguous : figurative : literal,ambiguous,figurative,literal,there is no danger in sight or that nobody can see you,False,True,False
"['ambiguous', 'ambiguous', 'figurative']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,coin money,He was coining money,coining money together,He was coining money quickly by playing the stock market,their successful business venture had them coining money together in no time,He was coining money by minting coins in his basement,"as mint workers, they were coining money together at the factory",0.0,ambiguous : figurative : literal,ambiguous,figurative,literal,make a great deal of money easily or very quickly.,False,True,False
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,cold feet,He had cold feet,she got cold feet,He had cold feet when it came to getting married as he felt hesitant,she got cold feet just before her big presentation,He had cold feet as he was standing outside in the snow,"after walking in the snow without proper shoes, she got cold feet",0.0,ambiguous : figurative : literal,ambiguous,figurative,literal,loss of courage,False,True,True
"['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'figurative']",False,cold turkey,She went cold turkey,going cold turkey,She went cold turkey and made an effort to quit smoking,he quit smoking by going cold turkey without any assistance,She went cold turkey and made an effort to cook a turkey without any spices,"she was going cold turkey for her sandwich, but decided to add some cheese",0.0,figurative : figurative : literal,figurative,figurative,literal,in a unexpected and sudden way,False,False,False
"['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']","['figurative', 'literal', 'literal']",False,comb through,He combed through the books,comb through the documents,He combed through the books to find the answer he was looking for,the detective had to comb through the documents to find any evidence,He combed through the books as if he was brushing his hair,she had to comb through the documents to remove the paper clips that got tangled in them,0.0,figurative : figurative : literal,figurative,figurative,literal,to look into something carefully.,False,False,False
"['ambiguous', 'ambiguous', 'ambiguous']","['literal', 'ambiguous', 'figurative']","['literal', 'literal', 'figurative']",False,come across,I came across it,came across the old book,I came across it while scrolling through social media,"while researching, I came across the old book that provided valuable information",I came across it when I walked in front of the store,"walking through the library, I accidentally stepped on and came across the old book lying on the floor",1.0,ambiguous : ambiguous : literal,ambiguous,ambiguous,literal,to meet someone,False,False,False
"['figurative', 'figurative', 'ambiguous']","['figurative', 'figurative', 'figurative']","['ambiguous', 'literal', 'ambiguous']",False,come clean,"He finally came clean"" ",decided to come clean,He finally came clean and confessed all of his lies,"after hiding the truth for so long, he decided to come clean about his past",He finally came clean and washed the dishes,"after playing in the mud, the kids decided to come clean and took a bath",0.0,figurative : figurative : ambiguous,figurative,figurative,ambiguous,to make a disclosure,False,False,False
"['literal', 'ambiguous', 'figurative']","['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'literal']",False,come down with,She came down with something,came down with something,She came down with something when she heard the bad news,he came down with something after being exposed to the cold weather,She came down with something because she was running a fever,the kite came down with something tangled in its strings,0.0,ambiguous : figurative : figurative,ambiguous,figurative,figurative,to have (usually a disease),False,False,False
"['figurative', 'figurative', 'figurative']","['figurative', 'literal', 'figurative']","['literal', 'literal', 'figurative']",False,come full circle,The situation has come full circle,came full circle,The situation has come full circle when it eventually returned to its original point,"after years of exploring different career paths, she came full circle and returned to her passion for teaching",The situation has come full circle as it went around and around in a circular motion,the hiker came full circle after walking around the entire circumference of the lake,0.0,figurative : figurative : literal,figurative,figurative,literal,return to an earlier position or decision.,False,False,False
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'ambiguous', 'literal']",False,come out swinging,He came out swinging,he came out swinging,He came out swinging when he spoke up about unfair business practices,"after the criticism, he came out swinging with a strong rebuttal",He came out swinging when he joined the boxing class,"as soon as the boxing match started, he came out swinging at his opponent",0.0,ambiguous : figurative : literal,ambiguous,figurative,literal,be confrontational,False,True,True
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['ambiguous', 'literal', 'literal']",False,cook his goose,He's cooked his goose,cooked his goose,He's cooked his goose by lying about his credentials,"when he was caught cheating, his teacher cooked his goose by failing him",He's cooked his goose for dinner,"for dinner, the chef cooked his goose with a delicious orange sauce",0.0,ambiguous : figurative : literal,ambiguous,figurative,literal,to spoil someone's chances of success,False,True,False
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,cool heels,They had to cool their heels,cooling their heels,They had to cool their heels and wait patiently for the instructions to arrive,they were cooling their heels in the waiting room before the interview,They had to cool their heels in the shade to reduce the action of the sweat glands,"after walking on hot sand, they were cooling their heels in the ocean water",0.0,ambiguous : figurative : literal,ambiguous,figurative,literal,to wait or take rest,False,True,False
"['figurative', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,cool your jets,I told him to cool his jets,told him to cool his jets,I told him to cool his jets when he became angry and started shouting,"when he started getting impatient, I told him to cool his jets and wait for the results",I told him to cool his jets because his plane was moving too fast,"as the mechanic, I told him to cool his jets before inspecting the engine",0.0,ambiguous : figurative : literal,ambiguous,figurative,literal,to calm down and stop being so anxious or elated.,False,True,False
"['figurative', 'figurative', 'ambiguous']","['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']",False,cost an arm and a leg,This painting cost an arm and a leg,cost an arm and a leg,This painting cost an arm and a leg because of its high quality,the designer dress she wanted cost an arm and a leg,"This painting cost an arm and a leg, which I had to pay in order to buy it","in the horror movie, the haunted house's entry fee cost an arm and a leg as a gruesome form of payment",1.0,figurative : figurative : figurative,figurative,figurative,figurative,very expensive,False,False,False
"['ambiguous', 'ambiguous', 'ambiguous']","['ambiguous', 'ambiguous', 'ambiguous']","['literal', 'literal', 'literal']",False,count chicken,I'm counting chicken,counting chickens before they hatch,I'm counting chicken before they've hatched,he was counting chickens before they hatch when he started planning his victory party,I'm counting chicken to make sure I have enough for dinner,the farmer was counting chickens before they hatch by estimating the number of eggs that would become chicks,0.0,ambiguous : ambiguous : literal,ambiguous,ambiguous,literal,make plans based on events that may or may not happen,False,False,False
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,cover one's tracks,He covered his tracks,covered their tracks,He covered his tracks by deleting his browsing history,the thief covered their tracks by wiping away fingerprints,He covered his tracks with weeds so the hiker wouldn't find them,they covered their tracks in the snow by walking backward,0.0,ambiguous : figurative : literal,ambiguous,figurative,literal,"to keep one's location, activities, and intentions hidden.",False,True,False
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,crack the whip,He cracked the whip,cracked the whip on the team,He cracked the whip to get his team motivated and complete their tasks,the manager cracked the whip on the team to meet the deadline,He cracked the whip to startle the horses and get them moving,the circus performer cracked the whip on the team of horses to start the show,0.0,ambiguous : figurative : literal,ambiguous,figurative,literal,make someone work harder by asserting power or authority,False,True,False
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,cross paths,We crossed paths,cross paths with her,We crossed paths earlier today when I saw you at the store,I never thought I would cross paths with her again after high school,We crossed paths when we were running the same route,"while walking in the park, we happened to cross paths with her at the intersection",0.0,ambiguous : figurative : literal,ambiguous,figurative,literal,encounter or meet someone by chance.,False,True,False
"['figurative', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,cross swords,We crossed swords,crossed swords with him,"We crossed swords in our debate, trying to outwit and out-argue each other","during the heated debate, she crossed swords with him over their differing opinions","We crossed swords, as we staged a fencing match","at the fencing tournament, they crossed swords with him in a thrilling match",0.0,ambiguous : figurative : literal,ambiguous,figurative,literal,to fight with another person physically or verbally.,False,True,False
"['literal', 'ambiguous', 'ambiguous']","['figurative', 'literal', 'ambiguous']","['literal', 'literal', 'literal']",False,cross the bridge,We have to cross the bridge,crossed the bridge together,We have to cross the bridge when we get to the difficult part of the journey,they crossed the bridge together when they decided to face their problems as a team,We have to cross the bridge over the river because the other side is where we need to go,the two friends crossed the bridge together while enjoying the scenic view,0.0,ambiguous : ambiguous : literal,ambiguous,ambiguous,literal,to delay worrying about something that might not happen anyway,False,False,False
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'ambiguous', 'literal']",False,cross the line,He crossed the line,crossed the line with her,He crossed the line when it came to showing disrespect,he crossed the line with her when he made that inappropriate comment,He crossed the line as he stepped into the wrong side of the street,"during the race, he crossed the line with her as they finished together",0.0,ambiguous : figurative : literal,ambiguous,figurative,literal,behave in a way that is not acceptable,False,True,False
"['ambiguous', 'ambiguous', 'figurative']","['figurative', 'figurative', 'figurative']","['literal', 'ambiguous', 'literal']",False,crowning glory,Her crowning glory shone brightly,her crowning glory,Her crowning glory shone brightly as she achieved success in her career,winning the championship was her crowning glory after years of hard work,Her crowning glory shone brightly as she wore a sparkling tiara,the ornate tiara was her crowning glory at the royal ball,0.0,ambiguous : figurative : literal,ambiguous,figurative,literal,The greatest or most beautiful thing,False,True,False
"['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']","['literal', 'ambiguous', 'literal']",False,crush,I have a crush on him,have a crush,"I have a crush on him, I feel butterflies in my stomach when I'm around him",she couldn't help but have a crush on the charming new coworker,"I have a crush on him, I literally want to crush him in a hug when I see him",the machine was designed to have a crush on the aluminum cans for recycling,0.0,figurative : figurative : literal,figurative,figurative,literal,feel love-sick for someone.,False,False,False
"['ambiguous', 'ambiguous', 'figurative']","['figurative', 'figurative', 'figurative']","['figurative', 'literal', 'figurative']",False,cry over spilt milk,Don't cry over spilt milk,crying over spilt milk,Don't cry over spilt milk; it's not worth wallowing in regret,there's no point in crying over spilt milk now that the deadline has passed,Don't cry over spilt milk; it's a complete waste of tears,the toddler was crying over spilt milk on the kitchen floor,0.0,ambiguous : figurative : figurative,ambiguous,figurative,figurative,to be upset about things that have already been done,False,False,False
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'literal']","['literal', 'literal', 'ambiguous']",False,cup of tea,It's not my cup of tea,not my cup of tea,It's not my cup of tea as I don't find it enjoyable,"skydiving is not my cup of tea, I prefer calmer activities",It's not my cup of tea as I don't like how it tastes,"this green tea is not my cup of tea, I ordered black tea",0.0,ambiguous : figurative : literal,ambiguous,figurative,literal,to like something,False,True,False
"['ambiguous', 'figurative', 'ambiguous']","['literal', 'figurative', 'figurative']","['ambiguous', 'literal', 'literal']",False,curiosity killed the cat,Her curiosity killed the cat,curiosity killed the cat,"Her curiosity killed the cat, as she wanted to know what was happening behind closed doors","he couldn't resist snooping around, but as they say, curiosity killed the cat","Her curiosity killed the cat, as she fed it some poisonous food","the feline approached the dangerous machine, and unfortunately, curiosity killed the cat",0.0,ambiguous : figurative : literal,ambiguous,figurative,literal,too much curiosity can lead to dangerous situations,False,True,False
"['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']",False,cut and dried,The situation is cut and dried,a cut and dried decision,The situation is cut and dried; there's no more room for discussion,"with her impressive qualifications, it was a cut and dried decision to hire her",The situation is cut and dried; it was decided weeks ago,the process of making fruit leather involves a cut and dried decision with the fruit,1.0,figurative : figurative : figurative,figurative,figurative,figurative,ready-made,False,False,False
"['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'figurative']",False,cut and thrust,The negotiations involved some cut and thrust,the cut and thrust of the debate,The negotiations involved some cut and thrust with both parties giving and taking to come to an understanding,the politicians engaged in the cut and thrust of the debate during the election campaign,The negotiations involved some cut and thrust with both sides wielding swords,the fencing match displayed the cut and thrust of the debate between two skilled opponents,0.0,figurative : figurative : literal,figurative,figurative,literal,"furious contest, discussion, etc.",False,False,False
"['ambiguous', 'figurative', 'literal']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,cut coat according to cloth,They cut their coat according to cloth,cut their coat according to their cloth,They cut their coat according to cloth as they knew their financial constraints,they cut their coat according to their cloth by living within their means,They cut their coat according to cloth so that it fits them perfectly,the tailor cut their coat according to their cloth to avoid wasting fabric,0.0,ambiguous : figurative : literal,ambiguous,figurative,literal,"adapt to one's circumstances, make sure one's plans are appropriate to one's resources.",False,True,False
"['figurative', 'figurative', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'figurative', 'figurative']",False,cut corners,He cut corners on the project,cut corners on the project,"He cut corners on the project by doing a shoddy job, sacrificing quality for speed","to save time and money, they cut corners on the project by using cheaper materials",He cut corners on the project by making the edges less sharp to save material,the carpenter cut corners on the project to create a rounded shape,0.0,figurative : figurative : figurative,figurative,figurative,figurative,"economise on time, money, materials or effort, perhaps unwisely",False,False,False
"['literal', 'ambiguous', 'ambiguous']","['literal', 'literal', 'literal']","['literal', 'literal', 'literal']",False,cut down,We had to cut down the tree,cut down the tree,We had to cut down the tree to make room for the new flower bed,he had to cut down the tree of his ego to become a better person,We had to cut down the tree because it was blocking the view,the lumberjack used a chainsaw to cut down the tree in the forest,0.0,ambiguous : literal : literal,ambiguous,literal,literal,to reduce the amount of something (usually bad),False,False,False
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,cut the cord,I had to cut the cord,cut the cord with her,I had to cut the cord and move out of my parents' house,he decided to cut the cord with her and end their toxic relationship,I had to cut the cord that held the balloon in place,the nurse cut the cord with her after the baby was born,0.0,ambiguous : figurative : literal,ambiguous,figurative,literal,to end a connection with someone,False,True,False
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,cut the mustard,He cut the mustard,couldn't cut the mustard,He cut the mustard by performing brilliantly at his presentation,"despite his efforts, he couldn't cut the mustard in the competitive sales environment",He cut the mustard to top his sandwich with,"with a dull knife, she couldn't cut the mustard for her sandwich",0.0,ambiguous : figurative : literal,ambiguous,figurative,literal,to succeed,False,True,False
"['literal', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['ambiguous', 'figurative', 'ambiguous']",False,cut your own throat,You'll be cutting your own throat,cut his own throat,You'll be cutting your own throat if you don't accept this opportunity,"by revealing company secrets, he cut his own throat and ruined his career",You'll be cutting your own throat if you don't find a way to stop yourself,"while shaving, he accidentally cut his own throat with the razor",0.0,ambiguous : figurative : ambiguous,ambiguous,figurative,ambiguous,to do something that will be the cause of your own failure or ruin your chances in the future,False,False,False
"['ambiguous', 'ambiguous', 'figurative']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,cutting edge,"They are on the cutting edge"" ",on the cutting edge,They are on the cutting edge of technology as they always have the newest gadgets,their research is on the cutting edge of technology,They are on the cutting edge of their knives as they sharpen them before going hunting,the chef's knife was on the cutting edge of the countertop,0.0,ambiguous : figurative : literal,ambiguous,figurative,literal,to be among the latest and the best (often used for technological advancements),False,True,False
"['literal', 'ambiguous', 'ambiguous']","['literal', 'literal', 'literal']","['literal', 'literal', 'literal']",False,dance to tune,She danced to the tune,danced to the tune,She danced to the tune of the energetic music,he always danced to the tune of his boss's demands,She danced to the tune which the musician was playing,"at the party, they danced to the tune of their favorite song",0.0,ambiguous : literal : literal,ambiguous,literal,literal,to do what someone else forces you to do,False,False,False
"['ambiguous', 'ambiguous', 'ambiguous']","['literal', 'figurative', 'figurative']","['ambiguous', 'ambiguous', 'literal']",False,dancing on their grave,They were dancing on their grave,dancing on their grave,They were dancing on their grave to celebrate the downfall of their competitor,he was so happy about his rival's failure that he was practically dancing on their grave,They were dancing on their grave at the cemetery,the disrespectful teenagers were caught dancing on their grave in the cemetery,0.0,ambiguous : figurative : ambiguous,ambiguous,figurative,ambiguous,outlive or outlast someone and celebrate their demise,False,False,False
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['ambiguous', 'literal', 'literal']",False,dark horse,He's a dark horse,a dark horse in the race,He's a dark horse since no one really knows his true abilities,"the new candidate was a dark horse in the race, surprising everyone with his unexpected success","He's a dark horse since he has black patches on his coat""",the trainer brought a dark horse in the race to compete against the other thoroughbreds,0.0,ambiguous : figurative : literal,ambiguous,figurative,literal,"a little known, unexpectedly successful entrant",False,True,False
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,dead and buried,It's dead and buried,that issue is dead and buried,It's dead and buried - the idea was completely dismissed,"we resolved our differences, so that issue is dead and buried now",It's dead and buried - we gave the deceased the proper burial ceremony,the archaeologist confirmed that that issue is dead and buried beneath the ancient ruins,0.0,ambiguous : figurative : literal,ambiguous,figurative,literal,no longer in use.,False,True,False
"['literal', 'ambiguous', 'ambiguous']","['figurative', 'ambiguous', 'ambiguous']","['figurative', 'literal', 'ambiguous']",False,dead duck,He's a dead duck,a dead duck in the situation,"He's a dead duck and there is no way to save him."" ","without any support, he was a dead duck in the situation and couldn't succeed",He's a dead duck after his heart stopped beating,the hunter shot down a dead duck in the situation and retrieved it,0.0,ambiguous : ambiguous : ambiguous,ambiguous,ambiguous,ambiguous,a project or scheme which has been abandoned or is certain to fail,False,False,False
"['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']",False,dead in the water,The project is dead in the water,found it dead in the water,The project is dead in the water and there's nothing more we can do about it,the project was found it dead in the water after the funding was cut,The project is dead in the water as it can't move due to lack of resources,the fisherman found it dead in the water while he was out on the lake,0.0,figurative : figurative : figurative,figurative,figurative,figurative,unable to produce movement,False,False,False
"['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']","['literal', 'figurative', 'figurative']",False,deep down,She knew deep down,deep down in the ocean,She knew deep down that she deserved a better job,he knew deep down in the ocean of his heart that he had made the right decision,She knew deep down in her heart that she was capable of achieving her goals,the divers explored the shipwreck deep down in the ocean,0.0,figurative : figurative : figurative,figurative,figurative,figurative,felt strongly and often hidden from other people,False,False,False
"['ambiguous', 'ambiguous', 'ambiguous']","['literal', 'ambiguous', 'ambiguous']","['literal', 'literal', 'literal']",False,deliver the goods,They delivered the goods,delivered the goods on time,They delivered the goods when they accomplished the mission,the new employee delivered the goods on time by meeting all the project deadlines,They delivered the goods when the package arrived,the courier delivered the goods on time to the customer's doorstep,0.0,ambiguous : ambiguous : literal,ambiguous,ambiguous,literal,do what is required,False,False,False
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,dial it back,He dialed it back,dial it back a bit,He dialed it back as he wanted to try a more subdued approach,he was advised to dial it back a bit during the heated discussion,He dialed it back on the radio to his favorite station,"the radio was too loud, so she had to dial it back a bit",0.0,ambiguous : figurative : literal,ambiguous,figurative,literal,"to reduce the intensity of something, or tone it down",False,True,False
