idiom,meaning,intended_ambiguous,maxvote_ambiguous,intended_figurative,maxvote_figurative,intended_literal,maxvote_literal,annotations_ambiguous,annotations_figurative,annotations_literal,well_formed,maxvote - for sort
bite the hand that feed,to turn against someone who has been a benefactor in the past,He bit the hand that feed him,ambiguous,He bit the hand that feed him by insulting his boss and not showing respect,figurative,He bit the hand that feed him when the food he was given had a sharp edge,ambiguous,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['ambiguous', 'literal', 'ambiguous']",FALSE,ambiguous : figurative : ambiguous
bits and pieces,miscellaneous small objects,I know the story in bits and pieces,figurative,I know the story in bits and pieces as I've heard it from various people,figurative,I know the story in bits and pieces since I pieced the story together from scraps of paper I found,literal,"['figurative', 'figurative', 'figurative']","['literal', 'figurative', 'figurative']","['literal', 'literal', 'literal']",FALSE,figurative : figurative : literal
bitter medicine,something difficult to accept,It was a bitter medicine,ambiguous,It was a bitter medicine to have to tell my friend the bad news,figurative,It was a bitter medicine because I had to drink something I didn't like,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
bitter pill,something unpleasant to be endured,I had to swallow the bitter pill,ambiguous,I had to swallow the bitter pill of making a mistake,figurative,I had to swallow the bitter pill the doctor prescribed me,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'ambiguous', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
black and blue,"hurt, either bodily, emotionally or psychologically",My arm is black and blue,literal,My arm is black and blue because of the emotional abuse I've been through,ambiguous,My arm is black and blue because of the fall I took yesterday,literal,"['literal', 'literal', 'ambiguous']","['literal', 'ambiguous', 'figurative']","['literal', 'literal', 'literal']",FALSE,literal : ambiguous : literal
black book,a book containing a list of secret contacts,He wrote it in his black book,ambiguous,He wrote it in his black book so he would never forget it,ambiguous,He wrote it in his black book when the ink matched,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['ambiguous', 'ambiguous', 'literal']","['literal', 'literal', 'literal']",FALSE,ambiguous : ambiguous : literal
black hole,a place in which things are lost never to be seen again,He fell into a black hole,ambiguous,He fell into a black hole when he got fired without notice,figurative,He fell into a black hole literally when he gazed at the stars outside his window,ambiguous,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'figurative', 'ambiguous']",FALSE,ambiguous : figurative : ambiguous
black sheep,a disgrace,He was the black sheep,ambiguous,He was the black sheep in the family and an outcast in the social circle,figurative,He was the black sheep of the family and he was the only one with black wool,literal,"['ambiguous', 'figurative', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
blank check,Complete authority or unrestricted freedom of action or a free hand.,He gave me a blank check,ambiguous,"He gave me a blank check when it came to decisions, to emphasize his trust in me and my judgement",figurative,He gave me a blank check with no funds in it,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'ambiguous']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
blazing row,a very angry argument,They had a blazing row,figurative,They had a blazing row where they shouted angrily at each other,figurative,They had a blazing row in which they fired and burned candles,literal,"['figurative', 'figurative', 'ambiguous']","['ambiguous', 'figurative', 'figurative']","['ambiguous', 'literal', 'literal']",FALSE,figurative : figurative : literal
blind as a bat,unconscious to something,He is blind as a bat,figurative,He is blind as a bat when it comes to his own mistakes,figurative,He is blind as a bat because he was born without sight,literal,"['figurative', 'ambiguous', 'figurative']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",FALSE,figurative : figurative : literal
blind leading the blind,someone who does not understand something but tries to explain it to others,We were the blind leading the blind,ambiguous,We were the blind leading the blind when we tried to solve this difficult problem without any help,figurative,We were the blind leading the blind as we physically held each other's hands to guide ourselves,literal,"['ambiguous', 'figurative', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
blind spot,"if you have a blind spot about something, you cannot accept or understand it",He has a blind spot,ambiguous,He has a blind spot when it comes to making financial decisions,figurative,He has a blind spot in his vision because of a medical condition,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'literal', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
"blood, sweat, and tears",putting a lot of effort to get a task done.,"It took blood, sweat, and tears",figurative,"It took blood, sweat, and tears to make this business a success",figurative,"It took blood, sweat, and tears due to all the injured hands",literal,"['figurative', 'figurative', 'ambiguous']","['figurative', 'figurative', 'figurative']","['ambiguous', 'literal', 'literal']",FALSE,figurative : figurative : literal
blow away,impress someone very much,The audience was blown away,ambiguous,The audience was blown away by his incredible performance,figurative,The audience was blown away by the strong wind,literal,"['figurative', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
blow cover,to reveal the true identity,He blew his cover,figurative,He blew his cover when he revealed his true identity to the enemy,literal,He blew his cover as he took off his hat,ambiguous,"['figurative', 'ambiguous', 'figurative']","['literal', 'literal', 'figurative']","['figurative', 'ambiguous', 'literal']",FALSE,figurative : literal : ambiguous
blow his own horn,to talk about oneself or one's achievements especially in a way that shows pride or too much pride,He was blowing his own horn,ambiguous,He was blowing his own horn by talking about how great he is,figurative,He was blowing his own horn to announce his presence,ambiguous,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['ambiguous', 'figurative', 'ambiguous']",FALSE,ambiguous : figurative : ambiguous
blow your own trumpet,to say things that makes your own self or kin look good,He was blowing his own trumpet,ambiguous,"He was blowing his own trumpet, talking about all of his achievements",figurative,"He was blowing his own trumpet, playing loudly in the park",literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
blowing smoke,to intentionally misinform or deceive,He was blowing smoke,ambiguous,"He was blowing smoke, making empty promises that he never intended to keep",figurative,He was blowing smoke from his cigarette into the air,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
blue blood,a member of an upper-class family,His blue blood,ambiguous,His blue blood indicates his rich and noble background,figurative,His blue blood makes his veins visible on his porcelain white skin,literal,"['figurative', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
blue eyed boy,a person who is treated with special favor.,He stayed the blue eyed boy,ambiguous,He stayed the blue eyed boy as he was always the apple of his teacher's eye,figurative,He stayed the blue eyed boy with his bright blue eyes,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'literal', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
body and soul,with all one's effort and ability,She gave it her body and soul,figurative,"She gave it her body and soul, meaning that she put in her full effort and attention in finishing the project",figurative,"She gave it her body and soul, meaning that she didn't just complete it with her mind but with her physical presence as well",ambiguous,"['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']","['figurative', 'literal', 'ambiguous']",FALSE,figurative : figurative : ambiguous
bone to pick,having a complaint that needs to be discussed.,I have a bone to pick,ambiguous,I have a bone to pick with you about what you said earlier,figurative,I have a bone to pick with the dog,ambiguous,"['ambiguous', 'ambiguous', 'figurative']","['figurative', 'figurative', 'figurative']","['ambiguous', 'ambiguous', 'ambiguous']",FALSE,ambiguous : figurative : ambiguous
born yesterday,naive; inexperienced,He's not born yesterday,ambiguous,"He's not born yesterday, meaning he knows what he's doing when it comes to financial management",figurative,He's not born yesterday; he turned forty earlier this month,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'ambiguous']",TRUE,ambiguous : figurative : literal
bread and butter,to indicate what a person earns or earns for,His bread and butter,ambiguous,"His bread and butter is his professional skills, which he uses to support his family",figurative,His bread and butter are the meals he eats every day to survive,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['ambiguous', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
break a leg,good luck,I wish you break a leg,ambiguous,I wish you break a leg in your upcoming audition,figurative,I wish you break a leg so that you'll stay home and rest,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
break down,to stop working,He had a breakdown,ambiguous,He had a breakdown due to too much stress,figurative,He had a breakdown when his car stopped working,ambiguous,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'literal']","['ambiguous', 'literal', 'ambiguous']",FALSE,ambiguous : figurative : ambiguous
break new ground,to do something innovative,He broke new ground,ambiguous,He broke new ground by building the first eco-friendly car,figurative,He broke new ground by digging into the earth,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'literal', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
break the ice,"to do or say something that makes people feel more comfortable, especially at the start of a meeting or party",Let's break the ice,ambiguous,Let's break the ice and get to know each other better,figurative,Let's break the ice by skating on it,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'ambiguous', 'literal']",TRUE,ambiguous : figurative : literal
break the mould,to do something different from what is expected,She's breaking the mould,ambiguous,She's breaking the mould and carving a path for herself in the industry,figurative,She's breaking the mould to create a new sculpture,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'ambiguous', 'literal']",TRUE,ambiguous : figurative : literal
break up,end a romantic relationship with someone,They broke up,ambiguous,They broke up after having a huge argument,figurative,They broke up the furniture in their house in a fit of rage,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
bright spark,an intelligent and lively person (humorously),He's a bright spark,figurative,He's a bright spark; understanding the most complicated concepts quickly,figurative,He's a bright spark; lighting up the night sky with all of the wild firework designs he created,ambiguous,"['figurative', 'figurative', 'ambiguous']","['figurative', 'figurative', 'figurative']","['ambiguous', 'ambiguous', 'literal']",FALSE,figurative : figurative : ambiguous
bring home the bacon,to go out and earn a living or earn money for the family,He brings home the bacon,ambiguous,He brings home the bacon by working overtime to support the family,figurative,He brings home the bacon every morning from the grocery store,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
buckle down,make sure something stays in place,I need to buckle down,ambiguous,I need to buckle down and get this project done in time,figurative,I need to buckle down the straps of my backpack,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
build bridges,to foster good relationships,They've been building bridges,ambiguous,They've been building bridges to connect people with different backgrounds and ideas,figurative,They've been building bridges by constructing physical structures over water,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
building blocks,something that is a basic element (of the subject),The building blocks are there,ambiguous,The building blocks are there to launch a successful business,figurative,The building blocks are there to build a fort,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'ambiguous', 'literal']",TRUE,ambiguous : figurative : literal
bull in a china shop,"extremely awkward, clumsy person",He acted like a bull in a china shop,figurative,"He acted like a bull in a china shop when making decisions, breaking many fragile objects as he went",figurative,"He acted like a bull in a china shop, charging through the store shelves and knocking them over",literal,"['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'ambiguous']","['literal', 'figurative', 'literal']",FALSE,figurative : figurative : literal
bull's eye,the center of a target,I hit the bull's eye,ambiguous,I hit the bull's eye by acing the presentation,figurative,I hit the bull's eye with the arrow during target practice,ambiguous,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['figurative', 'ambiguous', 'literal']",FALSE,ambiguous : figurative : ambiguous
bun in the oven,to be pregnant,They have a bun in the oven,ambiguous,They have a bun in the oven and are expecting their first child,figurative,They have a bun in the oven and are baking it for their lunch,literal,"['ambiguous', 'figurative', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
bundle up,to dress warmly to protect oneself from the elements,We have to bundle up,ambiguous,We have to bundle up our resources so we can manage them more efficiently,ambiguous,We have to bundle up because it's cold outside,figurative,"['ambiguous', 'ambiguous', 'literal']","['ambiguous', 'figurative', 'literal']","['figurative', 'figurative', 'literal']",FALSE,ambiguous : ambiguous : figurative
burn bridges,"remove someone's all options of retreat, act decisively",He burned bridges,ambiguous,He burned bridges by leaving without saying goodbye,figurative,He burned bridges when he lit a match,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
burn fingers,to bear an unpleasant result of an action that has been taken in the past,He burnt his fingers,ambiguous,He burnt his fingers when he invested everything in that risky business,figurative,He burnt his fingers when he accidentally touched the heated stove,literal,"['ambiguous', 'literal', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
burn the candle at both ends,to exhaust someone's energies or resources by leading a hectic life.,She's been burning the candle at both ends,ambiguous,She's been burning the candle at both ends trying to get her schoolwork and her extracurriculars done in time,figurative,She's been burning the candle at both ends and now it has melted,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
burst the bubble,the sudden end of a very happy or successful period,She burst the bubble,ambiguous,She burst the bubble of high hopes when she said no to the job offer,figurative,She burst the bubble when she threw a stone at it,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
bury head in the sand,hide from the truth,He buried his head in the sand,ambiguous,He buried his head in the sand when he heard the difficult news,figurative,"He buried his head in the sand, making a sandcastle",literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'ambiguous', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
bury the hatchet,to stop fighting or arguing or to end old resentments,We buried the hatchet,ambiguous,We buried the hatchet to make up after our argument,figurative,We buried the hatchet in the ground,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
butter up,to flatter someone so as to get something in return from them,He was buttering up the boss,figurative,He was buttering up the boss by complimenting his work style,figurative,He was buttering up the boss by giving her a jar of fresh butter,figurative,"['figurative', 'ambiguous', 'figurative']","['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']",FALSE,figurative : figurative : figurative
butterflies in stomach,to feel very nervous and restless,He had butterflies in his stomach,figurative,He had butterflies in his stomach when he gave his first public speech,figurative,He had butterflies in his stomach because he ate butterfly larvae,literal,"['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",FALSE,figurative : figurative : literal
call a spade a spade,this phrase means to say something the way it is,She calls a spade a spade,ambiguous,She calls a spade a spade and never sugarcoats her opinions,figurative,She calls a spade a spade when she points to the gardening tools,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
call bluff,"to challenge to prove one's claim, when they are likely attempting to deceive",You can call his bluff,ambiguous,You can call his bluff and see if he really has the resources to carry out his plan,figurative,You can call his bluff and make him show his cards,ambiguous,"['ambiguous', 'figurative', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'ambiguous', 'figurative']",FALSE,ambiguous : figurative : ambiguous
call it a day,"stop doing something, especially working",Let's call it a day,ambiguous,"Let's call it a day, since we have achieved all our goals and can't do anything more",figurative,"Let's call it a day, since it is already dark outside",figurative,"['figurative', 'ambiguous', 'ambiguous']","['figurative', 'literal', 'figurative']","['literal', 'figurative', 'figurative']",FALSE,ambiguous : figurative : figurative
call names,to insult someone,She called names,ambiguous,She called names to disparage his character,figurative,She called names to get his attention,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
call on,"use courage, reserve, nerve or strength to achieve something",She called on him,ambiguous,She called on him to help her in her time of need,literal,She called on him when he was at the door,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['literal', 'literal', 'literal']","['literal', 'literal', 'literal']",FALSE,ambiguous : literal : literal
camp follower,"a person who is supportive of the cause, person or organisation",He was a camp follower,ambiguous,"He was a camp follower, forever eager to join the popular trends and fit in with the crowd",figurative,"He was a camp follower, following his army camp wherever it went",literal,"['ambiguous', 'figurative', 'ambiguous']","['figurative', 'figurative', 'ambiguous']","['literal', 'ambiguous', 'literal']",TRUE,ambiguous : figurative : literal
can of worms,"to get into something that is messy, has problems and is unwanted",It opened up a can of worms,ambiguous,It opened up a can of worms when they started investigating the case,figurative,It opened up a can of worms when they tried to open the can,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['ambiguous', 'figurative', 'figurative']","['ambiguous', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
can't stand the sight of,to hate someone very much,I can't stand the sight of him,ambiguous,I can't stand the sight of him because he keeps breaking promises and lying,figurative,I can't stand the sight of him because he's so ugly,literal,"['figurative', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'ambiguous']",TRUE,ambiguous : figurative : literal
card up sleeve,to have a secret advantage that is suddenly revealed to change the game,He had a card up his sleeve,ambiguous,He had a card up his sleeve when he asked for a raise at work,figurative,He had a card up his sleeve when he was playing poker,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
cards are stacked against,"someone is not likely to succeed, especially because the person is not being given a fair chance",The cards are stacked against him,ambiguous,The cards are stacked against him because the odds of his success are low,figurative,The cards are stacked against him in the poker game,figurative,"['figurative', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'ambiguous']",FALSE,ambiguous : figurative : figurative
carrot and stick,mixture of rewards and punishments,Using the carrot and stick,ambiguous,"Using the carrot and stick approach, I motivated the team to complete the task on time",figurative,"Using the carrot and stick, I managed to get the donkey to move",literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
carry on,to continue with something,I had to carry on,figurative,I had to carry on when my best friend passed away,figurative,I had to carry on with my daily tasks even though it was tiring,figurative,"['figurative', 'figurative', 'ambiguous']","['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']",FALSE,figurative : figurative : figurative
carry out,"put something into action, to accomplish something, to do something.",We had to carry out,ambiguous,We had to carry out the task quickly and efficiently,figurative,We had to carry out the heavy laundry basket,literal,"['ambiguous', 'ambiguous', 'figurative']","['figurative', 'figurative', 'figurative']","['ambiguous', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
carry the torch for,to have strong feelings for someone with whom you do not or cannot have a relationship,She carried the torch for him,ambiguous,"She carried the torch for him, keeping his memory alive even after he passed away",figurative,"She carried the torch for him, lighting his way in the dark",literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
cash in,to earn out of something in big amounts,You should cash in,ambiguous,You should cash in on your hard work and success by taking that opportunity,figurative,You should cash in the coupon that's about to expire,ambiguous,"['ambiguous', 'literal', 'ambiguous']","['figurative', 'figurative', 'figurative']","['ambiguous', 'literal', 'figurative']",FALSE,ambiguous : figurative : ambiguous
castles in the air,thinking of some impossible task,They are building castles in the air,figurative,They are building castles in the air instead of having realistic goals,figurative,They are building castles in the air using only clouds and air,literal,"['figurative', 'ambiguous', 'figurative']","['figurative', 'figurative', 'figurative']","['ambiguous', 'literal', 'literal']",FALSE,figurative : figurative : literal
cat among the pigeons,do or say something that causes trouble and make a lot of people angry or worried,He caused a cat among the pigeons,ambiguous,He caused a cat among the pigeons when he mentioned that he was considering changing jobs,figurative,He caused a cat among the pigeons when he actually brought it into the garden,literal,"['figurative', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'ambiguous']",TRUE,ambiguous : figurative : literal
catch napping,"surprise, take unawares.",I was caught napping,ambiguous,I was caught napping while I was distracted by other tasks,figurative,I was caught napping while I was taking a nap,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
catch up,"to get to the same level, standard, or status as something or someone",I'm trying to catch up,figurative,I'm trying to catch up with the latest trends in fashion,ambiguous,I'm trying to catch up with the bus I missed,literal,"['literal', 'figurative', 'figurative']","['literal', 'ambiguous', 'figurative']","['literal', 'ambiguous', 'literal']",FALSE,figurative : ambiguous : literal
caught between two stools,"come between two alternatives, and so fail to fulfill either of them",She was caught between two stools,ambiguous,She was caught between two stools as she tried to make a difficult choice,figurative,She was caught between two stools as she wasn't tall enough to reach the counter,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'figurative', 'literal']",TRUE,ambiguous : figurative : literal
caught in the crossfire,be badly affected by a situation where two people or group are arguing with each other.,He got caught in the crossfire,ambiguous,He got caught in the crossfire of the political debate and couldn't escape,figurative,He got caught in the crossfire when the shots rang out,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
chapter and verse,verbatim; word for word details.,She can tell you chapter and verse,ambiguous,"She can tell you chapter and verse about the situation, as if it came out of a textbook",literal,She can tell you chapter and verse from the Bible,ambiguous,"['figurative', 'ambiguous', 'ambiguous']","['literal', 'literal', 'figurative']","['figurative', 'ambiguous', 'literal']",FALSE,ambiguous : literal : ambiguous
child's play,an informal expression meaning something that is easy to do,This is child's play,ambiguous,This is child's play compared to what I usually do,figurative,This is child's play as I have been playing this with my niece,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['literal', 'figurative', 'figurative']","['literal', 'figurative', 'literal']",TRUE,ambiguous : figurative : literal
chill to the bone,to get frightened or scare somebody,The wind was chill to the bone,literal,The wind was chill to the bone; I felt so uncomfortable when I stepped outside today,literal,The wind was chill to the bone; I felt like my very bones were freezing,literal,"['figurative', 'literal', 'literal']","['literal', 'literal', 'literal']","['literal', 'literal', 'literal']",FALSE,literal : literal : literal
chill wind,to encounter the problems or trouble,The chill wind blew,literal,"The chill wind blew, leaving feelings of dread and isolation in its path",literal,The chill wind blew as the cold weather arrived,literal,"['ambiguous', 'literal', 'literal']","['literal', 'ambiguous', 'literal']","['literal', 'literal', 'literal']",FALSE,literal : literal : literal
chink in armour,a susceptible or vulnerable area.,The chink in his armour,ambiguous,The chink in his armour was his lack of empathy,figurative,The chink in his armour was a tear in the fabric,figurative,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']",FALSE,ambiguous : figurative : figurative
chip on shoulder,holding a grudge or grievance,He has a chip on his shoulder,ambiguous,He has a chip on his shoulder ever since his promotion got denied,figurative,He has a chip on his shoulder from the accident which gave him a physical scar,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'figurative', 'literal']",TRUE,ambiguous : figurative : literal
choke up,make a person become overemotional and speechless,He choked up,ambiguous,He choked up during his speech when he talked about his parents,ambiguous,He choked up when he was trying to swallow his food,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['literal', 'ambiguous', 'figurative']","['literal', 'literal', 'ambiguous']",FALSE,ambiguous : ambiguous : literal
clamp down,suppress or prevent something in an oppressive or harsh manner,They clamped down on free speech,figurative,They clamped down on free speech by introducing new regulations on protests,figurative,They clamped down on free speech by using metal clamps to attach protesters' mouths shut,literal,"['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",FALSE,figurative : figurative : literal
clean slate,to wipe the past out and begin afresh,She started with a clean slate,ambiguous,"She started with a clean slate, enabling her to achieve her desired goals without any setbacks",figurative,"She started with a clean slate, giving her the opportunity to write down new ideas without erasing any old ones",ambiguous,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'ambiguous', 'figurative']",FALSE,ambiguous : figurative : ambiguous
clean sweep,an irresistible victory,They made a clean sweep,figurative,They made a clean sweep when they spoke up boldly and won the debate,figurative,They made a clean sweep when they used the broom to clean the entire room,literal,"['figurative', 'figurative', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",FALSE,figurative : figurative : literal
clear the air,get rid of all doubts and negative feelings,We need to clear the air,ambiguous,We need to clear the air by calmly tackling the issue and putting our differences aside,figurative,We need to clear the air by opening up all the windows,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
clear the decks,get ready for action.,We need to clear the decks,ambiguous,We need to clear the decks before we begin the project,ambiguous,We need to clear the decks of the boat to make it ready for the voyage,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['ambiguous', 'literal', 'figurative']","['literal', 'ambiguous', 'literal']",FALSE,ambiguous : ambiguous : literal
cloak and dagger,of or characteristic of the activities of spies and undercover agents.,The meeting was cloak and dagger,figurative,"The meeting was cloak and dagger, full of secretive and suspicious activities",figurative,The meeting was cloak and dagger as everyone was wearing a cape and sword,literal,"['figurative', 'ambiguous', 'figurative']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",FALSE,figurative : figurative : literal
close call,a narrow escape from disaster,That was a close call,ambiguous,That was a close call when I almost missed the deadline,figurative,That was a close call since the car stopped just inches away from me,literal,"['ambiguous', 'figurative', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'figurative']",TRUE,ambiguous : figurative : literal
cloud on the horizon,"a problem or difficulty that is predictable, or seems likely to arise in the future",There's a cloud on the horizon,ambiguous,"There's a cloud on the horizon, meaning that something bad is about to happen",figurative,There's a cloud on the horizon as storm clouds are rolling in,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
coast is clear,there is no danger in sight or that nobody can see you,The coast is clear,ambiguous,The coast is clear for us to plan our big project,figurative,The coast is clear of people so we can go swimming,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'ambiguous']",TRUE,ambiguous : figurative : literal
coin money,make a great deal of money easily or very quickly.,He was coining money,ambiguous,He was coining money quickly by playing the stock market,figurative,He was coining money by minting coins in his basement,literal,"['ambiguous', 'ambiguous', 'figurative']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
cold feet,loss of courage,He had cold feet,ambiguous,He had cold feet when it came to getting married as he felt hesitant,figurative,He had cold feet as he was standing outside in the snow,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
