idiom,meaning,label,source
clean sweep,an irresistible victory,figurative,The team [[made a clean sweep]] by winning all the matches in the tournament
clear the air,get rid of all doubts and negative feelings,figurative,"After the argument, [[we cleared the air with her]] by discussing our feelings"
clear the air,get rid of all doubts and negative feelings,literal,[[We cleared the air with her]] by opening the windows to let the smoke out
clear the decks,get ready for action.,figurative,[[We cleared the decks for the event]] by finishing all our pending tasks
clear the decks,get ready for action.,literal,[[We cleared the decks for the event]] by removing all the furniture from the patio
close call,a narrow escape from disaster,literal,The two phones [[had a close call]] when they were placed side by side
close call,a narrow escape from disaster,figurative,He [[had a close call]] when he narrowly avoided a car accident
cloud on the horizon,"a problem or difficulty that is predictable, or seems likely to arise in the future",literal,"As we looked out to sea, we noticed [[a cloud on the horizon]] signaling an approaching storm"
cloud on the horizon,"a problem or difficulty that is predictable, or seems likely to arise in the future",figurative,"Despite the success of the project, there was [[a cloud on the horizon]] in the form of budget cuts"
coast is clear,there is no danger in sight or that nobody can see you,literal,"Looking through the binoculars, the sailor confirmed that [[the coast is clear]] of any obstacles"
coast is clear,there is no danger in sight or that nobody can see you,figurative,"After the security guard left, we knew [[the coast is clear]] to enter the building"
coin money,make a great deal of money easily or very quickly.,literal,"As mint workers, they were [[coining money together]] at the factory"
coin money,make a great deal of money easily or very quickly.,figurative,Their successful business venture had them [[coining money together]] in no time
cold feet,loss of courage,literal,"After walking in the snow without proper shoes, [[she got cold feet]]"
cold feet,loss of courage,figurative,[[She got cold feet]] just before her big presentation
cold turkey,in a unexpected and sudden way,literal,"She was [[going cold turkey]] for her sandwich, but decided to add some cheese"
cold turkey,in a unexpected and sudden way,figurative,He quit smoking by [[going cold turkey]] without any assistance
come across,to meet someone,figurative,"While researching, I [[came across the old book]] that provided valuable information"
come across,to meet someone,literal,"Walking through the library, I accidentally stepped on and [[came across the old book]] lying on the floor"
come clean,to make a disclosure,literal,"After playing in the mud, the kids [[decided to come clean]] and took a bath"
come clean,to make a disclosure,figurative,"After hiding the truth for so long, he [[decided to come clean]] about his past"
come down with,to have (usually a disease),literal,The kite [[came down with something]] tangled in its strings
come down with,to have (usually a disease),figurative,He [[came down with something]] after being exposed to the cold weather
come full circle,return to an earlier position or decision.,figurative,"After years of exploring different career paths, she [[came full circle]] and returned to her passion for teaching"
come full circle,return to an earlier position or decision.,literal,The hiker [[came full circle]] after walking around the entire circumference of the lake
come out swinging,be confrontational,literal,"As soon as the boxing match started, [[he came out swinging]] at his opponent"
come out swinging,be confrontational,figurative,"After the criticism, [[he came out swinging]] with a strong rebuttal"
cook his goose,to spoil someone's chances of success,literal,"For dinner, the chef [[cooked his goose]] with a delicious orange sauce"
cook his goose,to spoil someone's chances of success,figurative,"When he was caught cheating, his teacher [[cooked his goose]] by failing him"
cool heels,to wait or take rest,literal,"After walking on hot sand, they [[were cooling their heels]] in the ocean water"
cool heels,to wait or take rest,figurative,They [[were cooling their heels]] in the waiting room before the interview
count chicken,make plans based on events that may or may not happen,figurative,He [[was counting chickens before they hatch]] when he started planning his victory party
count chicken,make plans based on events that may or may not happen,literal,The farmer [[was counting chickens before they hatch]] by estimating the number of eggs that would become chicks
crack the whip,make someone work harder by asserting power or authority,figurative,The manager [[cracked the whip on the team]] to meet the deadline
crack the whip,make someone work harder by asserting power or authority,literal,The circus performer [[cracked the whip on the team]] of horses to start the show
cross swords,to fight with another person physically or verbally.,literal,"At the fencing tournament, they [[crossed swords with him]] in a thrilling match"
cross swords,to fight with another person physically or verbally.,figurative,"During the heated debate, she [[crossed swords with him]] over their differing opinions"
cross the bridge,to delay worrying about something that might not happen anyway,literal,The two friends [[crossed the bridge together]] while enjoying the scenic view
cross the bridge,to delay worrying about something that might not happen anyway,figurative,They [[crossed the bridge together]] when they decided to face their problems as a team
cross the line,behave in a way that is not acceptable,literal,"During the race, [[he crossed the line with her]] as they finished together"
cross the line,behave in a way that is not acceptable,figurative,[[He crossed the line with her]] when he made that inappropriate comment
crush,feel love-sick for someone.,literal,The machine was designed to [[have a crush]] on the aluminum cans for recycling
crush,feel love-sick for someone.,figurative,She couldn't help but [[have a crush]] on the charming new coworker
cry over spilt milk,to be upset about things that have already been done,literal,The toddler was [[crying over spilt milk]] on the kitchen floor
cry over spilt milk,to be upset about things that have already been done,figurative,There's no point in [[crying over spilt milk]] now that the deadline has passed
cup of tea,to like something,literal,"This green tea is [[not my cup of tea]], I ordered black tea"
cup of tea,to like something,figurative,"Skydiving is [[not my cup of tea]], I prefer calmer activities"
cut and dried,ready-made,figurative,"With her impressive qualifications, it was [[a cut and dried decision]] to hire her"
cut and dried,ready-made,literal,The process of making fruit leather involves [[a cut and dried decision]] with the fruit
cut coat according to cloth,"adapt to one's circumstances, make sure one's plans are appropriate to one's resources.",figurative,They [[cut their coat according to their cloth]] by living within their means
cut coat according to cloth,"adapt to one's circumstances, make sure one's plans are appropriate to one's resources.",literal,The tailor [[cut their coat according to their cloth]] to avoid wasting fabric
cut corners,"economise on time, money, materials or effort, perhaps unwisely",figurative,"To save time and money, they [[cut corners on the project]] by using cheaper materials"
cut corners,"economise on time, money, materials or effort, perhaps unwisely",literal,The carpenter [[cut corners on the project]] to create a rounded shape
cut the cord,to end a connection with someone,figurative,He decided to [[cut the cord with her]] and end their toxic relationship
cut the cord,to end a connection with someone,literal,The nurse [[cut the cord with her]] after the baby was born
cut the mustard,to succeed,figurative,"Despite his efforts, he [[couldn't cut the mustard]] in the competitive sales environment"
cut the mustard,to succeed,literal,"With a dull knife, she [[couldn't cut the mustard]] for her sandwich"
cut your own throat,to do something that will be the cause of your own failure or ruin your chances in the future,figurative,"By revealing company secrets, he [[cut his own throat]] and ruined his career"
cut your own throat,to do something that will be the cause of your own failure or ruin your chances in the future,literal,"While shaving, he accidentally [[cut his own throat]] with the razor"
dance to tune,to do what someone else forces you to do,figurative,He always [[danced to the tune]] of his boss's demands
dance to tune,to do what someone else forces you to do,literal,"At the party, they [[danced to the tune]] of their favorite song"
dancing on their grave,outlive or outlast someone and celebrate their demise,literal,The disrespectful teenagers were caught [[dancing on their grave]] in the cemetery
dancing on their grave,outlive or outlast someone and celebrate their demise,figurative,He was so happy about his rival's failure that he was practically [[dancing on their grave]]
dead duck,a project or scheme which has been abandoned or is certain to fail,literal,The hunter shot down [[a dead duck in the situation]] and retrieved it
dead duck,a project or scheme which has been abandoned or is certain to fail,figurative,"Without any support, he was [[a dead duck in the situation]] and couldn't succeed"
dead in the water,unable to produce movement,literal,The fisherman [[found it dead in the water]] while he was out on the lake
dead in the water,unable to produce movement,figurative,The project was [[found it dead in the water]] after the funding was cut
deep down,felt strongly and often hidden from other people,literal,The divers explored the shipwreck [[deep down in the ocean]]
deep down,felt strongly and often hidden from other people,figurative,He knew [[deep down in the ocean]] of his heart that he had made the right decision
deliver the goods,do what is required,literal,The courier [[delivered the goods on time]] to the customer's doorstep
deliver the goods,do what is required,figurative,The new employee [[delivered the goods on time]] by meeting all the project deadlines
die in harness,to expire while working,literal,The poor horse [[died in harness]] while pulling the heavy load
die in harness,to expire while working,figurative,"The dedicated employee [[died in harness]], working tirelessly until the end"
dig one's own grave,"to do something that has negative consequences for you, even though these consequences can be easily seen.",figurative,"By spreading false rumors about the boss, he [[was digging his own grave]] at work"
dig one's own grave,"to do something that has negative consequences for you, even though these consequences can be easily seen.",literal,"As a cemetery worker, he [[was digging his own grave]] to prepare for his eventual burial"
do the trick,successfully achieve a result,figurative,"Adding a little more salt to the soup, [[that should do the trick]]"
do the trick,successfully achieve a result,literal,"Performing a magic act, the magician said '[[that should do the trick]]' as he pulled a rabbit from his hat"
dodge a bullet,to narrowly avoid a very serious problem or a disaster,figurative,"When the company went bankrupt, I realized I [[dodged a bullet there]] by not investing"
dodge a bullet,to narrowly avoid a very serious problem or a disaster,literal,"During the paintball game, he [[dodged a bullet there]] by quickly ducking behind a barrier"
does exactly what it says on the tin,someone or something is exactly as they seem,figurative,The new software [[does exactly what it says on the tin]] and is very user-friendly
does exactly what it says on the tin,someone or something is exactly as they seem,literal,The paint [[does exactly what it says on the tin]] and dries in just 30 minutes
double-edged sword,something that could either help you or hurt you,literal,The knight wielded [[a double-edged sword in this situation]] to defend himself against multiple attackers
double-edged sword,something that could either help you or hurt you,figurative,"Having a high-profile job can be [[a double-edged sword in this situation]], as it brings both prestige and stress"
down to earth,"decent, simple, realistic",figurative,"Despite her fame, she remained [[a down-to-earth person]] who was easy to talk to"
down to earth,"decent, simple, realistic",literal,"The astronaut, once back from space, became [[a down-to-earth person]] again"
draw a blank,to get no response from someone,literal,The artist [[was drawing a blank]] canvas to prepare for her next masterpiece
draw a blank,to get no response from someone,figurative,"When asked about the details of the project, he [[was drawing a blank]]"
drive a wedge between,to damage the good relationship that two people or groups of people have,literal,The lumberjack used a mallet [[to drive a wedge between them]] and split the log
drive a wedge between,to damage the good relationship that two people or groups of people have,figurative,The disagreement started [[to drive a wedge between them]] and their friendship
drive up the wall,to make someone angry or irritated,literal,The remote-controlled car was [[driving me up the wall]] as it climbed vertically
drive up the wall,to make someone angry or irritated,figurative,His constant humming is [[driving me up the wall]]
drop a bombshell,"make an unexpected, startling or disturbing announcement",figurative,The CEO [[dropped a bombshell during the meeting]] when he announced the company's bankruptcy
drop a bombshell,"make an unexpected, startling or disturbing announcement",literal,The clumsy actor accidentally [[dropped a bombshell during the meeting]] while filming a war scene
drop by,an informal visit,figurative,I'll [[drop by the store]] to see if they have any new books
drop by,an informal visit,literal,The clumsy customer accidentally let a jar [[drop by the store]] entrance
eat him alive,to criticize someone severely because you are angry with them,figurative,His lack of preparation will [[eat him alive in the competition]] against more experienced opponents
eat him alive,to criticize someone severely because you are angry with them,literal,The carnivorous insects would [[eat him alive in the competition]] if he didn't wear protective gear
elephant in the room,"a difficult, controversial, or obvious problem that no one wants to talk about or mention because the subject is problematic, uncomfortable, or awkward",figurative,"During the family meeting, it was time [[to address the elephant in the room]] and discuss the ongoing conflict"
elephant in the room,"a difficult, controversial, or obvious problem that no one wants to talk about or mention because the subject is problematic, uncomfortable, or awkward",literal,"At the wildlife conservation conference, the speaker decided [[to address the elephant in the room]] and talk about habitat preservation"
end of story,there is  nothing more to add to the matter under discussion,figurative,"I told him I wasn't interested, and [[that's the end of the story]]"
end of story,there is  nothing more to add to the matter under discussion,literal,"She closed the book and said, '[[that's the end of the story]]'"
every nook and cranny,to look for something everywhere,literal,"During the deep cleaning, [[they searched every nook and cranny]] of the house for dust and dirt"
every nook and cranny,to look for something everywhere,figurative,"To find the perfect gift, [[they searched every nook and cranny]] of the shopping mall"
everything but the kitchen sink,almost everything that one can think of,literal,"While moving, they [[packed everything but the kitchen sink]], which was left for the new owners"
everything but the kitchen sink,almost everything that one can think of,figurative,"For our camping trip, we [[packed everything but the kitchen sink]] to be prepared"
face the music,receive punishment,literal,"As the orchestra began to play, [[they faced the music together]] and enjoyed the performance"
face the music,receive punishment,figurative,"After making a mistake at work, [[they faced the music together]] and accepted the consequences"
fall at first hurdle,to fail to overcome the first difficulty encountered,figurative,The new employee [[fell at the first hurdle]] when he failed to complete the initial task
fall at first hurdle,to fail to overcome the first difficulty encountered,literal,The inexperienced horse rider [[fell at the first hurdle]] during the race
fall between the cracks,be ignored or unobserved,figurative,His request for a promotion [[fell between the cracks]] due to the company's restructuring
fall between the cracks,be ignored or unobserved,literal,The small toy [[fell between the cracks]] of the wooden floor
fall on his sword,to accept the consequences of an unsuccessful or wrong action,literal,"During the reenactment, he accidentally tripped and started [[to fall on his sword]]"
fall on his sword,to accept the consequences of an unsuccessful or wrong action,figurative,He decided [[to fall on his sword]] and take responsibility for the team's failure
fall on our feet,to succeed in doing something where there was a risk of failure,figurative,"Despite the challenges, we managed [[to fall on our feet]] and succeed"
fall on our feet,to succeed in doing something where there was a risk of failure,literal,"During the dance routine, we tripped and managed [[to fall on our feet]]"
fall out,to disagree with someone about something,figurative,[[They had a fall out]] over a disagreement about their business
fall out,to disagree with someone about something,literal,"While climbing the tree, [[they had a fall out]] and landed on the ground"
fan the flames,make a bad situation even worse,figurative,Their constant arguing only [[fanned the flames together]] and made the situation worse
fan the flames,make a bad situation even worse,literal,They [[fanned the flames together]] to keep the campfire going
feather in your cap,It means to have an achievement in your name.,literal,The hat you're wearing has [[a feather in your cap]] as a decoration
feather in your cap,It means to have an achievement in your name.,figurative,Winning the championship would be [[a feather in your cap]]
feather one's (own) nest,"If you say that you are feathering your own nest, you mean that you are working so hard to gather resources (money) to live a comfortable life in the future.",figurative,She was accused of [[feathering her own nest]] by taking bribes
feather one's (own) nest,"If you say that you are feathering your own nest, you mean that you are working so hard to gather resources (money) to live a comfortable life in the future.",literal,The bird was [[feathering her own nest]] with soft materials to make it cozy
feel the pinch,experience financial hardship,figurative,"After losing his job, [[he started to feel the pinch]] financially"
feel the pinch,experience financial hardship,literal,"When the crab grabbed his finger, [[he started to feel the pinch]]"
feet of clay,have a flaw or weakness most people are unaware of.,literal,The statue [[had feet of clay]] as part of its unique design
feet of clay,have a flaw or weakness most people are unaware of.,figurative,"Despite his confident demeanor, he [[had feet of clay]] when it came to public speaking"
fiddle while Rome burns,to perform an inconsequential task or act irresponsibly in the midst of a disastrous event.,literal,The musician [[fiddled while Rome burned]] as he was unaware of the fire
fiddle while Rome burns,to perform an inconsequential task or act irresponsibly in the midst of a disastrous event.,figurative,He [[fiddled while Rome burned]] by playing video games during the company crisis
fight a losing battle,trying to do something even when there is little chance of succeeding,figurative,Trying to convince her to change her mind was like [[fighting a losing battle]]
fight a losing battle,trying to do something even when there is little chance of succeeding,literal,The outnumbered soldiers knew they were [[fighting a losing battle]] against the invading forces
fill the bill,be exactly suitable for a particular situation,figurative,The new employee [[filled the bill perfectly]] for the position we needed
fill the bill,be exactly suitable for a particular situation,literal,The waiter [[filled the bill perfectly]] with all the items we ordered
fingers and thumbs,to be clumsy and not very skilled with your hands,figurative,"When it comes to knitting, I'm [[all fingers and thumbs]]"
fingers and thumbs,to be clumsy and not very skilled with your hands,literal,The hand puppet was [[all fingers and thumbs]] with no other features
flash in the pan,"something that cannot be repeated, usually a positive concept",figurative,"His sudden success turned out to be [[a flash in the pan]], as he couldn't maintain it"
flash in the pan,"something that cannot be repeated, usually a positive concept",literal,"The oil caught fire, creating [[a flash in the pan]] while she was cooking"
flesh and blood,"This phrase refers to direct family members, people that share a DNA, that is, flesh and blood.",literal,The horror movie showed a scene where [[my own flesh and blood]] was exposed after a terrible accident
flesh and blood,"This phrase refers to direct family members, people that share a DNA, that is, flesh and blood.",figurative,I couldn't believe [[my own flesh and blood]] would betray me like that
flog a dead horse,waste energy on something that has no chance of succeeding,literal,The man in the strange painting was [[flogging a dead horse]] in the field
flog a dead horse,waste energy on something that has no chance of succeeding,figurative,Arguing about the same issue over and over again was like [[flogging a dead horse]]
foam at the mouth,be extremely angry,literal,The rabid dog [[was foaming at the mouth]] and needed to be isolated
foam at the mouth,be extremely angry,figurative,He [[was foaming at the mouth]] when he found out about the betrayal
foot in the door,succeed with a first step.,literal,"When the door was closing, he quickly [[got a foot in the door]] to prevent it from shutting"
foot in the door,succeed with a first step.,figurative,"By volunteering at the company, she [[got a foot in the door]] for a full-time position"
from A to Z,comprehensive,figurative,She studied the subject so thoroughly that she [[learned it from A to Z]]
from A to Z,comprehensive,literal,The alphabet book helped the child [[learned it from A to Z]]
full of beans,to be optimistic or enthusiastic,figurative,"After a good night's sleep, he [[seemed full of beans]] and ready to tackle the day"
full of beans,to be optimistic or enthusiastic,literal,The bag [[seemed full of beans]] as it bulged and weighed heavily in her hand
get hitched,to get married,literal,"During their road trip, [[they decided to get hitched]] to a trailer for extra storage"
get hitched,to get married,figurative,"After dating for five years, [[they decided to get hitched]] and start a family"
get one's feet wet,to begin taking part in a new activity,literal,[[They got their feet wet]] when they accidentally stepped into a puddle
get one's feet wet,to begin taking part in a new activity,figurative,[[They got their feet wet]] by starting with a small project before tackling the big one
get out of bed on the wrong side,be very irritable and grouchy,figurative,"He was so grumpy today, it seemed like he [[got out of bed on the wrong side]]"
get out of bed on the wrong side,be very irritable and grouchy,literal,"Due to the rearrangement of his room, he accidentally [[got out of bed on the wrong side]] and bumped into the wall"
get the sack,be dismissed from the job,figurative,[[She got the sack from the company]] after failing to meet her sales targets
get the sack,be dismissed from the job,literal,[[She got the sack from the company]] to carry her groceries home
get the wrong end of the stick,to understand something in the wrong way,literal,"While trying to pick up the stick, he accidentally [[got the wrong end of the stick]] covered in mud"
get the wrong end of the stick,to understand something in the wrong way,figurative,He misunderstood the situation and [[got the wrong end of the stick]]
get your goat,irritate somebody,literal,The farmer [[got your goat]] from the pen and brought it to you
get your goat,irritate somebody,figurative,His constant teasing finally [[got your goat]] and made you angry
gets it out of his system,get rid of a strong emotion or desire by expressing it openly or trying to fulfill it,literal,"After taking the medicine, he finally [[gets it out of his system]] through detoxification"
gets it out of his system,get rid of a strong emotion or desire by expressing it openly or trying to fulfill it,figurative,He needs to vent his frustrations to [[gets it out of his system]]
getting my fingers burnt,"to suffer unpleasant results of an action, especially loss of money, so you do not want to do the same thing again",literal,"While trying to light the candle, I ended [[up getting my fingers burnt]]"
getting my fingers burnt,"to suffer unpleasant results of an action, especially loss of money, so you do not want to do the same thing again",figurative,"After investing in that risky business, I ended [[up getting my fingers burnt]]"
give a shot,to have a try at something,figurative,"Even though he was nervous, he [[gave it a shot]] and presented his idea to the team"
give a shot,to have a try at something,literal,The nurse [[gave it a shot]] of vaccine to the patient
give it a whirl,to try something new.,literal,[[He gave it a whirl]] by spinning the wheel at the carnival game
give it a whirl,to try something new.,figurative,"Unsure of the outcome, [[he gave it a whirl]] and tried the new recipe"
give the slip,to get away,figurative,She [[gave him the slip]] by sneaking out the back door
give the slip,to get away,literal,"She accidentally [[gave him the slip]] when she handed him a wet, slippery object"
glass ceiling,"an unseen (glass) barrier for women and people who belong to minority groups in climbing up the corporate, political or the ladder of success regardless of whether they are qualified for the job",literal,"While installing the chandelier, he accidentally [[hit the glass ceiling]] and shattered it"
glass ceiling,"an unseen (glass) barrier for women and people who belong to minority groups in climbing up the corporate, political or the ladder of success regardless of whether they are qualified for the job",figurative,"Despite her qualifications, she [[hit the glass ceiling]] in her career progression"
gloves are off,people are beginning to behave in a more hostile or tenacious way; usually used to describe a dispute or fight,figurative,"After the heated argument, [[the gloves are off now]] and they won't hold back"
gloves are off,people are beginning to behave in a more hostile or tenacious way; usually used to describe a dispute or fight,literal,"After finishing the gardening work, [[the gloves are off now]] and they can relax"
go down in flames,to fail spectacularly,figurative,His political career [[went down in flames]] after the scandal
go down in flames,to fail spectacularly,literal,The aircraft [[went down in flames]] after being struck by lightning
go round in circles,work at something but keep failing to make progress with it.,literal,The children were [[going round in circles]] while playing a spinning game
go round in circles,work at something but keep failing to make progress with it.,figurative,The team was [[going round in circles]] trying to solve the problem
go steady,have a romantic relationship with someone,figurative,"After dating for a few months, [[they decided to go steady]] and become exclusive"
go steady,have a romantic relationship with someone,literal,"During the balance exercise, [[they decided to go steady]] and avoid sudden movements"
go the extra mile,to make an extra effort,literal,"During the marathon, [[he went the extra mile]] by mistake due to a wrong turn"
go the extra mile,to make an extra effort,figurative,"To make sure the project was perfect, [[he went the extra mile]] and double - checked everything"
go through a rough patch,to experience a lot of problems in a period of life,literal,"While hiking, we were [[going through a rough patch]] filled with rocks and thorns"
go through a rough patch,to experience a lot of problems in a period of life,figurative,"After losing her job, she was [[going through a rough patch]] in her life"
go through channels,to follow the correct steps in order to get something done,literal,The water [[went through channels to get]] to the other side of the dam
go through channels,to follow the correct steps in order to get something done,figurative,He [[went through channels to get]] the necessary approval for his project
go through the roof,to become very angry,figurative,His anger [[went through the roof]] when he found out about the betrayal
go through the roof,to become very angry,literal,The rocket [[went through the roof]] of the building during the experiment
got in his hair,to annoy someone so much that they cannot get on with what they are doing,figurative,The constant questions from his coworkers [[got in his hair]] and made it difficult to concentrate
got in his hair,to annoy someone so much that they cannot get on with what they are doing,literal,The confetti from the party [[got in his hair]] and took a while to remove
got it made,"to be certain to be successful and have a good life, often without much effort:",figurative,"With their successful business, [[they've got it made]] in life"
got it made,"to be certain to be successful and have a good life, often without much effort:",literal,"After assembling the furniture, [[they've got it made]] and ready for use"
got off your back,to be annoyed and ask someone to stop finding faults or criticize you,literal,The cat [[finally got off your back]] when you stood up
got off your back,to be annoyed and ask someone to stop finding faults or criticize you,figurative,"When you completed the project, your boss [[finally got off your back]]"
green around the gills,Someone who looks sick or nauseated.,figurative,"After the roller coaster ride, he was [[looking green around the gills]] from nausea"
green around the gills,Someone who looks sick or nauseated.,literal,The makeup artist painted him to be [[looking green around the gills]] for the alien costume
had your chips,when someone has completely failed in what they set out to achieve,figurative,"After losing the game, it was clear [[you had your chips]]"
had your chips,when someone has completely failed in what they set out to achieve,literal,"Once you finished eating, [[you had your chips]] and were ready to leave"
hammer and tongs,"to argue fiercely, with a lot of energy and noise",literal,The blacksmith [[went at it hammer and tongs]] while forging the sword
hammer and tongs,"to argue fiercely, with a lot of energy and noise",figurative,They [[went at it hammer and tongs]] during the heated debate
hand in hand,close ties or connections,figurative,Success and hard work [[walked hand in hand]] in her life
hand in hand,close ties or connections,literal,The couple [[walked hand in hand]] along the beach
hands are tied,to not be able to do anything about a situation,literal,"During the magic trick, the magician made sure [[my hands are tied]] securely with a rope"
hands are tied,to not be able to do anything about a situation,figurative,"I'd love to help you, but [[my hands are tied]] due to company policy"
hard cheese,"bad luck, tough luck",figurative,[[She experienced hard cheese]] when she lost her job and had to start over
hard cheese,"bad luck, tough luck",literal,"While tasting different types of dairy products, [[she experienced hard cheese]] among them"
have a big mouth,one who gossips more or says things that are meant to be kept secret,figurative,He [[has a big mouth]] and can't keep a secret
have a big mouth,one who gossips more or says things that are meant to be kept secret,literal,The hippopotamus [[has a big mouth]] that can open up to 150 degrees
have a soft spot,to like someone very much,figurative,"Despite her tough exterior, she [[has a soft spot for kittens]] and always takes care of them"
have a soft spot,to like someone very much,literal,The veterinarian [[has a soft spot for kittens]] in her clinic where they can rest comfortably
have clean hands,to be innocent; to be free of any wrongdoing,figurative,"Despite the corruption around her, [[she maintained clean hands throughout the process]] by refusing to participate in any dishonest activities"
have clean hands,to be innocent; to be free of any wrongdoing,literal,"As a surgeon, [[she maintained clean hands throughout the process]] by following strict hygiene protocols"
have kittens,"to be very worried, upset, or angry about something",figurative,She [[had kittens over the situation]] when she found out her son had crashed the car
have kittens,"to be very worried, upset, or angry about something",literal,The cat [[had kittens over the situation]] when she found a safe spot to give birth
have no truck with,avoid dealing or being associated with,figurative,I decided to [[have no truck with them]] after they betrayed my trust
have no truck with,avoid dealing or being associated with,literal,The delivery company said they [[have no truck with them]] to transport our goods
head above water,to succeed to survive in bad financial situations,figurative,"Despite the workload, she [[was keeping her head above water]] by staying organized"
head above water,to succeed to survive in bad financial situations,literal,"During the swimming lesson, she [[was keeping her head above water]] to breathe"
hide light under a bushel,to show modesty towards something or someone,literal,"During the game of hide and seek, he was [[hiding light under a bushel]] to avoid being found"
hide light under a bushel,to show modesty towards something or someone,figurative,"She was so talented, but she was always [[hiding light under a bushel]] by not showcasing her skills"
high up,to have an important standing in society,figurative,He was [[so high up]] in the company that he had direct access to the CEO
high up,to have an important standing in society,literal,The mountain peak was [[so high up]] that it was covered in snow
hit the books,to study very hard,figurative,"With exams approaching, it's [[time to hit the books]] and study hard"
hit the books,to study very hard,literal,"In a fit of rage, he decided it was [[time to hit the books]] and threw them against the wall"
hit the bull's-eye,to be exactly right about something or achieve the best result possible,figurative,Her speech [[hit the bull's-eye]] and resonated with the audience
hit the bull's-eye,to be exactly right about something or achieve the best result possible,literal,"With a steady hand, she aimed and [[hit the bull's-eye]] on the target"
hit the hay,to go to sleep or head to bed.,literal,"During the farm chores, it was [[time to hit the hay]] with a pitchfork"
hit the hay,to go to sleep or head to bed.,figurative,"After a long day at work, it was [[time to hit the hay]]"
hit the nail on the head,be accurately right about something,figurative,"When she suggested a new marketing strategy, she really [[hit the nail on the head]]"
hit the nail on the head,be accurately right about something,literal,"With a single swing of the hammer, he [[hit the nail on the head]] and drove it into the wood"
hit the road,depart,literal,"During the earthquake, the car forcefully [[hit the road together]] with a loud thud"
hit the road,depart,figurative,We decided to [[hit the road together]] for a cross-country adventure
hit the roof,experience sudden anger,literal,The ball [[hit the roof unexpectedly]] when he threw it too high
hit the roof,experience sudden anger,figurative,"When he found out about the surprise party, he [[hit the roof unexpectedly]]"
hit the sack,to go to bed,literal,"During the pillow fight, [[she decided to hit the sack]] and send feathers flying"
hit the sack,to go to bed,figurative,"After a long day at work, [[she decided to hit the sack]] and get some sleep"
hold all the aces,be in a winning position.,literal,"During the poker game, [[he held all the aces]] in his hand"
hold all the aces,be in a winning position.,figurative,"During the negotiation, [[he held all the aces]] and had the upper hand"
hold tongue,to keep quiet when one would rather speak,figurative,[[They held their tongue]] during the meeting to avoid causing conflict
hold tongue,to keep quiet when one would rather speak,literal,"During the dental examination, [[they held their tongue]] to the side so the dentist could see better"
hold your horses,to wait,literal,"As a carriage driver, it's important to [[hold your horses for a moment]] when stopping at an intersection"
hold your horses,to wait,figurative,"Before you jump to conclusions, [[hold your horses for a moment]] and listen to my explanation"
hornets' nest,a violent situation or one with a lot of dispute,literal,"While clearing the backyard, she accidentally [[stirred up a hornets' nest]] and got stung"
hornets' nest,a violent situation or one with a lot of dispute,figurative,"By questioning the company's policies, he [[stirred up a hornets' nest]] among the employees"
hot potato,any subject which several folks are talking about and which is frequently argued,figurative,The politician [[handled the hot potato]] by addressing the controversial issue
hot potato,any subject which several folks are talking about and which is frequently argued,literal,"During the picnic, she [[handled the hot potato]] carefully to avoid burning her fingers"
household name,to be very popular,figurative,"After her successful book series, [[she became a household name]] in the literary world"
household name,to be very popular,literal,"When the family decided to name their new puppy after her, [[she became a household name]]"
hung out to dry,"to abandon someone who is in difficulty, without giving any assistance or support",figurative,"When the team failed to support her, she felt [[hung out to dry]]"
hung out to dry,"to abandon someone who is in difficulty, without giving any assistance or support",literal,The laundry was [[hung out to dry]] on the clothesline
icing on the cake,when something good is added to another good thing that you already have,figurative,Getting a promotion was [[the icing on the cake]] after a successful year
icing on the cake,when something good is added to another good thing that you already have,literal,She carefully spread [[the icing on the cake]] for her friend's birthday
in a fog,in a great confusion,literal,"While hiking, they were [[lost in a fog]] and couldn't find their way back"
in a fog,in a great confusion,figurative,"After the long meeting, he was [[lost in a fog]] and couldn't concentrate"
in a nutshell,to be brief and straight to the point.,literal,"As a creative challenge, [[she explained it in a nutshell]] by writing a tiny summary inside a walnut shell"
in a nutshell,to be brief and straight to the point.,figurative,[[She explained it in a nutshell]] so that everyone could understand the concept quickly
in a pickle,to be in a difficult situation,literal,The tiny figurines [[found themselves in a pickle]] when they were accidentally placed inside a jar of pickles
in a pickle,to be in a difficult situation,figurative,They [[found themselves in a pickle]] when they realized they had double-booked their appointments
in at the deep end,to start a new job or activity without being prepared for it,figurative,"On her first day at work, she [[was thrown in at the deep end]] with a challenging project"
in at the deep end,to start a new job or activity without being prepared for it,literal,"During swimming lessons, he [[was thrown in at the deep end]] of the pool to test his skills"
in bed with,"to work with a person or organisation, or being involved with them, in a way that causes other people to distrust you.",figurative,The company was accused of being [[in bed with the competition]] to manipulate prices
in bed with,"to work with a person or organisation, or being involved with them, in a way that causes other people to distrust you.",literal,"The two athletes, who were also roommates, found themselves sharing a room and sleeping [[in bed with the competition]]"
in black and white,printed form of a document,figurative,"To avoid any confusion, we decided [[to put it in black and white]] in the contract"
in black and white,printed form of a document,literal,The artist chose [[to put it in black and white]] for a more dramatic effect
in deep water,a very serious situation,literal,"While swimming in the ocean, [[he found himself in deep water]] and struggled to stay afloat"
in deep water,a very serious situation,figurative,"After making a costly mistake, [[he found himself in deep water]] with his boss"
