idiom,instance,label,meaning,maxVote,gold_0,gold_1,AssignmentId,WorkerId,TimeMe,batch_num
bundle up,"it's freezing outside, so bundle up before going out",literal,to dress warmly to protect oneself from the elements,tie,literal,figurative,"['3QY5DC2MX70N2W4WB45HDBEDI8KFU5', '3Y9N9SS8LER65IDH5EEQ22LSTIKD3K']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8']","[122.125, 64.201]",4
burn bridges,"after the argument, she burned bridges with them and never spoke to them again",figurative,"remove someone's all options of retreat, act decisively",figurative,figurative,figurative,"['36WLNQG78FQG0JVUG24GQ31PHCGEB3', '37C0GNLMHVJ5210ZOGCO95XC3Z4D6O']","['A1HKYY6XI2OHO1', 'A2LMQ4497NMK3S']","[116.321, 153.414]",2
burn bridges,the vandals burned bridges with them as they escaped the village,literal,"remove someone's all options of retreat, act decisively",literal,literal,literal,"['3IKZ72A5BKWA76KNE3TVZGMJACSFNE', '3FTYUGLFSA19JX0LJX2JHZJC7EBD5A']","['A1HKYY6XI2OHO1', 'AX8NXTT8QMGHC']","[123.495, 50.497]",4
burn fingers,they burned their fingers by investing in a risky business,figurative,to bear an unpleasant result of an action that has been taken in the past,figurative,figurative,figurative,"['3PM8NZGV8EWCAPO0UPRY9HHVJSAQX2', '39GHHAVOMV74Q0WDFO5KF58BC2DJ4P']","['A110KENBXU7SUJ', 'A2LMQ4497NMK3S']","[27.69, 146.586]",4
burn fingers,they burned their fingers while trying to grab a hot pan,literal,to bear an unpleasant result of an action that has been taken in the past,literal,literal,literal,"['3EWIJTFFV4NFGWSKIM7R6M56Q8KE0I', '3907X2AHFGLQ9XKO6NRGJMXP1D72PC']","['A290OV59Q76QC8', 'A38DXFI1TZA295']","[49.498, 32.637]",2
burn the candle at both ends,"working two jobs and studying, she was burning the candle at both ends",figurative,to exhaust someone's energies or resources by leading a hectic life.,figurative,figurative,figurative,"['39OWYR0EP074J5O1L526GWKQEWGFYO', '34BBWHLWHQRK4RVR7CQ3YWC2JG8WIX']","['A1HKYY6XI2OHO1', 'A38DXFI1TZA295']","[125.195, 42.063]",3
burn the candle at both ends,"during the experiment, they were burning the candle at both ends to observe the melting rate",literal,to exhaust someone's energies or resources by leading a hectic life.,literal,literal,literal,"['3L2IS5HSFQYZQOHD9SOULGNMKZRNU5', '3OB0CAO74X5OX1F7GVQ6JHW3UBTYH5']","['A2LMQ4497NMK3S', 'A38DXFI1TZA295']","[148.242, 32.95]",3
burst the bubble,telling them the truth about the situation burst the bubble for them and made them face reality,figurative,the sudden end of a very happy or successful period,figurative,figurative,figurative,"['3OCHAWUVG40QZMQ5HK71DV5MKMIKX4', '3Y4W8Q93LF0QHRF0POKWLXDBK2DVDZ']","['A290OV59Q76QC8', 'APRZ7BR8C0ZMQ']","[51.715, 38.613]",4
burst the bubble,"the kids were playing with soap bubbles, and the wind burst the bubble for them",literal,the sudden end of a very happy or successful period,tie,figurative,literal,"['3U088ZLJV099XWEB3M1XSSC6XM70WM', '33CID5710K9P3U19IVCELFTX2RML38']","['AKQAI78JTXXC9', 'AX8NXTT8QMGHC']","[86.793, 48.424]",4
bury head in the sand,they buried their heads in the sand when confronted with the company's financial problems,figurative,hide from the truth,figurative,figurative,figurative,"['3U088ZLJV099XWEB3M1XSSC6XM70WM', '33CID5710K9P3U19IVCELFTX2RML38']","['AKQAI78JTXXC9', 'AX8NXTT8QMGHC']","[86.793, 48.424]",4
bury head in the sand,the ostriches buried their heads in the sand to search for food,literal,hide from the truth,literal,literal,literal,"['3PH3VY7DJ1D6ZHK17GEPYRFSFTPZWC', '3D4CH1LGEQ9VW4COODG8Z0RB62AG9E']","['A110KENBXU7SUJ', 'A38DXFI1TZA295']","[25.492, 41.235]",4
bury the hatchet,"after years of rivalry, they decided to bury the hatchet together and become friends",figurative,to stop fighting or arguing or to end old resentments,figurative,figurative,figurative,"['3YDGXNSEOFAF6J0UOK8TQFZXWR548C', '3LWJHTCVCS2VA3XFUVLC3AHOFNZQFW']","['A2A6FH0F7LD9ND', 'A2LMQ4497NMK3S']","[70.601, 146.717]",3
bury the hatchet,"during the reenactment, they pretended to bury the hatchet together as a symbol of peace",literal,to stop fighting or arguing or to end old resentments,tie,literal,ambiguous,"['3OE22WJIGY4KTLU5PKGBPAIRPAEQUV', '3VJ40NV2QY328W20A2YXV91PRVPTOZ']","['A2LMQ4497NMK3S', 'A2TBXASXZIRNNW']","[155.034, 61.639]",3
butter up,he tried to butter up the boss by complimenting her outfit,figurative,to flatter someone so as to get something in return from them,figurative,figurative,figurative,"['3FPRZHYEPENSZZD3WZEK8ORZTPA3VV', '3VAR3R6G15HJACAC74N24D52DI48OP']","['A2A6FH0F7LD9ND', 'AX8NXTT8QMGHC']","[98.008, 40.558]",3
butter up,it was her job to butter up the boss's toast every morning,literal,to flatter someone so as to get something in return from them,literal,literal,literal,"['3Y5140Z9DDWUKIYQVQC86246QJ5PIV', '3K2755HG58J1LUTAP9FS3BAPW8ADFE']","['A2A6FH0F7LD9ND', 'A2TBXASXZIRNNW']","[56.018, 35.237]",3
butterflies in stomach,"before the big presentation, she had butterflies in her stomach",figurative,to feel very nervous and restless,figurative,figurative,figurative,"['3NVC2EB656F93T881A14FNVTB6QY3D', '36TFCYNS4KQZXWPXBZ4403PUS5EXHD']","['APRZ7BR8C0ZMQ', 'AURYD2FH3FUOQ']","[76.416, 57.204]",4
butterflies in stomach,"in a surreal dream, she had butterflies in her stomach as they fluttered around",literal,to feel very nervous and restless,tie,ambiguous,literal,"['3NVC2EB656F93T881A14FNVTB6QY3D', '36TFCYNS4KQZXWPXBZ4403PUS5EXHD']","['APRZ7BR8C0ZMQ', 'AURYD2FH3FUOQ']","[76.416, 57.204]",4
call a spade a spade,she called a spade a spade when she confronted her friend about her dishonesty,figurative,this phrase means to say something the way it is,figurative,figurative,figurative,"['3GDTJDAPVARVA9P0UO8PC9GXIIP8MA', '3JV9LGBJW9UY3RGUQ2ZQWQM011HOGL']","['A2TBXASXZIRNNW', 'APRZ7BR8C0ZMQ']","[38.187, 76.935]",3
call a spade a spade,"while playing cards, she called a spade a spade when she identified the suit correctly",literal,this phrase means to say something the way it is,literal,literal,literal,"['33TIN5LC0KQVIVXOIJ2E60YFBY0Y9U', '31QNSG6A579CP6IDQI60TRJ7NTA87F']","['A38DXFI1TZA295', 'APRZ7BR8C0ZMQ']","[59.845, 75.321]",4
call bluff,she called his bluff when he threatened to quit the job,figurative,"to challenge to prove one's claim, when they are likely attempting to deceive",figurative,figurative,figurative,"['3E7TUJ2EGS2SKK2XMNF0TFOET0C9DV', '3IGI0VL64N04DJXGD6CLMAVX231ON7']","['A1HKYY6XI2OHO1', 'A2A6FH0F7LD9ND']","[141.766, 36.871]",2
call bluff,"during the poker game, she called his bluff and revealed his cards",literal,"to challenge to prove one's claim, when they are likely attempting to deceive",tie,literal,ambiguous,"['38YMOXR4MAF4B70Q5BHE1TMXAFA6WQ', '30MVJZJNH2T5N62PWJ1BWDJRYKAJ9K']","['A1HKYY6XI2OHO1', 'A2A6FH0F7LD9ND']","[99.355, 38.979]",2
call names,the kids were calling names at each other during their heated argument,figurative,to insult someone,tie,literal,figurative,"['3KB8R4ZV1UNEKXRLMXU4Q6M1U2YGB9', '3R2PKQ87NCOOZF1D3AKGPYABLEUIMS']","['A38DXFI1TZA295', 'AX8NXTT8QMGHC']","[31.604, 75.791]",3
call names,the teacher asked the students to practice calling names at each other during the roll call,literal,to insult someone,tie,literal,ambiguous,"['3QEMNNSB2DFO61E47QHGFJX8YAOD7N', '3GLB5JMZFDB7ZUP50TLALWA1XD7GDT']","['A2LMQ4497NMK3S', 'A38DXFI1TZA295']","[160.22, 66.441]",2
call on,"during the meeting, we decided to call on the teacher for advice",figurative,"use courage, reserve, nerve or strength to achieve something",literal,literal,literal,"['3L70J4KAZW26P3C2ETT0PAZYZSCDAG', '3C5W7UE9CV6LPAQ82WKHS8XQ9RDXMM']","['AURYD2FH3FUOQ', 'AX8NXTT8QMGHC']","[72.112, 48.882]",4
call on,"while walking through the hallway, I had to call on the teacher to get her attention",literal,"use courage, reserve, nerve or strength to achieve something",tie,literal,figurative,"['36W0OB37HCUO2RPCCHSPXO5505XZHX', '34J10VATJVEFKUZ5V3RX67UGVFRIQF']","['A2A6FH0F7LD9ND', 'A2TBXASXZIRNNW']","[52.524, 47.956]",3
camp follower,"he was known as a camp follower, always supporting the team but never participating",figurative,"a person who is supportive of the cause, person or organisation",figurative,figurative,figurative,"['37TRT2X2467OBZHMU3F7NJEHMKDJBU', '3KXIR214IKW4K4Y583ZSGOMUAHC42O']","['A2A6FH0F7LD9ND', 'A38DXFI1TZA295']","[56.205, 91.41]",2
camp follower,"as a camp follower, she provided food and supplies to the soldiers during their journey",literal,"a person who is supportive of the cause, person or organisation",tie,literal,figurative,"['35GMH2SV3UX0JDK3K792WN1OOBZOEH', '3VP0C6EFSWC86V6C19BRSVK6CDX6M0']","['A290OV59Q76QC8', 'A2A6FH0F7LD9ND']","[62.593, 57.684]",2
can of worms,"by asking about his past, she inadvertently opened a can of worms in their conversation",figurative,"to get into something that is messy, has problems and is unwanted",figurative,figurative,figurative,"['3B837J3LD4C4Q9H1DUABFZA80ZVRSH', '3018Q3ZVOY60QDV7WUOKUZG2ETORAL']","['A2A6FH0F7LD9ND', 'A2TBXASXZIRNNW']","[71.476, 19.786]",3
can of worms,the fisherman opened a can of worms to bait his hook,literal,"to get into something that is messy, has problems and is unwanted",literal,literal,literal,"['39DD6S19J5RCIHYAMGKJCL8S8PKZEW', '3CFVK00FW11O0DOR1XACSI5HCIOL6E']","['A38DXFI1TZA295', 'APRZ7BR8C0ZMQ']","[26.7, 46.645]",4
card up sleeve,"during the negotiation, he had a card up his sleeve that gave him an advantage",figurative,to have a secret advantage that is suddenly revealed to change the game,figurative,figurative,figurative,"['35GMH2SV3UX0JDK3K792WN1OOBZOEH', '3VP0C6EFSWC86V6C19BRSVK6CDX6M0']","['A290OV59Q76QC8', 'A2A6FH0F7LD9ND']","[62.593, 57.684]",2
card up sleeve,"as a magician, he cleverly had a card up his sleeve for his next trick",literal,to have a secret advantage that is suddenly revealed to change the game,literal,literal,literal,"['3TVRFO09G0V1JS8N2KJ2SVI19MNXLK', '3FTF2T8WL7YRTQ2O3IKQL3DZ0Q0W9T']","['A110KENBXU7SUJ', 'A2LMQ4497NMK3S']","[47.751, 148.525]",4
cards are stacked against,"despite their hard work, the cards are stacked against them in this competitive market",figurative,"someone is not likely to succeed, especially because the person is not being given a fair chance",figurative,figurative,figurative,"['3UWN2HHPUELJBBP9KNTU6F5YZ2LNS4', '3S06PH7KS7KAVFZ2IA07E96VVY6D1S']","['A290OV59Q76QC8', 'A2LMQ4497NMK3S']","[44.268, 153.999]",4
cards are stacked against,"in the game of poker, the cards are stacked against them due to the dealer's unfair shuffling",literal,"someone is not likely to succeed, especially because the person is not being given a fair chance",figurative,figurative,figurative,"['3HL8HNGX4LHPI4GTDTAQHFRZ5NW9FU', '39PAAFCOD2GXYGBXBEKBQ1VXNOMVT3']","['A2A6FH0F7LD9ND', 'AX8NXTT8QMGHC']","[62.328, 68.86]",3
carrot and stick,the manager used the carrot and stick approach to motivate the employees,figurative,mixture of rewards and punishments,figurative,figurative,figurative,"['3EWIJTFFV4NFGWSKIM7R6M56QI2E0K', '3X4JMASXC2PH9TG08V515EZLNLPB0H']","['AKQAI78JTXXC9', 'APRZ7BR8C0ZMQ']","[72.212, 81.197]",4
carrot and stick,"during the donkey race, he used the carrot and stick approach to make the donkey move faster",literal,mixture of rewards and punishments,tie,ambiguous,literal,"['3PM8NZGV8EWCAPO0UPRY9HHVJSAQX2', '39GHHAVOMV74Q0WDFO5KF58BC2DJ4P']","['A110KENBXU7SUJ', 'A2LMQ4497NMK3S']","[27.69, 146.586]",4
carry out,the team was assigned to carry out the task of improving the company's online presence,figurative,"put something into action, to accomplish something, to do something.",tie,figurative,literal,"['33SA9F9TRDA8OMT5BT0CDHEARDYEWJ', '3PW9OPU9P60NS51MLLGQIQFRYX0217']","['A290OV59Q76QC8', 'A2A6FH0F7LD9ND']","[46.421, 74.937]",2
carry out,the movers had to carry out the task of moving the heavy furniture,literal,"put something into action, to accomplish something, to do something.",tie,literal,figurative,"['3LEIZ60CDZFVNL7TE54XK77HHS59ZX', '3ZV9H2YQQTN5EOD8M9JGUQAD0YQW3C']","['A1HKYY6XI2OHO1', 'A2LMQ4497NMK3S']","[105.395, 143.482]",4
carry the torch for,"he's been carrying the torch for her since high school, but she never noticed",figurative,to have strong feelings for someone with whom you do not or cannot have a relationship,figurative,figurative,figurative,"['3S96KQ6I92KB4ZBBKTKHKFPQNHYDT2', '3SITXWYCNBPP6JMBB7U8ESMWXS9XBX']","['AKQAI78JTXXC9', 'AURYD2FH3FUOQ']","[68.396, 52.884]",4
carry the torch for,"during the relay race, he was carrying the torch for her until it was her turn to run",literal,to have strong feelings for someone with whom you do not or cannot have a relationship,literal,literal,literal,"['3R6BYFZZPNSFJ0YRG9G4XIDHCQ1XFF', '34PGFRQON4RGZ2FXPUB3AXR2WVCWJO']","['A110KENBXU7SUJ', 'AKQAI78JTXXC9']","[37.455, 66.721]",4
cash in,he decided to cash in on the opportunity and invest in the startup,figurative,to earn out of something in big amounts,figurative,figurative,figurative,"['3TVRFO09G0V1JS8N2KJ2SVI19MNXLK', '3FTF2T8WL7YRTQ2O3IKQL3DZ0Q0W9T']","['A110KENBXU7SUJ', 'A2LMQ4497NMK3S']","[47.751, 148.525]",4
cash in,"at the casino, she decided to cash in on the opportunity and exchange her chips for money",literal,to earn out of something in big amounts,literal,literal,literal,"['3FQ5JJ51214LNSC1FEKSFTEOI8TNK8', '3L4PIM1GQ9W1MVTAC020XLY9HKRRYV']","['A290OV59Q76QC8', 'A2A6FH0F7LD9ND']","[61.926, 75.256]",3
castles in the air,he spent his days building castles in the air instead of focusing on his job,figurative,thinking of some impossible task,figurative,figurative,figurative,"['3TEM0PF1QLDAOQEKMRW704NLQWJ0DB', '3IRIK4HM3Q0VX9ULOKHDPZFUIZSC6N']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8']","[96.687, 47.933]",2
castles in the air,the artist created a stunning installation of building castles in the air using lightweight materials,literal,thinking of some impossible task,literal,literal,literal,"['37QW5D2ZRW2Y8425EL4BOIF3A77S86', '3U0SRXB7CTL7AWPW5YTPG502D0NRN5']","['A2TBXASXZIRNNW', 'APRZ7BR8C0ZMQ']","[35.272, 39.669]",3
cat among the pigeons,his controversial statement was like a cat among the pigeons in the meeting,figurative,do or say something that causes trouble and make a lot of people angry or worried,figurative,figurative,figurative,"['3LQ8PUHQF1827102CD43XT2F4SVIHJ', '3TR2532VI5AI5N0RYCYZC3SP8T56JJ']","['A290OV59Q76QC8', 'APRZ7BR8C0ZMQ']","[58.914, 61.83]",3
cat among the pigeons,"the park visitors were shocked to see a cat among the pigeons, chasing them around",literal,do or say something that causes trouble and make a lot of people angry or worried,literal,literal,literal,"['3FTOP5WARV4NRCECWNII32IYVQXJ09', '3V26SBZTBTUATCP6I3YWXV9AWVTZZ2']","['A2LMQ4497NMK3S', 'AX8NXTT8QMGHC']","[148.837, 37.481]",4
catch napping,the surprise quiz caught him napping and he couldn't answer any questions,figurative,"surprise, take unawares.",figurative,figurative,figurative,"['3S0TNUHWK9YS6FJNHV9MTJT394X8DS', '3L70J4KAZW26P3C2ETT0PAZYZSXDA1']","['A290OV59Q76QC8', 'A38DXFI1TZA295']","[52.825, 52.609]",3
catch napping,I walked into the room and caught him napping on the couch,literal,"surprise, take unawares.",literal,literal,literal,"['308XBLVESYK59N0Z28OGPA08WB9BR0', '3DUZQ9U6S24WJGYIMEFLGWZBL58SVB']","['A1LI3JQS2VBOXC', 'A290OV59Q76QC8']","[45.27, 55.47]",3
catch up,I need to catch up with her to discuss the latest news,figurative,"to get to the same level, standard, or status as something or someone",figurative,figurative,figurative,"['3G0WWMR1UB07YVAWSJ4PBFQXHE0QNI', '3DIP6YHAPS8XYLXNDQK6Z1BO9GE8E1']","['A110KENBXU7SUJ', 'A2LMQ4497NMK3S']","[32.879, 142.675]",4
catch up,I had to run faster to catch up with her during the race,literal,"to get to the same level, standard, or status as something or someone",literal,literal,literal,"['3JNQLM5FTK20IC5QEVY925O5WDML2X', '35BLDD71IMDTKSKWH69TCPWE8KNZV2']","['A1HKYY6XI2OHO1', 'AX8NXTT8QMGHC']","[108.011, 59.853]",4
caught between two stools,he was caught between two stools when deciding between the two job offers,figurative,"come between two alternatives, and so fail to fulfill either of them",figurative,figurative,figurative,"['308XBLVESYK59N0Z28OGPA08WBORBV', '378XPAWRUSTNXESO67UBG7FBRXKIAN']","['A1HKYY6XI2OHO1', 'AURYD2FH3FUOQ']","[116.625, 94.891]",4
caught between two stools,"while trying to balance, she was caught between two stools and fell",literal,"come between two alternatives, and so fail to fulfill either of them",tie,ambiguous,literal,"['3634BBTX04AIT59WHNG3U8Q2ODXIF0', '37QW5D2ZRW2Y8425EL4BOIF3A7MS8L']","['A110KENBXU7SUJ', 'A2LMQ4497NMK3S']","[57.07, 148.37]",4
caught in the crossfire,"during the heated debate between her friends, she felt caught in the crossfire",figurative,be badly affected by a situation where two people or group are arguing with each other.,figurative,figurative,figurative,"['3AMW0RGHOTIMYJ9HS6P0BA0NCIZNP9', '3NQL1CS157OTF2ARLK7AYINC2Q4VYS']","['A2LMQ4497NMK3S', 'A38DXFI1TZA295']","[48.634, 32.856]",3
caught in the crossfire,"during the intense paintball match, he was caught in the crossfire between two opposing teams",literal,be badly affected by a situation where two people or group are arguing with each other.,tie,figurative,literal,"['3UWN2HHPUELJBBP9KNTU6F5YZ2LSN9', '3570Y55XZ5ZAX5KWWP8OYHK2FBVYGL']","['A290OV59Q76QC8', 'APRZ7BR8C0ZMQ']","[41.261, 126.539]",4
chapter and verse,"when asked about the new policy, she gave them chapter and verse on the company's regulations",figurative,verbatim; word for word details.,tie,ambiguous,figurative,"['3SB5N7Y3OJKD0AOBOHXF6PQI3OYG00', '3DIP6YHAPS8XYLXNDQK6Z1BO96VE84']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8']","[120.967, 52.012]",2
chapter and verse,the priest gave them chapter and verse from the Bible during the sermon,literal,verbatim; word for word details.,literal,literal,literal,"['3EA3QWIZ4YBSCARXC7LSBC53FM5IT8', '3IFS6Q0HJYZRXAEIN7G2179HD3RISJ']","['A1HKYY6XI2OHO1', 'AURYD2FH3FUOQ']","[99.903, 55.22]",4
child's play,solving the puzzle it was child's play for the experienced detective,figurative,an informal expression meaning something that is easy to do,figurative,figurative,figurative,"['30LSNF239ABYSBXKTS1WAPWDF9TI2H', '3OHYZ19UGSLXT03R427G04BX36JOAO']","['A290OV59Q76QC8', 'A38DXFI1TZA295']","[58.203, 26.523]",4
child's play,the playground equipment it was child's play for the kids to enjoy,literal,an informal expression meaning something that is easy to do,literal,literal,literal,"['3P529IW9KE1KJ6H22QDGMOIU5HCLF2', '374TNBHA8RB1AUEAZLD0SVO4LYPYQ1']","['A290OV59Q76QC8', 'A2LMQ4497NMK3S']","[38.987, 145.493]",3
chill to the bone,the eerie atmosphere of the haunted house left us chilled to the bone,figurative,to get frightened or scare somebody,figurative,figurative,figurative,"['36PW28KO4FCBH9Q2AO4KVSHJZ4YEAV', '3D3VGR7TAGV06SWMNF9A7R2W8JX3R2']","['A2LMQ4497NMK3S', 'A38DXFI1TZA295']","[145.843, 32.004]",3
chill to the bone,"after being outside in the freezing weather, we were chilled to the bone",literal,to get frightened or scare somebody,figurative,figurative,figurative,"['3SUWZRL0METAU7EZKBN8FNFX3B6E6J', '3I7DHKZYG3G6HHEHA3X95ZMXJH9F5L']","['A2A6FH0F7LD9ND', 'A2H1QUGX0SOUMH']","[52.399, 420.147]",2
chill wind,"when the news of the layoffs arrived, a chill wind blew through the office",figurative,to encounter the problems or trouble,figurative,figurative,figurative,"['3RSDURM96Q2CDRO5QUI0YEZQ2V1YEP', '3NPFYT4IZSKLX0UMRTMMF3DTD5MGXI']","['A2LMQ4497NMK3S', 'A38DXFI1TZA295']","[166.941, 46.671]",3
chill wind,"as we walked through the forest, a chill wind blew and made us shiver",literal,to encounter the problems or trouble,literal,literal,literal,"['34J10VATJVEFKUZ5V3RX67UGVF6QI2', '3QECW5O0KXHG0MWI5N2YM31YA0ZT59']","['A290OV59Q76QC8', 'A2LMQ4497NMK3S']","[39.859, 122.763]",4
chink in armour,"after analyzing their strategy, we found a chink in their armour that we could exploit",figurative,a susceptible or vulnerable area.,figurative,figurative,figurative,"['3F6KKYWMNRHD9M6RNXY5BGJYYPTND8', '37QW5D2ZRW2Y8425EL4BOIF3AX58S0']","['A1HKYY6XI2OHO1', 'A2A6FH0F7LD9ND']","[124.668, 63.569]",2
chink in armour,"while examining the knight's suit, he found a chink in their armour that needed repair",literal,a susceptible or vulnerable area.,literal,literal,literal,"['3X3OR7WPZFGB4R7FUC7ACW18IDEL80', '3UXUOQ9OKUDQ8UBSNGQEPIP2DHAA7L']","['A1HKYY6XI2OHO1', 'A38DXFI1TZA295']","[103.122, 37.088]",4
chip on shoulder,he had a chip on his shoulder after being passed over for the promotion,figurative,holding a grudge or grievance,figurative,figurative,figurative,"['3S96KQ6I92KB4ZBBKTKHKFPQNHIDTM', '3MB8LZR5BV9VZS9G314D21AZDDTLK4']","['A2TBXASXZIRNNW', 'AX8NXTT8QMGHC']","[31.243, 51.454]",3
chip on shoulder,"while carrying a wooden plank, he accidentally had a chip on his shoulder from a splinter",literal,holding a grudge or grievance,tie,discard,literal,"['304SM51WAJKHA20CHXOLFK54IDSBSO', '3NPI0JQDA4LKTWE1P2BCK96F10LTPG']","['A2LMQ4497NMK3S', 'A2TBXASXZIRNNW']","[172.073, 33.21]",3
choke up,"hearing the sad news, he started to choke up and could n't speak",figurative,make a person become overemotional and speechless,tie,figurative,literal,"['3P1L2B7ADH5EPJUV1TW69IR8X80LO1', '37FMASSAYS7SGOXGCLU7BIZH95OBIA']","['A1HKYY6XI2OHO1', 'A2A6FH0F7LD9ND']","[100.216, 34.816]",2
choke up,"while eating too quickly, he started to choke up on a piece of food",literal,make a person become overemotional and speechless,literal,literal,literal,"['3G0WWMR1UB07YVAWSJ4PBFQXHE0QNI', '3DIP6YHAPS8XYLXNDQK6Z1BO9GE8E1']","['A110KENBXU7SUJ', 'A2LMQ4497NMK3S']","[32.879, 142.675]",4
clamp down,the principal decided to clamp down on the situation by enforcing stricter rules,figurative,suppress or prevent something in an oppressive or harsh manner,figurative,figurative,figurative,"['3N1FSUEFLLGRNEWL5SJ9C7DY7IGD45', '3TDXMTX3CRAMACGLGUDZ02DPVEUI6X']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8']","[110.017, 36.569]",4
clamp down,the mechanic used a tool to clamp down on the situation and secure the loose parts,literal,suppress or prevent something in an oppressive or harsh manner,literal,literal,literal,"['32RIADZIS8KXP3F32IEY76ZY8BA4SQ', '3OS4RQUCRPV86XVQBDOM8LMPTDZFBQ']","['A290OV59Q76QC8', 'A2LMQ4497NMK3S']","[83.249, 148.876]",2
clean slate,"after apologizing, they decided to start with a clean slate and rebuild their friendship",figurative,to wipe the past out and begin afresh,figurative,figurative,figurative,"['3V0Z7YWSIEG3EHHKSZ0FPEM7NBOV2Q', '3OSWBBLG1UDILGKVP3LE9IAW0DLXD4']","['A290OV59Q76QC8', 'A2LMQ4497NMK3S']","[40.364, 146.688]",4
clean slate,the artist decided to start with a clean slate by wiping off the chalkboard,literal,to wipe the past out and begin afresh,literal,literal,literal,"['3AZHRG4CUK0C6YCNT2QVNV19ZTC03F', '3WQ3B2KGEOWHGI1I4E91JJIVSDV1BA']","['A110KENBXU7SUJ', 'AX8NXTT8QMGHC']","[19.786, 33.885]",4
clean sweep,the team made a clean sweep by winning all the matches in the tournament,figurative,an irresistible victory,figurative,figurative,figurative,"['35DR22AR5T0K3OIYWEF2W9OK90I3XY', '3HHRAGRYXOLJOHTMCWTG490DXON9OG']","['A2LMQ4497NMK3S', 'A2TBXASXZIRNNW']","[150.503, 31.684]",3
clean sweep,the janitor made a clean sweep of the classroom floor,literal,an irresistible victory,literal,literal,literal,"['3LQ8PUHQF1827102CD43XT2F4SVIHJ', '3TR2532VI5AI5N0RYCYZC3SP8T56JJ']","['A290OV59Q76QC8', 'APRZ7BR8C0ZMQ']","[58.914, 61.83]",3
clear the air,"after the argument, we cleared the air with her by discussing our feelings",figurative,get rid of all doubts and negative feelings,tie,literal,figurative,"['3CPLWGV3M4F16WTABHT3PK087EI9N1', '3QHK8ZVMI2YU6P5MXORK3YR9QJKBLA']","['A2A6FH0F7LD9ND', 'A2LMQ4497NMK3S']","[75.512, 152.174]",3
clear the air,we cleared the air with her by opening the windows to let the smoke out,literal,get rid of all doubts and negative feelings,literal,literal,literal,"['3JZQSN0I36Q4XE31RZG09WDM90QGFR', '31QTRG6Q29TGAIDVZ8YBSQYUG23YPA']","['A2TBXASXZIRNNW', 'A38DXFI1TZA295']","[27.937, 35.751]",3
clear the decks,we cleared the decks for the event by finishing all our pending tasks,figurative,get ready for action.,figurative,figurative,figurative,"['3IKZ72A5BKWA76KNE3TVZGMJACSFNE', '3FTYUGLFSA19JX0LJX2JHZJC7EBD5A']","['A1HKYY6XI2OHO1', 'AX8NXTT8QMGHC']","[123.495, 50.497]",4
clear the decks,we cleared the decks for the event by removing all the furniture from the patio,literal,get ready for action.,literal,literal,literal,"['3PPTZCWAL601FKOFV7FJ62X6RSTQZK', '36AHBNMV17S7LLA5UZ7GSWH52J0YDW']","['A38DXFI1TZA295', 'APRZ7BR8C0ZMQ']","[35.302, 46.585]",3
cloak and dagger,the spy was involved in a cloak and dagger operation to uncover government secrets,figurative,of or characteristic of the activities of spies and undercover agents.,tie,literal,figurative,"['3RYC5T2D7J97DH19LD6HKU5XDFOPRZ', '36DSNE9QZLE8UT6VY8KTT3EGTTYJOK']","['A2A6FH0F7LD9ND', 'A2LMQ4497NMK3S']","[77.538, 158.473]",3
cloak and dagger,the costume designer was involved in a cloak and dagger project for the upcoming play,literal,of or characteristic of the activities of spies and undercover agents.,tie,figurative,literal,"['3TVRFO09G0V1JS8N2KJ2SVI19MNXLK', '3FTF2T8WL7YRTQ2O3IKQL3DZ0Q0W9T']","['A110KENBXU7SUJ', 'A2LMQ4497NMK3S']","[47.751, 148.525]",4
close call,he had a close call when he narrowly avoided a car accident,figurative,a narrow escape from disaster,figurative,figurative,figurative,"['31LM9EDVO18QC86JXTKGEEEB3JTJN5', '37QW5D2ZRW2Y8425EL4BOIF3A778SM']","['A2LMQ4497NMK3S', 'A38DXFI1TZA295']","[151.706, 25.551]",3
close call,the two phones had a close call when they were placed side by side,literal,a narrow escape from disaster,literal,literal,literal,"['3SPJ03342HJKO7AX4VTRVUCI7TVJY9', '38JBBYETQ4QWFKAL1NUTIPVJ7K0E4Y']","['A290OV59Q76QC8', 'A2A6FH0F7LD9ND']","[49.674, 47.302]",2
cloud on the horizon,"despite the success of the project, there was a cloud on the horizon in the form of budget cuts",figurative,"a problem or difficulty that is predictable, or seems likely to arise in the future",figurative,figurative,figurative,"['3IUZPWIU14NBAMLF7FBFBCRFBATWKK', '3ZDAD0O1THTP25GSBTLTEMSI3PRTXH']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8']","[103.687, 52.675]",2
cloud on the horizon,"as we looked out to sea, we noticed a cloud on the horizon signaling an approaching storm",literal,"a problem or difficulty that is predictable, or seems likely to arise in the future",literal,literal,literal,"['3NVC2EB656F93T881A14FNVTB6QY3D', '36TFCYNS4KQZXWPXBZ4403PUS5EXHD']","['APRZ7BR8C0ZMQ', 'AURYD2FH3FUOQ']","[76.416, 57.204]",4
