idiom,meaning,intended_figurative,intended_literal,maxVote_figurative,maxVote_literal,gold_figurative,gold_literal,well_formed
caught between two stools,"come between two alternatives, and so fail to fulfill either of them",he was caught between two stools when deciding between the two job offers,"while trying to balance, she was caught between two stools and fell",figurative,tie,"['figurative', 'figurative']","['ambiguous', 'literal']",False
caught in the crossfire,be badly affected by a situation where two people or group are arguing with each other.,"during the heated debate between her friends, she felt caught in the crossfire","during the intense paintball match, he was caught in the crossfire between two opposing teams",figurative,tie,"['figurative', 'figurative']","['figurative', 'literal']",False
chapter and verse,verbatim; word for word details.,"when asked about the new policy, she gave them chapter and verse on the company's regulations",the priest gave them chapter and verse from the Bible during the sermon,tie,literal,"['ambiguous', 'figurative']","['literal', 'literal']",False
child's play,an informal expression meaning something that is easy to do,solving the puzzle it was child's play for the experienced detective,the playground equipment it was child's play for the kids to enjoy,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
chill to the bone,to get frightened or scare somebody,the eerie atmosphere of the haunted house left us chilled to the bone,"after being outside in the freezing weather, we were chilled to the bone",figurative,figurative,"['figurative', 'figurative']","['figurative', 'figurative']",False
chill wind,to encounter the problems or trouble,"when the news of the layoffs arrived, a chill wind blew through the office","as we walked through the forest, a chill wind blew and made us shiver",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
chink in armour,a susceptible or vulnerable area.,"after analyzing their strategy, we found a chink in their armour that we could exploit","while examining the knight's suit, he found a chink in their armour that needed repair",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
chip on shoulder,holding a grudge or grievance,he had a chip on his shoulder after being passed over for the promotion,"while carrying a wooden plank, he accidentally had a chip on his shoulder from a splinter",figurative,tie,"['figurative', 'figurative']","['discard', 'literal']",False
choke up,make a person become overemotional and speechless,"hearing the sad news, he started to choke up and could n't speak","while eating too quickly, he started to choke up on a piece of food",tie,literal,"['figurative', 'literal']","['literal', 'literal']",False
clamp down,suppress or prevent something in an oppressive or harsh manner,the principal decided to clamp down on the situation by enforcing stricter rules,the mechanic used a tool to clamp down on the situation and secure the loose parts,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
clean slate,to wipe the past out and begin afresh,"after apologizing, they decided to start with a clean slate and rebuild their friendship",the artist decided to start with a clean slate by wiping off the chalkboard,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
clean sweep,an irresistible victory,the team made a clean sweep by winning all the matches in the tournament,the janitor made a clean sweep of the classroom floor,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
clear the air,get rid of all doubts and negative feelings,"after the argument, we cleared the air with her by discussing our feelings",we cleared the air with her by opening the windows to let the smoke out,tie,literal,"['literal', 'figurative']","['literal', 'literal']",False
clear the decks,get ready for action.,we cleared the decks for the event by finishing all our pending tasks,we cleared the decks for the event by removing all the furniture from the patio,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
cloak and dagger,of or characteristic of the activities of spies and undercover agents.,the spy was involved in a cloak and dagger operation to uncover government secrets,the costume designer was involved in a cloak and dagger project for the upcoming play,tie,tie,"['literal', 'figurative']","['figurative', 'literal']",False
close call,a narrow escape from disaster,he had a close call when he narrowly avoided a car accident,the two phones had a close call when they were placed side by side,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
cloud on the horizon,"a problem or difficulty that is predictable, or seems likely to arise in the future","despite the success of the project, there was a cloud on the horizon in the form of budget cuts","as we looked out to sea, we noticed a cloud on the horizon signaling an approaching storm",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
coast is clear,there is no danger in sight or that nobody can see you,"after the security guard left, we knew the coast is clear to enter the building","looking through the binoculars, the sailor confirmed that the coast is clear of any obstacles",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
coin money,make a great deal of money easily or very quickly.,their successful business venture had them coining money together in no time,"as mint workers, they were coining money together at the factory",tie,literal,"['ambiguous', 'figurative']","['literal', 'literal']",False
cold feet,loss of courage,she got cold feet just before her big presentation,"after walking in the snow without proper shoes, she got cold feet",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
cold turkey,in a unexpected and sudden way,he quit smoking by going cold turkey without any assistance,"she was going cold turkey for her sandwich, but decided to add some cheese",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
comb through,to look into something carefully.,the detective had to comb through the documents to find any evidence,she had to comb through the documents to remove the paper clips that got tangled in them,figurative,figurative,"['figurative', 'figurative']","['figurative', 'figurative']",False
come across,to meet someone,"while researching, I came across the old book that provided valuable information","walking through the library, I accidentally stepped on and came across the old book lying on the floor",tie,literal,"['literal', 'figurative']","['literal', 'literal']",False
come clean,to make a disclosure,"after hiding the truth for so long, he decided to come clean about his past","after playing in the mud, the kids decided to come clean and took a bath",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
come down with,to have (usually a disease),he came down with something after being exposed to the cold weather,the kite came down with something tangled in its strings,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
come full circle,return to an earlier position or decision.,"after years of exploring different career paths, she came full circle and returned to her passion for teaching",the hiker came full circle after walking around the entire circumference of the lake,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
come out swinging,be confrontational,"after the criticism, he came out swinging with a strong rebuttal","as soon as the boxing match started, he came out swinging at his opponent",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
cook his goose,to spoil someone's chances of success,"when he was caught cheating, his teacher cooked his goose by failing him","for dinner, the chef cooked his goose with a delicious orange sauce",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
cool heels,to wait or take rest,they were cooling their heels in the waiting room before the interview,"after walking on hot sand, they were cooling their heels in the ocean water",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
cool your jets,to calm down and stop being so anxious or elated.,"when he started getting impatient, I told him to cool his jets and wait for the results","as the mechanic, I told him to cool his jets before inspecting the engine",figurative,tie,"['figurative', 'figurative']","['figurative', 'literal']",False
cost an arm and a leg,very expensive,the designer dress she wanted cost an arm and a leg,"in the horror movie, the haunted house's entry fee cost an arm and a leg as a gruesome form of payment",figurative,tie,"['figurative', 'figurative']","['ambiguous', 'literal']",False
count chicken,make plans based on events that may or may not happen,he was counting chickens before they hatch when he started planning his victory party,the farmer was counting chickens before they hatch by estimating the number of eggs that would become chicks,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
cover one's tracks,"to keep one's location, activities, and intentions hidden.",the thief covered their tracks by wiping away fingerprints,they covered their tracks in the snow by walking backward,literal,tie,"['literal', 'literal']","['figurative', 'literal']",False
crack the whip,make someone work harder by asserting power or authority,the manager cracked the whip on the team to meet the deadline,the circus performer cracked the whip on the team of horses to start the show,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
cross paths,encounter or meet someone by chance.,I never thought I would cross paths with her again after high school,"while walking in the park, we happened to cross paths with her at the intersection",tie,tie,"['literal', 'figurative']","['literal', 'ambiguous']",False
cross swords,to fight with another person physically or verbally.,"during the heated debate, she crossed swords with him over their differing opinions","at the fencing tournament, they crossed swords with him in a thrilling match",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
cross the bridge,to delay worrying about something that might not happen anyway,they crossed the bridge together when they decided to face their problems as a team,the two friends crossed the bridge together while enjoying the scenic view,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
cross the line,behave in a way that is not acceptable,he crossed the line with her when he made that inappropriate comment,"during the race, he crossed the line with her as they finished together",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
crush,feel love-sick for someone.,she couldn't help but have a crush on the charming new coworker,the machine was designed to have a crush on the aluminum cans for recycling,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
cry over spilt milk,to be upset about things that have already been done,there's no point in crying over spilt milk now that the deadline has passed,the toddler was crying over spilt milk on the kitchen floor,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
cup of tea,to like something,"skydiving is not my cup of tea, I prefer calmer activities","this green tea is not my cup of tea, I ordered black tea",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
cut and dried,ready-made,"with her impressive qualifications, it was a cut and dried decision to hire her",the process of making fruit leather involves a cut and dried decision with the fruit,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
cut and thrust,"furious contest, discussion, etc.",the politicians engaged in the cut and thrust of the debate during the election campaign,the fencing match displayed the cut and thrust of the debate between two skilled opponents,figurative,tie,"['figurative', 'figurative']","['figurative', 'literal']",False
cut coat according to cloth,"adapt to one's circumstances, make sure one's plans are appropriate to one's resources.",they cut their coat according to their cloth by living within their means,the tailor cut their coat according to their cloth to avoid wasting fabric,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
cut corners,"economise on time, money, materials or effort, perhaps unwisely","to save time and money, they cut corners on the project by using cheaper materials",the carpenter cut corners on the project to create a rounded shape,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
cut down,to reduce the amount of something (usually bad),he had to cut down the tree of his ego to become a better person,the lumberjack used a chainsaw to cut down the tree in the forest,tie,literal,"['figurative', 'discard']","['literal', 'literal']",False
cut the cord,to end a connection with someone,he decided to cut the cord with her and end their toxic relationship,the nurse cut the cord with her after the baby was born,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
cut the mustard,to succeed,"despite his efforts, he couldn't cut the mustard in the competitive sales environment","with a dull knife, she couldn't cut the mustard for her sandwich",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
cut your own throat,to do something that will be the cause of your own failure or ruin your chances in the future,"by revealing company secrets, he cut his own throat and ruined his career","while shaving, he accidentally cut his own throat with the razor",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
cutting edge,to be among the latest and the best (often used for technological advancements),their research is on the cutting edge of technology,the chef's knife was on the cutting edge of the countertop,figurative,tie,"['figurative', 'figurative']","['discard', 'literal']",False
dance to tune,to do what someone else forces you to do,he always danced to the tune of his boss's demands,"at the party, they danced to the tune of their favorite song",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
dancing on their grave,outlive or outlast someone and celebrate their demise,he was so happy about his rival's failure that he was practically dancing on their grave,the disrespectful teenagers were caught dancing on their grave in the cemetery,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
dark horse,"a little known, unexpectedly successful entrant","the new candidate was a dark horse in the race, surprising everyone with his unexpected success",the trainer brought a dark horse in the race to compete against the other thoroughbreds,figurative,tie,"['figurative', 'figurative']","['ambiguous', 'literal']",False
dead and buried,no longer in use.,"we resolved our differences, so that issue is dead and buried now",the archaeologist confirmed that that issue is dead and buried beneath the ancient ruins,figurative,tie,"['figurative', 'figurative']","['literal', 'ambiguous']",False
dead duck,a project or scheme which has been abandoned or is certain to fail,"without any support, he was a dead duck in the situation and couldn't succeed",the hunter shot down a dead duck in the situation and retrieved it,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
dead in the water,unable to produce movement,the project was found it dead in the water after the funding was cut,the fisherman found it dead in the water while he was out on the lake,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
deep down,felt strongly and often hidden from other people,he knew deep down in the ocean of his heart that he had made the right decision,the divers explored the shipwreck deep down in the ocean,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
deliver the goods,do what is required,the new employee delivered the goods on time by meeting all the project deadlines,the courier delivered the goods on time to the customer's doorstep,tie,literal,"['literal', 'figurative']","['literal', 'literal']",False
dial it back,"to reduce the intensity of something, or tone it down",he was advised to dial it back a bit during the heated discussion,"the radio was too loud, so she had to dial it back a bit",figurative,tie,"['figurative', 'figurative']","['figurative', 'literal']",False
die in harness,to expire while working,"the dedicated employee died in harness, working tirelessly until the end",the poor horse died in harness while pulling the heavy load,tie,literal,"['literal', 'figurative']","['literal', 'literal']",False
dig one's own grave,"to do something that has negative consequences for you, even though these consequences can be easily seen.","by spreading false rumors about the boss, he was digging his own grave at work","as a cemetery worker, he was digging his own grave to prepare for his eventual burial",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
do the trick,successfully achieve a result,"adding a little more salt to the soup, that should do the trick","performing a magic act, the magician said 'that should do the trick' as he pulled a rabbit from his hat",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
dodge a bullet,to narrowly avoid a very serious problem or a disaster,"when the company went bankrupt, I realized I dodged a bullet there by not investing","during the paintball game, he dodged a bullet there by quickly ducking behind a barrier",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
does exactly what it says on the tin,someone or something is exactly as they seem,the new software does exactly what it says on the tin and is very user-friendly,the paint does exactly what it says on the tin and dries in just 30 minutes,tie,literal,"['literal', 'figurative']","['literal', 'literal']",False
double-edged sword,something that could either help you or hurt you,"having a high-profile job can be a double-edged sword in this situation, as it brings both prestige and stress",the knight wielded a double-edged sword in this situation to defend himself against multiple attackers,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
down to earth,"decent, simple, realistic","despite her fame, she remained a down-to-earth person who was easy to talk to","the astronaut, once back from space, became a down-to-earth person again",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
dragging its feet,"delaying in decision, not showing enthusiasm",the committee was dragging its feet on the decision to approve the project,the robot was malfunctioning and dragging its feet on the decision of which direction to move,figurative,tie,"['figurative', 'figurative']","['figurative', 'literal']",False
draw a blank,to get no response from someone,"when asked about the details of the project, he was drawing a blank",the artist was drawing a blank canvas to prepare for her next masterpiece,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
drive a wedge between,to damage the good relationship that two people or groups of people have,the disagreement started to drive a wedge between them and their friendship,the lumberjack used a mallet to drive a wedge between them and split the log,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
drive up the wall,to make someone angry or irritated,his constant humming is driving me up the wall,the remote-controlled car was driving me up the wall as it climbed vertically,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
drop a bombshell,"make an unexpected, startling or disturbing announcement",the CEO dropped a bombshell during the meeting when he announced the company's bankruptcy,the clumsy actor accidentally dropped a bombshell during the meeting while filming a war scene,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
drop by,an informal visit,I'll drop by the store to see if they have any new books,the clumsy customer accidentally let a jar drop by the store entrance,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
eat him alive,to criticize someone severely because you are angry with them,his lack of preparation will eat him alive in the competition against more experienced opponents,the carnivorous insects would eat him alive in the competition if he didn't wear protective gear,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
elephant in the room,"a difficult, controversial, or obvious problem that no one wants to talk about or mention because the subject is problematic, uncomfortable, or awkward","during the family meeting, it was time to address the elephant in the room and discuss the ongoing conflict","at the wildlife conservation conference, the speaker decided to address the elephant in the room and talk about habitat preservation",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
end of story,there is  nothing more to add to the matter under discussion,"I told him I wasn't interested, and that's the end of the story","she closed the book and said, 'that's the end of the story'",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
every nook and cranny,to look for something everywhere,"to find the perfect gift, they searched every nook and cranny of the shopping mall","during the deep cleaning, they searched every nook and cranny of the house for dust and dirt",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
everything but the kitchen sink,almost everything that one can think of,"for our camping trip, we packed everything but the kitchen sink to be prepared","while moving, they packed everything but the kitchen sink, which was left for the new owners",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
face the music,receive punishment,"after making a mistake at work, they faced the music together and accepted the consequences","as the orchestra began to play, they faced the music together and enjoyed the performance",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
fall at first hurdle,to fail to overcome the first difficulty encountered,the new employee fell at the first hurdle when he failed to complete the initial task,the inexperienced horse rider fell at the first hurdle during the race,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
fall between the cracks,be ignored or unobserved,his request for a promotion fell between the cracks due to the company's restructuring,the small toy fell between the cracks of the wooden floor,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
fall flat,"fails to amuse people, or fails to have the effect that was intended","he tried to make everyone laugh, but the joke fell flat and no one reacted","the book slipped from her hand, and the joke fell flat on the floor",figurative,tie,"['figurative', 'figurative']","['figurative', 'discard']",False
fall on his sword,to accept the consequences of an unsuccessful or wrong action,he decided to fall on his sword and take responsibility for the team's failure,"during the reenactment, he accidentally tripped and started to fall on his sword",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
fall on our feet,to succeed in doing something where there was a risk of failure,"despite the challenges, we managed to fall on our feet and succeed","during the dance routine, we tripped and managed to fall on our feet",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
fall out,to disagree with someone about something,they had a fall out over a disagreement about their business,"while climbing the tree, they had a fall out and landed on the ground",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
fan the flames,make a bad situation even worse,their constant arguing only fanned the flames together and made the situation worse,they fanned the flames together to keep the campfire going,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
far cry from,something that is very different from something else,the movie adaptation was a far cry from the original book,the echo of her voice was a far cry from the original sound,figurative,tie,"['figurative', 'figurative']","['literal', 'figurative']",False
feather in your cap,It means to have an achievement in your name.,winning the championship would be a feather in your cap,the hat you're wearing has a feather in your cap as a decoration,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
feather one's (own) nest,"If you say that you are feathering your own nest, you mean that you are working so hard to gather resources (money) to live a comfortable life in the future.",she was accused of feathering her own nest by taking bribes,the bird was feathering her own nest with soft materials to make it cozy,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
feel the pinch,experience financial hardship,"after losing his job, he started to feel the pinch financially","when the crab grabbed his finger, he started to feel the pinch",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
feet of clay,have a flaw or weakness most people are unaware of.,"despite his confident demeanor, he had feet of clay when it came to public speaking",the statue had feet of clay as part of its unique design,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
fiddle while Rome burns,to perform an inconsequential task or act irresponsibly in the midst of a disastrous event.,he fiddled while Rome burned by playing video games during the company crisis,the musician fiddled while Rome burned as he was unaware of the fire,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
field day,have a great time doing something enjoyable,the gossipers had a field day when they heard about the scandal,the students had a field day participating in various outdoor activities,figurative,figurative,"['figurative', 'figurative']","['figurative', 'figurative']",False
fight a losing battle,trying to do something even when there is little chance of succeeding,trying to convince her to change her mind was like fighting a losing battle,the outnumbered soldiers knew they were fighting a losing battle against the invading forces,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
fill the bill,be exactly suitable for a particular situation,the new employee filled the bill perfectly for the position we needed,the waiter filled the bill perfectly with all the items we ordered,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
find feet,become familiar with a new situation,"after a few weeks, she found her feet in the new environment and became more confident","after being blindfolded, she found her feet in the new environment by touching the ground",figurative,tie,"['figurative', 'figurative']","['literal', 'figurative']",False
fingers and thumbs,to be clumsy and not very skilled with your hands,"when it comes to knitting, I'm all fingers and thumbs",the hand puppet was all fingers and thumbs with no other features,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
fingers crossed,a gesture of crossed fingers used to express good luck,I'm keeping my fingers crossed for good news about the job offer,"while making a wish, I was keeping my fingers crossed for added luck",tie,tie,"['ambiguous', 'figurative']","['figurative', 'literal']",False
first light,the time when the light begins to appear in the morning,he started his daily workout at first light to seize the day,"the sun began to rise, and we could see at first light the beautiful landscape",figurative,tie,"['figurative', 'figurative']","['literal', 'figurative']",False
fish out of water,to feel uncomfortable in unfamiliar surroundings,he felt like a fish out of water at the formal event,the poor creature flopped around like a fish out of water when it was accidentally dropped on the floor,figurative,tie,"['figurative', 'figurative']","['literal', 'ambiguous']",False
flash in the pan,"something that cannot be repeated, usually a positive concept","his sudden success turned out to be a flash in the pan, as he couldn't maintain it","the oil caught fire, creating a flash in the pan while she was cooking",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
flesh and blood,"This phrase refers to direct family members, people that share a DNA, that is, flesh and blood.",I couldn't believe my own flesh and blood would betray me like that,the horror movie showed a scene where my own flesh and blood was exposed after a terrible accident,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
flog a dead horse,waste energy on something that has no chance of succeeding,arguing about the same issue over and over again was like flogging a dead horse,the man in the strange painting was flogging a dead horse in the field,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
foam at the mouth,be extremely angry,he was foaming at the mouth when he found out about the betrayal,the rabid dog was foaming at the mouth and needed to be isolated,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
foot in mouth,to say something by accident that embarrasses or upsets someone,I put my foot in my mouth when I accidentally insulted her cooking,"during a yoga class, I put my foot in my mouth while attempting a difficult pose",figurative,tie,"['figurative', 'figurative']","['ambiguous', 'literal']",False
foot in the door,succeed with a first step.,"by volunteering at the company, she got a foot in the door for a full-time position","when the door was closing, he quickly got a foot in the door to prevent it from shutting",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
frighten or scare to death,make somebody feel very frightened.,the sudden loud noise scared her to death during the movie,the heart attack caused by the unexpected event scared her to death,figurative,tie,"['figurative', 'figurative']","['literal', 'figurative']",False
from A to Z,comprehensive,she studied the subject so thoroughly that she learned it from A to Z,the alphabet book helped the child learned it from A to Z,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
full of beans,to be optimistic or enthusiastic,"after a good night's sleep, he seemed full of beans and ready to tackle the day",the bag seemed full of beans as it bulged and weighed heavily in her hand,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
get hitched,to get married,"after dating for five years, they decided to get hitched and start a family","during their road trip, they decided to get hitched to a trailer for extra storage",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
get one's feet wet,to begin taking part in a new activity,they got their feet wet by starting with a small project before tackling the big one,they got their feet wet when they accidentally stepped into a puddle,tie,literal,"['figurative', 'ambiguous']","['literal', 'literal']",False
get out of bed on the wrong side,be very irritable and grouchy,"he was so grumpy today, it seemed like he got out of bed on the wrong side","due to the rearrangement of his room, he accidentally got out of bed on the wrong side and bumped into the wall",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
get over it,accept something and move on,"after a few weeks of sadness, she finally got over it and moved on",he finally got over it by climbing the fence,figurative,tie,"['figurative', 'figurative']","['ambiguous', 'literal']",False
get the sack,be dismissed from the job,she got the sack from the company after failing to meet her sales targets,she got the sack from the company to carry her groceries home,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
get the wrong end of the stick,to understand something in the wrong way,he misunderstood the situation and got the wrong end of the stick,"while trying to pick up the stick, he accidentally got the wrong end of the stick covered in mud",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
get to the bottom,to find out the truth relating to a situation,the detective was determined to get to the bottom of the issue and solve the case,the diver had to get to the bottom of the issue to retrieve the sunken treasure,tie,tie,"['figurative', 'literal']","['literal', 'discard']",False
get your goat,irritate somebody,his constant teasing finally got your goat and made you angry,the farmer got your goat from the pen and brought it to you,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
gets it out of his system,get rid of a strong emotion or desire by expressing it openly or trying to fulfill it,he needs to vent his frustrations to gets it out of his system,"after taking the medicine, he finally gets it out of his system through detoxification",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
getting my fingers burnt,"to suffer unpleasant results of an action, especially loss of money, so you do not want to do the same thing again","after investing in that risky business, I ended up getting my fingers burnt","while trying to light the candle, I ended up getting my fingers burnt",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
give a shot,to have a try at something,"even though he was nervous, he gave it a shot and presented his idea to the team",the nurse gave it a shot of vaccine to the patient,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
give it a whirl,to try something new.,"unsure of the outcome, he gave it a whirl and tried the new recipe",he gave it a whirl by spinning the wheel at the carnival game,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
give the slip,to get away,she gave him the slip by sneaking out the back door,"she accidentally gave him the slip when she handed him a wet, slippery object",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
glass ceiling,"an unseen (glass) barrier for women and people who belong to minority groups in climbing up the corporate, political or the ladder of success regardless of whether they are qualified for the job","despite her qualifications, she hit the glass ceiling in her career progression","while installing the chandelier, he accidentally hit the glass ceiling and shattered it",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
gloves are off,people are beginning to behave in a more hostile or tenacious way; usually used to describe a dispute or fight,"after the heated argument, the gloves are off now and they won't hold back","after finishing the gardening work, the gloves are off now and they can relax",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
go down in flames,to fail spectacularly,his political career went down in flames after the scandal,the aircraft went down in flames after being struck by lightning,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
go round in circles,work at something but keep failing to make progress with it.,the team was going round in circles trying to solve the problem,the children were going round in circles while playing a spinning game,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
go steady,have a romantic relationship with someone,"after dating for a few months, they decided to go steady and become exclusive","during the balance exercise, they decided to go steady and avoid sudden movements",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
go the extra mile,to make an extra effort,"to make sure the project was perfect, he went the extra mile and double - checked everything","during the marathon, he went the extra mile by mistake due to a wrong turn",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
go through a rough patch,to experience a lot of problems in a period of life,"after losing her job, she was going through a rough patch in her life","while hiking, we were going through a rough patch filled with rocks and thorns",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
go through channels,to follow the correct steps in order to get something done,he went through channels to get the necessary approval for his project,the water went through channels to get to the other side of the dam,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
go through the roof,to become very angry,his anger went through the roof when he found out about the betrayal,the rocket went through the roof of the building during the experiment,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
goose egg,zero,"despite her efforts in the competition, she scored a goose egg and felt disappointed","at the market, she scored a goose egg for her unique recipe",figurative,tie,"['figurative', 'figurative']","['figurative', 'literal']",False
got in his hair,to annoy someone so much that they cannot get on with what they are doing,the constant questions from his coworkers got in his hair and made it difficult to concentrate,the confetti from the party got in his hair and took a while to remove,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
got it made,"to be certain to be successful and have a good life, often without much effort:","with their successful business, they've got it made in life","after assembling the furniture, they've got it made and ready for use",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
got off your back,to be annoyed and ask someone to stop finding faults or criticize you,"when you completed the project, your boss finally got off your back",the cat finally got off your back when you stood up,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
got somebody's goat,to annoy or irritate someone,her constant teasing finally got his goat and he lost his temper,the farmer next door got his goat when it wandered into their yard,figurative,tie,"['figurative', 'figurative']","['literal', 'discard']",False
got the slap on the wrist,got small punishment when a more severe punishment is deserved,he got the slap on the wrist for being late to work,"during the play, the actor got the slap on the wrist as part of the scene",figurative,tie,"['figurative', 'figurative']","['literal', 'ambiguous']",False
green around the gills,Someone who looks sick or nauseated.,"after the roller coaster ride, he was looking green around the gills from nausea",the makeup artist painted him to be looking green around the gills for the alien costume,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
had your chips,when someone has completely failed in what they set out to achieve,"after losing the game, it was clear you had your chips","once you finished eating, you had your chips and were ready to leave",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
halfway house,"mid-point in recovery, treatment, or progress",the compromise solution was like staying at the halfway house for both parties,"after being released from prison, he was staying at the halfway house to transition back into society",tie,tie,"['figurative', 'discard']","['figurative', 'literal']",False
hammer and tongs,"to argue fiercely, with a lot of energy and noise",they went at it hammer and tongs during the heated debate,the blacksmith went at it hammer and tongs while forging the sword,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
