idiom,instance,label,meaning,maxVote,gold_0,gold_1,AssignmentId,WorkerId,TimeMe,batch_num,gold,WorkerIdPosition
break the mould,her innovative ideas were breaking the mould in the industry,figurative,to do something different from what is expected,figurative,figurative,figurative,"['3TEM0PF1QLDAOQEKMRW704NLQ6LD0A', '3Q5C1WP232HFR2K934IOGXI3IHU15U']","['A1HKYY6XI2OHO1', 'A2A6FH0F7LD9ND']","[98.12, 35.374]",3,"['figurative', 'figurative']",1
break the mould,the sculptor was breaking the mould to reveal the finished statue,literal,to do something different from what is expected,literal,literal,literal,"['3R5F3LQFVI0YU8BZGUNFHX26CH8ZOY', '34MAJL3QPK3T5MUOC3DXZYRMGVC43Z']","['A2A6FH0F7LD9ND', 'A38DXFI1TZA295']","[47.996, 27.061]",2,"['literal', 'literal']",0
break up,"after months of arguments, they decided to break up and end their relationship",figurative,end a romantic relationship with someone,figurative,figurative,figurative,"['3QHK8ZVMI2YU6P5MXORK3YR9QJZLBZ', '3X3OR7WPZFGB4R7FUC7ACW18IDF8LO']","['A290OV59Q76QC8', 'AKQAI78JTXXC9']","[45.864, 79.556]",4,"['figurative', 'figurative']",1
bright spark,the firework display created a bright spark in the night sky,literal,an intelligent and lively person (humorously),literal,literal,literal,"['37TRT2X2467OBZHMU3F7NJEHMKDJBU', '3KXIR214IKW4K4Y583ZSGOMUAHC42O']","['A2A6FH0F7LD9ND', 'A38DXFI1TZA295']","[56.205, 91.41]",2,"['literal', 'literal']",0
buckle down,"with the deadline approaching, we had to buckle down to work and finish the project",figurative,make sure something stays in place,figurative,figurative,figurative,"['3LYA37P8I63JMJN4COFJOYEU1JFBK7', '39N5ACM9HU319H5NRW6VT9537TIP9C']","['A290OV59Q76QC8', 'A2A6FH0F7LD9ND']","[46.569, 75.92]",3,"['figurative', 'figurative']",1
bull in a china shop,"he was clumsy and careless, acting like a bull in a china shop during the meeting",figurative,"extremely awkward, clumsy person",tie,literal,figurative,"['3R5F3LQFVI0YU8BZGUNFHX26CH8ZOY', '34MAJL3QPK3T5MUOC3DXZYRMGVC43Z']","['A2A6FH0F7LD9ND', 'A38DXFI1TZA295']","[47.996, 27.061]",2,"['literal', 'figurative']",0
bull's eye,his speech hit the bull's eye and addressed the main issue,figurative,the center of a target,figurative,figurative,figurative,"['36W0OB37HCUO2RPCCHSPXO5505XZHX', '34J10VATJVEFKUZ5V3RX67UGVFRIQF']","['A2A6FH0F7LD9ND', 'A2TBXASXZIRNNW']","[52.524, 47.956]",3,"['figurative', 'figurative']",0
bundle up,make sure to bundle up before going to face the harsh reality,figurative,to dress warmly to protect oneself from the elements,tie,literal,figurative,"['3RANCT1ZVVXXPFSG62JLULNS3AUBUL', '3WOKGM4L7HW1SN59C0ANBYZKUK80OA']","['A38DXFI1TZA295', 'AKQAI78JTXXC9']","[35.555, 70.039]",4,"['literal', 'figurative']",1
burn fingers,they burned their fingers by investing in a risky business,figurative,to bear an unpleasant result of an action that has been taken in the past,figurative,figurative,figurative,"['3PM8NZGV8EWCAPO0UPRY9HHVJSAQX2', '39GHHAVOMV74Q0WDFO5KF58BC2DJ4P']","['A110KENBXU7SUJ', 'A2LMQ4497NMK3S']","[27.69, 146.586]",4,"['figurative', 'figurative']",0
burst the bubble,"the kids were playing with soap bubbles, and the wind burst the bubble for them",literal,the sudden end of a very happy or successful period,tie,figurative,literal,"['3U088ZLJV099XWEB3M1XSSC6XM70WM', '33CID5710K9P3U19IVCELFTX2RML38']","['AKQAI78JTXXC9', 'AX8NXTT8QMGHC']","[86.793, 48.424]",4,"['figurative', 'literal']",0
bury head in the sand,they buried their heads in the sand when confronted with the company's financial problems,figurative,hide from the truth,figurative,figurative,figurative,"['3U088ZLJV099XWEB3M1XSSC6XM70WM', '33CID5710K9P3U19IVCELFTX2RML38']","['AKQAI78JTXXC9', 'AX8NXTT8QMGHC']","[86.793, 48.424]",4,"['figurative', 'figurative']",0
bury head in the sand,the ostriches buried their heads in the sand to search for food,literal,hide from the truth,literal,literal,literal,"['3PH3VY7DJ1D6ZHK17GEPYRFSFTPZWC', '3D4CH1LGEQ9VW4COODG8Z0RB62AG9E']","['A110KENBXU7SUJ', 'A38DXFI1TZA295']","[25.492, 41.235]",4,"['literal', 'literal']",0
bury the hatchet,"after years of rivalry, they decided to bury the hatchet together and become friends",figurative,to stop fighting or arguing or to end old resentments,figurative,figurative,figurative,"['3YDGXNSEOFAF6J0UOK8TQFZXWR548C', '3LWJHTCVCS2VA3XFUVLC3AHOFNZQFW']","['A2A6FH0F7LD9ND', 'A2LMQ4497NMK3S']","[70.601, 146.717]",3,"['figurative', 'figurative']",0
butter up,he tried to butter up the boss by complimenting her outfit,figurative,to flatter someone so as to get something in return from them,figurative,figurative,figurative,"['3FPRZHYEPENSZZD3WZEK8ORZTPA3VV', '3VAR3R6G15HJACAC74N24D52DI48OP']","['A2A6FH0F7LD9ND', 'AX8NXTT8QMGHC']","[98.008, 40.558]",3,"['figurative', 'figurative']",0
butter up,it was her job to butter up the boss's toast every morning,literal,to flatter someone so as to get something in return from them,literal,literal,literal,"['3Y5140Z9DDWUKIYQVQC86246QJ5PIV', '3K2755HG58J1LUTAP9FS3BAPW8ADFE']","['A2A6FH0F7LD9ND', 'A2TBXASXZIRNNW']","[56.018, 35.237]",3,"['literal', 'literal']",0
call bluff,she called his bluff when he threatened to quit the job,figurative,"to challenge to prove one's claim, when they are likely attempting to deceive",figurative,figurative,figurative,"['3E7TUJ2EGS2SKK2XMNF0TFOET0C9DV', '3IGI0VL64N04DJXGD6CLMAVX231ON7']","['A1HKYY6XI2OHO1', 'A2A6FH0F7LD9ND']","[141.766, 36.871]",2,"['figurative', 'figurative']",1
call bluff,"during the poker game, she called his bluff and revealed his cards",literal,"to challenge to prove one's claim, when they are likely attempting to deceive",tie,literal,ambiguous,"['38YMOXR4MAF4B70Q5BHE1TMXAFA6WQ', '30MVJZJNH2T5N62PWJ1BWDJRYKAJ9K']","['A1HKYY6XI2OHO1', 'A2A6FH0F7LD9ND']","[99.355, 38.979]",2,"['literal', 'ambiguous']",1
call on,"while walking through the hallway, I had to call on the teacher to get her attention",literal,"use courage, reserve, nerve or strength to achieve something",tie,literal,figurative,"['36W0OB37HCUO2RPCCHSPXO5505XZHX', '34J10VATJVEFKUZ5V3RX67UGVFRIQF']","['A2A6FH0F7LD9ND', 'A2TBXASXZIRNNW']","[52.524, 47.956]",3,"['literal', 'figurative']",0
camp follower,"he was known as a camp follower, always supporting the team but never participating",figurative,"a person who is supportive of the cause, person or organisation",figurative,figurative,figurative,"['37TRT2X2467OBZHMU3F7NJEHMKDJBU', '3KXIR214IKW4K4Y583ZSGOMUAHC42O']","['A2A6FH0F7LD9ND', 'A38DXFI1TZA295']","[56.205, 91.41]",2,"['figurative', 'figurative']",0
camp follower,"as a camp follower, she provided food and supplies to the soldiers during their journey",literal,"a person who is supportive of the cause, person or organisation",tie,literal,figurative,"['35GMH2SV3UX0JDK3K792WN1OOBZOEH', '3VP0C6EFSWC86V6C19BRSVK6CDX6M0']","['A290OV59Q76QC8', 'A2A6FH0F7LD9ND']","[62.593, 57.684]",2,"['literal', 'figurative']",1
can of worms,"by asking about his past, she inadvertently opened a can of worms in their conversation",figurative,"to get into something that is messy, has problems and is unwanted",figurative,figurative,figurative,"['3B837J3LD4C4Q9H1DUABFZA80ZVRSH', '3018Q3ZVOY60QDV7WUOKUZG2ETORAL']","['A2A6FH0F7LD9ND', 'A2TBXASXZIRNNW']","[71.476, 19.786]",3,"['figurative', 'figurative']",0
card up sleeve,"during the negotiation, he had a card up his sleeve that gave him an advantage",figurative,to have a secret advantage that is suddenly revealed to change the game,figurative,figurative,figurative,"['35GMH2SV3UX0JDK3K792WN1OOBZOEH', '3VP0C6EFSWC86V6C19BRSVK6CDX6M0']","['A290OV59Q76QC8', 'A2A6FH0F7LD9ND']","[62.593, 57.684]",2,"['figurative', 'figurative']",1
card up sleeve,"as a magician, he cleverly had a card up his sleeve for his next trick",literal,to have a secret advantage that is suddenly revealed to change the game,literal,literal,literal,"['3TVRFO09G0V1JS8N2KJ2SVI19MNXLK', '3FTF2T8WL7YRTQ2O3IKQL3DZ0Q0W9T']","['A110KENBXU7SUJ', 'A2LMQ4497NMK3S']","[47.751, 148.525]",4,"['literal', 'literal']",0
cards are stacked against,"in the game of poker, the cards are stacked against them due to the dealer's unfair shuffling",literal,"someone is not likely to succeed, especially because the person is not being given a fair chance",figurative,figurative,figurative,"['3HL8HNGX4LHPI4GTDTAQHFRZ5NW9FU', '39PAAFCOD2GXYGBXBEKBQ1VXNOMVT3']","['A2A6FH0F7LD9ND', 'AX8NXTT8QMGHC']","[62.328, 68.86]",3,"['figurative', 'figurative']",0
carrot and stick,the manager used the carrot and stick approach to motivate the employees,figurative,mixture of rewards and punishments,figurative,figurative,figurative,"['3EWIJTFFV4NFGWSKIM7R6M56QI2E0K', '3X4JMASXC2PH9TG08V515EZLNLPB0H']","['AKQAI78JTXXC9', 'APRZ7BR8C0ZMQ']","[72.212, 81.197]",4,"['figurative', 'figurative']",0
carrot and stick,"during the donkey race, he used the carrot and stick approach to make the donkey move faster",literal,mixture of rewards and punishments,tie,ambiguous,literal,"['3PM8NZGV8EWCAPO0UPRY9HHVJSAQX2', '39GHHAVOMV74Q0WDFO5KF58BC2DJ4P']","['A110KENBXU7SUJ', 'A2LMQ4497NMK3S']","[27.69, 146.586]",4,"['ambiguous', 'literal']",0
carry out,the team was assigned to carry out the task of improving the company's online presence,figurative,"put something into action, to accomplish something, to do something.",tie,figurative,literal,"['33SA9F9TRDA8OMT5BT0CDHEARDYEWJ', '3PW9OPU9P60NS51MLLGQIQFRYX0217']","['A290OV59Q76QC8', 'A2A6FH0F7LD9ND']","[46.421, 74.937]",2,"['figurative', 'literal']",1
carry the torch for,"he's been carrying the torch for her since high school, but she never noticed",figurative,to have strong feelings for someone with whom you do not or cannot have a relationship,figurative,figurative,figurative,"['3S96KQ6I92KB4ZBBKTKHKFPQNHYDT2', '3SITXWYCNBPP6JMBB7U8ESMWXS9XBX']","['AKQAI78JTXXC9', 'AURYD2FH3FUOQ']","[68.396, 52.884]",4,"['figurative', 'figurative']",0
carry the torch for,"during the relay race, he was carrying the torch for her until it was her turn to run",literal,to have strong feelings for someone with whom you do not or cannot have a relationship,literal,literal,literal,"['3R6BYFZZPNSFJ0YRG9G4XIDHCQ1XFF', '34PGFRQON4RGZ2FXPUB3AXR2WVCWJO']","['A110KENBXU7SUJ', 'AKQAI78JTXXC9']","[37.455, 66.721]",4,"['literal', 'literal']",1
cash in,he decided to cash in on the opportunity and invest in the startup,figurative,to earn out of something in big amounts,figurative,figurative,figurative,"['3TVRFO09G0V1JS8N2KJ2SVI19MNXLK', '3FTF2T8WL7YRTQ2O3IKQL3DZ0Q0W9T']","['A110KENBXU7SUJ', 'A2LMQ4497NMK3S']","[47.751, 148.525]",4,"['figurative', 'figurative']",0
cash in,"at the casino, she decided to cash in on the opportunity and exchange her chips for money",literal,to earn out of something in big amounts,literal,literal,literal,"['3FQ5JJ51214LNSC1FEKSFTEOI8TNK8', '3L4PIM1GQ9W1MVTAC020XLY9HKRRYV']","['A290OV59Q76QC8', 'A2A6FH0F7LD9ND']","[61.926, 75.256]",3,"['literal', 'literal']",1
catch up,I need to catch up with her to discuss the latest news,figurative,"to get to the same level, standard, or status as something or someone",figurative,figurative,figurative,"['3G0WWMR1UB07YVAWSJ4PBFQXHE0QNI', '3DIP6YHAPS8XYLXNDQK6Z1BO9GE8E1']","['A110KENBXU7SUJ', 'A2LMQ4497NMK3S']","[32.879, 142.675]",4,"['figurative', 'figurative']",0
caught between two stools,"while trying to balance, she was caught between two stools and fell",literal,"come between two alternatives, and so fail to fulfill either of them",tie,ambiguous,literal,"['3634BBTX04AIT59WHNG3U8Q2ODXIF0', '37QW5D2ZRW2Y8425EL4BOIF3A7MS8L']","['A110KENBXU7SUJ', 'A2LMQ4497NMK3S']","[57.07, 148.37]",4,"['ambiguous', 'literal']",0
chill to the bone,"after being outside in the freezing weather, we were chilled to the bone",literal,to get frightened or scare somebody,figurative,figurative,figurative,"['3SUWZRL0METAU7EZKBN8FNFX3B6E6J', '3I7DHKZYG3G6HHEHA3X95ZMXJH9F5L']","['A2A6FH0F7LD9ND', 'A2H1QUGX0SOUMH']","[52.399, 420.147]",2,"['figurative', 'figurative']",0
chink in armour,"after analyzing their strategy, we found a chink in their armour that we could exploit",figurative,a susceptible or vulnerable area.,figurative,figurative,figurative,"['3F6KKYWMNRHD9M6RNXY5BGJYYPTND8', '37QW5D2ZRW2Y8425EL4BOIF3AX58S0']","['A1HKYY6XI2OHO1', 'A2A6FH0F7LD9ND']","[124.668, 63.569]",2,"['figurative', 'figurative']",1
choke up,"hearing the sad news, he started to choke up and could n't speak",figurative,make a person become overemotional and speechless,tie,figurative,literal,"['3P1L2B7ADH5EPJUV1TW69IR8X80LO1', '37FMASSAYS7SGOXGCLU7BIZH95OBIA']","['A1HKYY6XI2OHO1', 'A2A6FH0F7LD9ND']","[100.216, 34.816]",2,"['figurative', 'literal']",1
choke up,"while eating too quickly, he started to choke up on a piece of food",literal,make a person become overemotional and speechless,literal,literal,literal,"['3G0WWMR1UB07YVAWSJ4PBFQXHE0QNI', '3DIP6YHAPS8XYLXNDQK6Z1BO9GE8E1']","['A110KENBXU7SUJ', 'A2LMQ4497NMK3S']","[32.879, 142.675]",4,"['literal', 'literal']",0
clean slate,the artist decided to start with a clean slate by wiping off the chalkboard,literal,to wipe the past out and begin afresh,literal,literal,literal,"['3AZHRG4CUK0C6YCNT2QVNV19ZTC03F', '3WQ3B2KGEOWHGI1I4E91JJIVSDV1BA']","['A110KENBXU7SUJ', 'AX8NXTT8QMGHC']","[19.786, 33.885]",4,"['literal', 'literal']",0
clear the air,"after the argument, we cleared the air with her by discussing our feelings",figurative,get rid of all doubts and negative feelings,tie,literal,figurative,"['3CPLWGV3M4F16WTABHT3PK087EI9N1', '3QHK8ZVMI2YU6P5MXORK3YR9QJKBLA']","['A2A6FH0F7LD9ND', 'A2LMQ4497NMK3S']","[75.512, 152.174]",3,"['literal', 'figurative']",0
cloak and dagger,the spy was involved in a cloak and dagger operation to uncover government secrets,figurative,of or characteristic of the activities of spies and undercover agents.,tie,literal,figurative,"['3RYC5T2D7J97DH19LD6HKU5XDFOPRZ', '36DSNE9QZLE8UT6VY8KTT3EGTTYJOK']","['A2A6FH0F7LD9ND', 'A2LMQ4497NMK3S']","[77.538, 158.473]",3,"['literal', 'figurative']",0
cloak and dagger,the costume designer was involved in a cloak and dagger project for the upcoming play,literal,of or characteristic of the activities of spies and undercover agents.,tie,figurative,literal,"['3TVRFO09G0V1JS8N2KJ2SVI19MNXLK', '3FTF2T8WL7YRTQ2O3IKQL3DZ0Q0W9T']","['A110KENBXU7SUJ', 'A2LMQ4497NMK3S']","[47.751, 148.525]",4,"['figurative', 'literal']",0
close call,the two phones had a close call when they were placed side by side,literal,a narrow escape from disaster,literal,literal,literal,"['3SPJ03342HJKO7AX4VTRVUCI7TVJY9', '38JBBYETQ4QWFKAL1NUTIPVJ7K0E4Y']","['A290OV59Q76QC8', 'A2A6FH0F7LD9ND']","[49.674, 47.302]",2,"['literal', 'literal']",1
coin money,their successful business venture had them coining money together in no time,figurative,make a great deal of money easily or very quickly.,tie,ambiguous,figurative,"['3VFJCI1K4FF1048AIUGUQLR5COGRGC', '3V5Q80FXID7J28F18PU96JUOWRX232']","['A110KENBXU7SUJ', 'A1HKYY6XI2OHO1']","[21.296, 122.951]",4,"['ambiguous', 'figurative']",0
coin money,"as mint workers, they were coining money together at the factory",literal,make a great deal of money easily or very quickly.,literal,literal,literal,"['3B837J3LD4C4Q9H1DUABFZA80ZVRSH', '3018Q3ZVOY60QDV7WUOKUZG2ETORAL']","['A2A6FH0F7LD9ND', 'A2TBXASXZIRNNW']","[71.476, 19.786]",3,"['literal', 'literal']",0
cold turkey,"she was going cold turkey for her sandwich, but decided to add some cheese",literal,in a unexpected and sudden way,literal,literal,literal,"['35GMH2SV3UX0JDK3K792WN1OOL2EOU', '3IUZPWIU14NBAMLF7FBFBCRFBKXWK8']","['A2A6FH0F7LD9ND', 'APRZ7BR8C0ZMQ']","[97.737, 44.829]",3,"['literal', 'literal']",0
comb through,the detective had to comb through the documents to find any evidence,figurative,to look into something carefully.,figurative,figurative,figurative,"['3QAVNHZ3E2KPNF0URARO8N7381ELA4', '3JWH6J9I98TKUP87917ZGQVYVE0BNS']","['A110KENBXU7SUJ', 'APRZ7BR8C0ZMQ']","[37.111, 86.87]",4,"['figurative', 'figurative']",0
comb through,she had to comb through the documents to remove the paper clips that got tangled in them,literal,to look into something carefully.,figurative,figurative,figurative,"['33M4IA01QWHCMQ3074GYE7R0FEXRXP', '39OWYR0EP074J5O1L526GWKQEWGYF7']","['A2A6FH0F7LD9ND', 'APRZ7BR8C0ZMQ']","[50.764, 44.89]",3,"['figurative', 'figurative']",0
come clean,"after hiding the truth for so long, he decided to come clean about his past",figurative,to make a disclosure,figurative,figurative,figurative,"['3CN4LGXD5D4ULPRC1O6NPSNZP6MY4Y', '3P1L2B7ADH5EPJUV1TW69IR8XIILO3']","['A110KENBXU7SUJ', 'A1HKYY6XI2OHO1']","[27.433, 126.192]",4,"['figurative', 'figurative']",0
come clean,"after playing in the mud, the kids decided to come clean and took a bath",literal,to make a disclosure,literal,literal,literal,"['3LYA37P8I63JMJN4COFJOYEU1JFBK7', '39N5ACM9HU319H5NRW6VT9537TIP9C']","['A290OV59Q76QC8', 'A2A6FH0F7LD9ND']","[46.569, 75.92]",3,"['literal', 'literal']",1
come full circle,"after years of exploring different career paths, she came full circle and returned to her passion for teaching",figurative,return to an earlier position or decision.,figurative,figurative,figurative,"['3SUWZRL0METAU7EZKBN8FNFX3B6E6J', '3I7DHKZYG3G6HHEHA3X95ZMXJH9F5L']","['A2A6FH0F7LD9ND', 'A2H1QUGX0SOUMH']","[52.399, 420.147]",2,"['figurative', 'figurative']",0
come full circle,the hiker came full circle after walking around the entire circumference of the lake,literal,return to an earlier position or decision.,literal,literal,literal,"['38YMOXR4MAF4B70Q5BHE1TMXAFA6WQ', '30MVJZJNH2T5N62PWJ1BWDJRYKAJ9K']","['A1HKYY6XI2OHO1', 'A2A6FH0F7LD9ND']","[99.355, 38.979]",2,"['literal', 'literal']",1
come out swinging,"after the criticism, he came out swinging with a strong rebuttal",figurative,be confrontational,figurative,figurative,figurative,"['3SNLUL3WOK392OESXF8F8OJXF4RULA', '3FDJT1UU7KOHX36VBEO6LCE2RNTK5F']","['A2A6FH0F7LD9ND', 'A38DXFI1TZA295']","[74.656, 47.882]",3,"['figurative', 'figurative']",0
cook his goose,"when he was caught cheating, his teacher cooked his goose by failing him",figurative,to spoil someone's chances of success,figurative,figurative,figurative,"['3ZQIG0FLQUWPQXFR6JPMDL2WRIJVW8', '35GMH2SV3UX0JDK3K792WN1OOLHOEJ']","['A110KENBXU7SUJ', 'A38DXFI1TZA295']","[27.681, 37.967]",4,"['figurative', 'figurative']",0
cool your jets,"when he started getting impatient, I told him to cool his jets and wait for the results",figurative,to calm down and stop being so anxious or elated.,figurative,figurative,figurative,"['3VFJCI1K4FF1048AIUGUQLR5COGRGC', '3V5Q80FXID7J28F18PU96JUOWRX232']","['A110KENBXU7SUJ', 'A1HKYY6XI2OHO1']","[21.296, 122.951]",4,"['figurative', 'figurative']",0
cost an arm and a leg,"in the horror movie, the haunted house's entry fee cost an arm and a leg as a gruesome form of payment",literal,very expensive,tie,ambiguous,literal,"['3PH3VY7DJ1D6ZHK17GEPYRFSFTPZWC', '3D4CH1LGEQ9VW4COODG8Z0RB62AG9E']","['A110KENBXU7SUJ', 'A38DXFI1TZA295']","[25.492, 41.235]",4,"['ambiguous', 'literal']",0
count chicken,the farmer was counting chickens before they hatch by estimating the number of eggs that would become chicks,literal,make plans based on events that may or may not happen,literal,literal,literal,"['3PW9OPU9P60NS51MLLGQIQFRY7312T', '3E7TUJ2EGS2SKK2XMNF0TFOETAFD9M']","['A2A6FH0F7LD9ND', 'A2LMQ4497NMK3S']","[81.149, 157.287]",3,"['literal', 'literal']",0
crack the whip,the manager cracked the whip on the team to meet the deadline,figurative,make someone work harder by asserting power or authority,figurative,figurative,figurative,"['3OVR4I9US5ZLCN0QAEPTC6KXQXQQ48', '345LHZDEDD8SMKO3R94FC2PGFI13U6']","['A290OV59Q76QC8', 'A2A6FH0F7LD9ND']","[58.378, 104.75]",3,"['figurative', 'figurative']",1
cross paths,I never thought I would cross paths with her again after high school,figurative,encounter or meet someone by chance.,tie,literal,figurative,"['3R5F3LQFVI0YU8BZGUNFHX26CH8ZOY', '34MAJL3QPK3T5MUOC3DXZYRMGVC43Z']","['A2A6FH0F7LD9ND', 'A38DXFI1TZA295']","[47.996, 27.061]",2,"['literal', 'figurative']",0
cross paths,"while walking in the park, we happened to cross paths with her at the intersection",literal,encounter or meet someone by chance.,tie,literal,ambiguous,"['3CPLWGV3M4F16WTABHT3PK0874EN9R', '34MAJL3QPK3T5MUOC3DXZYRMGVA43X']","['A1HKYY6XI2OHO1', 'AKQAI78JTXXC9']","[108.83, 111.134]",2,"['literal', 'ambiguous']",1
cross swords,"during the heated debate, she crossed swords with him over their differing opinions",figurative,to fight with another person physically or verbally.,figurative,figurative,figurative,"['3PM8NZGV8EWCAPO0UPRY9HHVJSAQX2', '39GHHAVOMV74Q0WDFO5KF58BC2DJ4P']","['A110KENBXU7SUJ', 'A2LMQ4497NMK3S']","[27.69, 146.586]",4,"['figurative', 'figurative']",0
cut and dried,the process of making fruit leather involves a cut and dried decision with the fruit,literal,ready-made,literal,literal,literal,"['3SPJ03342HJKO7AX4VTRVUCI7TVJY9', '38JBBYETQ4QWFKAL1NUTIPVJ7K0E4Y']","['A290OV59Q76QC8', 'A2A6FH0F7LD9ND']","[49.674, 47.302]",2,"['literal', 'literal']",1
cut down,the lumberjack used a chainsaw to cut down the tree in the forest,literal,to reduce the amount of something (usually bad),literal,literal,literal,"['34HJIJKLPLCDHVW7WDJ3ITJ57PKV4M', '3NLZY2D5355HAV7BG6OAYNM8CJ0LQB']","['A110KENBXU7SUJ', 'A38DXFI1TZA295']","[35.169, 26.816]",4,"['literal', 'literal']",0
cutting edge,their research is on the cutting edge of technology,figurative,to be among the latest and the best (often used for technological advancements),figurative,figurative,figurative,"['3634BBTX04AIT59WHNG3U8Q2ODXIF0', '37QW5D2ZRW2Y8425EL4BOIF3A7MS8L']","['A110KENBXU7SUJ', 'A2LMQ4497NMK3S']","[57.07, 148.37]",4,"['figurative', 'figurative']",0
dark horse,"the new candidate was a dark horse in the race, surprising everyone with his unexpected success",figurative,"a little known, unexpectedly successful entrant",figurative,figurative,figurative,"['3OVR4I9US5ZLCN0QAEPTC6KXQXQQ48', '345LHZDEDD8SMKO3R94FC2PGFI13U6']","['A290OV59Q76QC8', 'A2A6FH0F7LD9ND']","[58.378, 104.75]",3,"['figurative', 'figurative']",1
deep down,the divers explored the shipwreck deep down in the ocean,literal,felt strongly and often hidden from other people,literal,literal,literal,"['3NQL1CS157OTF2ARLK7AYINC2Q4YVV', '3IOEN3P9SNZBA6KN8NST83W3EC516A']","['A2A6FH0F7LD9ND', 'A2TBXASXZIRNNW']","[101.669, 26.319]",3,"['literal', 'literal']",0
deliver the goods,the new employee delivered the goods on time by meeting all the project deadlines,figurative,do what is required,tie,literal,figurative,"['3EQHHY4HQ88CVHACLN3RNKM9K6S5GD', '3B837J3LD4C4Q9H1DUABFZA80ZASRX']","['A110KENBXU7SUJ', 'APRZ7BR8C0ZMQ']","[19.442, 59.301]",4,"['literal', 'figurative']",0
die in harness,the poor horse died in harness while pulling the heavy load,literal,to expire while working,literal,literal,literal,"['36W0OB37HCUO2RPCCHSPXO5505XZHX', '34J10VATJVEFKUZ5V3RX67UGVFRIQF']","['A2A6FH0F7LD9ND', 'A2TBXASXZIRNNW']","[52.524, 47.956]",3,"['literal', 'literal']",0
dodge a bullet,"when the company went bankrupt, I realized I dodged a bullet there by not investing",figurative,to narrowly avoid a very serious problem or a disaster,figurative,figurative,figurative,"['3DPNQGW4L1VS25H6V5BV6136QWF46Q', '3HVVDCPGTU8E2A62GP7VX0ZR55OYTF']","['A2A6FH0F7LD9ND', 'A38DXFI1TZA295']","[104.797, 31.551]",3,"['figurative', 'figurative']",0
does exactly what it says on the tin,the new software does exactly what it says on the tin and is very user-friendly,figurative,someone or something is exactly as they seem,tie,literal,figurative,"['3PW9OPU9P60NS51MLLGQIQFRY7312T', '3E7TUJ2EGS2SKK2XMNF0TFOETAFD9M']","['A2A6FH0F7LD9ND', 'A2LMQ4497NMK3S']","[81.149, 157.287]",3,"['literal', 'figurative']",0
does exactly what it says on the tin,the paint does exactly what it says on the tin and dries in just 30 minutes,literal,someone or something is exactly as they seem,literal,literal,literal,"['3S06PH7KS7KAVFZ2IA07E96VVY71DH', '3WT783CTPRX13LBGKBYL0F1MWAMBCA']","['A1HKYY6XI2OHO1', 'AKQAI78JTXXC9']","[110.675, 81.809]",4,"['literal', 'literal']",1
double-edged sword,"having a high-profile job can be a double-edged sword in this situation, as it brings both prestige and stress",figurative,something that could either help you or hurt you,figurative,figurative,figurative,"['33SA9F9TRDA8OMT5BT0CDHEARDYEWJ', '3PW9OPU9P60NS51MLLGQIQFRYX0217']","['A290OV59Q76QC8', 'A2A6FH0F7LD9ND']","[46.421, 74.937]",2,"['figurative', 'figurative']",1
double-edged sword,the knight wielded a double-edged sword in this situation to defend himself against multiple attackers,literal,something that could either help you or hurt you,literal,literal,literal,"['3F6KKYWMNRHD9M6RNXY5BGJYYPTND8', '37QW5D2ZRW2Y8425EL4BOIF3AX58S0']","['A1HKYY6XI2OHO1', 'A2A6FH0F7LD9ND']","[124.668, 63.569]",2,"['literal', 'literal']",1
down to earth,"the astronaut, once back from space, became a down-to-earth person again",literal,"decent, simple, realistic",literal,literal,literal,"['30BXRYBRPKDK8WK71U8IYKBNJTPWHG', '31Q0U3WYD5VUE6YSRXXLEHWZ9DM71S']","['A290OV59Q76QC8', 'A2A6FH0F7LD9ND']","[57.123, 70.349]",2,"['literal', 'literal']",1
draw a blank,the artist was drawing a blank canvas to prepare for her next masterpiece,literal,to get no response from someone,literal,literal,literal,"['3LYA37P8I63JMJN4COFJOYEU1JFBK7', '39N5ACM9HU319H5NRW6VT9537TIP9C']","['A290OV59Q76QC8', 'A2A6FH0F7LD9ND']","[46.569, 75.92]",3,"['literal', 'literal']",1
drive up the wall,his constant humming is driving me up the wall,figurative,to make someone angry or irritated,figurative,figurative,figurative,"['3GS6S824S6DCIS6I4S3V348J5F2WND', '3DEL4X4ELM1LJRFMLZ8SM3KXI1CYXY']","['A2A6FH0F7LD9ND', 'AX8NXTT8QMGHC']","[122.602, 30.971]",3,"['figurative', 'figurative']",0
drop a bombshell,the clumsy actor accidentally dropped a bombshell during the meeting while filming a war scene,literal,"make an unexpected, startling or disturbing announcement",literal,literal,literal,"['37TRT2X2467OBZHMU3F7NJEHMKDJBU', '3KXIR214IKW4K4Y583ZSGOMUAHC42O']","['A2A6FH0F7LD9ND', 'A38DXFI1TZA295']","[56.205, 91.41]",2,"['literal', 'literal']",0
drop by,the clumsy customer accidentally let a jar drop by the store entrance,literal,an informal visit,literal,literal,literal,"['3SPJ03342HJKO7AX4VTRVUCI7TVJY9', '38JBBYETQ4QWFKAL1NUTIPVJ7K0E4Y']","['A290OV59Q76QC8', 'A2A6FH0F7LD9ND']","[49.674, 47.302]",2,"['literal', 'literal']",1
