idiom_0,meaning_0,instance_0,label_0,idiom_1,meaning_1,instance_1,label_1,idiom_2,meaning_2,instance_2,label_2,idiom_3,meaning_3,instance_3,label_3,idiom_4,meaning_4,instance_4,label_4
toot one's own horn,speak boastfully about oneself,"I tooted my own horn and sounded a loud, proud note",1,afraid of my own shadow,to be very nervous or easily frightened,I'm afraid of my own shadow because I'm always anxious over every little thing,0,give the devil his due,"give credit to an opponent's merits, grudgingly or not.",You have to give the devil his due,2,sea change,to have a big change in perspective,"The company underwent a sea change when its new CEO came in, altering its culture, practices and the mission",0,have no truck with,avoid dealing or being associated with,I have no truck with them because they keep lying to me,0
go through channels,to follow the correct steps in order to get something done,"They went through the channels to get the job done, meaning that they stuck to the system and followed the rules",0,close shave,a narrow escape,That was a close shave,2,feet of clay,have a flaw or weakness most people are unaware of.,He has feet of clay because he stepped on some wet clay,1,on the edge of their seat,to be very interested in something and fits with both extremely exciting and nerve-wracking,People were on the edge of their seats because there was no more room on the seats,1,up a river without a paddle,"when you are in an unfortunate situation, unprepared and with none of the resources to remedy the matter",He was up a river without a paddle when he had no idea what to do next,0
wrapped up in cotton wool,to be over-protected from dangers and risks,He was wrapped up in cotton wool,2,tip of the iceberg,to only know a very small part of the problem,This is just the tip of the iceberg of the things I want to talk about,0,jungle out there,the situation is dangerous and is characterized by ruthless behavior and competition,It's a jungle out there and it's full of dangerous wild animals,1,cat got your tongue,used to refer a time when someone has nothing to say,Has the cat got your tongue?,2,shed light,to explain something in order to make it easier to understand,"She is shedding light on the issue, providing unique insights to help us tackle the challenge",0
burst the bubble,the sudden end of a very happy or successful period,She burst the bubble,2,dark horse,"a little known, unexpectedly successful entrant",He's a dark horse,2,riding shotgun,to provide active aid to someone,Mark was riding shotgun,2,nail biter,"a situation like a close contest, which induces anxiety or tension.",It was a nail biter,2,put the cart before the horse,to do things in the wrong order or sequence,We have put the cart before the horse for the parade today,1
zero tolerance,"denial to allow rebellious activities, usually by rigid and strict application of the rules;",She had a zero tolerance policy towards any kind of misbehavior in her classroom,0,ring fencing,to create a separate legal entity through the way of off-shore accounting in order to protect some assets in a corporation,They implemented ring fencing to protect their assets from outside interference,0,cool heels,to wait or take rest,They had to cool their heels in the shade to reduce the action of the sweat glands,1,where the rubber meets the road,when you have to face your challenges,This is where the rubber meets the road,2,in full swing,at a stage when the level of activity is at its highest,The party is in full swing,2
ring fencing,to create a separate legal entity through the way of off-shore accounting in order to protect some assets in a corporation,They implemented ring fencing around the perimeter of the property,1,the rose that grew from concrete,a person who achieved greatness even though they came from a place not so great.,She is the rose that grew from concrete despite all the challenges she faced,0,to the core,totally,He was impacted to the core after hearing the sad news,0,backroom boy(s),people who work in anonymity,He is one of the backroom boys,2,a sight for sore eyes,a way of saying that you are happy to see someone,She was a sight for sore eyes because of her beautiful appearance,1
"judge, jury and executioner","people that are in charge of every decision made, and they have the power to be rid of whomever they choose","He was the judge, jury and executioner at the court hearing",1,big brother,A large organization or government agency that tries to control all aspects of human life and society.,"The big brother was watching, making sure everyone was staying safe",0,burn fingers,to bear an unpleasant result of an action that has been taken in the past,He burnt his fingers when he invested everything in that risky business,0,looked through colored glasses,to look the things not as they are; having a heavily biased worldview,I looked through colored glasses,2,scrape the bottom of the barrel,"It is a phrase used to describe something you know is not in good condition, but you have to select it since you don't have an option of choosing the better one.",He had to scrape the bottom of the barrel to get the last drops of oil,1
body and soul,with all one's effort and ability,"She gave it her body and soul, meaning that she didn't just complete it with her mind but with her physical presence as well",1,make a beeline for,to go straight for something.,He made a beeline for the park,2,ugly duckling,a young person who turns out to be beautiful or talented against all expectations.,"She was an ugly duckling when she was young, but grew up to be quite a beautiful swan",0,you can't teach an old dog new tricks,you cannot make others change their habits,He can't teach an old dog new tricks because he's not a professional dog trainer,1,turn against,to change from supporting something to opposing it,He turned against her when he suddenly changed his direction and faced her,1
got in his hair,to annoy someone so much that they cannot get on with what they are doing,My project got in his hair as I was trying to arrange it,1,yesterday's man,someone especially a politician whose career is finished,He's yesterday's man,2,asleep at the wheel,"when someone is not sufficiently attentive, especially at a critical moment when vigilance is required","He was asleep at the wheel, not paying close attention to the job at hand",0,clear the air,get rid of all doubts and negative feelings,We need to clear the air by calmly tackling the issue and putting our differences aside,0,break one's back,get through the hardest part of something.,I broke my back trying to finish this project in time,0
get the wrong end of the stick,to understand something in the wrong way,I think I got the wrong end of the stick when I tried to pick it up,1,wet behind the ears,immature or poor skill,He was wet behind the ears when he started his new job,0,better half,spouse,He is my better half because I am only half as good without him,1,keep card close to chest,"be secretive or cautious, give nothing away",They are keeping their cards close to their chest when playing poker,1,throw it over the wall,"to deal with part of a problem or project, then pass the responsibility to another person or department without any communication or coordination",We threw it over the wall,2
never looked back,"after an event which changed your life for the better, you continue to be happy with the situation",I never looked back,2,betwixt and between,to be undecided about something,She was betwixt and between two cities when deciding where to go,1,asked for the moon,ask for something that is very difficult or impossible to get,I asked for the moon,2,find feet,become familiar with a new situation,John is finding his feet,2,burst at the seams,to be filled up to the brim,The room was bursting at the seams due to all the wear and tear it had sustained,1
break down,to stop working,He had a breakdown,2,make ones bed and lie on it,to be responsible for what you have done and accept the results,He made his bed and lay on it,2,bite the hand that feed,to turn against someone who has been a benefactor in the past,He bit the hand that feed him,2,at an arm's length,as far away from your body as possible,We kept her at an arm's length,2,blue blood,a member of an upper-class family,His blue blood makes his veins visible on his porcelain white skin,1
whistle in the dark,to try to hide your fear in a scary or dangerous situation,We are whistling in the dark,2,cook his goose,to spoil someone's chances of success,He's cooked his goose,2,make a clean breast,to tell the truth about something.,He made a clean breast,2,lower the bar,to lower standards or expectations,The company lowered the bar so they could use it to do pull-ups,1,frighten or scare to death,make somebody feel very frightened.,She was frightened to death when her doctor told her the results of her tests,1
a wakeup call,something that makes you realize that you need to take action to change a situation,It's a wakeup call because the alarm just went off,1,sealed with a kiss,written and sent with love and care,The letter was sealed with a kiss,2,show true colors,to reveal what one is really like,He showed his true colors by being dishonest about the details,0,a bed of roses,easy option,It's not a bed of roses because we used cotton sheets instead,1,top dog,"The term ""top dog"" means a person, group, or thing in a position of power, particularly after struggling or winning a grueling competition.",He's the top dog,2
head and shoulders above,significantly better than everybody else in the field,She's head and shoulders above the rest in terms of her skill set and experience,0,lick your lips,to show that you're excited about something and are eager for it to happen,He licked his lips in anticipation of the delicious meal that was about to come,0,tie the knot,to get married,They tied the knot at the wedding ceremony,0,easy money,"Rewards, progress or other good results with little or no effort.",She made easy money by investing her money in stocks,0,dance to tune,to do what someone else forces you to do,She danced to the tune of the energetic music,0
rat race,"to be following a routine that is both, exhaustive as well as competitive","He's in the rat race, literally running on a track",1,turn against,to change from supporting something to opposing it,He turned against her,2,dancing on their grave,outlive or outlast someone and celebrate their demise,They were dancing on their grave to celebrate the downfall of their competitor,0,hit the books,to study very hard,He hit the books with his fist because he was frustrated,1,spin a yarn,to tell a tale,"Yesterday, he spun a yarn to make his grandkids believe the story he was telling them",0
over the moon,extremely pleased or happy,He was over the moon because he observed it in a telescope,1,pound of flesh,an unreasonable demand but something that is one's legal right.,He demanded his pound of flesh in revenge for what had happened,0,the eleventh hour,at the very last minute before an event,They finished it at the eleventh hour,2,blank check,Complete authority or unrestricted freedom of action or a free hand.,He gave me a blank check with no funds in it,1,smell something fishy,to have a suspicion that something is wrong,I smell something fishy when I heard about his new career move,0
a voice crying in the wilderness,to say something that is not popular,She's a voice crying in the wilderness,2,whistle in the dark,to try to hide your fear in a scary or dangerous situation,We are whistling in the dark to help us find our way since we cannot see,1,fingers crossed,a gesture of crossed fingers used to express good luck,I'm keeping my fingers crossed,2,devil's advocate,one who presents a counter argument,He played devil's advocate,2,white paper,official report or guide,My proposal was a white paper,2
prick up ears,to start paying attention,She pricked up her ears when she heard the news of her promotion,0,tight spot,to be in a very difficult situation,"He was in a tight spot with all his obligations from work, school and family",0,between a rock and a hard place,having two very bad choices,He's between a rock and a hard place because he is stuck in a narrow gap,1,mind your own beeswax,do not interfere into someone else's matter,He told me to mind my own beeswax and not touch the honeycomb,1,long in the tooth,To get too old for something.,He is getting long in the tooth lately due to the gum recession,1
choke up,make a person become overemotional and speechless,He choked up during his speech when he talked about his parents,0,leave at the altar,decide not to marry someone at the very last moment,Alan left her at the altar by escaping through the back door,1,caught between two stools,"come between two alternatives, and so fail to fulfill either of them",She was caught between two stools as she wasn't tall enough to reach the counter,1,tasted blood,"to experience something thrilling and exciting, and want to experience it again.",She tasted blood,2,bare bones,most basic and important elements or facts,"We can only afford the bare bones of the project we need, literally leaving it incomplete",1
at an arm's length,as far away from your body as possible,We kept her at an arm's length so she couldn't touch us,1,pull the wool over eyes,to deceive someone,He pulled the wool over my eyes,2,you can't have your cake and eat it,you can't have things both ways,I can't have my cake and eat it so I need to choose one or the other,0,in black and white,printed form of a document,I wanted it in black and white so that we could see the words clearly,1,dancing on their grave,outlive or outlast someone and celebrate their demise,They were dancing on their grave,2
hot potato,any subject which several folks are talking about and which is frequently argued,They were passing around the hot potato once they realized the project was too difficult,0,off the hook,free of a difficult situation,He is off the hook from any further involvement in the project,0,in bed with,"to work with a person or organisation, or being involved with them, in a way that causes other people to distrust you.",He was in bed with them,2,in a pickle,to be in a difficult situation,I'm in a pickle trying to make the best choice,0,as long as,to put condition of time on an action,He runs as long as two miles each day,1
in the heat of the moment,saying or doing something without thinking due go anger or excitement,He did it in the heat of the moment,2,blow your own trumpet,to say things that makes your own self or kin look good,He was blowing his own trumpet,2,die in harness,to expire while working,He died in harness,2,bad blood,to have ill feelings towards someone,There is bad blood between them because of the unresolved argument,0,end of the day,to look at all the possibilities and then to make a final decision,"At the end of the day, I realized that I had made the wrong decision",0
go through the roof,to become very angry,My enthusiasm went through the roof when I saw the new updates on the game,0,hold your horses,to wait,Let's hold our horses so that they don't run away,1,bull's eye,the center of a target,I hit the bull's eye by acing the presentation,0,everything but the kitchen sink,almost everything that one can think of,He brought everything but the kitchen sink,2,burn the candle at both ends,to exhaust someone's energies or resources by leading a hectic life.,She's been burning the candle at both ends,2
hide light under a bushel,to show modesty towards something or someone,Don't hide your light under a bushel,2,zero hour,a time when a crucial decision or essential action must be taken,It's zero hour and the clock is ticking,1,make a song and dance,if someone complains in an annoying way or becomes unnecessarily excited about something unimportant,He's made a song and dance,2,cat got your tongue,used to refer a time when someone has nothing to say,Has the cat got your tongue? You've been silent for so many minutes,1,in hot water,in trouble or state of shame,He's in hot water because he was taking a hot shower,1
cut both ways,"have two different effects at the same time, usually one good and one bad.",His decision cut both ways,2,black book,a book containing a list of secret contacts,He wrote it in his black book,2,when hell freezes over,"impolite way of saying ""it will never happen""","I will do it when hell freezes over, meaning it will never happen",0,in bed with,"to work with a person or organisation, or being involved with them, in a way that causes other people to distrust you.",He was in bed with them when it came to making decisions,0,rip off,the act of stealing,He ripped off the bank by tearing apart their documents,1
third wheel or fifth wheel,a person who is in a situation where they are not needed,He was the third wheel of the bike when the two of them decided to ride together,1,in the black,to not be in debt,We are in the black,2,quantum leap,to make a significant improvement or dramatic advancement,They took a quantum leap from the ledge of the building,1,bang head against wall,to be frustrated in your efforts to change something or make something happen,He's been banging his head against the wall,2,burst at the seams,to be filled up to the brim,The room was bursting at the seams,2
jam on your face,"people who appear to be caught, embarrassed or found guilty",John had jam on his face,2,keep body and soul together,manage to stay alive with very little money,He struggled to keep body and soul together during these trying times,0,learn to walk before you run,to take smaller steps initially,He learned to walk before he ran,2,raise eyebrows,to show surprise or disapproval by the expression on their face,Her behavior raised eyebrows amongst the people in the community,0,bite the bullet,to endure a painful experience that you cannot avoid,We had to bite the bullet because the doctor had run out of anesthesia,1
break up,end a romantic relationship with someone,They broke up,2,fingers and thumbs,to be clumsy and not very skilled with your hands,He was fumbling with his fingers and thumbs trying to make a decision,0,tearing a strip off,to reprimand someone severely for doing something wrong,My mother was tearing a strip off me,2,still waters run deep,to have passion or furore underneath a calm expression,His still waters run deep - there's more to him than what meets the eye,0,see the light,realise or understand something,He finally saw the light when the dawn broke,1
air their dirty laundry,to make public something embarrassing that should be kept secret,We air our dirty laundry,2,too many cooks spoil the broth,to mean that something does not go well when there are too many ways to do it,"There were too many cooks trying to come up with a solution, so the problem was never solved",0,keep body and soul together,manage to stay alive with very little money,He struggled to keep body and soul together by eating enough food and getting enough sleep,1,none of your business,used to tell someone not to get involved in whatever you have going on,"That's none of your business"" ",2,the other side of the coin,"the opposite aspect, contrasting arguments.",Let's consider the other side of the coin,2
playing second fiddle,to play a secondary or minor role with regards to someone else,"He's been playing second fiddle to his older brother for years now""",0,buckle down,make sure something stays in place,I need to buckle down and get this project done in time,0,twist arm,to make someone do what you want by making it difficult for them to refuse,I had to twist his arm to go on the date with me,0,got the slap on the wrist,got small punishment when a more severe punishment is deserved,They got the slap on the wrist from the principal,1,throw in the towel,to quit,He threw in the towel,2
bull's eye,the center of a target,I hit the bull's eye,2,being bouncing off the walls,excited and full of nervous energy,He's been bouncing off the walls due to his hyperactivity,0,a whole new ball game,a significant change in circumstances.,This is a whole new ball game now that we've received the grant,0,strike while the iron is hot,to take advantage of a situation,He struck while the iron is hot,2,go out with,have a romantic relationship with someone,He went out with her,2
show the door,make it clear that somebody must leave,He showed the door,2,lead astray,make someone act or think in a wrong or foolish manner.,She was led astray because she had no sense of direction,1,treasure trove,a priceless or valuable discovery,The shed was a treasure trove of jewelry and coins,1,child's play,an informal expression meaning something that is easy to do,This is child's play compared to what I usually do,0,stir up a hornet's nest,to create trouble,He stirred up a hornet's nest,2
behind closed doors,in clandestine,They talked behind closed doors,2,heart and soul,with all the effort you can put into it,She committed with her heart and soul,2,sail through,to succeed in doing it without difficulty,She sailed through the lake due to favorable winds,1,out on the town,go out and enjoy yourself at one or more places in the town,She was out on the town,2,getting my fingers burnt,"to suffer unpleasant results of an action, especially loss of money, so you do not want to do the same thing again",I'm getting my fingers burnt,2
nail biter,"a situation like a close contest, which induces anxiety or tension.",It was a nail biter until the very last second of the game,0,there's no such thing as a free lunch,to be aware of something that seems free of cost but may have a charge levied in another form,You can't get a free lunch,2,walk on eggshell,to be careful about one's words or actions around another person,She's walking on eggshells since they are laid on the floor,1,velvet glove,"a person who appears gentle, but is determined and inflexible underneath",He handled them with a velvet glove,2,stack the deck,to be against someone or something,He stacked the deck of cards so he can play a game,1
black sheep,a disgrace,He was the black sheep,2,die hard,"disappear or change very slowly, take a long time to cease to exist or be dropped from consideration. Noun: a person who displays such resistance or loyalty. Example 1: Die hard boarders are snatching up second homes here, but so far it has managed to stay affordable. Example 2: Die-hard football enthusiasts were planning the rebirth of a town team. Example 3: On the morning of my visit, a few die-hards were setting up a small fund-raising event at the gro",He's a die hard fan who watches all of the team's games,0,king of the hill,be the undisputed champion,He's been the king of the hill,2,a hard nut to crack,a problem that is difficult to solve,He's a hard nut to crack and no one has been able to bring him out of his shell,0,easy money,"Rewards, progress or other good results with little or no effort.",She made easy money by winning the lottery,1
uncharted waters,"when you are in a situation that is unfamiliar to you, that you have no experience of and don't know what might happen",We are in uncharted waters as there are no maps of this area yet,1,wrap in cotton wool,to be overprotective towards somebody,My parents have wrapped me in cotton wool to block the cold and keep me warm,1,piece of work,"a complex, tricky, or odd person",She's a piece of work,2,a house of cards,something that can easily be broken or crumble by itself,This business is a house of cards,2,joined the club,"said in answer to something that someone has said, meaning that you are in the same bad situation as they are",He joined the club when he was hired by the prestigious company,0
apple polisher,a flatterer; toady,He's an apple polisher who always attempts to impress his teacher with flattering comments when he should be focusing on his work,0,clear the decks,get ready for action.,We need to clear the decks of the boat to make it ready for the voyage,1,have no truck with,avoid dealing or being associated with,I have no truck with them,2,last resort,the last thing you would do if you were desperate and all other courses of action had failed,I had to turn to a last resort as searching for a new job became too overwhelming,0,can of worms,"to get into something that is messy, has problems and is unwanted",It opened up a can of worms when they started investigating the case,0
leg up,give or receive assistance to achieve a goal,He gave me a leg up and helped me land my dream job,0,burn bridges,"remove someone's all options of retreat, act decisively",He burned bridges,2,wouldn't be caught dead,dislike something very much,I wouldn't be caught dead there as I'm afraid of being arrested,1,i'll eat my hat,This is an expression of not believing something very strongly.,"If that happens, I'll eat my hat",2,dead and buried,no longer in use.,It's dead and buried - the idea was completely dismissed,0
keep your pants on,to tell someone to be calm.,I told him to keep his pants on and not to rush into a decision,0,come down with,to have (usually a disease),She came down with something,2,an arm and a leg,a large amount of money,"The cost of the restaurant was an arm and a leg"" ",2,have eyes only for,be attracted to someone exclusively,He had eyes only for her and didn't look around the room despite all the amazing things to see,1,make a mountain out of a molehill,magnifying the content,He is making a mountain out of a molehill by moving dirt around,1
wet the baby's head,to have drink to celebrate the birth of a baby,We wet the baby's head to celebrate his birth,0,a quick buck,to make money quickly.,He wanted to make a quick buck so he could pay off his debts,0,cut and dried,ready-made,The situation is cut and dried,2,on the hook,someone who is responsible for something,I'm on the hook because my boss didn't give me an answer about the promotion,0,wheels fall off,when a situation gets out of control and everything starts to go wrong,The wheels fell off,2
field day,have a great time doing something enjoyable,She had a field day since it was a sports day in school,1,step on his toes,to annoy or irritate someone by intervening in a situation that is their responsibility,I stepped on his toes when he didn't move away fast enough,1,will never fly,there's no chance that something will work; to be unsuccessful,His plan will never fly as it's against the laws of physics,1,in the blink of an eye,in an instant,It was gone in the blink of an eye,2,flesh and blood,"This phrase refers to direct family members, people that share a DNA, that is, flesh and blood.","They are my flesh and blood, so I should take care of them",1
a needle in a haystack,something very small amidst something very big,It's like a needle in a haystack since I'm looking for a physical needle among the hay bales,1,on the brink of,to be on the verge of doing something,The town was on the brink of disaster as the roaring floodwaters threatened to wash away their homes,0,born with a silver spoon in mouth,to be born to parents who are rich and have a good social rank,"They were born with a silver spoon in mouth, having been born into a wealthy family",0,cloud nine,very happy,"I'm on cloud nine, hovering up in the sky",1,loose cannon,somebody whose activities are uncommon and out of control,"He is a total loose cannon, literally in danger of running away from his group",1
make or break,circumstances or events that will make or break someone or something will cause either total success or total ruin,"This will make or break us, so be careful not to apply too much force",1,over and above,in addition to,"He did over and above what was asked, achieving results not asked for",1,smooth sailing,easy progress without impediment or difficulty,It's been smooth sailing,2,zip it,to ask someone to shut up,Zip it up,2,snow under,to bury or cover something or somebody in the snow (Literal meaning),She was snowed under with work and came close to a breakdown,0
comb through,to look into something carefully.,He combed through the books,2,want his head on a platter,when someone makes you so angry that you want them to be punished,I want his head on a platter for the Halloween party next week,1,in the pink,in good health and spirits.,"He was in the pink in his new blazer, as it was his favorite color",1,throw the baby out with the bathwater,to remove something good in the bid of getting rid of something bad,They threw the baby out with the bathwater.,2,foot in mouth,to say something by accident that embarrasses or upsets someone,He put his foot in his mouth as he was trying to see what it tasted like,1
ray of sunshine,someone or something that brings hope into the lives of others,She was a ray of sunshine because she was wearing a yellow dress,1,in the bag,have something as good as secured or certain,"This deal is in the bag, so the company is guaranteed to succeed",0,strike while the iron is hot,to take advantage of a situation,He struck while the iron is hot so he can make a permanent mark,1,in deep water,a very serious situation,He's in deep water because he ran out of solutions for his problem,0,"when it rains, it pours",to have a good or bad news enlarged by circumstances,"I can't believe how much rain we got during this storm, when it rains, it pours",1
not the sharpest tool in the shed,"someone who is not very clever, according to others",He's not the sharpest tool in the shed and struggles to understand basic concepts,0,gloves are off,people are beginning to behave in a more hostile or tenacious way; usually used to describe a dispute or fight,The gloves are off with the two rivals removing their boxing gloves,1,drop like flies,many people falling ill or dying around the same time,They dropped like flies,2,ride (on) a wave,to enjoy the advantages of something,He is riding a wave of the ocean to get to his destination,1,big cheese,to be an important and successful individual,"He's the big cheese in the cheese factory, so he's the one in charge of the operations",1
burn fingers,to bear an unpleasant result of an action that has been taken in the past,He burnt his fingers when he accidentally touched the heated stove,1,draw a blank,to get no response from someone,I drew a blank,2,chill wind,to encounter the problems or trouble,The chill wind blew as the cold weather arrived,1,bite the hand that feed,to turn against someone who has been a benefactor in the past,He bit the hand that feed him when the food he was given had a sharp edge,1,ball of fire,"a dynamic person capable of or displaying rapid and highly effective thought, action, etc.","The teacher is a ball of fire, always demonstrating enthusiasm and vigor in his teaching",0
all ears,saying that you are all ears means the other person has got your full attention in terms of listening to him,"I'm all ears, ready to listen to you attentively",0,miles away,unaware of the current situation,I feel miles away from reality after that dream,0,sweep under the rug,try to hide a problem or keep a problem secret instead of dealing with it,They swept it under the rug,2,go by the book,"do things strictly according to the written rules, etc.",He went by the book when he was asked to propose a solution for the problem,0,24/7 (twenty-four-seven),constantly,We're open 24/7 so that you can shop at our store whenever you like,1
bundle up,to dress warmly to protect oneself from the elements,We have to bundle up,2,yellow streak,people who  have an inclination towards being fainthearted.,You have a yellow streak when it comes to standing up for what you believe in,0,beg to differ,to politely refuse something,I beg to differ,2,high up,to have an important standing in society,"He is high up on the ladder, reaching the top",1,do the trick,successfully achieve a result,It did the trick because it provided the solution to my problem,0
back to the drawing board,back to the planning stage,We went back to the drawing board after finding out the new regulations,0,better half,spouse,He is my better half because he completes me,0,kill two birds with one stone,accomplish two different things at the same time,She killed two birds with one stone,2,back to the wall,to be in a difficult situation,They were backed up against the wall with no other options left,0,child's play,an informal expression meaning something that is easy to do,This is child's play,2
pass the buck,passing blame to another person,We've been passing the buck around and nobody wants to take responsibility,0,ate her alive,to criticize someone severely because you are angry with them,They ate her alive with their pointed comments and verbal attacks,0,olive branch,to show that someone wants to end a disagreement and make peace,She extended an olive branch,2,blow away,impress someone very much,The audience was blown away by the strong wind,1,in light of,because of,I changed my plans in light of the events,2
page-turner,a thrilling book,It was a page-turner as I hadn't stopped turning the pages,1,keep your pants on,to tell someone to be calm.,"I told him to keep his pants on""  ",2,wag the dog,to divert attention from something that is bad,He was wagging the dog when playing with his pet,1,step on his toes,to annoy or irritate someone by intervening in a situation that is their responsibility,I stepped on his toes when I questionned his authority,0,new brush sweeps clean,someone with a new perspective can make great changes,He started with a new brush,2
baby blues,The depression that is caused to new mothers after childbirth.,"She had the baby blues after giving birth, so she was feeling overwhelmed and a bit moody",0,bird's eye view,an overview.,He had a bird's eye view from the highest building in town,1,quantum leap,to make a significant improvement or dramatic advancement,They took a quantum leap in the advancement of technology,0,good egg,a kind person,He is a good egg because he can crack it perfectly with one hand,1,straight from the horse's mouth,from a dependable or reliable source,He heard it straight from the horse's mouth because he was standing right next to it,1
basket case,a person or a thing that is not able to function properly,He is a basket case after all the stress of the day,0,dead and buried,no longer in use.,It's dead and buried - we gave the deceased the proper burial ceremony,1,get your goat,irritate somebody,He got my goat,2,when the chips are down,when a situation is urgent or desperate.,He's there when the chips are down and no one else is willing to help,0,Young Turk,a young person who has many new ideas and wants a reform,He's a Young Turk,2
live at rack and manger,in between plenty and abundance,I've been living at rack and manger,2,clamp down,suppress or prevent something in an oppressive or harsh manner,They clamped down on free speech by introducing new regulations on protests,0,the brains behind,"used to refer to the person who originally invented a particular scheme, plan or idea","He is the brains behind the project, leading our team to success",0,elephant in the room,"a difficult, controversial, or obvious problem that no one wants to talk about or mention because the subject is problematic, uncomfortable, or awkward",There's an elephant in the room,2,straighten up and fly right,to get serious and stop acting absurd anymore.,"He decided to straighten up and fly right, determined to make smarter choices from now on",0
sit tight,wait patiently,We had to sit tight,2,bend over backwards,do all in one's power (usually to achieve something or accommodate somebody),He bent over backwards,2,suited and booted,formally dressed; well dressed,He arrived suited and booted when he got to the interview,0,armed to the teeth,"heavily and formidably armed, usually with deadly weapons",She was armed to the teeth with two guns and a knife tucked away in her bag,1,end of story,there is  nothing more to add to the matter under discussion,That's the end of the story; there's nothing else to discuss,0
"love me, love my dog",to accept someone unconditionally,"She loves me, love my dog",2,goose egg,zero,We ended up with a goose egg,2,turn down a glass,to decline something that someone has offered.,She turned down a glass,2,in cold blood,in a cruel way and without pity or other emotion,He killed him in cold blood,2,get over it,accept something and move on,"She needs to get over it, which is a big hurdle in front of her",1
as far as,to the extent of something,We've gone as far as we can with this project; any more effort would be fruitless,0,call bluff,"to challenge to prove one's claim, when they are likely attempting to deceive",You can call his bluff and see if he really has the resources to carry out his plan,0,hit the sack,to go to bed,He hit the sack just to push it aside,1,go round in circles,work at something but keep failing to make progress with it.,I keep going round in circles on this track,1,miss the boat,miss a chance,We missed the boat,2
piss and vinegar,to self-reference someone who is in a bad mood and ready to fight.,"He was full of piss and vinegar, literally carrying bottles of each liquid",1,by hook or by crook,by any possible means,"He will get it by hook or by crook, depending on which tool works better",1,take a back seat,take a less important position.,I decided to take a back seat,2,everything but the kitchen sink,almost everything that one can think of,"He brought everything but the kitchen sink to his date, hoping to impress her",0,dog's life,a miserable and unpleasant life,He led a dog's life as he was constantly struggling and facing difficulties,0
bent your ears,to talk to someone for a very long time about something boring,He bent my ears back to make me listen,1,suited and booted,formally dressed; well dressed,He arrived suited and booted with his shoes and belt totally polished,1,slap on the wrist,to show disapproval.,He got slapped on the wrist when the teacher saw his misbehavior,1,burst the bubble,the sudden end of a very happy or successful period,She burst the bubble when she threw a stone at it,1,clean slate,to wipe the past out and begin afresh,She started with a clean slate,2
cross the bridge,to delay worrying about something that might not happen anyway,We have to cross the bridge when we get to the difficult part of the journey,0,caught in the crossfire,be badly affected by a situation where two people or group are arguing with each other.,He got caught in the crossfire,2,prick up ears,to start paying attention,She pricked up her ears when she heard a sound in the distance,1,alive and kicking,lively and active,The event is alive and kicking with new ideas and enthusiasm,0,call on,"use courage, reserve, nerve or strength to achieve something",She called on him to help her in her time of need,0
bee in bonnet,be possessed with one thought or scheme,She has a bee in her bonnet about cleaning her room before the weekend arrives,0,night owl,Someone who is vigilant late at night.,He's a night owl due to his preference for staying up late and staying up all night,0,tore your hair out,to be extremely agitated or distressed about something,She was tearing her hair out literally as she grabbed a handful of strands,1,get down to brass tacks,talk about the important things,Let's get down to brass tacks and secure the tent to the ground,1,in the dark,"uninformed, a state of ignorance.",They were in the dark about the potential consequences of their decision,0
you reap what you sow,"if you do bad things to people, bad things will happen to you, or good things if you do good things","You reap what you sow, so work hard and the rewards will come soon",0,chip off the old block,the term is used to describe people who look like their parents.,He is a chip off the old block because he looks just like his father,1,fiddle while Rome burns,to perform an inconsequential task or act irresponsibly in the midst of a disastrous event.,He is fiddling while Rome burns and doesn't seem to be taking the issue seriously,0,rabbit hole,mentally go somewhere surreal or strange,"He went down the rabbit hole, getting lost in the deep world of conspiracy theories",0,keep your pants on,to tell someone to be calm.,I told him to keep his pants on because he had forgotten to put it on while leaving the house,1
miles away,unaware of the current situation,I feel miles away from home after I moved here,1,up to the mark,to be good enough,This project was up to the mark since it exceeded all expectations,0,stops dead in their tracks,to stop suddenly because you are totally surprised or frightened,He stopped dead in his tracks when he recognized his old enemy,0,get hitched,to get married,They got hitched when they tied their horses together,1,blind leading the blind,someone who does not understand something but tries to explain it to others,We were the blind leading the blind,2
had your chips,when someone has completely failed in what they set out to achieve,She had her chips so she stopped playing the game,1,off the hook,free of a difficult situation,He is off the hook,2,you bet,for sure,He said you bet,2,stab in the back,a disloyalty,He gave me a stab in the back,2,full of beans,to be optimistic or enthusiastic,He's full of beans,2
stir up a hornet's nest,to create trouble,He stirred up a hornet's nest when he was tending to his garden,1,been tailor made,specially made for a particular purpose,"He's been tailor made for his new suit, which fits him perfectly",1,wheels fall off,when a situation gets out of control and everything starts to go wrong,The wheels fell off the project when our team members stopped cooperating,0,leave no stone unturned,do everything that is possible in order to achieve something,He left no stone unturned while digging in the garden,1,up a creek without a paddle,being in trouble.,I'm up a creek without a paddle since I forgot to bring one for this incident,1
