idiom_0,meaning_0,instance_0,label_0,idiom_1,meaning_1,instance_1,label_1,idiom_2,meaning_2,instance_2,label_2,idiom_3,meaning_3,instance_3,label_3,idiom_4,meaning_4,instance_4,label_4
pay the piper,to bear the ill-effects of something that was enjoyable at one time,He had to pay the piper for the consequences of his mistakes,0,"easy come, easy go",readily won and readily lost,"It was easy come, easy go for his money since he just gambles away all his paycheck",1,big deal,important thing,It's a big deal,2,the benefit of the doubt,regards a person as innocent unless confirmed otherwise,I'm giving her the benefit of the doubt because I still think she's capable of honest actions,0,a bed of roses,easy option,It's not a bed of roses trying to rebuild our relationship,0
caught between two stools,"come between two alternatives, and so fail to fulfill either of them",She was caught between two stools,2,a good man is hard to find,This proverb refers to women who are looking for suitable alliances but aren't able to find them.,It's a good man that's hard to find since he's been missing for many days,1,vultures are circling,when something is in danger and its enemies are getting ready for the kill,"The vultures are circling the struggling business, looking for an opportunity to swoop in and take it over",0,break new ground,to do something innovative,He broke new ground by digging into the earth,1,dig one's own grave,"to do something that has negative consequences for you, even though these consequences can be easily seen.",He was digging his own grave in preparation for his death,1
on the same page,everyone in agreement,"We were on the same page, literally, of the book",1,pass away,die,Grandfather passed away,2,bright spark,an intelligent and lively person (humorously),He's a bright spark,2,more heat than light,to cause anger or intense reaction but doesn't clarify anything,"The argument had more heat than light, evidenced by the aggressive nature of their words",0,wipe the slate clean,"to make a fresh start and forget all past offences, disagreements or mistakes",We are wiping the slate clean with a damp cloth,1
ate her alive,to criticize someone severely because you are angry with them,They ate her alive as she was covered in honey,1,come full circle,return to an earlier position or decision.,The situation has come full circle when it eventually returned to its original point,0,in the cross hairs,in a position where one might receive severe criticism,The company is in the cross hairs because the snipers have them in their sights,1,all the way up,"Literally refers to ascending a mountain or cliff, or navigating a river to a specific terminal point.",She goes all the way up the corporate ladder,0,mend fences,to try and improve a bad relationship with another party,They've been mending fences,2
call names,to insult someone,She called names to disparage his character,0,weather the storm,handle a difficult period of time successfully,Weathered the storm,2,in a fog,in a great confusion,I'm in a fog because the weather outside is foggy,1,bull in a china shop,"extremely awkward, clumsy person","He acted like a bull in a china shop, charging through the store shelves and knocking them over",1,not hurt a fly or flea,"To not be able to cause harm to anyone, including even a tiny and insignificant insect.",I wouldn't hurt a fly or flea,2
on the cards,"Something very likely to happen, occur or take place.",It's on the cards that the winners of this competition will be announced in the near future,0,rock the boat,to make trouble.,He decided to rock the boat by asking the unpopular questions in the meeting,0,ahead of the curve,better than others,"She's ahead of the curve, always thinking about what's new and cutting-edge",0,you can't teach an old dog new tricks,you cannot make others change their habits,He can't teach an old dog new tricks,2,rain or shine,Doing something regularly regardless of the circumstances.,We will go rain or shine regardless of the weather conditions,1
eat him alive,to criticize someone severely because you are angry with them,The audience ate him alive with their jaws and teeth,1,you can't have your cake and eat it,you can't have things both ways,I can't have my cake and eat it,2,as long as,to put condition of time on an action,"He runs as long as he can, taking into account his physical abilities and limitations",0,getting my fingers burnt,"to suffer unpleasant results of an action, especially loss of money, so you do not want to do the same thing again",I'm getting my fingers burnt because I touched the hot pan,1,every nook and cranny,to look for something everywhere,They searched every nook and cranny of the house,1
chill to the bone,to get frightened or scare somebody,The wind was chill to the bone,2,button your lip,to stop speaking,He buttoned his lip,2,armed to the teeth,"heavily and formidably armed, usually with deadly weapons",She was armed to the teeth,2,banker's hours,short working hours,He works banker's hours so he can make his own schedule,0,under fire,being shot at,He was under fire when his company was accused of fraud,0
first light,the time when the light begins to appear in the morning,She saw him at first light and couldn't believe how he had changed,0,use your loaf,To tell someone to use their brain more in analysing what they are doing.,He used his loaf to bake a loaf of bread,1,weather the storm,handle a difficult period of time successfully,We weathered the storm by relying on our friend network for support,0,flesh and blood,"This phrase refers to direct family members, people that share a DNA, that is, flesh and blood.","They are my flesh and blood, no matter how far apart we may be",0,smell something fishy,to have a suspicion that something is wrong,I smell something fishy,2
have a ball,to have a great time,They had a ball last night when they went out for dinner and a movie,0,Young Turk,a young person who has many new ideas and wants a reform,He's a Young Turk full of enthusiasm to change the world,0,you reap what you sow,"if you do bad things to people, bad things will happen to you, or good things if you do good things",You reap what you sow,2,bring someone to book,make somebody accountable for their conduct.,The police brought him to book,2,carry out,"put something into action, to accomplish something, to do something.",We had to carry out the task quickly and efficiently,0
tip of the iceberg,to only know a very small part of the problem,This is just the tip of the iceberg,2,troubled waters,a difficult phase of life,We are navigating troubled waters,2,keep your nose clean,to stay out of trouble by not doing anything wrong,She keeps her nose clean by staying out of trouble,0,drop a bombshell,"make an unexpected, startling or disturbing announcement",He dropped a bombshell in the garden to get rid of the weeds,1,take with a grain of salt,to understand that something is not completely true or right,I take it with a grain of salt,2
cool as cucumber,"be very calm and relaxed, particularly when it's astonishing",He was cool as cucumber when I touched the back of his neck,1,at the bottom of the ladder,"occupying the lowest, most basic position in a given group",She's at the bottom of the ladder,2,roots run deep,"similar in meaning to ""deep-rooted.""",Their roots run deep in the community due to how much they help their neighbors,0,on cue,to happen at the precise moment,She arrived on cue because the director told her when to come,1,yoke around one's neck,a fatiguing burden.,He carried a yoke around his neck,2
straight shooter,someone who speaks the truth,He's a straight shooter,2,run a tight ship,to be strict about something,He runs a tight ship,2,miles to go before I sleep,you have a lot to do before you can rest,I have miles to go before I sleep--I still have a lot of work to do before rest,0,fight a losing battle,trying to do something even when there is little chance of succeeding,"He was fighting a losing battle, so he settled for a lesser job just to make ends meet",0,blind spot,"if you have a blind spot about something, you cannot accept or understand it",He has a blind spot when it comes to making financial decisions,0
drive up the wall,to make someone angry or irritated,He's been driving me up the wall,2,you can't have your cake and eat it,you can't have things both ways,I can't have my cake and eat it because it's all gone,1,can't stand the sight of,to hate someone very much,I can't stand the sight of him,2,under the auspices,"under the protection, sponsorship, or patronage",The project was created under the auspices of the company to ensure its success,0,green thumb,good gardening results,He has a green thumb,2
glass ceiling,"an unseen (glass) barrier for women and people who belong to minority groups in climbing up the corporate, political or the ladder of success regardless of whether they are qualified for the job",She hit the glass ceiling,2,in the doghouse,someone who is in disgrace and very unpopular at the moment,He's in the doghouse because that's where the dogs sleep,1,tongue in cheek,"something said in humour, but with an act of being serious",He joked with a tongue in cheek,2,knee jerk reaction,an automatic response to something,His knee jerk reaction,2,white paper,official report or guide,"My proposal was a white paper, as I chose to present my ideas in a standard document",1
hit the hay,to go to sleep or head to bed.,I hit the hay early to be fresh for my morning classes,0,way around,"to find an alternative for something, someone or to perform a task","They found a way around it"" ",2,long run,far away in the future,"It will help in the long run, even though it may cause difficulties in the short term",0,an arm and a leg,a large amount of money,"The cost of the restaurant was an arm and a leg, since it was such an expensive meal",0,more heat than light,to cause anger or intense reaction but doesn't clarify anything,The argument had more heat than light,2
drive up the wall,to make someone angry or irritated,He's been driving me up the wall with his driving skills,1,white elephant,an expensive item with no use or purpose,The car was a white elephant,2,cut your own throat,to do something that will be the cause of your own failure or ruin your chances in the future,You'll be cutting your own throat if you don't accept this opportunity,0,pipe down,to take to one or more notches down to its current standard,Can you pipe down and lower the volume of the music?,1,pain in the neck,Mathematics is generally a real pain in the neck for most of the school and college students.,This project has been a pain in the neck,2
sleep tight,an affectionate way of wishing someone a good night's sleep,I told him to sleep tight to wish him a restful night,0,a witch hunt,an attempt to find and punish people whose opinions are unpopular and who are said to be a danger to society,The investigation is a witch hunt as they are trying to identify and punish a witch,1,voice in the wilderness,"someone who expresses an opinion that no one believes or listens to, especially if proved right later",He was a voice in the wilderness shouting from the hills,1,back against the wall,to be in a tough situation with limited options,They had their back against the wall because they were losing the argument,0,acid test,a test that proves a hypothesis or validity of a product or idea,We have to put this to the acid test to see if it will help us in the long run,0
it's not brain surgery,to indicate that a specific task is simple and easy to undertake ,"It's not brain surgery, so you don't have to be a neurosurgeon to do it""",1,it's not brain surgery,to indicate that a specific task is simple and easy to undertake ,It's not brain surgery,2,make a clean breast,to tell the truth about something.,He made a clean breast of all the secrets he had been hiding,0,burn the candle at both ends,to exhaust someone's energies or resources by leading a hectic life.,She's been burning the candle at both ends trying to get her schoolwork and her extracurriculars done in time,0,call on,"use courage, reserve, nerve or strength to achieve something",She called on him,2
mind your own beeswax,do not interfere into someone else's matter,He told me to mind my own beeswax and stay out of his business,0,sacred cow,something that people believe or accept as true without questioning it.,It's a sacred cow because no one can touch it,0,sleep tight,an affectionate way of wishing someone a good night's sleep,I told him to sleep tight,2,big gun,a very powerful individual,He brought out the big gun to put an end to the argument,0,give the slip,to get away,He gave the slip when he took off his shoes,1
stiff upper lip,to be brave in the face of adversity,She kept a stiff upper lip as she physically pressed her lips together,1,mean business,to be focused about achieving a goal,He means business and is investing large amounts of money in the project,1,rip off,the act of stealing,He ripped off the bank when he made off with large amounts of their money,0,when pigs fly,something that will never happen,It will happen when pigs fly,2,black hole,a place in which things are lost never to be seen again,He fell into a black hole literally when he gazed at the stars outside his window,1
take a hike,go away,I took a hike,2,hornets' nest,a violent situation or one with a lot of dispute,He stirred the hornets' nest when he asked questions he should have left alone,0,ring a bell,something that sounds familiar,It's ringing a bell,2,cutting edge,to be among the latest and the best (often used for technological advancements),They are on the cutting edge of technology as they always have the newest gadgets,0,white elephant,an expensive item with no use or purpose,The car was a white elephant because it was almost pure white,1
call it a day,"stop doing something, especially working","Let's call it a day, since it is already dark outside",1,the last straw,to be the last in a sequence of unpleasant things,It was the last straw on the camel's back and it tipped over,1,under a cloud,under suspicion,She was under a cloud of suspicion when she was around her friends,0,old school,old fashioned ideas or approach compared to current trends,I'm an old school type and I still use a typewriter,1,back to square one,return to where one started from,We are back to square one after our initial plan failed,0
love to death,love someone very much,"She loves him to death, to the point that she was willing to kill for him",1,in your face,"a bold, defiant or aggressive manner","This was in your face, intended to be a warning for you",0,sleep on,postpone making a choice until the following day.,Let's sleep on it and decide tomorrow morning,1,put damper on,to discourage someone from doing something that they want to,It put a damper on the party when the neighbors called the cops,0,on its knees,something that is in a very weak situation or on the verge of failure,The company is on its knees as it does its morning prayers,1
can't stand the sight of,to hate someone very much,I can't stand the sight of him because he keeps breaking promises and lying,0,the early bird catches the worm,it refers to people who arrive earlier are the ones who get the best deals,The early bird caught the worm,2,you bet,for sure,He said you bet when I offered to put money on the outcome,1,push the boat out,celebrate; enjoy oneself.,He decided to push the boat out,2,blowing smoke,to intentionally misinform or deceive,He was blowing smoke from his cigarette into the air,1
on top of the world,in a good mood as everything is going well for you,She's on top of the world since she was accepted to the prestigious school,0,nip in the bud,check something thoroughly.,We nipped it in the bud,2,all ears,saying that you are all ears means the other person has got your full attention in terms of listening to him,"I'm all ears, literally ready to hear you from my two ears",1,knock on wood,tap knuckle on wood in order to avoid bad luck,We knocked on wood for good luck,0,quantum leap,to make a significant improvement or dramatic advancement,They took a quantum leap,2
in full swing,at a stage when the level of activity is at its highest,The party is in full swing as everyone is having a great time,0,tongue in cheek,"something said in humour, but with an act of being serious","He joked with a tongue in cheek, holding it in place while he spoke",1,worm in the apple,the presence of something very bad in the best,There's a worm in the apple and it represents the corruption amidst the system,0,carry out,"put something into action, to accomplish something, to do something.",We had to carry out the heavy laundry basket,1,on board,"be physically on a plane, ship, vehicle, train, or rocket",We're on board,2
as far as,to the extent of something,We've gone as far as we can,2,give me five,when you want someone to open a hand so you can hit it with your open hand in greeting or celebration,She gave me five to cheer me up before my presentation,0,button your lip,to stop speaking,He buttoned his lip to prevent himself from letting out a scream,1,skeleton in the closet,"a secret of an embarrassing, guilty or shameful nature that you don't want to disclose",She had a skeleton in the closet when it came to her failed marriage,0,plays with fire,people who take unnecessary risks or behave in a dangerous way,He's playing with fire by proposing such a risky investment,0
as well as,additionally,I visited the store as well as the museum because it was on my agenda,1,take turns,to alternate doing something,They took turns driving all night,1,ball of fire,"a dynamic person capable of or displaying rapid and highly effective thought, action, etc.","The teacher is a ball of fire, literally spitting out sparks with his lectures",1,cold shoulder,to treat somebody with coldness and contempt,He gave me the cold shoulder by ignoring me during the meeting,0,big deal,important thing,It's a big deal for me to get accepted into that college,0
against the grain,a difficult path to be followed,"She always goes against the grain, literally carving a piece of wood in the opposite direction",1,asleep at the switch,failing to attend to one's responsibilities or duties,He was asleep at the switch when his team scored the winning goal,0,crush,feel love-sick for someone.,"I have a crush on him, I feel butterflies in my stomach when I'm around him",0,take a back seat,take a less important position.,I decided to take a back seat on the bus so I could have more leg room,1,in your face,"a bold, defiant or aggressive manner","This was in your face, so you could feel it on your skin",1
night owl,Someone who is vigilant late at night.,He's a night owl because he has large eyes that can take in lots of light during the night,1,mind your own beeswax,do not interfere into someone else's matter,He told me to mind my own beeswax,2,music to ears,something that is soothing to your ears,The news was music to ears,2,whistle in the dark,to try to hide your fear in a scary or dangerous situation,We are whistling in the dark to try to hide our fear of the unknown future,0,give the slip,to get away,He gave the slip and escaped the police's pursuit,0
make it big,become very successful or famous,He's making it big with his new house that he just bought,1,tight spot,to be in a very difficult situation,He was in a tight spot as he was wedged in between two walls,1,not hurt a fly or flea,"To not be able to cause harm to anyone, including even a tiny and insignificant insect.","I wouldn't hurt a fly or flea, not even if I was provoked",0,cut and thrust,"furious contest, discussion, etc.",The negotiations involved some cut and thrust with both sides wielding swords,1,lights are on but nobody is home,used to describe a stupid person.,His lights are on but nobody is home; he must have gone out,1
stop by,to meet someone or go somewhere in a brief and informal manner,We stopped by yesterday to fetch some supplies,1,can't stand the sight of,to hate someone very much,I can't stand the sight of him because he's so ugly,1,24/7 (twenty-four-seven),constantly,We're open 24/7 to accommodate all of our customers' needs,0,short fuse,to get angry quickly.,He has a short fuse,2,child's play,an informal expression meaning something that is easy to do,This is child's play as I have been playing this with my niece,1
lower the bar,to lower standards or expectations,The company lowered the bar by making its expectations easier to achieve,0,high up,to have an important standing in society,"He is high up in the company, leading the team",0,wash hands of,abandon taking responsibility for someone or something,I washed my hands of this mess by refusing to get involved any further,0,turn turtle,It refers to something turning upside down.,The boat turned turtle when it flipped upside down,1,kill two birds with one stone,accomplish two different things at the same time,She killed two birds with one stone when she threw a rock at them,1
out of hand,out of control,The party got out of hand as soon as people started leaving with bottles of alcohol,1,gets it out of his system,get rid of a strong emotion or desire by expressing it openly or trying to fulfill it,He got it out of his system by going to the doctor,1,wrap in cotton wool,to be overprotective towards somebody,My parents have wrapped me in cotton wool in order to keep me safe and protected,0,love of life,the person who is loved most by someone in all their life,"John has a love of life, as evidenced by how he cherishes every moment",1,rags to riches,go from being very poor to being very wealthy,"He went from rags to riches"" ",2
cash in,to earn out of something in big amounts,You should cash in,2,catch up,"to get to the same level, standard, or status as something or someone",I'm trying to catch up with the bus I missed,1,have eyes only for,be attracted to someone exclusively,He had eyes only for her,2,batten down the hatches,to get ready for trouble,We battened down the hatches on the boat against the strong wind,1,carrot and stick,mixture of rewards and punishments,Using the carrot and stick,2
in touch,"to remain in contact with someone, especially when separated by time or distance",We need to stay in touch,2,keep an eye on,keep a watch on something or someone closely,He keeps an eye on her,2,chip off the old block,the term is used to describe people who look like their parents.,He is a chip off the old block because he is following in his father's footsteps,0,hide light under a bushel,to show modesty towards something or someone,Don't hide your light under a bushel and reveal your talents to the world,0,off grid,disconnected from municipal utility systems.,She went off grid when she disconnected herself from social media,0
easy money,"Rewards, progress or other good results with little or no effort.",She made easy money,2,hit the road,depart,Let's hit the road and start our journey across the country,0,in the blink of an eye,in an instant,"It was gone in the blink of an eye, as if it had never been there before",1,in the cross hairs,in a position where one might receive severe criticism,The company is in the cross hairs because its performance is not meeting expectations,0,spitting image,look exactly like someone else,"He is the spitting image, as saliva from his mouth sprayed on his father's face",1
keep one's own counsel,say little or nothing about one's opinions or intentions.,He kept his own counsel by not saying anything about his ideas and plans to anyone,1,red tape,over excessive or time-consuming rules and bureaucracy that hinder progress,Lots of red tape got in the way of getting the project approved,0,knee jerk reaction,an automatic response to something,His knee jerk reaction to the loud noise was to jerk his knee,1,make ones bed and lie on it,to be responsible for what you have done and accept the results,He made his bed and lay on it as he had to accept the consequences of his choices,0,in at the deep end,to start a new job or activity without being prepared for it,She jumped in at the deep end when she decided to take on the new project,0
whole nine yards,"everything, all of something",He went the whole nine yards of fabric needed to make his custom suit,1,wrap in cotton wool,to be overprotective towards somebody,My parents have wrapped me in cotton wool,2,made it,used to indicated the completion of a task,She made it to the finish line despite a painful injury,1,find feet,become familiar with a new situation,John is finding his feet in the new job,0,cool as cucumber,"be very calm and relaxed, particularly when it's astonishing",He was cool as cucumber.,2
loaves and fishes,done for material benefits,"She collected the loaves and fishes from everyone and with her faith, multiplied them many times",0,on the crest of a wave,to reach the highest point of success,He is on the crest of a wave as his new business venture is making huge profits,0,nest egg,"an amount of money that has been saved, especially for future use",She's been saving her nest egg,2,go through a rough patch,to experience a lot of problems in a period of life,She's going through a rough patch trying to figure out her career path in life,0,first light,the time when the light begins to appear in the morning,She saw him at first light,2
bright-eyed and bushy-tailed,to be very enthusiastic and full of energy,She came in bright-eyed and bushy-tailed,2,match made in heaven,a combination of two people that is perfect in every way,It's a match made in heaven since you two are perfectly in sync,0,wet the baby's head,to have drink to celebrate the birth of a baby,We wet the baby's head with water to cool him down,1,up to the mark,to be good enough,This project was up to the mark,2,not have a clue,to not know something.,I don't have a clue what this contraption is,1
play cat and mouse,to play with or tease someone,He's been playing cat and mouse,2,a whole raft of,a large collection of something,I got a whole raft of information with my purchase of the boat,1,fan the flames,make a bad situation even worse,He fanned the flames,2,build bridges,to foster good relationships,They've been building bridges by constructing physical structures over water,1,cut corners,"economise on time, money, materials or effort, perhaps unwisely",He cut corners on the project by making the edges less sharp to save material,1
keep at arm's length,keep distance from something or somebody,I've been keeping him at arm's length because he's standing across the room,1,page-turner,a thrilling book,It was a page-turner,2,fiddle while Rome burns,to perform an inconsequential task or act irresponsibly in the midst of a disastrous event.,He is fiddling while Rome burns,2,asleep at the wheel,"when someone is not sufficiently attentive, especially at a critical moment when vigilance is required",He was asleep at the wheel as he was too tired to drive,1,beyond the veil,"In an inexplicable or concealed place or condition, especially the mysterious state of existence after death.",He ventured beyond the veil to enter the secret room,1
cut the crap,a very crude way of telling someone to stop doing something that you do not like,Let's just cut the crap,2,big cheese,to be an important and successful individual,"He's the big cheese around here, so you should respect him highly."" Here ""big cheese"" means a leader or an important person",0,went through the mill,"you experience a very difficult period, or are exposed to rough treatment",He went through the mill to obtain the flour for his grandmother's recipe,1,feather in your cap,It means to have an achievement in your name.,It was a feather in your cap when you found the perfect hat to match your outfit,1,keep body and soul together,manage to stay alive with very little money,"He struggled to keep body and soul together"" ",2
drop by,an informal visit,He dropped by last night,2,let sleeping dogs lie,its best to leave a situation as it is if disturbing it might cause trouble,We should let sleeping dogs lie and not discuss the matter any further,0,pass on the baton,give responsibility for something important to another person.,We passed on the baton for the next stage of the relay race,1,set the bar,fix the standards acceptable for the task,You set the bar high with your success which made everyone push to surpass your achievements,0,cost an arm and a leg,very expensive,This painting cost an arm and a leg,2
none of your business,used to tell someone not to get involved in whatever you have going on,That's none of your business; it's not for sale,1,toot one's own horn,speak boastfully about oneself,I tooted my own horn,2,bone to pick,having a complaint that needs to be discussed.,I have a bone to pick with you about what you said earlier,0,come clean,to make a disclosure,He finally came clean and washed the dishes,1,outside the lines,not sticking to the rules,She was outside the lines,2
asked for the moon,ask for something that is very difficult or impossible to get,"I asked for the moon, even though it is impossible to get",1,sit tight,wait patiently,We had to sit tight and wait for better news,0,run across,meet someone by accident,I ran across something interesting,2,straight shooter,someone who speaks the truth,He's a straight shooter when it comes to giving advice,0,on board,"be physically on a plane, ship, vehicle, train, or rocket","We're on board the ship, ready to sail",1
between a rock and a hard place,having two very bad choices,He's between a rock and a hard place,2,takes two to tango,certain actions or activities cannot be performed alone - they  need two people to participate,It takes two to tango and they both need to be physically able to dance together,1,bite head off,overreact in an angry or harsh way,He bit the head off the issue by getting straight to the point,0,mind your own business,to look into your own matter,We should mind our own business,2,beyond the veil,"In an inexplicable or concealed place or condition, especially the mysterious state of existence after death.",He ventured beyond the veil to explore the mysteries of the universe,0
king of the hill,be the undisputed champion,He's been the king of the hill for years thanks to his hard work,0,gloves are off,people are beginning to behave in a more hostile or tenacious way; usually used to describe a dispute or fight,The gloves are off with the two rivals facing off in the battle,0,keep one's own counsel,say little or nothing about one's opinions or intentions.,He kept his own counsel when it came to making decisions about his future as no one else could understand his thoughts and feelings,0,recharge one's batteries,take a break or holiday to relax and regain one's vim and vigour,I need to recharge my batteries so I can use them again,1,give the slip,to get away,He gave the slip,2
in deep water,a very serious situation,He's in deep water because he fell off a boat,1,walking on broken glass,when a person is punished for something,They're walking on broken glass,2,a roof over your head,a place to live,"He has a roof over his head, meaning he has a place to stay and someone to rely on",0,rob Peter to pay Paul,to cause harm to one person in order to do good for another.,He was robing Peter to pay Paul by taking from one person to give to another,0,go the extra mile,to make an extra effort,She went the extra mile and got a special gift for her friend's birthday,0
blue eyed boy,a person who is treated with special favor.,He stayed the blue eyed boy,2,between a rock and a hard place,having two very bad choices,He's between a rock and a hard place as he has to decide between two equally unattractive options,0,spitting image,look exactly like someone else,He is the spitting image,2,cold feet,loss of courage,He had cold feet when it came to getting married as he felt hesitant,0,stone's throw,a short distance,"It's a stone's throw away from the assembly hall, meaning I can literally throw a stone and it will land next to the hall",1
concern with,to be busy with something,He was concerned with the results of the experiment he just conducted,1,flog a dead horse,waste energy on something that has no chance of succeeding,Let's not flog a dead horse since it is already dead,1,cut your own throat,to do something that will be the cause of your own failure or ruin your chances in the future,You'll be cutting your own throat if you don't find a way to stop yourself,1,been tailor made,specially made for a particular purpose,"He's been tailor made for success, always putting his needs first",0,tar with the same brush,to think that somebody has the same bad qualities as others in a similar surrounding,He tarred them with the same brush,2
fall on our feet,to succeed in doing something where there was a risk of failure,We fell on our feet and got right back up,1,heart goes out to,to feel sympathy for someone when they are distressed,My heart goes out to them,2,black sheep,a disgrace,He was the black sheep of the family and he was the only one with black wool,1,crack the whip,make someone work harder by asserting power or authority,He cracked the whip to startle the horses and get them moving,1,take the bull by the horns,decisively deal with a difficult or dangerous situation,I took the bull by the horns and made a difficult decision,0
everything but the kitchen sink,almost everything that one can think of,He brought everything but the kitchen sink to his date in order to set up a romantic dinner,1,put your foot in it,"say something (by mistake) that upsets, humiliates, or embarrasses someone",He put his foot in it when he said something inappropriate,0,asleep at the switch,failing to attend to one's responsibilities or duties,He was asleep at the switch,2,an arm and a leg,a large amount of money," ""The cost of the restaurant was an arm and a leg, literally",1,lick his wounds,"to try to recover your confidence or spirit after a defeat, failure or disappointment",He was licking his wounds after the loss in the election,0
tongue in cheek,"something said in humour, but with an act of being serious","He joked with a tongue in cheek, letting everyone know he was just being sarcastic",0,chill wind,to encounter the problems or trouble,The chill wind blew,2,keep your hair on,to request someone to stay calm and not get annoyed,"Keep your hair on, now",2,get to the bottom,to find out the truth relating to a situation,She wanted to get to the bottom of it to see if there was any truth to the rumor,0,"when it rains, it pours",to have a good or bad news enlarged by circumstances,"When it rains, it pours",2
fan the flames,make a bad situation even worse,He fanned the flames of anger when he said something rude,0,lie low,"To go out of sight, usually after having done something bad.",He decided to lie low and not draw attention to himself,0,pull the wool over eyes,to deceive someone,He pulled the wool over my eyes so that I wouldn't be able to see,1,stiff upper lip,to be brave in the face of adversity,She kept a stiff upper lip,2,a good man is hard to find,This proverb refers to women who are looking for suitable alliances but aren't able to find them.,It's a good man that's hard to find nowadays since trust and kindness seem to be lacking,0
come across,to meet someone,I came across it while scrolling through social media,0,vultures are circling,when something is in danger and its enemies are getting ready for the kill,The vultures are circling,2,just what the doctor ordered,exactly what was wanted or needed,It was just what the doctor ordered for her medical condition,1,in the bad books,out of favour,He's in the bad books because he says the wrong things,0,see light at end of tunnel,to see signs of hope for the future after a long period of difficulty,I can see the light at end of tunnel,2
in cold blood,in a cruel way and without pity or other emotion,He killed him in cold blood without any thought or emotions,0,when hell freezes over,"impolite way of saying ""it will never happen""","I will do it when hell freezes over, because that is when it truly becomes impossible",1,red zone,"any geographical area that is thought to be dangerous or threatening, usually as a consequence of political or military activity.","We've entered the red zone when it comes to deadlines, so we better accelerate our efforts",0,ate crow,to admit that you were wrong about something and apologize,He ate crow yesterday when he had to apologize for his mistake,0,rob Peter to pay Paul,to cause harm to one person in order to do good for another.,He was robed Peter to pay Paul,2
the ball is in your court,the initiative for taking action lies with somebody,"The ball is in your court, so you are now the one who has to hit it back",1,butter up,to flatter someone so as to get something in return from them,He was buttering up the boss,2,tight-lipped,unwilling to speak about an event,He was tight-lipped because he'd been stitching up his lips,1,hit the bull's-eye,to be exactly right about something or achieve the best result possible,He hit the bull's-eye when he wrote the perfect article and got published,0,snake in the grass,a hidden army,There was a snake in the grass,2
rocket science,something very difficult to understand,This isn't rocket science-- it's just a basic math problem,0,cards are stacked against,"someone is not likely to succeed, especially because the person is not being given a fair chance",The cards are stacked against him because the odds of his success are low,0,knee jerk reaction,an automatic response to something,His knee jerk reaction to the bad news was to move away from the city,0,head above water,to succeed to survive in bad financial situations,She has kept her head above water by never giving up in difficult moments,0,pass the torch,to pass on the responsibility,I passed the torch,2
build bridges,to foster good relationships,They've been building bridges to connect people with different backgrounds and ideas,0,as long as,to put condition of time on an action,He runs as long as,2,on the back burner,to put something (that is to be done) for later,He put it on the back burner,2,eat crow,being proven wrong after taking a strong stand,She had to eat crow,2,riding shotgun,to provide active aid to someone,Mark was riding shotgun in the car which symbolized he had the lead role in the project,0
vultures are circling,when something is in danger and its enemies are getting ready for the kill,"The vultures are circling the sky today, searching for their next meal",1,foam at the mouth,be extremely angry,The dog was foaming at the mouth because he was sick,1,blow away,impress someone very much,The audience was blown away,2,closed book,something that one knows or understands nothing about.,This is a closed book,2,take a cue from,to do what is recommended by someone else,We should take a cue from him and play the same game,1
a bird in the hand,a possession that is worthy,There's a bird in his hand,2,blazing row,a very angry argument,They had a blazing row,2,go through a rough patch,to experience a lot of problems in a period of life,She's going through a rough patch in the road as she's driving,1,take the edge off,blunt the effect of,I need to take the edge off this blade to make it safer to work with,1,drive up the wall,to make someone angry or irritated,He's been driving me up the wall with his indifference,0
green around the gills,Someone who looks sick or nauseated.,She looked green around the gills,2,tight-lipped,unwilling to speak about an event,He was tight-lipped,2,kill the goose that lays the golden egg,to destroy something that is profitable to you mostly because of greed.,They killed the goose that lays the golden egg,2,the last straw,to be the last in a sequence of unpleasant things,"It was the last straw"" ",2,cold turkey,in a unexpected and sudden way,She went cold turkey and made an effort to quit smoking,0
meet halfway,to reach a compromise,We met halfway in the town park,1,ahead of the pack,more successful than other people who are trying to achieve the same things,He's ahead of the pack because of his quick thinking and step ahead of others,0,second wind,another burst of energy when you had been too tired to finish,She got her second wind after barely finishing the marathon,1,keep at arm's length,keep distance from something or somebody,I've been keeping him at arm's length,2,beat the drum,to speak eagerly about something you support,He's been beating the drum,2
happy camper,to be content or satisfied with what is happening in your lifes and have no complaints,I'm a happy camper spending the night outside with my tent and a tent stove,1,blind leading the blind,someone who does not understand something but tries to explain it to others,We were the blind leading the blind when we tried to solve this difficult problem without any help,0,show true colors,to reveal what one is really like,He showed his true colors,2,lump in my throat,to have a tight feeling in your throat because of a strong emotion such as sadness or gratitude,I had a lump in my throat,2,frighten or scare to death,make somebody feel very frightened.,She was frightened to death,2
get to the bottom,to find out the truth relating to a situation,She wanted to get to the bottom of the lake to see if there was anything underneath,1,hit the books,to study very hard,He hit the books hard this week before his test,0,cut coat according to cloth,"adapt to one's circumstances, make sure one's plans are appropriate to one's resources.",They cut their coat according to cloth so that it fits them perfectly,1,NOT_AVAILABLE: SELECT_A_RANDOM_CHOICE,NOT_AVAILABLE: SELECT_A_RANDOM_CHOICE,NOT_AVAILABLE: SELECT_A_RANDOM_CHOICE,-1,NOT_AVAILABLE: SELECT_A_RANDOM_CHOICE,NOT_AVAILABLE: SELECT_A_RANDOM_CHOICE,NOT_AVAILABLE: SELECT_A_RANDOM_CHOICE,-1
