idiom,meaning,s_f_brkt,s_l_brkt,s_f,s_l,s_a,p_a_de_gpt,p_f_de_gpt,p_l_de_gpt,p_a_he_gpt,p_f_he_gpt
bread and butter,to indicate what a person earns or earns for,"Graphic design is [[their bread and butter]], as it's their main source of income","On the table, there was [[their bread and butter]] ready for breakfast","Graphic design is their bread and butter, as it's their main source of income","On the table, there was their bread and butter ready for breakfast",their bread and butter,ihr täglich Brot,"Grafikdesign ist ihr täglich Brot, da es ihre Haupteinnahmequelle ist.",Auf dem Tisch stand ihr Brot und Butter bereit für das Frühstück.,הלחם והחמאה שלהם,"עיצוב גרפי הוא להם לחם וחמאה, מכיוון שזה המקור העיקרי של הכנסתם לפרנסה."
break a leg,good luck,"Before her performance, we told her [[to break a leg on stage]]","During the play, the actor accidentally tripped and managed [[to break a leg on stage]]","Before her performance, we told her to break a leg on stage","During the play, the actor accidentally tripped and managed to break a leg on stage",to break a leg on stage,Auf der Bühne ein Bein brechen.,"Vor ihrem Auftritt sagten wir ihr, dass sie auf der Bühne ein Bein brechen soll.","Während des Stücks ist der Schauspieler versehentlich gestolpert und hat es geschafft, sich auf der Bühne ein Bein zu brechen.",לשבור רגל על הבמה,"לפני הופעתה, אמרנו לה לשבור רגל על הבמה."
break down,to stop working,"Let me [[break down the situation]] for you, so you can understand the complexity",The firefighters had to [[break down the situation]] by removing debris after the collapse,"Let me break down the situation for you, so you can understand the complexity",The firefighters had to break down the situation by removing debris after the collapse,break down the situation,Die Situation analysieren.,"Lassen Sie mich Ihnen die Situation erklären, damit Sie die Komplexität verstehen können.",Die Feuerwehrleute mussten die Situation durch Entfernen von Trümmern nach dem Einsturz bewältigen.,פירוק המצב,"תן לי לפרק את המצב עבורך, כדי שתוכל להבין את המורכבות."
break the ice,"to do or say something that makes people feel more comfortable, especially at the start of a meeting or party",We started [[breaking the ice together]] by playing a fun team-building game,"During the winter expedition, we were [[breaking the ice together]] to clear a path",We started breaking the ice together by playing a fun team-building game,"During the winter expedition, we were breaking the ice together to clear a path",breaking the ice together,Das Eis gemeinsam brechen.,"Wir haben angefangen, das Eis gemeinsam zu brechen, indem wir ein lustiges Teambuilding-Spiel gespielt haben.","Während der Winterexpedition haben wir gemeinsam das Eis gebrochen, um einen Weg freizumachen.",פירוק הקרח יחד,התחלנו לשבור את הקרח יחד על ידי משחק צוות מהנה לבניית קבוצה.
break the mould,to do something different from what is expected,Her innovative ideas were [[breaking the mould]] in the industry,The sculptor was [[breaking the mould]] to reveal the finished statue,Her innovative ideas were breaking the mould in the industry,The sculptor was breaking the mould to reveal the finished statue,breaking the mould,Das Brechen der Form.,Ihre innovativen Ideen brachen das Muster in der Industrie.,"Der Bildhauer brach die Form auf, um die fertige Statue zu enthüllen.",שבירת התבנית,הרעיונות החדשניים שלה פורצים את התבנית בתעשייה.
break up,end a romantic relationship with someone,"After months of arguments, they [[decided to break up]] and end their relationship",The construction workers [[decided to break up]] the concrete with a jackhammer,"After months of arguments, they decided to break up and end their relationship",The construction workers decided to break up the concrete with a jackhammer,decided to break up,entschieden sich zu trennen,"Nach Monaten des Streits beschlossen sie, sich zu trennen und ihre Beziehung zu beenden.","Die Bauarbeiter entschieden sich, den Beton mit einem Presslufthammer zu zerkleinern.",החליט להיפרד,"לאחר חודשים של טיעונים, הם החליטו להיפרד ולסיים את הקשר שלהם."
bright spark,an intelligent and lively person (humorously),"She was [[a bright spark]] in the team, always coming up with innovative ideas",The firework display created [[a bright spark]] in the night sky,"She was a bright spark in the team, always coming up with innovative ideas",The firework display created a bright spark in the night sky,a bright spark,ein heller Funke,"Sie war ein heller Funke im Team, der immer mit innovativen Ideen aufwartete.",Das Feuerwerk erzeugte einen hellen Funken am Nachthimmel.,להבה מבריקה,"היא הייתה ניצוץ מבריק בצוות, תמיד מציעה רעיונות מהפכניים."
buckle down,make sure something stays in place,"With the deadline approaching, we had [[to buckle down to work]] and finish the project",The carpenter had [[to buckle down to work]] on the leather belt,"With the deadline approaching, we had to buckle down to work and finish the project",The carpenter had to buckle down to work on the leather belt,to buckle down to work,sich an die Arbeit machen,Mit dem Annäherungstermin mussten wir uns an die Arbeit machen und das Projekt abschließen.,"Der Schreiner musste sich an die Arbeit machen, um am Ledergürtel zu arbeiten.",להתחיל לעבוד ברצינות,"עם המועד הקרוב, היינו חייבים להתמקד בעבודה ולסיים את הפרויקט."
build bridges,to foster good relationships,"As a mediator, my goal is [[to build bridges between them]] and resolve their conflicts",The construction company was hired [[to build bridges between them]] to connect the two islands,"As a mediator, my goal is to build bridges between them and resolve their conflicts",The construction company was hired to build bridges between them to connect the two islands,to build bridges between them,Brücken zwischen ihnen bauen.,"Als Vermittler ist mein Ziel, Brücken zwischen ihnen zu bauen und ihre Konflikte zu lösen.","Das Bauunternehmen wurde beauftragt, Brücken zwischen ihnen zu bauen, um die beiden Inseln zu verbinden.",לבנות גשרים ביניהם,"כתיווך, המטרה שלי היא לבנות גשרים ביניהם ולפתור את הסכסוכים שלהם."
building blocks,something that is a basic element (of the subject),Hard work and dedication are [[the building blocks of success]],The children used wooden cubes as [[the building blocks of success]] in their tower construction,Hard work and dedication are the building blocks of success,The children used wooden cubes as the building blocks of success in their tower construction,the building blocks of success,Die Bausteine des Erfolgs.,Harte Arbeit und Hingabe sind die Bausteine des Erfolgs.,Die Kinder verwendeten hölzerne Würfel als Bausteine des Erfolgs beim Bau ihres Turms.,בלוקי הבנייה של ההצלחה,עבודה קשה והתמדה הם הבסיס להצלחה.
bun in the oven,to be pregnant,She excitedly announced that she [[has a bun in the oven]] and is expecting a baby,The baker [[has a bun in the oven]] and it will be ready in a few minutes,She excitedly announced that she has a bun in the oven and is expecting a baby,The baker has a bun in the oven and it will be ready in a few minutes,has a bun in the oven,hat einen Braten in der Röhre,"Sie verkündete aufgeregt, dass sie ein Brötchen im Ofen hat und ein Baby erwartet.",Der Bäcker hat ein Brötchen im Ofen und es wird in wenigen Minuten fertig sein.,יש לה כיכר בתנור,היא הכריזה בתהליך חשוב שיש לה כיסוי בתנור ומצפה לתינוק.
burn bridges,"remove someone's all options of retreat, act decisively","After the argument, she [[burned bridges with them]] and never spoke to them again",The vandals [[burned bridges with them]] as they escaped the village,"After the argument, she burned bridges with them and never spoke to them again",The vandals burned bridges with them as they escaped the village,burned bridges with them,"""Verbrannte Brücken mit ihnen.""",Nach dem Streit hat sie die Brücken zu ihnen abgebrannt und nie wieder mit ihnen gesprochen.,"Die Vandalen haben Brücken mit ihnen verbrannt, als sie aus dem Dorf flohen.",שרפתי גשרים איתם.,"אחרי הווכחה, היא שרף את הגשרים עם הם ולעולם לא דיברה איתם שוב."
burn fingers,to bear an unpleasant result of an action that has been taken in the past,[[They burned their fingers]] by investing in a risky business,[[They burned their fingers]] while trying to grab a hot pan,They burned their fingers by investing in a risky business,They burned their fingers while trying to grab a hot pan,They burned their fingers,Sie haben sich die Finger verbrannt.,"Sie haben sich die Finger verbrannt, indem sie in ein riskantes Geschäft investiert haben.","Sie verbrannten sich die Finger, als sie versuchten, eine heiße Pfanne zu greifen.",הם שרפו את אצבעותיהם,הם שרפו את אצבעותיהם על ידי השקעה בעסק סוכן.
burn the candle at both ends,to exhaust someone's energies or resources by leading a hectic life.,"Working two jobs and studying, she was [[burning the candle at both ends]]","During the experiment, they were [[burning the candle at both ends]] to observe the melting rate","Working two jobs and studying, she was burning the candle at both ends","During the experiment, they were burning the candle at both ends to observe the melting rate",burning the candle at both ends,Die Kerze an beiden Enden anzünden.,"Indem sie zwei Jobs hatte und studierte, brannte sie das Kerzenlicht an beiden Enden ab.","Während des Experiments brannten sie die Kerze an beiden Enden, um die Schmelzrate zu beobachten.",שריפת הנר משני הקצוות,"עובדת בשתי עבודות ומתכוננת ללימודים, היא מציתה את הנר משני הקצוות."
bury head in the sand,hide from the truth,They [[buried their heads in the sand]] when confronted with the company's financial problems,The ostriches [[buried their heads in the sand]] to search for food,They buried their heads in the sand when confronted with the company's financial problems,The ostriches buried their heads in the sand to search for food,buried their heads in the sand,vergruben ihre Köpfe im Sand,"Sie steckten den Kopf in den Sand, als sie mit den finanziellen Problemen des Unternehmens konfrontiert wurden.","Die Strauße vergruben ihre Köpfe im Sand, um nach Nahrung zu suchen.",טמנו את ראשם בחול.,הם טמנו את ראשיהם בחול כשנתקלו בבעיות הכספיות של החברה.
butter up,to flatter someone so as to get something in return from them,He tried [[to butter up the boss]] by complimenting her outfit,It was her job [[to butter up the boss]]'s toast every morning,He tried to butter up the boss by complimenting her outfit,It was her job to butter up the boss's toast every morning,to butter up the boss,Den Chef einschmeicheln.,"Er versuchte, den Chef zu schmeicheln, indem er ihr Outfit lobte.","Es war ihre Aufgabe, jeden Morgen dem Chef das Toastbrot zu buttern.",לפנק את המנהל.,ניסה להתחמק מהבוס על ידי מחמם לה עם מחמאות על הלבוש שלה.
call a spade a spade,this phrase means to say something the way it is,[[She called a spade a spade]] when she confronted her friend about her dishonesty,"While playing cards, [[she called a spade a spade]] when she identified the suit correctly",She called a spade a spade when she confronted her friend about her dishonesty,"While playing cards, she called a spade a spade when she identified the suit correctly",She called a spade a spade,Sie nannte die Dinge beim Namen.,"Sie nannte das Kind beim Namen, als sie ihre Freundin mit ihrer Unehrlichkeit konfrontierte.","Während sie Karten spielte, nannte sie eine Pik-Karte eine Pik-Karte, als sie die Farbe richtig identifizierte.",היא קראה למזלג מזלג ולא ניסיון אחר.,היא קראה למגרעת מגרעת כשהיא עמדה לפני חברתה על האי-כנות שלה.
can of worms,"to get into something that is messy, has problems and is unwanted","By asking about his past, she inadvertently [[opened a can of worms]] in their conversation",The fisherman [[opened a can of worms]] to bait his hook,"By asking about his past, she inadvertently opened a can of worms in their conversation",The fisherman opened a can of worms to bait his hook,opened a can of worms,öffnete eine Büchse der Pandora,"Indem sie nach seiner Vergangenheit fragte, öffnete sie unbeabsichtigt eine Büchse der Pandora in ihrem Gespräch.","Der Fischer öffnete eine Dose Würmer, um seinen Haken zu ködern.",פתחתי פח של תולעות,"על ידי שהיא שאלה על העבר שלו, היא בטעות פתחה קופסת תולעים בשיחתם."
card up sleeve,to have a secret advantage that is suddenly revealed to change the game,"During the negotiation, he [[had a card up his sleeve]] that gave him an advantage","As a magician, he cleverly [[had a card up his sleeve]] for his next trick","During the negotiation, he had a card up his sleeve that gave him an advantage","As a magician, he cleverly had a card up his sleeve for his next trick",had a card up his sleeve,hatte eine Karte im Ärmel,"Während der Verhandlung hatte er eine Trumpfkarte in der Hand, die ihm einen Vorteil verschaffte.",Als Zauberer hatte er geschickt eine Karte in seinem Ärmel für seinen nächsten Trick.,היה לו קלף בשרוול שלו.,"במהלך המו""מ, היה לו קלף בשרוול שנתן לו יתרון."
carry the torch for,to have strong feelings for someone with whom you do not or cannot have a relationship,"He's been [[carrying the torch for her]] since high school, but she never noticed","During the relay race, he was [[carrying the torch for her]] until it was her turn to run","He's been carrying the torch for her since high school, but she never noticed","During the relay race, he was carrying the torch for her until it was her turn to run",carrying the torch for her,Die Fackel für sie tragen.,"Er trägt seit der High School die Fackel für sie, aber sie hat es nie bemerkt.","Während des Staffellaufs trug er die Fackel für sie, bis es an der Reihe war, dass sie lief.",נשאת את המשואה עבורה,"הוא נושא את המשואה עבורה מאז התיכון, אך היא לעולם לא שם לב."
cash in,to earn out of something in big amounts,He decided to [[cash in on the opportunity]] and invest in the startup,"At the casino, she decided to [[cash in on the opportunity]] and exchange her chips for money",He decided to cash in on the opportunity and invest in the startup,"At the casino, she decided to cash in on the opportunity and exchange her chips for money",cash in on the opportunity,Gewinn aus der Gelegenheit schlagen.,"Er entschied sich, die Gelegenheit zu nutzen und in das Startup zu investieren.","Im Casino entschied sie sich, die Gelegenheit zu nutzen und ihre Chips gegen Geld einzutauschen.",להשתמש בהזדמנות להרוויח כסף,הוא החליט לנצל את ההזדמנות ולהשקיע בסטארטאפ.
castles in the air,thinking of some impossible task,He spent his days [[building castles in the air]] instead of focusing on his job,The artist created a stunning installation of [[building castles in the air]] using lightweight materials,He spent his days building castles in the air instead of focusing on his job,The artist created a stunning installation of building castles in the air using lightweight materials,building castles in the air,Luftschlösser bauen.,"Er verbrachte seine Tage damit, Luftschlösser zu bauen, anstatt sich auf seine Arbeit zu konzentrieren.","Der Künstler schuf eine atemberaubende Installation, indem er Burgen in der Luft aus leichten Materialien baute.",בניית טירות באוויר,הוא היה מבלה את ימיו בבניית טירות באוויר במקום להתמקד בעבודתו.
catch napping,"surprise, take unawares.",The surprise quiz [[caught him napping]] and he couldn't answer any questions,I walked into the room and [[caught him napping]] on the couch,The surprise quiz caught him napping and he couldn't answer any questions,I walked into the room and caught him napping on the couch,caught him napping,erwischt ihn beim Schlafen,Der Überraschungstest hat ihn im Schlaf erwischt und er konnte keine Fragen beantworten.,"Ich betrat den Raum und erwischte ihn dabei, wie er auf dem Sofa schlief.",תפסו אותו ישן,המבחן המפתיע תפס אותו ישן והוא לא יכול היה לענות על שום שאלה.
catch up,"to get to the same level, standard, or status as something or someone",I need [[to catch up with her]] to discuss the latest news,I had to run faster [[to catch up with her]] during the race,I need to catch up with her to discuss the latest news,I had to run faster to catch up with her during the race,to catch up with her,aufholen mit ihr,"Ich muss sie einholen, um die neuesten Nachrichten zu besprechen.","Ich musste schneller laufen, um während des Rennens mit ihr Schritt zu halten.",להשתפרך אחריה,אני צריך להשתלם עם היא כדי לדון על החדשות האחרונות.
chapter and verse,verbatim; word for word details.,"When asked about the new policy, she [[gave them chapter and verse]] on the company's regulations",The priest [[gave them chapter and verse]] from the Bible during the sermon,"When asked about the new policy, she gave them chapter and verse on the company's regulations",The priest gave them chapter and verse from the Bible during the sermon,gave them chapter and verse,Gab ihnen Kapitel und Vers.,"Als sie nach der neuen Richtlinie gefragt wurde, gab sie ihnen Kapitel und Vers auf die Vorschriften des Unternehmens.",Der Priester gab ihnen während der Predigt Kapitel und Vers aus der Bibel.,נתן להם פרק ופסוק.,"כאשר שאלו אותה על המדיניות החדשה, היא נתנה להם פרק ופסוק על התקנות של החברה."
child's play,an informal expression meaning something that is easy to do,Solving the puzzle [[it was child's play]] for the experienced detective,The playground equipment [[it was child's play]] for the kids to enjoy,Solving the puzzle it was child's play for the experienced detective,The playground equipment it was child's play for the kids to enjoy,it was child's play,Es war ein Kinderspiel.,Das Lösen des Rätsels war für den erfahrenen Detektiv ein Kinderspiel.,"Die Spielplatzgeräte waren für die Kinder ein Kinderspiel, um Spaß zu haben.",זה היה משחק ילדים.,פתרון הפאזל היה משחק ילדים עבור הבלש המנוסה.
chill wind,to encounter the problems or trouble,"When the news of the layoffs arrived, [[a chill wind blew]] through the office","As we walked through the forest, [[a chill wind blew]] and made us shiver","When the news of the layoffs arrived, a chill wind blew through the office","As we walked through the forest, a chill wind blew and made us shiver",a chill wind blew,Ein kalter Wind blies.,"Als die Nachricht von den Entlassungen ankam, wehte ein eisiger Wind durch das Büro.","Als wir durch den Wald gingen, wehte ein kalter Wind und ließ uns frösteln.",רוח קרה נשבה,"כשהחדשות על הפיטורים הגיעו, רוח קרה נשבה במשרד."
chink in armour,a susceptible or vulnerable area.,"After analyzing their strategy, we [[found a chink in their armour]] that we could exploit","While examining the knight's suit, he [[found a chink in their armour]] that needed repair","After analyzing their strategy, we found a chink in their armour that we could exploit","While examining the knight's suit, he found a chink in their armour that needed repair",found a chink in their armour,Ich habe eine Schwachstelle in ihrer Rüstung gefunden.,"Nach Analyse ihrer Strategie haben wir eine Schwachstelle in ihrer Rüstung gefunden, die wir ausnutzen konnten.","Während er die Rüstung des Ritters untersuchte, fand er eine Lücke in ihrer Rüstung, die repariert werden musste.",מצאתי פגיעה בשריון שלהם.,"לאחר ניתוח האסטרטגיה שלהם, גילינו נקודת חולשה בשריון שלהם שיכולנו לנצל."
choke up,make a person become overemotional and speechless,"Hearing the sad news, [[he started to choke up]] and could n't speak","While eating too quickly, [[he started to choke up]] on a piece of food","Hearing the sad news, he started to choke up and could n't speak","While eating too quickly, he started to choke up on a piece of food",he started to choke up,Er fing an zu ersticken.,"Als er die traurigen Nachrichten hörte, bekam er einen Kloß im Hals und konnte nicht sprechen.","Während er zu schnell aß, fing er an, sich an einem Stück Essen zu verschlucken.",הוא התחיל להתקופף.,"שמע את החדשות העצובות, הוא התחיל להתקופף ולא יכול לדבר."
clamp down,suppress or prevent something in an oppressive or harsh manner,The principal decided [[to clamp down on the situation]] by enforcing stricter rules,The mechanic used a tool [[to clamp down on the situation]] and secure the loose parts,The principal decided to clamp down on the situation by enforcing stricter rules,The mechanic used a tool to clamp down on the situation and secure the loose parts,to clamp down on the situation,Die Situation in den Griff bekommen.,"Der Schulleiter beschloss, die Situation durch die Durchsetzung strengerer Regeln zu kontrollieren.","Der Mechaniker benutzte ein Werkzeug, um die Situation zu fixieren und die losen Teile zu sichern.",להכיל את המצב,המנהל החליט להתחמק מהמצב על ידי הכנסת כללים קשים יותר.
clean slate,to wipe the past out and begin afresh,"After apologizing, they decided [[to start with a clean slate]] and rebuild their friendship",The artist decided [[to start with a clean slate]] by wiping off the chalkboard,"After apologizing, they decided to start with a clean slate and rebuild their friendship",The artist decided to start with a clean slate by wiping off the chalkboard,to start with a clean slate,Mit einem sauberen Blatt beginnen.,"Nachdem sie sich entschuldigt hatten, beschlossen sie, mit einem sauberen Blatt anzufangen und ihre Freundschaft wieder aufzubauen.","Der Künstler entschied sich, mit einem sauberen Blatt anzufangen, indem er die Tafel abwischte.",להתחיל מצדף נקי,"לאחר התנצלותם, הם החליטו להתחיל מחדש ולבנות את הידידות שלהם מחדש."
clean sweep,an irresistible victory,The team [[made a clean sweep]] by winning all the matches in the tournament,The janitor [[made a clean sweep]] of the classroom floor,The team made a clean sweep by winning all the matches in the tournament,The janitor made a clean sweep of the classroom floor,made a clean sweep,machte einen sauberen Schnitt,"Das Team hat einen sauberen Sieg errungen, indem es alle Spiele im Turnier gewonnen hat.",Der Hausmeister hat den Klassenraumboden gründlich gekehrt.,עשה ניקיון מוחלט,הקבוצה עשתה ניקיון מוחלט על ידי זכייה בכל המשחקים בטורניר.
clear the air,get rid of all doubts and negative feelings,"After the argument, [[we cleared the air with her]] by discussing our feelings",[[We cleared the air with her]] by opening the windows to let the smoke out,"After the argument, we cleared the air with her by discussing our feelings",We cleared the air with her by opening the windows to let the smoke out,we cleared the air with her,Wir haben mit ihr Klartext geredet.,"Nach dem Streit haben wir mit ihr die Luft geklärt, indem wir unsere Gefühle besprochen haben.","Wir haben die Luft mit ihr geklärt, indem wir die Fenster geöffnet haben, um den Rauch herauszulassen.",טהרנו את האוויר עם היא.,"אחרי הווכחה, ניקינו את האוויר עם היא על ידי דיון ברגשות שלנו."
clear the decks,get ready for action.,[[We cleared the decks for the event]] by finishing all our pending tasks,[[We cleared the decks for the event]] by removing all the furniture from the patio,We cleared the decks for the event by finishing all our pending tasks,We cleared the decks for the event by removing all the furniture from the patio,We cleared the decks for the event,Wir haben das Deck für das Ereignis geräumt.,"Wir haben das Deck für das Ereignis freigeräumt, indem wir alle unsere ausstehenden Aufgaben erledigt haben.","Wir haben das Deck für die Veranstaltung geräumt, indem wir alle Möbel von der Terrasse entfernt haben.",פנינו את הסירות לאירוע.,סידרנו את המצודות לאירוע על ידי השלמת כל המשימות הממתינות לנו.
close call,a narrow escape from disaster,He [[had a close call]] when he narrowly avoided a car accident,The two phones [[had a close call]] when they were placed side by side,He had a close call when he narrowly avoided a car accident,The two phones had a close call when they were placed side by side,had a close call,hatte eine knappe Begegnung,"Er hatte eine knappe Begegnung, als er nur knapp einen Autounfall vermied.","Die beiden Telefone hatten eine knappe Begegnung, als sie nebeneinander platziert wurden.",היה לי חוויה קרובה.,הוא חווה חוויה קרובה כשהוא בצורה צרה המנע מתאונת רכב.
cloud on the horizon,"a problem or difficulty that is predictable, or seems likely to arise in the future","Despite the success of the project, there was [[a cloud on the horizon]] in the form of budget cuts","As we looked out to sea, we noticed [[a cloud on the horizon]] signaling an approaching storm","Despite the success of the project, there was a cloud on the horizon in the form of budget cuts","As we looked out to sea, we noticed a cloud on the horizon signaling an approaching storm",a cloud on the horizon,eine Wolke am Horizont,Trotz des Erfolgs des Projekts gab es eine Wolke am Horizont in Form von Budgetkürzungen.,"Als wir auf das Meer hinausschauten, bemerkten wir eine Wolke am Horizont, die auf einen herannahenden Sturm hinwies.",ענן על האופק,"למרות הצלחת הפרויקט, הייתה ענן על האופק בצורת חתכות בתקציב."
coast is clear,there is no danger in sight or that nobody can see you,"After the security guard left, we knew [[the coast is clear]] to enter the building","Looking through the binoculars, the sailor confirmed that [[the coast is clear]] of any obstacles","After the security guard left, we knew the coast is clear to enter the building","Looking through the binoculars, the sailor confirmed that the coast is clear of any obstacles",the coast is clear,Die Küste ist frei.,"Nachdem der Sicherheitsbeamte gegangen war, wussten wir, dass die Küste frei war, um das Gebäude zu betreten.","Durch das Fernglas schauend, bestätigte der Seemann, dass die Küste frei von Hindernissen ist.",החוף פנוי,"לאחר שהשומר האבטחה עזב, ידענו שהחוף פנוי לכניסה לבניין."
coin money,make a great deal of money easily or very quickly.,Their successful business venture had them [[coining money together]] in no time,"As mint workers, they were [[coining money together]] at the factory",Their successful business venture had them coining money together in no time,"As mint workers, they were coining money together at the factory",coining money together,Gemeinsam Geld prägen.,Ihr erfolgreiches Geschäftsunternehmen brachte ihnen gemeinsam in kürzester Zeit viel Geld ein.,Als Münzarbeiter haben sie gemeinsam in der Fabrik Geld geprägt.,מטבע משותף,ההשקעה המצליחה שלהם בעסק הביאה להם להרוויח כסף ביחד בזמן קצר.
cold feet,loss of courage,[[She got cold feet]] just before her big presentation,"After walking in the snow without proper shoes, [[she got cold feet]]",She got cold feet just before her big presentation,"After walking in the snow without proper shoes, she got cold feet",She got cold feet,Sie bekam kalte Füße.,Sie bekam kalte Füße kurz vor ihrer großen Präsentation.,"Nachdem sie ohne geeignete Schuhe im Schnee gelaufen war, bekam sie kalte Füße.",היא נמלצה,היא נבהלה בדקה האחרונה לפני ההצגה הגדולה שלה.
cold turkey,in a unexpected and sudden way,He quit smoking by [[going cold turkey]] without any assistance,"She was [[going cold turkey]] for her sandwich, but decided to add some cheese",He quit smoking by going cold turkey without any assistance,"She was going cold turkey for her sandwich, but decided to add some cheese",going cold turkey,"""Kalt entziehen""","Er hörte auf zu rauchen, indem er auf eigene Faust aufhörte, ohne jegliche Unterstützung.","Sie wollte ihr Sandwich ohne Belag essen, entschied sich dann aber doch, etwas Käse hinzuzufügen.",המעבר לצרור קרח.,"הוא עזב את העישון על ידי הפסקת כל הקשרים והתמיכה, בלי עזרה מצד אחרים."
come across,to meet someone,"While researching, I [[came across the old book]] that provided valuable information","Walking through the library, I accidentally stepped on and [[came across the old book]] lying on the floor","While researching, I came across the old book that provided valuable information","Walking through the library, I accidentally stepped on and came across the old book lying on the floor",came across the old book,Stieß auf das alte Buch.,"Während meiner Recherche stieß ich auf das alte Buch, das wertvolle Informationen lieferte.","Als ich durch die Bibliothek ging, trat ich versehentlich auf das alte Buch, das auf dem Boden lag und stieß darauf.",נתקלתי בספר הישן,"במהלך המחקר שלי, נתקלתי בספר ישן שסיפק מידע יקר."
come clean,to make a disclosure,"After hiding the truth for so long, he [[decided to come clean]] about his past","After playing in the mud, the kids [[decided to come clean]] and took a bath","After hiding the truth for so long, he decided to come clean about his past","After playing in the mud, the kids decided to come clean and took a bath",decided to come clean,"entschieden, reinen Tisch zu machen","Nachdem er die Wahrheit so lange versteckt hatte, entschied er sich, reinen Tisch über seine Vergangenheit zu machen.","Nachdem sie im Schlamm gespielt hatten, beschlossen die Kinder, sauber zu werden und nahmen ein Bad.",החליט להיות כנה,"לאחר שהסתיר את האמת למשך זמן רב, הוא החליט להיות כנה לגבי העבר שלו."
come down with,to have (usually a disease),He [[came down with something]] after being exposed to the cold weather,The kite [[came down with something]] tangled in its strings,He came down with something after being exposed to the cold weather,The kite came down with something tangled in its strings,came down with something,Ich habe etwas erwischt.,"Er hat sich etwas eingefangen, nachdem er der Kälte ausgesetzt war.",Der Drachen kam mit etwas verwickelt in seinen Schnüren herunter.,ירד עם משהו,הוא התחיל להרגיש משהו לא טוב לאחר שהוצף למזג האקראי.
come full circle,return to an earlier position or decision.,"After years of exploring different career paths, she [[came full circle]] and returned to her passion for teaching",The hiker [[came full circle]] after walking around the entire circumference of the lake,"After years of exploring different career paths, she came full circle and returned to her passion for teaching",The hiker came full circle after walking around the entire circumference of the lake,came full circle,kam vollständig zurück,Nach Jahren des Erkundens verschiedener Karrierewege kam sie wieder zum Ausgangspunkt zurück und kehrte zu ihrer Leidenschaft für das Unterrichten zurück.,Der Wanderer kam nach einem Spaziergang um den gesamten Umfang des Sees wieder zum Ausgangspunkt zurück.,הגיע למעגל המלא,"לאחר שנים של חקירת מסלולי קריירה שונים, היא חזרה למעגל המלא וחזרה לתחום ההוראה שהוא התשוקה שלה."
come out swinging,be confrontational,"After the criticism, [[he came out swinging]] with a strong rebuttal","As soon as the boxing match started, [[he came out swinging]] at his opponent","After the criticism, he came out swinging with a strong rebuttal","As soon as the boxing match started, he came out swinging at his opponent",he came out swinging,Er kam schwingend heraus.,Nach der Kritik legte er mit einer starken Widerlegung los.,"Sobald der Boxkampf begann, kam er schwingend auf seinen Gegner zu.",הוא יצא תוקף,"אחרי הביקורת, הוא יצא לתקוף עם תשובה חזקה."
cook his goose,to spoil someone's chances of success,"When he was caught cheating, his teacher [[cooked his goose]] by failing him","For dinner, the chef [[cooked his goose]] with a delicious orange sauce","When he was caught cheating, his teacher cooked his goose by failing him","For dinner, the chef cooked his goose with a delicious orange sauce",cooked his goose,hat ihm den Garaus gemacht,"Als er beim Schummeln erwischt wurde, hat sein Lehrer ihm einen Strich durch die Rechnung gemacht, indem er ihn durchfallen ließ.",Zum Abendessen kochte der Chef seine Gans mit einer köstlichen Orangensauce.,בישל את הגוז שלו.,"כשנתפס בהכירה, המורה שלו גרם לו להפסיד את הציון וכך גמר את העניין."
cool heels,to wait or take rest,They [[were cooling their heels]] in the waiting room before the interview,"After walking on hot sand, they [[were cooling their heels]] in the ocean water",They were cooling their heels in the waiting room before the interview,"After walking on hot sand, they were cooling their heels in the ocean water",were cooling their heels,Sie saßen auf dem Trockenen.,Sie saßen im Wartezimmer und warteten auf das Vorstellungsgespräch.,"Nachdem sie auf heißem Sand gelaufen waren, kühlten sie ihre Fersen im Meerwasser ab.",הם קרירים את עקבותיהם.,הם היו מתקררים בחדר המתנה לפני הראיון.
count chicken,make plans based on events that may or may not happen,He [[was counting chickens before they hatch]] when he started planning his victory party,The farmer [[was counting chickens before they hatch]] by estimating the number of eggs that would become chicks,He was counting chickens before they hatch when he started planning his victory party,The farmer was counting chickens before they hatch by estimating the number of eggs that would become chicks,was counting chickens before they hatch,"Ich habe Hühner gezählt, bevor sie geschlüpft sind.","Er zählte seine Hühner, bevor sie schlüpften, als er seine Siegesfeier plante.","Der Bauer zählte seine Hühner, bevor sie schlüpften, indem er die Anzahl der Eier schätzte, die zu Küken werden würden.",ספרתי תרנגולים לפני שהם יצאו מהביצה.,הוא ספר עופות לפני שהן גרמו כשהוא התחיל לתכנן את מסיבת הניצחון שלו.
crack the whip,make someone work harder by asserting power or authority,The manager [[cracked the whip on the team]] to meet the deadline,The circus performer [[cracked the whip on the team]] of horses to start the show,The manager cracked the whip on the team to meet the deadline,The circus performer cracked the whip on the team of horses to start the show,cracked the whip on the team,"""Die Peitsche auf das Team geknallt.""","Der Manager trieb das Team mit der Peitsche an, um die Frist einzuhalten.","Der Zirkusartist knallte mit der Peitsche auf das Pferdeteam, um die Show zu beginnen.",כיפוף את השוט על הצוות,המנהל נכה את השוט על הצוות כדי לעמוד במועד המסירה.
