idiom,phrase,sentence,sentence_label_gpt3,sentence_reason_gpt3,phrase_label,sentence_label,kor_Hang_idiom,kor_Hang_phrase,kor_Hang_sentence,kor_Hang_phrase_label,kor_Hang_sentence_label,kor_Hang_notes,fra_Latn_idiom,fra_Latn_phrase,fra_Latn_sentence,fra_Latn_phrase_label,fra_Latn_sentence_label,heb_Hebr_idiom,heb_Hebr_phrase,heb_Hebr_sentence,heb_Hebr_phrase_label,heb_Hebr_sentence_label,zho_Hans_idiom,zho_Hans_phrase,zho_Hans_sentence,zho_Hans_phrase_label,zho_Hans_sentence_label,yor_Latn_idiom,yor_Latn_phrase,yor_Latn_sentence,yor_Latn_phrase_label,yor_Latn_sentence_label
ate him alive,The crowd ate him alive,The crowd ate him alive with their criticism and harsh words.,0,"Here, ""ate him alive"" means to overwhelm someone with criticism.",2,0,살아서 먹었어,군중들은 그를 살아 먹었다,그 군중은 자기들의 비판과 가혹한 말들로 그를 살아 먹었다.,2,0,,Il l'a mangé vivant.,La foule l'a mangé vivant.,La foule le mange vivement avec leurs critiques et leurs paroles dures.,,,אכלו אותו בחיים.,הקהל אכל אותו בחיים.,הקהל אכל אותו בחיים עם ביקורתם וביטויים קשים.,,,吃了他活着.,群众吃了他活着.,群众用他们的批评和严厉的话活着吃了他.,,,ó jẹun rẹ̀ láàyè,Àwọn èèyàn náà jẹun rẹ̀ láàyè,Àwọn èèyàn náà fi ọ̀rọ̀ ìkà àti ọ̀rọ̀ òdì tí wọ́n sọ jí i.,,
ate him alive,The crowd ate him alive,The crowd ate him alive because they were cannibals.,1,"Here, ""ate him alive"" means to literally consume someone.",2,1,살아서 먹었어,군중들은 그를 살아 먹었다,군중들은 그를 살짝 먹었습니다. 왜냐하면 그들은 kanibals였기 때문입니다.,2,1,,Il l'a mangé vivant.,La foule l'a mangé vivant.,La foule l'a mangé vivant parce qu'ils étaient cannibales.,,,אכלו אותו בחיים.,הקהל אכל אותו בחיים.,הקהל אכל אותו חי כי הם היו קניבלים.,,,吃了他活着.,群众吃了他活着.,"群众吃了他活着,因为他们是食肉者.",,,ó jẹun rẹ̀ láàyè,Àwọn èèyàn náà jẹun rẹ̀ láàyè,Àwọn èèyàn náà jẹun rẹ̀ láàyè nítorí pé àwọn èèyàn jẹun.,,
the last straw,This was the last straw,This was the last straw for me and I can't take it anymore.,0,"Here, ""the last straw"" means the final problem or annoyance that causes someone to become angry or frustrated.",2,0,마지막 잔디,마지막 잔뜩,이건 내 마지막 잔디였어 더 이상 견딜 수가 없어,1,1,,la dernière paille,C'était la dernière paille.,C'était la dernière paille pour moi et je ne peux plus le supporter.,,,הקשת האחרונה,זה היה הקש האחרון.,זה היה הקש האחרון בשבילי ואני לא יכול לסבול יותר.,,,最后一条草,这是最后一条草.,"这是我最后一个,我不能再忍受.",,,àgbẹ̀ tó kẹ́yìn,Èyí ni ìgbẹ́yìn tí mo rí,"Èyí ni ìparun mi, mi ò sì lè fara da èyí mọ́.",,
the last straw,This was the last straw,This was the last straw that broke the camel's back.,1,"Here, ""the last straw"" means the final weight or burden that causes something to collapse or break.",2,0,마지막 잔디,마지막 잔뜩,이것이 낙타의 허리를 깨뜨린 마지막 잔디였습니다.,1,1,,la dernière paille,C'était la dernière paille.,C'était la dernière paille qui a cassé le dos du chameau.,,,הקשת האחרונה,זה היה הקש האחרון.,זה היה הקש האחרון שבר את הגב של הגמל.,,,最后一条草,这是最后一条草.,这是最后一条碎驼的背.,,,àgbẹ̀ tó kẹ́yìn,Èyí ni ìgbẹ́yìn tí mo rí,Èyí ni ọ̀pá kẹ́yìn tó fọ́ ẹṣin ràkúnmí náà.,,
fall flat,My joke fell flat,My joke fell flat when no one laughed.,0,"Here, ""fall flat"" means to fail to be successful or to have no effect.",2,0,농담이 어졌어요,농담이 어졌어요,아무도 웃지 않을 때 농담이 무너졌습니다.,3,0,"The translations of the phrases are impaired. However, the sentences translated ""fell flat"" correctly as ""broke"", which can either serve as. physical destruction or metaphorical downfall.",tomber à plat,Ma blague est tombée.,Ma blague est tombée quand personne n'a ri.,,,נפלה,הבדיחה שלי נפלה.,הבדיחה שלי נפלה כשלא צחק אף אחד.,,,倒,我的笑话倒塌了,"当没有人笑的时候,我的笑话就倒塌了.",,,ṣubú,Èrò mi ò yéé yé mi,Èrò mi ò rí bó ṣe rí nígbà tí kò sẹ́ni tó ń rẹ́rìn-ín.,,
fall flat,My joke fell flat,My joke fell flat when it hit the ground.,1,"Here, ""fall flat"" means to literally fall flat on the ground.",2,1,농담이 어졌어요,농담이 어졌어요,지상에 떨어졌을 때 농담이 무너졌어요.,3,1,"The translations of the phrases are impaired. However, the sentences translated ""fell flat"" correctly as ""broke"", which can either serve as. physical destruction or metaphorical downfall.",tomber à plat,Ma blague est tombée.,Ma blague est tombée à terre.,,,נפלה,הבדיחה שלי נפלה.,הבדיחה שלי נפלה כשנפלה על הקרקע.,,,倒,我的笑话倒塌了,"我在毁时,我的笑话就倒塌了.",,,ṣubú,Èrò mi ò yéé yé mi,Ìwà ọ̀hún ò yé mi rárá nígbà tó dé ilẹ̀.,,
picking her brains,I was picking her brains,I was picking her brains to get some advice on how to handle the situation.,0,"Here, ""picking her brains"" means to ask someone for advice or information.",2,0,그녀의 뇌를 뽑는,내가 그녀의 뇌를 고 있었어요,상황을 어떻게 처리해야 하는지에 대한 조언을 구하기 위해 그녀의 뇌를 고르고 있었습니다.,1,1,,Elle se fait des cerveaux.,Je lui ai fait des cerveaux.,Je lui ai donné des conseils sur la façon de gérer la situation.,,,אני מחפש את המוח שלה.,אני בוחר את המוח שלה.,אני בוחר את המוח שלה לקבל כמה עצות על איך להתמודד עם המצב.,,,着她的脑子,我正在挑选她的大脑.,"我正在挑选她的脑袋, 为了得到一些建议,",,,ó ń fi ọpọlọ rẹ̀ yan ohun tó ń ṣe,Mo ń yan ọpọlọ rẹ̀,Mo ń wá àwọn ìmọ̀ràn nípa bí mo ṣe lè bójú tó ọ̀ràn náà.,,
picking her brains,I was picking her brains,I was picking her brains to see what was inside her head.,1,"Here, ""picking her brains"" means to literally pick apart someone's brain.",2,1,그녀의 뇌를 뽑는,내가 그녀의 뇌를 고 있었어요,그녀의 머릿속을 찾아봤어요,1,1,,Elle se fait des cerveaux.,Je lui ai fait des cerveaux.,Je lui ai fait des recherches pour voir ce qu'elle avait à l'intérieur de sa tête.,,,אני מחפש את המוח שלה.,אני בוחר את המוח שלה.,אני בוחר את המוח שלה כדי לראות מה היה בתוך הראש שלה.,,,着她的脑子,我正在挑选她的大脑.,"我正在挑选她的大脑,看看她的脑海里有什么.",,,ó ń fi ọpọlọ rẹ̀ yan ohun tó ń ṣe,Mo ń yan ọpọlọ rẹ̀,Mo ń wá orí rẹ̀ láti rí ohun tó wà nínú èrò orí rẹ̀.,,
cut his own throat,He cut his own throat,He cut his own throat by making a decision that would hurt his business.,0,"Here, to ""cut his own throat"" means to do something that will cause harm to oneself.",2,0,자신의 목을 잘라,그는 자신의 목을 잘라내었다,그는 자신의 사업을 해칠 결정을 내리는 자신의 목을 깎았습니다.,1,1,,Il s'est coupé la gorge.,Il s'est coupé la gorge.,Il s'est coupé la gorge en prenant une décision qui nuirait à son entreprise.,,,חתך את גרונו.,הוא חתך את גרונו.,הוא חתך את גרונו על ידי החלטה שהיפגע בעסק שלו.,,,砍掉自己的喉,他自己砍了喉.,"他通过做出损害他的业务的决定,",,,ó gé ọ̀ throat ara rẹ̀,Ó gé ọ̀ throat ara rẹ̀,"Ó ṣe ìpinnu tó lè ba iṣẹ́ òun jẹ́, ó sì dá ara rẹ̀ lẹ́bi.",,
cut his own throat,He cut his own throat,He cut his own throat with a knife.,1,"Here, to ""cut his own throat"" means to make a physical cut on one's throat.",2,1,자신의 목을 잘라,그는 자신의 목을 잘라내었다,그는 칼로 자신의 목을 자르고,1,1,,Il s'est coupé la gorge.,Il s'est coupé la gorge.,Il s'est coupé la gorge avec un couteau.,,,חתך את גרונו.,הוא חתך את גרונו.,הוא חתך את גרונו עם סכין.,,,砍掉自己的喉,他自己砍了喉.,他用刀砍掉了自己的喉.,,,ó gé ọ̀ throat ara rẹ̀,Ó gé ọ̀ throat ara rẹ̀,Ó fi ọ̀bẹ gé ọrùn ara rẹ̀.,,
short fuse,He has a short fuse,He has a short fuse and gets angry easily.,0,"Here, ""short fuse"" means to have a quick temper.",2,0,단기 피우즈,저건 짧은 피우즈,그는 짧은 피우즈가 있고 쉽게 화가 나죠.,1,1,,fusible court,Il a une fusible courte.,Il a une fusible courte et se fâche facilement.,,,סיגורה קצרה,יש לו סיגול קצר.,יש לו סיגול קצר והוא כועס בקלות.,,,短插座,他有一个短的保险,"他有短的保险,很容易生气.",,,ìsọfúnni tó tóbi,Ó ní ìlàjì tó kéré gan-an.,"Ó ní ìnira tó kéré gan-an, ó sì máa ń bínú.",,
short fuse,He has a short fuse,He has a short fuse and it takes very little to set off an explosion.,1,"Here, ""short fuse"" means to have a fuse that is shorter than usual.",2,1,단기 피우즈,저건 짧은 피우즈,피우즈가 짧고 폭발이 거의 안되죠,1,1,,fusible court,Il a une fusible courte.,Il a un fusible court et il faut très peu pour déclencher une explosion.,,,סיגורה קצרה,יש לו סיגול קצר.,יש לו סיגול קצר וזה לוקח מעט מאוד כדי להפעיל פיצוץ.,,,短插座,他有一个短的保险,"他有一个短的保险,很少需要发射爆炸.",,,ìsọfúnni tó tóbi,Ó ní ìlàjì tó kéré gan-an.,"Ó ní ìnira tó kéré gan-an, kò sì gba nǹkan púpọ̀ láti mú ìbúra kan jáde.",,
got in her hair,She got in her hair,She got in her hair when she started to worry about what other people thought of her.,0,"Here, ""got in her hair"" means to cause someone to become anxious or stressed.",2,0,머리에 꽂혔어,그녀는 머리카락에,다른 사람들이 그녀를 어떻게 생각하는지 걱정하면서 그녀는 머리를 찌르고 있었습니다.,1,1,,Elle a touché ses cheveux.,Elle s'est mise dans les cheveux.,Elle s'est mise à se faire du mal quand elle s'est inquiétée de ce que les autres pensent d'elle.,,,נכנסה לשיער שלה.,היא נכנסה לשיער שלה.,היא נכנסה לשיער שלה כשהיא התחילה לדאוג מה אנשים אחרים חושבים עליה.,,,入了她的头发,她了头发.,她开始担心别人对她怎么看待.,,,ó wọ irun rẹ̀,Ó wọ irun rẹ̀,Ó bẹ̀rẹ̀ sí í ṣàníyàn nípa ohun táwọn èèyàn máa rò nípa òun.,,
got in her hair,She got in her hair,She got in her hair when she started to brush it.,1,"Here, ""got in her hair"" means to physically get into someone's hair.",2,1,머리에 꽂혔어,그녀는 머리카락에,머리가 닦을 때 머리에 꽂혔어,1,1,,Elle a touché ses cheveux.,Elle s'est mise dans les cheveux.,Elle s'est mise dans les cheveux quand elle a commencé à la brosser.,,,נכנסה לשיער שלה.,היא נכנסה לשיער שלה.,היא נכנסה לשיער שלה כשהיא החלה לשטוף אותו.,,,入了她的头发,她了头发.,"她开始刷毛时,她就在头发里.",,,ó wọ irun rẹ̀,Ó wọ irun rẹ̀,Ó wọ irun rẹ̀ nígbà tó bẹ̀rẹ̀ sí í fọ́ ọ.,,
went against the tide,He went against the tide,He went against the tide by speaking out against the majority opinion.,0,"Here, to ""go against the tide"" means to do something that is not popular or accepted.",2,0,물결에 맞게,그는 물과 맞지 않았다,그는 대다수의 의견에 반대하는 발언을 통해 흐름에 반대했습니다.,1,0,"The phrase ""against the tide"" was correctly translated in the sentence as ""against the current"", which is an idiomatic expression that exists in Korean.",Il a été contre la marée,Il a fait contre la marée.,Il a fait face à la marée en s'exprimant contre l'opinion de la majorité.,,,הלך נגד הגאות.,הוא הלך נגד הגאות.,הוא הלך נגד הגאות על ידי דיבור נגד דעת הרוב.,,,潮的冲击,他走了反潮,他反对多数人的意见.,,,ó lọ sí òkun,Ó lọ sí òdìkejì ìgbì omi,Ó ṣe ohun tó lòdì sí ohun tó ń ṣẹlẹ̀ nípa sísọ ohun tó lòdì sí èrò ọ̀pọ̀ jù lọ.,,
went against the tide,He went against the tide,He went against the tide by swimming against the current.,1,"Here, to ""go against the tide"" means to move in the opposite direction of the tide.",2,1,물결에 맞게,그는 물과 맞지 않았다,그는 전류에 대항하여 수영함으로써 물과 반대했습니다.,1,1,"The phrase ""against the tide"" was correctly translated in the sentence as ""against the current"", which is an idiomatic expression that exists in Korean.",Il a été contre la marée,Il a fait contre la marée.,Il a fait contre la marée en nageant contre le courant.,,,הלך נגד הגאות.,הוא הלך נגד הגאות.,הוא הלך נגד הגאות על ידי שחייה נגד הזרם.,,,潮的冲击,他走了反潮,他通过与电流相反游泳而反过潮流.,,,ó lọ sí òkun,Ó lọ sí òdìkejì ìgbì omi,Ó lọ sí òkun tó ń ṣàn ní àríwá òkun tó ń lúwẹ̀ẹ́.,,
saves his neck,He saved his neck,He saved his neck by finding a way to get out of the situation unscathed.,0,"Here, to ""save his neck"" means to escape a difficult situation without harm.",2,0,목을 구해,목을 구해줬어,그는 피해 없이 상황을 벗어날 수 있는 방법을 찾아서 목을 구했습니다.,1,1,,Il lui sauve le cou.,Il s'est sauvé le cou.,Il s'est sauvé le cou en trouvant un moyen de sortir de la situation indemne.,,,מציל את צווארו,הוא הציל את צווארו.,הוא הציל את צווארו על ידי מציאת דרך לצאת מהמצב ללא פגיעה.,,,拯救了他的子,他救了自己的子.,他通过找到一个无损的方法来拯救自己的子.,,,ó dá ẹ̀rùn rẹ̀ dúró,Ó dá ẹ̀rùn òun sílẹ̀,Ó rí ọ̀nà tó gbà bọ́ lọ́wọ́ ìṣòro náà.,,
saves his neck,He saved his neck,He saved his neck by wearing a scarf to protect himself from the cold.,1,"Here, to ""save his neck"" means to protect oneself from physical harm.",2,1,목을 구해,목을 구해줬어,그는 추위를 피하기 위해 셰얼을 착용함으로써 목을 구했습니다.,1,1,,Il lui sauve le cou.,Il s'est sauvé le cou.,Il a sauvé son cou en portant une écharpe pour se protéger du froid.,,,מציל את צווארו,הוא הציל את צווארו.,הוא הציל את צווארו על ידי לובש סרף כדי להגן על עצמו מהקר.,,,拯救了他的子,他救了自己的子.,"他穿上围巾来保护自己免受寒冷的伤害,拯救了自己的子.",,,ó dá ẹ̀rùn rẹ̀ dúró,Ó dá ẹ̀rùn òun sílẹ̀,Ó fi aṣọ aṣọ tó ń ṣe kó lè dáàbò bo ara rẹ̀ lọ́wọ́ òtútù pa ẹ̀rùn rẹ̀.,,
rooted to the spot,I was rooted to the spot,I was rooted to the spot when I heard the news.,0,"Here, to be ""rooted to the spot"" means to be unable to move due to shock or surprise.",2,0,뿌리 내린,저는 그 자리에 뿌리를 내렸습니다.,뉴스를 들었을 때 저는 완전히 뿌리 내렸습니다.,1,1,,enraciné à la place,J'étais enraciné dans le même endroit.,J'étais enraciné quand j'ai entendu la nouvelle.,,,שורש עד המקום,אני היה מקולקול במקום,הייתי מעוצבת במקום כששמעתי את החדשות.,,,根植到处,我被扎到那个地方,"我听到这个消息时,我就很震惊了.",,,tí a fi gbòǹgbò síbi tí ó wà,Mo ti gbin gbòǹgbò síbi tó wà,"Nígbà tí mo gbọ́ ìròyìn náà, mo bẹ̀rẹ̀ sí í ronú gan-an.",,
rooted to the spot,I was rooted to the spot,I was rooted to the spot because I was stuck in the mud.,1,"Here, to be ""rooted to the spot"" means to be physically unable to move.",2,1,뿌리 내린,저는 그 자리에 뿌리를 내렸습니다.,저는 진흙 속에 갇혀있기 때문에 그 자리에 뿌리를 내렸습니다.,1,1,,enraciné à la place,J'étais enraciné dans le même endroit.,J'étais enraciné parce que j'étais coincé dans la boue.,,,שורש עד המקום,אני היה מקולקול במקום,אני היה קשור לנקודה כי אני תקוע בבוץ.,,,根植到处,我被扎到那个地方,"我被困在泥土中,所以被根植在那个地方.",,,tí a fi gbòǹgbò síbi tí ó wà,Mo ti gbin gbòǹgbò síbi tó wà,Mo ti di ẹni tó ń gbé ní ibì kan náà torí pé mo ti dí sínú ìdọ̀tí.,,
pulled the plug,I pulled the plug,I pulled the plug on the project when I realized it was too risky.,0,"Here, to ""pull the plug"" means to end or cancel something.",2,0,플러그를 꺼내,전원을 꺼내서,너무 위험하다는 걸 깨달았을 때 프로젝트를 중단했어요.,1,0,"""Pulled the plug"" was correctly translated as ""hatled"" or ""canceled"".",J'ai tiré le bouchon,J' ai coupé la prise.,J'ai arrêté le projet quand j'ai réalisé que c'était trop risqué.,,,תוריתי את המנעול.,אני מושך את התקע.,אני הוצא את התכביעה על הפרויקט כאשר הבנתי שזה מסוכן מדי.,,,拉了插头,我把插头拉了,"我发现这项项目太危险了,",,,mo yọ ìnira náà,Mo fà á kúrò,Mo dáwọ́ iṣẹ́ náà dúró nígbà tí mo rí i pé ó léwu gan-an.,,
pulled the plug,I pulled the plug,I pulled the plug on the lamp to turn it off.,1,"Here, to ""pull the plug"" means to disconnect the power source.",2,1,플러그를 꺼내,전원을 꺼내서,전등을 끄기 위해 플러그를 꺼내버렸어요.,1,1,,J'ai tiré le bouchon,J' ai coupé la prise.,J'ai coupé la bougie pour l'éteindre.,,,תוריתי את המנעול.,אני מושך את התקע.,דחקתי את התקע על המנורה כדי לכבות אותה.,,,拉了插头,我把插头拉了,"我把灯点了,打开了灯.",,,mo yọ ìnira náà,Mo fà á kúrò,Mo yọ iná náà kúrò kí n lè pa á.,,
in stitches,I was in stitches,I was in stitches laughing at your joke.,0,"Here, ""in stitches"" means to be laughing uncontrollably.",2,0,에,을 고 있었어요,네 농담을 웃으면서 을 고 있었어요.,3,3,Impaired translations.,à la cuisse,J'étais en couture.,J'étais en train de rire de ta blague.,,,בטיפולים,הייתי בטיפול.,"הייתי בטיפוח, צוחקתי על הבדיחה שלך.",,,子,我在着,我在着着你的笑话.,,,ní àwọn òpó,Mo wà ní àpò,Mo ti ń fi ẹ̀sùn rẹ ṣe àríyànjiyàn.,,
in stitches,I was in stitches,I was in stitches because I had to sew up my shirt.,1,"Here, ""in stitches"" means to be literally sewing with a needle and thread.",2,1,에,을 고 있었어요,을 기 때문에 을 게 됐어요,3,3,Impaired translations.,à la cuisse,J'étais en couture.,J'étais cousu parce que je devais couser ma chemise.,,,בטיפולים,הייתי בטיפול.,הייתי בטיפרים כי הייתי צריך לתפור את החולצה שלי.,,,子,我在着,"我被住了,因为我不得不着衫.",,,ní àwọn òpó,Mo wà ní àpò,Mo ní kí n máa ṣe aṣọ tí wọ́n fi ń ṣe aṣọ mi.,,
last resort,I had to use the last resort,I had to use the last resort when all other options had been exhausted.,0,"Here, ""last resort"" means to use a solution only when all other options have been tried and failed.",2,0,마지막 수단,마지막 수단으로,다른 모든 선택지가 다 끝나면 마지막 수단으로 선택해야 했습니다.,0,0,The last resort was never translated as a physical resort.,dernier recours,J' ai dû utiliser le dernier recours.,J'ai dû utiliser le dernier recours quand toutes les autres options étaient épuisées.,,,סיכוי אחרון,הייתי צריך להשתמש במסלול האחרון.,הייתי צריך להשתמש במסלול האחרון כאשר כל האפשרויות האחרות היו הושלמה.,,,最后的手段,我不得不采取最后的手段,"我不得不使用最后的手段,",,,ohun tó máa gbẹ̀yìn,Mo ní láti lo ohun tó gbẹ̀yìn,Mo wá lo ohun tó kù nígbà tí gbogbo ohun tí mo lè ṣe tán.,,
last resort,I had to use the last resort,I had to use the last resort because it was the only one left.,1,"Here, ""last resort"" means to use the only remaining option.",2,0,마지막 수단,마지막 수단으로,"마지막 수단으로 선택해야 했었는데, 남은 유일한 수단이었기 때문입니다.",0,0,The last resort was never translated as a physical resort.,dernier recours,J' ai dû utiliser le dernier recours.,J'ai dû utiliser le dernier recours car c'était le seul qui restait.,,,סיכוי אחרון,הייתי צריך להשתמש במסלול האחרון.,הייתי צריך להשתמש במסלול האחרון כי זה היה היחיד שנשאר.,,,最后的手段,我不得不采取最后的手段,"我不得不选择最后的手段,因为它是唯一的选择.",,,ohun tó máa gbẹ̀yìn,Mo ní láti lo ohun tó gbẹ̀yìn,Mo wá lo ọ̀nà tó gbẹ̀yìn torí pé òun nìkan ló kù.,,
wet behind the ears,He's still wet behind the ears,"He's still wet behind the ears, so he doesn't have much experience in this field.",0,"Here, ""wet behind the ears"" means to be inexperienced or naive.",2,0,귀 뒤에 젖은,귀 뒤에 젖은 채로,아직 귀 뒤에 젖은 상태니까 이 분야에서 경험이 많지 않아,1,1,,mouillé derrière les oreilles,Il est encore mouillé derrière les oreilles.,"Il est encore mouillé derrière les oreilles, donc il n'a pas beaucoup d'expérience dans ce domaine.",,,רטוב מאחורי האוזניים,הוא עדיין רטוב מאחורי האוזניים.,"הוא עדיין רטוב מאחורי האוזניים, אז אין לו הרבה ניסיון בתחום הזה.",,,耳朵背后湿,他仍然在耳朵后面湿,"他仍然在耳朵后湿,所以他没有很多经验.",,,wọ́n ń wọ́n ní ẹ̀yìn etí,Ó ṣì ń ṣe dáadáa nílẹ̀,"Ó ṣì ń ṣe dáadáa, torí náà kò ní ìrírí nínú ọ̀ràn yìí.",,
wet behind the ears,He's still wet behind the ears,He's still wet behind the ears because he just came out of the shower.,1,"Here, ""wet behind the ears"" means to be literally wet behind the ears.",2,1,귀 뒤에 젖은,귀 뒤에 젖은 채로,"아직 귀 뒤에 젖은데, 샤워에서 나왔기 때문이야",1,1,,mouillé derrière les oreilles,Il est encore mouillé derrière les oreilles.,Il est encore mouillé derrière les oreilles parce qu'il vient de sortir de la douche.,,,רטוב מאחורי האוזניים,הוא עדיין רטוב מאחורי האוזניים.,הוא עדיין רטוב מאחורי האוזניים כי הוא בדיוק יצא מהמקלחת.,,,耳朵背后湿,他仍然在耳朵后面湿,"他仍然在耳朵后湿,因为他刚刚从淋浴中出来.",,,wọ́n ń wọ́n ní ẹ̀yìn etí,Ó ṣì ń ṣe dáadáa nílẹ̀,"Ó ṣì ń ṣe omi lójú ẹ̀, torí pé ó ṣẹ̀ṣẹ̀ jáde látinú ìwẹ̀.",,
a roof over your head,I need a roof over my head,I need a roof over my head to feel secure and safe.,0,"Here, ""a roof over your head"" means to have a place to live.",2,0,머리 위에 지붕이 있는,머리 위에 지붕이 필요해,안전하고 안전하다고 느끼기 위해 머리 위에 지붕이 필요합니다.,1,1,,un toit sur la tête,J' ai besoin d' un toit au-dessus de ma tête,J'ai besoin d'un toit pour me sentir en sécurité.,,,גג מעל הראש שלך,אני צריך גג מעל הראש שלי.,אני צריך גג מעל הראש כדי להרגיש בטוח ובטוח.,,,一个屋顶在你的头上,我需要一个屋顶.,"我需要一个屋顶,让我感到安全.",,,ilé kan lórí orí rẹ,Mo nílò ààfin lórí orí mi,Mo nílò ààfin kan láti máa gbé orí mi ró kí n lè máa rí ara mi ní ààbò.,,
a roof over your head,I need a roof over my head,I need a roof over my head to protect me from the rain.,1,"Here, ""a roof over your head"" means to have a physical structure to provide shelter.",2,1,머리 위에 지붕이 있는,머리 위에 지붕이 필요해,내 머리 위에 지붕이 필요해 비가 내리지 않도록,1,1,,un toit sur la tête,J' ai besoin d' un toit au-dessus de ma tête,J'ai besoin d'un toit sur ma tête pour me protéger de la pluie.,,,גג מעל הראש שלך,אני צריך גג מעל הראש שלי.,אני צריך גג מעל הראש כדי להגן עליי מהגשם.,,,一个屋顶在你的头上,我需要一个屋顶.,我需要一个屋顶保护我免受雨.,,,ilé kan lórí orí rẹ,Mo nílò ààfin lórí orí mi,Mo nílò ààfin lórí orí mi láti dáàbò bo mi kúrò nínú òjò.,,
looks on the bright side,He looks on the bright side,"He looks on the bright side of life, even when things don't go his way.",0,"Here, to ""look on the bright side"" means to remain optimistic in difficult situations.",2,0,밝은 면으로 보아,그는 밝은 면을 바라보고 있습니다,그는 삶의 밝은 면을 바라보고 있습니다. 비록 일이 그의 방식으로 진행되지 않을 때에도 말이죠.,2,0,,Il est clair,Il regarde du bon côté.,"Il regarde le bon côté de la vie, même quand les choses ne vont pas comme il veut.",,,נראה בצד בהיר,הוא מסתכל בצד האופיי.,"הוא מסתכל על הצד החיובי של החיים, גם כאשר הדברים לא הולכים בדרך שלו.",,,看到一个好处,他看着光明的面,"他看着生活的光明面,即使事情不顺利.",,,ó máa ń rí ojú rere,Ó ń wo ojú rere,"Ó máa ń wo ọ̀nà tó dára jù lọ nínú ìgbésí ayé, kódà nígbà tí nǹkan ò bá rí bó ṣe yẹ.",,
looks on the bright side,He looks on the bright side,"He looks on the bright side of the room, where the sun is shining through the window.",1,"Here, to ""look on the bright side"" means to focus on the positive aspects of a situation.",2,0,밝은 면으로 보아,그는 밝은 면을 바라보고 있습니다,"그는 방의 밝은 쪽을 바라보고, 태양이 창을 통해 빛나는 곳.",2,1,,Il est clair,Il regarde du bon côté.,"Il regarde le côté lumineux de la pièce, où le soleil brille par la fenêtre.",,,נראה בצד בהיר,הוא מסתכל בצד האופיי.,"הוא מסתכל על הצד הנור של החדר, שבו השמש זורחת דרך החלון.",,,看到一个好处,他看着光明的面,"他看着房间的明亮面,太阳在窗户里闪耀.",,,ó máa ń rí ojú rere,Ó ń wo ojú rere,"Ó ń wo apá tó mọ́lẹ̀ nínú yàrá náà, níbi tí oòrùn ti ń tàn lójú fèrèsé.",,
pulls the plug,He pulled the plug,He pulled the plug on the project when he realized it was too expensive.,0,"Here, to ""pull the plug"" means to end or cancel something.",2,0,꽂을 수 있습니다,그는 플러그를 꺼내,그는 너무 비싸다는 것을 깨달았을 때 프로젝트를 중단했습니다.,1,0,,Il tire la prise.,Il a coupé la boucle.,Il a arrêté le projet quand il a réalisé que c'était trop cher.,,,תוציא את התקע,הוא הוציא את התקע.,הוא הוריד את התקע על הפרויקט כשהוא הבין שזה יקר מדי.,,,拉开插头,他把插头拉了,"他发现项目太贵了,就把项目关了.",,,ó mú ìnira náà kúrò,Ó mú ìnira náà kúrò,Ó dáwọ́ iṣẹ́ náà dúró nígbà tó rí i pé ó ti díye gan-an.,,
pulls the plug,He pulled the plug,He pulled the plug on the machine to turn it off.,1,"Here, to ""pull the plug"" means to disconnect the power source.",2,1,꽂을 수 있습니다,그는 플러그를 꺼내,그는 기계의 플러그를 꺼내버렸습니다.,1,1,,Il tire la prise.,Il a coupé la boucle.,Il a coupé la prise de la machine pour l'éteindre.,,,תוציא את התקע,הוא הוציא את התקע.,הוא הוציא את התקע במכונה כדי לכבות אותה.,,,拉开插头,他把插头拉了,"他把电脑插起来,打开了电机.",,,ó mú ìnira náà kúrò,Ó mú ìnira náà kúrò,Ó mú ìnira náà kúrò láti pa á.,,
breaking a leg,He broke a leg,He broke a leg when he gave an amazing performance on stage.,0,"Here, ""breaking a leg"" means to wish someone good luck.",2,0,다리를 깨는 것,다리를 깨고,그는 무대에서 놀라운 공연을 할 때 다리를 깰 때였습니다.,1,1,,briser une jambe,Il a cassé une jambe.,Il a cassé une jambe quand il a donné une performance incroyable sur scène.,,,שבר ברגל,הוא שבר רגל.,הוא שבר רגל כשהוא הופיע מדהים על הבמה.,,,打破腿,他打破了一条腿.,"他在舞台上表演时,摔了一条腿.",,,pípa ẹsẹ̀,Ó já ẹsẹ̀ kan.,Ó já ẹsẹ̀ kan nígbà tó ń ṣe ohun tó jọni lójú lórí pèpéle.,,
breaking a leg,He broke a leg,He broke a leg when he fell off the ladder.,1,"Here, ""breaking a leg"" means to have a literal fracture in the leg.",2,1,다리를 깨는 것,다리를 깨고,계단에서 떨어졌을 때 다리가 깨졌어요.,1,1,,briser une jambe,Il a cassé une jambe.,Il a cassé une jambe quand il est tombé de l'échelle.,,,שבר ברגל,הוא שבר רגל.,הוא שבר רגל כשהוא נפל מהסולם.,,,打破腿,他打破了一条腿.,他从楼梯下跌时摔了一条腿.,,,pípa ẹsẹ̀,Ó já ẹsẹ̀ kan.,Ó já ẹsẹ̀ kan nígbà tó ṣubú láti ojú ìlà.,,
