idiom,freq,meaning
watch [pron] language,5,"be careful of what one says, as it could be offensive or inappropriate."
blood is thicker than water,5,family relationships are more important than any other relationships.
basket case,5,a person or situation that is in a state of complete disarray or chaos.
burn candles at both ends,5,"work or study excessively, often leading to exhaustion."
be a sport,5,"be generous, cooperative, and willing to help."
swim against [pron] tide,5,go against the majority opinion or trend.
butter up,5,to flatter someone in order to gain favor.
dead loss,5,a situation or person that is completely useless or hopeless.
black sheep,5,a person who is seen as a disgrace to a family or group.
an eye for an eye,5,retaliation in kind; the idea that a person who has been wronged should be given the same punishment as the wrongdoer.
alphabet soup,5,a confusing situation with many acronyms and abbreviations.
all together now,5,everyone should do something at the same time.
wear off,5,gradually decrease in intensity or effectiveness.
turn back [pron] clock,5,go back in time to a previous point in one's life.
name [pron] day,5,a day when someone is celebrated or honored.
sell [pron] soul to [pron] devil,5,make a deal with someone that involves sacrificing one's principles or values in exchange for something desired.
dead right,5,completely correct.
lift [pron] curtain,5,reveal something that was previously hidden or unknown.
fight like cat and dog,5,constantly argue and disagree with each other.
forbidden fruit,5,something that is attractive because it is not allowed or is off limits.
leave no stone unturned,5,to make a thorough effort to find something or to achieve a goal.
leave [pron] nest,5,leave the home of one's parents and become independent.
have [pron] blast,5,have a great time.
know [pron] ropes,5,be familiar with the rules and procedures of a particular situation.
eat humble pie,5,admit one's mistakes and apologize for them humbly.
have eyes only for,5,only have romantic feelings for one person.
quake in [pron] boots,5,be extremely scared or nervous.
have friends in high places,5,have influential connections with people in positions of power.
fan [pron] flames,5,encourage someone to become more passionate or excited about something.
go bananas,5,to become very excited or angry.
kangaroo court,5,a mock court in which the proceedings are biased and unjust.
jump in at [pron] deep end,5,to take on a difficult task without any prior experience or preparation.
jump [pron] gun,5,act too quickly or prematurely.
party animal,5,someone who loves to attend parties and social gatherings.
join [pron] club,5,become part of a group or activity that someone else is already involved in.
filthy rich,5,extremely wealthy.
fight [pron] good fight,5,"try one's best to achieve a goal, even if it is difficult or unlikely to be successful."
ride shotgun,5,to sit in the front passenger seat of a car.
gain ground,5,"make progress, especially in a difficult situation."
middle of the road,5,"a moderate or non-committal approach to something, avoiding extremes."
go out on [pron] limb,5,"take a risk, especially one that could have serious consequences."
dice with death,5,"take a great risk, especially one that could lead to death."
play cat and mouse,5,"to engage in a game of pursuit, where one person is trying to catch the other."
pop [pron] question,5,ask someone to marry you.
never-never land,5,a place or situation that is not real or attainable.
play away from home,5,engage in activities outside of one's usual environment or comfort zone.
sacred cow,5,"an idea, institution, or person that is treated with too much respect and not allowed to be criticized or changed."
gender bender,5,someone who does not conform to traditional gender roles.
love to death,5,"to love someone or something too much, to the point of being overbearing."
run like [pron] wind,5,move very quickly.
paint [pron] town red,5,"have a wild night out with friends, usually involving a lot of drinking and partying."
made of money,5,very wealthy
draw in [pron] horns,5,to become more cautious or conservative in one's actions or decisions.
drink like [pron] fish,5,drink a lot of alcohol.
drop [pron] bombshell,5,reveal a shocking or unexpected piece of information.
pigs might fly,5,something that is impossible or highly unlikely to happen.
drop [pron] subject,5,stop talking about a particular topic or person.
god forbid,4,expressing a wish that something unpleasant or undesirable does not happen.
have [pron] whale of [pron] time,4,have a great time.
have [pron] guts,4,have the courage to do something difficult or dangerous.
beach bum,4,"a person who spends a lot of time at the beach, usually for leisure activities."
big wheel,4,a person of influence or importance.
trip [pron] light fantastic,4,dance joyfully and energetically.
trouble and strife,4,a term of endearment used to refer to one's spouse or significant other.
bend [pron] law,4,stretch the rules or regulations to one's advantage.
keep body and soul together,4,"manage to survive, especially in difficult circumstances."
have kittens,4,to become extremely anxious or worried.
alley cat,4,a person who is wild and unpredictable.
nail it,4,successfully complete a task or achieve a goal.
money talks,4,wealth and power can influence decisions and outcomes.
work like [pron] charm,4,work very effectively and efficiently.
a load of cobblers,4,something that is not true or is nonsense.
a safe pair of hands,4,someone who is reliable and trustworthy and can be relied upon to do a good job.
meet [pron] waterloo,4,experience a complete and total defeat or failure.
no spring chicken,4,not young anymore.
not bat [pron] eyelid,4,show no reaction or emotion.
all thumbs,4,clumsy or awkward with one's hands.
let [pron] heart rule [pron] head,4,make decisions based on emotions rather than logic.
old chestnut,4,"a story, joke, or problem that has been heard or seen many times before."
hit [pron] nail on [pron] head,4,accurately identify or describe something.
laugh up [pron] sleeve,4,secretly feel or show amusement at someone or something.
kiss and make up,4,resolve a conflict and restore a friendly relationship.
watch [pron] clock,4,"pay close attention to the time, especially when it is running out."
kill time,4,to pass time in an unproductive or unenjoyable way.
kick [pron] bucket,4,die
walk of life,4,the type of job or lifestyle someone has.
bag of bones,4,a person who is very thin and frail.
ignorance is bliss,4,not knowing something can be more comfortable than knowing it.
be in black and white,4,be clearly stated and understood.
be in deep water,4,be in a difficult situation or in trouble.
dark horse,4,a person or thing that unexpectedly achieves success or prominence.
play devil's advocate,4,to argue a position or opinion that one does not necessarily agree with in order to explore all sides of an issue.
give [pron] [pron] cold shoulder,4,treat someone with indifference or hostility.
carry [pron] ball,4,"take responsibility for something, especially when others are not willing to do so."
bury [pron] hatchet,4,resolve a conflict and make peace with someone.
running battle,4,a long-term conflict or dispute that continues over a period of time.
fight fire with fire,4,respond to aggression with aggression.
stir up [pron] hornets' nest,4,do something that will cause a lot of trouble or anger.
cost [pron] arm and [pron] leg,4,be very expensive.
come to blows,4,engage in physical violence.
cat burglar,4,"a thief who steals items of value from buildings, usually by entering through a window or other opening."
swing by,4,to make a brief visit to a place.
poison pill,4,a strategy or action taken to make a situation or company unattractive to an unwelcome takeover.
chicken out,4,to back out of something due to fear or lack of courage.
slice of life,4,"a representation of reality, usually in the form of a story or film, that is intended to be realistic and relatable."
easy on the eye,4,pleasing to look at.
come out of [pron] woodwork,4,"to suddenly appear or become known, especially after a period of obscurity or inactivity."
draw fire,4,attract criticism or hostility.
sweat blood,4,work extremely hard and put in a lot of effort.
silver fox,4,an attractive older man.
cream of the crop,4,the best of a group or collection.
blue-eyed boy,4,a person who is favored or preferred by someone in a position of authority.
burn [pron] midnight oil,4,work late into the night.
bottle and glass,4,a phrase used to describe a situation where two people are in a close relationship.
scrape together,4,gather or accumulate something with difficulty or by using all available resources.
scarlet woman,3,a woman who is considered to be immoral or promiscuous.
bet [pron] bottom dollar,3,be absolutely certain of something.
clock out,3,to finish work for the day and leave the workplace.
son of a gun,3,an expression of surprise or admiration.
familiarity breeds contempt,3,being too familiar with someone or something can lead to a lack of respect or appreciation.
shake in [pron] shoes,3,be very scared or nervous about something.
smell [pron] rat,3,suspect that someone is up to something dishonest or untrustworthy.
reinvent [pron] wheel,3,"to do something that has already been done before, usually in a more complicated or inefficient way."
come out of [pron] closet,3,"acknowledge one's true identity, especially when it is different from what was previously assumed or publicly known."
skid row,3,"a poor and run-down area of a city, usually inhabited by homeless people."
come rain or shine,3,"no matter what the circumstances, something will happen."
easy on the ear,3,pleasing to listen to.
make hay while the sun shines,3,take advantage of a good opportunity while it is available.
[pron] place in [pron] sun,3,give someone recognition or praise for their accomplishments.
red flag,3,a warning sign that something is wrong or potentially dangerous.
read [pron] riot act,3,scold someone severely for their misbehavior.
put [pron] cart before [pron] horse,3,do things in the wrong order or prioritize the wrong things.
man in blue,3,a police officer
scream blue murder,3,shout or yell very loudly and angrily.
stranger things have happened,3,it is possible that something unexpected or unlikely could occur.
have big ears,3,"to be a good listener, to pay attention to what is being said."
hit [pron] sack,3,go to bed.
hocus pocus,3,a phrase used to describe something that is done in a mysterious or magical way.
bad egg,3,a person who is not trustworthy or reliable.
man of means,3,a wealthy person.
icing on the cake,3,something extra that makes a situation even better than it already is.
bring [pron] curtain down,3,"end something, usually a performance or presentation."
cash cow,3,a business or product that generates a steady and reliable income.
raise eyebrows,3,express surprise or disapproval.
virgin territory,3,a place or situation that is new and unexplored.
yes man,3,"someone who always agrees with their boss or superior, regardless of the situation."
cut [pron] mustard,2,succeed in meeting a certain standard or expectation.
men in suits,2,people in positions of power or authority.
curiosity killed the cat,2,being too inquisitive can lead to trouble.
chew [pron] cud,2,think deeply and reflect on something.
syrup of figs,2,a phrase used to describe something that is pleasant and soothing.
not in a million years,2,absolutely not; never.
get religion,2,to become very serious and devoted to a particular belief system or cause.
gas up,2,to fill up a vehicle with fuel.
that makes two of us,2,I agree with you.
take [pron] stab at,2,try one's best to do something.
take [pron] hike,2,tell someone to go away or leave.
flog [pron] dead horse,2,continue to discuss or debate a topic that has already been resolved.
[pron] bottom line is,2,the most important point or conclusion.
rabbit hole,2,a situation or activity that is difficult to escape from or that leads to a complex and confusing situation.
hit [pron] ceiling,2,reach the maximum level of success or achievement that one can attain.
carpe diem,2,seize the day; make the most of the present moment.
be [pron] item,2,be a couple or romantically involved with someone.
hold your horses,2,wait a moment; be patient.
every cloud has a silver lining,2,every difficult situation has a positive aspect.
love nest,2,a place where two people in a romantic relationship live together.
great minds think alike,1,people who are similarly intelligent or creative often have similar ideas or opinions.
act of god,1,"an event that is beyond human control, such as a natural disaster."
