idiom,meaning
a new lease of life,a new opportunity to start fresh and make changes in one's life.
on the record,to make a statement that is officially recorded and can be used as evidence.
volte face,a complete reversal of opinion or course of action.
tough love,"a form of discipline that is strict and firm, but ultimately done out of love and care for the person."
green light,give permission or approval to proceed with a plan.
glass ceiling,an unacknowledged barrier that prevents a certain group from rising to a higher level of power or success.
gut feeling,an instinctive feeling or intuition about something.
love child,a child born out of wedlock.
under the wire,just in time; at the last possible moment.
under construction,in the process of being built or developed.
all the way,"completely, to the fullest extent."
so far so good,things are going well up to this point.
about face,a sudden and complete change of opinion or direction.
many happy returns,wishing someone a happy birthday.
ray of sunshine,a person who brings joy and happiness to a situation.
off the hook,no longer held responsible or accountable for something.
greener pastures,a better situation or opportunity than the one currently being experienced.
business as usual,"continue to operate as normal, despite any changes or disruptions."
skin and bones,very thin and emaciated.
the last straw,the final event or action that causes a situation to become unbearable.
date rape,a form of sexual assault in which the perpetrator is someone the victim is in a romantic relationship with or is dating.
dream ticket,an ideal combination of people or things that would be perfect for a particular situation.
bag of bones,a person who is very thin and frail.
nuts and bolts,the basic details or fundamentals of something.
live and learn,gain knowledge and experience from mistakes and successes.
in the wake of,"as a result of, following."
above suspicion,beyond reproach; having no suspicion of wrongdoing.
on thin ice,"in a precarious situation, at risk of making a mistake or getting into trouble."
nine times out of ten,almost always; usually.
fair enough,acknowledgement that something is reasonable or acceptable.
on the wagon,abstaining from alcohol or other substances.
state of the art,the most advanced and up-to-date technology or equipment available.
sixth sense,the ability to understand or know something without any proof or evidence.
mumbo jumbo,language or words that are difficult to understand and are used to confuse or deceive someone.
a safe pair of hands,someone who is reliable and trustworthy and can be relied upon to do a good job.
achilles heel,a person's weak spot or vulnerability.
act of god,"an event that is beyond human control, such as a natural disaster."
come rain or shine,"no matter what the circumstances, something will happen."
all the more,even more so; to an even greater degree.
on cloud nine,feeling extremely happy and content.
pull yourself together,regain control of your emotions and behavior.
a blessing in disguise,a good thing that initially seemed bad.
picture of health,a person who is in excellent physical and mental health.
pressed for time,having very little time to complete a task.
ill-gotten gains,money or other benefits that were obtained illegally or unethically.
silver bullet,a simple solution to a complex problem.
done to death,overused to the point of being trite or boring.
pie in the sky,an unrealistic hope or dream that is unlikely to come true.
break a leg,wish someone good luck
right as rain,in perfect condition or health.
green with envy,feeling very jealous of someone else's success or possessions.
old hat,something that is no longer new or interesting.
perfect pitch,the ability to accurately identify or reproduce a given musical note without the use of an external reference.
behave yourself,act in an appropriate manner.
larger than life,having an impressive or grandiose presence.
god knows,used to express one's uncertainty or lack of knowledge about something.
thumbs down,express disapproval or rejection of something.
thumbs up,an expression of approval or agreement.
tongue in cheek,"said or done in a humorous way, not to be taken seriously."
filthy rich,extremely wealthy.
make hay while the sun shines,take advantage of a good opportunity while it is available.
bolt from the blue,something that happens unexpectedly and without warning.
in cahoots with,working together in secret to achieve a goal.
a storm in a teacup,a situation that is made to seem much more serious or important than it really is.
bad blood,a feeling of animosity or hostility between two people or groups.
fall from grace,"to lose the favor or respect of someone or something, usually due to a mistake or wrongdoing."
above the law,not subject to the same rules and regulations as everyone else.
made of money,very wealthy
safe and sound,unharmed and in good condition.
young at heart,"having a youthful outlook and enthusiasm, regardless of age."
self explanatory,clear and understandable without needing further explanation.
brass tacks,get to the point; focus on the practical details.
time flies,the passing of time seems to go quickly.
red ink,a financial loss or deficit.
great minds think alike,people who are similarly intelligent or creative often have similar ideas or opinions.
alphabet soup,a confusing situation with many acronyms and abbreviations.
the letter of the law,"adhering strictly to the exact wording of a law or rule, without considering the spirit or intent of the law."
all set,ready to go or begin something.
out of this world,extremely good or impressive.
as high as a kite,very happy or excited.
rest up,take a break from activities to relax and recover energy.
a foot in the door,a way to get a start in a particular field or to gain access to a particular opportunity.
at the wheel,in control of a situation.
silver lining,a hopeful or comforting aspect of a situation that is otherwise difficult or unpleasant.
come what may,no matter what happens.
sooner or later,"eventually, in due time."
on a shoestring,with very little money or resources.
high and mighty,having an attitude of superiority or arrogance.
to the hilt,to the maximum extent possible.
gender bender,someone who does not conform to traditional gender roles.
now and then,occasionally; from time to time.
high season,the busiest time of year for a particular activity or industry.
red letter day,"a special or important day, usually one that is remembered or celebrated."
every cloud has a silver lining,every difficult situation has a positive aspect.
never-never land,a place or situation that is not real or attainable.
a clean bill of health,a report or statement that indicates that someone or something is in good health or has been approved.
white as a sheet,"very pale, usually due to fear or shock."
no rush,there is no need to hurry or be in a hurry.
in name only,having a title or position but no real authority or power.
zero hour,the time when a plan of action is set to begin.
on the rocks,in a state of decline or disrepair.
blood is thicker than water,family relationships are more important than any other relationships.
hocus pocus,a phrase used to describe something that is done in a mysterious or magical way.
a sea change,a complete transformation or alteration.
bag of tricks,"a collection of strategies, techniques, or resources that can be used to achieve a desired result."
a fate worse than death,a situation or experience that is so unpleasant or unbearable that death would be preferable.
canteen culture,"a workplace culture that is informal and relaxed, where employees are encouraged to socialize and interact with each other."
all thumbs,clumsy or awkward with one's hands.
feeding frenzy,"a situation in which a large group of people are competing for something, often in an aggressive or chaotic manner."
in the dock,"in a court of law, accused of a crime and awaiting judgement."
on the ball,"alert, attentive, and quick to act."
dice with death,"take a great risk, especially one that could lead to death."
out of sight,not visible or present.
long in the tooth,older in age.
in a fog,confused and unable to think clearly.
ethnic cleansing,the systematic removal of a particular ethnic group from a given area by force or intimidation.
practice makes perfect,repeated effort and practice leads to mastery of a skill or task.
close to home,something that is personally relevant or meaningful.
on the run,being in a hurry or in a state of escape.
that makes two of us,I agree with you.
alive and kicking,in good health and full of energy.
bells and whistles,extra features or details that are not necessary but make something more attractive or interesting.
along the lines,in a similar way; in a related manner.
water under the bridge,something that happened in the past and is no longer relevant.
elbow grease,hard work and effort.
jack of all trades,someone who is competent in many different skills or activities.
all in all,"overall, taking everything into consideration."
snowed under,overwhelmed with work or responsibilities.
first among equals,the most important or influential person in a group of people who are all considered to be of equal status.
washed up,no longer successful or relevant.
curiosity killed the cat,being too inquisitive can lead to trouble.
in the pink,in good health
not in a million years,absolutely not; never.
you bet,"absolutely, definitely, certainly."
on the same page,in agreement or understanding about something.
chicken feed,"a small amount of money, usually considered insignificant."
