idiom,phrase,sentence,label,reason
ahead of [pron] time,He was ahead of his time,He was ahead of his time because he was able to anticipate and predict future trends.,0,"Here, ""ahead of [pron] time"" means to be far ahead of the general developments of an era."
ahead of [pron] time,He was ahead of his time,He was ahead of his time because he left earlier than expected.,1,"Here, ""ahead of [pron] time"" means to be too early to a designated place or event."
ahead of [pron] time,She was ahead of her time,She was ahead of her time because her ideas were always ahead of the trends.,0,"Here, ""ahead of [pron] time"" means to be ahead of the current trend or way of thinking."
ahead of [pron] time,She was ahead of her time,She was ahead of her time because she always showed up early for her appointments.,1,"Here, ""ahead of [pron] time"" means to be before a scheduled time."
shoot straight,He tries to shoot straight,"He tries to shoot straight when communicating with us, so that we can trust what he is saying.",0,"Here, ""shoot straight"" means to be frank and honest while speaking."
shoot straight,He tries to shoot straight,"He tries to shoot straight when playing pool, so he can make the most shots.",1,"Here, ""shoot straight"" means to not make any guidance when shooting a ball in a pool game."
shoot straight,He shoots straight,"He shoots straight with me, always being honest and direct with his words.",0,"Here, ""shoot straight"" means to be open and frank."
shoot straight,He shoots straight,He shoots straight by aiming carefully before shooting.,1,"Here, ""shoot straight"" means to aim accurately and accurately hit the target."
join [pron] club,I joined the club,I joined the club when I made a purchase from the store.,0,"Here, to ""join [pron] club"" means to become part of an exclusive group."
join [pron] club,I joined the club,I joined the club when I paid for its membership.,1,"Here, to ""join [pron] club"" means to become a formal member of an organization."
join [pron] club,He joined the club,He joined the club by collaborating with other like-minded individuals.,0,"Here, to ""join [pron] club"" means to form an alliance with certain group of people."
join [pron] club,He joined the club,He joined the club by paying the annual membership fee.,1,"Here, to ""join [pron]"" club means to officially become part of the club by fulfilling certain criteria."
keep [pron] eyes peeled,I'm keeping my eyes peeled,I'm keeping my eyes peeled for the right job opportunity.,0,"Here, ""keep [pron] eyes peeled"" means to look for something carefully."
keep [pron] eyes peeled,I'm keeping my eyes peeled,I'm keeping my eyes peeled so that I don't miss out on anything.,1,"Here, ""keep [pron] eyes peeled"" means to stay alert and attentive."
keep [pron] eyes peeled,We've been keeping our eyes peeled,We've been keeping our eyes peeled for an opportunity to invest in a good venture.,0,"Here, ""keep [pron] eyes peeled"" means to be vigilant and watchful."
keep [pron] eyes peeled,We've been keeping our eyes peeled,We've been keeping our eyes peeled for something that we might have dropped from earlier.,1,"Here, ""keep [pron] eyes peeled"" means to look closely for something."
draw [pron] shortest straw,He drew the shortest straw,He drew the shortest straw and had to take on the most difficult task.,0,"Here, ""draw [pron] shortest straw"" means to end up with the least favorable outcome."
draw [pron] shortest straw,He drew the shortest straw,He drew the shortest straw out of all the straws from the jar.,1,"Here, to ""draw [pron] shortest straw"" means to randomly select the shortest material object from a group."
draw [pron] shortest straw,He drew the shortest straw,He drew the shortest straw so he had to take on the most difficult assignment.,0,"Here, to ""draw [pron] shortest straw"" means to receive the worst outcome in a comparison of options."
draw [pron] shortest straw,He drew the shortest straw,He drew the shortest straw so he got the smallest prize.,1,"Here, to ""draw [pron] shortest straw"" means to be the unlucky recipient of the least desirable option."
big wheel,He's a big wheel,He's a big wheel in the tech industry.,0,"Here, ""big wheel"" means someone of high importance or influence."
big wheel,He's a big wheel,He's a big wheel on his bike.,1,"Here, ""big wheel"" means to use a bicycle with large wheels."
big wheel,He is a big wheel,He is a big wheel in the corporate world.,0,"Here, ""big wheel"" means someone important and influential."
big wheel,He is a big wheel,He is a big wheel because he is the CEO of the company.,1,"Here, ""big wheel"" means a literal large wheel for a vehicle."
go dutch,We went dutch,We went dutch and split the bill down the middle.,0,"Here, to ""go dutch"" means to share a financial burden or responsibility. "
go dutch,We went dutch,We went dutch and visited the Netherlands together.,1,"Here, to ""go dutch"" means to go to the Netherlands together."
go dutch,We decided to go dutch,We decided to go dutch when splitting the dinner bill.,0,"Here, ""go dutch"" means to divide a cost equally. "
go dutch,We decided to go dutch,We decided to go dutch when getting to the restaurant.,1,"Here, ""go dutch"" means to travel or go somewhere separately."
take [pron] dim view of,She took his dim view of it,She took his dim view of it when she realized he didn't approve of her plan.,0,"Here, ""take [pron] dim view of"" means to have a negative opinion of something."
take [pron] dim view of,She took his dim view of it,She took his dim view of it and kept it in her mind for later.,1,"Here, ""take [pron] dim view of"" means to remember something in a negative manner."
take [pron] dim view of,He took my dim view of it,He took my dim view of it and refused to acknowledge my opinion.,0,"Here, to ""take [pron] dim view of"" means to not take a person's opinion seriously."
take [pron] dim view of,He took my dim view of it,He took my dim view of it and looked at it closely.,1,"Here, to ""take [pron] dim view of"" means to examine something closely."
basket case,He's a basket case,He's a basket case after taking on too much responsibility at once.,0,"Here, ""basket case"" means to be emotionally overwhelmed with too much stress."
basket case,He's a basket case,He's a basket case because he needs to use a basket for everyday activities.,1,"Here, ""basket case"" means to be physically rely on a basket for everyday activities."
basket case,He is a basket case,He is a basket case because of all the stress he's been through.,0,"Here, ""basket case"" means to be in such a state of emotional, mental, or physical disorder that functioning normally is impossible."
basket case,He is a basket case,He is a basket case because he's made of a basket.,1,"Here, ""basket case"" means to actually be a basket that holds one's emotions, mental, or physical state."
[pron] bottom line is,My bottom line is,My bottom line is that I need more time to think it over.,0,"Here, ""my bottom line is"" means to prioritize one's most important considerations. "
[pron] bottom line is,My bottom line is,My bottom line is 5 dollars.,1,"Here, ""my bottom line is"" means to give the minimum amount that one is willing to settle for."
[pron] bottom line is,My bottom line is,My bottom line is that I won't make any more compromises in this matter.,0,"Here, ""my bottom line is"" means that I won't accept any lower compromises. "
[pron] bottom line is,My bottom line is,My bottom line is that I will lose money if I continue this project.,1,"Here, ""my bottom line is"" means to look at the final cost of the project."
find [pron] feet,He found his feet,He found his feet quickly when starting his new job.,0,"Here, ""find [pron] feet"" means to gain experience and become comfortable with something new."
find [pron] feet,He found his feet,He found his feet when standing up after lying down.,1,"Here, ""find [pron] feet"" means to physically find one's feet and stand up."
find [pron] feet,I'm finally finding my feet,I'm finally finding my feet because I'm getting more comfortable speaking up in class.,0,"Here, to ""find [pron] feet"" means to feel more secure or at ease in a new situation. "
find [pron] feet,I'm finally finding my feet,I'm finally finding my feet because I'm starting to learn my way around town.,1,"Here, to ""find [pron] feet"" means to understand the place more and become more familiar with the surroundings."
big head,He has a big head,He has a big head because of how confident he is in his capabilities.,0,"Here, to a ""big head"" means to be overly confident or arrogant. "
big head,He has a big head,He has a big head because he is in the 99th percentile for his age.,1,"Here, to have a ""big head"" means to have an abnormally large head size."
big head,He had a big head,He had a big head because he was full of himself.,0,"Here, ""big head"" means to be conceited."
big head,He had a big head,He had a big head since he was a giant.,1,"Here, ""big head"" means to actually have a bigger head than normal."
easy on the ear,His voice was easy on the ear,His voice was easy on the ear when he whispered his love confession.,0,"Here, to have something ""easy on the ear"" means to have a pleasant sound."
easy on the ear,His voice was easy on the ear,His voice was easy on the ear when he whispered gently.,1,"Here, to be ""easy on the ear"" means to sound agreeable to the ear without jarring noises."
easy on the ear,The music was easy on the ear,The music was easy on the ear because it was calming and soothing to listen to.,0,"Here, ""easy on the ear"" means pleasant or pleasing to the ear."
easy on the ear,The music was easy on the ear,The music was easy on the ear because I could barely hear it.,1,"Here, ""easy on the ear"" means not too loud or not too intrusive."
white elephant,It's a white elephant,It's a white elephant because it will cost us a lot of money for no good reason.,0,"Here, ""white elephant"" means a possession that is useless, expensive to maintain and difficult to dispose of."
white elephant,It's a white elephant,It's a white elephant because it was painted all white like the royal white elephants.,1,"Here, ""white elephant"" means a real elephant with a rare white color."
white elephant,It's a white elephant,"It's a white elephant, as in useless and costly.",0,"Here, ""white elephant"" means an expensive and useless possession."
white elephant,It's a white elephant,"It's a white elephant, because it is an Elephantidae with a white skin tone.",1,"Here, ""white elephant"" means a literally white elephant."
hang in there,I'm trying to hang in there,I'm trying to hang in there despite all the difficulties I'm facing.,0,"Here, ""hang in there"" means to persevere in a difficult situation."
hang in there,I'm trying to hang in there,I'm trying to hang in there so that I don't fall down.,1,"Here, ""hang in there"" means to maintain a certain physical position."
hang in there,Keep hanging in there,Keep hanging in there even though it may seem difficult; you won't regret it in the end.,0,"Here, ""hang in there"" means to persist despite difficult or challenging situations."
hang in there,Keep hanging in there,Keep hanging in there until your arms can no longer take it.,1,"Here, ""hang in there"" means to physically hang in an area or place."
wax and wane,Sales have been waxing and waning,Sales have been waxing and waning depending on the season.,0,"Here, ""wax and wane"" means to rise and fall in intensity over time."
wax and wane,Sales have been waxing and waning,Sales have been waxing and waning as the candles light up the store.,1,"Here, ""wax and wane"" means to increase and decrease in light from the candles."
wax and wane,The weather has been waxing and waning,"The weather has been waxing and waning, making it hard to plan any sort of outdoor activity.",0,"Here, ""wax and wane"" means to rise and fall unpredictably."
wax and wane,The weather has been waxing and waning,The weather has been waxing and waning with the changing of the moon.,1,"Here, ""wax and wane"" means to increase and decrease cyclically."
smell [pron] rat,He smelled his rat,He smelled his rat when his colleague started acting suspicious.,0,"Here, ""smell [pron] rat"" means to have a feeling of suspicion."
smell [pron] rat,He smelled his rat,He smelled his rat when it ran across his room.,1,"Here, ""smell [pron] rat"" means to actually smell a rat."
smell [pron] rat,I smell his rat,"I smell his rat when he says he loves me, but his actions show otherwise.",0,"Here, ""smell [pron] rat"" means to have a feeling of suspicion."
smell [pron] rat,I smell his rat,I smell his rat due to the odor being emitted from it.,1,"Here, ""smell [pron] rat"" means to have a physical smell of a living rodent."
music to [pron] ears,The news was music to his ears,The news was music to his ears as he finally received the recognition he deserved.,0,"Here, ""music to [pron] ears"" means to experience a feeling of pleasure or satisfaction."
music to [pron] ears,The news was music to his ears,The news was music to his ears as he was an aspiring singer.,1,"Here, ""music to [pron] ears"" means to have a literal sound of music that one can enjoy."
music to [pron] ears,My dad's response was music to my ears,My dad's response was music to my ears; it was so comforting that it felt like music.,0,"Here, ""music to [pron] ears"" means something pleasing, heard or said that gives pleasure. "
music to [pron] ears,My dad's response was music to my ears,My dad's response was music to my ears; it was actually an instrumental version of my favorite song.,1,"Here, ""music to [pron] ears"" means an actual sound produced that someone enjoys."
see eye to eye,We don't see eye to eye,We don't see eye to eye on how to handle this situation.,0,"Here, ""see eye to eye"" means two people agreeing on the same opinion."
see eye to eye,We don't see eye to eye,We don't see eye to eye since we're so far away.,1,"Here, ""see eye to eye"" means two people being at the same eye-level and able to look at each other."
see eye to eye,The two of them saw eye to eye,The two of them saw eye to eye on how to move forward with the project.,0,"Here, ""see eye to eye"" means to agree with one another."
see eye to eye,The two of them saw eye to eye,"The two of them saw eye to eye, standing only two feet apart.",1,"Here, ""see eye to eye"" means to be at the same level, either physically or in terms of understanding."
pick up [pron] tab,"He picked up the tab"" ","He picked up the tab when we were out to dinner, as he wanted to take responsibility for the bill.",0,"Here, ""pick up [pron] tab"" means to take responsibility for payment or a financial burden."
pick up [pron] tab,"He picked up the tab"" ",He picked up the tab from the restaurant table.,1,"Here, ""pick up [pron] tab"" means to physically pick something up."
pick up [pron] tab,He offered to pick up my tab,He offered to pick up my tab as a sign of gratitude.,0,"Here, to ""pick up [pron] tab"" means to pay the expense of another person."
pick up [pron] tab,He offered to pick up my tab,He offered to pick up my tab at the restaurant.,1,"Here, to ""pick up [pron] tab"" means to physically pick up the tab."
bring to [pron] table,I can bring a lot to the table,I can bring a lot to the table when it comes to problem-solving abilities.,0,"Here, to ""bring to [pron] table"" means to contribute skills or qualities for the benefit of the group."
bring to [pron] table,I can bring a lot to the table,I can bring a lot to the table for lunch.,1,"Here, to ""bring to [pron] table"" means to physically add items to the dining table."
bring to [pron] table,She will bring something to the table,She will bring something valuable to the table when she comes to the negotiation.,0,"Here, ""bring to [pron] table"" means to contribute something useful and important."
bring to [pron] table,She will bring something to the table,She will bring something tangible to the table when she comes.,1,"Here, ""bring to [pron] table"" means to bring an object or item for display or use."
unwritten law,It's an unwritten law,It's an unwritten law that everyone should respect each other.,0,"Here, to be an ""unwritten law"" means to be an unspoken social code of conduct."
unwritten law,It's an unwritten law,It's an unwritten law that you can't drive over the speed limit.,1,"Here, to be an ""unwritten law"" means to be a law that is not written in any legal document."
unwritten law,There is an unwritten law,There is an unwritten law that you don't talk about someone who is no longer with us.,0,"Here, ""unwritten law"" refers to an unspoken set of rules or customs."
unwritten law,There is an unwritten law,"There is an unwritten law that doesn't appear on paper, but it still applies.",1,"Here, ""unwritten law"" refers to any regulation or law, written or unwritten."
new arrival,It's a new arrival,"It's a new arrival in my life, and it's showing me a whole new level of happiness.",0,"Here, ""new arrival"" means a new person, job, or change in one's life."
new arrival,It's a new arrival,"It's a new arrival in the store, and you should totally check it out.",1,"Here, ""new arrival"" means a recently acquired item."
new arrival,The new arrival,"The new arrival was a great addition to the team,",0,"Here, ""new arrival"" means someone who has just joined or began to participate."
new arrival,The new arrival,The new arrival at the store was highly anticipated,1,"Here, ""new arrival"" means something that has just been delivered or arrived."
beach bum,Will became a beach bum,Will became a beach bum when he decided to quit his job and move to the beach.,0,"Here, ""beach bum"" means someone who spends time leisurely at the beach for an extended duration of time."
beach bum,Will became a beach bum,Will became a beach bum when he collected sea shells and driftwood to build a sandcastle.,1,"Here, ""beach bum"" means someone who searches and wanders along the beach shore."
beach bum,He's a beach bum,He's a beach bum because he would rather spend his days at the beach than working.,0,"Here, to ""beach bum"" means to be carefree and relaxed without worrying about work."
beach bum,He's a beach bum,He's a beach bum because he spends all his time at the beach looking for seashells.,1,"Here, to ""beach bum"" means to always be near the beach and search for objects found on the beach."
throw in [pron] towel,He threw in his towel,He threw in his towel when he realized he was not going to win.,0,"Here, to ""throw in [pron] towel"" means to give up on something."
throw in [pron] towel,He threw in his towel,He threw in his towel as it was too hot for him in the sauna.,1,"Here, to ""throw in [pron] towel"" means to literally throw an object away."
throw in [pron] towel,He threw in his towel,He threw in his towel and gave up on the project.,0,"Here, ""throw in [pron] towel"" means to give up on something."
throw in [pron] towel,He threw in his towel,He threw in his towel because he was too hot.,1,"Here, ""throw in [pron] towel"" means to physically throw an item because of an uncomfortable environment or event."
war of words,The debate was a war of words,The debate was a war of words with each candidate trying to out-argue the other.,0,"Here, ""war of words"" means a verbal battle for dominance."
war of words,The debate was a war of words,The debate was a war of words with each candidate trying to use the best-sounding language,1,"Here, ""war of words"" means to choose words carefully in order to make the most persuasive argument."
war of words,They had a war of words,"They had a war of words, constantly trying to outwit each other in debates.",0,"Here, ""war of words"" means a prolonged discussion or debate, usually with heated arguments."
war of words,They had a war of words,"They had a war of words, yelling angrily at each other until they ran out of arguments.",1,"Here, ""war of words"" means a verbal argument in which words are used as weapons."
burn [pron] fingers,She burned her fingers,She burned her fingers when she invested her hard-earned money into a bad business venture.,0,"Here, ""burn [pron] fingers"" means to suffer losses or bad consequences due to a wrong decision or action."
burn [pron] fingers,She burned her fingers,She burned her fingers when she touched the hot pan without any protection.,1,"Here, ""burn [pron] fingers"" means to get physically burned due to an unprotected contact with heat."
burn [pron] fingers,I burned my fingers,I burned my fingers trying to offer help to a dangerous situation.,0,"Here, to ""burn [pron] fingers"" means to try something that turns out to be wrong."
burn [pron] fingers,I burned my fingers,I burned my fingers while cooking food.,1,"Here, to ""burn [pron] fingers"" means to get burned by heat."
bank on,I've banked on it,I've banked on it and hoped it would be a success.,0,"Here, ""bank on"" means to rely heavily on something and put a great deal of trust in it."
bank on,I've banked on it,I've banked on it and deposited the money.,1,"Here, ""bank on"" means to put money into a bank, usually to be saved or invested."
bank on,I'm banking on it,"I'm banking on it, hoping that this plan will be a success.",0,"Here, ""to bank on"" means to rely on something to happen."
bank on,I'm banking on it,"I'm banking on it, as I really need the money.",1,"Here, ""to bank on"" means to deposit money in the bank."
keep at bay,I kept it at bay,I kept it at bay by distracting myself with hobbies.,0,"Here, ""keep it at bay"" means to maintain a sense of control by distracting oneself."
keep at bay,I kept it at bay,I kept it at bay by setting up a fence around it.,1,"Here, ""keep it at bay"" means to physically move it away by setting up a boundary."
keep at bay,It's hard to keep it at bay,It's hard to keep it at bay and keep from being overwhelmed by it.,0,"Here, ""keep at bay"" means to stay away from and avoid something. "
keep at bay,It's hard to keep it at bay,"It's hard to keep it at bay, as it keeps coming closer and closer.",1,"Here, ""keep at bay"" means to keep something away, usually at a distance."
strike [pron] chord,This song really struck my chord,This song really struck my chord as it reminded me of happy childhood memories.,0,"Here, to ""strike [pron] chord"" means to evoke strong emotion or feelings from within. "
strike [pron] chord,This song really struck my chord,This song really struck my chord as I heard the guitar playing.,1,"Here, to ""strike [pron] chord"" means to pluck a musical instrument string."
strike [pron] chord,His words struck a chord,His words struck a chord and resonated deeply with me.,0,"Here, to ""strike [pron] chord"" means to emotionally and spiritually touch someone with words."
strike [pron] chord,His words struck a chord,His words struck a chord on the guitar and I was filled with melodic bliss.,1,"Here, to ""strike [pron] chord"" means to physically produce a sound from a string instrument."
save face,He saved face,"He saved face, as he was able to walk away from the situation with honor and dignity.",0,"Here, to ""save face"" means to be able to maintain one's reputation or dignity."
save face,He saved face,"He saved face, as he applied cream to his face to stay young looking.",1,"Here, to ""save face"" means to literally save one's face by a means of taking care of it."
save face,He saved face,He saved face by apologizing and trying to make amends.,0,"Here, ""save face"" means to maintain one's reputation despite mistake or embarrassment."
save face,He saved face,He saved face by covering his mouth trying to hide his blush.,1,"Here, ""save face"" means to physically hide one's embarrassment."
lose [pron] shirt,He lost his shirt,He lost his shirt when he risked too much in the stock market.,0,"Here, to ""lose [pron] shirt"" means to suffer a complete financial loss."
lose [pron] shirt,He lost his shirt,He lost his shirt in a bet to his friend.,1,"Here, to ""lose [pron] shirt"" means to lose something of value."
lose [pron] shirt,He lost his shirt,He lost his shirt after gambling all his money away.,0,"Here, to ""lose [pron] shirt"" means to suffer a big financial loss. "
lose [pron] shirt,He lost his shirt,He lost his shirt during an intense game of tag.,1,"Here, to ""lose [pron] shirt"" means to have a shirt taken off during physical activity."
snake in [pron] grass,Watch out for the snake in your grass,Watch out for the snake in your grass and be wary of anyone acting too friendly too quickly.,0,"Here, ""snake in [pron] grass"" means a sly or deceitful person."
snake in [pron] grass,Watch out for the snake in your grass,Watch out for the snake in your grass as it might bite you.,1,"Here, ""snake in [pron] grass"" means a literal snake hidden in the grass."
snake in [pron] grass,She was a snake in my grass,She was a snake in my grass--always looking to deceive me with her hidden motives.,0,"Here, ""snake in [pron] grass"" means someone who pretends to be supportive when they actually plan to do harm."
snake in [pron] grass,She was a snake in my grass,She was a snake in my grass since I found her slithering around it.,1,"Here, ""snake in [pron] grass"" means to physically find a snake in a grassy area."
pull [pron] wool over [pron] eyes,She tried to pull her wool over her eyes,She tried to pull her wool over her eyes when she convinced herself it was the wrong decision.,0,"Here, ""pull [pron] wool over [pron] eyes"" means to deceive oneself into believing something false."
pull [pron] wool over [pron] eyes,She tried to pull her wool over her eyes,She tried to pull her wool over her eyes to block out the light.,1,"Here, ""pull [pron] wool over [pron] eyes"" means to literally try to cover one's eyes with a material like wool."
pull [pron] wool over [pron] eyes,She pulled her wool over her eyes,"She pulled her wool over her eyes, trying to deceive everyone around her.",0,"Here, to ""pull [pron] wool over [pron] eyes"" means to mislead someone or deceive someone."
pull [pron] wool over [pron] eyes,She pulled her wool over her eyes,She pulled her wool over her eyes to block out the blinding sun.,1,"Here, to ""pull [pron] wool over [pron] eyes"" means to physically cover one's eyes with wool or fabric."
scrape together,They've been scraping together money,They've been scraping together money to make a downpayment on a house.,0,"Here, ""scrape together"" means to amass small amounts of things, typically money, with effort."
scrape together,They've been scraping together money,They've been scraping together money by picking coins off the ground.,1,"Here, ""scrape together"" means to gather money through small, physical efforts."
scrape together,They managed to scrape together the money,"They managed to scrape together the money for the down payment, despite their tight budget.",0,"Here, ""scrape together"" means to collect or gather something, even if it takes great effort."
scrape together,They managed to scrape together the money,They managed to scrape together the money by digging through the couch.,1,"Here, ""scrape together"" means to physically collect or gather something by scraping together."
fall prey to,She fell prey to,She fell prey to bad influences in the neighborhood.,0,"Here, to ""fall prey to"" means to succumb or be vulnerable to something dangerous. "
fall prey to,She fell prey to,She fell prey to the wild hawks.,1,"Here, to ""fall prey to"" means to become the victim of something fierce."
fall prey to,He fell prey to,He fell prey to the false advertisement and purchased a fake product.,0,"Here, to ""fall prey to"" means to be deceived or taken advantage of."
fall prey to,He fell prey to,He fell prey to the wolf that attacked him in the woods.,1,"Here, to ""fall prey to"" means to become the target of attack by a predator."
ask out,He asked her out,He asked her out on a date to get to know her better.,0,"Here, ""ask out"" means to invite someone to go out with you, on a date or otherwise."
ask out,He asked her out,He asked her out to the local market.,1,"Here, ""ask out"" means to seek an invitation from someone to go somewhere."
ask out,He asked her out,He asked her out on a date.,0,"Here, ""ask out"" means to ask someone to go on a date."
ask out,He asked her out,He asked her out of the room.,1,"Here, ""ask out"" means to ask someone to leave a location."
go for broke,I went for broke,I went for broke and decided to take a risk to pursue my dream.,0,"Here, ""go for broke"" means to risk everything for a big reward."
go for broke,I went for broke,I went for broke as I had no money left to spend.,1,"Here, ""go for broke"" means to have no money and resources left."
go for broke,She went for broke,She went for broke when she decided to take that big risk in hopes of achieving success.,0,"Here, ""go for broke"" means to take a large risk with no guarantee of success."
go for broke,She went for broke,She went for broke when she emptied her bank account to open that new business.,1,"Here, ""go for broke"" means to to take a risk with the complete utilization of available resources."
miss [pron] boat,We missed our boat,We missed our boat when we got stuck in traffic and couldn't make it on time.,0,"Here, ""miss [pron] boat"" means to get an opportunity missed."
miss [pron] boat,We missed our boat,We missed our boat when we stayed too long at the shore and forgot to board it.,1,"Here, ""miss [pron] boat"" means to literally miss a boat by not boarding it on time."
miss [pron] boat,We almost missed the boat,We almost missed the boat when we were almost late for the opportunity.,0,"Here, to ""miss [pron] boat"" means to miss out on a chance or opportunity."
miss [pron] boat,We almost missed the boat,We almost missed the boat when we almost didn't make it to the dock before it departed.,1,"Here, to ""miss [pron] boat"" means to almost not make it to the boat before it left."
bag lady,She became a bag lady,"She became a bag lady once all her money ran out, meaning that she had to resort to living on the streets and gathering her belongings in bags.",0,"Here, ""bag lady"" means a homeless person."
bag lady,She became a bag lady,She became a bag lady since she was an avid collector of bags.,1,"Here, ""bag lady"" means someone who frequently collects bags."
bag lady,I am a bag lady,"I am a bag lady as an artist, carrying around my supplies in a bag as a sign of dedication to my craft.",0,"Here, ""bag lady"" is used to describe an artist or a person dedicating their life to a pursuit."
bag lady,I am a bag lady,I am a bag lady since I carry my possessions around in bags.,1,"Here, ""bag lady"" means an elderly or poor woman living on the streets who carries her possessions around with her."
make waves,He made waves,He made waves when he criticized their policies.,0,"Here, ""make waves"" means to upset the status quo with bold and influential ideas."
make waves,He made waves,He made waves when he surfed the ocean.,1,"Here, ""make waves"" means to generate waves when one surfs on the ocean."
make waves,He's been making waves,He's been making waves in the business world with his new strategy.,0,"Here, to ""make waves"" means to cause a stir or commotion with something."
make waves,He's been making waves,He's been making waves with his kayak in the lake.,1,"Here, to ""make waves"" means to create ripples or movement in the water."
watch [pron] clock,He watched his clock,He watched his clock as if he was counting down the days to his retirement.,0,"Here, to ""watch [pron] clock"" means to take note of the passage of time."
watch [pron] clock,He watched his clock,He watched his clock to make sure it was always accurate.,1,"Here, to ""watch [pron] clock"" means to monitor the timepiece."
watch [pron] clock,She was watching her clock,She was watching her clock to make sure that she was on time for her appointment.,0,"Here, ""watch [pron] clock"" means to be aware of time passing."
watch [pron] clock,She was watching her clock,She was watching her clock as the ticking sound was soothing her.,1,"Here, ""watch [pron] clock"" means to pay close attention to and observe the passing of time."
go through [pron] roof,Sales are going through the roof,Sales are going through the roof because of the new marketing strategy.,0,"Here, ""going through the roof"" means to increase to a very high level."
go through [pron] roof,Sales are going through the roof,Sales are going through the roof because of the hole in the ceiling.,1,"Here, ""going through the roof"" means to pass up and through the roof of the building."
go through [pron] roof,His expenses went through the roof,His expenses went through the roof due to his extravagant lifestyle.,0,"Here, ""go through [pron] roof"" means to reach an excessively high level."
go through [pron] roof,His expenses went through the roof,His expenses went through the roof because they were too high to fit in the house.,1,"Here, to ""go through [pron] roof"" means to exceed the limits of whatever is containing it."
take breath away,The view took my breath away,The view took my breath away because it was unlike anything I had ever seen before.,0,"Here, ""take breath away"" means to be so moving or beautiful that it astounds the observer."
take breath away,The view took my breath away,The view took my breath away since it induced shortness of breath due to its steep height.,1,"Here, ""take breath away"" means to literally take one's breath away by stunting the respiration."
take breath away,The sight took my breath away,The sight took my breath away as it was so beautiful.,0,"Here, ""take breath away"" means to be astonished and filled with wonder."
take breath away,The sight took my breath away,The sight took my breath away as it triggered hyperventilation.,1,"Here, to ""take breath away"" means to cause someone an inability to breathe for a short moment."
fight like cat and dog,They fight like cat and dog,"They fight like cat and dog, constantly bickering and arguing.",0,"Here, ""fight like cat and dog"" means to often quarrel or to be aggressive with each other."
fight like cat and dog,They fight like cat and dog,"They fight like cat and dog, as the pets can't seem to get along.",1,"Here, ""fight like cat and dog"" means to physically fight and harm each other like cats and dogs do."
fight like cat and dog,My brother and I fight like cat and dog,"My brother and I fight like cat and dog,and yet we still love each other.",0,"Here, to ""fight like cat and dog"" means to argue often but to still have deep affection for the other. "
fight like cat and dog,My brother and I fight like cat and dog,"My brother and I fight like cat and dog, hissing and growling at each other.",1,"Here, to ""fight like cat and dog"" means to physically fight and quarrel."
say [pron] piece,I said my piece,I said my piece to express what I thought about the situation.,0,"Here, ""say [pron] piece"" means to voice [pron] opinion or share [pron] thoughts."
say [pron] piece,I said my piece,I said my piece to read what I had written out.,1,"Here, ""say [pron] piece"" means to read out a written statement verbatim."
say [pron] piece,She said her piece,She said her piece in the middle of the heated argument.,0,"Here, to ""say [pron] piece"" means to express [pron] opinion."
say [pron] piece,She said her piece,She said her piece which was only two sentences.,1,"Here, to ""say [pron] piece"" means to utter [pron] words or a phrase."
bend over backwards,She bent over backwards,She bent over backwards to help us by offering us a huge discount.,0,"Here, ""bend over backwards"" means to make a big effort to help someone. "
bend over backwards,She bent over backwards,She bent over backwards to be able to touch her toes.,1,"Here, ""bend over backwards"" means to move the body into a position of having the head towards the floor through an alternative means of movement."
bend over backwards,She bent over backwards,She bent over backwards trying to prove she was the best employee so she could get the promotion.,0,"Here, ""bend over backwards"" means to try very hard to make something happen."
bend over backwards,She bent over backwards,She bent over backwards to try to get changed into her tight jeans.,1,"Here, ""bend over backwards"" means to physically contort oneself in order to obtain a certain position."
sleep on [pron],They decided to sleep on it,They decided to sleep on it and make a decision tomorrow.,0,"Here, to ""sleep on [pron]"" means to take time and think things through before making a difficult decision."
sleep on [pron],They decided to sleep on it,They decided to sleep on it and take a nap.,1,"Here, to ""sleep on [pron]"" means to lay down and close your eyes to take a nap."
sleep on [pron],I'll sleep on it,I'll sleep on it and then decide in the morning.,0,"Here, to ""sleep on [pron]"" means to delay making a decision until the next day."
sleep on [pron],I'll sleep on it,I'll sleep on it and just rest tonight.,1,"Here, to ""sleep on [pron]"" means to literally lay down and sleep."
put on [pron] brave face,She put on her brave face,She put on her brave face when she found out the bad news.,0,"Here, to ""put on [pron] brave face"" means to show courage in the face of difficulty."
put on [pron] brave face,She put on her brave face,She put on her brave face as part of her superhero costume.,1,"Here, to ""put on [pron] brave face"" means to put on a disguise."
put on [pron] brave face,She put on her brave face,She put on her brave face despite being terribly frightened.,0,"Here, to ""put on [pron] brave face"" means to try one's best to appear brave in the face of adversity."
put on [pron] brave face,She put on her brave face,She put on her brave face when she saw the bright colors of the clowns and laughed along.,1,"Here, to ""put on [pron] brave face"" means to actually wear an expression of bravery."
cross [pron] fingers,We crossed our fingers,We crossed our fingers that the project would succeed.,0,"Here, ""cross [pron] fingers"" means to hope for the best possible outcome."
cross [pron] fingers,We crossed our fingers,We crossed our fingers when we did the oath of allegiance.,1,"Here, ""cross [pron] fingers"" means to cross one's fingers for luck."
cross [pron] fingers,He crossed his fingers,He crossed his fingers that his performance would impress the audience.,0,"Here, to ""cross [pron] fingers"" means to hope for something with a superstitious gesture."
