,idiom,meaning,s_f_brkt,s_l_brkt,s_f,s_l,s_a,p_a_de_gpt,p_f_de_gpt,p_l_de_gpt,p_a_he_gpt,p_f_he_gpt,p_l_he_gpt,p_a_hi_gpt,p_f_hi_gpt,p_l_hi_gpt,p_a_hu_gpt,p_f_hu_gpt,p_l_hu_gpt,p_a_ko_gpt,p_f_ko_gpt,p_l_ko_gpt,p_a_es_gpt,p_f_es_gpt,p_l_es_gpt,p_a_yo_gpt,p_f_yo_gpt,p_l_yo_gpt,p_a_zh_gpt,p_f_zh_gpt,p_l_zh_gpt
277,keep your nose clean,to stay out of trouble by not doing anything wrong,"To avoid getting into trouble, focus on [[keeping your nose clean]] at work","During allergy season, [[keeping your nose clean]] is essential for comfort","To avoid getting into trouble, focus on keeping your nose clean at work","During allergy season, keeping your nose clean is essential for comfort",keeping your nose clean,Die Nase sauber halten.,"Um Ärger zu vermeiden, konzentriere dich darauf, bei der Arbeit sauber zu bleiben.","Während der Allergiesaison ist es wichtig, die Nase sauber zu halten, um sich wohl zu fühlen.",לשמור על האף שלך נקי,"כדי להימנע מבעיות, עסוק בשמירה על נקיון האף שלך בעבודה.","בעונת האלרגיה, שמירה על ניקיון האף חיונית לנוחות.",अपनी नाक साफ रखना,"कष्ट से बचने के लिए, काम पर अपनी नाक साफ रखने पर ध्यान केंद्रित करें।","एलर्जी के मौसम में, अपनी नाक को साफ रखना सुख के लिए आवश्यक है।",Az idióma magyar fordítása: tisztán tartani az orrod.,"Azért, hogy elkerüld a bajba kerülést, koncentrálj arra, hogy tisztességesen dolgozz a munkahelyeden.",Az allergiaszezon alatt az orr tisztán tartása elengedhetetlen a kényelem érdekében.,당신의 코를 깨끗하게 유지하기.,일에서 꼬리를 내리지 않고 깔끔하게 지내는 것에 집중하여 문제를 피하세요.,알레르기 계절에는 코를 깨끗하게 유지하는 것이 편안함을 위해 필수적입니다.,Mantener tu nariz limpia.,"Para evitar meterse en problemas, concéntrate en mantener tu nariz limpia en el trabajo.","Durante la temporada de alergias, mantener la nariz limpia es esencial para la comodidad.",Ma fi oju mi soke.,"Fun oju e re si ni ise re, tesiwaju lati gbe owo re lo si.","Ni ọjọgbọn alẹ, ni ipo ti o ba jẹ alarọgba, ni ibeere ti o ba jẹ ọrẹ, ni ibeere ti o ba jẹ ọrẹ.",保持鼻子清洁,为了避免麻烦，在工作中专注于保持清白。,在过敏季节，保持鼻子清洁对舒适至关重要。
278,kick the bucket,to die,"The old couple, inseparable in life, [[kicked the bucket together]] in their sleep","While cleaning the barn, they accidentally [[kicked the bucket together]] and spilled water everywhere","The old couple, inseparable in life, kicked the bucket together in their sleep","While cleaning the barn, they accidentally kicked the bucket together and spilled water everywhere",kicked the bucket together,sind zusammen von der Bildfläche verschwunden,"Das alte Paar, das im Leben unzertrennlich war, ist zusammen im Schlaf gestorben.","Während sie den Stall reinigten, traten sie versehentlich zusammen den Eimer um und verschütteten überall Wasser.",הם נפלו יחד לגלילם.,"הזוג הזקן, שהיו בלתי נפרדים בחיים, הלכו לעולמם ביחד בשינה.","בזמן שהם ניקו את האסם, הם בטעות זרקו את הדלי ביחד והפיצו מים בכל מקום.",साथ में बाल्टी उठा दिया,जीवन में अलग नहीं होने वाले बूढ़े जोड़े ने अपनी नींद में साथ में दम तोड़ दिया।,"खेत को साफ करते समय, उन्होंने एक साथ बाल्टी को ठोक दिया और पानी यहाँ वहाँ छोड़ दिया।",együtt rúgták fel a talpát,"Az idős pár, akik elválaszthatatlanok voltak az életben, együtt hunytak el álmukban.","Miközben takarították az istállót, véletlenül együtt rúgták fel a vödröt és mindenhol szétfröccsent a víz.",함께 그릇을 찼다.,인생에서 떨어지지 않는 노부부는 함께 자다가 함께 세상을 떠났다.,헛간을 청소하다가 그들은 실수로 함께 양동이를 차고 물을 쏟아냈다.,Murieron juntos.,"La pareja de ancianos, inseparable en la vida, murieron juntos en su sueño.","Mientras limpiaban el establo, accidentalmente patearon el cubo juntos y derramaron agua por todas partes.",ni won fi ku si ilekun.,"Ebi ati aburo won ti o ku, won ku ni idije won lo.","Nitoripe won nlo ebo ori, won kuna odo kan niwaju, ki o si gbe odo si gbogbo eniyan.",一起去世,这对生命中不可分割的老夫妇一起在睡梦中去世了。,他们在清理谷仓时，不小心一起踢了水桶，把水洒得到处都是。
279,kick yourself,to be angry with yourself for something you have or have not done,They [[kicked themselves]] for not investing in the stock earlier,"During the yoga class, they accidentally [[kicked themselves]] while attempting a new pose",They kicked themselves for not investing in the stock earlier,"During the yoga class, they accidentally kicked themselves while attempting a new pose",kicked themselves,traten sich selbst,"Sie ärgerten sich, dass sie nicht früher in die Aktie investiert hatten.","Während des Yoga-Kurses haben sie sich versehentlich selbst getreten, als sie eine neue Pose ausprobierten.",הם בעטו בעצמם,הם בעצמם זרקו לעצמם על שלא השקיעו במניות מוקדם יותר.,"במהלך שיעור היוגה, הם בטעות נגעו בעצמם בעת ניסיון לבצע תנוחה חדשה.",खुद को लात मारी,वे अपने आप को उस स्टॉक में पहले से ही निवेश नहीं करने के लिए धक्के खाते रहे।,"योग क्लास के दौरान, वे नई पोज़ को करने की कोशिश करते हुए अपने आपको गलती से किक कर दिया।",rúgták magukat,"Bosszankodtak, hogy nem fektettek be korábban a részvényekbe.","A jógaóra során véletlenül rúgták meg magukat, miközben új pózt próbáltak.",스스로 발로 차다.,그들은 이전에 주식에 투자하지 않아서 자신들을 탓했다.,요가 수업 중에 새로운 자세를 시도하다가 실수로 자신을 차는 일이 있었다.,se patearon a sí mismos,Se arrepintieron de no haber invertido en la bolsa antes.,"Durante la clase de yoga, se golpearon accidentalmente mientras intentaban una nueva postura.",ni won fi pa ara won.,Won ti gbe owo won fun awon owo ti won ko ni gba ni oja nigbati o wa ninu owo.,"Ni iranlọwọ yoga, wọn ti jẹ irinṣẹ kan ti wọn ko ni nkan ti o jẹ ki wọn jẹ.",踢了自己。,他们为没有早点投资股票而后悔。,在瑜伽课上，他们在尝试新的姿势时不小心踢到了自己。
280,kill two birds with one stone,accomplish two different things at the same time,"By combining our errands, we [[killed two birds with one stone]] and saved time","With a well-aimed throw, he [[killed two birds with one stone]] in the field","By combining our errands, we killed two birds with one stone and saved time","With a well-aimed throw, he killed two birds with one stone in the field",killed two birds with one stone,Zwei Fliegen mit einer Klappe schlagen.,"Indem wir unsere Besorgungen kombiniert haben, haben wir zwei Fliegen mit einer Klappe geschlagen und Zeit gespart.",Mit einem gezielten Wurf tötete er zwei Vögel auf einmal auf dem Feld.,הרגתי שני ציפורים במצב אחד,"על ידי שילוב המשימות שלנו, הרגנו שני ציפורים במכה אחת וחסרנו זמן.","עם זריקה מדויקת, הוא הרג שתי ציפורים באבן אחת בשדה.",एक पत्थर से दो निशान मारना,हम अपने कामों को जोड़कर एक से दो निशाने मारते हुए समय बचाया।,अच्छी निशानबाज़ी से उसने खेत में एक ही पत्थर से दो नीलगायों को मार गिराया।,Két legyet ütött egy csapásra.,Az ügyeink összekapcsolásával két legyet ütöttünk egy csapásra és időt spóroltunk.,Egy jól irányzott dobással két madarat vágott le egyszerre a mezőn.,한 번에 두 마리의 새를 잡다.,우리는 우리의 할 일을 합쳐서 두 마리의 새를 한 번에 잡았고 시간을 절약했다.,정확한 던지기로 그는 들판에서 한 번에 두 마리의 새를 죽였다.,Matar dos pájaros de un tiro.,"Al combinar nuestras diligencias, matamos dos pájaros de un tiro y ahorramos tiempo.","Con un lanzamiento bien dirigido, mató dos pájaros de un tiro en el campo.",O pa eyin afefe meji pelu ikan kan.,"Lẹhin ti a ṣe afiṣẹ wa yìí, a pa ẹyin meji pẹlu ọkan kan ati a ṣe iranlọwọ.","Nítorí ìtẹ́lẹ̀ tó jẹ́ kò sí ìdí tí a kò le wà, ó tó àwọn ẹyẹ́ méjì ní ilé-iṣẹ́.",一箭双雕,通过把我们的差事结合起来，我们一举两得，节省了时间。,他准确地投掷，一石二鸟地在田野上杀死了两只鸟。
281,kiss and make up,to become friendly again after an argument,"After the argument, he decided [[to kiss and make up with her]] to resolve their differences","During the play, the actors had [[to kiss and make up with her]] as part of the scene","After the argument, he decided to kiss and make up with her to resolve their differences","During the play, the actors had to kiss and make up with her as part of the scene",to kiss and make up with her,sich mit ihr versöhnen und küssen,"Nach dem Streit beschloss er, sie zu küssen und sich mit ihr zu versöhnen, um ihre Unterschiede zu lösen.","Während des Stücks mussten die Schauspieler sie küssen und sich mit ihr versöhnen, als Teil der Szene.",לנשק ולהתפייס איתה,"אחרי הווכחה, הוא החליט לנשק ולהתחזק עם היא כדי לפתור את ההבדלים ביניהם.","במהלך המחזה, השחקנים היו צריכים לנשק ולהתחזק עם היא כחלק מהסצינה.",उसके साथ चुंबन देकर बना लो।,"तकरार के बाद, उसने उसके साथ चुंबन देकर उनके अंतरों को हल करने का फैसला किया।","नाटक के दौरान, अभिनेताओं को उसके साथ चुंबन देना और उससे मेलजोल करना भाग के रूप में था।",Békülj ki vele és csókold meg.,"Az vita után úgy döntött, hogy kibékül vele és elsimítja a különbségeiket.",A játék során az színészeknek meg kellett csókolniuk és kibékülniük vele a jelenet részeként.,그녀와 키스하고 화해하다.,"논쟁 후, 그는 그녀와 화해하고 문제를 해결하기로 결정했다.",연극 중에 배우들은 장면의 일부로 그녀와 키스하고 화해해야 했다.,Besarla y reconciliarse con ella.,"Después de la discusión, decidió besarla y hacer las paces con ella para resolver sus diferencias.","Durante la obra, los actores tuvieron que besarse y reconciliarse con ella como parte de la escena.","ni ipa owo yii, o yọ adura fun Oluwa lati gba adura re pada.","Lẹhin awọn iṣẹda, o wa ni o nṣe ifẹ ati ṣe idasile pẹlu rẹ lati ṣeto awọn ohun rere.","Ni ina igbe, awọn oniṣẹ ni wọn yoo joko ati ṣe afẹfẹ rẹ ni ibeere.",和她和好。,争吵后，他决定与她和好如初，以解决彼此之间的分歧。,在剧中，演员们不得不亲吻她并与她和解，作为场景的一部分。
282,knee jerk reaction,an automatic response to something,His sudden outburst was [[a knee jerk reaction to the news]] of the company's bankruptcy,"The doctor tapped his patient's leg, causing [[a knee jerk reaction to the news]] of the reflex hammer",His sudden outburst was a knee jerk reaction to the news of the company's bankruptcy,"The doctor tapped his patient's leg, causing a knee jerk reaction to the news of the reflex hammer",a knee jerk reaction to the news,eine Reflexreaktion auf die Nachricht,Sein plötzlicher Ausbruch war eine Reflexreaktion auf die Nachricht vom Bankrott des Unternehmens.,Der Arzt klopfte auf das Bein seines Patienten und verursachte eine Kniezuckung als Reaktion auf den Reflexhammer.,תגובת ברך תגושט לחדשות,הפריצה הפתאומית שלו הייתה תגובת ברך לחדשות על השפלת החברה.,"הרופא טפטף על רגל המטופל שלו, גורם לתגובת ברך רפלקסית לחדשות על המקל הרפלקס.",खबर के एक झटके पर घुटने का जेर आवाज़।,उसका अचानक उछाल उस समाचार के एक घुटने के जटके के प्रतिक्रिया था जो कंपनी के दिवालियापन की खबर से हुआ।,"डॉक्टर ने अपने मरीज की टांग पर टैप किया, जिससे रिफ्लेक्स हथौड़े की खबर से घुटने की एक प्रतिक्रिया हुई।",térdreflex reakció a hírekre,Az ő hirtelen kitörése reflexszerű reakció volt a cég csődjének a hírére.,"Az orvos megkopogtatta a betege lábát, ami reflex kalapács hírére térdrándulást okozott.",뉴스에 대한 무조건적인 반응,그의 갑작스러운 폭발은 회사 파산 소식에 대한 무의식적인 반응이었다.,의사는 환자의 다리를 두드려 반사망치의 소식에 무릎 반사 반응이 일어났다.,una reacción refleja de rodilla a las noticias,Su repentino estallido fue una reacción instintiva a la noticia de la bancarrota de la empresa.,"El doctor golpeó la pierna de su paciente, causando una reacción de reflejo en la rodilla ante el martillo de reflejos.",ìtẹ́wọ̀ọ́ ẹ̀rọ̀ tí ó jẹ́ ìdílé alágbèrẹ̀.,Ipele ija re ni o je ipele ti o wa ni owo ojojumo ti o fi sile fun afihan omo ile yii.,"Oluwogbenga ti ṣe onisọrọ ti o fẹsẹ̀ẹ̀kan rẹ, nitori o ṣe igbeyawo ti o jẹ aṣojú ẹ̀rọ igbeyawo.",对新闻的膝跳反应,他的突然爆发是对公司破产消息的本能反应。,医生轻敲了他的病人的腿，引起了他对反射锤的反应。
283,knock on wood,tap knuckle on wood in order to avoid bad luck,"Hoping for good luck, [[she knocked on wood]] before the big presentation","To test the sturdiness of the table, [[she knocked on wood]]","Hoping for good luck, she knocked on wood before the big presentation","To test the sturdiness of the table, she knocked on wood",she knocked on wood,Sie klopfte auf Holz.,In der Hoffnung auf Glück klopfte sie vor der großen Präsentation auf Holz.,"Um die Stabilität des Tisches zu testen, klopfte sie auf Holz.",היא דפקה על עץ,"בתקווה למזל טוב, היא דפקה על עץ לפני ההצגה הגדולה.","כדי לבדוק את עמידות השולחן, היא דפקה על העץ.",उसने लकड़ी पर खटका दिया,"बड़े प्रस्तुति से पहले अच्छी किस्मत की उम्मीद में, उसने लकड़ी पर खटखटाया।","टेबल की मजबूती का परीक्षण करने के लिए, उसने लकड़ी पर खटखटाया।",kopogott a fára,"Remélve a jó szerencsét, megkopogta a fát a nagy prezentáció előtt.",Az asztal szilárdságának tesztelése érdekében kopogott a fafelületen.,그녀는 나무를 두드렸다.,"큰 발표 전에 행운을 빌며, 그녀는 나무를 두드렸다.",그녀는 테이블의 튼튼함을 시험하기 위해 나무를 두드렸다.,Ella tocó madera.,"Esperando tener buena suerte, tocó madera antes de la gran presentación.","Para probar la solidez de la mesa, ella golpeó la madera.",O wó igi.,"Nítorí ìròyìn tí ó bá wà ní ìdílé kékèrè, ó sì dára jù bí òkúnrin tí ó bá wà ní ìdílé kékèrè.","Fun awọn ẹnu rẹ ni o fi ṣe iṣẹ ayẹwo funra ni, o ṣe bẹẹ ni ilẹ.",她敲了敲木头。,她希望好运降临，所以在重要的演讲前敲了敲木头。,为了测试桌子的坚固程度，她敲了敲木头。
284,know the ropes,to know all the ways and means to get something done,"Having worked there for years, [[he knew the ropes well]] and could handle any task","As an experienced sailor, [[he knew the ropes well]] and could tie any knot","Having worked there for years, he knew the ropes well and could handle any task","As an experienced sailor, he knew the ropes well and could tie any knot",he knew the ropes well,Er kannte sich gut aus.,"Nachdem er dort jahrelang gearbeitet hatte, kannte er sich gut aus und konnte jede Aufgabe bewältigen.",Als erfahrener Seemann kannte er die Seile gut und konnte jeden Knoten binden.,הוא ידע את החבלים היטב,"עם שנים של עבודה שם, הוא ידע את החבלים היטב ויכול להתמודד עם כל משימה.","כמלווה ימי מנוסה, הוא ידע את החבלים היטב ויכול היה לקשור כל קשר.",उसे बातों का ठीक से अंदाजा था।,"वह वहाँ काम करने के लिए कई सालों से काम कर चुका था, उसे ताकतवर बनाते हुए वह किसी भी काम को संभाल सकता था।","एक अनुभवी सेलर के रूप में, उसे रस्सियों को अच्छी तरह से जानता था और किसी भी गाँठ को बांध सकता था।",Jól ismerte a dolgát.,"Mivel évekig dolgozott ott, jól ismerte a dolgokat és bármilyen feladatot képes volt kezelni.",Tapasztalt vitorlázóként jól ismerte a köteleket és bármilyen csomót tudott kötni.,그는 그 일에 능숙했다.,"그가 그곳에서 여러 해 일한 덕분에, 그는 그 일의 모든 것을 잘 알고 어떤 일이든 처리할 수 있었다.","경험이 풍부한 선원으로서, 그는 줄을 잘 알고 어떤 매듭이든 묶을 수 있었다.",Él conocía bien las cuerdas.,"Habiendo trabajado allí durante años, conocía bien los entresijos y podía manejar cualquier tarea.","Como marinero experimentado, conocía bien las cuerdas y podía atar cualquier nudo.",Omo ti o mọ ọna oju kan ni o mọ.,"Nitori ti o ṣe ni ibi yii ni o ṣe ti ṣe, o mọ ojúewé rẹrẹ ati le ṣe gbogbo ohun tó wà ní ibi rẹ.","Nibi ti o ba ni oloogun to dara, o mo awọn ẹja kan kan ati o le ṣe ọna kan nitori o mo awọn ọna.",他很熟悉这个行业。,他在那里工作多年，非常熟悉工作程序，可以处理任何任务。,作为一名经验丰富的水手，他对绳索非常熟悉，能够打任何结。
285,know which side one's bread is buttered,to be cognizant of where one's interests lie in a given situation.,"He always supports the boss's decisions, showing that he [[knows which side his bread is buttered]]",He carefully observed the sandwich and [[knows which side his bread is buttered]] to avoid getting his hands greasy,"He always supports the boss's decisions, showing that he knows which side his bread is buttered",He carefully observed the sandwich and knows which side his bread is buttered to avoid getting his hands greasy,knows which side his bread is buttered,"Er weiß, auf welcher Seite sein Brot bestrichen ist.","Er unterstützt immer die Entscheidungen des Chefs und zeigt damit, dass er weiß, auf welcher Seite sein Brot bestrichen ist.","Er beobachtete das Sandwich sorgfältig und weiß, auf welcher Seite sein Brot bestrichen ist, um zu vermeiden, dass er sich die Hände schmutzig macht.",יודע איזה צד של הלחם שלו מומחה.,"הוא תמיד תומך בהחלטות המנהל, מראה שהוא יודע על איזו צד הלחמניות שלו מפוזרות.",הוא עקב בזהירות אחרי הכרובית ויודע על איזו צדדי הלחם הוא מזין חמאה כדי למנוע מלככב ידיים שמנות.,जानता है कि उसका रोटी का कौन सा तरफ़ घी लगा हुआ है।,"वह हमेशा बॉस के फैसलों का समर्थन करता है, जिससे उसे पता चलता है कि उसका भला किसके साथ है।",उसने सैंडविच को सावधानी से देखा और जान लिया कि उसका ब्रेड किस तरफ से मक्खन लगा हुआ है ताकि उसके हाथ ग्रीसी न हों।,"Tudja, hogy melyik oldala vajas a kenyérének.","Mindig támogatja a főnök döntéseit, mutatva, hogy tudja, melyik oldalán van a kenyérének a vaj.","Óvatosan megfigyelte a szendvicset, és tudja, hogy melyik oldalán van a vaj, hogy elkerülje, hogy zsírosak legyenek a kezei.",그는 자신이 어느 쪽에서 버터를 바른 빵을 먹는지 안다.,"그는 항상 상사의 결정을 지지하며, 자신이 어느 쪽에 서 있는지 알리고 있습니다.",그는 샌드위치를 주의 깊게 관찰하고 손이 끈적이지 않도록 버터친 쪽을 알고 있습니다.,Sabe de qué lado le untan la mantequilla al pan.,"Él siempre apoya las decisiones del jefe, demostrando que sabe de qué lado está su pan untado.",Observó cuidadosamente el sándwich y sabe de qué lado está untada la mantequilla para evitar ensuciarse las manos.,O mo pe alagbara re ti nje ogede re.,"O da l'ori awọn iṣẹ, nikan ni o fi ṣe iranlọwọ fun awọn apọjuwe ti o ba nṣe.","O ti mọ akọọlẹ kan pẹlu ìwé àkàrà, àti o mọ pé ọrọ rẹ ni ń ṣe àkàrà tó bá ṣe àkàrà, kí o ṣe ń ṣe ọwọ rẹ lọ pẹlu ẹfọ rẹ.",知道自己的利益所在。,他总是支持老板的决定，表明他知道自己的立场。,他仔细观察了三明治，知道哪一面是涂了黄油的，以避免弄脏手。
286,knowing which way the wind blows,this means that you should know how things are developing and be prepared for the future,He made a wise decision by [[knowing which way the wind blows]] in the company,"As an experienced sailor, he was skilled at [[knowing which way the wind blows]]",He made a wise decision by knowing which way the wind blows in the company,"As an experienced sailor, he was skilled at knowing which way the wind blows",knowing which way the wind blows,"zu wissen, wie der Wind weht","Er traf eine kluge Entscheidung, indem er wusste, wie der Wind im Unternehmen weht.","Als erfahrener Segler war er geschickt darin, zu wissen, aus welcher Richtung der Wind weht.",לדעת לאיזה כיוון הרוח נושבת,הוא קיבל החלטה חכמה על ידי ידיעת הכיוון שבו נושב הרוח בחברה.,"כמלווה ימי מנוסה, הוא היה מיומן ביכולת להבין לאיזו כיוון הרוח נושבת.","हवा किस दिशा में बहती है, उसे जानना","उसने समझ लिया कि कंपनी में हवा किस तरफ चल रही है, इसलिए उसने एक बुद्धिमान फैसला लिया।","एक अनुभवी सेलर के रूप में, उसे हवा की दिशा का ज्ञान होने में कुशल था।","tudni, hogy merre fúj a szél","Bölcs döntést hozott azzal, hogy tudta, merre fúj a szél a cégnél.","Tapasztalt vitorlázóként jól tudta, hogy melyik irányból fúj a szél.",바람이 어느 방향으로 불고 있는지 알기,그는 회사에서 바람이 어느 방향으로 불고 있는지 알아내어 현명한 결정을 내렸다.,"경험이 풍부한 선원으로서, 그는 바람이 어느 방향에서 불어오는지를 잘 알았다.",saber de qué manera sopla el viento,Tomó una decisión sabia al saber en qué dirección sopla el viento en la empresa.,"Como marinero experimentado, era hábil para saber en qué dirección sopla el viento.",mo nípa ìgbàgbọ́ nípa ìwọ̀n òkunrin.,O ti gbe egbe ni ife kan ti o ba n gbe ojo ori re ri ipele re.,"Bí aṣẹ ilé-ọba tó bá jẹ́, ó lè ṣe àwọn tí ó ní ìkìlọ nípa ìwọ̀n ìsẹ́ ọ̀kẹ̀rẹ́.",知道风向。,他明智地做出了决定，知道公司的风向。,作为一名经验丰富的水手，他擅长知道风向。
287,lead astray,make someone act or think in a wrong or foolish manner.,The false information [[led them astray]] in their investigation,The broken compass [[led them astray]] in the dense forest,The false information led them astray in their investigation,The broken compass led them astray in the dense forest,led them astray,Führte sie in die Irre.,Die falschen Informationen haben sie bei ihrer Untersuchung in die Irre geführt.,Der kaputte Kompass hat sie im dichten Wald in die Irre geführt.,הובילם לתפילת עגל.,המידע השקרי הוביל אותם לטעות בחקירתם.,המצפן השבור הוביל אותם לתפוס דרך לא נכונה ביער העמוס.,उन्हें भटका दिया,गलत जानकारी ने उन्हें उनकी जांच में भटका दिया।,टूटा हुआ कंपास उन्हें घने जंगल में भटका दिया।,eltévesztette őket,A hamis információ eltérítette őket a nyomozásban.,A törött iránytű eltévesztette az utat a sűrű erdőben.,그들을 길에서 빗나가게 했다.,그들의 조사를 잘못된 정보가 오도하게 만들었다.,부서진 나침반으로 그들은 우거진 숲에서 길을 잃었다.,Los llevó por mal camino.,La información falsa los llevó por mal camino en su investigación.,La brújula rota los llevó por mal camino en el denso bosque.,ni won lọwọ.,"Iwọn ọrọ kan ti o tọ, ti o fi wọn lọwọ ni ilana wọn.",Ilu igi ti o fa'gba odo re ni o si n'ile iseju kan.,把他们引入歧途,错误的信息让他们在调查中误入歧途。,破损的指南针在茂密的森林中使他们迷路了。
288,lean towards,to be interested in something,"After considering the pros and cons, she [[was leaning towards that option]]","While standing near the table, he [[was leaning towards that option]] to get a closer look","After considering the pros and cons, she was leaning towards that option","While standing near the table, he was leaning towards that option to get a closer look",was leaning towards that option,Ich tendierte zu dieser Option.,Nach Abwägung der Vor- und Nachteile tendierte sie zu dieser Option.,"Während er in der Nähe des Tisches stand, lehnte er sich zu dieser Option, um sie genauer anzusehen.",התכוונתי לאפשרות הזאת.,"לאחר ששקלה את היתרונות והחסרונות, היא התכוונה לאפשרות זו.","בזמן שעמד ליד השולחן, הוא התעמק לכיוון האפשרות הזאת כדי לקבל מבט קרוב יותר.",उस विकल्प की ओर झुक रहा था।,"फायदे और नुकसान को ध्यान में रखने के बाद, वह उस विकल्प की ओर झुक रही थी।","टेबल के पास खड़े होकर, वह उस विकल्प की ओर झुक रहा था ताकि नजदीक से देख सके।",Az az opció felé hajlott.,Az előnyök és hátrányok mérlegelése után az az opció felé hajlott.,"Állva az asztal mellett, azon opció felé hajolt, hogy közelebbről megnézze.",그 옵션으로 기울고 있었다.,"장단점을 고려한 후, 그녀는 그 옵션을 향해 기울고 있었다.","그는 테이블 근처에 서 있으면서, 더 자세히 보기 위해 그 옵션 쪽으로 기울어졌다.",Estaba inclinándose hacia esa opción.,"Después de considerar los pros y los contras, ella estaba inclinándose hacia esa opción.","Mientras estaba parado cerca de la mesa, se inclinaba hacia esa opción para ver más de cerca.",Ọrọ kan ti mo ti kọ.,"Lẹhin ti o ṣe iṣẹda niwaju awọn ọrọ-ọrẹ, o ti wa ni ẹtọ nipa ẹyan ti o.","Nitoripe o wa ni beere tabili, o wa ni idanwo si oro yii lati ma wo nibi ti o ba dekun.",倾向于那个选项。,在考虑了利弊之后，她倾向于那个选项。,当他站在桌子旁边时，他倾向于那个选项以更近距离地观察。
289,leaps and bounds,progress very quickly,"After attending the workshop, her skills [[made progress in leaps and bounds]]",The kangaroo [[made progress in leaps and bounds]] across the field,"After attending the workshop, her skills made progress in leaps and bounds",The kangaroo made progress in leaps and bounds across the field,made progress in leaps and bounds,machte Fortschritte in Riesenschritten,"Nachdem sie am Workshop teilgenommen hatte, machten ihre Fähigkeiten enorme Fortschritte.",Das Känguru machte Fortschritte in großen Sprüngen über das Feld.,עשה התקדמות בקפיצות ומגבלות,"לאחר השתתפותה בסדנה, היכולות שלה התקדמו בקפיצות ומגבירות.",הקנגורו התקדם בקפיצות וקפיצות דרך השדה.,छलांगों से प्रगति की।,"वर्कशॉप में भाग लेने के बाद, उसके कौशल तेजी से बढ़ते रहे।",कंगारू ने खेत में छलांग लगाकर तेजी से आगे बढ़ाई।,hatalmas előrelépést tett,A workshop után a képességei hatalmas fejlődést mutattak.,A kenguru ugrálva és nagy léptekkel haladt át a mezőn.,급발전했다.,"워크샵에 참석한 후, 그녀의 기술은 급격히 발전했다.",캥거루는 들을 뛰어넘으며 큰 발전을 이루었다.,hizo progreso a pasos agigantados,"Después de asistir al taller, sus habilidades progresaron a pasos agigantados.",El canguro hizo progreso a saltos y brincos a través del campo.,ni ila ati ila ni owo.,"Lẹhin ti o ṣe iṣẹ iṣẹlẹ, iṣẹ rẹ ti wa ni ila nla.",Ilu kangaroo ti ṣe alaafia ni ilẹ.,突飞猛进,参加了研讨会后，她的技能突飞猛进。,袋鼠在田野上跳跃着大步前进。
290,learn to walk before you run,to take smaller steps initially,You should [[learn to walk before you run]] when it comes to mastering a new skill,"As a toddler, you must [[learn to walk before you run]] to avoid falling",You should learn to walk before you run when it comes to mastering a new skill,"As a toddler, you must learn to walk before you run to avoid falling",learn to walk before you run,"Lerne zuerst laufen, bevor du rennst.","Du solltest lernen zu gehen, bevor du rennst, wenn es darum geht, eine neue Fähigkeit zu meistern.","Als Kleinkind musst du lernen zu laufen, bevor du rennst, um zu vermeiden, dass du fällst.",למד ללכת לפני שתרוץ,עליך ללמוד ללכת לפני שתרוץ כשמדובר בלמידת מיומנות חדשה.,"כתינוק, עליך ללמוד ללכת לפני שתרוץ כדי למנוע נפילות.",दौड़ने से पहले चलना सीखें।,जब आप कोई नया कौशल सीखने के लिए आते हैं तो आपको दौड़ने से पहले चलना सीखना चाहिए।,"बचपन में, गिरने से बचने के लिए दौड़ने से पहले चलना सीखना आवश्यक होता है।","Tanulj meg járni, mielőtt futni kezdesz.","Előbb tanulj meg járni, mielőtt futni kezdesz, ha egy új készséget akarsz elsajátítani.","Kisgyerekként először járni kell tanulnod, mielőtt futni kezdesz, hogy elkerüld a elesést.",달리기 전에 걷는 법을 배우세요.,새로운 기술을 마스터할 때는 뛰기 전에 걷는 법을 배워야 합니다.,어린 아이로서 넘어지지 않기 위해 뛰기 전에 걷는 법을 배워야 합니다.,Aprende a caminar antes de correr.,Deberías aprender a caminar antes de correr cuando se trata de dominar una nueva habilidad.,"Como niño pequeño, debes aprender a caminar antes de correr para evitar caídas.",Jẹ ki o mọ lọwọ lọwọ sọna o tẹ.,O nilo lati kọ awọn ọrọ kan ni ojojumọ ti o ba fẹ lati maa mọ ọrọ tuntun.,"Nibi ti o ba wa ni omo kekere, o gbodo maa ko ojojumo ni o maa wo'le, lati owo ale, ki o to'bi pada sile.",先学会走再跑。,在掌握新技能时，你应该先学会走路再跑。,作为一个蹒跚学步的孩子，你必须先学会走路再跑，以避免摔倒。
