idiom,meaning,s_f_brkt,s_l_brkt,s_f,s_l,s_a,p_a_de_palm,p_f_de_palm,p_l_de_palm,p_a_he_palm,p_f_he_palm,p_l_he_palm,p_a_hi_palm,p_f_hi_palm,p_l_hi_palm,p_a_hu_palm,p_f_hu_palm,p_l_hu_palm,p_a_es_palm,p_f_es_palm,p_l_es_palm,p_a_yo_palm,p_f_yo_palm,p_l_yo_palm,p_a_zh_palm,p_f_zh_palm,p_l_zh_palm,p_a_ko_palm,p_f_ko_palm,p_l_ko_palm
it's a small world,meeting someone not expected to be at a certain place,"Running into my childhood friend in a foreign country, I thought [[it's a small world after all]]","Looking at the miniature globe in the store, I remarked, [[it's a small world after all]]","Running into my childhood friend in a foreign country, I thought it's a small world after all","Looking at the miniature globe in the store, I remarked, it's a small world after all",it's a small world after all,ach die Welt ist klein,Als ich in einem fremden Land auf meinen Kindheitsfreund traf dachte ich die Welt ist doch klein,Als ich den Miniaturglobus im Laden sah bemerkte ich es ist doch eine kleine Welt,עולם קטן אחרי הכל,פגשתי את חבר ילדותי במדינה זרה וחשבתי לעצמי שעולם קטן אחרי הכל,כשהסתכלתי על כדור הארץ המיניאטורי בחנות אמרתי זה עולם קטן אחרי הכל,आखिरकार यह एक छोटी दुनिया है,विदेश में अपने बचपन के दोस्त से मिलकर मुझे लगा कि आखिरकार दुनिया छोटी है,दुकान में छोटे ग्लोब को देखकर मैंने कहा यह आखिरकार एक छोटी दुनिया है,kicsik vagyunk a nagyvilágban,Őszintén szólva amikor egy idegen országban összefutottam a gyerekkori barátommal azt gondoltam hogy a világ mégiscsak kicsi,A boltban lévő miniatűr földgömböt nézve megjegyeztem hogy a világ mégiscsak kicsi, es un mundo pequeño después de todo,Al encontrarme con mi amigo de la infancia en un país extranjero pensé que el mundo es pequeño después de todo,Observé el globo en miniatura en la tienda y comenté: Después de todo el mundo es pequeño,Ọ̀rùn gbẹ́gẹ́gẹ́ bí ìgbàgbọ́,Ìgbà tí mo bá òun tó jẹ́ ará mi nígbà ìwàmọ́ ní orílẹ̀-èdè òkèèrè mo rò pé ìgbàgbọ́ tí mo ní pé agbáyé kéré ò ṣe òtító,Nígbà tí mo ń wo ìgbògbò àgbáyé tí wọ́n ṣe nínú ìtajà mo sọ pé ìgbàgbọ́ ò ṣe pé agbáyé kéré,毕竟世界很小,在国外遇到了我的童年朋友，我认为世界毕竟是小小的,我看着商店里的微型地球仪，说，毕竟世界很小,결국 세상은 좁다,외국에서 어린 시절 친구를 만나니 세상은 좁다는 생각이 들었다,나는 가게에 있는 미니어처 지구본을 보며 결국 세상은 좁다는 말을 했다
jam on your face,"people who appear to be caught, embarrassed or found guilty","After making a mistake in the presentation, he [[had jam on his face]] in front of the whole team","While eating breakfast, he accidentally [[had jam on his face]] from the toast","After making a mistake in the presentation, he had jam on his face in front of the whole team","While eating breakfast, he accidentally had jam on his face from the toast",had jam on his face,trug Marmelade im Gesicht,Nach einem Fehler in der Präsentation hatte er vor dem ganzen Team Marmelade im Gesicht,Beim Frühstück hatte er versehentlich Marmelade vom Toast im Gesicht,שפך ריבה על הפנים שלו,לאחר ששגה בהצגה הוא היה עם ריבה על הפנים מול כל הצוות,תוך כדי אכילת ארוחת הבוקר הוא בטעות קיבל ריבה על פניו מהטוסט,उसके चेहरे पर जैम था,प्रस्तुति में गलती करने के बाद उन्होंने पूरी टीम के सामने अपना चेहरा जमाया,नाश्ता करते समय टोस्ट से गलती से उसके चेहरे पर जैम लग गया,sárgabaracklekvár volt az arcán,Őt a prezentáció közben elkövetett hibája miatt az egész csapat előtt lekváros arccal gúnyolták,reggelit fogyasztva véletlenül lekvár került az arcára a pirítósról,tenía mermelada en la cara,Después de cometer un error en la presentación se le quedó mermelada en la cara delante de todo el equipo,Mientras desayunaba accidentalmente se manchó la cara con mermelada de la tostada,ní ìyẹ̀ ẹ̀bọ ní ọwọ́ rẹ,Lẹ́yìn tí ó ṣe àṣìṣe nínú ìfọrọ̀wọnsọ̀rọ̀ ó ní ẹ̀jẹ̀ ọ̀pọ̀ ní ọ̀rùn rẹ̀ níwájú gbogbo ẹgbẹ́,Nígbà tí ó ń jẹ ọ̀rọ̀ ìbẹ̀rẹ̀ ọjọ́ ó ṣe ìṣẹ̀lẹ̀ tí ó ṣe tí ó fi ẹ̀jẹ̀ ọ̀pọ̀n ṣe ọ̀rùn rẹ̀,脸上沾着果酱,在演讲中犯了错误，他当着全队的面丢了脸,吃早餐时，他不小心把吐司上的果酱弄到脸上了,그의 얼굴에 잼이 묻어 있었다,프리젠테이션에서 실수를 한 후 그는 팀 전체 앞에서 얼굴에 잼을 묻혔다,아침을 먹는 동안 그는 토스트에서 우연히 잼을 얼굴에 묻혔다
"judge, jury and executioner","people that are in charge of every decision made, and they have the power to be rid of whomever they choose","He [[was acting as judge, jury, and executioner]] when he made the decision without consulting anyone","In the dystopian play, the main character [[was acting as judge, jury, and executioner]] in a twisted legal system","He was acting as judge, jury, and executioner when he made the decision without consulting anyone","In the dystopian play, the main character was acting as judge, jury, and executioner in a twisted legal system","was acting as judge, jury, and executioner",handelte als Richter Geschworener und Henker,Er war Richter Geschworener und Henker als er die Entscheidung ohne Rücksprache mit jemandem traf,In dem dystopischen Stück agierte die Hauptfigur als Richter Jury und Henker in einem verdrehten Rechtssystem,שפטה זיכתה והוציאה להורג,הוא פעל כשופט חבר מושבעים וחבר הוצאה להורג כאשר קיבל את ההחלטה ללא התייעצות עם אף אחד,במחזה הדיסטופי הדמות הראשית שימשה כשופט חבר מושבעים ומבצע גזר דין במערכת משפט מעוותת,न्याधीश जूरी और जल्लाद की भूमिका निभा रहा था,जब उसने किसी से सलाह-मशविरा किए बिना निर्णय लिया तो वह न्यायाधीश जूरी और जल्लाद की तरह काम कर रहा था।,विध्वंसकारी नाटक में मुख्य पात्र एक विकृत कानूनी प्रणाली में न्यायाधीश जूरी और जल्लाद की भूमिका निभा रहा था,bíróságként esküdtszékként és hóhérként működött,Ő volt a bíró a zsűri és a hóhér amikor a döntést hozta anélkül hogy bárkivel is konzultált volna,A disztópikus darabban a főszereplő egy torz jogrendszerben bíróként esküdtszékként és hóhérként is tevékenykedett,actuaba como juez jurado y verdugo,Actuó como juez jurado y verdugo cuando tomó la decisión sin consultar a nadie,En la obra distópica el personaje principal actuaba como juez jurado y verdugo en un sistema legal retorcido,ń ṣe bí agbẹjọ́rò ẹjọ́ àti ọlọ́pàá,Ó ń ṣe bí agbẹjọ́rò ẹjọ́ àti òfin nígbà tí ó ṣe ìpinnu láì gbà ẹlòmíràn lárò,Nínú eré ìṣẹ́lẹ̀ tí ó ń ṣe ìṣẹ́lẹ̀ tí ó ń ṣe ìṣẹ́lẹ̀ ọ̀kan lára àwọn tó ń ṣe eré náà ń ṣe bíi agbẹjọ́rò ẹjọ́ àti ọ̀dọ́ ẹjọ́ nínú ìjọba tí ó ń ṣe ìṣẹ́lẹ̀ tí ó ń ṣe ìṣẹ́lẹ̀,扮演法官、陪审团和刽子手,他不征求任何人的意见就做出决定，扮演了法官、陪审团和刽子手的角色,在反乌托邦戏剧中，主角在一个扭曲的法律体系中扮演法官、陪审团和刽子手,판사 배심원 사형 집행자 역할을 했다,그는 아무도 상의하지 않고 결정을 내렸을 때 판사 배심원 사형 집행인으로 행동했다,이 디스토피아 연극에서 주인공은 뒤틀린 법률 체계에서 판사 배심원 사형 집행자 역할을 하고 있었다
jump on the bandwagon,to start doing something because it is fashionable or profitable,"When the new trend became popular, everyone [[jumped on the bandwagon]]","During the parade, he [[jumped on the bandwagon]] to join the musicians","When the new trend became popular, everyone jumped on the bandwagon","During the parade, he jumped on the bandwagon to join the musicians",jumped on the bandwagon,springen auf den Zug,Als der neue Trend populär wurde sprangen alle auf den Zug auf,Während der Parade sprang er auf den Wagen um sich den Musikern anzuschließen,התחברו לטרנד,כשהטרנד החדש הפך לפופולרי כולם קפצו על העגלה,במהלך המצעד הוא קפץ על עגלת המוזיקאים,bandwagon पर कूद गया,जब नया ट्रेंड लोकप्रिय हुआ तो हर कोई उसमें शामिल हो गया,रैली के दौरान उन्होंने संगीतकारों के साथ शामिल होने के लिए बैंडवागन पर कूद गया,tömeghez csatlakozott,Amikor a új trend népszerűvé vált mindenki felült a vonatra,Ő is felszállt a zenészek szekerére a felvonulás során,saltó al carro,Cuando la nueva tendencia se hizo popular todos se subieron al carro,Durante el desfile se subió al carro para unirse a los músicos,kópa nínú ìgbìmọ̀,Nigbati ẹ̀rọ tuntun náà di ìlúmọ̀ọ́ká gbogbo ènìyàn ń ṣe ìwà tó ń ṣe ìlúmọ̀ọ́ká,Nígbà ìgbàgbé ó sọ ọkọ ẹlẹ́rìí ìjọsìn tí ó ń gbọ́ orin tí ó sì ń ṣe ìgbàgbé,跟风,当新潮流流行起来时，每个人都跟风,游行期间，他加入了乐队,밴드웨건에 올라탔다,새로운 트렌드가 인기를 끌자 모두가 그 흐름에 편승했다,퍼레이드 도중 그는 밴드에 합류하기 위해 밴드에 뛰어들었다
jungle out there,the situation is dangerous and is characterized by ruthless behavior and competition,"With so much competition in the job market, [[it's a jungle out there]]","As we entered the dense rainforest, our guide warned us, [[it's a jungle out there]]","With so much competition in the job market, it's a jungle out there","As we entered the dense rainforest, our guide warned us, it's a jungle out there",it's a jungle out there,Es ist ein Dschungel da draußen,Bei so viel Konkurrenz auf dem Arbeitsmarkt ist es ein Dschungel da draußen,Als wir den dichten Regenwald betraten warnte uns unser Führer es sei ein Dschungel da draußen,שם בחוץ זה ג'ונגל,עם כל כך הרבה תחרות בשוק העבודה זה ג'ונגל שם בחוץ,כשנכנסנו ליערות הגשם הצפופים המדריך הזהיר אותנו זה ג'ונגל שם בחוץ,बाहर जंगल है,नौकरी के बाजार में इतनी प्रतिस्पर्धा के साथ यह जंगल है,जैसे ही हम घने वर्षावन में प्रवेश किया हमारे गाइड ने हमें चेतावनी दी यहाँ जंगल है,kinn dzsungel van,ekkora versenyhelyzetben a munkaerőpiacon ez egy dzsungel,Ahogy beléptünk a sűrű esőerdőbe a túravezetőnk figyelmeztetett hogy ott dzsungel van,ése es el mundo,Con tanta competencia en el mercado laboral es una jungla ahí fuera,Al entrar en la densa selva tropical nuestro guía nos advirtió es una jungla allá afuera,ó jẹ́ igbo níbẹ̀,Nítorí ìdíje tó pọ̀ tó wà nínú ọjọ́bọ̀ ó jẹ́ ìgbìmọ̀ ọ̀dọ́ ọ̀dọ́ níbẹ̀,Nígbà tí a ń wọ ọ̀rọ̀ ìgbé ẹranko tí ó kún fún igi olórí ìrìn-àjò wa rán wa lọ́wọ́ ó sọ pé ọ̀rọ̀ ìgbé ẹranko tí ó kún fún igi ni ó wà níbẹ̀,外面是丛林,在就业市场上竞争如此激烈，那里简直就是一片丛林,当我们进入茂密的雨林时，我们的向导警告我们，那里是一片丛林,밖에는 정글이야,워낙 경쟁이 치열한 구직 시장에서 그것은 거기 밖에 정글입니다,울창한 열대 우림에 들어서자 가이드가 우리에게 경고했습니다
jury's out,when there is no general agreement or consensus on something,"Regarding the new policy, [[the jury's out on that decision]], as people are still debating its effectiveness","During the court recess, [[the jury's out on that decision]], discussing the case in a separate room","Regarding the new policy, the jury's out on that decision, as people are still debating its effectiveness","During the court recess, the jury's out on that decision, discussing the case in a separate room",the jury's out on that decision,die Jury ist noch nicht zu einer Entscheidung gekommen,In Bezug auf die neue Politik ist die Jury noch nicht zu einer Entscheidung gekommen da die Menschen noch über ihre Wirksamkeit diskutieren,Während der Pause des Gerichts ist die Jury über diese Entscheidung hinaus diskutiert den Fall in einem separaten Raum,ועדת השופטים עדיין לא הגיעה להחלטה,בנוגע למדיניות החדשה השופטים עדיין לא החליטו מכיוון שאנשים עדיין מתווכחים על יעילותה,במהלך ההפסקה של בית המשפט חבר המושבעים יוצאים לקבל את ההחלטה דנים בתיק בחדר נפרד,उस निर्णय पर जूरी का फैसला नहीं हुआ है,नई नीति के बारे में जूरी उस निर्णय पर बाहर है क्योंकि लोग अभी भी इसकी प्रभावशीलता पर बहस कर रहे हैं,कोर्ट की छुट्टी के दौरान जूरी उस निर्णय पर बाहर है एक अलग कमरे में मामले पर चर्चा,ezen a döntésen még a zsűri is gondolkodik,A új politikával kapcsolatban még nem született döntés mivel az emberek még vitatják hatékonyságát,Ők most a tárgyalás szünetében hozták meg ezt a döntést egy külön szobában tárgyalták meg az ügyet,el jurado no ha tomado una decisión,En cuanto a la nueva política el jurado no ha dado su veredicto ya que la gente sigue debatiendo su eficacia,Durante el receso del tribunal el jurado está fuera de esa decisión discutiendo el caso en una habitación separada,ẹgbẹ́ ẹjọ́ ò tí ṣe ìpinnu lórí ìpinnu náà,Nípa ìpolítííkì tuntun náà àwọn ọmọ ẹgbẹ́ ìgbìmọ̀ tó ń ṣe ìpinnu ò tíì ṣe ìpinnu nítorí pé àwọn èèyàn ń ṣe ìjàyé nípa ìṣe tó ní,Nígbà tí ẹjọ́ ń gbà ìfẹ́yìnjú ẹgbẹ́ ìgbìmọ̀ ẹjọ́ ń ṣe ìpinnu wọ́n sì ń sọ̀rọ̀ nípa ẹjọ́ náà nínú ọ̀dọ̀ kan,陪审团还没有就这个决定做出结论,关于新政策，人们仍在争论其有效性，因此还没有定论,在法庭休庭期间，陪审团在另一个房间讨论案件，并做出决定,배심원단은 그 결정에 대해 의견이 분분하다,새로운 정책에 관해서는 사람들이 여전히 그 효과에 대해 논쟁하고 있기 때문에 그 결정에 대한 심사숙고가 필요합니다,재판이 중단되는 동안 배심원단은 별도의 방에서 사건을 논의하며 그 결정을 내립니다
just off the boat,a person who is naive and inexperienced,"He was so naive and inexperienced, as if he was [[just off the boat]]","Soaking wet and carrying their luggage, they were [[just off the boat]] from their island trip","He was so naive and inexperienced, as if he was just off the boat","Soaking wet and carrying their luggage, they were just off the boat from their island trip",just off the boat,frischen vom Schiff,Er war so naiv und unerfahren als wäre er gerade von Bord gegangen,klatschnass und mit Gepäck beladen waren sie gerade von der Inseltour mit dem Boot zurück,מיד אחרי היציאה מהסירה,הוא היה כל כך תמים וחסר ניסיון כאילו הוא פשוט ירד מהסירה,ספוגים מים נושאים את המזוודות שלהם הם ירדו זה עתה מהסירה מטיול האי שלהם,नाव से उतरते ही,वह इतना भोला और अनुभवहीन था जैसे कि वह अभी नाव से उतरा हो,गीले-बहते और अपना सामान लेकर वे अपने द्वीप यात्रा से नाव से उतर रहे थे,egyenesen a hajóról,Ő olyan naiv és tapasztalatlan volt mintha csak most szállt volna le a hajóról,Ők ketten bőröndökkel a kezükben ázva épp kiszálltak a hajóból amely az óceánon átvitte őket a szigetre,bajando del barco,,calados hasta los huesos y con su equipaje acababan de bajar del barco de su viaje a la isla,nípa ọkọ̀ òkun,Ó ní ìgbàgbọ́ tí ó ní ìrírí bí ó tilẹ̀ jẹ́ pé ó ṣẹ̀ṣẹ̀ kúrò nínú ọkọ̀ òkun,Wọ́n ṣẹ́gẹ́gẹ́ nínú omi wọ́n sì ń ṣe ẹ̀rù wọn wọ́n ṣẹ̀ṣẹ̀ kúrò nínú ọkọ̀ omi láti ìrìn-àjò wọn sí ìlú tó wà nínú omi,刚下船,他很天真，没有经验，好像刚刚下船,他们刚刚从岛上旅行回来，全身湿透，还背着行李。,뱃에서 내리자마자,그의 순진함과 경험 부족은 마치 배에서 막 내린 것 같았다,흠뻑 젖은 채 짐을 들고 섬 여행에서 막 배에서 내린 사람들
just what the doctor ordered,exactly what was wanted or needed,A relaxing vacation was [[just what the doctor ordered]] after a stressful year,The prescribed medication was [[just what the doctor ordered]] for her condition,A relaxing vacation was just what the doctor ordered after a stressful year,The prescribed medication was just what the doctor ordered for her condition,just what the doctor ordered,genau das was der Arzt verordnet hat,Ein erholsamer Urlaub war genau das was der Arzt nach einem stressigen Jahr verordnet hatte,Die verschriebenen Medikamente waren genau das was der Arzt für ihren Zustand verordnet hatte,בדיוק מה שהרופא ציווה,נופש מרגיע היה בדיוק מה שהרופא המליץ אחרי שנה מלחיצה,תרופות המרשם היו בדיוק מה שהרופא הורה עבור מצבה,डॉक्टर ने जो कहा था,तनावपूर्ण वर्ष के बाद डॉक्टर ने आराम करने की छुट्टी दी,निर्धारित दवा ठीक वही थी जो डॉक्टर ने उसकी स्थिति के लिए आदेश दिया था,egyenesen a doktor rendelvénye,Egy pihentető nyaralás volt az amire a doktor rendelt egy stresszes év után,A felírt gyógyszer pontosan az volt amire a doktornőnek szüksége volt,justo lo que el doctor ordenó,Unas vacaciones relajantes eran justo lo que el médico había recetado después de un año estresante,El medicamento recetado era justo lo que el médico ordenó para su condición,ìtọ́jú tí ògbógbó ń ṣe,Ìfẹ́sẹ́ ìfẹ́rẹ́ ní òun tí ògbómọ́ ọ̀rọ̀ ń ṣe ní ọdún tí ó ń ṣe ìyà tí ó sì ń ṣe ìṣẹ́ tí ó ń ṣe ìyà,Ìlò́wò́ tí wọ́n fún ní ìyàtọ̀ sí ìlò́wò́ tí ọ̀jọ́gbọ́n fún ní ìwòsàn rẹ̀,正合我意,在经历了一年紧张的生活后，放松的假期正是医生开出的药方,医生开的药正好适合她的病情,딱 의사가 처방한 대로,1년 동안의 스트레스를 풀기 위해 휴가를 가는 것은 의사가 처방한 것과 같다,처방된 약은 의사가 그녀의 상태에 맞게 처방한 것이었다
keep at arm's length,keep distance from something or somebody,"Despite his attempts to get closer, [[she kept him at arm's length]] due to her cautious nature","During the self-defense training, [[she kept him at arm's length]] to maintain a safe distance","Despite his attempts to get closer, she kept him at arm's length due to her cautious nature","During the self-defense training, she kept him at arm's length to maintain a safe distance",she kept him at arm's length,hielten ihn auf Distanz,Trotz seiner Versuche sich ihr zu nähern hielt sie ihn aufgrund ihrer vorsichtigen Natur auf Distanz,Während des Selbstverteidigungstrainings hielt sie ihn auf Distanz um einen sicheren Abstand zu wahren,נתנה לו יד ארוכה,למרות ניסיונותיו להתקרב אליה היא שמרה על מרחק בגלל טבעה הזהיר,במהלך אימון ההגנה העצמית היא שמרה אותו במרחק זרוע כדי לשמור על מרחק בטוח,उसने उसे दूर रखा,करीब आने के उसके प्रयासों के बावजूद वह अपने सतर्क स्वभाव के कारण उसे दूर ही रखती थी,रक्षा प्रशिक्षण के दौरान उसने सुरक्षित दूरी बनाए रखने के लिए उसे अपनी बाँहों की लंबाई पर रखा,távol tartotta tőle,Ő azonban óvatos természete miatt távol tartotta tőle magát annak ellenére hogy a férfi közeledni próbált hozzá,Őrizte a biztonságos távolságot ezért a küzdősportok edzése közben távol tartotta tőle a kezét,lo mantenía a distancia,Apesar de sus intentos de acercarse ella lo mantuvo a distancia debido a su naturaleza cautelosa,Durante el entrenamiento de defensa personal ella lo mantuvo a distancia de brazo para mantener una distancia segura,ó ń ṣe ìyàtọ̀ láàrin wọn,Láìka ìgbésẹ́ tó ń tẹ̀sùn tó ń tẹ̀sùn tó ń tẹ̀sùn tó ń tẹ̀sùn tó ń tẹ̀sùn tó ń tẹ̀sùn tó ń tẹ̀sùn tó ń tẹ̀sùn tó ń tẹ̀sùn tó ń tẹ̀sùn tó ń tẹ̀sùn tó ń tẹ̀sùn tó ń tẹ̀sùn tó ń tẹ̀sùn tó ń tẹ̀sùn tó ń tẹ̀sùn tó ń tẹ̀sùn tó ń tẹ̀sùn tó ń tẹ̀sùn tó ń tẹ̀sùn tó ń tẹ̀sùn tó ń tẹ̀sùn tó ń tẹ̀sùn tó ń tẹ̀sùn tó ń tẹ̀sùn tó ń tẹ̀sùn tó ń tẹ̀sùn tó ń tẹ̀sùn tó ń tẹ̀sùn tó ń tẹ̀sùn tó ń tẹ̀sùn tó ń tẹ̀sùn tó ń tẹ̀sùn tó ń tẹ̀sùn tó ń tẹ̀sùn tó ń tẹ̀sùn tó ń tẹ̀sùn tó ń tẹ̀sùn tó ń tẹ̀sùn tó ń tẹ̀sùn tó ń tẹ̀sùn tó ń tẹ̀sùn tó ń tẹ̀sùn tó ń tẹ̀sùn tó ń tẹ̀sùn tó ń tẹ̀sùn tó ń tẹ̀sùn tó ń tẹ̀sùn tó ń tẹ̀sùn tó ń tẹ̀sùn tó ń tẹ̀sùn tó ń tẹ̀sùn tó ń tẹ̀sùn tó ń tẹ̀sùn tó ń tẹ̀sùn tó ń tẹ̀sùn tó ń tẹ̀sùn tó ń tẹ̀sùn tó ń tẹ̀sùn tó ń tẹ̀sùn tó ń tẹ̀sùn tó ń tẹ̀sùn tó ń tẹ̀sùn tó ń tẹ̀sùn tó ń tẹ̀sùn tó ń tẹ̀sùn tó ń tẹ̀sùn tó ń tẹ̀sùn tó ń tẹ̀sùn tó ń tẹ̀sùn tó ń tẹ̀sùn tó ń tẹ̀sùn tó ń tẹ̀sùn tó ń tẹ̀sùn tó ń tẹ̀sùn tó ń tẹ̀sùn tó ń tẹ̀sùn tó ń tẹ̀sùn tó ń tẹ̀sùn tó ń tẹ̀sùn tó ń tẹ̀sùn tó ń tẹ̀sùn tó ń tẹ̀sùn tó ń tẹ̀sùn tó ń tẹ̀sùn tó ń tẹ̀sùn tó ń tẹ̀sùn tó ń tẹ̀sùn tó ń tẹ̀sùn tó ń tẹ̀sùn tó ń tẹ̀sùn tó ń tẹ̀sùn tó ń tẹ̀sùn tó ń tẹ̀sùn tó ń tẹ̀sùn tó ń tẹ̀sùn tó ń tẹ̀sùn tó ń tẹ̀sùn tó ń tẹ̀sùn tó ń tẹ̀sùn tó ń tẹ̀sùn tó ń,Nígbà tí wọ́n ń kọ́ ọ̀rọ̀ ìjà ara ẹni ó ń tọ́ ọ̀dọ̀ rẹ̀ ní ìwọ̀n ọwọ́ láti ṣe ìtọ́jú ìjọba tí ó tó,她与他保持距离,尽管他想更亲近她，但她却因为谨慎的性格而与他保持距离,在防身术训练中，她保持与他之间的距离，以保持安全距离,멀리 떨어져서,그의 접근 시도에도 불구하고 그녀는 조심스러운 성격 때문에 그를 멀리했다,셀프 디펜스 훈련 중 그녀는 안전한 거리를 유지하기 위해 그를 팔 길이만큼 떨어뜨려 놓았다
keep card close to chest,"be secretive or cautious, give nothing away","During the negotiations, [[they kept their cards close to their chest]] and didn't reveal their true intentions","While playing poker, [[they kept their cards close to their chest]] so no one could see their hand","During the negotiations, they kept their cards close to their chest and didn't reveal their true intentions","While playing poker, they kept their cards close to their chest so no one could see their hand",they kept their cards close to their chest,hielten ihre Karten dicht an der Brust,Während der Verhandlungen hielten sie ihre Karten eng an die Brust und enthüllten nicht ihre wahren Absichten,Während des Pokerspiels hielten sie ihre Karten eng an die Brust damit niemand ihre Hand sehen konnte,הן שמרו את הקלפים קרוב לחזה,במהלך המשא ומתן הם שמרו על קלפים קרוב לחזה ולא גילו את כוונותיהם האמיתיות,תוך כדי משחק פוקר הם שמרו את הקלפים קרוב לחזה שלהם כדי שאף אחד לא יוכל לראות את היד שלהם,उन्होंने अपने कार्ड अपने सीने से लगाए रखे,वार्ता के दौरान उन्होंने अपने कार्ड अपने सीने से लगाए रखा और अपने सच्चे इरादे प्रकट नहीं किए,पोकर खेलते समय वे अपने कार्ड को अपने सीने के पास रखते थे ताकि कोई भी उनका हाथ न देख सके,szájtátva hallgatták,Ők a tárgyalások során nem tárták fel igazi szándékaikat,A pókerjátékosok a kártyáikat a mellkasukhoz szorították hogy senki ne lássa a kezüket,guardando sus cartas cerca del pecho,Durante las negociaciones mantuvieron sus cartas cerca del pecho y no revelaron sus verdaderas intenciones,Mientras jugaban al póker mantenían sus cartas cerca del pecho para que nadie pudiera ver su mano,wọ́n fi ìfẹ́ wọn sọ́kọ́,Nígbà tí wọ́n ń ṣe ìjàrò wọ́n fi ìròyìn wọn sọ́kò ọkàn wọn wọ́n sì kọ́kọ́ ṣe ìròyìn ìpinnu wọn,Nígbà tí wọ́n ń ṣe ẹ̀yẹ póker wọ́n fi àwọn kaadi wọn sí ọkàn wọn kí ẹnikẹni má ṣe rí ọwọ́ wọn,他们守口如瓶,在谈判中，他们守口如瓶，不透露自己的真实意图,玩扑克时，他们把牌紧贴胸口，这样别人就看不到他们的手牌,카드를 숨기고,협상 기간 동안 그들은 카드를 숨기고 진정한 의도를 드러내지 않았다,포커를 칠 때는 아무도 손을 볼 수 없도록 카드를 가슴에 꼭 붙였다
keep the wolf from the door,to have sufficient money to prevent starvation or hunger,"Working two jobs, she [[kept the wolf from the door]] and provided for her family","With a sturdy fence, the farmer [[kept the wolf from the door]] of his sheep pen","Working two jobs, she kept the wolf from the door and provided for her family","With a sturdy fence, the farmer kept the wolf from the door of his sheep pen",kept the wolf from the door,hielten den Wolf von der Tür fern,2 Jobs um den Wolf von der Tür fernzuhalten und für ihre Familie zu sorgen,Mit einem stabilen Zaun hielt der Bauer den Wolf von der Tür seines Schafstalls fern,מונעת את הזאב מהדלת,עבודה בשני עבודות היא שמרה על הבית והפרנסה,גדרה חזקה שמרה על החקלאי מהזאב בכניסה לסורו,भेड़िये को दरवाजे से दूर रखा,2 नौकरियों में काम करके उसने अपने परिवार के लिए रोटी-कपड़ा-मकान का प्रबंध किया,एक मजबूत बाड़ के साथ किसान ने अपने भेड़ के बाड़े के दरवाजे से भेड़िया को दूर रखा,távol tartotta a farkast a háztól,2 állást vállalva tartotta távol a farkast az ajtótól és gondoskodott a családjáról,A szilárd kerítéssel a gazda távol tartotta a farkast a juhakól ajtajából,echó al lobo de la puerta,Trabajando dos trabajos ella mantuvo el lobo lejos de la puerta y proporcionó para su familia,Con una valla resistente el granjero mantuvo al lobo lejos de la puerta de su corral de ovejas,ṣe ìgbàgbọ́ nínú ìjọba,Nípa ṣiṣẹ́ méjì ó ṣe ìgbésẹ́ láti ṣe ìgbàgbé ìdílé rẹ̀,Pẹ̀lú òdò ìdàmú agbẹ̀ gbà ẹlẹ́gbẹ̀rin kúrò ní ìbọ̀n àgbẹ̀ ẹ̀yẹ rẹ̀,防止狼入门,她同时做两份工作，养家糊口,农夫用坚固的围栏把狼挡在羊圈门外,늑대를 문에서 멀리 떨어뜨리다,2개의 직업을 가지고 일하면서 그녀는 가족을 부양하고 생계를 유지했다,튼튼한 울타리로 농부는 양 우리 문에서 늑대를 막았다
