idiom,meaning,label,source,translation_ko,translation_zh,translation_he,translation_yo
blue blood,a member of an upper-class family,literal,"In a bizarre science fiction world, they were [[a blue blood family]] with copper-based hemocyanin",한 기이한 공상 과학 세계관에서는 그들은 구리 기반의 혈색소를 지닌 [[푸른 피의 가문]]이었습니다,,,
get hitched,to get married,figurative,"After dating for five years, [[they decided to get hitched]] and start a family",,,,
get hitched,to get married,literal,"During their road trip, [[they decided to get hitched]] to a trailer for extra storage",,,,
asked for the moon,ask for something that is very difficult or impossible to get,figurative,He [[asked for the moon]] when he requested a million-dollar salary,그는 백만 달러의 연봉을 요구하는 [[터무니없이 불가능한 부탁을 했습니다]],他要求百万年薪是[[天方夜谭]],,
asked for the moon,ask for something that is very difficult or impossible to get,literal,"The child, fascinated by astronomy, playfully [[asked for the moon]] as a birthday gift",천문학의 매력에 빠진 그 아이는 [[달을]] 생일 선물로 [[달라고 부탁했습니다]],喜欢天文学的孩子淘气地[[要月亮]]作为生日礼物,,
all ears,saying that you are all ears means the other person has got your full attention in terms of listening to him,figurative,"When she started telling her story, I promised to [[be all ears]]",그녀가 이야기를 시작했을 때 난 [[집중해서 귀기울여 들을 것]]을 약속했습니다,当她开始讲她的故事时，我保证[[洗耳恭听]],,
all ears,saying that you are all ears means the other person has got your full attention in terms of listening to him,literal,"In the surreal art exhibit, the walls appeared to [[be all ears]]",초현실주의 예술 전시회에서 벽면들은 마치 [[모두 귀]]처럼 보였습니다,在超现实艺术展中，墙上看起来[[全是耳朵]],,
burn the candle at both ends,to exhaust someone's energies or resources by leading a hectic life.,figurative,"Working two jobs and studying, she was [[burning the candle at both ends]]",겸업을 하며 공부하면서 그녀는 [[몹시 지쳐갔습니다]],,,
burn the candle at both ends,to exhaust someone's energies or resources by leading a hectic life.,literal,"During the experiment, they were [[burning the candle at both ends]] to observe the melting rate",실험 두 중 그들은 용해 속도를 관찰하기 위해 [[양 끝에서 촛불을 태웠습니다]],,,
not hurt a fly or flea,"To not be able to cause harm to anyone, including even a tiny and insignificant insect.",figurative,"Despite his intimidating appearance, he [[wouldn't hurt a fly]] and was very gentle",,,,
not hurt a fly or flea,"To not be able to cause harm to anyone, including even a tiny and insignificant insect.",literal,She was so careful with her bug collection that she [[wouldn't hurt a fly]] while handling them,,,,
under the radar,"going unnoticed, avoiding unnecessary attention",figurative,He [[was working under the radar]] to avoid drawing attention to his project,그는 자신의 프로젝트에 대한 관심을 피하기 위해 [[비밀리에 진행하고 있었습니다]],,,
under the radar,"going unnoticed, avoiding unnecessary attention",literal,The technician [[was working under the radar]] equipment to fix a malfunction,기술자는 오작동을 해결하기 위해 장비의  [[레이더 아래에서 작업 중이었습니다]] ,,,
ate her alive,to criticize someone severely because you are angry with them,figurative,The guilt of lying to her best friend [[it ate her alive]] for days,그녀의 절친한 친구에게 거짓말한 죄책감이 며칠 동안 [[그녀를 힘들게 했습니다]],对她朋友撒谎的罪恶感让她几天[[彷徨不安]],,
ate her alive,to criticize someone severely because you are angry with them,literal,"In the horror movie, the monster found her hiding spot and [[it ate her alive]]",공포 영화에서 괴물이 그녀의 은신처를 찾아내어 [[그녀를 산 채로 먹어치웠습니다]],在恐怖电影里，怪兽发现了她的藏身之处并[[生吞]]了她,,
cold feet,loss of courage,figurative,[[She got cold feet]] just before her big presentation,[[그녀는]] 중대한 발표 직전에 [[주늑들어 있었다]],,,
cold feet,loss of courage,literal,"After walking in the snow without proper shoes, [[she got cold feet]]",마땅한 신발 없이 눈밭을 걸어다니다보니 [[그녀는 발이 시렸습니다]],,,
playing second fiddle,to play a secondary or minor role with regards to someone else,figurative,He didn't like [[playing second fiddle to her]] in the company hierarchy,,,,
playing second fiddle,to play a secondary or minor role with regards to someone else,literal,"In the orchestra, he was [[playing second fiddle to her]] during the performance",,,,
high up,to have an important standing in society,figurative,He was [[so high up]] in the company that he had direct access to the CEO,,,,
high up,to have an important standing in society,literal,The mountain peak was [[so high up]] that it was covered in snow,,,,
cross swords,to fight with another person physically or verbally.,figurative,"During the heated debate, she [[crossed swords with him]] over their differing opinions",열띈 토론 도중 그녀는 그와 대립하는 의견 때문에 [[격론을 벌이게 되었습니다]],,,
cross swords,to fight with another person physically or verbally.,literal,"At the fencing tournament, they [[crossed swords with him]] in a thrilling match",펜싱 토너먼트에서 그들은 그와 흥미진진한 경기에서 [[검을 맞대고 싸웠습니다]],,,
lead astray,make someone act or think in a wrong or foolish manner.,figurative,The false information [[led them astray]] in their investigation,,,,
lead astray,make someone act or think in a wrong or foolish manner.,literal,The broken compass [[led them astray]] in the dense forest,,,,
whole nine yards,"everything, all of something",figurative,[[She went the whole nine yards]] to make his birthday special,[[그녀는]] 그의 생일을 특별하게 만들기 위해 [[모든것을 했습니다 ]],,,
whole nine yards,"everything, all of something",literal,"The fabric store required her to buy the fabric in bulk, so [[she went the whole nine yards]]",천 가게는 그녀에게 천을 대량으로 사라고 요구했기 때문에 [[그녀는 9야드를 통째로 갔습니다]],,,
go steady,have a romantic relationship with someone,figurative,"After dating for a few months, [[they decided to go steady]] and become exclusive",,,,
go steady,have a romantic relationship with someone,literal,"During the balance exercise, [[they decided to go steady]] and avoid sudden movements",,,,
smell something fishy,to have a suspicion that something is wrong,figurative,"When he started avoiding my questions, [[I smelled something fishy]] about his story",그가 내 질문을 피하기 시작했을 때 그의 이야기에 대해 [[나는 뭔가 잘못됐다고 의심을 품었습니다]] ,,,
smell something fishy,to have a suspicion that something is wrong,literal,"Walking past the seafood market, [[I smelled something fishy]] in the air",수산시장 지나서 [[나는]] 공기에서 [[비린내 냄새가 맡았습니다]],,,
on pins and needles,being anxious or nervous,figurative,"While anticipating the exam results, we were [[waiting on pins and needles]]",,,,
on pins and needles,being anxious or nervous,literal,"During the acupressure therapy session, she was [[waiting on pins and needles]] placed on her back",,,,
