idiom,meaning,s_f_brkt,s_l_brkt,s_f,s_l,s_a,p_a_de_opus,p_f_de_opus,p_l_de_opus,p_a_he_opus,p_f_he_opus,p_l_he_opus,p_a_hi_opus,p_f_hi_opus,p_l_hi_opus,p_a_hu_opus,p_f_hu_opus,p_l_hu_opus,p_a_ko_opus,p_f_ko_opus,p_l_ko_opus,p_a_es_opus,p_f_es_opus,p_l_es_opus,p_a_yo_opus,p_f_yo_opus,p_l_yo_opus,p_a_zh_opus,p_f_zh_opus,p_l_zh_opus
lights are on but nobody is home,used to describe a stupid person.,"When I tried to explain the situation to him, it seemed like [[the lights are on but nobody is home]]",I walked past the house and noticed that [[the lights are on but nobody is home]],"When I tried to explain the situation to him, it seemed like the lights are on but nobody is home",I walked past the house and noticed that the lights are on but nobody is home,the lights are on but nobody is home,"Die Lichter sind an, aber niemand ist zu Hause","Als ich versuchte, ihm die situation zu erklären, schien es, als wären die lichter an, aber niemand ist zu hause.","Ich ging am Haus vorbei und bemerkte, dass die Lichter an waren, aber niemand zu Hause war.",האורות דולקים אבל אף אחד לא בבית.,"כשניסיתי להסביר לו את המצב, זה נראה כאילו האורות דולקים אבל אף אחד לא בבית",עברתי ליד הבית ושמתי לב שהאורות דולקים אבל אף אחד לא בבית,प्रकाश पर हैं लेकिन कोई भी घर नहीं है,"जब मैंने उसे स्थिति समझाने की कोशिश की, तो ऐसा लगा जैसे प्रकाश आ रहा है लेकिन कोई भी घर नहीं है",मैं घर के बाहर चला गया और देखा कि प्रकाश पर हैं लेकिन कोई भी घर नहीं है,"Világít a lámpa, de nincs otthon senki","Amikor megpróbáltam elmagyarázni neki a helyzetet, úgy tűnt, hogy ég a lámpa, de senki sincs otthon.","Elsétáltam a ház mellett, és észrevettem, hogy égnek a lámpák, de senki sincs otthon.",,,,"Las luces están encendidas, pero nadie está en casa","Cuando traté de explicarle la situación, parecía que las luces estaban encendidas, pero nadie estaba en casa.","Pasé por delante de la casa y noté que las luces están encendidas, pero nadie está en casa.","Ìmólè wà lórí ilè, àmó kò sí ẹnì kankan tó ń gbébè","Nígbà tí mo gbìyànjú láti ṣàlàyé bí òràn náà ṣe rí fún un, ńṣe ló dà bíi pé ìmólè wà lórí ilè, àmó kò sí ẹnì kankan tó ń gbébè","Mo rìn kọjá ilé wa, mo sì kíyè sí i pé iná wà níbè, àmó kò séni tó ń gbébè","灯开着,没人在家",当我试图向他解释情况时 似乎灯光开着 但没人在家,"我走过房子,注意到灯开着 但没人在家"
line in the sand,a boundary beyond which one cannot proceed without consequences,He decided [[to draw a line in the sand]] and confront his coworker about the issue,"While playing at the beach, the children decided [[to draw a line in the sand]] to divide their territories",He decided to draw a line in the sand and confront his coworker about the issue,"While playing at the beach, the children decided to draw a line in the sand to divide their territories",to draw a line in the sand,um eine Linie in den Sand zu ziehen,"Er beschloss, eine Linie in den Sand zu ziehen und seinen Kollegen mit dem Thema zu konfrontieren.","Während sie am Strand spielten, beschlossen die Kinder, eine Linie in den Sand zu ziehen, um ihre Territorien zu teilen.",לצייר קו בחול,הוא החליט למתוח קו בחול ולהתעמת עם עמיתו לעבודה בנושא,"בזמן ששיחקו בחוף הים, החליטו הילדים למתוח קו בחול כדי לחלק את שטחיהם",रेत में लकीर खींचने के लिए,उन्होंने रेत में एक रेखा खींचने का फैसला किया और मुद्दे के बारे में अपने साथियों का सामना किया,"समुद्र तट पर खेलते समय, बच्चों ने अपने क्षेत्रों को विभाजित करने के लिए रेत में एक रेखा खींचने का फैसला किया",Rajzolj egy vonalat a homokban,"Úgy döntött, hogy húz egy vonalat a homokban, és szembesíti munkatársát a kérdéssel.","Miközben a tengerparton játszottak, a gyerekek úgy döntöttek, hogy vonalat húznak a homokban, hogy megosszák területeiket.",,,,para dibujar una línea en la arena,Decidió trazar una línea en la arena y confrontar a su compañero de trabajo sobre el tema.,"Mientras jugaban en la playa, los niños decidieron dibujar una línea en la arena para dividir sus territorios.",láti wá ìlà tó wà nínú iyanrìn,"Ó pinnu láti wá ìlà fún ẹni tí wón jọ ń ṣiṣé, ó sì bá a sòrò nípa òràn náà","Nígbà táwọn ọmọ ń ṣeré ní etíkun, wón pinnu láti wá ìlà kan sí etíkun kí wón lè pín ìpínlè wọn",在沙沙中划一条线,他决定在沙沙中划一条线,"在海滩上玩耍时,孩子们决定在沙沙中划一条线,分割他们的领土。"
long in the tooth,To get too old for something.,He's [[getting long in the tooth]] and might retire soon,"The horse was [[getting long in the tooth]] as it aged, making it easier to determine its age",He's getting long in the tooth and might retire soon,"The horse was getting long in the tooth as it aged, making it easier to determine its age",getting long in the tooth,In den folgenden Modus wechseln:,Er wird lange im Zahn und könnte bald in Rente gehen,"Das Pferd wurde im Alter lange im Zahn, was es leichter machte, sein Alter zu bestimmen.",מקבל ארוך בשן,הוא מקבל ארוך בשיניים ואולי יפרוש בקרוב,"הסוס היה מקבל ארוך בשן כפי שהוא הזדקן, מה שהופך את זה קל יותר כדי לקבוע הגיל שלה",दाँत में देर हो रही है,वह दांत में देर हो रही है और जल्द ही रिटायर हो सकता है,"घोड़े को उम्र बढ़ने पर दाँत में देर हो जाती थी, जिससे उसकी उम्र निश्चित करना आसान हो जाता था",Hosszú a foga,"Hosszú lesz a foga, és hamarosan visszavonulhat.","A ló már öregedett, így könnyebb volt meghatározni a korát.",,,,¿Qué es el diente?,Se está metiendo mucho en el diente y podría retirarse pronto,"El caballo se estaba quedando largo en el diente a medida que envejecía, lo que facilitaba la determinación de su edad.",Bó bá ti ń pé jù nídìí eyín,"Ó ti ń gòkè àgbà ní eyín, ó sì ṣeé ṣe kó tètè tún bèrè sí í rérìn - ín músé","Kèké náà ń gùn gan - an bó ṣe ń dàgbà, èyí sì ń jé kó rọrùn láti mọ ọjó orí rè",长在牙里,"他牙牙长牙了,快退休了","马在老时牙长了, 更容易确定其年龄"
long run,far away in the future,Investing in education will pay off [[in the long run]],The marathon was [[in the long run]] category of races,Investing in education will pay off in the long run,The marathon was in the long run category of races,in the long run,Auf lange Sicht,Investitionen in Bildung werden sich langfristig auszahlen,Der Marathon war in der Kategorie Langstreckenrennen,בטווח הארוך,השקעה בחינוך תשתלם בטווח הארוך.,המרתון היה בקטגוריית הריצה הארוכה של גזעים,लंबे समय में,शिक्षा में निवेश करना लंबे समय तक खर्च करेगा,मैराथन दौड़ों की लंबी श्रेणी में था,Hosszú távon,Az oktatásba való befektetés hosszú távon kifizetődik,A maraton a versenyek hosszú távú kategóriájában volt.,,,,en el largo plazo,Invertir en educación dará sus frutos a largo plazo,El maratón estaba en la categoría de carreras de larga duración,Ní àsèyìnwá àsèyìnbò,"Bí èkó kíkó bá ti wò ó lókàn tán, bópé bóyá, èkó kíkó á bèrè sí í bó sí i",Òkan lára àwọn èyà òtòòtò tí wón ti ń ja ìjà àjàkú akátá náà ló pé jù lọ,长期,"长期而言,教育投资将产生回报",马拉松是长期的种族类别
look before you leap,to make sure that everything is alright before doing something important which you cannot revert,"When making a big decision, always remember [[to look before you leap]]","While standing on the edge of the diving board, he was reminded [[to look before you leap]]","When making a big decision, always remember to look before you leap","While standing on the edge of the diving board, he was reminded to look before you leap",to look before you leap,"zu schauen, bevor du springst","Wenn Sie eine große Entscheidung treffen, denken Sie immer daran, zu schauen, bevor Sie springen","Während er am Rand des Sprungbretts stand, wurde er daran erinnert, zu schauen, bevor Sie springen.",להסתכל לפני שאתה קופץ,"כשמקבלים החלטה גדולה, תמיד תזכור להסתכל לפני שאתה קופץ.","בזמן שעמד על קצה קרש הקפיצה, הוא נזכר להסתכל לפני שאתה קופץ",कि तुम लोग ज़रूर एक सख्ती के बाद दूसरी सख्ती में पड़े हुए हो,"जब आप कोई बड़ा फैसला करते हैं, तो हमेशा याद रखिए कि जब आप बड़े हो रहे होते हैं","डाइविंग बोर्ड के किनारे खड़े होकर, उसे याद दिलाया गया कि आप उछलने से पहले देखें","Nézd meg, mielőtt ugrálsz","Amikor egy nagy döntés, mindig ne feledje, hogy nézd meg, mielőtt ugrani","Míg állt a szélén a búvár fórumon, ő volt emlékeztetve, hogy nézd meg, mielőtt ugrani",,,,Mirar antes de saltar,"Al tomar una gran decisión, siempre recuerda mirar antes de saltar.","Mientras estaba de pie en el borde de la tabla de buceo, se le recordó que mirara antes de saltar.",kó o tó fò sókè,"Tó o bá fé ṣèpinnu pàtàkì kan, máa rántí pé kó o tó fò sókè","Nígbà tó dúró légbèé ibi tí wón ti ń fò ó, wón rán an létí pé kó lọ wolè kó o tó fò sókè",在你跳跃前看一看,做一个大决定的时候 一定要记得在跳跃前看一眼,当他站在潜水板的边缘时 他被提醒在跳跃前先看一眼
looked through colored glasses,to look the things not as they are; having a heavily biased worldview,She always [[looked through colored glasses]] when it came to her children's achievements,"During the art class, we [[looked through colored glasses]] to observe the effects on the painting",She always looked through colored glasses when it came to her children's achievements,"During the art class, we looked through colored glasses to observe the effects on the painting",looked through colored glasses,Blick durch die farbige Brille,"Sie schaute immer durch eine farbige Brille, wenn es um die Leistungen ihrer Kinder ging.","Während des Kunstunterrichts schauten wir durch farbige Gläser, um die Auswirkungen auf das Gemälde zu beobachten.",הסתכל דרך משקפיים צבעוניים,היא תמיד הסתכלה דרך משקפיים צבעוניים כשזה הגיע להישגים של ילדיה,"במהלך שיעור האמנות, הסתכלנו דרך משקפיים צבעוניים כדי לראות את ההשפעות על הציור",रंगे हुए चश्मों के माध्यम से देखा गया,वह हमेशा रंगीन चश्मों के माध्यम से देखा जब यह अपने बच्चों की सफलताओं के लिए आया,"कला वर्ग के दौरान, हमने पेंटिंग पर प्रभाव को देखने के लिए रंगीन चश्मों के माध्यम से देखा",Színes szemüvegen keresztül,"Mindig színes szemüvegen keresztül nézett, amikor gyermekei eredményeiről volt szó.",A rajzórán színes szemüvegen keresztül figyeltük meg a festmény hatását.,,,,Mirando a través de gafas de colores,Siempre miraba a través de gafas de colores cuando se trataba de los logros de sus hijos.,"Durante la clase de arte, miramos a través de gafas de colores para observar los efectos en la pintura.",Wo àwọn gíláàsì aláwò mèremère,Ó sábà máa ń wo àwọn gíláàsì aláwò mèremère nígbà tí ó bá wá sí ibi tí àwọn ọmọ rẹ ti ṣe àṣeyọrí,"Nígbà tí wón ń kó wa níṣé ọnà, a máa ń wo àwọn gíláàsì aláwò mèremère láti wo ipa tí àwòrán náà ní lórí rè",通过彩色眼镜查看,她总是用彩色眼镜看孩子的成就,"在艺术课上,我们透过彩色眼镜 观察画画的效果"
loose cannon,somebody whose activities are uncommon and out of control,"After losing his job, he [[became a loose cannon]] and started causing problems","During the battle reenactment, the replica [[became a loose cannon]] when it broke free from its mount","After losing his job, he became a loose cannon and started causing problems","During the battle reenactment, the replica became a loose cannon when it broke free from its mount",became a loose cannon,wurde eine lose Kanone,"Nachdem er seinen Job verloren hatte, wurde er eine lose Kanone und begann Probleme zu verursachen.","Während der Nachstellung der Schlacht wurde die Replik zu einer losen Kanone, als sie sich von ihrem Berg löste.",הפך לתותח משוחרר.,"לאחר שאיבד את עבודתו, הוא הפך לתותח משוחרר והתחיל לגרום לבעיות","במהלך שחזור הקרב, ההעתק הפך לתותח משוחרר כשהוא השתחרר מהרכבה שלו.",एक स्वतंत्र कन्नड़ बन गया,"नौकरी खोने के बाद, वह एक ढीला कन्नड़ बन गया और समस्याओं का कारण बनने लगा","युद्ध के दौरान, जब यह अपने पहाड़ से स्वतंत्र हो गया, तो प्रतिलिपि एक स्वतंत्र कन्नड़ बन गयी",Laza ágyú lett,"Miután elvesztette a munkáját, egy elszabadult ágyú lett, és elkezdett problémákat okozni.","A csata során a replika laza ágyúvá vált, amikor kiszabadult a hegyéről.",,,,Se convirtió en un cañón suelto,"Después de perder su trabajo, se convirtió en un cañón suelto y comenzó a causar problemas.","Durante la recreación de la batalla, la réplica se convirtió en un cañón suelto cuando se liberó de su montura.",Bí wón ṣe bèrè sí í gbòn pèpè nìyẹn,"Léyìn tíṣé bó lówó rè, ó dẹni tí kò lè dá nǹkan ṣe mó, ó sì bèrè sí í fa ìṣòro","Nígbà tí ìjà náà ń lọ lówó, èrọ náà bèrè sí í gbòn pèpè nígbà tó já bó látorí òkè rè",变成一个松散的大炮,"失业后,他成为松散的大炮,开始制造问题","在战斗重弹期间,复制品在从山上拆卸时成为松散的大炮"
lose your marbles,strange behaviors.,"After working non-stop for days, he finally [[lost his marbles]] and started talking nonsense","During the game, he accidentally [[lost his marbles]] when the bag ripped open","After working non-stop for days, he finally lost his marbles and started talking nonsense","During the game, he accidentally lost his marbles when the bag ripped open",lost his marbles,Seine Murmeln verloren,"Nachdem er tagelang ununterbrochen gearbeitet hatte, verlor er schließlich seine Murmeln und fing an, Unsinn zu reden.","Während des Spiels verlor er versehentlich seine Murmeln, als die Tasche aufgerissen wurde.",איבד את השפיות שלו.,"אחרי שעבד ללא הפסקה במשך ימים, הוא סוף סוף איבד את השפיות והתחיל לדבר שטויות","במהלך המשחק, הוא איבד בטעות את הגולות שלו כשהשקית נקרעה.",अपने संगमरमर खो दिया,"कई दिनों तक नॉन-स्टॉप काम करने के बाद, वह अंततः अपना संगमरमर खो दिया और बकवास बोलना शुरू कर दिया","खेल के दौरान, वह अनुचित रूप से अपने संगमरमर खो दिया जब बैग तोड़ दिया खुला",Elvesztette a golyóit,"Miután napokig megállás nélkül dolgozott, végül elvesztette a golyóit, és hülyeségeket kezdett beszélni.","A játék során véletlenül elvesztette a golyóit, amikor a táska felszakadt.",,,,Perdió sus canicas,"Después de trabajar sin parar durante días, finalmente perdió sus canicas y comenzó a decir tonterías.","Durante el juego, perdió accidentalmente sus canicas cuando la bolsa se abrió.",Àwọn òkúta wéwé rè sọ nù,"Lẹyìn tí ó ti ṣiṣẹ tí kò sì ti ṣiṣẹ fún ọpọlọpọ ọjó, ó pàdánù àwọn ọkọ rẹ tí ó sì bẹrẹ sí í sọrọ tí kò tọka sí.","Nígbà tí eré ìdárayá náà ń lọ lówó, ó ṣèèṣì pàdánù àwọn ohun ìṣeré rè nígbà tí àpò náà ṣí sílè",他失落的弹珠,连续工作了几天 他终于失去了弹珠 开始胡说八道,"在比赛中,他无意中失去了弹珠 当袋子撕开时"
lower the bar,to lower standards or expectations,The company [[lowered the bar for everyone]] by reducing the performance expectations,The gym instructor [[lowered the bar for everyone]] during the limbo competition,The company lowered the bar for everyone by reducing the performance expectations,The gym instructor lowered the bar for everyone during the limbo competition,lowered the bar for everyone,Senken Sie die Bar für alle,"Das Unternehmen senkte die Messlatte für alle, indem es die Leistungserwartungen reduzierte",Der Fitness-Trainer senkte die Messlatte für alle während des Limbo-Wettbewerbs,הנמך את הרף לכולם,החברה הורידה את הרף לכולם על ידי הפחתת ציפיות הביצועים,מדריך הכושר הוריד את הרף לכולם במהלך תחרות הלימבו.,सभी के लिए पट्टी नीचे करें,कंपनी ने निष्पादन प्रत्याशियों को कम करके सभी के लिए बार को कम कर दिया,स्कूल के शिक्षक ने अंगो प्रतियोगिता के दौरान हर किसी के लिए पट्टी नीची कर दी,Lejjebb a lécet mindenki számára,A cég csökkentette a lécet mindenki számára a teljesítmény elvárásainak csökkentésével,Az edzőterem oktatója leengedte a lécet mindenkinek a limbó verseny alatt,,,,Bajó el listón para todos,La compañía bajó el listón para todos al reducir las expectativas de rendimiento.,El instructor del gimnasio bajó la barra para todos durante la competencia del limbo,Gbogbo èèyàn ló gbé òpá náà sí wéwé,Ilé iṣé náà dín owó tí wón ń san fún gbogbo èèyàn kù nípa dídín ohun tí wón ń retí kù,Olùkó tó ń kóni lékòó náà wá fi òpá náà sílè fún gbogbo èèyàn nígbà ìdíje tó ń lọ lówó,降低每个人的栏杆,"公司通过降低业绩预期,降低每个人的栏杆",体育教练员在无线比赛期间为每个人降下酒吧
lump in my throat,to have a tight feeling in your throat because of a strong emotion such as sadness or gratitude,"When I heard the sad news, [[I had a lump in my throat]] and couldn't speak","After swallowing a large piece of food, [[I had a lump in my throat]] and needed water","When I heard the sad news, I had a lump in my throat and couldn't speak","After swallowing a large piece of food, I had a lump in my throat and needed water",I had a lump in my throat,Ich hatte einen Klumpen in meinem Hals,"Als ich die traurige Nachricht hörte, hatte ich einen Kloß im Hals und konnte nicht sprechen.","Nachdem ich ein großes Stück Essen geschluckt hatte, hatte ich einen Kloß im Hals und brauchte Wasser.",היה לי גוש בגרון.,"כששמעתי את החדשות העצובות, היה לי גוש בגרון ולא יכולתי לדבר.","אחרי שבלעתי חתיכת מזון גדולה, היה לי גוש בגרון ונזקקתי למים.",मैं अपने गले में एक टुकड़ा था,दुःखकी खबर सुनकर मेरे गलेमें एक छेद हो गया था और न बोल सका था,"भोजन का एक बड़ा टुकड़ा निगलने के बाद, मेरे गले में एक टुकड़ा था और मुझे पानी की ज़रूरत थी",Volt egy csomó a torkomban.,"Amikor meghallottam a szomorú hírt, egy csomó volt a torkomban, és nem tudtam beszélni.","Miután lenyeltem egy nagy darab ételt, egy csomó volt a torkomban, és vízre volt szükségem.",,,,Tenía un nudo en la garganta,"Cuando escuché la triste noticia, tenía un nudo en la garganta y no podía hablar.","Después de tragar un pedazo grande de comida, tenía un bulto en la garganta y necesitaba agua.",Òfun mi bèrè sí nà mí,"Nígbà tí mo gbó ìròyìn ìbànújé náà, mo ní òbẹ kan lórùn, mi ò sì lè sòrò","Léyìn tí mo gbé oúnjẹ ńlá kan mì, mo bèrè sí í mí lórùn, mo sì nílò omi.",我喉咙里有个肿块,"当我听到悲伤的消息时,我喉咙有一块肿块,不能说话","吞下一大片食物后,我喉咙中有一个肿块,需要水"
make a song and dance,if someone complains in an annoying way or becomes unnecessarily excited about something unimportant,She [[made a song and dance about it]] when she found out she won the lottery,The performers [[made a song and dance about it]] during the musical's finale,She made a song and dance about it when she found out she won the lottery,The performers made a song and dance about it during the musical's finale,made a song and dance about it,machte ein Lied und tanzte darüber,"Sie machte ein Lied und tanzte darüber, als sie herausfand, dass sie im Lotto gewonnen hatte.",Die Darsteller machten ein Lied und tanzten darüber während des Musical-Finales.,עשה שיר וריקוד על זה,היא עשתה שיר ולרקוד על זה כשהיא גילתה שהיא זכתה בלוטו,האמנים עשו על זה שיר וריקוד במהלך הסיום של המחזמר,गीत बनाया और इसके बारे में नृत्य किया,उसने एक गीत बनाया और इसके बारे में नृत्य किया जब उसे पता चला कि उसने लतिका को हराया था,संगीत के अंत के दौरान नर्तकियों ने एक गीत बनाया और इसके बारे में नृत्य किया,Énekeltek és táncoltak róla,"Csinált egy dalt és táncolt róla, amikor megtudta, hogy megnyerte a lottót.",Az előadók egy dalt és táncot készítettek róla a musical fináléja alatt.,,,,Hicimos una canción y bailamos al respecto,Hizo una canción y bailó al respecto cuando descubrió que ganó la lotería.,Los intérpretes hicieron una canción y bailaron al respecto durante el final del musical.,ṣe orin àti ijó nípa rè,Ó ṣe orin àti ijó nípa rẹ nígbà tí ó rí ẹkọ rẹ tí ó gba taté.,Àwọn òṣèré náà ṣe orin àti ijó nípa rẹ nígbà tí orin náà ń parí lọwọlọwọ.,以它为歌和舞蹈,当她发现中彩中彩票时 她就唱了一首歌和舞蹈,表演者们在音乐剧决赛期间 唱了一首歌跳舞
make ends meet,make sufficient money to survive on,"After losing her job, she [[was struggling to make ends meet]] and pay her bills",The tailor [[was struggling to make ends meet]] when sewing the two pieces of fabric together,"After losing her job, she was struggling to make ends meet and pay her bills",The tailor was struggling to make ends meet when sewing the two pieces of fabric together,was struggling to make ends meet,"kämpfte, um über die Runden zu kommen","Nachdem sie ihren Job verloren hatte, kämpfte sie darum, über die Runden zu kommen und ihre Rechnungen zu bezahlen.","Der Schneider kämpfte darum, über die Runden zu kommen, wenn er die beiden Stoffstücke zusammennähte",נאבק כדי לגמור את החודש.,"לאחר שאיבדה את עבודתה, היא נאבקה כדי לגמור את החודש ולשלם את החשבונות שלה",החייט נאבק לגמור את החודש כשהוא תופר את שתי חתיכות הבד יחד.,पूरी बैठक करने के लिए संघर्ष कर रहा था,"अपनी नौकरी खोने के बाद, वह पूरी तरह से मिलने और अपने बिलों का भुगतान करने के लिए संघर्ष कर रही थी",सूती कपड़े के दो टुकड़ों को एक साथ चिपकाते समय पूरा करने के लिए वह संघर्ष कर रहा था,Küzdött a megélhetésért,"Miután elvesztette a munkáját, küzdött, hogy megéljen és kifizesse a számláit.","A szabó küszködött, hogy megéljen, amikor összevarrta a két szövetdarabot.",,,,estaba luchando para llegar a fin de mes,"Después de perder su trabajo, ella estaba luchando para llegar a fin de mes y pagar sus cuentas.",El sastre estaba luchando para llegar a fin de mes al coser las dos piezas de tela juntas.,Wón ń forí ṣe fọrùn ṣe kí wón lè gbó bùkátà ara wọn,"Léyìn tí iṣé bó lówó rè, ó ń forí ṣe fọrùn ṣe kó lè gbó bùkátà ara rè",Ó ṣòro fún ẹni tó ń ṣe ìrù náà láti gbó bùkátà ara rè nígbà tó ń rán àwọn aṣọ méjèèjì pa pò,挣扎着维持生计,"失业后,她拼命挣钱还钱还钱",缝合两件织物时 裁缝在苦苦挣扎 以维持生计
make ones bed and lie on it,to be responsible for what you have done and accept the results,[[They made their bed and lied on it]] when they decided to invest in that risky business,"After tidying up the room, [[they made their bed and lied on it]] to take a nap",They made their bed and lied on it when they decided to invest in that risky business,"After tidying up the room, they made their bed and lied on it to take a nap",They made their bed and lied on it,Sie haben ihr Bett gemacht und es belogen.,"Sie machten ihr Bett und logen darauf, als sie beschlossen, in dieses riskante Geschäft zu investieren.","Nachdem sie das Zimmer aufgeräumt hatten, machten sie ihr Bett und logen darauf, um ein Nickerchen zu machen.",הם הציעו את מיטתם ושיקרו בה.,הם הציעו את המיטה שלהם ושיקרו עליה כשהם החליטו להשקיע בעסק המסוכן הזה.,"אחרי שניקינו את החדר, הם סידרו את מיטתם ושיקרו עליו כדי לנמנם.",उन्होंने अपना बिस्तर बनाया और उस पर झूठ बोला,उन्होंने अपना बिस्तर बनाया और उस पर झूठ बोला जब उन्होंने उस खतरनाक व्यवसाय में निवेश करने का फैसला किया,"कमरे को ठीक करने के बाद, उन्होंने अपना बिस्तर बनाया और उस पर झूठ बोला कि वे एक नाव ले लें",Megágyaztak és hazudtak rá.,"Megágyaztak és hazudtak rá, amikor úgy döntöttek, hogy befektetnek ebbe a kockázatos üzletbe.","Miután rendet raktak a szobában, megágyaztak, és hazudtak rajta, hogy szunyókáljanak.",,,,Hicieron su cama y mintieron sobre ella,Hicieron su cama y mintieron sobre ella cuando decidieron invertir en ese negocio arriesgado.,"Después de ordenar la habitación, hicieron su cama y se acostaron sobre ella para tomar una siesta.","Wón mú béèdì wọn, wón sì dùbúlè sórí rè","Wón gbé béèdì wọn, wón sì pa iró nígbà tí wón pinnu láti ṣòwò nínú iṣé eléwu yẹn","Léyìn tí wón ti gbé yàrá, wón ṣe béèdì wọn, wón sì dùbúlè sórí rè kí wón lè sùn díè","他们把床铺铺在床上,并在上面撒了谎",当他们决定投资这个冒险的生意时 他们做了床 并在上面撒了谎,"收拾房间后,他们整理了床铺,在床上撒了谎,睡午睡"
makes his hackles rise,to make you angry,The sound of nails on a chalkboard [[makes his hackles rise]],"When the dog senses danger, it [[makes his hackles rise]] on his back",The sound of nails on a chalkboard makes his hackles rise,"When the dog senses danger, it makes his hackles rise on his back",makes his hackles rise,macht seine Hackles steigen,Das Geräusch von Nägeln auf einer Tafel lässt seine Häkchen steigen,"Wenn der Hund Gefahr spürt, lässt er seine Häkchen auf dem Rücken aufsteigen",זה גורם להאזנות שלו לעלות.,הצליל של מסמרים על לוח גורם hackles שלו לעלות,"כשהכלב חש בסכנה, זה גורם להאזניים שלו לעלות על גבו.",उसके हैकल्स उदय कर देता है,चिलकबोर्ड पर नाखूनों की आवाज उसके हैकल्स को ऊपर उठ जाती है,"जब कुत्ता खतरा महसूस करता है, यह उसकी पीठ पर हैकल्स खड़ा हो जाता है",Felemelkednek a hackelések,A körmök hangja a táblán felemeli a hackles-t,"Amikor a kutya megérzi a veszélyt, a hackelései felemelkednek a hátán.",,,,hace que sus hackles se eleven,El sonido de los clavos en una pizarra hace que sus hackles suban,"Cuando el perro detecta el peligro, hace que sus hackles se levanten sobre su espalda",mú kí òpá rè yọ,Gbígbó tí wón ń gbó tí wón ń gbó tí wón ń kan ọkò ayókélé kan tí wón fi ń gbá bóòlù máa ń mú kí ẹsè rè túbò ga sí i,"Nígbà tí ajá náà bá rí i pé ewu ń bẹ, ńṣe ló máa ń dìde léyìn rè",使他的拳头升起,黑板上的钉钉声 使他的黑拳头升起,"当狗察觉到危险时,它会让他的黑拳头背部上升"
makes my ears burn,"to be embarrassed by what you hear, especially if the conversation is about you",Hearing people gossip about me [[makes my ears burn]],Standing too close to the bonfire [[makes my ears burn]],Hearing people gossip about me makes my ears burn,Standing too close to the bonfire makes my ears burn,makes my ears burn,Meine Ohren brennen,"Das Hören von Leuten, die über mich klatschen, lässt meine Ohren brennen",Zu nah am Lagerfeuer zu stehen lässt meine Ohren brennen,גורם לאוזניי לבעור.,לשמוע אנשים מרכלים עליי גורם לאוזניי לבעור.,לעמוד קרוב מדי למדורה גורם לאוזניי לבעור.,मेरे कान जल जाते हैं,लोगों को मेरे बारे में गपशप सुनने से मेरे कान जल जाते हैं,बौने के बहुत करीब खड़े होने से मेरे कान जल जाते हैं,Égeti a fülem,"Hallani, ahogy pletykálnak rólam, megégeti a fülem.","Ha túl közel állok a máglyához, meggyullad a fülem.",,,,hace que mis oídos ardan,Escuchar a la gente chismear sobre mí me quema los oídos,De pie demasiado cerca de la hoguera hace que mis oídos ardan,mú kí etí mi jóná,Gbígbó táwọn èèyàn ń sòrò mi nípa mi ń mú kí n sun etí mi,Bí mo ṣe dúró ti iná tó ń jó lala yìí máa ń jé kí etí mi jó,使我的耳朵烧灼,听到别人说我的闲言闲语 让我的耳朵被烧伤,"离营火太近,我的耳朵被烧伤"
man's best friend,"It refers to animals that are of use to human beings, mostly used to address dogs.",The loyal dog is often considered [[a man's best friend]],"He wrote a book about his childhood, where he described his brother as [[a man's best friend]]",The loyal dog is often considered a man's best friend,"He wrote a book about his childhood, where he described his brother as a man's best friend",a man's best friend,Der beste Freund eines Mannes,Der treue Hund wird oft als der beste Freund eines Mannes angesehen.,"Er schrieb ein Buch über seine Kindheit, in dem er seinen Bruder als den besten Freund eines Mannes beschrieb.",החבר הכי טוב של הגבר.,הכלב הנאמן נחשב לעתים קרובות לחברו הטוב ביותר של האדם.,"הוא כתב ספר על ילדותו, שם תיאר את אחיו כחברו הטוב ביותר של האדם",एक आदमी का सबसे अच्छा दोस्त,वफादार कुत्ता अक्सर एक आदमी का सबसे अच्छा दोस्त माना जाता है,"उन्होंने अपने बचपन के बारे में एक पुस्तक लिखी, जहां उन्होंने अपने भाई को एक पुरुष के सबसे अच्छे दोस्त के रूप में वर्णित किया",Az ember legjobb barátja,A hűséges kutyát gyakran az ember legjobb barátjának tekintik,"Gyermekkoráról könyvet írt, melyben testvérét az ember legjobb barátjának írta le.",,,,El mejor amigo de un hombre,El perro leal es a menudo considerado el mejor amigo de un hombre.,"Escribió un libro sobre su infancia, donde describió a su hermano como el mejor amigo de un hombre.",Òré tímótímó ni ọkùnrin,A sábà máa ń ka ajá tó jé adúróṣinṣin sí òré ọkùnrin tó sún mó ọn jù lọ,"Ó kọ ìwé kan nípa ìgbà èwe rẹ, níbi tí ó ti pe àbúrò rẹ ní òré tímótímó",男人最好的朋友,忠心的狗经常被认为是男人最好的朋友,他写了一本关于他童年的书 描述他哥哥是男人最好的朋友
