idiom,meaning,s_f_brkt,s_l_brkt,s_f,s_l,s_a,p_f_de_google,p_l_de_google,p_a_de_google,p_f_he_google,p_l_he_google,p_a_he_google,p_f_hi_google,p_l_hi_google,p_a_hi_google,p_f_hu_google,p_l_hu_google,p_a_hu_google,p_f_ko_google,p_l_ko_google,p_a_ko_google,p_f_es_google,p_l_es_google,p_a_es_google,p_f_yo_google,p_l_yo_google,p_a_yo_google,p_f_zh_google,p_l_zh_google,p_a_zh_google
know which side one's bread is buttered,to be cognizant of where one's interests lie in a given situation.,"He always supports the boss's decisions, showing that he [[knows which side his bread is buttered]]",He carefully observed the sandwich and [[knows which side his bread is buttered]] to avoid getting his hands greasy,"He always supports the boss's decisions, showing that he knows which side his bread is buttered",He carefully observed the sandwich and knows which side his bread is buttered to avoid getting his hands greasy,knows which side his bread is buttered,"Er unterstützt stets die Entscheidungen des Chefs und zeigt damit, dass er weiß, auf welcher Seite sein Brot gebuttert ist","Er beobachtet das Sandwich aufmerksam und weiß, auf welcher Seite sein Brot gebuttert ist, damit seine Hände nicht fettig werden","weiß, auf welcher Seite sein Brot gebuttert ist","הוא תמיד תומך בהחלטות של הבוס, מראה שהוא יודע באיזה צד הלחם שלו משוח בחמאה",הוא התבונן בקפידה בסנדוויץ' ויודע באיזה צד הלחם שלו משוח בחמאה כדי למנוע את שמנוניות ידיו,יודע באיזה צד הלחם שלו משוח בחמאה,"वह हमेशा बॉस के फैसलों का समर्थन करता है, यह दिखाते हुए कि वह जानता है कि उसकी रोटी किस तरफ है",उसने सैंडविच को ध्यान से देखा और जानता है कि उसके हाथों को चिकना होने से बचाने के लिए किस तरफ उसकी ब्रेड पर मक्खन लगाया गया है,जानता है कि उसकी रोटी पर किस तरफ मक्खन लगा है,"Mindig támogatja a főnök döntéseit, megmutatva, hogy tudja, melyik oldalon van vajas kenyere","Gondosan figyelte a szendvicset, és tudja, hogy a kenyerét melyik oldalon kell kivajazni, nehogy zsírosodjon a keze","tudja, melyik oldalon van vajas a kenyere",빵의 어느 쪽에 버터를 바르는지 알고 있음을 보여주며 항상 사장님의 결정을 지지합니다.,그는 샌드위치를 ​​주의 깊게 관찰하고 손에 기름기가 생기는 것을 피하기 위해 빵의 어느 면에 버터를 바르는지 알고 있습니다.,그의 빵이 어느 면에 버터가 발라져 있는지 알고 있다,"Siempre apoya las decisiones del jefe, demostrando que sabe por qué lado se le unta la mantequilla al pan.",Observó atentamente el sándwich y sabe de qué lado está untado con mantequilla su pan para evitar engrasarse las manos.,sabe de qué lado está untado con mantequilla su pan,"Nigbagbogbo o ṣe atilẹyin awọn ipinnu ọga, ti o fihan pe o mọ ẹgbẹ ti akara rẹ jẹ bota","Ó fara balẹ̀ kíyè sí oúnjẹ náà, ó sì mọ apá ibi tí búrẹ́dì rẹ̀ wà láti má bàa sanra",mọ ẹgbẹ ti akara rẹ ti wa ni bota,他总是支持老板的决定，表明他知道自己的面包是涂黄油的,他仔细观察了三明治，知道他的面包哪一面涂了黄油，以免弄脏他的手,知道他的面包哪一面涂了黄油
knowing which way the wind blows,this means that you should know how things are developing and be prepared for the future,He made a wise decision by [[knowing which way the wind blows]] in the company,"As an experienced sailor, he was skilled at [[knowing which way the wind blows]]",He made a wise decision by knowing which way the wind blows in the company,"As an experienced sailor, he was skilled at knowing which way the wind blows",knowing which way the wind blows,"Er traf eine kluge Entscheidung, weil er wusste, aus welcher Richtung der Wind im Unternehmen weht","Als erfahrener Segler wusste er genau, aus welcher Richtung der Wind weht","wissen, aus welcher Richtung der Wind weht",הוא קיבל החלטה נבונה בכך שידע לאן נושבת הרוח בחברה,"כמלח מנוסה, הוא היה מיומן לדעת לאן נושבת הרוח",לדעת לאן נושבת הרוח,"कंपनी में हवा किस तरफ चलती है, यह जानकर उसने एक समझदारी भरा निर्णय लिया","एक अनुभवी नाविक के रूप में, वह यह जानने में कुशल था कि हवा किस तरफ चलती है",हवा किस ओर चल रही है यह जानकर,"Bölcs döntést hozott, mivel tudta, merre fúj a szél a társaságban","Tapasztalt tengerészként jól tudta, merre fúj a szél","tudni, merre fúj a szél",회사에 바람이 부는 방향을 알고 현명한 판단을 내린,그는 노련한 선원으로서 바람이 부는 방향을 아는 데 능숙했습니다.,바람이 부는 방향을 알고,Tomó una sabia decisión al saber de qué lado sopla el viento en la empresa,"Como marinero experimentado, era hábil para saber de qué lado sopla el viento.",sabiendo de que manera sopla el viento,Ó ṣe ìpinnu tó bọ́gbọ́n mu nípa mímọ ọ̀nà tí ẹ̀fúùfù gbà ń fẹ́ nínú ilé iṣẹ́ náà,"Gẹ́gẹ́ bí atukọ̀ ojú omi tó nírìírí, ó mọṣẹ́ tó mọ ọ̀nà tí ẹ̀fúùfù gbà ń fẹ́",mọ ọna ti afẹfẹ nfẹ,他知道公司的风向，做出了明智的决定,作为一名经验丰富的水手，他很清楚风向如何吹,知道风往哪个方向吹
lead astray,make someone act or think in a wrong or foolish manner.,The false information [[led them astray]] in their investigation,The broken compass [[led them astray]] in the dense forest,The false information led them astray in their investigation,The broken compass led them astray in the dense forest,led them astray,Die falschen Informationen führten sie bei ihren Ermittlungen in die Irre,Der kaputte Kompass führte sie im dichten Wald in die Irre,führte sie in die Irre,המידע הכוזב הוביל אותם שולל בחקירתם,המצפן השבור הוביל אותם שולל ביער הצפוף,הוביל אותם שולל,झूठी सूचना ने उन्हें अपनी जांच में भटका दिया,टूटे कम्पास ने उन्हें घने जंगल में भटका दिया,उन्हें भटका दिया,A hamis információk félrevezették őket a nyomozás során,A törött iránytű félrevezette őket a sűrű erdőben,félrevezette őket,잘못된 정보로 인해 조사가 잘못되었습니다.,부서진 나침반은 그들을 울창한 숲에서 길을 잃었다,그들을 잘못된 길로 이끌었다,La información falsa los llevó por mal camino en su investigación.,La brújula rota los llevó por mal camino en el denso bosque,los llevó por mal camino,Alaye eke mu wọn ṣina ninu iwadii wọn,Kompasi ti o fọ si mu wọn ṣina ninu igbo nla,mu wọn lọna,虚假信息使他们在调查中误入歧途,破烂的指南针让他们误入了密林,使他们误入歧途
lean towards,to be interested in something,"After considering the pros and cons, she [[was leaning towards that option]]","While standing near the table, he [[was leaning towards that option]] to get a closer look","After considering the pros and cons, she was leaning towards that option","While standing near the table, he was leaning towards that option to get a closer look",was leaning towards that option,"Nachdem sie die Vor- und Nachteile abgewogen hatte, entschied sie sich für diese Option","Während er neben dem Tisch stand, beugte er sich zu dieser Option, um einen genaueren Blick darauf zu werfen",tendierte zu dieser Option,"לאחר ששקלה את היתרונות והחסרונות, היא נטתה לאופציה הזו","בעודו עומד ליד השולחן, הוא נטה לעבר האפשרות הזו כדי להתבונן מקרוב",נטה לאופציה הזו,नफा-नुकसान पर विचार करने के बाद उनका झुकाव उस विकल्प की ओर हो रहा था,मेज के पास खड़े होकर वह करीब से देखने के लिए उस विकल्प की ओर झुक रहा था,उस विकल्प की ओर झुक रहा था,"Miután mérlegelte az előnyöket és hátrányokat, hajlott erre a lehetőségre","Miközben az asztal közelében állt, erre a lehetőségre hajolt, hogy közelebbről is szemügyre vegye",erre a lehetőségre hajlott,장단점을 고려한 후 그녀는 그 옵션에 기대고 있었습니다.,테이블 근처에 서 있는 동안 그는 자세히 보기 위해 해당 옵션 쪽으로 몸을 기울이고 있었습니다.,그 옵션에 기대고 있었다,"Después de considerar los pros y los contras, se inclinó por esa opción.","Mientras estaba de pie cerca de la mesa, se inclinó hacia esa opción para ver más de cerca.",se inclinaba por esa opcion,"Lẹhin ti o ṣe akiyesi awọn anfani ati awọn alailanfani, o tẹriba si aṣayan yẹn","Lakoko ti o duro nitosi tabili, o tẹriba si aṣayan yẹn lati ni iwo diẹ sii",ni gbigbe si ọna aṣayan yẹn,权衡利弊后，她倾向于那个选项,站在桌边，他正凑近那个选项，想仔细看看,倾向于那个选项
leaps and bounds,progress very quickly,"After attending the workshop, her skills [[made progress in leaps and bounds]]",The kangaroo [[made progress in leaps and bounds]] across the field,"After attending the workshop, her skills made progress in leaps and bounds",The kangaroo made progress in leaps and bounds across the field,made progress in leaps and bounds,Nach dem Besuch des Workshops machten ihre Fähigkeiten sprunghafte Fortschritte,Das Känguru machte sprunghafte Fortschritte über das Feld,machte sprunghafte Fortschritte,"לאחר שהשתתפה בסדנה, כישוריה התקדמו בצעדי ענק",הקנגורו התקדם בקפיצות על פני השדה,התקדם בקפיצות,"कार्यशाला में भाग लेने के बाद, उनके कौशल ने छलांग और सीमा में प्रगति की",कंगारू ने पूरे क्षेत्र में छलांग और सीमा में प्रगति की,छलांग और सीमा में प्रगति की,"Miután részt vett a workshopon, képességei ugrásszerűen fejlődtek",A kenguru ugrásszerűen haladt előre a mezőnyben,ugrásszerűen haladt előre,워크숍에 참석한 후 그녀의 기술은 비약적으로 발전했습니다.,캥거루는 들판을 뛰어넘어 발전했습니다.,비약적인 발전을 이뤘다.,"Después de asistir al taller, sus habilidades progresaron a pasos agigantados.",El canguro avanzó a pasos agigantados por el campo.,avanzó a pasos agigantados,"Lẹhin wiwa si idanileko naa, awọn ọgbọn rẹ ṣe ilọsiwaju ni awọn fifo ati awọn opin",Kangaroo ṣe ilọsiwaju ni awọn fifo ati awọn opin kọja aaye naa,ṣe ilọsiwaju ni awọn fifo ati awọn opin,参加工作坊后，她的技能突飞猛进,袋鼠在赛场上突飞猛进,取得了突飞猛进的进步
learn to walk before you run,to take smaller steps initially,You should [[learn to walk before you run]] when it comes to mastering a new skill,"As a toddler, you must [[learn to walk before you run]] to avoid falling",You should learn to walk before you run when it comes to mastering a new skill,"As a toddler, you must learn to walk before you run to avoid falling",learn to walk before you run,"Wenn es darum geht, eine neue Fähigkeit zu erlernen, sollten Sie vor dem Laufen erst das Gehen lernen","Als Kleinkind müssen Sie vor dem Laufen erst das Laufen lernen, um Stürze zu vermeiden","Lerne laufen, bevor du rennst",אתה צריך ללמוד ללכת לפני שאתה רץ כשזה מגיע לשליטה במיומנות חדשה,"כפעוט, עליך ללמוד ללכת לפני שאתה רץ כדי להימנע מנפילה",למד ללכת לפני שאתה רץ,जब किसी नए कौशल में महारत हासिल करने की बात आती है तो आपको दौड़ने से पहले चलना सीखना चाहिए,"एक बच्चे के रूप में, आपको गिरने से बचने के लिए दौड़ने से पहले चलना सीखना चाहिए",दौड़ने से पहले चलना सीखो,"Futás előtt meg kell tanulnia járni, ha egy új készség elsajátításáról van szó","Kisgyermekként futás előtt meg kell tanulnia járni, hogy elkerülje az elesést",futás előtt tanulj meg járni,새로운 기술을 습득하려면 달리기 전에 걷는 법을 배워야 합니다.,유아기에는 넘어지지 않으려면 뛰기 전에 걷는 법을 배워야 합니다.,뛰기 전에 걷는 법을 배워라,Debes aprender a caminar antes de correr cuando se trata de dominar una nueva habilidad.,"De niño, debe aprender a caminar antes de correr para evitar caerse",Aprende a caminar antes de correr,O yẹ ki o kọ ẹkọ lati rin ṣaaju ki o to ṣiṣe nigbati o ba de lati ni oye ọgbọn tuntun kan,"Gẹgẹbi ọmọde, o gbọdọ kọ ẹkọ lati rin ṣaaju ki o to sare lati yago fun iṣubu",kọ ẹkọ lati rin ṣaaju ṣiṣe,掌握一项新技能时，你应该先学走再跑,蹒跚学步时，一定要先学走再跑，以免摔倒,在跑步之前先学会走路
leave at the altar,decide not to marry someone at the very last moment,[[He left her at the altar]] when he decided not to show up for their wedding,[[He left her at the altar]] to fetch the forgotten wedding rings from their car,He left her at the altar when he decided not to show up for their wedding,He left her at the altar to fetch the forgotten wedding rings from their car,He left her at the altar,"Er ließ sie am Altar zurück, als er beschloss, nicht zu ihrer Hochzeit zu erscheinen","Er ließ sie am Altar zurück, um die vergessenen Eheringe aus ihrem Auto zu holen",Er ließ sie am Altar zurück,הוא השאיר אותה ליד המזבח כשהחליט לא להופיע לחתונתם,הוא השאיר אותה ליד המזבח כדי להביא את טבעות הנישואין שנשכחו ממכוניתם,הוא השאיר אותה ליד המזבח,जब उसने उनकी शादी में नहीं आने का फैसला किया तो उसने उसे वेदी पर छोड़ दिया,उसने अपनी कार से भूली हुई शादी की अंगूठियाँ लाने के लिए उसे वेदी पर छोड़ दिया,उसने उसे वेदी पर छोड़ दिया,"Otthagyta az oltár előtt, amikor úgy döntött, nem jelenik meg az esküvőjükön","Otthagyta az oltárnál, hogy elhozza a kocsijukból az elfelejtett jegygyűrűket",Otthagyta az oltárnál,그는 결혼식에 나타나지 않기로 결정했을 때 그녀를 제단에 남겨 두었습니다.,그는 차에서 잊혀진 결혼 반지를 가져 오기 위해 그녀를 제단에 남겨 두었습니다.,그는 그녀를 제단에 남겨두고,La dejó en el altar cuando decidió no presentarse a su boda.,La dejó en el altar para buscar los anillos de boda olvidados de su auto.,la dejo en el altar,Ó fi í sílẹ̀ níbi pẹpẹ nígbà tó pinnu pé òun ò ní lọ síbi ìgbéyàwó wọn,Ó fi obìnrin náà sílẹ̀ níbi pẹpẹ láti mú àwọn òrùka ìgbéyàwó tí wọ́n ti gbàgbé nínú ọkọ̀ ayọ́kẹ́lẹ́ wọn wá,Ó fi í sílẹ̀ níbi pẹpẹ,当他决定不参加他们的婚礼时，他把她留在了祭坛上,他把她留在祭坛前，去取他们车里遗忘的结婚戒指,他把她留在祭坛上
leg up,give or receive assistance to achieve a goal,The scholarship [[gave her a leg up]] in her pursuit of higher education,He [[gave her a leg up]] to help her climb over the fence,The scholarship gave her a leg up in her pursuit of higher education,He gave her a leg up to help her climb over the fence,gave her a leg up,Das Stipendium verschaffte ihr einen Vorsprung bei ihrem Streben nach höherer Bildung,"Er stellte ihr ein Bein hoch, damit sie über den Zaun klettern konnte",gab ihr ein Bein hoch,המלגה הקנתה לה רגל בעיסוקה להשכלה גבוהה,הוא הרים לה רגל כדי לעזור לה לטפס מעל הגדר,הרים לה רגל,छात्रवृत्ति ने उन्हें उच्च शिक्षा प्राप्त करने में मदद की,बाड़ पर चढ़ने में उसकी मदद करने के लिए उसने उसे एक पैर दिया,उसे एक पैर दिया,Az ösztöndíj fellendítette a felsőoktatási tanulmányait,"Felemelte a lábát, hogy segítsen átmászni a kerítésen",felemelte a lábát,장학금은 그녀가 고등 교육을 추구하는 데 도움이 되었습니다.,그는 그녀가 울타리를 넘을 수 있도록 다리를 들어주었습니다.,그녀에게 다리를 들어주었다,La beca le dio una ventaja en su búsqueda de una educación superior.,Él le dio una pierna para ayudarla a trepar la cerca.,le dio una patada,Awọn sikolashipu fun u ni ẹsẹ kan ni ilepa ile-ẹkọ giga rẹ,O fun u ni ẹsẹ kan lati ṣe iranlọwọ fun u lati gun oke odi naa,fun u a ẹsẹ soke,奖学金使她在追求高等教育方面取得了进步,他给她一条腿帮助她翻过篱笆,给了她一条腿
let the cat out of the bag,to let a secret out in the open,He accidentally [[let the cat out of the bag]] about the surprise party,She opened the bag and [[let the cat out of the bag]] after bringing it home from the shelter,He accidentally let the cat out of the bag about the surprise party,She opened the bag and let the cat out of the bag after bringing it home from the shelter,let the cat out of the bag,Er hat wegen der Überraschungsparty aus Versehen die Katze aus dem Sack gelassen,"Sie öffnete den Beutel und ließ die Katze heraus, nachdem sie sie aus dem Tierheim nach Hause gebracht hatte",die Katze aus dem Sack lassen,הוא הוציא את החתול בטעות מהשק על מסיבת ההפתעה,היא פתחה את השקית והוציאה את החתול מהתיק לאחר שהביאה אותו הביתה מהמקלט,לתת לחתול לצאת מהשק,उसने सरप्राइज पार्टी के बारे में गलती से बिल्ली को बैग से बाहर निकाल दिया,उसने बैग खोला और आश्रय से घर लाने के बाद बिल्ली को बैग से बाहर कर दिया,थैली से बिल्ली को बाहर जाने दो,Véletlenül kiengedte a macskát a zsákból a meglepetéspartiról,"Kinyitotta a táskát, és kiengedte a macskát a zsákból, miután hazahozta a menhelyről",engedd ki a macskát a táskából,그는 깜짝 파티에 대해 실수로 고양이를 가방에서 꺼냈다,그녀는 가방을 열고 보호소에서 집으로 데려온 고양이를 가방에서 꺼냈습니다.,가방에서 고양이를 꺼내십시오,Accidentalmente dejó salir al gato de la bolsa sobre la fiesta sorpresa,Abrió la bolsa y dejó que el gato saliera de la bolsa después de traerlo a casa desde el refugio.,dejar que el gato fuera de la bolsa,O lairotẹlẹ jẹ ki awọn nran jade ninu awọn apo nipa awọn iyalenu party,O ṣii apo naa o si jẹ ki ologbo naa jade kuro ninu apo lẹhin ti o mu u wá si ile lati ibi aabo,jẹ ki ologbo jade kuro ninu apo,他不小心泄露了惊喜派对的秘密,她把猫从避难所带回家后，打开袋子，把它从袋子里拿出来,让猫从袋子里出来
lick his wounds,"to try to recover your confidence or spirit after a defeat, failure or disappointment",He [[licked his wounds after the fight]] by taking some time to recover from the emotional blow,The injured dog [[licked his wounds after the fight]] with another canine,He licked his wounds after the fight by taking some time to recover from the emotional blow,The injured dog licked his wounds after the fight with another canine,licked his wounds after the fight,"Er leckte seine Wunden nach dem Kampf, indem er sich etwas Zeit nahm, um sich von dem emotionalen Schlag zu erholen",Der verletzte Hund leckte seine Wunden nach dem Kampf mit einem anderen Hund,leckte seine Wunden nach dem Kampf,הוא ליקק את פצעיו לאחר הקרב בכך שלקח זמן להתאושש מהמכה הרגשית,הכלב הפצוע ליקק את פצעיו לאחר הקרב עם כלב אחר,ליקק את פצעיו לאחר הקרב,उन्होंने लड़ाई के बाद भावनात्मक आघात से उबरने में कुछ समय लगाकर अपने घावों को चाटा,घायल कुत्ते ने दूसरे कुत्ते से लड़ाई के बाद अपने घाव चाट लिए,लड़ाई के बाद उसके घावों को चाटा,"A verekedés után megnyalta a sebeit azzal, hogy időt szakított arra, hogy felépüljön az érzelmi csapásból",A sérült kutya egy másik kutyával való verekedés után nyalogatta sebeit,megnyalta a sebeit a harc után,그는 감정적 타격에서 회복하는 데 시간을 할애하여 싸움 후 상처를 핥았습니다.,다친 개는 다른 개와 싸운 후 상처를 핥았다,싸움 후 상처를 핥았다,Se lamió las heridas tras la pelea tomándose un tiempo para recuperarse del golpe emocional,El perro herido se lamió las heridas tras la pelea con otro canino,lamió sus heridas después de la pelea,O la awọn ọgbẹ rẹ lẹhin ija naa nipa gbigbe akoko diẹ lati gba pada lati ipalara ẹdun,Aja ti o farapa ti la awọn ọgbẹ rẹ lẹhin ija pẹlu aja miiran,la egbo re leyin ija,战斗结束后，他花了一些时间从情绪打击中恢复过来，以此来舔舐伤口,受伤的狗在与另一只狗打架后舔了舔伤口,战斗结束后舔舐伤口
lick your lips,to show that you're excited about something and are eager for it to happen,[[They licked their lips]] in anticipation of the delicious meal,"After eating the ice cream, [[they licked their lips]] to clean off the remaining traces",They licked their lips in anticipation of the delicious meal,"After eating the ice cream, they licked their lips to clean off the remaining traces",They licked their lips,Sie leckten sich die Lippen in Erwartung des köstlichen Essens,"Nachdem sie das Eis gegessen hatten, leckten sie sich die Lippen, um die restlichen Spuren zu entfernen",Sie leckten sich die Lippen,הם ליקקו את השפתיים בציפייה לארוחה הטעימה,"לאחר שאכלו את הגלידה, הם ליקקו את השפתיים כדי לנקות את העקבות שנותרו",הם ליקקו את השפתיים שלהם,स्वादिष्ट भोजन की प्रत्याशा में उन्होंने अपने होंठ चाटे,"आइसक्रीम खाने के बाद, बचे हुए निशानों को साफ करने के लिए उन्होंने अपने होठों को चाटा",उन्होंने अपने होंठ चाटे,"Megnyalták ajkukat, várva a finom ételt","A fagylalt elfogyasztása után megnyalták az ajkukat, hogy eltávolítsák a maradék nyomokat",Megnyalták az ajkukat,그들은 맛있는 식사를 기대하며 입술을 핥았습니다.,아이스크림을 먹고 남은 흔적을 지우기 위해 입술을 핥았다.,그들은 입술을 핥았다,Se humedecieron los labios a la espera de la deliciosa comida.,"Después de comer el helado, se lamieron los labios para limpiar los restos restantes.",se lamieron los labios,Wọ́n lá ètè wọn ní ìfojúsọ́nà fún oúnjẹ aládùn náà,"Lẹhin ti njẹ yinyin ipara, wọn la ète wọn lati nu kuro awọn itọpa ti o ku",Wọn lá ètè wọn,他们舔了舔嘴唇，期待着美味的饭菜,吃完冰激凌，他们舔了舔嘴唇，清理掉残留的痕迹,他们舔了舔嘴唇
lie low,"To go out of sight, usually after having done something bad.","After the controversy, [[he decided to lie low]] and avoid the media","During the game of hide and seek, [[he decided to lie low]] in the tall grass","After the controversy, he decided to lie low and avoid the media","During the game of hide and seek, he decided to lie low in the tall grass",he decided to lie low,"Nach der Kontroverse beschloss er, sich bedeckt zu halten und die Medien zu meiden","Während des Versteckspiels beschloss er, sich tief ins hohe Gras zu legen","er beschloss, sich bedeckt zu halten","לאחר המחלוקת, הוא החליט לשכב בשפל ולהימנע מהתקשורת","במהלך משחק המחבואים, הוא החליט לשכב נמוך בדשא הגבוה",הוא החליט לשכב נמוך,"विवाद के बाद, उन्होंने शांत रहने और मीडिया से बचने का फैसला किया","लुका-छिपी के खेल के दौरान, उसने लंबी घास में लेटने का फैसला किया",उसने नीचे लेटने का फैसला किया,"A vita után úgy döntött, hazudik, és kerüli a médiát","A bújócska játék közben úgy döntött, mélyen fekszik a magas fűben","úgy döntött, mélyen fekszik",논란 이후 언론을 기피하며 꽁꽁 누볐다,숨바꼭질 게임 중에 키 큰 풀밭에 몸을 눕히기로 했다.,그는 눕기로 결정했다,"Tras la polémica, decidió pasar desapercibido y evitar a los medios","Durante el juego de las escondidas, decidió acostarse en la hierba alta",él decidió mentir bajo,"Lẹhin ti ariyanjiyan, o pinnu lati dubulẹ kekere ati yago fun awọn media","Nigba ere ti ibora ati wiwa, o pinnu lati dubulẹ ni isalẹ ninu koriko giga",o pinnu lati dubulẹ kekere,争议过后，他决定低调躲避媒体,在玩捉迷藏的时候，他决定躲在高高的草丛里,他决定低调行事
lights are on but nobody is home,used to describe a stupid person.,"When I tried to explain the situation to him, it seemed like [[the lights are on but nobody is home]]",I walked past the house and noticed that [[the lights are on but nobody is home]],"When I tried to explain the situation to him, it seemed like the lights are on but nobody is home",I walked past the house and noticed that the lights are on but nobody is home,the lights are on but nobody is home,"Als ich versuchte, ihm die Situation zu erklären, schien es, als ob das Licht an sei, aber niemand zu Hause sei","Ich ging am Haus vorbei und bemerkte, dass das Licht an war, aber niemand zu Hause war","Das Licht ist an, aber niemand ist zu Hause","כשניסיתי להסביר לו את המצב, זה נראה כאילו האורות דולקים אבל אף אחד לא בבית",עברתי על פני הבית ושמתי לב שהאורות דולקים אבל אף אחד לא בבית,האורות דולקים אבל אף אחד לא בבית,"जब मैंने उसे स्थिति समझाने की कोशिश की, तो ऐसा लगा कि रोशनी चालू है लेकिन घर पर कोई नहीं है",मैं घर के पास से गुजरा और देखा कि रोशनी चालू है लेकिन घर पर कोई नहीं है,रोशनी चालू है लेकिन कोई भी घर नहीं है,"Amikor megpróbáltam elmagyarázni neki a helyzetet, úgy tűnt, égnek a lámpák, de senki sincs otthon","Elmentem a ház mellett, és észrevettem, hogy égnek a lámpák, de senki nincs otthon","égnek a lámpák, de senki nincs otthon",그에게 상황을 설명하려 했을 때 불은 켜져 있지만 집에 아무도 없는 것 같았습니다.,나는 집을 지나서 불이 켜져 있지만 아무도 집에 없다는 것을 알았습니다.,불은 켜져 있지만 집에 아무도 없다,"Cuando traté de explicarle la situación, parecía que las luces estaban encendidas pero no había nadie en casa.",Pasé por delante de la casa y me di cuenta de que las luces estaban encendidas pero no había nadie en casa.,las luces están encendidas pero no hay nadie en casa,"Nigbati mo gbiyanju lati ṣalaye ipo naa fun u, o dabi pe awọn ina wa ni titan ṣugbọn ko si ẹnikan ti o wa ni ile",Mo rin ti o ti kọja awọn ile ati ki o woye wipe awọn imọlẹ ti wa ni titan sugbon ko si eniti o wa ni ile,awọn ina wa ni titan ṣugbọn ko si ẹnikan ti o wa ni ile,当我试图向他解释情况时，好像灯都亮了，但没人在家,我走过房子，发现灯亮着，但没人在家,灯亮着但没人在家
line in the sand,a boundary beyond which one cannot proceed without consequences,He decided [[to draw a line in the sand]] and confront his coworker about the issue,"While playing at the beach, the children decided [[to draw a line in the sand]] to divide their territories",He decided to draw a line in the sand and confront his coworker about the issue,"While playing at the beach, the children decided to draw a line in the sand to divide their territories",to draw a line in the sand,"Er beschloss, einen Schlussstrich zu ziehen und seinen Kollegen mit dem Problem zu konfrontieren","Während sie am Strand spielten, beschlossen die Kinder, eine Linie in den Sand zu zeichnen, um ihre Reviere aufzuteilen",eine Linie in den Sand ziehen,הוא החליט למתוח קו בחול ולהתעמת עם עמיתו לעבודה בנושא,"בזמן משחק בחוף, הילדים החליטו לצייר קו בחול כדי לחלק את השטחים שלהם",לצייר קו בחול,उसने रेत में एक रेखा खींचने और इस मुद्दे के बारे में अपने सहकर्मी से बात करने का फैसला किया,"समुद्र तट पर खेलते समय, बच्चों ने अपने प्रदेशों को विभाजित करने के लिए रेत में एक रेखा खींचने का फैसला किया",रेत में रेखा खींचना,"Úgy döntött, vonalat húz a homokba, és szembesíti munkatársát a kérdéssel","A strandon való játék közben a gyerekek úgy döntöttek, hogy egy vonalat húznak a homokba, hogy felosztják területeiket",vonalat húzni a homokban,그는 모래에 선을 긋고 문제에 대해 동료와 대면하기로 결정했습니다.,해변에서 놀던 아이들은 모래사장에 선을 긋고 영역을 나누기로 했습니다.,모래에 선을 긋다,Decidió trazar una línea en la arena y confrontar a su compañero de trabajo sobre el tema.,"Mientras jugaban en la playa, los niños decidieron dibujar una línea en la arena para dividir sus territorios",dibujar una línea en la arena,O pinnu lati fa ila kan ninu iyanrin ati koju alabaṣiṣẹpọ rẹ nipa ọran naa,"Nígbà tí wọ́n ń ṣeré ní etíkun, àwọn ọmọ pinnu láti fa ìlà kan sínú iyanrìn láti pín àwọn ìpínlẹ̀ wọn",lati fa ila kan ninu iyanrin,他决定在沙子上划清界限，并就此问题与他的同事对质,在沙滩上玩耍时，孩子们决定在沙滩上划一条线来划分他们的领地,在沙子上画一条线
long in the tooth,To get too old for something.,He's [[getting long in the tooth]] and might retire soon,"The horse was [[getting long in the tooth]] as it aged, making it easier to determine its age",He's getting long in the tooth and might retire soon,"The horse was getting long in the tooth as it aged, making it easier to determine its age",getting long in the tooth,Er ist in die Jahre gekommen und könnte bald in den Ruhestand gehen,"Das Pferd wurde mit zunehmendem Alter in die Jahre gekommen, was es einfacher machte, sein Alter zu bestimmen",in die Jahre gekommen,הוא מתארך בשן ואולי יפרוש בקרוב,"הסוס התארך בשן ככל שהזדקן, מה שמקל על קביעת גילו",מתארך בשן,उनके दांत लंबे हो रहे हैं और जल्द ही सेवानिवृत्त हो सकते हैं,"घोड़े की उम्र बढ़ने के साथ उसके दांत लंबे होते जा रहे थे, जिससे उसकी उम्र का पता लगाना आसान हो गया था",दांत लंबा होना,"Hosszú a foga, és hamarosan nyugdíjba vonulhat","A ló öregedésével egyre hosszabbra nyúlt a foga, így könnyebb volt megállapítani az életkorát",hosszan fog a fog,그는 이가 길어지고 곧 은퇴할지도 모른다,말은 나이가 들어감에 따라 이빨이 길어져 나이를 쉽게 판단할 수 있었습니다.,이가 길어지다,Se está haciendo viejo y podría jubilarse pronto.,"El caballo se estaba haciendo largo en los dientes a medida que envejecía, por lo que era más fácil determinar su edad.",poniéndose largo en el diente,O n gun ni ehin ati pe o le fẹhinti laipẹ,"Ẹṣin naa n gun ni ehin bi o ti dagba, o jẹ ki o rọrun lati pinnu ọjọ ori rẹ",nini gun ni ehin,他的牙齿越来越长，可能很快就会退休,这匹马随着年龄的增长牙齿越来越长，因此更容易确定它的年龄,牙齿变长
