idiom,meaning,s_f_brkt,s_l_brkt,s_f,s_l,s_a,p_l_hu_gpt
can of worms,"to get into something that is messy, has problems and is unwanted","By asking about his past, she inadvertently [[opened a can of worms]] in their conversation",The fisherman [[opened a can of worms]] to bait his hook,"By asking about his past, she inadvertently opened a can of worms in their conversation",The fisherman opened a can of worms to bait his hook,opened a can of worms,"A horgász felnyitott egy doboz féreggel, hogy csalit készítsen a horogra."
card up sleeve,to have a secret advantage that is suddenly revealed to change the game,"During the negotiation, he [[had a card up his sleeve]] that gave him an advantage","As a magician, he cleverly [[had a card up his sleeve]] for his next trick","During the negotiation, he had a card up his sleeve that gave him an advantage","As a magician, he cleverly had a card up his sleeve for his next trick",had a card up his sleeve,"Mint varázsló, ügyesen tartott egy lapot a kabátujjában a következő trükkjéhez."
carry the torch for,to have strong feelings for someone with whom you do not or cannot have a relationship,"He's been [[carrying the torch for her]] since high school, but she never noticed","During the relay race, he was [[carrying the torch for her]] until it was her turn to run","He's been carrying the torch for her since high school, but she never noticed","During the relay race, he was carrying the torch for her until it was her turn to run",carrying the torch for her,"A váltófutás során ő vitte a fáklyát neki, amíg el nem jött az ő futása."
cash in,to earn out of something in big amounts,He decided to [[cash in on the opportunity]] and invest in the startup,"At the casino, she decided to [[cash in on the opportunity]] and exchange her chips for money",He decided to cash in on the opportunity and invest in the startup,"At the casino, she decided to cash in on the opportunity and exchange her chips for money",cash in on the opportunity,"A kaszinóban úgy döntött, kihasználja az alkalmat, és pénzre váltja a zsetonjait."
castles in the air,thinking of some impossible task,He spent his days [[building castles in the air]] instead of focusing on his job,The artist created a stunning installation of [[building castles in the air]] using lightweight materials,He spent his days building castles in the air instead of focusing on his job,The artist created a stunning installation of building castles in the air using lightweight materials,building castles in the air,"Az művész lélegzetelállító installációt hozott létre, amelyben épületeket épített a levegőben könnyű anyagok felhasználásával."
catch napping,"surprise, take unawares.",The surprise quiz [[caught him napping]] and he couldn't answer any questions,I walked into the room and [[caught him napping]] on the couch,The surprise quiz caught him napping and he couldn't answer any questions,I walked into the room and caught him napping on the couch,caught him napping,"Beléptem a szobába és rajtakaptam, ahogy a kanapén szundikál."
catch up,"to get to the same level, standard, or status as something or someone",I need [[to catch up with her]] to discuss the latest news,I had to run faster [[to catch up with her]] during the race,I need to catch up with her to discuss the latest news,I had to run faster to catch up with her during the race,to catch up with her,"Gyorsabban kellett futnom, hogy utolérjem őt a verseny alatt."
chapter and verse,verbatim; word for word details.,"When asked about the new policy, she [[gave them chapter and verse]] on the company's regulations",The priest [[gave them chapter and verse]] from the Bible during the sermon,"When asked about the new policy, she gave them chapter and verse on the company's regulations",The priest gave them chapter and verse from the Bible during the sermon,gave them chapter and verse,Az igazgató a prédikáció során fejezetről és versről idézett a Bibliából.
child's play,an informal expression meaning something that is easy to do,Solving the puzzle [[it was child's play]] for the experienced detective,The playground equipment [[it was child's play]] for the kids to enjoy,Solving the puzzle it was child's play for the experienced detective,The playground equipment it was child's play for the kids to enjoy,it was child's play,"A játszótéri felszerelés gyerekjáték volt a gyerekek számára, hogy élvezzék."
chill wind,to encounter the problems or trouble,"When the news of the layoffs arrived, [[a chill wind blew]] through the office","As we walked through the forest, [[a chill wind blew]] and made us shiver","When the news of the layoffs arrived, a chill wind blew through the office","As we walked through the forest, a chill wind blew and made us shiver",a chill wind blew,"Amikor az erdőn át sétáltunk, egy hideg szél fújt és megborzongtunk."
chink in armour,a susceptible or vulnerable area.,"After analyzing their strategy, we [[found a chink in their armour]] that we could exploit","While examining the knight's suit, he [[found a chink in their armour]] that needed repair","After analyzing their strategy, we found a chink in their armour that we could exploit","While examining the knight's suit, he found a chink in their armour that needed repair",found a chink in their armour,"Miközben megvizsgálta a lovag páncélját, talált egy repedést a páncéljukon, amit javítani kellett."
choke up,make a person become overemotional and speechless,"Hearing the sad news, [[he started to choke up]] and could n't speak","While eating too quickly, [[he started to choke up]] on a piece of food","Hearing the sad news, he started to choke up and could n't speak","While eating too quickly, he started to choke up on a piece of food",he started to choke up,"Amíg túl gyorsan evett, elkezdett fulladozni egy falat ételtől."
clamp down,suppress or prevent something in an oppressive or harsh manner,The principal decided [[to clamp down on the situation]] by enforcing stricter rules,The mechanic used a tool [[to clamp down on the situation]] and secure the loose parts,The principal decided to clamp down on the situation by enforcing stricter rules,The mechanic used a tool to clamp down on the situation and secure the loose parts,to clamp down on the situation,"A szerelő egy eszközt használt arra, hogy rögzítse a helyzetet és megszilárdítsa a laza alkatrészeket."
clean slate,to wipe the past out and begin afresh,"After apologizing, they decided [[to start with a clean slate]] and rebuild their friendship",The artist decided [[to start with a clean slate]] by wiping off the chalkboard,"After apologizing, they decided to start with a clean slate and rebuild their friendship",The artist decided to start with a clean slate by wiping off the chalkboard,to start with a clean slate,"Az művész úgy döntött, hogy tiszta lappal kezd, és letörli a táblár krétáját."
clean sweep,an irresistible victory,The team [[made a clean sweep]] by winning all the matches in the tournament,The janitor [[made a clean sweep]] of the classroom floor,The team made a clean sweep by winning all the matches in the tournament,The janitor made a clean sweep of the classroom floor,made a clean sweep,Az iskolaőr kitakarította az osztályterem padlóját.
clear the air,get rid of all doubts and negative feelings,"After the argument, [[we cleared the air with her]] by discussing our feelings",[[We cleared the air with her]] by opening the windows to let the smoke out,"After the argument, we cleared the air with her by discussing our feelings",We cleared the air with her by opening the windows to let the smoke out,we cleared the air with her,"Kinyitottuk az ablakokat, hogy kiszellőztessük a füstöt, és tisztáztuk vele a helyzetet."
clear the decks,get ready for action.,[[We cleared the decks for the event]] by finishing all our pending tasks,[[We cleared the decks for the event]] by removing all the furniture from the patio,We cleared the decks for the event by finishing all our pending tasks,We cleared the decks for the event by removing all the furniture from the patio,We cleared the decks for the event,Az eseményre felkészülve eltávolítottuk az összes bútort a teraszról.
close call,a narrow escape from disaster,He [[had a close call]] when he narrowly avoided a car accident,The two phones [[had a close call]] when they were placed side by side,He had a close call when he narrowly avoided a car accident,The two phones had a close call when they were placed side by side,had a close call,"A két telefon nagyon közel került egymáshoz, amikor egymás mellé helyezték."
cloud on the horizon,"a problem or difficulty that is predictable, or seems likely to arise in the future","Despite the success of the project, there was [[a cloud on the horizon]] in the form of budget cuts","As we looked out to sea, we noticed [[a cloud on the horizon]] signaling an approaching storm","Despite the success of the project, there was a cloud on the horizon in the form of budget cuts","As we looked out to sea, we noticed a cloud on the horizon signaling an approaching storm",a cloud on the horizon,"Amikor a tengerre néztünk, észrevettünk egy felhőt a horizonton, ami egy közeledő vihart jelez."
coast is clear,there is no danger in sight or that nobody can see you,"After the security guard left, we knew [[the coast is clear]] to enter the building","Looking through the binoculars, the sailor confirmed that [[the coast is clear]] of any obstacles","After the security guard left, we knew the coast is clear to enter the building","Looking through the binoculars, the sailor confirmed that the coast is clear of any obstacles",the coast is clear,"A tengerész távcsövön keresztül nézve megerősítette, hogy a part mentén nincsenek akadályok."
coin money,make a great deal of money easily or very quickly.,Their successful business venture had them [[coining money together]] in no time,"As mint workers, they were [[coining money together]] at the factory",Their successful business venture had them coining money together in no time,"As mint workers, they were coining money together at the factory",coining money together,Mint munkásokként együtt pénzt vertek a gyárban.
cold feet,loss of courage,[[She got cold feet]] just before her big presentation,"After walking in the snow without proper shoes, [[she got cold feet]]",She got cold feet just before her big presentation,"After walking in the snow without proper shoes, she got cold feet",She got cold feet,"Azután, hogy a hóban sétált megfelelő cipő nélkül, hideg lába lett."
cold turkey,in a unexpected and sudden way,He quit smoking by [[going cold turkey]] without any assistance,"She was [[going cold turkey]] for her sandwich, but decided to add some cheese",He quit smoking by going cold turkey without any assistance,"She was going cold turkey for her sandwich, but decided to add some cheese",going cold turkey,"Ő hideg pulykát választott a szendvicséhez, de úgy döntött, hogy hozzáad némi sajtot."
come across,to meet someone,"While researching, I [[came across the old book]] that provided valuable information","Walking through the library, I accidentally stepped on and [[came across the old book]] lying on the floor","While researching, I came across the old book that provided valuable information","Walking through the library, I accidentally stepped on and came across the old book lying on the floor",came across the old book,"Sétálva a könyvtáron keresztül véletlenül ráléptem és rábukkantam az öreg könyvre, amely a földön feküdt."
come clean,to make a disclosure,"After hiding the truth for so long, he [[decided to come clean]] about his past","After playing in the mud, the kids [[decided to come clean]] and took a bath","After hiding the truth for so long, he decided to come clean about his past","After playing in the mud, the kids decided to come clean and took a bath",decided to come clean,"A sárban játszás után a gyerekek úgy döntöttek, hogy tisztálkodnak, és fürdőt vettek."
come down with,to have (usually a disease),He [[came down with something]] after being exposed to the cold weather,The kite [[came down with something]] tangled in its strings,He came down with something after being exposed to the cold weather,The kite came down with something tangled in its strings,came down with something,A papírsárkány valamivel összegabalyodva leereszkedett a húrain.
come full circle,return to an earlier position or decision.,"After years of exploring different career paths, she [[came full circle]] and returned to her passion for teaching",The hiker [[came full circle]] after walking around the entire circumference of the lake,"After years of exploring different career paths, she came full circle and returned to her passion for teaching",The hiker came full circle after walking around the entire circumference of the lake,came full circle,"A túrázó teljes kört tett, miután végigsétált a tó teljes kerületén."
come out swinging,be confrontational,"After the criticism, [[he came out swinging]] with a strong rebuttal","As soon as the boxing match started, [[he came out swinging]] at his opponent","After the criticism, he came out swinging with a strong rebuttal","As soon as the boxing match started, he came out swinging at his opponent",he came out swinging,"Amint elkezdődött a bokszmeccs, azonnal nekiesett az ellenfelének."
cook his goose,to spoil someone's chances of success,"When he was caught cheating, his teacher [[cooked his goose]] by failing him","For dinner, the chef [[cooked his goose]] with a delicious orange sauce","When he was caught cheating, his teacher cooked his goose by failing him","For dinner, the chef cooked his goose with a delicious orange sauce",cooked his goose,Vacsorára a séf elkészítette a libáját finom narancsszósszal.
cool heels,to wait or take rest,They [[were cooling their heels]] in the waiting room before the interview,"After walking on hot sand, they [[were cooling their heels]] in the ocean water",They were cooling their heels in the waiting room before the interview,"After walking on hot sand, they were cooling their heels in the ocean water",were cooling their heels,Forró homokon sétálás után a tengerben hűsítették a sarkukat.
count chicken,make plans based on events that may or may not happen,He [[was counting chickens before they hatch]] when he started planning his victory party,The farmer [[was counting chickens before they hatch]] by estimating the number of eggs that would become chicks,He was counting chickens before they hatch when he started planning his victory party,The farmer was counting chickens before they hatch by estimating the number of eggs that would become chicks,was counting chickens before they hatch,"A gazda csirkéket számolt, mielőtt kikeltek volna, becsléssel meghatározva, hogy hány tojásból lesznek csibék."
crack the whip,make someone work harder by asserting power or authority,The manager [[cracked the whip on the team]] to meet the deadline,The circus performer [[cracked the whip on the team]] of horses to start the show,The manager cracked the whip on the team to meet the deadline,The circus performer cracked the whip on the team of horses to start the show,cracked the whip on the team,"A cirkuszművész korbácsot csattantott a lovak csapatán, hogy elkezdődjön a műsor."
cross swords,to fight with another person physically or verbally.,"During the heated debate, she [[crossed swords with him]] over their differing opinions","At the fencing tournament, they [[crossed swords with him]] in a thrilling match","During the heated debate, she crossed swords with him over their differing opinions","At the fencing tournament, they crossed swords with him in a thrilling match",crossed swords with him,Az olimpiai vívóversenyen izgalmas mérkőzésen találkoztak vele karddal.
cross the bridge,to delay worrying about something that might not happen anyway,They [[crossed the bridge together]] when they decided to face their problems as a team,The two friends [[crossed the bridge together]] while enjoying the scenic view,They crossed the bridge together when they decided to face their problems as a team,The two friends crossed the bridge together while enjoying the scenic view,crossed the bridge together,"A két barát együtt átkelt a hídon, miközben élvezték a látványt."
cross the line,behave in a way that is not acceptable,[[He crossed the line with her]] when he made that inappropriate comment,"During the race, [[he crossed the line with her]] as they finished together",He crossed the line with her when he made that inappropriate comment,"During the race, he crossed the line with her as they finished together",He crossed the line with her,"A verseny alatt átlépte a vonalat vele, mivel együtt értek célba."
crush,feel love-sick for someone.,She couldn't help but [[have a crush]] on the charming new coworker,The machine was designed to [[have a crush]] on the aluminum cans for recycling,She couldn't help but have a crush on the charming new coworker,The machine was designed to have a crush on the aluminum cans for recycling,have a crush,"A gépet úgy tervezték, hogy összetörje az alumíniumdobozokat újrahasznosítás céljából."
cry over spilt milk,to be upset about things that have already been done,There's no point in [[crying over spilt milk]] now that the deadline has passed,The toddler was [[crying over spilt milk]] on the kitchen floor,There's no point in crying over spilt milk now that the deadline has passed,The toddler was crying over spilt milk on the kitchen floor,crying over spilt milk,A kisgyerek sírt a konyhapadlón kiömlött tej miatt.
cup of tea,to like something,"Skydiving is [[not my cup of tea]], I prefer calmer activities","This green tea is [[not my cup of tea]], I ordered black tea","Skydiving is not my cup of tea, I prefer calmer activities","This green tea is not my cup of tea, I ordered black tea",not my cup of tea,"Ez a zöld tea nem az én ízlésem, fekete teát rendeltem."
cut and dried,ready-made,"With her impressive qualifications, it was [[a cut and dried decision]] to hire her",The process of making fruit leather involves [[a cut and dried decision]] with the fruit,"With her impressive qualifications, it was a cut and dried decision to hire her",The process of making fruit leather involves a cut and dried decision with the fruit,a cut and dried decision,A gyümölcsbőr készítési folyamata magában foglal egy vágott és szárított döntést a gyümölccsel kapcsolatban.
cut coat according to cloth,"adapt to one's circumstances, make sure one's plans are appropriate to one's resources.",They [[cut their coat according to their cloth]] by living within their means,The tailor [[cut their coat according to their cloth]] to avoid wasting fabric,They cut their coat according to their cloth by living within their means,The tailor cut their coat according to their cloth to avoid wasting fabric,cut their coat according to their cloth,"A szabó a ruhát az anyaguknak megfelelően vágta, hogy elkerülje az anyagpazarlást."
cut corners,"economise on time, money, materials or effort, perhaps unwisely","To save time and money, they [[cut corners on the project]] by using cheaper materials",The carpenter [[cut corners on the project]] to create a rounded shape,"To save time and money, they cut corners on the project by using cheaper materials",The carpenter cut corners on the project to create a rounded shape,cut corners on the project,"A asztalos sarkokat vágott a projekt során, hogy kerek formát hozzon létre."
cut the cord,to end a connection with someone,He decided to [[cut the cord with her]] and end their toxic relationship,The nurse [[cut the cord with her]] after the baby was born,He decided to cut the cord with her and end their toxic relationship,The nurse cut the cord with her after the baby was born,cut the cord with her,Az ápolónő levágta a köldökzsinórt a baba születése után.
cut the mustard,to succeed,"Despite his efforts, he [[couldn't cut the mustard]] in the competitive sales environment","With a dull knife, she [[couldn't cut the mustard]] for her sandwich","Despite his efforts, he couldn't cut the mustard in the competitive sales environment","With a dull knife, she couldn't cut the mustard for her sandwich",couldn't cut the mustard,Egy tompa késsel nem tudta felvágni a mustárt a szendvicséhez.
cut your own throat,to do something that will be the cause of your own failure or ruin your chances in the future,"By revealing company secrets, he [[cut his own throat]] and ruined his career","While shaving, he accidentally [[cut his own throat]] with the razor","By revealing company secrets, he cut his own throat and ruined his career","While shaving, he accidentally cut his own throat with the razor",cut his own throat,"Amikor borotválkozott, véletlenül elvágta a saját torkát a borotvával."
dance to tune,to do what someone else forces you to do,He always [[danced to the tune]] of his boss's demands,"At the party, they [[danced to the tune]] of their favorite song",He always danced to the tune of his boss's demands,"At the party, they danced to the tune of their favorite song",danced to the tune,A bulin a kedvenc dalukra táncoltak.
dancing on their grave,outlive or outlast someone and celebrate their demise,He was so happy about his rival's failure that he was practically [[dancing on their grave]],The disrespectful teenagers were caught [[dancing on their grave]] in the cemetery,He was so happy about his rival's failure that he was practically dancing on their grave,The disrespectful teenagers were caught dancing on their grave in the cemetery,dancing on their grave,"A tiszteletlen tinédzsereket rajtakapták, amint a temetőben a sírjukon táncoltak."
dead duck,a project or scheme which has been abandoned or is certain to fail,"Without any support, he was [[a dead duck in the situation]] and couldn't succeed",The hunter shot down [[a dead duck in the situation]] and retrieved it,"Without any support, he was a dead duck in the situation and couldn't succeed",The hunter shot down a dead duck in the situation and retrieved it,a dead duck in the situation,"A vadász lelőtt egy holt kacsát a helyzetben, majd visszaszerezte azt."
dead in the water,unable to produce movement,The project was [[found it dead in the water]] after the funding was cut,The fisherman [[found it dead in the water]] while he was out on the lake,The project was found it dead in the water after the funding was cut,The fisherman found it dead in the water while he was out on the lake,found it dead in the water,"A halász holtan találta a vízben, amikor kint volt a tónál."
deep down,felt strongly and often hidden from other people,He knew [[deep down in the ocean]] of his heart that he had made the right decision,The divers explored the shipwreck [[deep down in the ocean]],He knew deep down in the ocean of his heart that he had made the right decision,The divers explored the shipwreck deep down in the ocean,deep down in the ocean,A búvárok felfedezték a hajóroncsot mélyen az óceánban.
deliver the goods,do what is required,The new employee [[delivered the goods on time]] by meeting all the project deadlines,The courier [[delivered the goods on time]] to the customer's doorstep,The new employee delivered the goods on time by meeting all the project deadlines,The courier delivered the goods on time to the customer's doorstep,delivered the goods on time,A futár időben kézbesítette a csomagot az ügyfél ajtajáig.
die in harness,to expire while working,"The dedicated employee [[died in harness]], working tirelessly until the end",The poor horse [[died in harness]] while pulling the heavy load,"The dedicated employee died in harness, working tirelessly until the end",The poor horse died in harness while pulling the heavy load,died in harness,"A szegény ló meghalt a hám alatt, miközben nehéz terhet húzott."
dig one's own grave,"to do something that has negative consequences for you, even though these consequences can be easily seen.","By spreading false rumors about the boss, he [[was digging his own grave]] at work","As a cemetery worker, he [[was digging his own grave]] to prepare for his eventual burial","By spreading false rumors about the boss, he was digging his own grave at work","As a cemetery worker, he was digging his own grave to prepare for his eventual burial",was digging his own grave,"Mint temetői dolgozó, saját sírját ásta, hogy felkészüljön a végleges eltemetésére."
do the trick,successfully achieve a result,"Adding a little more salt to the soup, [[that should do the trick]]","Performing a magic act, the magician said '[[that should do the trick]]' as he pulled a rabbit from his hat","Adding a little more salt to the soup, that should do the trick","Performing a magic act, the magician said 'that should do the trick' as he pulled a rabbit from his hat",that should do the trick,"Egy varázslatot előadva a varázsló azt mondta: ""az jó lesz"" miközben egy nyulat húzott ki a kalapjából."
dodge a bullet,to narrowly avoid a very serious problem or a disaster,"When the company went bankrupt, I realized I [[dodged a bullet there]] by not investing","During the paintball game, he [[dodged a bullet there]] by quickly ducking behind a barrier","When the company went bankrupt, I realized I dodged a bullet there by not investing","During the paintball game, he dodged a bullet there by quickly ducking behind a barrier",dodged a bullet there,"A paintball játék során elkerülte a golyót, gyorsan lehajolva egy akadály mögé."
does exactly what it says on the tin,someone or something is exactly as they seem,The new software [[does exactly what it says on the tin]] and is very user-friendly,The paint [[does exactly what it says on the tin]] and dries in just 30 minutes,The new software does exactly what it says on the tin and is very user-friendly,The paint does exactly what it says on the tin and dries in just 30 minutes,does exactly what it says on the tin,"A festék pontosan azt teszi, amit a dobozon ígér, és mindössze 30 perc alatt szárad."
double-edged sword,something that could either help you or hurt you,"Having a high-profile job can be [[a double-edged sword in this situation]], as it brings both prestige and stress",The knight wielded [[a double-edged sword in this situation]] to defend himself against multiple attackers,"Having a high-profile job can be a double-edged sword in this situation, as it brings both prestige and stress",The knight wielded a double-edged sword in this situation to defend himself against multiple attackers,a double-edged sword in this situation,"A lovag ebben a helyzetben kétélű kardot forgatott, hogy megvédje magát több támadótól."
down to earth,"decent, simple, realistic","Despite her fame, she remained [[a down-to-earth person]] who was easy to talk to","The astronaut, once back from space, became [[a down-to-earth person]] again","Despite her fame, she remained a down-to-earth person who was easy to talk to","The astronaut, once back from space, became a down-to-earth person again",a down-to-earth person,"Az asztronauta, miután visszatért az űrből, újra földhözragadt személy lett."
draw a blank,to get no response from someone,"When asked about the details of the project, he [[was drawing a blank]]",The artist [[was drawing a blank]] canvas to prepare for her next masterpiece,"When asked about the details of the project, he was drawing a blank",The artist was drawing a blank canvas to prepare for her next masterpiece,was drawing a blank,"Az művész egy üres vásznat rajzolt, hogy felkészüljön a következő mesterművére."
drive a wedge between,to damage the good relationship that two people or groups of people have,The disagreement started [[to drive a wedge between them]] and their friendship,The lumberjack used a mallet [[to drive a wedge between them]] and split the log,The disagreement started to drive a wedge between them and their friendship,The lumberjack used a mallet to drive a wedge between them and split the log,to drive a wedge between them,A favágó kalapáccsal hasította szét a fát.
drive up the wall,to make someone angry or irritated,His constant humming is [[driving me up the wall]],The remote-controlled car was [[driving me up the wall]] as it climbed vertically,His constant humming is driving me up the wall,The remote-controlled car was driving me up the wall as it climbed vertically,driving me up the wall,A távirányítású autó felmászott a falra és az idegeimre ment.
drop a bombshell,"make an unexpected, startling or disturbing announcement",The CEO [[dropped a bombshell during the meeting]] when he announced the company's bankruptcy,The clumsy actor accidentally [[dropped a bombshell during the meeting]] while filming a war scene,The CEO dropped a bombshell during the meeting when he announced the company's bankruptcy,The clumsy actor accidentally dropped a bombshell during the meeting while filming a war scene,dropped a bombshell during the meeting,"Az ügyetlen színész véletlenül egy bombát dobott a találkozón, miközben egy háborús jelenetet forgattak."
drop by,an informal visit,I'll [[drop by the store]] to see if they have any new books,The clumsy customer accidentally let a jar [[drop by the store]] entrance,I'll drop by the store to see if they have any new books,The clumsy customer accidentally let a jar drop by the store entrance,drop by the store,Az ügyetlen vásárló véletlenül elejtett egy befőttesüveget az üzlet bejárata előtt.
eat him alive,to criticize someone severely because you are angry with them,His lack of preparation will [[eat him alive in the competition]] against more experienced opponents,The carnivorous insects would [[eat him alive in the competition]] if he didn't wear protective gear,His lack of preparation will eat him alive in the competition against more experienced opponents,The carnivorous insects would eat him alive in the competition if he didn't wear protective gear,eat him alive in the competition,"Az állati ragadozó rovarok élve felfalnák őt a versenyen, ha nem viselne védőfelszerelést."
elephant in the room,"a difficult, controversial, or obvious problem that no one wants to talk about or mention because the subject is problematic, uncomfortable, or awkward","During the family meeting, it was time [[to address the elephant in the room]] and discuss the ongoing conflict","At the wildlife conservation conference, the speaker decided [[to address the elephant in the room]] and talk about habitat preservation","During the family meeting, it was time to address the elephant in the room and discuss the ongoing conflict","At the wildlife conservation conference, the speaker decided to address the elephant in the room and talk about habitat preservation",to address the elephant in the room,"Az állatvédelmi konferencián a beszélő úgy döntött, hogy foglalkozik a szobában lévő elefánttal és beszél a természetvédelemről."
end of story,there is  nothing more to add to the matter under discussion,"I told him I wasn't interested, and [[that's the end of the story]]","She closed the book and said, '[[that's the end of the story]]'","I told him I wasn't interested, and that's the end of the story","She closed the book and said, 'that's the end of the story'",that's the end of the story,"Bezárta a könyvet és azt mondta: ""ez volt a történet vége""."
every nook and cranny,to look for something everywhere,"To find the perfect gift, [[they searched every nook and cranny]] of the shopping mall","During the deep cleaning, [[they searched every nook and cranny]] of the house for dust and dirt","To find the perfect gift, they searched every nook and cranny of the shopping mall","During the deep cleaning, they searched every nook and cranny of the house for dust and dirt",they searched every nook and cranny,A mélytisztítás során minden zugot és részt átvizsgáltak a házban a por és a szennyeződések után kutatva.
everything but the kitchen sink,almost everything that one can think of,"For our camping trip, we [[packed everything but the kitchen sink]] to be prepared","While moving, they [[packed everything but the kitchen sink]], which was left for the new owners","For our camping trip, we packed everything but the kitchen sink to be prepared","While moving, they packed everything but the kitchen sink, which was left for the new owners",packed everything but the kitchen sink,"Miközben költöztek, mindent becsomagoltak, kivéve a konyhai mosogatót, amit az új tulajdonosokra hagytak."
face the music,receive punishment,"After making a mistake at work, [[they faced the music together]] and accepted the consequences","As the orchestra began to play, [[they faced the music together]] and enjoyed the performance","After making a mistake at work, they faced the music together and accepted the consequences","As the orchestra began to play, they faced the music together and enjoyed the performance",they faced the music together,"Amint az zenekar elkezdett játszani, együtt néztek szembe a zenével és élvezték az előadást."
fall at first hurdle,to fail to overcome the first difficulty encountered,The new employee [[fell at the first hurdle]] when he failed to complete the initial task,The inexperienced horse rider [[fell at the first hurdle]] during the race,The new employee fell at the first hurdle when he failed to complete the initial task,The inexperienced horse rider fell at the first hurdle during the race,fell at the first hurdle,Az tapasztalatlan lovas az első akadálynál elesett a versenyen.
fall between the cracks,be ignored or unobserved,His request for a promotion [[fell between the cracks]] due to the company's restructuring,The small toy [[fell between the cracks]] of the wooden floor,His request for a promotion fell between the cracks due to the company's restructuring,The small toy fell between the cracks of the wooden floor,fell between the cracks,A kis játék a fa padló repedéseibe esett.
fall on his sword,to accept the consequences of an unsuccessful or wrong action,He decided [[to fall on his sword]] and take responsibility for the team's failure,"During the reenactment, he accidentally tripped and started [[to fall on his sword]]",He decided to fall on his sword and take responsibility for the team's failure,"During the reenactment, he accidentally tripped and started to fall on his sword",to fall on his sword,Az újrakezdés közben véletlenül megbotlott és elkezdett esni a kardjára.
fall on our feet,to succeed in doing something where there was a risk of failure,"Despite the challenges, we managed [[to fall on our feet]] and succeed","During the dance routine, we tripped and managed [[to fall on our feet]]","Despite the challenges, we managed to fall on our feet and succeed","During the dance routine, we tripped and managed to fall on our feet",to fall on our feet,"A táncrutin során megbotlottunk, de sikerült a lábunkra esni."
fall out,to disagree with someone about something,[[They had a fall out]] over a disagreement about their business,"While climbing the tree, [[they had a fall out]] and landed on the ground",They had a fall out over a disagreement about their business,"While climbing the tree, they had a fall out and landed on the ground",They had a fall out,"Miközben felmásztak a fára, összevesztek és a földre estek."
fan the flames,make a bad situation even worse,Their constant arguing only [[fanned the flames together]] and made the situation worse,They [[fanned the flames together]] to keep the campfire going,Their constant arguing only fanned the flames together and made the situation worse,They fanned the flames together to keep the campfire going,fanned the flames together,"Együtt lebegtették a lángokat, hogy égve tartsák a tábortüzet."
feather in your cap,It means to have an achievement in your name.,Winning the championship would be [[a feather in your cap]],The hat you're wearing has [[a feather in your cap]] as a decoration,Winning the championship would be a feather in your cap,The hat you're wearing has a feather in your cap as a decoration,a feather in your cap,"Az a kalap, amit viselsz, tollal van díszítve a sapkádon."
feather one's (own) nest,"If you say that you are feathering your own nest, you mean that you are working so hard to gather resources (money) to live a comfortable life in the future.",She was accused of [[feathering her own nest]] by taking bribes,The bird was [[feathering her own nest]] with soft materials to make it cozy,She was accused of feathering her own nest by taking bribes,The bird was feathering her own nest with soft materials to make it cozy,feathering her own nest,"A madár puha anyagokkal bélelte ki a saját fészkét, hogy otthonosabb legyen."
feel the pinch,experience financial hardship,"After losing his job, [[he started to feel the pinch]] financially","When the crab grabbed his finger, [[he started to feel the pinch]]","After losing his job, he started to feel the pinch financially","When the crab grabbed his finger, he started to feel the pinch",he started to feel the pinch,"Amikor a rák megragadta az ujját, elkezdte érezni a csípést."
feet of clay,have a flaw or weakness most people are unaware of.,"Despite his confident demeanor, he [[had feet of clay]] when it came to public speaking",The statue [[had feet of clay]] as part of its unique design,"Despite his confident demeanor, he had feet of clay when it came to public speaking",The statue had feet of clay as part of its unique design,had feet of clay,"A szobornak agyaglábai voltak, mint része a sajátos tervezésének."
fiddle while Rome burns,to perform an inconsequential task or act irresponsibly in the midst of a disastrous event.,He [[fiddled while Rome burned]] by playing video games during the company crisis,The musician [[fiddled while Rome burned]] as he was unaware of the fire,He fiddled while Rome burned by playing video games during the company crisis,The musician fiddled while Rome burned as he was unaware of the fire,fiddled while Rome burned,"A zenész hegedült, miközben Róma égett, mivel nem volt tudatában a tűznek."
fill the bill,be exactly suitable for a particular situation,The new employee [[filled the bill perfectly]] for the position we needed,The waiter [[filled the bill perfectly]] with all the items we ordered,The new employee filled the bill perfectly for the position we needed,The waiter filled the bill perfectly with all the items we ordered,filled the bill perfectly,A pincér tökéletesen kitöltötte a számlát az összes rendelt tétellel.
fingers and thumbs,to be clumsy and not very skilled with your hands,"When it comes to knitting, I'm [[all fingers and thumbs]]",The hand puppet was [[all fingers and thumbs]] with no other features,"When it comes to knitting, I'm all fingers and thumbs",The hand puppet was all fingers and thumbs with no other features,all fingers and thumbs,"A kézibáb ujjakból és ujjhegyekből állt, más jellemzők nélkül."
flash in the pan,"something that cannot be repeated, usually a positive concept","His sudden success turned out to be [[a flash in the pan]], as he couldn't maintain it","The oil caught fire, creating [[a flash in the pan]] while she was cooking","His sudden success turned out to be a flash in the pan, as he couldn't maintain it","The oil caught fire, creating a flash in the pan while she was cooking",a flash in the pan,"Az olaj kigyulladt, villanást okozva a serpenyőben, miközben főzött."
