idiom,meaning,s_f_brkt,s_l_brkt,s_f,s_l,s_a,p_a_de_gpt,p_f_de_gpt,p_l_de_gpt,p_a_he_gpt,p_f_he_gpt,p_l_he_gpt,p_f_hi_gpt,p_l_hi_gpt
dodge a bullet,to narrowly avoid a very serious problem or a disaster,"When the company went bankrupt, I realized I [[dodged a bullet there]] by not investing","During the paintball game, he [[dodged a bullet there]] by quickly ducking behind a barrier","When the company went bankrupt, I realized I dodged a bullet there by not investing","During the paintball game, he dodged a bullet there by quickly ducking behind a barrier",dodged a bullet there,Ich bin da knapp davongekommen.,"Als das Unternehmen bankrott ging, wurde mir klar, dass ich dort knapp einem Schuss entgangen bin, indem ich nicht investiert habe.","Während des Paintball-Spiels wich er dort einem Schuss aus, indem er schnell hinter einer Barriere in Deckung ging.",פיניתי כדור שם.,"כשהחברה התפשטה, הבנתי שהצלחתי להימנע מפגיעה על ידי שלא השקעתי.","במהלך משחק הפיינטבול, הוא התחמק מכדור על ידי התחבאות מהירה מאחורי מחסה.","जब कंपनी दिवालिया हो गई, तब मुझे यह अहसास हुआ कि मैंने निवेश नहीं करके वहाँ से बच गया है।","पेंटबॉल खेल के दौरान, उसने एक गोली से बचने के लिए त्वरित रूप से एक बैरियर के पीछे झुक कर बच गया।"
does exactly what it says on the tin,someone or something is exactly as they seem,The new software [[does exactly what it says on the tin]] and is very user-friendly,The paint [[does exactly what it says on the tin]] and dries in just 30 minutes,The new software does exactly what it says on the tin and is very user-friendly,The paint does exactly what it says on the tin and dries in just 30 minutes,does exactly what it says on the tin,"Macht genau das, was auf der Dose steht.","Die neue Software tut genau das, was sie verspricht, und ist sehr benutzerfreundlich.","Die Farbe tut genau das, was auf der Dose steht und trocknet in nur 30 Minuten.",מבצע בדיוק את מה שכתוב על הפחית,התוכנה החדשה עושה בדיוק את מה שכתוב על הקופסה והיא מאוד ידידותית למשתמש.,הצבע עושה בדיוק את מה שכתוב על הפחית ויובש רק ב-30 דקות.,नया सॉफ्टवेयर ठीक वही करता है जो उसमें लिखा होता है और बहुत ही उपयोगकर्ता मित्र है।,"रंग डिब्बे पर जो लिखा है, वह बिल्कुल वैसा ही करता है और सिर्फ 30 मिनट में सूख जाता है।"
double-edged sword,something that could either help you or hurt you,"Having a high-profile job can be [[a double-edged sword in this situation]], as it brings both prestige and stress",The knight wielded [[a double-edged sword in this situation]] to defend himself against multiple attackers,"Having a high-profile job can be a double-edged sword in this situation, as it brings both prestige and stress",The knight wielded a double-edged sword in this situation to defend himself against multiple attackers,a double-edged sword in this situation,Ein zweischneidiges Schwert in dieser Situation.,"Eine hochkarätige Arbeit kann in dieser Situation ein zweischneidiges Schwert sein, da sie sowohl Prestige als auch Stress mit sich bringt.","Der Ritter führte in dieser Situation ein beidseitiges Schwert, um sich gegen mehrere Angreifer zu verteidigen.",חרב דו-צדדית במצב זה.,"להיות עובד בתפקיד גבוה יכול להיות חרב דו-קצפת במצב זה, מכיוון שזה מביא גם כבוד וגם מתח.",האביר החזיק חרב דו-צדדית במצב זה כדי להגן על עצמו מפני מתקפות מרובות.,"इस स्थिति में एक उच्च प्रोफ़ाइल नौकरी होना दोहरी तलवार हो सकता है, क्योंकि यह दोनों प्रतिष्ठा और तनाव लाता है।",इस स्थिति में योद्धा ने कई हमलावरों से खुद को बचाने के लिए एक दो-तरफे तलवार का इस्तेमाल किया।
down to earth,"decent, simple, realistic","Despite her fame, she remained [[a down-to-earth person]] who was easy to talk to","The astronaut, once back from space, became [[a down-to-earth person]] again","Despite her fame, she remained a down-to-earth person who was easy to talk to","The astronaut, once back from space, became a down-to-earth person again",a down-to-earth person,eine bodenständige Person,"Trotz ihres Ruhms blieb sie eine bodenständige Person, mit der man leicht reden konnte.","Der Astronaut wurde, nachdem er aus dem Weltraum zurückgekehrt war, wieder zu einer bodenständigen Person.",אדם רציני ומתחשב,"למרות הפרסום שלה, היא נשארה אדם רגיל וקל לדבר איתו.","האסטרונאוט, לאחר שחזר מהחלל, הפך שוב לאדם רגיל וקרקעי.","उनकी मशहूरी के बावजूद, वह एक जमीनी इंसान रही जिससे बात करना आसान था।",अंतरिक्ष से वापस आने के बाद अंतरिक्ष यात्री फिर से एक सामान्य व्यक्ति बन गया।
draw a blank,to get no response from someone,"When asked about the details of the project, he [[was drawing a blank]]",The artist [[was drawing a blank]] canvas to prepare for her next masterpiece,"When asked about the details of the project, he was drawing a blank",The artist was drawing a blank canvas to prepare for her next masterpiece,was drawing a blank,Ich hatte eine Blockade.,"Als er nach den Details des Projekts gefragt wurde, hatte er keine Ahnung.","Die Künstlerin zeichnete eine leere Leinwand, um sich auf ihr nächstes Meisterwerk vorzubereiten.",הייתי נתקע במקום.,"כאשר שאלו אותו על פרטי הפרויקט, הוא לא ידע מה להגיב.",האמן צייר לוח ריק כדי להתכונן ליצירת המופת הבא שלה.,जब परियोजना के विवरणों के बारे में पूछा गया तो उसे कुछ याद नहीं आ रहा था।,कलाकार अपने अगले उत्कृष्ट कृति के लिए तैयारी करने के लिए एक खाली कैनवास बना रही थी।
drive a wedge between,to damage the good relationship that two people or groups of people have,The disagreement started [[to drive a wedge between them]] and their friendship,The lumberjack used a mallet [[to drive a wedge between them]] and split the log,The disagreement started to drive a wedge between them and their friendship,The lumberjack used a mallet to drive a wedge between them and split the log,to drive a wedge between them,einen Keil zwischen sie treiben,"Der Streit begann, eine Kluft zwischen ihnen zu treiben und ihre Freundschaft zu beeinträchtigen.","Der Holzfäller benutzte einen Hammer, um einen Keil zwischen sie zu treiben und das Holz zu spalten.",להפריד ביניהם באמצעות חרטה,הסכסוך התחיל להפריד ביניהם ובין החברות שלהם.,החוטב השתמש בפטיש כדי להפריד ביניהם ולפצל את הלוג.,असहमति उन दोनों के बीच एक दरार डालने लगी और उनकी दोस्ती को खत्म करने लगी।,लंबरजैक ने उनके बीच एक वेज डालने के लिए एक मैलेट का उपयोग किया और लॉग को टुकड़ों में बांट दिया।
drive up the wall,to make someone angry or irritated,His constant humming is [[driving me up the wall]],The remote-controlled car was [[driving me up the wall]] as it climbed vertically,His constant humming is driving me up the wall,The remote-controlled car was driving me up the wall as it climbed vertically,driving me up the wall,Es bringt mich zur Verzweiflung.,Sein ständiges Summen bringt mich zur Verzweiflung.,"Das ferngesteuerte Auto brachte mich zur Verzweiflung, als es vertikal hochfuhr.",מעלה אותי על הקיר,הנזמר התמידי שלו מטריד אותי עד לקיר,המכונית המתוחכמת בשלט מעלה אותי על הקיר כשהיא טסה למעלה.,उसकी लगातार गुनगुनाहट मुझे पागल कर रही है।,दूरस्थ नियंत्रित कार उठते हुए मुझे दीवार पर चढ़ा रही थी।
drop a bombshell,"make an unexpected, startling or disturbing announcement",The CEO [[dropped a bombshell during the meeting]] when he announced the company's bankruptcy,The clumsy actor accidentally [[dropped a bombshell during the meeting]] while filming a war scene,The CEO dropped a bombshell during the meeting when he announced the company's bankruptcy,The clumsy actor accidentally dropped a bombshell during the meeting while filming a war scene,dropped a bombshell during the meeting,ließ während des Meetings eine Bombe platzen,"Der CEO ließ eine Bombe platzen, als er während des Meetings den Konkurs des Unternehmens ankündigte.","Der ungeschickte Schauspieler ließ während der Besprechung versehentlich eine Bombe platzen, während er eine Kriegsszene drehte.",השליך פצצה במהלך הפגישה.,"המנכ""ל השליך פצצה במהלך הפגישה כאשר הודיע על הליכי השגרירות של החברה.",השחקן הכושל הפיל בטעות פצצה במהלך הפגישה בזמן שצילום סצנת מלחמה.,मीटिंग के दौरान सीईओ ने एक बम फेंक दिया जब उन्होंने कंपनी के दिवालियापन की घोषणा की।,असावधान अभिनेता ने एक युद्ध सीन फिल्म करते समय मीटिंग में गलती से एक बम फेंक दिया।
drop by,an informal visit,I'll [[drop by the store]] to see if they have any new books,The clumsy customer accidentally let a jar [[drop by the store]] entrance,I'll drop by the store to see if they have any new books,The clumsy customer accidentally let a jar drop by the store entrance,drop by the store,Schau im Laden vorbei.,"Ich werde im Laden vorbeischauen, um zu sehen, ob sie neue Bücher haben.",Der ungeschickte Kunde ließ versehentlich ein Glas am Eingang des Geschäfts fallen.,נסע לחנות,אני אתקל בחנות כדי לראות אם יש להם ספרים חדשים.,הלקוח הכושל הפיל בטעות צנצנת ליד כניסת החנות.,मैं दुकान पर जाकर देखूंगा कि क्या उनके पास कोई नई किताबें हैं।,असावधान ग्राहक दुकान के प्रवेशद्वार पर एक जार गिरा दिया।
eat him alive,to criticize someone severely because you are angry with them,His lack of preparation will [[eat him alive in the competition]] against more experienced opponents,The carnivorous insects would [[eat him alive in the competition]] if he didn't wear protective gear,His lack of preparation will eat him alive in the competition against more experienced opponents,The carnivorous insects would eat him alive in the competition if he didn't wear protective gear,eat him alive in the competition,Fressen Sie ihn lebendig im Wettbewerb.,Sein Mangel an Vorbereitung wird ihn im Wettbewerb gegen erfahrenere Gegner aufreiben.,"Die fleischfressenden Insekten würden ihn im Wettbewerb lebendig fressen, wenn er keine Schutzkleidung tragen würde.",אכל אותו חי בתחרות.,חוסר ההכנה שלו יאכל אותו חי בתחרות נגד יריבים יותר מנוסים.,החרקים הקרניבוריים היו אוכלים אותו חי בתחרות אם הוא לא היה נושם ציוד הגנה.,उसकी तैयारी की कमी उसे अनुभवी प्रतिद्वंद्वियों के खिलाफ प्रतियोगिता में जीवित नहीं रहने देगी।,यदि वह संरक्षण उपकरण नहीं पहनता तो शिकारी कीट उसे प्रतियोगिता में जीवित खा जाएंगे।
elephant in the room,"a difficult, controversial, or obvious problem that no one wants to talk about or mention because the subject is problematic, uncomfortable, or awkward","During the family meeting, it was time [[to address the elephant in the room]] and discuss the ongoing conflict","At the wildlife conservation conference, the speaker decided [[to address the elephant in the room]] and talk about habitat preservation","During the family meeting, it was time to address the elephant in the room and discuss the ongoing conflict","At the wildlife conservation conference, the speaker decided to address the elephant in the room and talk about habitat preservation",to address the elephant in the room,"Das Problem ansprechen, das alle kennen, aber niemand ausspricht.","Während des Familientreffens war es an der Zeit, das offensichtliche Problem anzusprechen und den fortlaufenden Konflikt zu diskutieren.","Auf der Konferenz zum Schutz der Tierwelt entschied sich der Redner, das offensichtliche Problem anzusprechen und über den Erhalt des Lebensraums zu sprechen.",לטפל בזה שכולם מתעלמים ממנו,"במהלך הפגישה המשפחתית, הגיע הזמן להתייחס לפעולה הגדולה בחדר ולדון בקונפליקט המתמשך.","בכנס לשמירת הטבע הבר, המרצה החליט להתייחס לסוס הפרד ולדבר על שימור מקום מגוריו.","परिवार की मीटिंग के दौरान, कमरे में हाथी को समझाने और चल रहे विवाद पर चर्चा करने का समय था।","वन्यजीव संरक्षण सम्मेलन में, वक्ता ने कमरे में हाथी को संबोधित करने और आवास संरक्षण के बारे में बात करने का फैसला किया।"
end of story,there is  nothing more to add to the matter under discussion,"I told him I wasn't interested, and [[that's the end of the story]]","She closed the book and said, '[[that's the end of the story]]'","I told him I wasn't interested, and that's the end of the story","She closed the book and said, 'that's the end of the story'",that's the end of the story,Das ist das Ende der Geschichte.,"Ich sagte ihm, dass ich nicht interessiert bin, und das ist das Ende der Geschichte.","Sie schloss das Buch und sagte: ""Das ist das Ende der Geschichte.""",זהו סוף הסיפור.,אמרתי לו שאיני מתעניין וזהו סוף הסיפור.,"סגרה את הספר ואמרה, 'זהו סוף הסיפור'.","मैंने उससे कहा कि मुझे इच्छा नहीं है, और यह कहानी का अंत है।","उसने किताब बंद की और कहा, 'यह कहानी का अंत है'।"
every nook and cranny,to look for something everywhere,"To find the perfect gift, [[they searched every nook and cranny]] of the shopping mall","During the deep cleaning, [[they searched every nook and cranny]] of the house for dust and dirt","To find the perfect gift, they searched every nook and cranny of the shopping mall","During the deep cleaning, they searched every nook and cranny of the house for dust and dirt",they searched every nook and cranny,Sie durchsuchten jede Ecke und jeden Winkel.,"Um das perfekte Geschenk zu finden, durchsuchten sie jede Ecke und jeden Winkel des Einkaufszentrums.",Während der gründlichen Reinigung durchsuchten sie jedes noch so kleine Eckchen des Hauses nach Staub und Schmutz.,הם חיפשו בכל פינה ופינה.,"כדי למצוא את המתנה המושלמת, הם חיפשו בכל פינה ופינה של המרכז המסחרי.","במהלך הניקיון העמוק, הם חיפשו בכל פינה ופינה של הבית על מנת למצוא אבק וזיהום.",उन्होंने सही उपहार ढूंढने के लिए शॉपिंग मॉल के हर कोने-कोने की खोज की।,"गहरी सफाई के दौरान, वे घर के हर कोने-कोने में धूल और मिट्टी के लिए खोज करते थे।"
everything but the kitchen sink,almost everything that one can think of,"For our camping trip, we [[packed everything but the kitchen sink]] to be prepared","While moving, they [[packed everything but the kitchen sink]], which was left for the new owners","For our camping trip, we packed everything but the kitchen sink to be prepared","While moving, they packed everything but the kitchen sink, which was left for the new owners",packed everything but the kitchen sink,Alles eingepackt außer der Küchenspüle.,"Für unseren Campingausflug haben wir alles eingepackt, außer der Küchenspüle, um vorbereitet zu sein.","Während des Umzugs packten sie alles ein, außer der Küchenspüle, die für die neuen Besitzer zurückgelassen wurde.",מארזת הכל חוץ מכיור המטבח.,"לטיול המחנאות שלנו, ארזנו הכל חוץ מכיור המטבח כדי להיות מוכנים.","בזמן המעבר, הם ערכו את כל הדברים חוץ מכיור המטבח, שהושאר לבעלי הבית החדשים.","हमारी कैंपिंग यात्रा के लिए, हमने तैयार रहने के लिए सब कुछ पैक किया था, बस रसोई का सिंक नहीं।","जब वे घर से निकले, तब उन्होंने सब कुछ पैक कर लिया था लेकिन रसोई का सिंक नए मालिकों के लिए छोड़ दिया गया था।"
face the music,receive punishment,"After making a mistake at work, [[they faced the music together]] and accepted the consequences","As the orchestra began to play, [[they faced the music together]] and enjoyed the performance","After making a mistake at work, they faced the music together and accepted the consequences","As the orchestra began to play, they faced the music together and enjoyed the performance",they faced the music together,Sie stellten sich gemeinsam der Musik.,"Nachdem sie bei der Arbeit einen Fehler gemacht hatten, stellten sie sich gemeinsam der Musik und akzeptierten die Konsequenzen.","Als das Orchester zu spielen begann, stellten sie sich gemeinsam der Musik und genossen die Aufführung.",הם עמדו לפני המוזיקה ביחד.,"לאחר שגיאה שקרתה בעבודה, הם עמדו בפני המציאות יחד וקיבלו את התוצאות.","כשהתזמורת החלה לנגן, הם פנו למוזיקה ביחד ונהנו מהופעה.","काम में गलती करने के बाद, वे साथ में संगीत का सामना करते हुए और परिणामों को स्वीकार करते हुए थे।","जैसे ही ऑर्केस्ट्रा बजाना शुरू हुआ, वे साथ में संगीत का सामना करते हुए और प्रदर्शन का आनंद लेते थे।"
fall at first hurdle,to fail to overcome the first difficulty encountered,The new employee [[fell at the first hurdle]] when he failed to complete the initial task,The inexperienced horse rider [[fell at the first hurdle]] during the race,The new employee fell at the first hurdle when he failed to complete the initial task,The inexperienced horse rider fell at the first hurdle during the race,fell at the first hurdle,scheiterte beim ersten Hindernis,"Der neue Mitarbeiter ist beim ersten Hindernis gescheitert, als er die anfängliche Aufgabe nicht abgeschlossen hat.",Der unerfahrene Pferdereiter fiel beim ersten Hindernis während des Rennens.,נכשל במכשול הראשון,העובד החדש נפל במכשול הראשון כשהוא כשל בהשלמת המשימה הראשונית.,הרוכב על הסוס החסר ניסיון נפל במכשול הראשון במהלך המרוץ.,नया कर्मचारी पहली बार में गिर गया जब उसने प्रारंभिक कार्य को पूरा नहीं किया।,अनुभवहीन घोड़े की सवारी दौड़ के दौरान पहली बाधा पर गिर गया।
fall between the cracks,be ignored or unobserved,His request for a promotion [[fell between the cracks]] due to the company's restructuring,The small toy [[fell between the cracks]] of the wooden floor,His request for a promotion fell between the cracks due to the company's restructuring,The small toy fell between the cracks of the wooden floor,fell between the cracks,fiel durchs Raster,Sein Antrag auf Beförderung fiel aufgrund der Umstrukturierung des Unternehmens durchs Raster.,Das kleine Spielzeug fiel zwischen die Ritzen des Holzbodens.,נפל בין הפערים,בקשתו לקידום נפלה בין הפעמונים עקב המשבר המבני של החברה.,הצעצוע הקטן נפל בין הסדקים שברצפת העץ.,उनकी पदोन्नति के लिए अनुरोध कंपनी के पुनर्गठन के कारण छिप गया।,छोटा खिलौना लकड़ी के फर्श के दरारों के बीच गिर गया।
fall on his sword,to accept the consequences of an unsuccessful or wrong action,He decided [[to fall on his sword]] and take responsibility for the team's failure,"During the reenactment, he accidentally tripped and started [[to fall on his sword]]",He decided to fall on his sword and take responsibility for the team's failure,"During the reenactment, he accidentally tripped and started to fall on his sword",to fall on his sword,sich selbst das Schwert in die Brust stoßen,"Er entschied sich, auf sein Schwert zu fallen und die Verantwortung für das Scheitern des Teams zu übernehmen.",Während der Nachstellung ist er versehentlich gestolpert und begann auf sein Schwert zu fallen.,ליפול על חרבו,הוא החליט לנפול על חרבו ולקחת אחריות על הכשלון של הקבוצה.,"במהלך הצגת החזרה, הוא כביכול ככה והתחיל ליפול על החרב שלו.",उसने अपनी तलवार पर गिरने का फैसला किया और टीम की असफलता के लिए जिम्मेदारी लेने का फैसला किया।,"पुनरावृत्ति के दौरान, उसने अनजाने में ट्रिप कर दिया और अपनी तलवार पर गिरने लगा।"
fall on our feet,to succeed in doing something where there was a risk of failure,"Despite the challenges, we managed [[to fall on our feet]] and succeed","During the dance routine, we tripped and managed [[to fall on our feet]]","Despite the challenges, we managed to fall on our feet and succeed","During the dance routine, we tripped and managed to fall on our feet",to fall on our feet,Auf unseren Füßen landen.,"Trotz der Herausforderungen haben wir es geschafft, auf unsere Füße zu fallen und erfolgreich zu sein.","Während der Tanzroutine sind wir gestolpert und haben es geschafft, auf unseren Füßen zu landen.",ליפול על רגליים שלנו,"למרות האתגרים, הצלחנו ליפול על רגליינו ולהצליח.","במהלך הרקדה, כשכשלנו, הצלחנו ליפול על רגליים שלנו.","चुनौतियों के बावजूद, हमने अपने पैरों पर गिरने से बचाया और सफलता प्राप्त की।","नृत्य रूटीन के दौरान, हम ट्रिप हो गए थे और हमारे पैरों पर गिरने में कामयाब रहे।"
fall out,to disagree with someone about something,[[They had a fall out]] over a disagreement about their business,"While climbing the tree, [[they had a fall out]] and landed on the ground",They had a fall out over a disagreement about their business,"While climbing the tree, they had a fall out and landed on the ground",They had a fall out,Sie hatten einen Streit.,Sie hatten einen Streit wegen einer Meinungsverschiedenheit über ihr Geschäft.,"Während sie den Baum hinaufkletterten, gerieten sie in Streit und landeten auf dem Boden.",הם נפרדו בגלל ריב,הם נפרדו בגלל חוסר הסכמה בנוגע לעסק שלהם.,"בזמן שטפסו על העץ, הם נפלו ונחתו על הקרקע.",उन्होंने अपने व्यवसाय के बारे में एक असहमति के बारे में झगड़ा कर लिया था।,वह पेड़ चढ़ते समय उन्हें गिर गए और जमीन पर गिर गए।
fan the flames,make a bad situation even worse,Their constant arguing only [[fanned the flames together]] and made the situation worse,They [[fanned the flames together]] to keep the campfire going,Their constant arguing only fanned the flames together and made the situation worse,They fanned the flames together to keep the campfire going,fanned the flames together,fachten gemeinsam die Flammen an,Ihr ständiges Streiten hat die Flammen nur angefacht und die Situation verschlimmert.,"Sie fächelten gemeinsam die Flammen an, um das Lagerfeuer am Brennen zu halten.",נשפכו יחדיו את הלהבות,הטיעונים התמדתם שלהם רק פעלו לכוון את הלהבות יחד והגרמו למצב להיות גרוע יותר.,הם ניפחו את הלהבות יחד כדי להמשיך לשרוף את מדורת המחנה.,उनकी निरंतर लड़ाई सिर्फ आग को बढ़ाती गई और स्थिति को और खराब कर दी।,वे साथ मिलकर आग को जलाते रहे ताकि शिविर आग जलती रहे।
feather in your cap,It means to have an achievement in your name.,Winning the championship would be [[a feather in your cap]],The hat you're wearing has [[a feather in your cap]] as a decoration,Winning the championship would be a feather in your cap,The hat you're wearing has a feather in your cap as a decoration,a feather in your cap,Eine Feder in deiner Kappe.,"Den Meistertitel zu gewinnen, wäre eine Auszeichnung für dich.","Der Hut, den du trägst, hat eine Feder als Dekoration auf deiner Kappe.",עוף בכובע שלך,זכייה באליפות תהיה פרס בכיס שלך.,הכובע שאתה נושא יש לו עט בתוך הכובע כקישוט.,चैम्पियनशिप जीतना आपके टोपी में एक ऊंट होगा।,"वह टोपी जो आप पहन रहे हैं, उसमें आभूषण के रूप में एक पंख है।"
feather one's (own) nest,"If you say that you are feathering your own nest, you mean that you are working so hard to gather resources (money) to live a comfortable life in the future.",She was accused of [[feathering her own nest]] by taking bribes,The bird was [[feathering her own nest]] with soft materials to make it cozy,She was accused of feathering her own nest by taking bribes,The bird was feathering her own nest with soft materials to make it cozy,feathering her own nest,Ihr eigenes Nest befiedern.,"Sie wurde beschuldigt, ihr eigenes Nest zu befiedern, indem sie Bestechungsgelder annahm.","Der Vogel polsterte ihr eigenes Nest mit weichen Materialien aus, um es gemütlich zu machen.",פריזת הקן שלה,היא נאשמה בקבלת שוחד כדי להעשיר את עצמה.,הציפור הייתה מכסה את הקניין שלה בחומרים רכים כדי להפוך אותו לנעים.,उसे रिश्वत लेकर अपने घोंसले को भरने का आरोप लगाया गया था।,चिड़िया नरम सामग्री से अपने घोंसले को सुखद बनाने के लिए अपने घोंसले को अपने आप से भर रही थी।
feel the pinch,experience financial hardship,"After losing his job, [[he started to feel the pinch]] financially","When the crab grabbed his finger, [[he started to feel the pinch]]","After losing his job, he started to feel the pinch financially","When the crab grabbed his finger, he started to feel the pinch",he started to feel the pinch,"Er begann, den Druck zu spüren.","Nachdem er seinen Job verloren hatte, begann er finanziell zu spüren.","Als der Krebs seinen Finger packte, begann er den Schmerz zu spüren.",הוא התחיל להרגיש את הלחץ.,"לאחר שאיבד את עבודתו, הוא התחיל להרגיש את הצמצום הכספי.","כשהסרטן אחז באצבע שלו, הוא התחיל להרגיש את הציפורן.","अपनी नौकरी खोने के बाद, वह आर्थिक रूप से कमजोर महसूस करने लगा।","जब केकड़ा उसकी उंगली पकड़ा, तब उसे दर्द महसूस होना शुरू हुआ।"
feet of clay,have a flaw or weakness most people are unaware of.,"Despite his confident demeanor, he [[had feet of clay]] when it came to public speaking",The statue [[had feet of clay]] as part of its unique design,"Despite his confident demeanor, he had feet of clay when it came to public speaking",The statue had feet of clay as part of its unique design,had feet of clay,hatte Füße aus Ton,Trotz seines selbstbewussten Auftretens hatte er bei öffentlichen Reden Schwächen.,Die Statue hatte als Teil ihres einzigartigen Designs Füße aus Ton.,היו לו רגלי חמר.,"למרות המראה הבטוח שלו, היו לו רגלי חרס כשהגיע לדבר בפומבי.",הפסל כלל רגלי חימר כחלק מעיצובו הייחודי.,"अपने आत्मविश्वासपूर्ण व्यवहार के बावजूद, जब बात सार्वजनिक भाषण देने की आती थी तो उसके पैर मिट्टी के बराबर थे।",मूर्ति के अनोखे डिजाइन का हिस्सा के रूप में उसके पैर मिट्टी के थे।
fiddle while Rome burns,to perform an inconsequential task or act irresponsibly in the midst of a disastrous event.,He [[fiddled while Rome burned]] by playing video games during the company crisis,The musician [[fiddled while Rome burned]] as he was unaware of the fire,He fiddled while Rome burned by playing video games during the company crisis,The musician fiddled while Rome burned as he was unaware of the fire,fiddled while Rome burned,"spielte Geige, während Rom brannte","Er spielte Videospiele, während Rom brannte, während der Unternehmenskrise.","Der Musiker spielte Geige, während Rom brannte, da er sich des Feuers nicht bewusst war.",נגן על הכינור כשרומא שרפה,הוא ניגן במשחקי וידאו בזמן שרומא הייתה בוערת במשבר החברה.,"המוזיקאי נגן על הכינור כשרומא הייתה בוערת, מכיוון שהוא לא היה מודע לאש.",वह कंपनी के संकट के दौरान वीडियो गेम खेलकर रोम जलते हुए भीखरी मारता रहा।,"संगीतकार जबकि रोम जल रहा था, वह आग के बारे में अनजान था और फिडल बजाता रहा।"
fill the bill,be exactly suitable for a particular situation,The new employee [[filled the bill perfectly]] for the position we needed,The waiter [[filled the bill perfectly]] with all the items we ordered,The new employee filled the bill perfectly for the position we needed,The waiter filled the bill perfectly with all the items we ordered,filled the bill perfectly,Erfüllte die Anforderungen perfekt.,"Der neue Mitarbeiter erfüllte perfekt die Anforderungen für die Stelle, die wir brauchten.",Der Kellner hat die Rechnung perfekt mit allen von uns bestellten Artikeln gefüllt.,מילא את החשבון בצורה מושלמת,העובד החדש מתאים בדיוק לתפקיד שהיינו צריכים.,המלצר מילא את החשבון בצורה מושלמת עם כל הפריטים שהזמנו.,नया कर्मचारी हमारी आवश्यकता के लिए पूरी तरह से बिल को भर दिया।,वेटर ने हमारे द्वारा ऑर्डर किए गए सभी आइटम के साथ बिल को पूरी तरह से भर दिया।
fingers and thumbs,to be clumsy and not very skilled with your hands,"When it comes to knitting, I'm [[all fingers and thumbs]]",The hand puppet was [[all fingers and thumbs]] with no other features,"When it comes to knitting, I'm all fingers and thumbs",The hand puppet was all fingers and thumbs with no other features,all fingers and thumbs,alle Finger und Daumen,"Wenn es ums Stricken geht, bin ich total ungeschickt.",Die Handpuppe bestand nur aus Fingern und Daumen ohne weitere Merkmale.,כל האצבעות והאגודלים,"כשמדובר בסריגה, אני כל כפות הידיים והאצבעות.",הבובה היד שהייתה כולה אצבעות ואגודלים ללא מאפיינים אחרים.,"जब बात बुनाई की आती है, तो मैं सब उंगलियाँ और अंगूठे हो जाती हूँ।",हाथ का मुखपट्टल अंगुलियों से भरा हुआ था और कोई अन्य विशेषता नहीं थी।
flash in the pan,"something that cannot be repeated, usually a positive concept","His sudden success turned out to be [[a flash in the pan]], as he couldn't maintain it","The oil caught fire, creating [[a flash in the pan]] while she was cooking","His sudden success turned out to be a flash in the pan, as he couldn't maintain it","The oil caught fire, creating a flash in the pan while she was cooking",a flash in the pan,ein Strohfeuer,"Sein plötzlicher Erfolg stellte sich als Strohfeuer heraus, da er ihn nicht aufrechterhalten konnte.","Das Öl fing Feuer und erzeugte eine Stichflamme, während sie kochte.",פָּעַם אֶחָת בַּחֲיֵיו (pa'am echad bachayav),"הצלחתו הפתאומית התגלתה כהבהוב במחבת, מכיוון שהוא לא הצליח לשמר אותה.","השמן התלהב, יצר בזק במחבת כשהיא הייתה מבשלת.","उसकी अचानक सफलता एक झटके जैसी निकली, क्योंकि वह उसे बरकरार नहीं रख सका।","खाना पका रही थी जब तेल आग पकड़ गया, जिससे पैन में एक झलक उत्पन्न हुई।"
flesh and blood,"This phrase refers to direct family members, people that share a DNA, that is, flesh and blood.",I couldn't believe [[my own flesh and blood]] would betray me like that,The horror movie showed a scene where [[my own flesh and blood]] was exposed after a terrible accident,I couldn't believe my own flesh and blood would betray me like that,The horror movie showed a scene where my own flesh and blood was exposed after a terrible accident,my own flesh and blood,mein eigen Fleisch und Blut,"Ich konnte nicht glauben, dass mein eigen Fleisch und Blut mich so verraten würde.","Der Horrorfilm zeigte eine Szene, in der mein eigenes Fleisch und Blut nach einem schrecklichen Unfall freigelegt wurde.",בשרי ודמי הם.,לא הייתי מאמין שבשרי ודמי יכולים לבגוד בי ככה.,הסרט האימה הראה סצינה בה נחשפה בשרי ודם שלי לאחר תאונה נוראה.,मैं अपनी खून का रिश्ता तोड़ने वाले पर विश्वास नहीं कर सकता था।,भयानक फिल्म में एक दृश्य दिखाया गया था जहां एक भयानक दुर्घटना के बाद मेरी खून और मांस उजागर हुए।
foam at the mouth,be extremely angry,He [[was foaming at the mouth]] when he found out about the betrayal,The rabid dog [[was foaming at the mouth]] and needed to be isolated,He was foaming at the mouth when he found out about the betrayal,The rabid dog was foaming at the mouth and needed to be isolated,was foaming at the mouth,"""schäumte aus dem Mund""","Er schäumte vor Wut, als er von dem Verrat erfuhr.",Der tollwütige Hund schäumte aus dem Maul und musste isoliert werden.,היה מפיח בפה.,הוא היה מפיח בפה כשהוא גילה את הבגידה.,הכלב המשוגע היה מזיע בפה והיה צריך להיבדל.,जब उसे धोखे के बारे में पता चला तो उसका मुंह फोम आ रहा था।,रेबिड कुत्ते का मुंह फोमिंग कर रहा था और उसे अलग करने की आवश्यकता थी।
