idiom,meaning,s_f_brkt,s_l_brkt,s_f,s_l,s_a,p_a_hi_gpt,p_l_he_gpt
blue eyed boy,a person who is treated with special favor.,"He was [[the blue-eyed boy]] of the company, always receiving praise and promotions",The child with striking azure irises was [[the blue-eyed boy]] in the family,"He was the blue-eyed boy of the company, always receiving praise and promotions",The child with striking azure irises was the blue-eyed boy in the family,the blue-eyed boy,नीली आंखों वाला लड़का,הילד עם איריסים תכלתיות מצוין היה הבן עם העיניים הכחולות במשפחה.
born yesterday,naive; inexperienced,He was [[not born yesterday]] and could easily see through their lies,"Since today is her first birthday, she was [[not born yesterday]]",He was not born yesterday and could easily see through their lies,"Since today is her first birthday, she was not born yesterday",not born yesterday,कल का बच्चा नहीं हूँ।,"מאחר והיום הוא יום הולדתה הראשונה, היא לא נולדה אתמול."
bread and butter,to indicate what a person earns or earns for,"Graphic design is [[their bread and butter]], as it's their main source of income","On the table, there was [[their bread and butter]] ready for breakfast","Graphic design is their bread and butter, as it's their main source of income","On the table, there was their bread and butter ready for breakfast",their bread and butter,उनका रोटी और मक्खन,על השולחן היה לחם וחמאתם מוכנים לארוחת בוקר.
break a leg,good luck,"Before her performance, we told her [[to break a leg on stage]]","During the play, the actor accidentally tripped and managed [[to break a leg on stage]]","Before her performance, we told her to break a leg on stage","During the play, the actor accidentally tripped and managed to break a leg on stage",to break a leg on stage,स्टेज पर पैर टूटना।,"במהלך ההצגה, השחקן כביכול כשל בטעות והצליח לשבור רגל על הבמה."
break down,to stop working,"Let me [[break down the situation]] for you, so you can understand the complexity",The firefighters had to [[break down the situation]] by removing debris after the collapse,"Let me break down the situation for you, so you can understand the complexity",The firefighters had to break down the situation by removing debris after the collapse,break down the situation,स्थिति को विस्तार से समझाएं।,הכבאים היו צריכים לפרק את המצב על ידי הסרת פסולת לאחר הקריסה.
break the ice,"to do or say something that makes people feel more comfortable, especially at the start of a meeting or party",We started [[breaking the ice together]] by playing a fun team-building game,"During the winter expedition, we were [[breaking the ice together]] to clear a path",We started breaking the ice together by playing a fun team-building game,"During the winter expedition, we were breaking the ice together to clear a path",breaking the ice together,साथ में बार्फ तोड़ना।,"במסע החורף, פיצלנו את הקרח יחד כדי לנקות נתיב."
break the mould,to do something different from what is expected,Her innovative ideas were [[breaking the mould]] in the industry,The sculptor was [[breaking the mould]] to reveal the finished statue,Her innovative ideas were breaking the mould in the industry,The sculptor was breaking the mould to reveal the finished statue,breaking the mould,मोल्ड को तोड़ना।,החצרן היה שובר את המולד כדי לחשוף את הפסל הגמור.
break up,end a romantic relationship with someone,"After months of arguments, they [[decided to break up]] and end their relationship",The construction workers [[decided to break up]] the concrete with a jackhammer,"After months of arguments, they decided to break up and end their relationship",The construction workers decided to break up the concrete with a jackhammer,decided to break up,अलग होने का फैसला किया।,הפועלים בתחום הבנייה החליטו לפצוץ את הבטון באמצעות מכפיל פטישים.
bright spark,an intelligent and lively person (humorously),"She was [[a bright spark]] in the team, always coming up with innovative ideas",The firework display created [[a bright spark]] in the night sky,"She was a bright spark in the team, always coming up with innovative ideas",The firework display created a bright spark in the night sky,a bright spark,एक उज्ज्वल चमकदार तेज़ी (ek ujjwal chamakdaar tejee),התצוגה של האזרחים יצרה ניצוץ מבריק בשמי הלילה.
buckle down,make sure something stays in place,"With the deadline approaching, we had [[to buckle down to work]] and finish the project",The carpenter had [[to buckle down to work]] on the leather belt,"With the deadline approaching, we had to buckle down to work and finish the project",The carpenter had to buckle down to work on the leather belt,to buckle down to work,काम पर ध्यान केंद्रित करना।,הנגר היה צריך להתמקד בעבודה על חגורת העור.
build bridges,to foster good relationships,"As a mediator, my goal is [[to build bridges between them]] and resolve their conflicts",The construction company was hired [[to build bridges between them]] to connect the two islands,"As a mediator, my goal is to build bridges between them and resolve their conflicts",The construction company was hired to build bridges between them to connect the two islands,to build bridges between them,उन्हें एक दूसरे के बीच पुल बनाना।,החברה לבנייה נשכרה כדי לבנות גשרים ביניהם כדי לחבר את שתי האיים.
building blocks,something that is a basic element (of the subject),Hard work and dedication are [[the building blocks of success]],The children used wooden cubes as [[the building blocks of success]] in their tower construction,Hard work and dedication are the building blocks of success,The children used wooden cubes as the building blocks of success in their tower construction,the building blocks of success,सफलता के निर्माण तत्व,הילדים השתמשו בקוביות עץ כבלוקי בנייה להצלחת המגדל שלהם.
bun in the oven,to be pregnant,She excitedly announced that she [[has a bun in the oven]] and is expecting a baby,The baker [[has a bun in the oven]] and it will be ready in a few minutes,She excitedly announced that she has a bun in the oven and is expecting a baby,The baker has a bun in the oven and it will be ready in a few minutes,has a bun in the oven,गर्भवती है।,האפיין יש לו כיכר בתנור וזה יהיה מוכן תוך כמה דקות.
burn bridges,"remove someone's all options of retreat, act decisively","After the argument, she [[burned bridges with them]] and never spoke to them again",The vandals [[burned bridges with them]] as they escaped the village,"After the argument, she burned bridges with them and never spoke to them again",The vandals burned bridges with them as they escaped the village,burned bridges with them,उनके साथ जली हुई पुलियों को तोड़ दिया है।,הוונדלים שרפו גשרים איתם כשהם ברחו מהכפר
burn fingers,to bear an unpleasant result of an action that has been taken in the past,[[They burned their fingers]] by investing in a risky business,[[They burned their fingers]] while trying to grab a hot pan,They burned their fingers by investing in a risky business,They burned their fingers while trying to grab a hot pan,They burned their fingers,उन्होंने अपने अंगूठे जला दिए।,הם שרפו את אצבעותיהם בעת ניסיון לתפוס מחבת חמה.
burn the candle at both ends,to exhaust someone's energies or resources by leading a hectic life.,"Working two jobs and studying, she was [[burning the candle at both ends]]","During the experiment, they were [[burning the candle at both ends]] to observe the melting rate","Working two jobs and studying, she was burning the candle at both ends","During the experiment, they were burning the candle at both ends to observe the melting rate",burning the candle at both ends,दोनों तरफ से मोमबत्ती जलाना।,"במהלך הניסוי, הם שרפו את הנר משני הקצוות כדי לעקוב אחר קצב ההתכה."
bury head in the sand,hide from the truth,They [[buried their heads in the sand]] when confronted with the company's financial problems,The ostriches [[buried their heads in the sand]] to search for food,They buried their heads in the sand when confronted with the company's financial problems,The ostriches buried their heads in the sand to search for food,buried their heads in the sand,वे अपने सिर मिट्टी में छिपा लिए।,הינםות נטמעו את ראשותיהם בחול כדי לחפש אוכל.
butter up,to flatter someone so as to get something in return from them,He tried [[to butter up the boss]] by complimenting her outfit,It was her job [[to butter up the boss]]'s toast every morning,He tried to butter up the boss by complimenting her outfit,It was her job to butter up the boss's toast every morning,to butter up the boss,बॉस को चापलूसी करना।,זה היה העבודה שלה לפרסם את הטוסט של הבוס כל בוקר.
call a spade a spade,this phrase means to say something the way it is,[[She called a spade a spade]] when she confronted her friend about her dishonesty,"While playing cards, [[she called a spade a spade]] when she identified the suit correctly",She called a spade a spade when she confronted her friend about her dishonesty,"While playing cards, she called a spade a spade when she identified the suit correctly",She called a spade a spade,उसने चीजों के नाम को उन्हीं के नाम से पुकारा।,"בזמן שהיא שיחקה בקלפים, היא קראה לקלף קלף כשזיהתה את הצבע נכון."
can of worms,"to get into something that is messy, has problems and is unwanted","By asking about his past, she inadvertently [[opened a can of worms]] in their conversation",The fisherman [[opened a can of worms]] to bait his hook,"By asking about his past, she inadvertently opened a can of worms in their conversation",The fisherman opened a can of worms to bait his hook,opened a can of worms,एक कीड़ों का डिब्बा खोल दिया।,הדייג פתח פח של תולעי כדי להשתמש בהם כפתיים.
card up sleeve,to have a secret advantage that is suddenly revealed to change the game,"During the negotiation, he [[had a card up his sleeve]] that gave him an advantage","As a magician, he cleverly [[had a card up his sleeve]] for his next trick","During the negotiation, he had a card up his sleeve that gave him an advantage","As a magician, he cleverly had a card up his sleeve for his next trick",had a card up his sleeve,उसके पास उसकी आसमानी बाजू में एक कार्ड था।,"כקוסם, הוא היה חכם והחביא קלף בשרוול שלו לטריק הבא."
carry the torch for,to have strong feelings for someone with whom you do not or cannot have a relationship,"He's been [[carrying the torch for her]] since high school, but she never noticed","During the relay race, he was [[carrying the torch for her]] until it was her turn to run","He's been carrying the torch for her since high school, but she never noticed","During the relay race, he was carrying the torch for her until it was her turn to run",carrying the torch for her,उसके लिए दीपक लेकर चलना।,"במהלך מרוץ הרליי, הוא נשא את המשואה עבורה עד שהגיע תורה לרוץ."
cash in,to earn out of something in big amounts,He decided to [[cash in on the opportunity]] and invest in the startup,"At the casino, she decided to [[cash in on the opportunity]] and exchange her chips for money",He decided to cash in on the opportunity and invest in the startup,"At the casino, she decided to cash in on the opportunity and exchange her chips for money",cash in on the opportunity,अवसर का फायदा उठाना।,"בקזינו, היא החליטה לנצל את ההזדמנות ולהמיר את הצ'יפים שלה לכסף."
castles in the air,thinking of some impossible task,He spent his days [[building castles in the air]] instead of focusing on his job,The artist created a stunning installation of [[building castles in the air]] using lightweight materials,He spent his days building castles in the air instead of focusing on his job,The artist created a stunning installation of building castles in the air using lightweight materials,building castles in the air,हवाई महल बनाना,האמן יצר מיצב מהמם של בניית טירות באוויר באמצעות חומרים קלים.
catch napping,"surprise, take unawares.",The surprise quiz [[caught him napping]] and he couldn't answer any questions,I walked into the room and [[caught him napping]] on the couch,The surprise quiz caught him napping and he couldn't answer any questions,I walked into the room and caught him napping on the couch,caught him napping,उसे सोते हुए पकड़ लिया,הלכתי לחדר ותפסתי אותו נמנם על הספה.
catch up,"to get to the same level, standard, or status as something or someone",I need [[to catch up with her]] to discuss the latest news,I had to run faster [[to catch up with her]] during the race,I need to catch up with her to discuss the latest news,I had to run faster to catch up with her during the race,to catch up with her,उससे जुड़ना।,הייתי צריך לרוץ מהר יותר כדי להשתוות איתה במהלך המרוץ.
chapter and verse,verbatim; word for word details.,"When asked about the new policy, she [[gave them chapter and verse]] on the company's regulations",The priest [[gave them chapter and verse]] from the Bible during the sermon,"When asked about the new policy, she gave them chapter and verse on the company's regulations",The priest gave them chapter and verse from the Bible during the sermon,gave them chapter and verse,उन्हें अंग-अंग की जानकारी दी।,"הכהן נתן להם פרק ופסוק מהתנ""ך במהלך הדרשה."
child's play,an informal expression meaning something that is easy to do,Solving the puzzle [[it was child's play]] for the experienced detective,The playground equipment [[it was child's play]] for the kids to enjoy,Solving the puzzle it was child's play for the experienced detective,The playground equipment it was child's play for the kids to enjoy,it was child's play,यह बच्चों का खेल था।,הציוד בגינת המשחקים היה משחק ילדים קל לילדים להנות ממנו.
chill wind,to encounter the problems or trouble,"When the news of the layoffs arrived, [[a chill wind blew]] through the office","As we walked through the forest, [[a chill wind blew]] and made us shiver","When the news of the layoffs arrived, a chill wind blew through the office","As we walked through the forest, a chill wind blew and made us shiver",a chill wind blew,एक ठंडी हवा चली।,"כשהלכנו דרך היער, רוח קרה נשבה וגרמה לנו לרעוד."
chink in armour,a susceptible or vulnerable area.,"After analyzing their strategy, we [[found a chink in their armour]] that we could exploit","While examining the knight's suit, he [[found a chink in their armour]] that needed repair","After analyzing their strategy, we found a chink in their armour that we could exploit","While examining the knight's suit, he found a chink in their armour that needed repair",found a chink in their armour,उनकी कवच में एक छेद मिला।,"בזמן בדיקת החפץ של האביר, הוא מצא חריץה בשריון שצריך לתקן."
choke up,make a person become overemotional and speechless,"Hearing the sad news, [[he started to choke up]] and could n't speak","While eating too quickly, [[he started to choke up]] on a piece of food","Hearing the sad news, he started to choke up and could n't speak","While eating too quickly, he started to choke up on a piece of food",he started to choke up,वह बंद होने लगा।,"בזמן שהוא אכל מהר מדי, הוא התחיל להתכווץ על חתיכת מזון."
clamp down,suppress or prevent something in an oppressive or harsh manner,The principal decided [[to clamp down on the situation]] by enforcing stricter rules,The mechanic used a tool [[to clamp down on the situation]] and secure the loose parts,The principal decided to clamp down on the situation by enforcing stricter rules,The mechanic used a tool to clamp down on the situation and secure the loose parts,to clamp down on the situation,स्थिति पर दबाव डालना।,המכונאי השתמש בכלי כדי לכבות על המצב ולאבטח את החלקים המתרפקים.
clean slate,to wipe the past out and begin afresh,"After apologizing, they decided [[to start with a clean slate]] and rebuild their friendship",The artist decided [[to start with a clean slate]] by wiping off the chalkboard,"After apologizing, they decided to start with a clean slate and rebuild their friendship",The artist decided to start with a clean slate by wiping off the chalkboard,to start with a clean slate,एक साफ स्लेट से शुरू करना।,האמן החליט להתחיל מחדש על גבי לוח השחור על ידי מחיקת הציורים.
clean sweep,an irresistible victory,The team [[made a clean sweep]] by winning all the matches in the tournament,The janitor [[made a clean sweep]] of the classroom floor,The team made a clean sweep by winning all the matches in the tournament,The janitor made a clean sweep of the classroom floor,made a clean sweep,सफलतापूर्वक सफाई कर दी।,המנקה עשה ניקיון מלא של רצפת הכיתה.
clear the air,get rid of all doubts and negative feelings,"After the argument, [[we cleared the air with her]] by discussing our feelings",[[We cleared the air with her]] by opening the windows to let the smoke out,"After the argument, we cleared the air with her by discussing our feelings",We cleared the air with her by opening the windows to let the smoke out,we cleared the air with her,हमने उसके साथ बातचीत करके स्पष्टता ला दी।,טהרנו את האוויר עם היא על ידי פתיחת החלונות כדי לתת לעשן לצאת.
clear the decks,get ready for action.,[[We cleared the decks for the event]] by finishing all our pending tasks,[[We cleared the decks for the event]] by removing all the furniture from the patio,We cleared the decks for the event by finishing all our pending tasks,We cleared the decks for the event by removing all the furniture from the patio,We cleared the decks for the event,हमने इवेंट के लिए रास्ता साफ कर दिया।,סידרנו את המשטחים לאירוע על ידי הסרת כל הריהוט מהמרפסת.
close call,a narrow escape from disaster,He [[had a close call]] when he narrowly avoided a car accident,The two phones [[had a close call]] when they were placed side by side,He had a close call when he narrowly avoided a car accident,The two phones had a close call when they were placed side by side,had a close call,एक करीबी कॉल था।,הטלפונים השניים חוו רגע קרוב כאשר הוצבו ליד זה לזה.
cloud on the horizon,"a problem or difficulty that is predictable, or seems likely to arise in the future","Despite the success of the project, there was [[a cloud on the horizon]] in the form of budget cuts","As we looked out to sea, we noticed [[a cloud on the horizon]] signaling an approaching storm","Despite the success of the project, there was a cloud on the horizon in the form of budget cuts","As we looked out to sea, we noticed a cloud on the horizon signaling an approaching storm",a cloud on the horizon,किनारे पर एक बादल (Kinare par ek badal),"כשהסתכלנו לים, שמנו לב לענן על האופק המציין סערה שמתקרבת."
coast is clear,there is no danger in sight or that nobody can see you,"After the security guard left, we knew [[the coast is clear]] to enter the building","Looking through the binoculars, the sailor confirmed that [[the coast is clear]] of any obstacles","After the security guard left, we knew the coast is clear to enter the building","Looking through the binoculars, the sailor confirmed that the coast is clear of any obstacles",the coast is clear,तट साफ है।,"מביט דרך המשקפת הצפונית, החייל אישר כי החוף נקי מכל מכשולים."
coin money,make a great deal of money easily or very quickly.,Their successful business venture had them [[coining money together]] in no time,"As mint workers, they were [[coining money together]] at the factory",Their successful business venture had them coining money together in no time,"As mint workers, they were coining money together at the factory",coining money together,साथ में सिक्के बनाना,"כעובדי נעילת המטבע, הם יצרו כסף ביחד במפעל."
cold feet,loss of courage,[[She got cold feet]] just before her big presentation,"After walking in the snow without proper shoes, [[she got cold feet]]",She got cold feet just before her big presentation,"After walking in the snow without proper shoes, she got cold feet",She got cold feet,उसे ठंडे पैर मिल गए।,"לאחר הליכה בשלג ללא נעליים מתאימות, היא קיבלה רגליים קרות."
cold turkey,in a unexpected and sudden way,He quit smoking by [[going cold turkey]] without any assistance,"She was [[going cold turkey]] for her sandwich, but decided to add some cheese",He quit smoking by going cold turkey without any assistance,"She was going cold turkey for her sandwich, but decided to add some cheese",going cold turkey,तंग तलवार से छुटकारा पाना।,"היא הייתה מנסה להפסיק לאכול חצי חזיר לסנדוויץ', אבל החליטה להוסיף קצת גבינה."
come across,to meet someone,"While researching, I [[came across the old book]] that provided valuable information","Walking through the library, I accidentally stepped on and [[came across the old book]] lying on the floor","While researching, I came across the old book that provided valuable information","Walking through the library, I accidentally stepped on and came across the old book lying on the floor",came across the old book,पुरानी किताब से गुजर गए।,הלכתי דרך הספרייה ובטעות דרכתי על הספר הישן שהיה מונח על הרצפה.
come clean,to make a disclosure,"After hiding the truth for so long, he [[decided to come clean]] about his past","After playing in the mud, the kids [[decided to come clean]] and took a bath","After hiding the truth for so long, he decided to come clean about his past","After playing in the mud, the kids decided to come clean and took a bath",decided to come clean,साफ होने का फैसला किया।,"לאחר ששיחקו בטיט, הילדים החליטו להיות נקיים ולקחו מקלחת."
come down with,to have (usually a disease),He [[came down with something]] after being exposed to the cold weather,The kite [[came down with something]] tangled in its strings,He came down with something after being exposed to the cold weather,The kite came down with something tangled in its strings,came down with something,कुछ से नीचे आ गया।,העפיפון ירד עם משהו מסובך בחבליו.
come full circle,return to an earlier position or decision.,"After years of exploring different career paths, she [[came full circle]] and returned to her passion for teaching",The hiker [[came full circle]] after walking around the entire circumference of the lake,"After years of exploring different career paths, she came full circle and returned to her passion for teaching",The hiker came full circle after walking around the entire circumference of the lake,came full circle,पूर्ण वृत्त बन गया।,המטייל חזר לנקודת ההתחלה לאחר שהלך סביב כל המעגל של האגם.
come out swinging,be confrontational,"After the criticism, [[he came out swinging]] with a strong rebuttal","As soon as the boxing match started, [[he came out swinging]] at his opponent","After the criticism, he came out swinging with a strong rebuttal","As soon as the boxing match started, he came out swinging at his opponent",he came out swinging,वह बाहर आया और झूमते हुए आगे बढ़ा।,"כמעט כשהמשחק בכדורגל התחיל, הוא יצא לתקוף את היריב שלו במכתב."
cook his goose,to spoil someone's chances of success,"When he was caught cheating, his teacher [[cooked his goose]] by failing him","For dinner, the chef [[cooked his goose]] with a delicious orange sauce","When he was caught cheating, his teacher cooked his goose by failing him","For dinner, the chef cooked his goose with a delicious orange sauce",cooked his goose,उसने अपनी गंजे को पका दिया।,"לארוחת הערב, השף בישל את הגוז שלו עם רוטב תפוזים טעים."
cool heels,to wait or take rest,They [[were cooling their heels]] in the waiting room before the interview,"After walking on hot sand, they [[were cooling their heels]] in the ocean water",They were cooling their heels in the waiting room before the interview,"After walking on hot sand, they were cooling their heels in the ocean water",were cooling their heels,वे अपने पैर ठंडे कर रहे थे।,"לאחר הליכה על חול חם, הם מקררים את עקבותיהם במים האוקיינוס."
count chicken,make plans based on events that may or may not happen,He [[was counting chickens before they hatch]] when he started planning his victory party,The farmer [[was counting chickens before they hatch]] by estimating the number of eggs that would become chicks,He was counting chickens before they hatch when he started planning his victory party,The farmer was counting chickens before they hatch by estimating the number of eggs that would become chicks,was counting chickens before they hatch,अंडे न निकले फिर भी मुर्गों की गिनती कर रहा था।,החקלאי ספר תרנגולות לפני שהן יצאו מהביצים על ידי הערכת מספר הביצים שיהפכו לגוזלים.
crack the whip,make someone work harder by asserting power or authority,The manager [[cracked the whip on the team]] to meet the deadline,The circus performer [[cracked the whip on the team]] of horses to start the show,The manager cracked the whip on the team to meet the deadline,The circus performer cracked the whip on the team of horses to start the show,cracked the whip on the team,टीम पर चाबुक मार दिया।,המבצר הביצועי פצע את השוטר על צוות הסוסים כדי להתחיל את ההופעה.
cross swords,to fight with another person physically or verbally.,"During the heated debate, she [[crossed swords with him]] over their differing opinions","At the fencing tournament, they [[crossed swords with him]] in a thrilling match","During the heated debate, she crossed swords with him over their differing opinions","At the fencing tournament, they crossed swords with him in a thrilling match",crossed swords with him,उसके साथ तलवारें टकराईं।,"בתחרות הגדר, הם חצו את החרבות איתו במשחק מרתק."
cross the bridge,to delay worrying about something that might not happen anyway,They [[crossed the bridge together]] when they decided to face their problems as a team,The two friends [[crossed the bridge together]] while enjoying the scenic view,They crossed the bridge together when they decided to face their problems as a team,The two friends crossed the bridge together while enjoying the scenic view,crossed the bridge together,साथ में पुल पार किया।,החברים שניים חצו את הגשר ביחד תוך תפיסת הנוף הנוף הפנורמי.
cross the line,behave in a way that is not acceptable,[[He crossed the line with her]] when he made that inappropriate comment,"During the race, [[he crossed the line with her]] as they finished together",He crossed the line with her when he made that inappropriate comment,"During the race, he crossed the line with her as they finished together",He crossed the line with her,उसने उसके साथ रेखा पार कर दी।,"במהלך המרוץ, הוא חצה את הקו עם היא כשהם סיימו ביחד."
crush,feel love-sick for someone.,She couldn't help but [[have a crush]] on the charming new coworker,The machine was designed to [[have a crush]] on the aluminum cans for recycling,She couldn't help but have a crush on the charming new coworker,The machine was designed to have a crush on the aluminum cans for recycling,have a crush,मुझे किसी पर दिल आ गया है। (Mujhe kisi par dil aa gaya hai.),המכונה עוצבה כך שתכונן את הפחיות מאלומיניום למחזור.
cry over spilt milk,to be upset about things that have already been done,There's no point in [[crying over spilt milk]] now that the deadline has passed,The toddler was [[crying over spilt milk]] on the kitchen floor,There's no point in crying over spilt milk now that the deadline has passed,The toddler was crying over spilt milk on the kitchen floor,crying over spilt milk,बिखरे दूध पर रोना।,הפעוט בכה על חלב שנשפך על הרצפה במטבח.
cup of tea,to like something,"Skydiving is [[not my cup of tea]], I prefer calmer activities","This green tea is [[not my cup of tea]], I ordered black tea","Skydiving is not my cup of tea, I prefer calmer activities","This green tea is not my cup of tea, I ordered black tea",not my cup of tea,मेरी चाय की पतीली नहीं है।,"התה הירוק הזה לא הוא התה שלי, הזמנתי תה שחור."
cut and dried,ready-made,"With her impressive qualifications, it was [[a cut and dried decision]] to hire her",The process of making fruit leather involves [[a cut and dried decision]] with the fruit,"With her impressive qualifications, it was a cut and dried decision to hire her",The process of making fruit leather involves a cut and dried decision with the fruit,a cut and dried decision,एक कट एवं सूखी फैसला।,תהליך הייצור של עור פירות משתמש בהחלטה חתוכה ומיובשת עם הפירות.
cut coat according to cloth,"adapt to one's circumstances, make sure one's plans are appropriate to one's resources.",They [[cut their coat according to their cloth]] by living within their means,The tailor [[cut their coat according to their cloth]] to avoid wasting fabric,They cut their coat according to their cloth by living within their means,The tailor cut their coat according to their cloth to avoid wasting fabric,cut their coat according to their cloth,अपने कपड़े के अनुसार अपनी कोट काटें।,התופר חתך את המעיל שלהם על פי הבד שלהם כדי למנוע בזבוז בד.
cut corners,"economise on time, money, materials or effort, perhaps unwisely","To save time and money, they [[cut corners on the project]] by using cheaper materials",The carpenter [[cut corners on the project]] to create a rounded shape,"To save time and money, they cut corners on the project by using cheaper materials",The carpenter cut corners on the project to create a rounded shape,cut corners on the project,परियोजना पर कोने काटें।,החרסינאי חיתך פינות בפרויקט כדי ליצור צורה מעוגלת.
cut the cord,to end a connection with someone,He decided to [[cut the cord with her]] and end their toxic relationship,The nurse [[cut the cord with her]] after the baby was born,He decided to cut the cord with her and end their toxic relationship,The nurse cut the cord with her after the baby was born,cut the cord with her,उससे तार काट दो।,האחות חתכה את הפסים עם המספר לאחר שהתינוק נולד.
cut the mustard,to succeed,"Despite his efforts, he [[couldn't cut the mustard]] in the competitive sales environment","With a dull knife, she [[couldn't cut the mustard]] for her sandwich","Despite his efforts, he couldn't cut the mustard in the competitive sales environment","With a dull knife, she couldn't cut the mustard for her sandwich",couldn't cut the mustard,दाल नहीं गली।,"עם סכין מפולטת, היא לא הצליחה לחתוך את החרדל לסנדוויץ שלה."
cut your own throat,to do something that will be the cause of your own failure or ruin your chances in the future,"By revealing company secrets, he [[cut his own throat]] and ruined his career","While shaving, he accidentally [[cut his own throat]] with the razor","By revealing company secrets, he cut his own throat and ruined his career","While shaving, he accidentally cut his own throat with the razor",cut his own throat,अपनी गला काट लीजिए।,"בזמן הגילוח, הוא חתך בטעות את הגרון שלו עם המספר."
dance to tune,to do what someone else forces you to do,He always [[danced to the tune]] of his boss's demands,"At the party, they [[danced to the tune]] of their favorite song",He always danced to the tune of his boss's demands,"At the party, they danced to the tune of their favorite song",danced to the tune,धुन पर नृत्य किया।,"במסיבה, הם רקדו לקצב של השיר האהוב עליהם."
dancing on their grave,outlive or outlast someone and celebrate their demise,He was so happy about his rival's failure that he was practically [[dancing on their grave]],The disrespectful teenagers were caught [[dancing on their grave]] in the cemetery,He was so happy about his rival's failure that he was practically dancing on their grave,The disrespectful teenagers were caught dancing on their grave in the cemetery,dancing on their grave,उनकी कब्र पर नाचना।,הנוער הבטלן נתפס רוקד על קברם בבית הקברות.
dead duck,a project or scheme which has been abandoned or is certain to fail,"Without any support, he was [[a dead duck in the situation]] and couldn't succeed",The hunter shot down [[a dead duck in the situation]] and retrieved it,"Without any support, he was a dead duck in the situation and couldn't succeed",The hunter shot down a dead duck in the situation and retrieved it,a dead duck in the situation,स्थिति में मृत बतख।,הצייד ירה בברווז מת במצב ואחז אותו.
dead in the water,unable to produce movement,The project was [[found it dead in the water]] after the funding was cut,The fisherman [[found it dead in the water]] while he was out on the lake,The project was found it dead in the water after the funding was cut,The fisherman found it dead in the water while he was out on the lake,found it dead in the water,उसे पानी में मृत मिला।,הדייג מצא אותו מת במים כשהוא היה באגם.
deep down,felt strongly and often hidden from other people,He knew [[deep down in the ocean]] of his heart that he had made the right decision,The divers explored the shipwreck [[deep down in the ocean]],He knew deep down in the ocean of his heart that he had made the right decision,The divers explored the shipwreck deep down in the ocean,deep down in the ocean,समुद्र के गहराई में,הצלמים חקרו את הכלי המדומה בעומק האוקיינוס.
deliver the goods,do what is required,The new employee [[delivered the goods on time]] by meeting all the project deadlines,The courier [[delivered the goods on time]] to the customer's doorstep,The new employee delivered the goods on time by meeting all the project deadlines,The courier delivered the goods on time to the customer's doorstep,delivered the goods on time,समय पर माल पहुंचाया गया।,המשלוחן מסר את הסחורות בזמן לסף הבית של הלקוח.
die in harness,to expire while working,"The dedicated employee [[died in harness]], working tirelessly until the end",The poor horse [[died in harness]] while pulling the heavy load,"The dedicated employee died in harness, working tirelessly until the end",The poor horse died in harness while pulling the heavy load,died in harness,हार्नेस में मर गया।,הסוס העני מת ברצועה בזמן שמסיל את המשאית הכבדה.
dig one's own grave,"to do something that has negative consequences for you, even though these consequences can be easily seen.","By spreading false rumors about the boss, he [[was digging his own grave]] at work","As a cemetery worker, he [[was digging his own grave]] to prepare for his eventual burial","By spreading false rumors about the boss, he was digging his own grave at work","As a cemetery worker, he was digging his own grave to prepare for his eventual burial",was digging his own grave,अपनी खुद की कब्र खोद रहा था।,"כעובד בבית הקברות, הוא חפר את הקבר שלו כדי להתכונן לקבורתו הסופית."
do the trick,successfully achieve a result,"Adding a little more salt to the soup, [[that should do the trick]]","Performing a magic act, the magician said '[[that should do the trick]]' as he pulled a rabbit from his hat","Adding a little more salt to the soup, that should do the trick","Performing a magic act, the magician said 'that should do the trick' as he pulled a rabbit from his hat",that should do the trick,वह काम कर जाना चाहिए।,"בעת ביצוע הופעת קסם, הקוסם אמר ""זה צריך לעשות את העבודה"" כשהוציא ארנב מהכובע שלו."
dodge a bullet,to narrowly avoid a very serious problem or a disaster,"When the company went bankrupt, I realized I [[dodged a bullet there]] by not investing","During the paintball game, he [[dodged a bullet there]] by quickly ducking behind a barrier","When the company went bankrupt, I realized I dodged a bullet there by not investing","During the paintball game, he dodged a bullet there by quickly ducking behind a barrier",dodged a bullet there,वहाँ एक गोली से बच गए।,"במהלך משחק הפיינטבול, הוא התחמק מכדור על ידי התחבאות מהירה מאחורי מחסה."
does exactly what it says on the tin,someone or something is exactly as they seem,The new software [[does exactly what it says on the tin]] and is very user-friendly,The paint [[does exactly what it says on the tin]] and dries in just 30 minutes,The new software does exactly what it says on the tin and is very user-friendly,The paint does exactly what it says on the tin and dries in just 30 minutes,does exactly what it says on the tin,यह बिल्कुल वही करता है जो टिन पर लिखा होता है।,הצבע עושה בדיוק את מה שכתוב על הפחית ויובש רק ב-30 דקות.
double-edged sword,something that could either help you or hurt you,"Having a high-profile job can be [[a double-edged sword in this situation]], as it brings both prestige and stress",The knight wielded [[a double-edged sword in this situation]] to defend himself against multiple attackers,"Having a high-profile job can be a double-edged sword in this situation, as it brings both prestige and stress",The knight wielded a double-edged sword in this situation to defend himself against multiple attackers,a double-edged sword in this situation,इस स्थिति में एक दोहरी तलवार।,האביר החזיק חרב דו-צדדית במצב זה כדי להגן על עצמו מפני מתקפות מרובות.
