idiom,meaning,s_f_brkt,s_l_brkt,s_f,s_l,s_a,p_l_hu_gpt,p_a_ko_gpt,p_f_ko_gpt,p_l_ko_gpt,p_f_es_gpt,p_l_es_gpt,p_a_yo_gpt,p_f_yo_gpt
dancing on their grave,outlive or outlast someone and celebrate their demise,He was so happy about his rival's failure that he was practically [[dancing on their grave]],The disrespectful teenagers were caught [[dancing on their grave]] in the cemetery,He was so happy about his rival's failure that he was practically dancing on their grave,The disrespectful teenagers were caught dancing on their grave in the cemetery,dancing on their grave,"A tiszteletlen tinédzsereket rajtakapták, amint a temetőben a sírjukon táncoltak.",그들의 무덤 위에서 춤을 춘다.,그는 경쟁자의 실패에 대해 너무나 기뻐해서 그들의 무덤 위에서 춤추고 있는 것 같았다.,무례한 청소년들이 묘지에서 그들의 무덤 위에서 춤을 추는 것을 발견되었습니다.,Estaba tan feliz por el fracaso de su rival que prácticamente estaba bailando sobre su tumba.,Los adolescentes irrespetuosos fueron atrapados bailando sobre su tumba en el cementerio.,ko si ohun tó le fi sínú àwọn àgbà mẹ́ta.,"O ti ni ẹ̀jẹ̀ lọ́wọ́ ọmọde àrùn rẹ̀ nítorí ìbẹ̀rẹ̀ àwọn ìyáwó rẹ̀, ó sì ní ìdánimọ́ rẹ̀."
dead duck,a project or scheme which has been abandoned or is certain to fail,"Without any support, he was [[a dead duck in the situation]] and couldn't succeed",The hunter shot down [[a dead duck in the situation]] and retrieved it,"Without any support, he was a dead duck in the situation and couldn't succeed",The hunter shot down a dead duck in the situation and retrieved it,a dead duck in the situation,"A vadász lelőtt egy holt kacsát a helyzetben, majd visszaszerezte azt.",상황에서 죽은 오리,어떤 지원도 없이 그는 상황에서 죽은 오리가 되어 성공할 수 없었다.,사냥꾼은 상황에서 죽은 오리를 쏘고 회수했다.,"Sin ningún apoyo, él estaba en una situación difícil y no pudo tener éxito.",El cazador abatió un pato muerto en la situación y lo recuperó.,ọwọ́ ẹ̀wù tó jẹ́ àgbàlagbà láti ṣe àgbègbè.,"Nitori ko si ohun tó gbéyìn, ó ti jàgún àgbàlà niwaju ìtàn àti ko le jà."
dead in the water,unable to produce movement,The project was [[found it dead in the water]] after the funding was cut,The fisherman [[found it dead in the water]] while he was out on the lake,The project was found it dead in the water after the funding was cut,The fisherman found it dead in the water while he was out on the lake,found it dead in the water,"A halász holtan találta a vízben, amikor kint volt a tónál.",물에 떠 있는 채로 죽어 있었다.,자금이 삭감된 후 프로젝트는 물에 빠져 실패했다.,그 낚시꾼은 호수에서 나가 있을 때 물 속에서 죽어 있는 것을 발견했다.,El proyecto quedó estancado después de que se recortara la financiación.,El pescador lo encontró muerto en el agua mientras estaba en el lago.,Mo ri ni lọwọ ni omi ti o ku.,Ile-iṣẹ yi ti wa ni oju-iwọ ti o ba aṣayan ti o ba ti kọ awọn owo.
deep down,felt strongly and often hidden from other people,He knew [[deep down in the ocean]] of his heart that he had made the right decision,The divers explored the shipwreck [[deep down in the ocean]],He knew deep down in the ocean of his heart that he had made the right decision,The divers explored the shipwreck deep down in the ocean,deep down in the ocean,A búvárok felfedezték a hajóroncsot mélyen az óceánban.,해저 깊숙한 곳에서,그는 마음의 바다 깊숙한 곳에서 옳은 결정을 내렸다는 것을 알고 있었다.,잠수병들은 바다 깊은 곳에서 난파선을 탐험했습니다.,Él sabía en lo más profundo del océano de su corazón que había tomado la decisión correcta.,Los buzos exploraron el naufragio en lo profundo del océano.,ni inu odo.,O ti mo pe ni ni oke okun okan re wipe o ti gbe igbeyawo ti o dara.
deliver the goods,do what is required,The new employee [[delivered the goods on time]] by meeting all the project deadlines,The courier [[delivered the goods on time]] to the customer's doorstep,The new employee delivered the goods on time by meeting all the project deadlines,The courier delivered the goods on time to the customer's doorstep,delivered the goods on time,A futár időben kézbesítette a csomagot az ügyfél ajtajáig.,제품을 제때에 배송했습니다.,새로운 직원은 모든 프로젝트 마감 기한을 준수하여 제때에 물품을 배송했습니다.,커리어는 제품을 시간 내에 고객의 문 앞에 배달했습니다.,El nuevo empleado entregó los bienes a tiempo cumpliendo con todas las fechas límite del proyecto.,El mensajero entregó los bienes a tiempo en la puerta del cliente.,ni owo yii ni owo yii ni owo yii ni owo yii ni owo yii ni owo yii ni owo yii ni owo yii ni owo yii ni owo yii ni owo yii ni owo yii ni owo yii ni owo yii ni owo yii ni owo yii ni owo yii ni owo yii ni owo yii ni owo yii ni owo yii ni owo yii ni owo yii ni owo yii ni owo yii ni owo yii ni owo yii ni owo yii ni owo yii ni owo yii ni owo yii ni owo yii ni owo yii ni owo yii ni owo yii ni owo yii ni owo yii ni owo yii ni owo yii ni owo yii ni owo yii ni owo yii ni owo yii ni owo yii ni owo yii ni owo yii ni owo yii ni owo yii ni owo yii ni owo yii ni owo yii ni owo yii ni owo yii ni owo yii ni owo yii ni owo yii ni owo yii ni owo yii ni owo yii ni owo yii ni owo yii ni owo yii ni owo yii ni owo yii ni owo yii ni owo yii ni owo yii ni owo yii ni owo yii ni owo yii ni owo yii ni owo yii ni owo yii ni owo yii ni owo yii ni owo yii ni owo yii ni owo yii ni owo yii ni owo yii ni owo yii ni owo yii ni owo yii ni owo yii ni owo yii ni owo yii ni owo yii ni owo yii ni owo yii ni owo yii ni owo yii ni owo yii ni owo yii ni owo yii ni owo yii ni owo yii ni owo yii ni owo yii ni owo yii ni owo yii ni owo yii ni owo yii ni owo yii ni owo yii ni owo yii ni owo yii ni owo yii ni owo yii ni owo yii ni owo yii ni owo yii ni owo yii ni owo yii ni owo yii ni owo yii ni owo yii ni owo yii ni owo yii ni owo yii ni owo yii ni owo yii ni owo yii ni owo yii ni owo yii ni owo yii ni owo yii ni owo yii ni owo yii,Omo-iṣẹ́ tuntun ti ṣe iṣẹ́ rẹ̀ ni ìgbàgbọ́ ti o ṣe gbogbo awọn ìṣẹ́ tó ti ṣe lórí ìgbàgbọ́ tó wà ní ìdánwò.
die in harness,to expire while working,"The dedicated employee [[died in harness]], working tirelessly until the end",The poor horse [[died in harness]] while pulling the heavy load,"The dedicated employee died in harness, working tirelessly until the end",The poor horse died in harness while pulling the heavy load,died in harness,"A szegény ló meghalt a hám alatt, miközben nehéz terhet húzott.",고용 상태에서 죽다.,헌신적인 직원은 끝까지 지칠 줄 모르고 힘들게 일하다가 죽었습니다.,가난한 말은 무거운 짐을 끌면서 일하다 죽었습니다.,"El empleado dedicado murió en el arnés, trabajando incansablemente hasta el final.",El pobre caballo murió en el arnés mientras tiraba de la carga pesada.,ko si ohun ti o le se fun oju kan ti o si ni oju.,"Omo ise ti o se ise kan ni o ku ni oju kan, o si ni ise kan ni o si ni oju kan, o si ni ise kan ni o si ni oju kan, o si ni ise kan ni o si ni oju kan, o si ni ise kan ni o si ni oju kan, o si ni ise kan ni o si ni oju kan, o si ni ise kan ni o si ni oju kan, o si ni ise kan ni o si ni oju kan, o si ni ise kan ni o si ni oju kan, o si ni ise kan ni o si ni oju kan, o si ni ise kan ni o si ni oju kan, o si ni ise kan ni o si ni oju kan, o si ni ise kan ni o si ni oju kan, o si ni ise kan ni o si ni oju kan, o si ni ise kan ni o si ni oju kan, o si ni ise kan ni o si ni oju kan, o si ni ise kan ni o si ni oju kan, o si ni ise kan ni o si ni oju kan, o si ni ise kan ni o si ni oju kan, o si ni ise kan ni o si ni oju kan, o si ni ise kan ni o si ni oju kan, o si ni ise kan ni o si ni oju kan, o si ni ise kan ni o si ni oju kan, o si ni ise kan ni o si ni oju kan, o si ni ise kan ni o si ni oju kan, o si ni ise kan ni o si ni oju kan, o si ni ise kan ni o si ni oju kan, o si ni ise kan ni o si ni oju kan, o si ni ise kan ni o si ni oju kan, o si ni ise kan ni o si ni oju kan, o si ni ise kan ni o si ni oju kan, o si ni ise kan ni o si ni oju kan, o si ni ise kan ni o si ni oju kan, o si ni ise kan ni o si ni oju kan, o si ni ise kan ni o si ni oju kan, o si ni ise kan ni o si ni oju kan, o si ni ise kan ni o si ni oju kan, o si ni ise kan ni o si ni oju kan, o si ni ise kan ni o si ni oju kan, o si"
dig one's own grave,"to do something that has negative consequences for you, even though these consequences can be easily seen.","By spreading false rumors about the boss, he [[was digging his own grave]] at work","As a cemetery worker, he [[was digging his own grave]] to prepare for his eventual burial","By spreading false rumors about the boss, he was digging his own grave at work","As a cemetery worker, he was digging his own grave to prepare for his eventual burial",was digging his own grave,"Mint temetői dolgozó, saját sírját ásta, hogy felkészüljön a végleges eltemetésére.",그는 자기 무덤을 파고 있었다.,사장에 대한 거짓 소문을 퍼뜨리면서 그는 직장에서 자신의 무덤을 파고 있었다.,"묘지 일꾼으로서, 그는 언젠가 자신의 매장을 준비하기 위해 자신의 무덤을 파고 있었다.","Al difundir rumores falsos sobre el jefe, estaba cavando su propia tumba en el trabajo.","Como trabajador de cementerio, estaba cavando su propia tumba para prepararse para su eventual entierro.",o ti kọ oju-iwe rẹ.,"Nitoripe o ti se afihan ohun aburu ni oyun re ni ise, o ti nkoju ile re."
do the trick,successfully achieve a result,"Adding a little more salt to the soup, [[that should do the trick]]","Performing a magic act, the magician said '[[that should do the trick]]' as he pulled a rabbit from his hat","Adding a little more salt to the soup, that should do the trick","Performing a magic act, the magician said 'that should do the trick' as he pulled a rabbit from his hat",that should do the trick,"Egy varázslatot előadva a varázsló azt mondta: ""az jó lesz"" miközben egy nyulat húzott ki a kalapjából.",그것이 해결책이 될 것입니다.,국에 약간의 소금을 더하면 그만일 것입니다.,"마술을 하는 마술사가 모자에서 토끼를 꺼내며 ""그게 해결책이 될 거야""라고 말했다.","Agregando un poco más de sal a la sopa, eso debería hacer el truco.","Realizando un acto de magia, el mago dijo 'eso debería hacer el truco' mientras sacaba un conejo de su sombrero.",Nitori naa ni o le fi owo ra.,"A o fi owo kan ju asun kan sii, o da bi o se nso."
dodge a bullet,to narrowly avoid a very serious problem or a disaster,"When the company went bankrupt, I realized I [[dodged a bullet there]] by not investing","During the paintball game, he [[dodged a bullet there]] by quickly ducking behind a barrier","When the company went bankrupt, I realized I dodged a bullet there by not investing","During the paintball game, he dodged a bullet there by quickly ducking behind a barrier",dodged a bullet there,"A paintball játék során elkerülte a golyót, gyorsan lehajolva egy akadály mögé.",거기서 총알을 피했다.,"회사가 파산하면서, 나는 투자하지 않아서 운이 좋았다는 것을 깨달았습니다.",페인트볼 게임 중 그는 장애물 뒤로 빠르게 숨어 총알을 피했다.,"Cuando la empresa se declaró en bancarrota, me di cuenta de que había esquivado una bala al no invertir.","Durante el juego de paintball, él esquivó una bala al agacharse rápidamente detrás de una barrera.",ọ tẹlẹ bọmbọ kan ni ibi yii.,"Lati odo awon omo-ogun, mo ri wipe mo ti fi oju kokoro mi sile nibi ti mo ko si inu ifowopamọ."
does exactly what it says on the tin,someone or something is exactly as they seem,The new software [[does exactly what it says on the tin]] and is very user-friendly,The paint [[does exactly what it says on the tin]] and dries in just 30 minutes,The new software does exactly what it says on the tin and is very user-friendly,The paint does exactly what it says on the tin and dries in just 30 minutes,does exactly what it says on the tin,"A festék pontosan azt teszi, amit a dobozon ígér, és mindössze 30 perc alatt szárad.","""Does exactly what it says on the tin""의 한국어 번역은 없습니다. 이 표현은 주로 영국에서 사용되며, 제품이나 서비스가 제공하는 내용이 정확하게 설명되어 있어서 그대로 따라한다는 뜻입니다. 이와 유사한 표현으로 ""명백한 대로 진행된다""라는 표현이 있습니다.",새로운 소프트웨어는 병풍에 적힌 대로 정확히 작동하며 매우 사용자 친화적입니다.,이 페인트는 통에 적힌 대로 정확히 작동하며 30분 만에 마르게 됩니다.,El nuevo software hace exactamente lo que dice en la lata y es muy fácil de usar.,La pintura hace exactamente lo que dice en la lata y se seca en solo 30 minutos.,Ṣe o ṣe nipa ti o so niwaju ile-iwe?,Iwe-ọrọ titun nṣe pẹlu ọna ti o so ni ibi kan ati o dara julọ.
double-edged sword,something that could either help you or hurt you,"Having a high-profile job can be [[a double-edged sword in this situation]], as it brings both prestige and stress",The knight wielded [[a double-edged sword in this situation]] to defend himself against multiple attackers,"Having a high-profile job can be a double-edged sword in this situation, as it brings both prestige and stress",The knight wielded a double-edged sword in this situation to defend himself against multiple attackers,a double-edged sword in this situation,"A lovag ebben a helyzetben kétélű kardot forgatott, hogy megvédje magát több támadótól.",이 상황에서는 양날의 검이다.,이 상황에서 높은 프로필의 직업은 명성과 스트레스를 모두 가져오기 때문에 양날의 검이 될 수 있습니다.,기사는 다수의 공격자들로부터 자신을 방어하기 위해 이 상황에서 양날검을 휘두르고 있었다.,"Tener un trabajo de alto perfil puede ser una espada de doble filo en esta situación, ya que conlleva tanto prestigio como estrés.",El caballero empuñó una espada de doble filo en esta situación para defenderse de múltiples atacantes.,ọbọ kan ti o ni ojú ewé kan ni awọn ohun ti o wa ni ipo yii.,"Ni aye yii, ijoba ti o ni owo oju kan le wa ni ipele kan ti o le fi owo oju kan sile, nitori o ma n gba owo oju kan ati oju kan."
down to earth,"decent, simple, realistic","Despite her fame, she remained [[a down-to-earth person]] who was easy to talk to","The astronaut, once back from space, became [[a down-to-earth person]] again","Despite her fame, she remained a down-to-earth person who was easy to talk to","The astronaut, once back from space, became a down-to-earth person again",a down-to-earth person,"Az asztronauta, miután visszatért az űrből, újra földhözragadt személy lett.",현실적인 사람,"그녀는 유명함에도 불구하고, 이야기하기 쉬운 접근 가능한 사람으로 남았습니다.",우주에서 돌아온 우주비행사는 다시 현실적인 사람이 되었습니다.,"A pesar de su fama, ella siguió siendo una persona sencilla con la que era fácil hablar.","El astronauta, una vez de regreso del espacio, volvió a ser una persona con los pies en la tierra.",eniti o wa ni ila-aye.,"Nitoripe o ni ife, o wa ni eni ti o rorun lati so pe o le gbo."
draw a blank,to get no response from someone,"When asked about the details of the project, he [[was drawing a blank]]",The artist [[was drawing a blank]] canvas to prepare for her next masterpiece,"When asked about the details of the project, he was drawing a blank",The artist was drawing a blank canvas to prepare for her next masterpiece,was drawing a blank,"Az művész egy üres vásznat rajzolt, hogy felkészüljön a következő mesterművére.",머릿속이 텅 빈 것 같았다.,"프로젝트의 세부 사항에 대해 물어보면서, 그는 아무것도 생각나지 않았다.",예술가는 다음 걸작을 준비하기 위해 빈 캔버스에 그림을 그리고 있었다.,"Cuando le preguntaron sobre los detalles del proyecto, se quedó en blanco.",El artista estaba dibujando un lienzo en blanco para prepararse para su próxima obra maestra.,Kò sọ àrùn.,"Nigba ti a so nipa awon alaye ti o ni ipo eyi, o ko le ri ohun ti o ba nso."
drive a wedge between,to damage the good relationship that two people or groups of people have,The disagreement started [[to drive a wedge between them]] and their friendship,The lumberjack used a mallet [[to drive a wedge between them]] and split the log,The disagreement started to drive a wedge between them and their friendship,The lumberjack used a mallet to drive a wedge between them and split the log,to drive a wedge between them,A favágó kalapáccsal hasította szét a fát.,그들 사이에 쐐기를 끼우다.,분쟁이 그들 사이에 새김질을 하기 시작하고 그들의 우정을 떨어뜨렸다.,벌목꾼은 망치를 사용하여 그들 사이에 쐐기를 박고 나무를 쪼갰다.,El desacuerdo comenzó a crear una brecha entre ellos y su amistad.,El leñador usó un mazo para introducir una cuña entre ellos y partir el tronco.,lati fi oju kan sile won.,Iwadii ni o ti bẹrẹ lati fi ọjọ́ta laarin wọn ati ifẹ́ rẹ.
drive up the wall,to make someone angry or irritated,His constant humming is [[driving me up the wall]],The remote-controlled car was [[driving me up the wall]] as it climbed vertically,His constant humming is driving me up the wall,The remote-controlled car was driving me up the wall as it climbed vertically,driving me up the wall,A távirányítású autó felmászott a falra és az idegeimre ment.,나를 미치게 만들어.,그의 지속적인 울음소리 때문에 내가 미치겠어.,원격 조종 자동차가 수직으로 올라가면서 나를 괴롭혔다.,Su constante zumbido me está volviendo loco.,El coche teledirigido me estaba volviendo loco mientras escalaba verticalmente.,ẹ kọ mi lọwọ orin.,Iwọ ni ọrọ ọrọ rẹ ti o ba mi gbọjúmọ̀ lọ.
drop a bombshell,"make an unexpected, startling or disturbing announcement",The CEO [[dropped a bombshell during the meeting]] when he announced the company's bankruptcy,The clumsy actor accidentally [[dropped a bombshell during the meeting]] while filming a war scene,The CEO dropped a bombshell during the meeting when he announced the company's bankruptcy,The clumsy actor accidentally dropped a bombshell during the meeting while filming a war scene,dropped a bombshell during the meeting,"Az ügyetlen színész véletlenül egy bombát dobott a találkozón, miközben egy háborús jelenetet forgattak.",회의 중에 폭탄을 투하했다.,CEO는 회사의 파산을 발표하면서 회의 중에 깜짝 놀랄 소식을 전했다.,서투른 배우는 전쟁 장면 촬영 중 회의에서 실수로 깜짝 놀랄 일을 일으켰다.,El CEO soltó una bomba durante la reunión cuando anunció la bancarrota de la empresa.,El actor torpe dejó caer accidentalmente una bomba durante la reunión mientras filmaba una escena de guerra.,o ti fi ìpè kan òkúnrin lọ pada.,Olu-ori-oke ti fi oju kokoro si oju-ona ni ibere ti o so wipe omo ile-iwe naa ti wa ni alaafia.
drop by,an informal visit,I'll [[drop by the store]] to see if they have any new books,The clumsy customer accidentally let a jar [[drop by the store]] entrance,I'll drop by the store to see if they have any new books,The clumsy customer accidentally let a jar drop by the store entrance,drop by the store,Az ügyetlen vásárló véletlenül elejtett egy befőttesüveget az üzlet bejárata előtt.,가게에 들러주세요.,저는 새 책이 있는지 확인하기 위해 가게에 들러볼게요.,서투른 손님이 가게 입구에서 우연히 병을 떨어뜨렸다.,Pasaré por la tienda para ver si tienen libros nuevos.,El cliente torpe dejó caer accidentalmente un frasco en la entrada de la tienda.,fi ọna alawọba pada wa,Mo yẹ ki n ṣe ọkan ninu awọn toko lati wo pe ki won ni awọn iwe titun.
eat him alive,to criticize someone severely because you are angry with them,His lack of preparation will [[eat him alive in the competition]] against more experienced opponents,The carnivorous insects would [[eat him alive in the competition]] if he didn't wear protective gear,His lack of preparation will eat him alive in the competition against more experienced opponents,The carnivorous insects would eat him alive in the competition if he didn't wear protective gear,eat him alive in the competition,"Az állati ragadozó rovarok élve felfalnák őt a versenyen, ha nem viselne védőfelszerelést.",경쟁에서 그를 살려 먹어라.,그의 미비한 준비는 경험이 풍부한 상대들과의 대결에서 그를 삼켜버릴 것이다.,보호 장비를 착용하지 않으면 육식 곤충들이 경기에서 그를 살아 먹을 것이다.,Su falta de preparación lo devorará en la competencia contra oponentes más experimentados.,Los insectos carnívoros lo devorarían vivo en la competencia si no usara equipo de protección.,Jeun o lọ siwaju ni aṣayan.,Iwọn ọrọ orin ti o kọja rẹ yoo jẹ ọmọde niwaju awọn ọrọ-ọrọ ti o ni alabapin.
elephant in the room,"a difficult, controversial, or obvious problem that no one wants to talk about or mention because the subject is problematic, uncomfortable, or awkward","During the family meeting, it was time [[to address the elephant in the room]] and discuss the ongoing conflict","At the wildlife conservation conference, the speaker decided [[to address the elephant in the room]] and talk about habitat preservation","During the family meeting, it was time to address the elephant in the room and discuss the ongoing conflict","At the wildlife conservation conference, the speaker decided to address the elephant in the room and talk about habitat preservation",to address the elephant in the room,"Az állatvédelmi konferencián a beszélő úgy döntött, hogy foglalkozik a szobában lévő elefánttal és beszél a természetvédelemről.",방 안의 코끼리에 대해 이야기하다.,가족 모임 중에는 방에서 눈에 띄는 문제를 다루고 지속적인 갈등에 대해 논의할 시간이었습니다.,야생동물 보호 회의에서 연사자는 방안의 코끼리에 대해 이야기하고 서식지 보존에 대해 이야기하기로 결정했다.,"Durante la reunión familiar, era hora de abordar el elefante en la habitación y discutir el conflicto en curso.","En la conferencia de conservación de la vida silvestre, el orador decidió abordar el tema delicado y hablar sobre la preservación del hábitat.",lati so oro oruka ni ibeere yii.,"Ni iranlọwọ awọn ọmọde ilẹ, o wa ni akoko lati so awọn ẹlẹyọ kan ni ibi ati ba wo niwaju awọn alagbara ti o wa niwaju."
end of story,there is  nothing more to add to the matter under discussion,"I told him I wasn't interested, and [[that's the end of the story]]","She closed the book and said, '[[that's the end of the story]]'","I told him I wasn't interested, and that's the end of the story","She closed the book and said, 'that's the end of the story'",that's the end of the story,"Bezárta a könyvet és azt mondta: ""ez volt a történet vége"".",그것이 이야기의 끝입니다.,"나는 그에게 내가 관심이 없다고 말했고, 그것이 이야기의 끝이다.","그녀는 책을 닫고 ""이야기의 끝입니다""라고 말했습니다.","Le dije que no estaba interesado, y eso es el final de la historia.","Ella cerró el libro y dijo: ""ese es el final de la historia"".",O ti kẹhin ipo yii.,"Mo sọ pe mi ko tẹsiwaju, ati nigbamii, o si ni oju-iwe yii."
every nook and cranny,to look for something everywhere,"To find the perfect gift, [[they searched every nook and cranny]] of the shopping mall","During the deep cleaning, [[they searched every nook and cranny]] of the house for dust and dirt","To find the perfect gift, they searched every nook and cranny of the shopping mall","During the deep cleaning, they searched every nook and cranny of the house for dust and dirt",they searched every nook and cranny,A mélytisztítás során minden zugot és részt átvizsgáltak a házban a por és a szennyeződések után kutatva.,그들은 모든 구석구석을 뒤졌다.,완벽한 선물을 찾기 위해 그들은 쇼핑몰의 모든 구석구석을 뒤졌다.,"깊은 청소 중에, 그들은 집의 모든 구석구석에 먼지와 더러움을 찾았습니다.","Para encontrar el regalo perfecto, buscaron en cada rincón del centro comercial.","Durante la limpieza profunda, buscaron en cada rincón y grieta de la casa en busca de polvo y suciedad.",Won wa ni gbogbo igba ati igbinrin.,"Latọna ni won fi ńṣe ifẹ ọrọ kan, won ṣe iṣẹ rẹrẹ ni gbogbo ọna ati ọna ni ilẹ-iṣẹ alawọ."
everything but the kitchen sink,almost everything that one can think of,"For our camping trip, we [[packed everything but the kitchen sink]] to be prepared","While moving, they [[packed everything but the kitchen sink]], which was left for the new owners","For our camping trip, we packed everything but the kitchen sink to be prepared","While moving, they packed everything but the kitchen sink, which was left for the new owners",packed everything but the kitchen sink,"Miközben költöztek, mindent becsomagoltak, kivéve a konyhai mosogatót, amit az új tulajdonosokra hagytak.",주방 싱크대를 제외한 모든 것을 싸다.,저희 캠핑 여행을 위해 부엌 싱크대를 제외한 모든 것을 준비했습니다.,"이사할 때, 그들은 부엌 싱크대를 제외한 모든 것을 싸서 새 주인들에게 남겨두었다.","Para nuestro viaje de camping, empacamos todo menos la cocina para estar preparados.","Mientras se mudaban, empacaron todo menos la cocina, que se dejó para los nuevos propietarios.",ni ọna gbogbo kòsí ohun tó ní ìkíni.,"Fun awọn camping trip wa, a ti pese gbogbo ohun ti o ni ki o si ni ki o le wa ni."
face the music,receive punishment,"After making a mistake at work, [[they faced the music together]] and accepted the consequences","As the orchestra began to play, [[they faced the music together]] and enjoyed the performance","After making a mistake at work, they faced the music together and accepted the consequences","As the orchestra began to play, they faced the music together and enjoyed the performance",they faced the music together,"Amint az zenekar elkezdett játszani, együtt néztek szembe a zenével és élvezték az előadást.",그들은 함께 어려운 상황에 직면했다.,"일을 할 때 실수를 하고 나서, 그들은 함께 책임을 받아들이고 처벌을 받았습니다.","오케스트라가 연주를 시작하자, 그들은 함께 음악에 맞서며 공연을 즐겼다.","Después de cometer un error en el trabajo, enfrentaron juntos las consecuencias y aceptaron las consecuencias.","A medida que la orquesta comenzaba a tocar, ellos enfrentaron juntos la música y disfrutaron de la presentación.",Won ni won si ni ipa kan ni ibeere.,"Lẹhin ti wọn ṣe ẹrọ lọwọ, wọn jẹ́ kọ́ọ̀rọ̀ nípa ẹ̀rọ wọn niwaju àwọn ènìyàn àti gba àṣẹ rẹ."
fall at first hurdle,to fail to overcome the first difficulty encountered,The new employee [[fell at the first hurdle]] when he failed to complete the initial task,The inexperienced horse rider [[fell at the first hurdle]] during the race,The new employee fell at the first hurdle when he failed to complete the initial task,The inexperienced horse rider fell at the first hurdle during the race,fell at the first hurdle,Az tapasztalatlan lovas az első akadálynál elesett a versenyen.,첫 번째 장애물에서 실패했다.,새로운 직원은 초기 작업을 완료하지 못하여 첫 번째 장애물에서 실패했습니다.,비경험 말 타기자는 경주 중 첫 번째 장애물에서 넘어졌다.,El nuevo empleado tropezó en la primera prueba cuando no logró completar la tarea inicial.,El jinete inexperto cayó en la primera valla durante la carrera.,ti pada ni oke kan ti o si ni ayele yii.,Omo ise titun ti wa ni o ti lekun kan ni ojojumo kan ni o koju owo ise akoko.
fall between the cracks,be ignored or unobserved,His request for a promotion [[fell between the cracks]] due to the company's restructuring,The small toy [[fell between the cracks]] of the wooden floor,His request for a promotion fell between the cracks due to the company's restructuring,The small toy fell between the cracks of the wooden floor,fell between the cracks,A kis játék a fa padló repedéseibe esett.,누락되다.,그의 승진 요청은 회사의 구조조정으로 인해 놓치게 되었다.,작은 장난감이 나무 바닥의 틈 사이로 떨어졌다.,Su solicitud de ascenso se perdió en el proceso de reestructuración de la empresa.,El pequeño juguete cayó entre las grietas del piso de madera.,ti o ba ti pada wa ni awọn alagbara.,Iwadi rẹ ni o ti jẹ ohun ti o jẹ ọrọ-ọrọ ti o ti jẹ ni akọkọ ti o ti ṣe ni ibeere ilu.
fall on his sword,to accept the consequences of an unsuccessful or wrong action,He decided [[to fall on his sword]] and take responsibility for the team's failure,"During the reenactment, he accidentally tripped and started [[to fall on his sword]]",He decided to fall on his sword and take responsibility for the team's failure,"During the reenactment, he accidentally tripped and started to fall on his sword",to fall on his sword,Az újrakezdés közben véletlenül megbotlott és elkezdett esni a kardjára.,그는 칼에 떨어지다.,그는 칼에 눌러 죽는 것을 선택하고 팀의 실패에 대한 책임을 지기로 결정했다.,재연 중에 그는 우연히 넘어져 칼 위에 넘어지기 시작했다.,Él decidió caer sobre su espada y asumir la responsabilidad del fracaso del equipo.,"Durante la recreación, tropezó accidentalmente y empezó a caer sobre su espada.",ni ota re pada pada.,O ti gba ipele fun iku re ati gba ohun ti o ni ise fun ibere ti omiiran ti ko ye.
fall on our feet,to succeed in doing something where there was a risk of failure,"Despite the challenges, we managed [[to fall on our feet]] and succeed","During the dance routine, we tripped and managed [[to fall on our feet]]","Despite the challenges, we managed to fall on our feet and succeed","During the dance routine, we tripped and managed to fall on our feet",to fall on our feet,"A táncrutin során megbotlottunk, de sikerült a lábunkra esni.",우리 발에 떨어지다.,"어려움이 있었지만, 우리는 발을 굳게 묶고 성공했습니다.",춤 루틴 중에 우리는 걸려 넘어졌지만 발로 착지할 수 있었습니다.,"A pesar de los desafíos, logramos caer de pie y tener éxito.","Durante la rutina de baile, tropezamos y logramos caer de pie.",ni ipa wa pada.,"Lẹhin awọn ìṣẹ, a ti ṣe igba ti a le pada si ọpọlọpọ ati ṣeun."
fall out,to disagree with someone about something,[[They had a fall out]] over a disagreement about their business,"While climbing the tree, [[they had a fall out]] and landed on the ground",They had a fall out over a disagreement about their business,"While climbing the tree, they had a fall out and landed on the ground",They had a fall out,"Miközben felmásztak a fára, összevesztek és a földre estek.",그들은 다툼을 겪었다.,그들은 그들의 비즈니스에 대한 의견 차이로 인해 다투었다.,나무를 오르다가 그들은 싸움을 하다가 떨어져서 땅에 착지했다.,Tuvieron una pelea por un desacuerdo sobre su negocio.,"Mientras escalaban el árbol, tuvieron una caída y aterrizaron en el suelo.",Won ni owo oju kan.,Won ni owo awon ni o si ni ija ni ogoori ti won ni nipa iṣẹ rẹ.
fan the flames,make a bad situation even worse,Their constant arguing only [[fanned the flames together]] and made the situation worse,They [[fanned the flames together]] to keep the campfire going,Their constant arguing only fanned the flames together and made the situation worse,They fanned the flames together to keep the campfire going,fanned the flames together,"Együtt lebegtették a lángokat, hogy égve tartsák a tábortüzet.",함께 불을 부채질했다.,그들의 지속적인 말다툼은 불을 부추겨 상황을 더 악화시켰다.,그들은 캠프파이어를 유지하기 위해 함께 불을 부쉈다.,Su constante discusión solo avivó las llamas juntas y empeoró la situación.,Ellos avivaron las llamas juntos para mantener encendida la fogata.,"ni odo yii, a fi ina han han sinu.",Iwọn wọn ni oṣiṣẹ wọn ti ṣe lati ṣe afẹfẹ kan niwaju ati ṣe afẹfẹ kan niwaju ati ṣe ibere yii dara ju.
