idiom,meaning,s_f_brkt,s_l_brkt,s_f,s_l,s_a,p_l_hu_gpt,p_a_ko_gpt,p_f_ko_gpt
black sheep,a disgrace,"Despite his successful siblings, John's unconventional career choice made him [[the black sheep in their midst]]","Among the white ones, there was [[the black sheep in their midst]] grazing in the field","Despite his successful siblings, John's unconventional career choice made him the black sheep in their midst","Among the white ones, there was the black sheep in their midst grazing in the field",the black sheep in their midst,A fehérek között legelészett a fekete bárány.,그들 사이의 검은 양,"그의 성공한 형제들에도 불구하고, 존의 독특한 직업 선택은 그를 그들 사이에서 검은 양으로 만들었다."
blazing row,a very angry argument,The couple next door [[had a blazing row]] over their finances,The firefighters [[had a blazing row]] of flames to extinguish,The couple next door had a blazing row over their finances,The firefighters had a blazing row of flames to extinguish,had a blazing row,A tűzoltóknak egy lángoló sorozatot kellett eloltaniuk.,"""had a blazing row"" in Korean is ""격렬한 말다툼을 했다.""",옆집 부부는 자신들의 재정 문제로 격렬한 말다툼을 했다.
blind as a bat,unconscious to something,"Without his glasses, he's [[as blind as a bat]] and can't see anything","The cave-dwelling creature was [[as blind as a bat]], relying on echolocation to navigate","Without his glasses, he's as blind as a bat and can't see anything","The cave-dwelling creature was as blind as a bat, relying on echolocation to navigate",as blind as a bat,"A barlanglakó lény olyan vak volt, mint egy denevér, echolokációra támaszkodott a navigáláshoz.",박쥐처럼 맹인이다.,그는 안경을 쓰지 않으면 박쥐처럼 매우 맹인이 되어 아무것도 볼 수 없습니다.
blow away,impress someone very much,Their innovative product [[blew away the competition]] in the market,The strong gust of wind [[blew away the competition]] papers from the table,Their innovative product blew away the competition in the market,The strong gust of wind blew away the competition papers from the table,blew away the competition,Az erős szélvihar eltépte a verseny papírokat az asztalról.,경쟁을 날렸다.,그들의 혁신적인 제품은 시장에서 경쟁을 제압했다.
blow cover,to reveal the true identity,The undercover agent [[blew their cover]] by accidentally revealing their true identity,The strong wind [[blew their cover]] off the outdoor furniture,The undercover agent blew their cover by accidentally revealing their true identity,The strong wind blew their cover off the outdoor furniture,blew their cover,Az erős szél lefújta a takarójukat a kerti bútorról.,그들의 위장이 불타버렸다.,비밀 요원은 실수로 진짜 신원을 드러내어 위장이 불타 버렸다.
blow his own horn,to talk about oneself or one's achievements especially in a way that shows pride or too much pride,He never hesitates to [[blow his own horn]] about his accomplishments,"As a trumpet player, he would [[blow his own horn]] during practice",He never hesitates to blow his own horn about his accomplishments,"As a trumpet player, he would blow his own horn during practice",blow his own horn,Trombitásként gyakorlás közben maga is fújta a saját kürtjét.,자기 자랑하다.,그는 자신의 성취에 대해 자랑하는 것을 망설이지 않습니다.
blow your own trumpet,to say things that makes your own self or kin look good,He was always [[blowing his own trumpet]] about his accomplishments,"During the parade, he was [[blowing his own trumpet]] as part of the marching band",He was always blowing his own trumpet about his accomplishments,"During the parade, he was blowing his own trumpet as part of the marching band",blowing his own trumpet,Az felvonulás alatt a saját trombitáját fújta a zenekar tagjaként.,자기 자랑하는 것,그는 항상 자신의 성취에 대해 자랑을 했다.
blue blood,a member of an upper-class family,They were considered [[a blue blood family]] due to their aristocratic lineage,"In a bizarre science fiction world, they were [[a blue blood family]] with copper-based hemocyanin",They were considered a blue blood family due to their aristocratic lineage,"In a bizarre science fiction world, they were a blue blood family with copper-based hemocyanin",a blue blood family,Egy furcsa tudományos-fantasztikus világban kék vérű család voltak réz-alapú hemocianinnel.,푸른 피 가문,그들은 귀족적인 혈통 때문에 청혈 가문으로 여겨졌습니다.
blue eyed boy,a person who is treated with special favor.,"He was [[the blue-eyed boy]] of the company, always receiving praise and promotions",The child with striking azure irises was [[the blue-eyed boy]] in the family,"He was the blue-eyed boy of the company, always receiving praise and promotions",The child with striking azure irises was the blue-eyed boy in the family,the blue-eyed boy,A feltűnő azúrkék íriszű gyermek volt a kék szemű fiú a családban.,파란 눈을 한 소년,"그는 회사의 푸른 눈을 가진 아이였으며, 항상 칭찬과 승진을 받았습니다."
born yesterday,naive; inexperienced,He was [[not born yesterday]] and could easily see through their lies,"Since today is her first birthday, she was [[not born yesterday]]",He was not born yesterday and could easily see through their lies,"Since today is her first birthday, she was not born yesterday",not born yesterday,"Mivel ma van az első születésnapja, nem tegnap született.",어제 태어나지 않았어요.,그는 어제 태어나지 않았으며 그들의 거짓말을 쉽게 파악할 수 있었다.
bread and butter,to indicate what a person earns or earns for,"Graphic design is [[their bread and butter]], as it's their main source of income","On the table, there was [[their bread and butter]] ready for breakfast","Graphic design is their bread and butter, as it's their main source of income","On the table, there was their bread and butter ready for breakfast",their bread and butter,Az asztalon volt a kenyérük és a vajuk reggelire készen.,그들의 주력 사업,그래픽 디자인은 그들의 빵과 버터입니다. 이것이 그들의 주요 수입원이기 때문입니다.
break a leg,good luck,"Before her performance, we told her [[to break a leg on stage]]","During the play, the actor accidentally tripped and managed [[to break a leg on stage]]","Before her performance, we told her to break a leg on stage","During the play, the actor accidentally tripped and managed to break a leg on stage",to break a leg on stage,A játék közben az színész véletlenül megbotlott és sikerült eltörnie a lábát a színpadon.,무대에서 다리를 부러뜨리다.,그녀의 공연 전에 무대에서 다리를 부러뜨리라고 말했습니다.
break down,to stop working,"Let me [[break down the situation]] for you, so you can understand the complexity",The firefighters had to [[break down the situation]] by removing debris after the collapse,"Let me break down the situation for you, so you can understand the complexity",The firefighters had to break down the situation by removing debris after the collapse,break down the situation,A tűzoltóknak le kellett bontaniuk a helyzetet a romok eltávolításával az összeomlás után.,상황을 분석하다.,당신이 복잡성을 이해할 수 있도록 상황을 설명해 드릴게요.
break the ice,"to do or say something that makes people feel more comfortable, especially at the start of a meeting or party",We started [[breaking the ice together]] by playing a fun team-building game,"During the winter expedition, we were [[breaking the ice together]] to clear a path",We started breaking the ice together by playing a fun team-building game,"During the winter expedition, we were breaking the ice together to clear a path",breaking the ice together,"A téli expedíció során együtt törtük a jeget, hogy kitisztítsuk az utat.",함께 얼음을 깨는 것,우리는 재미있는 팀 빌딩 게임을 하며 함께 얼음을 깨기 시작했습니다.
break the mould,to do something different from what is expected,Her innovative ideas were [[breaking the mould]] in the industry,The sculptor was [[breaking the mould]] to reveal the finished statue,Her innovative ideas were breaking the mould in the industry,The sculptor was breaking the mould to reveal the finished statue,breaking the mould,"A szobrász eltörte az öntőformát, hogy felfedje a kész szobrot.",형식을 깨다.,그녀의 혁신적인 아이디어는 산업에서 틀을 깨고 있었다.
break up,end a romantic relationship with someone,"After months of arguments, they [[decided to break up]] and end their relationship",The construction workers [[decided to break up]] the concrete with a jackhammer,"After months of arguments, they decided to break up and end their relationship",The construction workers decided to break up the concrete with a jackhammer,decided to break up,"Az építőmunkások úgy döntöttek, hogy jackhammerral törik fel a betont.",이별하기로 결정했다.,"수개월간의 논쟁 끝에, 그들은 헤어지고 그들의 관계를 끝내기로 결정했다."
bright spark,an intelligent and lively person (humorously),"She was [[a bright spark]] in the team, always coming up with innovative ideas",The firework display created [[a bright spark]] in the night sky,"She was a bright spark in the team, always coming up with innovative ideas",The firework display created a bright spark in the night sky,a bright spark,A tűzijáték fényes szikrákat varázsolt az éjszakai égboltra.,밝은 불꽃,그녀는 항상 혁신적인 아이디어를 내며 팀에서 빛나는 존재였다.
buckle down,make sure something stays in place,"With the deadline approaching, we had [[to buckle down to work]] and finish the project",The carpenter had [[to buckle down to work]] on the leather belt,"With the deadline approaching, we had to buckle down to work and finish the project",The carpenter had to buckle down to work on the leather belt,to buckle down to work,A asztalosnak neki kellett állnia dolgozni a bőrövön.,일에 전념하다.,마감 기한이 다가오자 우리는 일에 몰두하여 프로젝트를 마무리해야 했다.
build bridges,to foster good relationships,"As a mediator, my goal is [[to build bridges between them]] and resolve their conflicts",The construction company was hired [[to build bridges between them]] to connect the two islands,"As a mediator, my goal is to build bridges between them and resolve their conflicts",The construction company was hired to build bridges between them to connect the two islands,to build bridges between them,"A kivitelező céget arra bérelték fel, hogy hidakat építsen közöttük, hogy összekösse a két szigetet.",그들 사이에 다리를 건설하다.,"중재자로서, 나의 목표는 그들 사이에 다리를 놓고 갈등을 해결하는 것입니다."
building blocks,something that is a basic element (of the subject),Hard work and dedication are [[the building blocks of success]],The children used wooden cubes as [[the building blocks of success]] in their tower construction,Hard work and dedication are the building blocks of success,The children used wooden cubes as the building blocks of success in their tower construction,the building blocks of success,A gyerekek fából készült kockákat használtak a siker torony építéséhez.,성공의 기본 구성 요소,열심히 일하고 헌신은 성공의 기본입니다.
bun in the oven,to be pregnant,She excitedly announced that she [[has a bun in the oven]] and is expecting a baby,The baker [[has a bun in the oven]] and it will be ready in a few minutes,She excitedly announced that she has a bun in the oven and is expecting a baby,The baker has a bun in the oven and it will be ready in a few minutes,has a bun in the oven,"A péknek van egy zsemléje a sütőben, és néhány perc múlva kész lesz.",오븐 안에 빵이 있다.,그녀는 설레는 마음으로 임신했다는 소식을 전했고 아기를 기대하고 있다고 발표했다.
burn bridges,"remove someone's all options of retreat, act decisively","After the argument, she [[burned bridges with them]] and never spoke to them again",The vandals [[burned bridges with them]] as they escaped the village,"After the argument, she burned bridges with them and never spoke to them again",The vandals burned bridges with them as they escaped the village,burned bridges with them,"A vandalok felgyújtották a hidakat, amikor elmenekültek a faluból.",그들과 다리를 불태웠다.,"논쟁 후, 그녀는 그들과의 관계를 끊고 다시는 그들과 말하지 않았다."
burn fingers,to bear an unpleasant result of an action that has been taken in the past,[[They burned their fingers]] by investing in a risky business,[[They burned their fingers]] while trying to grab a hot pan,They burned their fingers by investing in a risky business,They burned their fingers while trying to grab a hot pan,They burned their fingers,"Megégették az ujjukat, amikor megpróbálták megfogni a forró serpenyőt.",그들은 손가락을 불태웠다.,그들은 위험한 사업에 투자하여 손가락을 불태웠다.
burn the candle at both ends,to exhaust someone's energies or resources by leading a hectic life.,"Working two jobs and studying, she was [[burning the candle at both ends]]","During the experiment, they were [[burning the candle at both ends]] to observe the melting rate","Working two jobs and studying, she was burning the candle at both ends","During the experiment, they were burning the candle at both ends to observe the melting rate",burning the candle at both ends,"Az kísérlet során mindkét végén égették a gyertyát, hogy megfigyeljék az olvadási sebességet.",양쪽 끝에서 양초를 태우는 것,"두 개의 일을 하고 공부를 하면서, 그녀는 양쪽 끝에서 양초를 태우고 있었다."
bury head in the sand,hide from the truth,They [[buried their heads in the sand]] when confronted with the company's financial problems,The ostriches [[buried their heads in the sand]] to search for food,They buried their heads in the sand when confronted with the company's financial problems,The ostriches buried their heads in the sand to search for food,buried their heads in the sand,"Az struccok a homokba ásták a fejüket, hogy keresgéljenek az élelem után.",몸을 땅에 파묻다.,그들은 회사의 재정 문제에 직면했을 때 모래 속에 머리를 파묻었다.
butter up,to flatter someone so as to get something in return from them,He tried [[to butter up the boss]] by complimenting her outfit,It was her job [[to butter up the boss]]'s toast every morning,He tried to butter up the boss by complimenting her outfit,It was her job to butter up the boss's toast every morning,to butter up the boss,Az ő feladata volt minden reggel megkenni a főnök pirítósát.,상사에게 아첨하다.,그는 그녀의 옷을 칭찬하여 상사를 아첨하려고 노력했다.
call a spade a spade,this phrase means to say something the way it is,[[She called a spade a spade]] when she confronted her friend about her dishonesty,"While playing cards, [[she called a spade a spade]] when she identified the suit correctly",She called a spade a spade when she confronted her friend about her dishonesty,"While playing cards, she called a spade a spade when she identified the suit correctly",She called a spade a spade,"Kártyázás közben őszintén megnevezte a pikk kártyát, amikor helyesen azonosította a színt.",그녀는 것을 그대로 말했다.,그녀는 친구의 부정직함에 대해 대면하며 솔직하게 말했다.
can of worms,"to get into something that is messy, has problems and is unwanted","By asking about his past, she inadvertently [[opened a can of worms]] in their conversation",The fisherman [[opened a can of worms]] to bait his hook,"By asking about his past, she inadvertently opened a can of worms in their conversation",The fisherman opened a can of worms to bait his hook,opened a can of worms,"A horgász felnyitott egy doboz féreggel, hogy csalit készítsen a horogra.",벌레통을 열다.,그녀는 그의 과거에 대해 묻는 것으로 인해 그들의 대화에서 뜻밖에 문제를 일으켰다.
card up sleeve,to have a secret advantage that is suddenly revealed to change the game,"During the negotiation, he [[had a card up his sleeve]] that gave him an advantage","As a magician, he cleverly [[had a card up his sleeve]] for his next trick","During the negotiation, he had a card up his sleeve that gave him an advantage","As a magician, he cleverly had a card up his sleeve for his next trick",had a card up his sleeve,"Mint varázsló, ügyesen tartott egy lapot a kabátujjában a következő trükkjéhez.",그는 소매에 카드를 숨겨두었다.,협상 중 그는 자신에게 이점을 주는 카드를 소지하고 있었다.
carry the torch for,to have strong feelings for someone with whom you do not or cannot have a relationship,"He's been [[carrying the torch for her]] since high school, but she never noticed","During the relay race, he was [[carrying the torch for her]] until it was her turn to run","He's been carrying the torch for her since high school, but she never noticed","During the relay race, he was carrying the torch for her until it was her turn to run",carrying the torch for her,"A váltófutás során ő vitte a fáklyát neki, amíg el nem jött az ő futása.",그녀를 위해 횃불을 지키는 중입니다.,"그는 고등학교 때부터 그녀를 좋아해왔지만, 그녀는 그를 전혀 눈치채지 못했다."
cash in,to earn out of something in big amounts,He decided to [[cash in on the opportunity]] and invest in the startup,"At the casino, she decided to [[cash in on the opportunity]] and exchange her chips for money",He decided to cash in on the opportunity and invest in the startup,"At the casino, she decided to cash in on the opportunity and exchange her chips for money",cash in on the opportunity,"A kaszinóban úgy döntött, kihasználja az alkalmat, és pénzre váltja a zsetonjait.",기회를 활용하다.,그는 그 기회를 활용하여 스타트업에 투자하기로 결정했다.
castles in the air,thinking of some impossible task,He spent his days [[building castles in the air]] instead of focusing on his job,The artist created a stunning installation of [[building castles in the air]] using lightweight materials,He spent his days building castles in the air instead of focusing on his job,The artist created a stunning installation of building castles in the air using lightweight materials,building castles in the air,"Az művész lélegzetelállító installációt hozott létre, amelyben épületeket épített a levegőben könnyű anyagok felhasználásával.",공상을 펼치다.,그는 그의 일에 집중하는 대신 공상으로 성을 지어 보냈다.
catch napping,"surprise, take unawares.",The surprise quiz [[caught him napping]] and he couldn't answer any questions,I walked into the room and [[caught him napping]] on the couch,The surprise quiz caught him napping and he couldn't answer any questions,I walked into the room and caught him napping on the couch,caught him napping,"Beléptem a szobába és rajtakaptam, ahogy a kanapén szundikál.",그를 낮잠자는 동안 발견했다.,놀고 있던 그에게 갑작스러운 퀴즈가 출제되어 어떤 질문에도 대답할 수 없었다.
catch up,"to get to the same level, standard, or status as something or someone",I need [[to catch up with her]] to discuss the latest news,I had to run faster [[to catch up with her]] during the race,I need to catch up with her to discuss the latest news,I had to run faster to catch up with her during the race,to catch up with her,"Gyorsabban kellett futnom, hogy utolérjem őt a verseny alatt.",그녀를 따라잡다.,저는 최신 뉴스를 논의하기 위해 그녀를 따라잡아야 합니다.
chapter and verse,verbatim; word for word details.,"When asked about the new policy, she [[gave them chapter and verse]] on the company's regulations",The priest [[gave them chapter and verse]] from the Bible during the sermon,"When asked about the new policy, she gave them chapter and verse on the company's regulations",The priest gave them chapter and verse from the Bible during the sermon,gave them chapter and verse,Az igazgató a prédikáció során fejezetről és versről idézett a Bibliából.,그들에게 장과 절을 알려주었다.,"새로운 정책에 대해 물어보자, 그녀는 회사 규정에 대해 상세히 설명해 주었다."
child's play,an informal expression meaning something that is easy to do,Solving the puzzle [[it was child's play]] for the experienced detective,The playground equipment [[it was child's play]] for the kids to enjoy,Solving the puzzle it was child's play for the experienced detective,The playground equipment it was child's play for the kids to enjoy,it was child's play,"A játszótéri felszerelés gyerekjáték volt a gyerekek számára, hogy élvezzék.",그것은 어린이 놀이였다.,경험이 많은 형사에게는 퍼즐을 풀기는 아이들의 놀이였다.
chill wind,to encounter the problems or trouble,"When the news of the layoffs arrived, [[a chill wind blew]] through the office","As we walked through the forest, [[a chill wind blew]] and made us shiver","When the news of the layoffs arrived, a chill wind blew through the office","As we walked through the forest, a chill wind blew and made us shiver",a chill wind blew,"Amikor az erdőn át sétáltunk, egy hideg szél fújt és megborzongtunk.",차가운 바람이 불었다.,"해고 소식이 도착하자, 사무실에 차가운 바람이 불어 닥쳤다."
chink in armour,a susceptible or vulnerable area.,"After analyzing their strategy, we [[found a chink in their armour]] that we could exploit","While examining the knight's suit, he [[found a chink in their armour]] that needed repair","After analyzing their strategy, we found a chink in their armour that we could exploit","While examining the knight's suit, he found a chink in their armour that needed repair",found a chink in their armour,"Miközben megvizsgálta a lovag páncélját, talált egy repedést a páncéljukon, amit javítani kellett.",그들의 갑옷에 틈새를 발견했다.,"우리는 그들의 전략을 분석한 후, 우리가 이용할 수 있는 취약점을 발견했습니다."
choke up,make a person become overemotional and speechless,"Hearing the sad news, [[he started to choke up]] and could n't speak","While eating too quickly, [[he started to choke up]] on a piece of food","Hearing the sad news, he started to choke up and could n't speak","While eating too quickly, he started to choke up on a piece of food",he started to choke up,"Amíg túl gyorsan evett, elkezdett fulladozni egy falat ételtől.",그는 목이 메어오기 시작했다.,슬픈 소식을 듣자 그는 목이 메어 말을 할 수 없었다.
clamp down,suppress or prevent something in an oppressive or harsh manner,The principal decided [[to clamp down on the situation]] by enforcing stricter rules,The mechanic used a tool [[to clamp down on the situation]] and secure the loose parts,The principal decided to clamp down on the situation by enforcing stricter rules,The mechanic used a tool to clamp down on the situation and secure the loose parts,to clamp down on the situation,"A szerelő egy eszközt használt arra, hogy rögzítse a helyzetet és megszilárdítsa a laza alkatrészeket.",상황을 억제하다.,교장은 상황을 단호하게 짚어들이기 위해 더 엄격한 규칙을 시행하기로 결정했습니다.
clean slate,to wipe the past out and begin afresh,"After apologizing, they decided [[to start with a clean slate]] and rebuild their friendship",The artist decided [[to start with a clean slate]] by wiping off the chalkboard,"After apologizing, they decided to start with a clean slate and rebuild their friendship",The artist decided to start with a clean slate by wiping off the chalkboard,to start with a clean slate,"Az művész úgy döntött, hogy tiszta lappal kezd, és letörli a táblár krétáját.",청소부터 시작하다.,"사과한 후, 그들은 깨끗한 상태에서 다시 시작하고 우정을 다시 쌓기로 결정했습니다."
clean sweep,an irresistible victory,The team [[made a clean sweep]] by winning all the matches in the tournament,The janitor [[made a clean sweep]] of the classroom floor,The team made a clean sweep by winning all the matches in the tournament,The janitor made a clean sweep of the classroom floor,made a clean sweep,Az iskolaőr kitakarította az osztályterem padlóját.,청소하다.,팀은 대회에서 모든 경기를 이겨 깨끗한 승리를 거두었습니다.
clear the air,get rid of all doubts and negative feelings,"After the argument, [[we cleared the air with her]] by discussing our feelings",[[We cleared the air with her]] by opening the windows to let the smoke out,"After the argument, we cleared the air with her by discussing our feelings",We cleared the air with her by opening the windows to let the smoke out,we cleared the air with her,"Kinyitottuk az ablakokat, hogy kiszellőztessük a füstöt, és tisztáztuk vele a helyzetet.",우리는 그녀와 불편한 분위기를 해소했습니다.,"논쟁 후, 우리는 그녀와 우리의 감정을 이야기함으로써 상황을 해소했다."
clear the decks,get ready for action.,[[We cleared the decks for the event]] by finishing all our pending tasks,[[We cleared the decks for the event]] by removing all the furniture from the patio,We cleared the decks for the event by finishing all our pending tasks,We cleared the decks for the event by removing all the furniture from the patio,We cleared the decks for the event,Az eseményre felkészülve eltávolítottuk az összes bútort a teraszról.,우리는 행사를 위해 각종 준비를 마쳤다.,우리는 보류 중인 모든 작업을 마무리하여 이벤트를 위해 데크를 청소했습니다.
close call,a narrow escape from disaster,He [[had a close call]] when he narrowly avoided a car accident,The two phones [[had a close call]] when they were placed side by side,He had a close call when he narrowly avoided a car accident,The two phones had a close call when they were placed side by side,had a close call,"A két telefon nagyon közel került egymáshoz, amikor egymás mellé helyezték.",위기를 겨우 피했다.,그는 차 사고를 간신히 피해서 위기를 모면했다.
cloud on the horizon,"a problem or difficulty that is predictable, or seems likely to arise in the future","Despite the success of the project, there was [[a cloud on the horizon]] in the form of budget cuts","As we looked out to sea, we noticed [[a cloud on the horizon]] signaling an approaching storm","Despite the success of the project, there was a cloud on the horizon in the form of budget cuts","As we looked out to sea, we noticed a cloud on the horizon signaling an approaching storm",a cloud on the horizon,"Amikor a tengerre néztünk, észrevettünk egy felhőt a horizonton, ami egy közeledő vihart jelez.",지평선에 구름,프로젝트의 성공에도 불구하고 예산 삭감의 형태로 불안한 상황이 있었습니다.
coast is clear,there is no danger in sight or that nobody can see you,"After the security guard left, we knew [[the coast is clear]] to enter the building","Looking through the binoculars, the sailor confirmed that [[the coast is clear]] of any obstacles","After the security guard left, we knew the coast is clear to enter the building","Looking through the binoculars, the sailor confirmed that the coast is clear of any obstacles",the coast is clear,"A tengerész távcsövön keresztül nézve megerősítette, hogy a part mentén nincsenek akadályok.",해안이 맑아요.,경비원이 떠난 후에는 건물에 들어갈 수 있는 것이 분명해졌습니다.
coin money,make a great deal of money easily or very quickly.,Their successful business venture had them [[coining money together]] in no time,"As mint workers, they were [[coining money together]] at the factory",Their successful business venture had them coining money together in no time,"As mint workers, they were coining money together at the factory",coining money together,Mint munkásokként együtt pénzt vertek a gyárban.,함께 동전을 주조하는 것,그들의 성공적인 사업 벤처는 그들이 함께 돈을 벌게 만들었다.
cold feet,loss of courage,[[She got cold feet]] just before her big presentation,"After walking in the snow without proper shoes, [[she got cold feet]]",She got cold feet just before her big presentation,"After walking in the snow without proper shoes, she got cold feet",She got cold feet,"Azután, hogy a hóban sétált megfelelő cipő nélkül, hideg lába lett.",그녀는 겁이 나서 망설였다.,그녀는 큰 발표 직전에 겁이 나서 망설였다.
cold turkey,in a unexpected and sudden way,He quit smoking by [[going cold turkey]] without any assistance,"She was [[going cold turkey]] for her sandwich, but decided to add some cheese",He quit smoking by going cold turkey without any assistance,"She was going cold turkey for her sandwich, but decided to add some cheese",going cold turkey,"Ő hideg pulykát választott a szendvicséhez, de úgy döntött, hogy hozzáad némi sajtot.",급격히 중단하다.,그는 어떤 지원 없이 급격히 담배를 끊어버렸다.
come across,to meet someone,"While researching, I [[came across the old book]] that provided valuable information","Walking through the library, I accidentally stepped on and [[came across the old book]] lying on the floor","While researching, I came across the old book that provided valuable information","Walking through the library, I accidentally stepped on and came across the old book lying on the floor",came across the old book,"Sétálva a könyvtáron keresztül véletlenül ráléptem és rábukkantam az öreg könyvre, amely a földön feküdt.",옛 책을 우연히 발견했다.,"조사하던 중에, 유용한 정보를 제공해준 오래된 책을 발견했습니다."
come clean,to make a disclosure,"After hiding the truth for so long, he [[decided to come clean]] about his past","After playing in the mud, the kids [[decided to come clean]] and took a bath","After hiding the truth for so long, he decided to come clean about his past","After playing in the mud, the kids decided to come clean and took a bath",decided to come clean,"A sárban játszás után a gyerekek úgy döntöttek, hogy tisztálkodnak, és fürdőt vettek.",솔직하게 말하기로 결정했다.,"그가 오랫동안 진실을 숨겨왔지만, 그는 그의 과거에 대해 솔직하게 말하기로 결정했다."
come down with,to have (usually a disease),He [[came down with something]] after being exposed to the cold weather,The kite [[came down with something]] tangled in its strings,He came down with something after being exposed to the cold weather,The kite came down with something tangled in its strings,came down with something,A papírsárkány valamivel összegabalyodva leereszkedett a húrain.,뭔가에 걸렸다.,그는 추운 날씨에 노출된 후에 뭔가에 걸렸다.
come full circle,return to an earlier position or decision.,"After years of exploring different career paths, she [[came full circle]] and returned to her passion for teaching",The hiker [[came full circle]] after walking around the entire circumference of the lake,"After years of exploring different career paths, she came full circle and returned to her passion for teaching",The hiker came full circle after walking around the entire circumference of the lake,came full circle,"A túrázó teljes kört tett, miután végigsétált a tó teljes kerületén.",전반적으로 돌아왔다.,"여러 가지 직업 분야를 탐색한 후, 그녀는 전체적으로 돌아와 가르치는 열정에 돌아갔습니다."
come out swinging,be confrontational,"After the criticism, [[he came out swinging]] with a strong rebuttal","As soon as the boxing match started, [[he came out swinging]] at his opponent","After the criticism, he came out swinging with a strong rebuttal","As soon as the boxing match started, he came out swinging at his opponent",he came out swinging,"Amint elkezdődött a bokszmeccs, azonnal nekiesett az ellenfelének.",그는 공격적으로 나왔다.,"비판을 받은 후, 그는 강력한 반박으로 나섰다."
cook his goose,to spoil someone's chances of success,"When he was caught cheating, his teacher [[cooked his goose]] by failing him","For dinner, the chef [[cooked his goose]] with a delicious orange sauce","When he was caught cheating, his teacher cooked his goose by failing him","For dinner, the chef cooked his goose with a delicious orange sauce",cooked his goose,Vacsorára a séf elkészítette a libáját finom narancsszósszal.,그의 오리를 요리했다.,"그가 부정행위를 저질렀을 때, 선생님은 그를 불합격시켜 그의 일을 망쳤다."
cool heels,to wait or take rest,They [[were cooling their heels]] in the waiting room before the interview,"After walking on hot sand, they [[were cooling their heels]] in the ocean water",They were cooling their heels in the waiting room before the interview,"After walking on hot sand, they were cooling their heels in the ocean water",were cooling their heels,Forró homokon sétálás után a tengerben hűsítették a sarkukat.,그들은 발을 식히고 있었다.,면접 전 대기실에서 발을 동동 구르며 기다리고 있었다.
count chicken,make plans based on events that may or may not happen,He [[was counting chickens before they hatch]] when he started planning his victory party,The farmer [[was counting chickens before they hatch]] by estimating the number of eggs that would become chicks,He was counting chickens before they hatch when he started planning his victory party,The farmer was counting chickens before they hatch by estimating the number of eggs that would become chicks,was counting chickens before they hatch,"A gazda csirkéket számolt, mielőtt kikeltek volna, becsléssel meghatározva, hogy hány tojásból lesznek csibék.",알이 부화하기 전에 닭을 세고 있었다.,그는 승리 파티를 계획할 때 닭이 부화하기 전에 닭을 세고 있었다.
crack the whip,make someone work harder by asserting power or authority,The manager [[cracked the whip on the team]] to meet the deadline,The circus performer [[cracked the whip on the team]] of horses to start the show,The manager cracked the whip on the team to meet the deadline,The circus performer cracked the whip on the team of horses to start the show,cracked the whip on the team,"A cirkuszművész korbácsot csattantott a lovak csapatán, hogy elkezdődjön a műsor.",팀에게 채찍을 휘둘렀다.,매니저는 마감 기한을 맞추기 위해 팀에게 엄격한 지시를 내렸다.
cross swords,to fight with another person physically or verbally.,"During the heated debate, she [[crossed swords with him]] over their differing opinions","At the fencing tournament, they [[crossed swords with him]] in a thrilling match","During the heated debate, she crossed swords with him over their differing opinions","At the fencing tournament, they crossed swords with him in a thrilling match",crossed swords with him,Az olimpiai vívóversenyen izgalmas mérkőzésen találkoztak vele karddal.,그와 칼을 겨누었다.,"격렬한 토론 중에, 그녀는 그와 의견이 다르기 때문에 그와 대립했다."
cross the bridge,to delay worrying about something that might not happen anyway,They [[crossed the bridge together]] when they decided to face their problems as a team,The two friends [[crossed the bridge together]] while enjoying the scenic view,They crossed the bridge together when they decided to face their problems as a team,The two friends crossed the bridge together while enjoying the scenic view,crossed the bridge together,"A két barát együtt átkelt a hídon, miközben élvezték a látványt.",함께 다리를 건넜다.,그들은 함께 다리를 건너며 문제를 팀으로 해결하기로 결정했다.
cross the line,behave in a way that is not acceptable,[[He crossed the line with her]] when he made that inappropriate comment,"During the race, [[he crossed the line with her]] as they finished together",He crossed the line with her when he made that inappropriate comment,"During the race, he crossed the line with her as they finished together",He crossed the line with her,"A verseny alatt átlépte a vonalat vele, mivel együtt értek célba.",그는 그녀와 선을 넘었다.,그는 그 부적절한 발언을 했을 때 그녀와의 경계를 넘었다.
crush,feel love-sick for someone.,She couldn't help but [[have a crush]] on the charming new coworker,The machine was designed to [[have a crush]] on the aluminum cans for recycling,She couldn't help but have a crush on the charming new coworker,The machine was designed to have a crush on the aluminum cans for recycling,have a crush,"A gépet úgy tervezték, hogy összetörje az alumíniumdobozokat újrahasznosítás céljából.",한눈에 반했다.,그녀는 매력적인 새 동료에게 반하지 않을 수 없었다.
cry over spilt milk,to be upset about things that have already been done,There's no point in [[crying over spilt milk]] now that the deadline has passed,The toddler was [[crying over spilt milk]] on the kitchen floor,There's no point in crying over spilt milk now that the deadline has passed,The toddler was crying over spilt milk on the kitchen floor,crying over spilt milk,A kisgyerek sírt a konyhapadlón kiömlött tej miatt.,흘린 우유를 울어도 소용없다.,마감 기한이 지나버렸으니 이젠 흘린 우유에 눈물 흘리는 것은 소용없어.
