idiom,meaning,s_f_brkt,s_l_brkt,s_f,s_l,s_a,p_l_hu_gpt,p_a_ko_gpt
catch napping,"surprise, take unawares.",The surprise quiz [[caught him napping]] and he couldn't answer any questions,I walked into the room and [[caught him napping]] on the couch,The surprise quiz caught him napping and he couldn't answer any questions,I walked into the room and caught him napping on the couch,caught him napping,"Beléptem a szobába és rajtakaptam, ahogy a kanapén szundikál.",그를 낮잠자는 동안 발견했다.
catch up,"to get to the same level, standard, or status as something or someone",I need [[to catch up with her]] to discuss the latest news,I had to run faster [[to catch up with her]] during the race,I need to catch up with her to discuss the latest news,I had to run faster to catch up with her during the race,to catch up with her,"Gyorsabban kellett futnom, hogy utolérjem őt a verseny alatt.",그녀를 따라잡다.
chapter and verse,verbatim; word for word details.,"When asked about the new policy, she [[gave them chapter and verse]] on the company's regulations",The priest [[gave them chapter and verse]] from the Bible during the sermon,"When asked about the new policy, she gave them chapter and verse on the company's regulations",The priest gave them chapter and verse from the Bible during the sermon,gave them chapter and verse,Az igazgató a prédikáció során fejezetről és versről idézett a Bibliából.,그들에게 장과 절을 알려주었다.
child's play,an informal expression meaning something that is easy to do,Solving the puzzle [[it was child's play]] for the experienced detective,The playground equipment [[it was child's play]] for the kids to enjoy,Solving the puzzle it was child's play for the experienced detective,The playground equipment it was child's play for the kids to enjoy,it was child's play,"A játszótéri felszerelés gyerekjáték volt a gyerekek számára, hogy élvezzék.",그것은 어린이 놀이였다.
chill wind,to encounter the problems or trouble,"When the news of the layoffs arrived, [[a chill wind blew]] through the office","As we walked through the forest, [[a chill wind blew]] and made us shiver","When the news of the layoffs arrived, a chill wind blew through the office","As we walked through the forest, a chill wind blew and made us shiver",a chill wind blew,"Amikor az erdőn át sétáltunk, egy hideg szél fújt és megborzongtunk.",차가운 바람이 불었다.
chink in armour,a susceptible or vulnerable area.,"After analyzing their strategy, we [[found a chink in their armour]] that we could exploit","While examining the knight's suit, he [[found a chink in their armour]] that needed repair","After analyzing their strategy, we found a chink in their armour that we could exploit","While examining the knight's suit, he found a chink in their armour that needed repair",found a chink in their armour,"Miközben megvizsgálta a lovag páncélját, talált egy repedést a páncéljukon, amit javítani kellett.",그들의 갑옷에 틈새를 발견했다.
choke up,make a person become overemotional and speechless,"Hearing the sad news, [[he started to choke up]] and could n't speak","While eating too quickly, [[he started to choke up]] on a piece of food","Hearing the sad news, he started to choke up and could n't speak","While eating too quickly, he started to choke up on a piece of food",he started to choke up,"Amíg túl gyorsan evett, elkezdett fulladozni egy falat ételtől.",그는 목이 메어오기 시작했다.
clamp down,suppress or prevent something in an oppressive or harsh manner,The principal decided [[to clamp down on the situation]] by enforcing stricter rules,The mechanic used a tool [[to clamp down on the situation]] and secure the loose parts,The principal decided to clamp down on the situation by enforcing stricter rules,The mechanic used a tool to clamp down on the situation and secure the loose parts,to clamp down on the situation,"A szerelő egy eszközt használt arra, hogy rögzítse a helyzetet és megszilárdítsa a laza alkatrészeket.",상황을 억제하다.
clean slate,to wipe the past out and begin afresh,"After apologizing, they decided [[to start with a clean slate]] and rebuild their friendship",The artist decided [[to start with a clean slate]] by wiping off the chalkboard,"After apologizing, they decided to start with a clean slate and rebuild their friendship",The artist decided to start with a clean slate by wiping off the chalkboard,to start with a clean slate,"Az művész úgy döntött, hogy tiszta lappal kezd, és letörli a táblár krétáját.",청소부터 시작하다.
clean sweep,an irresistible victory,The team [[made a clean sweep]] by winning all the matches in the tournament,The janitor [[made a clean sweep]] of the classroom floor,The team made a clean sweep by winning all the matches in the tournament,The janitor made a clean sweep of the classroom floor,made a clean sweep,Az iskolaőr kitakarította az osztályterem padlóját.,청소하다.
clear the air,get rid of all doubts and negative feelings,"After the argument, [[we cleared the air with her]] by discussing our feelings",[[We cleared the air with her]] by opening the windows to let the smoke out,"After the argument, we cleared the air with her by discussing our feelings",We cleared the air with her by opening the windows to let the smoke out,we cleared the air with her,"Kinyitottuk az ablakokat, hogy kiszellőztessük a füstöt, és tisztáztuk vele a helyzetet.",우리는 그녀와 불편한 분위기를 해소했습니다.
clear the decks,get ready for action.,[[We cleared the decks for the event]] by finishing all our pending tasks,[[We cleared the decks for the event]] by removing all the furniture from the patio,We cleared the decks for the event by finishing all our pending tasks,We cleared the decks for the event by removing all the furniture from the patio,We cleared the decks for the event,Az eseményre felkészülve eltávolítottuk az összes bútort a teraszról.,우리는 행사를 위해 각종 준비를 마쳤다.
close call,a narrow escape from disaster,He [[had a close call]] when he narrowly avoided a car accident,The two phones [[had a close call]] when they were placed side by side,He had a close call when he narrowly avoided a car accident,The two phones had a close call when they were placed side by side,had a close call,"A két telefon nagyon közel került egymáshoz, amikor egymás mellé helyezték.",위기를 겨우 피했다.
cloud on the horizon,"a problem or difficulty that is predictable, or seems likely to arise in the future","Despite the success of the project, there was [[a cloud on the horizon]] in the form of budget cuts","As we looked out to sea, we noticed [[a cloud on the horizon]] signaling an approaching storm","Despite the success of the project, there was a cloud on the horizon in the form of budget cuts","As we looked out to sea, we noticed a cloud on the horizon signaling an approaching storm",a cloud on the horizon,"Amikor a tengerre néztünk, észrevettünk egy felhőt a horizonton, ami egy közeledő vihart jelez.",지평선에 구름
coast is clear,there is no danger in sight or that nobody can see you,"After the security guard left, we knew [[the coast is clear]] to enter the building","Looking through the binoculars, the sailor confirmed that [[the coast is clear]] of any obstacles","After the security guard left, we knew the coast is clear to enter the building","Looking through the binoculars, the sailor confirmed that the coast is clear of any obstacles",the coast is clear,"A tengerész távcsövön keresztül nézve megerősítette, hogy a part mentén nincsenek akadályok.",해안이 맑아요.
coin money,make a great deal of money easily or very quickly.,Their successful business venture had them [[coining money together]] in no time,"As mint workers, they were [[coining money together]] at the factory",Their successful business venture had them coining money together in no time,"As mint workers, they were coining money together at the factory",coining money together,Mint munkásokként együtt pénzt vertek a gyárban.,함께 동전을 주조하는 것
cold feet,loss of courage,[[She got cold feet]] just before her big presentation,"After walking in the snow without proper shoes, [[she got cold feet]]",She got cold feet just before her big presentation,"After walking in the snow without proper shoes, she got cold feet",She got cold feet,"Azután, hogy a hóban sétált megfelelő cipő nélkül, hideg lába lett.",그녀는 겁이 나서 망설였다.
cold turkey,in a unexpected and sudden way,He quit smoking by [[going cold turkey]] without any assistance,"She was [[going cold turkey]] for her sandwich, but decided to add some cheese",He quit smoking by going cold turkey without any assistance,"She was going cold turkey for her sandwich, but decided to add some cheese",going cold turkey,"Ő hideg pulykát választott a szendvicséhez, de úgy döntött, hogy hozzáad némi sajtot.",급격히 중단하다.
come across,to meet someone,"While researching, I [[came across the old book]] that provided valuable information","Walking through the library, I accidentally stepped on and [[came across the old book]] lying on the floor","While researching, I came across the old book that provided valuable information","Walking through the library, I accidentally stepped on and came across the old book lying on the floor",came across the old book,"Sétálva a könyvtáron keresztül véletlenül ráléptem és rábukkantam az öreg könyvre, amely a földön feküdt.",옛 책을 우연히 발견했다.
come clean,to make a disclosure,"After hiding the truth for so long, he [[decided to come clean]] about his past","After playing in the mud, the kids [[decided to come clean]] and took a bath","After hiding the truth for so long, he decided to come clean about his past","After playing in the mud, the kids decided to come clean and took a bath",decided to come clean,"A sárban játszás után a gyerekek úgy döntöttek, hogy tisztálkodnak, és fürdőt vettek.",솔직하게 말하기로 결정했다.
come down with,to have (usually a disease),He [[came down with something]] after being exposed to the cold weather,The kite [[came down with something]] tangled in its strings,He came down with something after being exposed to the cold weather,The kite came down with something tangled in its strings,came down with something,A papírsárkány valamivel összegabalyodva leereszkedett a húrain.,뭔가에 걸렸다.
come full circle,return to an earlier position or decision.,"After years of exploring different career paths, she [[came full circle]] and returned to her passion for teaching",The hiker [[came full circle]] after walking around the entire circumference of the lake,"After years of exploring different career paths, she came full circle and returned to her passion for teaching",The hiker came full circle after walking around the entire circumference of the lake,came full circle,"A túrázó teljes kört tett, miután végigsétált a tó teljes kerületén.",전반적으로 돌아왔다.
come out swinging,be confrontational,"After the criticism, [[he came out swinging]] with a strong rebuttal","As soon as the boxing match started, [[he came out swinging]] at his opponent","After the criticism, he came out swinging with a strong rebuttal","As soon as the boxing match started, he came out swinging at his opponent",he came out swinging,"Amint elkezdődött a bokszmeccs, azonnal nekiesett az ellenfelének.",그는 공격적으로 나왔다.
cook his goose,to spoil someone's chances of success,"When he was caught cheating, his teacher [[cooked his goose]] by failing him","For dinner, the chef [[cooked his goose]] with a delicious orange sauce","When he was caught cheating, his teacher cooked his goose by failing him","For dinner, the chef cooked his goose with a delicious orange sauce",cooked his goose,Vacsorára a séf elkészítette a libáját finom narancsszósszal.,그의 오리를 요리했다.
cool heels,to wait or take rest,They [[were cooling their heels]] in the waiting room before the interview,"After walking on hot sand, they [[were cooling their heels]] in the ocean water",They were cooling their heels in the waiting room before the interview,"After walking on hot sand, they were cooling their heels in the ocean water",were cooling their heels,Forró homokon sétálás után a tengerben hűsítették a sarkukat.,그들은 발을 식히고 있었다.
count chicken,make plans based on events that may or may not happen,He [[was counting chickens before they hatch]] when he started planning his victory party,The farmer [[was counting chickens before they hatch]] by estimating the number of eggs that would become chicks,He was counting chickens before they hatch when he started planning his victory party,The farmer was counting chickens before they hatch by estimating the number of eggs that would become chicks,was counting chickens before they hatch,"A gazda csirkéket számolt, mielőtt kikeltek volna, becsléssel meghatározva, hogy hány tojásból lesznek csibék.",알이 부화하기 전에 닭을 세고 있었다.
crack the whip,make someone work harder by asserting power or authority,The manager [[cracked the whip on the team]] to meet the deadline,The circus performer [[cracked the whip on the team]] of horses to start the show,The manager cracked the whip on the team to meet the deadline,The circus performer cracked the whip on the team of horses to start the show,cracked the whip on the team,"A cirkuszművész korbácsot csattantott a lovak csapatán, hogy elkezdődjön a műsor.",팀에게 채찍을 휘둘렀다.
cross swords,to fight with another person physically or verbally.,"During the heated debate, she [[crossed swords with him]] over their differing opinions","At the fencing tournament, they [[crossed swords with him]] in a thrilling match","During the heated debate, she crossed swords with him over their differing opinions","At the fencing tournament, they crossed swords with him in a thrilling match",crossed swords with him,Az olimpiai vívóversenyen izgalmas mérkőzésen találkoztak vele karddal.,그와 칼을 겨누었다.
cross the bridge,to delay worrying about something that might not happen anyway,They [[crossed the bridge together]] when they decided to face their problems as a team,The two friends [[crossed the bridge together]] while enjoying the scenic view,They crossed the bridge together when they decided to face their problems as a team,The two friends crossed the bridge together while enjoying the scenic view,crossed the bridge together,"A két barát együtt átkelt a hídon, miközben élvezték a látványt.",함께 다리를 건넜다.
cross the line,behave in a way that is not acceptable,[[He crossed the line with her]] when he made that inappropriate comment,"During the race, [[he crossed the line with her]] as they finished together",He crossed the line with her when he made that inappropriate comment,"During the race, he crossed the line with her as they finished together",He crossed the line with her,"A verseny alatt átlépte a vonalat vele, mivel együtt értek célba.",그는 그녀와 선을 넘었다.
crush,feel love-sick for someone.,She couldn't help but [[have a crush]] on the charming new coworker,The machine was designed to [[have a crush]] on the aluminum cans for recycling,She couldn't help but have a crush on the charming new coworker,The machine was designed to have a crush on the aluminum cans for recycling,have a crush,"A gépet úgy tervezték, hogy összetörje az alumíniumdobozokat újrahasznosítás céljából.",한눈에 반했다.
cry over spilt milk,to be upset about things that have already been done,There's no point in [[crying over spilt milk]] now that the deadline has passed,The toddler was [[crying over spilt milk]] on the kitchen floor,There's no point in crying over spilt milk now that the deadline has passed,The toddler was crying over spilt milk on the kitchen floor,crying over spilt milk,A kisgyerek sírt a konyhapadlón kiömlött tej miatt.,흘린 우유를 울어도 소용없다.
cup of tea,to like something,"Skydiving is [[not my cup of tea]], I prefer calmer activities","This green tea is [[not my cup of tea]], I ordered black tea","Skydiving is not my cup of tea, I prefer calmer activities","This green tea is not my cup of tea, I ordered black tea",not my cup of tea,"Ez a zöld tea nem az én ízlésem, fekete teát rendeltem.",내 취향은 아니야.
cut and dried,ready-made,"With her impressive qualifications, it was [[a cut and dried decision]] to hire her",The process of making fruit leather involves [[a cut and dried decision]] with the fruit,"With her impressive qualifications, it was a cut and dried decision to hire her",The process of making fruit leather involves a cut and dried decision with the fruit,a cut and dried decision,A gyümölcsbőr készítési folyamata magában foglal egy vágott és szárított döntést a gyümölccsel kapcsolatban.,잘 정리된 결정
cut coat according to cloth,"adapt to one's circumstances, make sure one's plans are appropriate to one's resources.",They [[cut their coat according to their cloth]] by living within their means,The tailor [[cut their coat according to their cloth]] to avoid wasting fabric,They cut their coat according to their cloth by living within their means,The tailor cut their coat according to their cloth to avoid wasting fabric,cut their coat according to their cloth,"A szabó a ruhát az anyaguknak megfelelően vágta, hogy elkerülje az anyagpazarlást.",그들의 천에 맞게 옷을 자르다.
cut corners,"economise on time, money, materials or effort, perhaps unwisely","To save time and money, they [[cut corners on the project]] by using cheaper materials",The carpenter [[cut corners on the project]] to create a rounded shape,"To save time and money, they cut corners on the project by using cheaper materials",The carpenter cut corners on the project to create a rounded shape,cut corners on the project,"A asztalos sarkokat vágott a projekt során, hogy kerek formát hozzon létre.",프로젝트에서 꼼수를 부리다.
cut the cord,to end a connection with someone,He decided to [[cut the cord with her]] and end their toxic relationship,The nurse [[cut the cord with her]] after the baby was born,He decided to cut the cord with her and end their toxic relationship,The nurse cut the cord with her after the baby was born,cut the cord with her,Az ápolónő levágta a köldökzsinórt a baba születése után.,그녀와의 인연을 끊어라.
cut the mustard,to succeed,"Despite his efforts, he [[couldn't cut the mustard]] in the competitive sales environment","With a dull knife, she [[couldn't cut the mustard]] for her sandwich","Despite his efforts, he couldn't cut the mustard in the competitive sales environment","With a dull knife, she couldn't cut the mustard for her sandwich",couldn't cut the mustard,Egy tompa késsel nem tudta felvágni a mustárt a szendvicséhez.,"""좋은 성과를 내지 못하다"""
cut your own throat,to do something that will be the cause of your own failure or ruin your chances in the future,"By revealing company secrets, he [[cut his own throat]] and ruined his career","While shaving, he accidentally [[cut his own throat]] with the razor","By revealing company secrets, he cut his own throat and ruined his career","While shaving, he accidentally cut his own throat with the razor",cut his own throat,"Amikor borotválkozott, véletlenül elvágta a saját torkát a borotvával.",그는 자신의 목을 베었다.
dance to tune,to do what someone else forces you to do,He always [[danced to the tune]] of his boss's demands,"At the party, they [[danced to the tune]] of their favorite song",He always danced to the tune of his boss's demands,"At the party, they danced to the tune of their favorite song",danced to the tune,A bulin a kedvenc dalukra táncoltak.,곡에 맞춰 춤을 춘다.
dancing on their grave,outlive or outlast someone and celebrate their demise,He was so happy about his rival's failure that he was practically [[dancing on their grave]],The disrespectful teenagers were caught [[dancing on their grave]] in the cemetery,He was so happy about his rival's failure that he was practically dancing on their grave,The disrespectful teenagers were caught dancing on their grave in the cemetery,dancing on their grave,"A tiszteletlen tinédzsereket rajtakapták, amint a temetőben a sírjukon táncoltak.",그들의 무덤 위에서 춤을 춘다.
dead duck,a project or scheme which has been abandoned or is certain to fail,"Without any support, he was [[a dead duck in the situation]] and couldn't succeed",The hunter shot down [[a dead duck in the situation]] and retrieved it,"Without any support, he was a dead duck in the situation and couldn't succeed",The hunter shot down a dead duck in the situation and retrieved it,a dead duck in the situation,"A vadász lelőtt egy holt kacsát a helyzetben, majd visszaszerezte azt.",상황에서 죽은 오리
dead in the water,unable to produce movement,The project was [[found it dead in the water]] after the funding was cut,The fisherman [[found it dead in the water]] while he was out on the lake,The project was found it dead in the water after the funding was cut,The fisherman found it dead in the water while he was out on the lake,found it dead in the water,"A halász holtan találta a vízben, amikor kint volt a tónál.",물에 떠 있는 채로 죽어 있었다.
deep down,felt strongly and often hidden from other people,He knew [[deep down in the ocean]] of his heart that he had made the right decision,The divers explored the shipwreck [[deep down in the ocean]],He knew deep down in the ocean of his heart that he had made the right decision,The divers explored the shipwreck deep down in the ocean,deep down in the ocean,A búvárok felfedezték a hajóroncsot mélyen az óceánban.,해저 깊숙한 곳에서
deliver the goods,do what is required,The new employee [[delivered the goods on time]] by meeting all the project deadlines,The courier [[delivered the goods on time]] to the customer's doorstep,The new employee delivered the goods on time by meeting all the project deadlines,The courier delivered the goods on time to the customer's doorstep,delivered the goods on time,A futár időben kézbesítette a csomagot az ügyfél ajtajáig.,제품을 제때에 배송했습니다.
die in harness,to expire while working,"The dedicated employee [[died in harness]], working tirelessly until the end",The poor horse [[died in harness]] while pulling the heavy load,"The dedicated employee died in harness, working tirelessly until the end",The poor horse died in harness while pulling the heavy load,died in harness,"A szegény ló meghalt a hám alatt, miközben nehéz terhet húzott.",고용 상태에서 죽다.
dig one's own grave,"to do something that has negative consequences for you, even though these consequences can be easily seen.","By spreading false rumors about the boss, he [[was digging his own grave]] at work","As a cemetery worker, he [[was digging his own grave]] to prepare for his eventual burial","By spreading false rumors about the boss, he was digging his own grave at work","As a cemetery worker, he was digging his own grave to prepare for his eventual burial",was digging his own grave,"Mint temetői dolgozó, saját sírját ásta, hogy felkészüljön a végleges eltemetésére.",그는 자기 무덤을 파고 있었다.
do the trick,successfully achieve a result,"Adding a little more salt to the soup, [[that should do the trick]]","Performing a magic act, the magician said '[[that should do the trick]]' as he pulled a rabbit from his hat","Adding a little more salt to the soup, that should do the trick","Performing a magic act, the magician said 'that should do the trick' as he pulled a rabbit from his hat",that should do the trick,"Egy varázslatot előadva a varázsló azt mondta: ""az jó lesz"" miközben egy nyulat húzott ki a kalapjából.",그것이 해결책이 될 것입니다.
dodge a bullet,to narrowly avoid a very serious problem or a disaster,"When the company went bankrupt, I realized I [[dodged a bullet there]] by not investing","During the paintball game, he [[dodged a bullet there]] by quickly ducking behind a barrier","When the company went bankrupt, I realized I dodged a bullet there by not investing","During the paintball game, he dodged a bullet there by quickly ducking behind a barrier",dodged a bullet there,"A paintball játék során elkerülte a golyót, gyorsan lehajolva egy akadály mögé.",거기서 총알을 피했다.
does exactly what it says on the tin,someone or something is exactly as they seem,The new software [[does exactly what it says on the tin]] and is very user-friendly,The paint [[does exactly what it says on the tin]] and dries in just 30 minutes,The new software does exactly what it says on the tin and is very user-friendly,The paint does exactly what it says on the tin and dries in just 30 minutes,does exactly what it says on the tin,"A festék pontosan azt teszi, amit a dobozon ígér, és mindössze 30 perc alatt szárad.","""Does exactly what it says on the tin""의 한국어 번역은 없습니다. 이 표현은 주로 영국에서 사용되며, 제품이나 서비스가 제공하는 내용이 정확하게 설명되어 있어서 그대로 따라한다는 뜻입니다. 이와 유사한 표현으로 ""명백한 대로 진행된다""라는 표현이 있습니다."
double-edged sword,something that could either help you or hurt you,"Having a high-profile job can be [[a double-edged sword in this situation]], as it brings both prestige and stress",The knight wielded [[a double-edged sword in this situation]] to defend himself against multiple attackers,"Having a high-profile job can be a double-edged sword in this situation, as it brings both prestige and stress",The knight wielded a double-edged sword in this situation to defend himself against multiple attackers,a double-edged sword in this situation,"A lovag ebben a helyzetben kétélű kardot forgatott, hogy megvédje magát több támadótól.",이 상황에서는 양날의 검이다.
down to earth,"decent, simple, realistic","Despite her fame, she remained [[a down-to-earth person]] who was easy to talk to","The astronaut, once back from space, became [[a down-to-earth person]] again","Despite her fame, she remained a down-to-earth person who was easy to talk to","The astronaut, once back from space, became a down-to-earth person again",a down-to-earth person,"Az asztronauta, miután visszatért az űrből, újra földhözragadt személy lett.",현실적인 사람
draw a blank,to get no response from someone,"When asked about the details of the project, he [[was drawing a blank]]",The artist [[was drawing a blank]] canvas to prepare for her next masterpiece,"When asked about the details of the project, he was drawing a blank",The artist was drawing a blank canvas to prepare for her next masterpiece,was drawing a blank,"Az művész egy üres vásznat rajzolt, hogy felkészüljön a következő mesterművére.",머릿속이 텅 빈 것 같았다.
drive a wedge between,to damage the good relationship that two people or groups of people have,The disagreement started [[to drive a wedge between them]] and their friendship,The lumberjack used a mallet [[to drive a wedge between them]] and split the log,The disagreement started to drive a wedge between them and their friendship,The lumberjack used a mallet to drive a wedge between them and split the log,to drive a wedge between them,A favágó kalapáccsal hasította szét a fát.,그들 사이에 쐐기를 끼우다.
drive up the wall,to make someone angry or irritated,His constant humming is [[driving me up the wall]],The remote-controlled car was [[driving me up the wall]] as it climbed vertically,His constant humming is driving me up the wall,The remote-controlled car was driving me up the wall as it climbed vertically,driving me up the wall,A távirányítású autó felmászott a falra és az idegeimre ment.,나를 미치게 만들어.
drop a bombshell,"make an unexpected, startling or disturbing announcement",The CEO [[dropped a bombshell during the meeting]] when he announced the company's bankruptcy,The clumsy actor accidentally [[dropped a bombshell during the meeting]] while filming a war scene,The CEO dropped a bombshell during the meeting when he announced the company's bankruptcy,The clumsy actor accidentally dropped a bombshell during the meeting while filming a war scene,dropped a bombshell during the meeting,"Az ügyetlen színész véletlenül egy bombát dobott a találkozón, miközben egy háborús jelenetet forgattak.",회의 중에 폭탄을 투하했다.
drop by,an informal visit,I'll [[drop by the store]] to see if they have any new books,The clumsy customer accidentally let a jar [[drop by the store]] entrance,I'll drop by the store to see if they have any new books,The clumsy customer accidentally let a jar drop by the store entrance,drop by the store,Az ügyetlen vásárló véletlenül elejtett egy befőttesüveget az üzlet bejárata előtt.,가게에 들러주세요.
eat him alive,to criticize someone severely because you are angry with them,His lack of preparation will [[eat him alive in the competition]] against more experienced opponents,The carnivorous insects would [[eat him alive in the competition]] if he didn't wear protective gear,His lack of preparation will eat him alive in the competition against more experienced opponents,The carnivorous insects would eat him alive in the competition if he didn't wear protective gear,eat him alive in the competition,"Az állati ragadozó rovarok élve felfalnák őt a versenyen, ha nem viselne védőfelszerelést.",경쟁에서 그를 살려 먹어라.
elephant in the room,"a difficult, controversial, or obvious problem that no one wants to talk about or mention because the subject is problematic, uncomfortable, or awkward","During the family meeting, it was time [[to address the elephant in the room]] and discuss the ongoing conflict","At the wildlife conservation conference, the speaker decided [[to address the elephant in the room]] and talk about habitat preservation","During the family meeting, it was time to address the elephant in the room and discuss the ongoing conflict","At the wildlife conservation conference, the speaker decided to address the elephant in the room and talk about habitat preservation",to address the elephant in the room,"Az állatvédelmi konferencián a beszélő úgy döntött, hogy foglalkozik a szobában lévő elefánttal és beszél a természetvédelemről.",방 안의 코끼리에 대해 이야기하다.
end of story,there is  nothing more to add to the matter under discussion,"I told him I wasn't interested, and [[that's the end of the story]]","She closed the book and said, '[[that's the end of the story]]'","I told him I wasn't interested, and that's the end of the story","She closed the book and said, 'that's the end of the story'",that's the end of the story,"Bezárta a könyvet és azt mondta: ""ez volt a történet vége"".",그것이 이야기의 끝입니다.
every nook and cranny,to look for something everywhere,"To find the perfect gift, [[they searched every nook and cranny]] of the shopping mall","During the deep cleaning, [[they searched every nook and cranny]] of the house for dust and dirt","To find the perfect gift, they searched every nook and cranny of the shopping mall","During the deep cleaning, they searched every nook and cranny of the house for dust and dirt",they searched every nook and cranny,A mélytisztítás során minden zugot és részt átvizsgáltak a házban a por és a szennyeződések után kutatva.,그들은 모든 구석구석을 뒤졌다.
everything but the kitchen sink,almost everything that one can think of,"For our camping trip, we [[packed everything but the kitchen sink]] to be prepared","While moving, they [[packed everything but the kitchen sink]], which was left for the new owners","For our camping trip, we packed everything but the kitchen sink to be prepared","While moving, they packed everything but the kitchen sink, which was left for the new owners",packed everything but the kitchen sink,"Miközben költöztek, mindent becsomagoltak, kivéve a konyhai mosogatót, amit az új tulajdonosokra hagytak.",주방 싱크대를 제외한 모든 것을 싸다.
face the music,receive punishment,"After making a mistake at work, [[they faced the music together]] and accepted the consequences","As the orchestra began to play, [[they faced the music together]] and enjoyed the performance","After making a mistake at work, they faced the music together and accepted the consequences","As the orchestra began to play, they faced the music together and enjoyed the performance",they faced the music together,"Amint az zenekar elkezdett játszani, együtt néztek szembe a zenével és élvezték az előadást.",그들은 함께 어려운 상황에 직면했다.
fall at first hurdle,to fail to overcome the first difficulty encountered,The new employee [[fell at the first hurdle]] when he failed to complete the initial task,The inexperienced horse rider [[fell at the first hurdle]] during the race,The new employee fell at the first hurdle when he failed to complete the initial task,The inexperienced horse rider fell at the first hurdle during the race,fell at the first hurdle,Az tapasztalatlan lovas az első akadálynál elesett a versenyen.,첫 번째 장애물에서 실패했다.
fall between the cracks,be ignored or unobserved,His request for a promotion [[fell between the cracks]] due to the company's restructuring,The small toy [[fell between the cracks]] of the wooden floor,His request for a promotion fell between the cracks due to the company's restructuring,The small toy fell between the cracks of the wooden floor,fell between the cracks,A kis játék a fa padló repedéseibe esett.,누락되다.
fall on his sword,to accept the consequences of an unsuccessful or wrong action,He decided [[to fall on his sword]] and take responsibility for the team's failure,"During the reenactment, he accidentally tripped and started [[to fall on his sword]]",He decided to fall on his sword and take responsibility for the team's failure,"During the reenactment, he accidentally tripped and started to fall on his sword",to fall on his sword,Az újrakezdés közben véletlenül megbotlott és elkezdett esni a kardjára.,그는 칼에 떨어지다.
fall on our feet,to succeed in doing something where there was a risk of failure,"Despite the challenges, we managed [[to fall on our feet]] and succeed","During the dance routine, we tripped and managed [[to fall on our feet]]","Despite the challenges, we managed to fall on our feet and succeed","During the dance routine, we tripped and managed to fall on our feet",to fall on our feet,"A táncrutin során megbotlottunk, de sikerült a lábunkra esni.",우리 발에 떨어지다.
fall out,to disagree with someone about something,[[They had a fall out]] over a disagreement about their business,"While climbing the tree, [[they had a fall out]] and landed on the ground",They had a fall out over a disagreement about their business,"While climbing the tree, they had a fall out and landed on the ground",They had a fall out,"Miközben felmásztak a fára, összevesztek és a földre estek.",그들은 다툼을 겪었다.
fan the flames,make a bad situation even worse,Their constant arguing only [[fanned the flames together]] and made the situation worse,They [[fanned the flames together]] to keep the campfire going,Their constant arguing only fanned the flames together and made the situation worse,They fanned the flames together to keep the campfire going,fanned the flames together,"Együtt lebegtették a lángokat, hogy égve tartsák a tábortüzet.",함께 불을 부채질했다.
feather in your cap,It means to have an achievement in your name.,Winning the championship would be [[a feather in your cap]],The hat you're wearing has [[a feather in your cap]] as a decoration,Winning the championship would be a feather in your cap,The hat you're wearing has a feather in your cap as a decoration,a feather in your cap,"Az a kalap, amit viselsz, tollal van díszítve a sapkádon.",당신의 모자에 깃털 하나
feather one's (own) nest,"If you say that you are feathering your own nest, you mean that you are working so hard to gather resources (money) to live a comfortable life in the future.",She was accused of [[feathering her own nest]] by taking bribes,The bird was [[feathering her own nest]] with soft materials to make it cozy,She was accused of feathering her own nest by taking bribes,The bird was feathering her own nest with soft materials to make it cozy,feathering her own nest,"A madár puha anyagokkal bélelte ki a saját fészkét, hogy otthonosabb legyen.",그녀는 자신의 둥지를 꾸미고 있다.
feel the pinch,experience financial hardship,"After losing his job, [[he started to feel the pinch]] financially","When the crab grabbed his finger, [[he started to feel the pinch]]","After losing his job, he started to feel the pinch financially","When the crab grabbed his finger, he started to feel the pinch",he started to feel the pinch,"Amikor a rák megragadta az ujját, elkezdte érezni a csípést.",그는 어려움을 느끼기 시작했다.
feet of clay,have a flaw or weakness most people are unaware of.,"Despite his confident demeanor, he [[had feet of clay]] when it came to public speaking",The statue [[had feet of clay]] as part of its unique design,"Despite his confident demeanor, he had feet of clay when it came to public speaking",The statue had feet of clay as part of its unique design,had feet of clay,"A szobornak agyaglábai voltak, mint része a sajátos tervezésének.",점토 발을 가졌다.
fiddle while Rome burns,to perform an inconsequential task or act irresponsibly in the midst of a disastrous event.,He [[fiddled while Rome burned]] by playing video games during the company crisis,The musician [[fiddled while Rome burned]] as he was unaware of the fire,He fiddled while Rome burned by playing video games during the company crisis,The musician fiddled while Rome burned as he was unaware of the fire,fiddled while Rome burned,"A zenész hegedült, miközben Róma égett, mivel nem volt tudatában a tűznek.",로마가 타는 동안 바이올린을 연주했다.
fill the bill,be exactly suitable for a particular situation,The new employee [[filled the bill perfectly]] for the position we needed,The waiter [[filled the bill perfectly]] with all the items we ordered,The new employee filled the bill perfectly for the position we needed,The waiter filled the bill perfectly with all the items we ordered,filled the bill perfectly,A pincér tökéletesen kitöltötte a számlát az összes rendelt tétellel.,완벽하게 요구사항을 충족시켰습니다.
