,,,,,,Name:,Jaechan Lee,
,,lit,The vandals [[burned bridges with them]] as they escaped the village,무법자들이 마을을 빠져나가며 [[그들간의 다리를 불태웠습니다]],,FALSE,FALSE,FALSE
burn fingers,to bear an unpleasant result of an action that has been taken in the past,fig,[[They burned their fingers]] by investing in a risky business,그들은 위험한 사업에 투자하여 [[제대로 혼쭐이 났습니다]],,FALSE,FALSE,FALSE
,,lit,[[They burned their fingers]] while trying to grab a hot pan,그들은 뜨거운 프라이팬을 잡으려고 하자 [[손가락을 데었습니다]],,FALSE,FALSE,FALSE
burn the candle at both ends,to exhaust someone's energies or resources by leading a hectic life.,fig,"Working two jobs and studying, she was [[burning the candle at both ends]]",겸업을 하며 공부하면서 그녀는 [[몹시 지쳐갔습니다]],,FALSE,FALSE,FALSE
,,lit,"During the experiment, they were [[burning the candle at both ends]] to observe the melting rate",실험 두 중 그들은 용해 속도를 관찰하기 위해 [[양 끝에서 촛불을 태웠습니다]],,FALSE,FALSE,FALSE
bury head in the sand,hide from the truth,fig,They [[buried their heads in the sand]] when confronted with the company's financial problems,그들은 회사의 재정 문제를 직면하자 [[사실을 외면하였습니다]],,FALSE,FALSE,FALSE
,,lit,The ostriches [[buried their heads in the sand]] to search for food,타조들은 식량을 찾기 위해 [[모래 속에 머리를 파묻었습니다]],,FALSE,FALSE,FALSE
butter up,to flatter someone so as to get something in return from them,fig,He tried [[to butter up the boss]] by complimenting her outfit,그는 그녀의 옷을 칭찬함으로써 [[상사에게 아첨하려고 했습니다]],,FALSE,FALSE,FALSE
,,lit,It was her job [[to butter up the boss]]'s toast every morning,그녀의 임무는 매일 아침 [[상사의]] 토스트에 [[버터를 바르는 것이었습니다]],,FALSE,FALSE,FALSE
call a spade a spade,this phrase means to say something the way it is,fig,[[She called a spade a spade]] when she confronted her friend about her dishonesty,그녀가 친구의 부정직함에 관해 [[직절적으로 말했습니다]],,FALSE,FALSE,FALSE
,,lit,"While playing cards, [[she called a spade a spade]] when she identified the suit correctly",카드 게임 도중 그녀는 무늬를 정확하게 알아보며 [[스페이드를 스페이드라고 지칭했습니다]],,FALSE,FALSE,FALSE
can of worms,"to get into something that is messy, has problems and is unwanted",fig,"By asking about his past, she inadvertently [[opened a can of worms]] in their conversation",대화 도중 그의 과거를 캐물음으로써 그녀는 무심코 [[곤란한 상황에 빠졌습니다]],,FALSE,FALSE,FALSE
,,lit,The fisherman [[opened a can of worms]] to bait his hook,낚시꾼이 낚시바늘에 미끼를 달기 위해 [[지렁이로 가득 찬 통을 열었습니다]],,FALSE,FALSE,FALSE
card up sleeve,to have a secret advantage that is suddenly revealed to change the game,fig,"During the negotiation, he [[had a card up his sleeve]] that gave him an advantage",협상 도중 그는 자신에게 유리한 [[방안을 숨기고 있었습니다]],,FALSE,FALSE,FALSE
,,lit,"As a magician, he cleverly [[had a card up his sleeve]] for his next trick",마술사로서 그는 자신의 다음 트릭을 위해 교묘하게 [[카드를 소매에 감추고 있었습니다]],,FALSE,FALSE,FALSE
carry the torch for,to have strong feelings for someone with whom you do not or cannot have a relationship,fig,"He's been [[carrying the torch for her]] since high school, but she never noticed",그는 고등학교 이후 [[그녀를 짝사랑해왔지만]] 그녀는 알아채지 못했습니다,,FALSE,FALSE,FALSE
,,lit,"During the relay race, he was [[carrying the torch for her]] until it was her turn to run",릴레이 경기 도중 그는 그녀가 뛸 차례가 될 때 까지 [[횃불 봉송을 짊어졌다]],,FALSE,FALSE,FALSE
cash in,to earn out of something in big amounts,fig,He decided to [[cash in on the opportunity]] and invest in the startup,,,TRUE,FALSE,TRUE
,,lit,"At the casino, she decided to [[cash in on the opportunity]] and exchange her chips for money",,,TRUE,FALSE,TRUE
castles in the air,thinking of some impossible task,fig,He spent his days [[building castles in the air]] instead of focusing on his job,그는 일에 집중하기보다는 [[망상을 하는 데]] 시간을 보냈습니다,,FALSE,FALSE,FALSE
,,lit,The artist created a stunning installation of [[building castles in the air]] using lightweight materials,예술가는 가벼운 소재를 활용하여 [[공중에 성을 짓는]] 아름다운 건축을 창조해냈습니다,,FALSE,FALSE,FALSE
catch napping,"surprise, take unawares.",fig,The surprise quiz [[caught him napping]] and he couldn't answer any questions,깜짝 퀴즈가 [[그를 놀래켜서]] 그는 아무런 질문에도 대답할 수 없었습니다,,FALSE,FALSE,FALSE
,,lit,I walked into the room and [[caught him napping]] on the couch,나는 방에 들어가서 소파에서 [[낮잠을 자는 그를 발견했습니다]],,FALSE,FALSE,FALSE
catch up,"to get to the same level, standard, or status as something or someone",fig,I need [[to catch up with her]] to discuss the latest news,,,TRUE,TRUE,FALSE
,,lit,I had to run faster [[to catch up with her]] during the race,,,TRUE,TRUE,FALSE
chapter and verse,verbatim; word for word details.,fig,"When asked about the new policy, she [[gave them chapter and verse]] on the company's regulations",새로운 정책에 대해 물어보자 그녀는 그들에게 회사의 규정에 대해 [[상세하게 설명해주었습니다]],,FALSE,FALSE,FALSE
,,lit,The priest [[gave them chapter and verse]] from the Bible during the sermon,성직자는 설교 도중 그들에게 성경의 [[구절을 전달하였습니다]],,FALSE,FALSE,FALSE
child's play,an informal expression meaning something that is easy to do,fig,Solving the puzzle [[it was child's play]] for the experienced detective,,,TRUE,TRUE,FALSE
,,lit,The playground equipment [[it was child's play]] for the kids to enjoy,,,TRUE,TRUE,FALSE
chill wind,to encounter the problems or trouble,fig,"When the news of the layoffs arrived, [[a chill wind blew]] through the office",,,TRUE,TRUE,FALSE
,,lit,"As we walked through the forest, [[a chill wind blew]] and made us shiver",,,TRUE,TRUE,FALSE
chink in armour,a susceptible or vulnerable area.,fig,"After analyzing their strategy, we [[found a chink in their armour]] that we could exploit",그들의 전략을 분석한 후 우리는 그들에게서 우리가 이용할 수 있는 [[약점을 발견했습니다]],,FALSE,FALSE,FALSE
,,lit,"While examining the knight's suit, he [[found a chink in their armour]] that needed repair",기사의 갑옷을 조사하다가 그는 수리가 필요한 [[갑옷 사이의 틈을 발견했습니다]],,FALSE,FALSE,FALSE
choke up,make a person become overemotional and speechless,fig,"Hearing the sad news, [[he started to choke up]] and could n't speak",,,TRUE,TRUE,FALSE
,,lit,"While eating too quickly, [[he started to choke up]] on a piece of food",,,TRUE,TRUE,FALSE
clamp down,suppress or prevent something in an oppressive or harsh manner,fig,The principal decided [[to clamp down on the situation]] by enforcing stricter rules,,,TRUE,FALSE,TRUE
,,lit,The mechanic used a tool [[to clamp down on the situation]] and secure the loose parts,,,TRUE,FALSE,TRUE
clean slate,to wipe the past out and begin afresh,fig,"After apologizing, they decided [[to start with a clean slate]] and rebuild their friendship",사과를 주고받은 후 그들은  [[과거를 잊고 새출발해서]] 서로간의 우정을 재구축하기로 결심했습니다,,FALSE,FALSE,FALSE
,,lit,The artist decided [[to start with a clean slate]] by wiping off the chalkboard,예술가는 칠판을 지우며 [[깨끗한 석면에 다시 시작하기로]] 했습니다,,FALSE,FALSE,FALSE
clean sweep,an irresistible victory,fig,The team [[made a clean sweep]] by winning all the matches in the tournament,팀은 토너먼트의 모든 경기에서 승리하며 [[압승을 거두었습니다]],,FALSE,FALSE,FALSE
,,lit,The janitor [[made a clean sweep]] of the classroom floor,청소부는 교실 바닥을 [[깨끗하게 청소했습니다]],,FALSE,FALSE,FALSE
clear the air,get rid of all doubts and negative feelings,fig,"After the argument, [[we cleared the air with her]] by discussing our feelings",논쟁 이후 우리는 서로의 감정을 털어놓으면서 [[오해를 풀고 의혹을 없앴습니다]],,FALSE,FALSE,FALSE
,,lit,[[We cleared the air with her]] by opening the windows to let the smoke out,우리는 창문을 열고 연기를 내보내어 [[그녀와의 공기를 맑게 했습니다]],,FALSE,FALSE,FALSE
clear the decks,get ready for action.,fig,[[We cleared the decks for the event]] by finishing all our pending tasks,우리는 보류 중이었던 모든 업무를 완수하여 [[활동에 대비하였습니다]],,FALSE,FALSE,FALSE
,,lit,[[We cleared the decks for the event]] by removing all the furniture from the patio,우리는 파티오의 가구들을 정리함으로써 [[이벤트를 위해 갑판을 비웠습니다]],,FALSE,FALSE,FALSE
close call,a narrow escape from disaster,fig,He [[had a close call]] when he narrowly avoided a car accident,자동차 사고를 간신히 피했을 때 그는 [[긴박한 순간을 겪었습니다]],,FALSE,FALSE,FALSE
,,lit,The two phones [[had a close call]] when they were placed side by side,나란히 놓인 두 개의 전화기는 [[가까운 거리에서 전화가 연결되었습니다]],,FALSE,FALSE,FALSE
cloud on the horizon,"a problem or difficulty that is predictable, or seems likely to arise in the future",fig,"Despite the success of the project, there was [[a cloud on the horizon]] in the form of budget cuts",프로젝트의 성공에도 불구하고 예산 삭감이라는 [[골치 아픈 문제]]가 형태를 드러냈다,,FALSE,FALSE,FALSE
,,lit,"As we looked out to sea, we noticed [[a cloud on the horizon]] signaling an approaching storm",우리가 바다를 바라보았을 때 [[지평선 상에서]] 폭풍을 예고하는 [[구름을]] 눈치챘습니다,,FALSE,FALSE,FALSE
coast is clear,there is no danger in sight or that nobody can see you,fig,"After the security guard left, we knew [[the coast is clear]] to enter the building","보안 요원이 떠난 후, 우리는 건물에 진입해도 [[들킬 위험이 없다는 사실]]을 알게되었습니다",,FALSE,FALSE,FALSE
,,lit,"Looking through the binoculars, the sailor confirmed that [[the coast is clear]] of any obstacles","망원경을 통해 바라보았을 때, 선원은 [[해안에]] 어떤 장애물도 [[없음]]을 확인했습니다",,FALSE,FALSE,FALSE
coin money,make a great deal of money easily or very quickly.,fig,Their successful business venture had them [[coining money together]] in no time,,,TRUE,FALSE,TRUE
,,lit,"As mint workers, they were [[coining money together]] at the factory",,,TRUE,FALSE,TRUE
cold feet,loss of courage,fig,[[She got cold feet]] just before her big presentation,[[그녀는]] 중대한 발표 직전에 [[주늑들어 있었다]],,FALSE,FALSE,FALSE
,,lit,"After walking in the snow without proper shoes, [[she got cold feet]]",마땅한 신발 없이 눈밭을 걸어다니다보니 [[그녀는 발이 시렸습니다]],,FALSE,FALSE,FALSE
cold turkey,in a unexpected and sudden way,fig,He quit smoking by [[going cold turkey]] without any assistance,그는 어떠한 도움도 없이 [[갑자기 끊는 방식으로]] 흡연을 그만두었습니다,,FALSE,FALSE,FALSE
,,lit,"She was [[going cold turkey]] for her sandwich, but decided to add some cheese",그녀는 샌드위치에 [[냉동 칠면조 고기를 넣으려다가]] 거기에 치즈를 추가하기로 결정했습니다 ,,FALSE,FALSE,FALSE
come across,to meet someone,fig,"While researching, I [[came across the old book]] that provided valuable information",연구하는 도중 나는 귀중한 정보가 담긴 [[오래된 책을 읽게 되었습니다]],,FALSE,FALSE,FALSE
,,lit,"Walking through the library, I accidentally stepped on and [[came across the old book]] lying on the floor",도서관을 거닐다가 나는 바닥에 놓인 [[오래된 책을]] 실수로 밝고 [[지나갔습니다]],,FALSE,FALSE,FALSE
come clean,to make a disclosure,fig,"After hiding the truth for so long, he [[decided to come clean]] about his past",그는 오랫동안 진실을 숨긴 이후 과거에 대해서 [[솔직해지기로 결정했습니다]],,FALSE,FALSE,FALSE
,,lit,"After playing in the mud, the kids [[decided to come clean]] and took a bath",진흙탕에서 놀던 아이들은 [[깨끗이 목욕을 하기로 결정했습니다]],,FALSE,FALSE,FALSE
come down with,to have (usually a disease),fig,He [[came down with something]] after being exposed to the cold weather,그는 추운 날씨에 노출된 이후로 [[어떤 병에 걸렸습니다]],,FALSE,FALSE,FALSE
,,lit,The kite [[came down with something]] tangled in its strings,연이 줄에 [[무언가가]] 걸린 채로 [[내려왔습니다]],,FALSE,FALSE,FALSE
come full circle,return to an earlier position or decision.,fig,"After years of exploring different career paths, she [[came full circle]] and returned to her passion for teaching",그녀는 여러가지 직업을 경험한 후 [[제자리로 돌아와서]] 다시 가르치는 열정을 발휘했습니다,,FALSE,FALSE,FALSE
,,lit,The hiker [[came full circle]] after walking around the entire circumference of the lake,등산객은 호수 전체를 돌아다니며 [[원 한바퀴를 돌게 되었습니다]],,FALSE,FALSE,FALSE
come out swinging,be confrontational,fig,"After the criticism, [[he came out swinging]] with a strong rebuttal",비판을 받은 [[그는]] 강하게 반박하며 [[시비를 걸었습니다]],,FALSE,FALSE,FALSE
,,lit,"As soon as the boxing match started, [[he came out swinging]] at his opponent",복싱 경기가 시작하자마자 [[그는]] 상대를 향해 주먹을 [[휘두르며 나왔습니다]],,FALSE,FALSE,FALSE
cook his goose,to spoil someone's chances of success,fig,"When he was caught cheating, his teacher [[cooked his goose]] by failing him",그가 속임수를 쓰는 것이 들어나자 그의 선생님은는 그에게 불합격을 줌으로써 [[그가 성공할 기회를 박탈하였습니다]],,FALSE,FALSE,FALSE
,,lit,"For dinner, the chef [[cooked his goose]] with a delicious orange sauce",저녁 식사에 셰프가 맛있는 오렌지 소스로 [[거위를 요리했습니다]],,FALSE,FALSE,FALSE
cool heels,to wait or take rest,fig,They [[were cooling their heels]] in the waiting room before the interview,그들은 인터뷰 전 대기실에서 [[휴식을 취하고 있었습니다]],,FALSE,FALSE,FALSE
,,lit,"After walking on hot sand, they [[were cooling their heels]] in the ocean water",뜨거운 모래 위를 걷고 난 후 그들은 바닷물에 [[그들의 발을 식히고 있었습니다]] ,,FALSE,FALSE,FALSE
count chicken,make plans based on events that may or may not happen,fig,He [[was counting chickens before they hatch]] when he started planning his victory party,그는 승리 파티 계획을 세우며 [[일어날지도 모르는 일에 속단했습니다]],,FALSE,FALSE,FALSE
,,lit,The farmer [[was counting chickens before they hatch]] by estimating the number of eggs that would become chicks,농부는 달걀 중 몇개가 병아리가 될 것인지 추측하며 [[부화가 일어나기 전부터 닭을 세고 있었습니다]],,FALSE,FALSE,FALSE
crack the whip,make someone work harder by asserting power or authority,fig,The manager [[cracked the whip on the team]] to meet the deadline,,,TRUE,TRUE,FALSE
,,lit,The circus performer [[cracked the whip on the team]] of horses to start the show,,,TRUE,TRUE,FALSE
cross swords,to fight with another person physically or verbally.,fig,"During the heated debate, she [[crossed swords with him]] over their differing opinions",열띈 토론 도중 그녀는 그와 대립하는 의견 때문에 [[격론을 벌이게 되었습니다]],,FALSE,FALSE,FALSE
,,lit,"At the fencing tournament, they [[crossed swords with him]] in a thrilling match",펜싱 토너먼트에서 그들은 그와 흥미진진한 경기에서 [[검을 맞대고 싸웠습니다]],,FALSE,FALSE,FALSE
cross the bridge,to delay worrying about something that might not happen anyway,fig,They [[crossed the bridge together]] when they decided to face their problems as a team,그들은 그들 각각의 문제를 [[나중에]] 같은 팀으로서 [[해결하기로 하였다]],,FALSE,FALSE,FALSE
,,lit,The two friends [[crossed the bridge together]] while enjoying the scenic view,두 친구는 경치를 즐기며 [[함께 다리를 건넜다]],,FALSE,FALSE,FALSE
cross the line,behave in a way that is not acceptable,fig,[[He crossed the line with her]] when he made that inappropriate comment,,,TRUE,TRUE,FALSE
,,lit,"During the race, [[he crossed the line with her]] as they finished together",,,TRUE,TRUE,FALSE
crush,feel love-sick for someone.,fig,She couldn't help but [[have a crush]] on the charming new coworker,그녀는 매력이 넘치는 새 동료에게 [[사랑에 빠지지]] 않을 수가 없었습니다,,FALSE,FALSE,FALSE
,,lit,The machine was designed to [[have a crush]] on the aluminum cans for recycling,이 기계는 알루미늄 캔을 [[압축하여]] 재활용하기 위한 목적으로 설계되었습니다,,FALSE,FALSE,FALSE
cry over spilt milk,to be upset about things that have already been done,fig,There's no point in [[crying over spilt milk]] now that the deadline has passed,이제 마감 기간이 끝났으니 [[이미 일어난 일을 한탄해]] 봤자 소용없습니다,,FALSE,FALSE,FALSE
,,lit,The toddler was [[crying over spilt milk]] on the kitchen floor,아이는 부엌 바닥에 [[쏟아진 우유를 보고 울었습니다]],,FALSE,FALSE,FALSE
cup of tea,to like something,fig,"Skydiving is [[not my cup of tea]], I prefer calmer activities","스카이 다이빙은 [[제 취향에는 맞지 않습니다]], 저는 평온한 활동을 더 선호합니다",,FALSE,FALSE,FALSE
,,lit,"This green tea is [[not my cup of tea]], I ordered black tea","이 녹차는 제가 [[차]]가 아닙니다, 전 홍차를 주문했습니다",,FALSE,FALSE,FALSE
cut and dried,ready-made,fig,"With her impressive qualifications, it was [[a cut and dried decision]] to hire her",그녀의 뛰어난 자격 덕에 그녀를 고용하는 것은 [[변경 불가능한 결정]]이었습니다,,FALSE,FALSE,FALSE
,,lit,The process of making fruit leather involves [[a cut and dried decision]] with the fruit,과일 가죽을 만드는 과정에는 과일을 [[잘라서 말리는 결정]]이 포함되어 있습니다,,FALSE,FALSE,FALSE
cut coat according to cloth,"adapt to one's circumstances, make sure one's plans are appropriate to one's resources.",fig,They [[cut their coat according to their cloth]] by living within their means,그들은 그들의 수입에 맞게 살아가며 [[자신의 상황에 맞게 행동했습니다]],,FALSE,FALSE,FALSE
,,lit,The tailor [[cut their coat according to their cloth]] to avoid wasting fabric,재단사는 천을 낭비하지 않기 위해서 [[옷을 자신의 천 크기에 맞게 잘랐습니다]],,FALSE,FALSE,FALSE
cut corners,"economise on time, money, materials or effort, perhaps unwisely",fig,"To save time and money, they [[cut corners on the project]] by using cheaper materials",시간과 돈을 절약하기 위해 그들은 더 싼 재료를 사용하여 [[프로젝트의 절차를 무시하고 지름길을 택했습니다]],,FALSE,FALSE,FALSE
,,lit,The carpenter [[cut corners on the project]] to create a rounded shape,목수는 둥근 모양을 만들기 위해서 작업 중인 [[프로젝트의 모서리를 깎았습니다]],,FALSE,FALSE,FALSE
cut the cord,to end a connection with someone,fig,He decided to [[cut the cord with her]] and end their toxic relationship,그는 그녀와의 [[연을 끊고]] 불량한 관계에 끝을 가져왔습니다,,FALSE,FALSE,FALSE
,,lit,The nurse [[cut the cord with her]] after the baby was born,아기가 태어난 후 간호사는 그녀와의 [[탯줄을 끊었습니다]],,FALSE,FALSE,FALSE
cut the mustard,to succeed,fig,"Despite his efforts, he [[couldn't cut the mustard]] in the competitive sales environment",그의 노력에도 불구하고 그는 경쟁적인 판매 환경에서 [[충분한 성과를 거두지 못했습니다]],,FALSE,FALSE,FALSE
,,lit,"With a dull knife, she [[couldn't cut the mustard]] for her sandwich",무딘 칼로는 그녀는 그녀의 샌드위치 속 [[겨자를 자르지 못했습니다]],,FALSE,FALSE,FALSE
cut your own throat,to do something that will be the cause of your own failure or ruin your chances in the future,fig,"By revealing company secrets, he [[cut his own throat]] and ruined his career",회사 비밀을 공개함으로써 그는 [[자멸을 초래했고]] 자신의 커리어를 망쳤습니다,,FALSE,FALSE,FALSE
,,lit,"While shaving, he accidentally [[cut his own throat]] with the razor",면도를 하던 그는 실수로 면도날로 [[자신의 목을 베었습니다]],,FALSE,FALSE,FALSE
dance to tune,to do what someone else forces you to do,fig,He always [[danced to the tune]] of his boss's demands,그는 항상 상사의 [[비위를 맞춰 행동했습니다]],,FALSE,FALSE,FALSE
,,lit,"At the party, they [[danced to the tune]] of their favorite song",파티에서 그들은 자신들이 좋아하는 [[노래에 맞춰 춤을 췄습니다]],,FALSE,FALSE,FALSE
dancing on their grave,outlive or outlast someone and celebrate their demise,fig,He was so happy about his rival's failure that he was practically [[dancing on their grave]],,,TRUE,FALSE,TRUE
,,lit,The disrespectful teenagers were caught [[dancing on their grave]] in the cemetery,,,TRUE,FALSE,TRUE
dead duck,a project or scheme which has been abandoned or is certain to fail,fig,"Without any support, he was [[a dead duck in the situation]] and couldn't succeed",어떠한 지원도 없이 그 상황에서 그는 [[가망 없는 실패작]]이었고 성공은 불가능했습니다,,FALSE,FALSE,FALSE
,,lit,The hunter shot down [[a dead duck in the situation]] and retrieved it,사냥꾼은 그 상황에서 죽은 오리를 쏘아 떨어뜨리고 이를 회수했습니다,,TRUE,FALSE,FALSE
dead in the water,unable to produce movement,fig,The project was [[found it dead in the water]] after the funding was cut,,,TRUE,FALSE,TRUE
,,lit,The fisherman [[found it dead in the water]] while he was out on the lake,,,TRUE,FALSE,TRUE
deep down,felt strongly and often hidden from other people,fig,He knew [[deep down in the ocean]] of his heart that he had made the right decision,그는 그의 [[마음 깊이]] 스스로가 올바른 결정을 내렸음을 알고 있었습니다,,FALSE,FALSE,FALSE
,,lit,The divers explored the shipwreck [[deep down in the ocean]],잠수부들은 [[바다 깊숙한 곳에 있는]] 난파선을 탐험했습니다,,FALSE,FALSE,FALSE
deliver the goods,do what is required,fig,The new employee [[delivered the goods on time]] by meeting all the project deadlines,새로운 직원은 모든 프로젝트 마감일을 준수하여 [[해야할 일을 했습니다]],,FALSE,FALSE,FALSE
,,lit,The courier [[delivered the goods on time]] to the customer's doorstep,택배 기사는 [[시간에 맞춰 상품을]] 고객의 문앞까지 배송했습니다,,FALSE,FALSE,FALSE
die in harness,to expire while working,fig,"The dedicated employee [[died in harness]], working tirelessly until the end",열심히 일하던 직원은 임종까지 지치지 않고 일하다가 [[순직하였습니다]],,FALSE,FALSE,FALSE
,,lit,The poor horse [[died in harness]] while pulling the heavy load,불쌍한 말은 무거운 짐을 끌다가 [[마구에서 죽었습니다]],,FALSE,FALSE,FALSE
dig one's own grave,"to do something that has negative consequences for you, even though these consequences can be easily seen.",fig,"By spreading false rumors about the boss, he [[was digging his own grave]] at work",,,TRUE,TRUE,FALSE
,,lit,"As a cemetery worker, he [[was digging his own grave]] to prepare for his eventual burial",,,TRUE,TRUE,FALSE
do the trick,successfully achieve a result,fig,"Adding a little more salt to the soup, [[that should do the trick]]",스프에 조금 더 소금을 넣으면 [[그게 딱 알맞습니다]],,FALSE,FALSE,FALSE
,,lit,"Performing a magic act, the magician said '[[that should do the trick]]' as he pulled a rabbit from his hat",마술쇼에서 마술사는 자신의 모자에서 토끼를 꺼내며 [[트릭을 해냈다]]고 말했습니다,,FALSE,FALSE,FALSE
dodge a bullet,to narrowly avoid a very serious problem or a disaster,fig,"When the company went bankrupt, I realized I [[dodged a bullet there]] by not investing",회사가 파산하자 나는 투자하지 않아서 [[최악을 피했다]]는 것을 깨달았습니다,,FALSE,FALSE,FALSE
,,lit,"During the paintball game, he [[dodged a bullet there]] by quickly ducking behind a barrier","페인트볼 게임 도중, 그는 빠르게 장애물 뒤로 숨어서 [[총알을 피했습니다]]",,FALSE,FALSE,FALSE
does exactly what it says on the tin,someone or something is exactly as they seem,fig,The new software [[does exactly what it says on the tin]] and is very user-friendly,새로운 소프트웨어는 [[설명에 있는 그대로 동작하며]] 매우 사용자 친화적입니다,,FALSE,FALSE,FALSE
,,lit,The paint [[does exactly what it says on the tin]] and dries in just 30 minutes,페인트는 페인트 [[통에 적힌 대로]] 단 30분만에 마릅니다,,FALSE,FALSE,FALSE
double-edged sword,something that could either help you or hurt you,fig,"Having a high-profile job can be [[a double-edged sword in this situation]], as it brings both prestige and stress",,,TRUE,TRUE,FALSE
,,lit,The knight wielded [[a double-edged sword in this situation]] to defend himself against multiple attackers,,,TRUE,TRUE,FALSE
down to earth,"decent, simple, realistic",fig,"Despite her fame, she remained [[a down-to-earth person]] who was easy to talk to",그녀의 명성에도 불구하고 그녀는 말 걸기가 쉬운 [[실제적이고 현실적인]] 사람으로 남았습니다,,FALSE,FALSE,FALSE
,,lit,"The astronaut, once back from space, became [[a down-to-earth person]] again",한때 우주에서 돌아온 우주 비행사는 [[지구로 다시 돌아온 사람]]입니다,,FALSE,FALSE,FALSE
draw a blank,to get no response from someone,fig,"When asked about the details of the project, he [[was drawing a blank]]",프로젝트의 세부사항에 대해 물었을 때 그는 [[아무것도 기억해내지 못했습니다]],,FALSE,FALSE,FALSE
,,lit,The artist [[was drawing a blank]] canvas to prepare for her next masterpiece,화가는 그녀의 다음 걸작을 준비하기 위해 [[빈]] 캔버스를 [[그렸습니다]],,FALSE,FALSE,FALSE
drive a wedge between,to damage the good relationship that two people or groups of people have,fig,The disagreement started [[to drive a wedge between them]] and their friendship,의견 충돌은 그들간의 [[사이]]와 우정을 [[틀어지게 하기]] 시작했습니다,,FALSE,FALSE,FALSE
,,lit,The lumberjack used a mallet [[to drive a wedge between them]] and split the log,나무꾼은 나무 망치로 [[그 사이에 쐐기를 박아서]] 통나무를 쪼갰습니다,,FALSE,FALSE,FALSE
drive up the wall,to make someone angry or irritated,fig,His constant humming is [[driving me up the wall]],그의 끊임없는 흥얼거림이 [[제가 이성을 잃고 미치도록 만들고]] 있습니다,,FALSE,FALSE,FALSE
,,lit,The remote-controlled car was [[driving me up the wall]] as it climbed vertically,원격 제어 자동차는 수직으로 올라가며 [[나를 벽 위로 태워주고]] 있었습니다,,FALSE,FALSE,FALSE
drop a bombshell,"make an unexpected, startling or disturbing announcement",fig,The CEO [[dropped a bombshell during the meeting]] when he announced the company's bankruptcy,,,TRUE,TRUE,FALSE
,,lit,The clumsy actor accidentally [[dropped a bombshell during the meeting]] while filming a war scene,,,TRUE,TRUE,FALSE
drop by,an informal visit,fig,I'll [[drop by the store]] to see if they have any new books,나는 새로운 책이 있는지 확인하기 위해 [[상점에 들러보겠습니다]],,FALSE,FALSE,FALSE
,,lit,The clumsy customer accidentally let a jar [[drop by the store]] entrance,서투른 고객은 실수로 [[상점]] 입구에서 항아리를 [[떨어뜨렸습니다]],,FALSE,FALSE,FALSE
eat him alive,to criticize someone severely because you are angry with them,fig,His lack of preparation will [[eat him alive in the competition]] against more experienced opponents,그의 준비 부족은 그보다 경험이 많은 상대와의 경쟁에서 [[그를 작살내고 완패시킬]] 것입니다,,FALSE,FALSE,FALSE
,,lit,The carnivorous insects would [[eat him alive in the competition]] if he didn't wear protective gear,그가 보호 장비를 입지 않으면 육식성 곤충들이 그들간의 경쟁에서 [[그를 산채로 먹을 것입니다]],,FALSE,FALSE,FALSE
elephant in the room,"a difficult, controversial, or obvious problem that no one wants to talk about or mention because the subject is problematic, uncomfortable, or awkward",fig,"During the family meeting, it was time [[to address the elephant in the room]] and discuss the ongoing conflict",,,TRUE,FALSE,TRUE
,,lit,"At the wildlife conservation conference, the speaker decided [[to address the elephant in the room]] and talk about habitat preservation",,,TRUE,FALSE,TRUE
end of story,there is  nothing more to add to the matter under discussion,fig,"I told him I wasn't interested, and [[that's the end of the story]]",,,TRUE,FALSE,FALSE
,,lit,"She closed the book and said, '[[that's the end of the story]]'",,,TRUE,FALSE,FALSE
every nook and cranny,to look for something everywhere,fig,"To find the perfect gift, [[they searched every nook and cranny]] of the shopping mall",,,TRUE,FALSE,FALSE
,,lit,"During the deep cleaning, [[they searched every nook and cranny]] of the house for dust and dirt",,,TRUE,FALSE,FALSE
everything but the kitchen sink,almost everything that one can think of,fig,"For our camping trip, we [[packed everything but the kitchen sink]] to be prepared",,,TRUE,FALSE,FALSE
,,lit,"While moving, they [[packed everything but the kitchen sink]], which was left for the new owners",,,TRUE,FALSE,FALSE
face the music,receive punishment,fig,"After making a mistake at work, [[they faced the music together]] and accepted the consequences",,,TRUE,FALSE,FALSE
,,lit,"As the orchestra began to play, [[they faced the music together]] and enjoyed the performance",,,TRUE,FALSE,FALSE
fall at first hurdle,to fail to overcome the first difficulty encountered,fig,The new employee [[fell at the first hurdle]] when he failed to complete the initial task,,,TRUE,FALSE,FALSE
,,lit,The inexperienced horse rider [[fell at the first hurdle]] during the race,,,TRUE,FALSE,FALSE
fall between the cracks,be ignored or unobserved,fig,His request for a promotion [[fell between the cracks]] due to the company's restructuring,,,TRUE,FALSE,FALSE
,,lit,The small toy [[fell between the cracks]] of the wooden floor,,,TRUE,FALSE,FALSE
fall on his sword,to accept the consequences of an unsuccessful or wrong action,fig,He decided [[to fall on his sword]] and take responsibility for the team's failure,,,TRUE,FALSE,FALSE
,,lit,"During the reenactment, he accidentally tripped and started [[to fall on his sword]]",,,TRUE,FALSE,FALSE
fall on our feet,to succeed in doing something where there was a risk of failure,fig,"Despite the challenges, we managed [[to fall on our feet]] and succeed",,,TRUE,FALSE,FALSE
,,lit,"During the dance routine, we tripped and managed [[to fall on our feet]]",,,TRUE,FALSE,FALSE
fall out,to disagree with someone about something,fig,[[They had a fall out]] over a disagreement about their business,,,TRUE,FALSE,FALSE
