idiom,freq,meaning,pattern
drive [pron] up [pron] wall,28,annoy someone to the point of frustration.,"drive [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} up [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} wall"
young at heart,40,"having a youthful outlook and enthusiasm, regardless of age.",young at heart
fall on deaf ears,112,be ignored or not taken seriously.,fall on deaf ears
sail close to [pron] wind,2,"take risks, act dangerously, or do something that is close to the edge of what is acceptable.","sail close to [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} wind"
new arrival,1467,a person or thing that has recently arrived or been introduced.,new arrival
wild-goose chase,221,a futile search for something that is impossible to find.,wild-goose chase
play safe,49,avoid taking risks or making decisions that could have negative consequences.,play safe
break [pron] ice,449,to make someone feel more comfortable in a social situation by starting a conversation.,"break [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} ice"
pulling [pron] leg,879,teasing someone in a playful way.,"pulling [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} leg"
miss [pron] boat,26,fail to take advantage of an opportunity.,"miss [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} boat"
war of words,66,"a heated argument or disagreement between two people or groups, usually involving verbal insults or criticism.",war of words
war of nerves,13,a situation in which two people or groups try to gain an advantage over each other by using psychological tactics.,war of nerves
wag [pron] dog,5,manipulate someone to do something for one's own benefit.,"wag [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} dog"
young blood,160,"new, young people who bring fresh ideas and energy to a company or organization.",young blood
red letter day,6,"a special or important day, usually one that is remembered or celebrated.",red letter day
perfect pitch,144,the ability to accurately identify or reproduce a given musical note without the use of an external reference.,perfect pitch
beyond [pron] wildest dreams,239,far better than what was expected or hoped for.,"beyond [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} wildest dreams"
quality time,697,time spent with someone that is focused on creating a strong bond and connection.,quality time
be sick and tired of,6,be extremely annoyed or frustrated with something.,be sick and tired of
inside job,200,a crime or other misdeed committed by someone within an organization or group.,inside job
jack of all trades,53,someone who is competent in many different skills or activities.,jack of all trades
in the cold light of day,51,when looking at a situation objectively and without emotion.,in the cold light of day
come clean,1658,"to confess the truth, especially after having lied or kept something hidden.",come clean
green with envy,143,feeling very jealous of someone else's success or possessions.,green with envy
date rape,205,a form of sexual assault in which the perpetrator is someone the victim is in a romantic relationship with or is dating.,date rape
come hell or high water,250,no matter what obstacles or difficulties arise.,come hell or high water
a foot in the door,55,a way to get a start in a particular field or to gain access to a particular opportunity.,a foot in the door
in the blink of an eye,2013,"very quickly, almost instantaneously.",in the blink of an eye
daily grind,128,"the routine of everyday life, especially when it is tedious and monotonous.",daily grind
wine and dine,129,to treat someone to a luxurious meal and drinks in order to impress them.,wine and dine
make waves,121,cause trouble or disruption.,make waves
dead ringer,263,an exact duplicate or copy of something.,dead ringer
chicken feed,68,"a small amount of money, usually considered insignificant.",chicken feed
love child,311,a child born out of wedlock.,love child
actions speak louder than words,105,what someone does is more important than what they say.,actions speak louder than words
first come first served,9,the people who arrive first will be served first.,first come first served
get over [pron],13737,stop worrying or dwelling on something; move on.,"get over [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3}"
bank on,472,rely on something or someone to provide a desired outcome.,bank on
be on cloud nine,10,be extremely happy and content.,be on cloud nine
[pron] man of few words,337,someone who speaks very little and is not very talkative.,"[a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} man of few words"
about face,213,a sudden and complete change of opinion or direction.,about face
make [pron] mouth water,84,make someone feel excited or eager for something.,"make [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} mouth water"
pull [pron] plug,344,end or stop something abruptly.,"pull [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} plug"
not all there,118,not mentally present or aware; not thinking clearly.,not all there
watch [pron] mouth,822,"be careful what one says, as it could have unintended consequences.","watch [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} mouth"
work [pron] fingers to [pron] bone,16,work extremely hard and exhaust oneself.,"work [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} fingers to [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} bone"
a fly on the wall,156,an observer who is present but not noticed or involved in the situation.,a fly on the wall
weather [pron] storm,141,persevere through a difficult situation.,"weather [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} storm"
a whole new ball game,17,a completely different situation or set of circumstances.,a whole new ball game
lose [pron] shirt,70,to suffer a great financial loss.,"lose [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} shirt"
get [pron] sack,139,to be fired from a job.,"get [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} sack"
bolt from the blue,25,something that happens unexpectedly and without warning.,bolt from the blue
sleep on [pron],7478,think about something for a while before making a decision.,"sleep on [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3}"
in the best of health,43,in excellent physical and mental health.,in the best of health
on the horns of a dilemma,12,in a difficult situation where it is hard to choose between two options.,on the horns of a dilemma
shoot through,665,leave quickly or abruptly.,shoot through
company man,105,a person who is loyal to their employer and willing to do whatever is asked of them.,company man
feel [pron] age,69,"feel the effects of aging, especially in terms of physical decline.","feel [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} age"
red handed,109,caught in the act of doing something wrong.,red handed
save face,513,to maintain one's dignity or reputation in a difficult or embarrassing situation.,save face
greener pastures,139,a better situation or opportunity than the one currently being experienced.,greener pastures
hold on a second,474,wait a moment; pause before continuing.,hold on a second
hit [pron] roof,296,become extremely angry.,"hit [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} roof"
done to death,34,overused to the point of being trite or boring.,done to death
draw [pron] shortest straw,1,be the one who has to do something unpleasant or undesirable.,"draw [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} shortest straw"
drop [pron] ball,101,fail to do something that was expected or required.,"drop [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} ball"
grin like [pron] cheshire cat,13,smile broadly and mischievously.,"grin like [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} cheshire cat"
fall prey to,244,"become a victim of something, usually a scam or deception.",fall prey to
peg out,23,die,peg out
snake in [pron] grass,103,someone who is not what they appear to be and is likely to be untrustworthy.,"snake in [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} grass"
music to [pron] ears,450,something that is very pleasing or satisfying to hear.,"music to [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} ears"
brass tacks,102,get to the point; focus on the practical details.,brass tacks
the spirit of the law,4,"the underlying purpose or intent of a law, rather than its literal interpretation.",the spirit of the law
go through [pron] roof,79,increase dramatically or to an extreme degree.,"go through [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} roof"
call [pron] tune,20,allow someone to make all the decisions.,"call [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} tune"
big head,744,having an overly high opinion of oneself.,big head
call [pron] shots,403,have control over a situation or decision-making process.,"call [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} shots"
keep [pron] wolf from [pron] door,10,make enough money to pay for basic necessities.,"keep [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} wolf from [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} door"
black out,1455,"to forget or block out a period of time, usually due to drinking too much alcohol.",black out
fall for it,491,be tricked or deceived by someone.,fall for it
track record,1004,a record of past performance or success.,track record
vale of tears,33,a situation or period of time that is filled with sadness and sorrow.,vale of tears
ring fencing,7,protecting something from external interference or risk by isolating it.,ring fencing
night owl,298,someone who stays up late and sleeps in late.,night owl
the upper crust,110,the wealthiest and most influential members of society.,the upper crust
run out of steam,75,lose energy or enthusiasm for something.,run out of steam
play [pron] field,119,date multiple people at the same time without committing to any one person.,"play [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} field"
salad days,24,"a period of youthful innocence, inexperience, and enthusiasm.",salad days
spitting image,696,exact likeness or replica of someone or something.,spitting image
play ball,539,cooperate and agree to do something.,play ball
wax and wane,17,to increase and decrease in intensity or size over time.,wax and wane
take [pron] dim view of,42,have a negative opinion of someone or something.,"take [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} dim view of"
quantum leap,95,"a sudden, dramatic, and significant advancement or improvement.",quantum leap
self-made man,73,a person who has achieved success and wealth through their own hard work and determination.,self-made man
wet blanket,264,a person who is unenthusiastic or who discourages others from having fun.,wet blanket
wear [pron] heart on [pron] sleeve,62,express one's emotions openly and without reservation.,"wear [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} heart on [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} sleeve"
stand [pron] test of time,52,remain relevant and popular over a long period of time.,"stand [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} test of time"
put on [pron] brave face,253,try to appear strong and confident even when feeling scared or uncertain.,"put on [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} brave face"
zero hour,104,the time when a plan of action is set to begin.,zero hour
foam at [pron] mouth,58,be extremely angry and agitated.,"foam at [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} mouth"
father figure,662,"a person who provides guidance and support, often in the absence of a biological father.",father figure
canteen culture,6,"a workplace culture that is informal and relaxed, where employees are encouraged to socialize and interact with each other.",canteen culture
fill [pron] shoes,99,"take on the same responsibilities as someone else, usually after they have left.","fill [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} shoes"
bring home [pron] bacon,17,provide for one's family financially.,"bring home [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} bacon"
at sixes and sevens,21,in a state of confusion or disarray.,at sixes and sevens
back on [pron] feet,2149,to have recovered from a difficult situation and be in a better place.,"back on [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} feet"
bright as a button,18,very intelligent and quick-witted.,bright as a button
get in [pron] hair,7,annoy or bother someone.,"get in [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} hair"
blow [pron] fuse,50,become extremely angry or frustrated.,"blow [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} fuse"
hot potato,204,a situation or issue that is difficult to handle and is quickly passed from one person to another.,hot potato
be dead to [pron] world,24,be completely oblivious to the events and people around you.,"be dead to [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} world"
hit [pron] road,1404,leave a place quickly.,"hit [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} road"
bite [pron] dust,29,fail or be defeated.,"bite [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} dust"
bite [pron] bullet,158,accept a difficult situation and endure it.,"bite [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} bullet"
go with [pron] flow,462,accept and adapt to the current situation without trying to change it.,"go with [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} flow"
bear fruit,142,produce a successful result.,bear fruit
beef up,105,to make something stronger or more powerful.,beef up
bells and whistles,212,extra features or details that are not necessary but make something more attractive or interesting.,bells and whistles
better late than never,252,it is better to do something late than not do it at all.,better late than never
bend over backwards,54,make a great effort to please someone or do something.,bend over backwards
feeding frenzy,365,"a situation in which a large group of people are competing for something, often in an aggressive or chaotic manner.",feeding frenzy
good samaritan,491,"a person who helps others out of the goodness of their heart, without expecting anything in return.",good samaritan
fancy free,38,not bound by any commitments or obligations.,fancy free
do [pron] trick,1542,accomplish something difficult or impressive.,"do [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} trick"
loose cannon,464,someone who is unpredictable and potentially dangerous.,loose cannon
dog days,52,a period of time that is hot and uncomfortable.,dog days
come to [pron] head,211,reach a climax or point of resolution.,"come to [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} head"
come of age,207,reach adulthood and the associated privileges and responsibilities.,come of age
a sight for sore eyes,198,something that is very pleasing to see.,a sight for sore eyes
add insult to injury,196,make a bad situation even worse.,add insult to injury
money for old rope,8,making money easily with little effort.,money for old rope
cock and bull story,16,an unbelievable or far-fetched story.,cock and bull story
couch potato,68,a person who spends a lot of time sitting around and watching television.,couch potato
do [pron] dirty work,784,do something unpleasant or unethical on someone else's behalf.,"do [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} dirty work"
pitch in,534,contribute to a task or effort.,pitch in
poetry in motion,48,something that is graceful and beautiful in its execution.,poetry in motion
thumbnail sketch,29,a brief overview or summary of something.,thumbnail sketch
go dutch,26,to split the cost of something equally between two or more people.,go dutch
pipe down,223,be quiet; stop talking.,pipe down
neither fish nor fowl,14,not belonging to any particular category or group.,neither fish nor fowl
cry wolf,46,"to make false alarms or warnings, leading people to not take you seriously when you are telling the truth.",cry wolf
come to fruition,284,come to a successful conclusion.,come to fruition
dressed up to the nines,12,dressed in one's best clothes.,dressed up to the nines
blind date,553,a date with someone you have never met before.,blind date
practice makes perfect,146,repeated effort and practice leads to mastery of a skill or task.,practice makes perfect
shiver down [pron] spine,785,experience a feeling of fear or dread.,"shiver down [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} spine"
the men in grey suits,7,"people in positions of authority, especially those in government or corporate roles.",the men in grey suits
shoot straight,227,be honest and direct in one's communication.,shoot straight
silver bullet,1043,a simple solution to a complex problem.,silver bullet
the holy grail,750,something that is highly sought after but difficult to obtain.,the holy grail
pull [pron] wool over [pron] eyes,67,deceive someone by making them believe something that is not true.,"pull [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} wool over [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} eyes"
skin and bones,412,very thin and emaciated.,skin and bones
put [pron] cat among [pron] pigeons,5,introduce a disruptive element into a situation.,"put [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} cat among [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} pigeons"
put [pron] shoulder to [pron] wheel,7,work hard and diligently to achieve a goal.,"put [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} shoulder to [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} wheel"
time flies,270,the passing of time seems to go quickly.,time flies
take [pron] bull by [pron] horns,76,face a difficult situation head-on and with determination.,"take [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} bull by [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} horns"
call [pron] spade [pron] spade,75,"tell it like it is, speak honestly and directly about a situation.","call [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} spade [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} spade"
read between [pron] lines,456,look for a hidden meaning in someone's words or actions.,"read between [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} lines"
stitch up,90,to arrange something in a way that is advantageous to oneself.,stitch up
castles in the air,37,have unrealistic ideas or plans that are unlikely to come true.,castles in the air
pig out,102,overeat or eat a large amount of food in a short period of time.,pig out
dead serious,1111,completely serious and not joking.,dead serious
hang in there,932,persevere and remain strong in a difficult situation.,hang in there
all that jazz,201,"all the extra details, activities, or embellishments.",all that jazz
as high as a kite,67,very happy or excited.,as high as a kite
lame duck,46,a person or organization that is no longer in power or has lost their influence.,lame duck
armed to the teeth,442,to be heavily armed and prepared for battle.,armed to the teeth
an ugly duckling,37,a person or thing that is initially unattractive or awkward but eventually transforms into something beautiful or impressive.,an ugly duckling
lay down [pron] law,107,establish a set of rules or expectations that must be followed.,"lay down [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} law"
live and learn,125,gain knowledge and experience from mistakes and successes.,live and learn
well hung,50,having a large penis.,well hung
walk on air,19,to feel extremely happy and excited.,walk on air
aching heart,226,feeling of deep sadness or longing.,aching heart
make no bones about,37,speak openly and honestly about something without hesitation or embarrassment.,make no bones about
wild and woolly,19,"chaotic, unpredictable, and full of excitement.",wild and woolly
mea culpa,81,an expression of apology or regret for a mistake or wrong-doing.,mea culpa
new kid on [pron] block,57,a newcomer to a place or situation.,"new kid on [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} block"
worth [pron] weight in gold,110,extremely valuable or useful.,"worth [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} weight in gold"
keep [pron] eyes peeled,195,be alert and watchful for something.,"keep [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} eyes peeled"
law of [pron] jungle,86,"the idea that in a society without laws, the strongest and most powerful will dominate.","law of [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} jungle"
turn [pron] tables,343,"reverse a situation, especially to gain an advantage over someone.","turn [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} tables"
harp on,428,to continually talk about something in an annoying way.,harp on
turn [pron] blind eye,349,ignore something that one should not ignore.,"turn [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} blind eye"
be in hot water,28,be in trouble or in a difficult situation.,be in hot water
below the salt,22,a phrase used to describe someone or something of low social standing.,below the salt
beat [pron] clock,33,finish something before the expected or allotted time.,"beat [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} clock"
under the wire,63,just in time; at the last possible moment.,under the wire
a fish out of water,379,someone who is in an unfamiliar situation and feels uncomfortable or out of place.,a fish out of water
white as a sheet,506,"very pale, usually due to fear or shock.",white as a sheet
so far so good,401,things are going well up to this point.,so far so good
cut corners,114,"to do something in a way that is not thorough or complete, usually in order to save time or money.",cut corners
act [pron] age,309,behave in a way that is not appropriate for one's age.,"act [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} age"
big cheese,118,an important or influential person.,big cheese
skin [pron] alive,465,criticize someone harshly and publicly.,"skin [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} alive"
sit tight,1053,wait patiently and do nothing.,sit tight
[pron] word is law,115,what someone says is taken as absolute truth and must be followed.,"[a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} word is law"
be on [pron] ball,29,be alert and prepared for anything.,"be on [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} ball"
achilles heel,175,a person's weak spot or vulnerability.,achilles heel
absence makes the heart grow fonder,52,being away from someone or something can make one appreciate them more.,absence makes the heart grow fonder
chew [pron] fat,37,engage in a friendly conversation with someone.,"chew [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} fat"
shift gears,133,"change direction, approach, or focus.",shift gears
to pull [pron] trigger,822,"to take action, usually in a decisive way.","to pull [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} trigger"
a steal,687,a very good deal or bargain.,a steal
a slap on the wrist,172,a mild punishment or reprimand.,a slap on the wrist
speak [pron] same language,104,have a mutual understanding and be able to communicate effectively.,"speak [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} same language"
banana republic,124,"a small, politically unstable country, typically in Latin America, that is economically dependent on a single export, such as bananas.",banana republic
bag lady,135,a homeless woman who carries her possessions in bags.,bag lady
charity begins at home,9,one should take care of their own family and friends before helping others.,charity begins at home
unwritten law,43,an accepted rule or custom that is not formally expressed or recorded.,unwritten law
walk out on,617,leave a situation or relationship suddenly and without warning.,walk out on
testing [pron] waters,263,trying something out to see how it goes or how people respond.,"testing [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} waters"
as poor as a church mouse,13,"very poor, having very little money.",as poor as a church mouse
bring to [pron] table,110,"contribute one's ideas, knowledge, or resources to a discussion or situation.","bring to [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} table"
watch [pron] language,387,"be careful of what one says, as it could be offensive or inappropriate.","watch [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} language"
blood is thicker than water,57,family relationships are more important than any other relationships.,blood is thicker than water
basket case,372,a person or situation that is in a state of complete disarray or chaos.,basket case
burn candles at both ends,1,"work or study excessively, often leading to exhaustion.",burn candles at both ends
be a sport,77,"be generous, cooperative, and willing to help.",be a sport
swim against [pron] tide,6,go against the majority opinion or trend.,"swim against [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} tide"
butter up,32,to flatter someone in order to gain favor.,butter up
dead loss,27,a situation or person that is completely useless or hopeless.,dead loss
black sheep,424,a person who is seen as a disgrace to a family or group.,black sheep
an eye for an eye,280,retaliation in kind; the idea that a person who has been wronged should be given the same punishment as the wrongdoer.,an eye for an eye
alphabet soup,57,a confusing situation with many acronyms and abbreviations.,alphabet soup
all together now,68,everyone should do something at the same time.,all together now
wear off,1494,gradually decrease in intensity or effectiveness.,wear off
turn back [pron] clock,139,go back in time to a previous point in one's life.,"turn back [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} clock"
name [pron] day,174,a day when someone is celebrated or honored.,"name [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} day"
sell [pron] soul to [pron] devil,22,make a deal with someone that involves sacrificing one's principles or values in exchange for something desired.,"sell [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} soul to [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} devil"
dead right,657,completely correct.,dead right
lift [pron] curtain,14,reveal something that was previously hidden or unknown.,"lift [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} curtain"
fight like cat and dog,1,constantly argue and disagree with each other.,fight like cat and dog
forbidden fruit,354,something that is attractive because it is not allowed or is off limits.,forbidden fruit
leave no stone unturned,53,to make a thorough effort to find something or to achieve a goal.,leave no stone unturned
leave [pron] nest,82,leave the home of one's parents and become independent.,"leave [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} nest"
have [pron] blast,294,have a great time.,"have [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} blast"
know [pron] ropes,36,be familiar with the rules and procedures of a particular situation.,"know [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} ropes"
eat humble pie,6,admit one's mistakes and apologize for them humbly.,eat humble pie
have eyes only for,17,only have romantic feelings for one person.,have eyes only for
quake in [pron] boots,18,be extremely scared or nervous.,"quake in [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} boots"
have friends in high places,65,have influential connections with people in positions of power.,have friends in high places
fan [pron] flames,105,encourage someone to become more passionate or excited about something.,"fan [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} flames"
go bananas,31,to become very excited or angry.,go bananas
kangaroo court,27,a mock court in which the proceedings are biased and unjust.,kangaroo court
jump in at [pron] deep end,1,to take on a difficult task without any prior experience or preparation.,"jump in at [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} deep end"
jump [pron] gun,109,act too quickly or prematurely.,"jump [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} gun"
party animal,138,someone who loves to attend parties and social gatherings.,party animal
join [pron] club,458,become part of a group or activity that someone else is already involved in.,"join [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} club"
filthy rich,341,extremely wealthy.,filthy rich
fight [pron] good fight,80,"try one's best to achieve a goal, even if it is difficult or unlikely to be successful.","fight [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} good fight"
ride shotgun,107,to sit in the front passenger seat of a car.,ride shotgun
gain ground,107,"make progress, especially in a difficult situation.",gain ground
middle of the road,1500,"a moderate or non-committal approach to something, avoiding extremes.",middle of the road
go out on [pron] limb,210,"take a risk, especially one that could have serious consequences.","go out on [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} limb"
dice with death,4,"take a great risk, especially one that could lead to death.",dice with death
play cat and mouse,22,"to engage in a game of pursuit, where one person is trying to catch the other.",play cat and mouse
pop [pron] question,148,ask someone to marry you.,"pop [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} question"
never-never land,63,a place or situation that is not real or attainable.,never-never land
play away from home,1,engage in activities outside of one's usual environment or comfort zone.,play away from home
sacred cow,24,"an idea, institution, or person that is treated with too much respect and not allowed to be criticized or changed.",sacred cow
gender bender,7,someone who does not conform to traditional gender roles.,gender bender
love to death,5,"to love someone or something too much, to the point of being overbearing.",love to death
run like [pron] wind,75,move very quickly.,"run like [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} wind"
