idiom,meaning,instance,label,assignment_0,assignment_1,assignment_2,gold_0,gold_1,gold_2,maxVote,review_noAgreement,review_maxVoteGptDiff
butter up,to flatter someone so as to get something in return from them,He was buttering up the boss by complimenting his work style,0,"{'WorkerId': 'A2LMQ4497NMK3S', 'WorkTimeInSeconds': 169, 'AssignmentId': '3PS7W85Z8FIZ19YU8DFFYJ60NVFT9M', 'HITId': '37PGLWGSK8MQM73GRW2ZL1MH9PTKI5', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}","{'WorkerId': 'A2TBXASXZIRNNW', 'WorkTimeInSeconds': 249, 'AssignmentId': '32AT8R96G1PW619IHO5GKAXSYXBSUN', 'HITId': '37PGLWGSK8MQM73GRW2ZL1MH9PTKI5', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}","{'WorkerId': 'APRZ7BR8C0ZMQ', 'WorkTimeInSeconds': 577, 'AssignmentId': '33PPUNGG3OL1RL3F8M4JBS7BED6ZRU', 'HITId': '37PGLWGSK8MQM73GRW2ZL1MH9PTKI5', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}",0,0,0,0,False,False
stick in his throat,difficulty of accepting and makes you angry or resentful,The news stuck in his throat when he heard it since he never wanted it to be true,0,"{'WorkerId': 'A2LMQ4497NMK3S', 'WorkTimeInSeconds': 169, 'AssignmentId': '3PS7W85Z8FIZ19YU8DFFYJ60NVFT9M', 'HITId': '37PGLWGSK8MQM73GRW2ZL1MH9PTKI5', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}","{'WorkerId': 'A2TBXASXZIRNNW', 'WorkTimeInSeconds': 249, 'AssignmentId': '32AT8R96G1PW619IHO5GKAXSYXBSUN', 'HITId': '37PGLWGSK8MQM73GRW2ZL1MH9PTKI5', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}","{'WorkerId': 'APRZ7BR8C0ZMQ', 'WorkTimeInSeconds': 577, 'AssignmentId': '33PPUNGG3OL1RL3F8M4JBS7BED6ZRU', 'HITId': '37PGLWGSK8MQM73GRW2ZL1MH9PTKI5', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}",0,0,0,0,False,False
round the clock,continuously or interrupted,She works round the clock to get ahead in her career,0,"{'WorkerId': 'A2LMQ4497NMK3S', 'WorkTimeInSeconds': 169, 'AssignmentId': '3PS7W85Z8FIZ19YU8DFFYJ60NVFT9M', 'HITId': '37PGLWGSK8MQM73GRW2ZL1MH9PTKI5', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 2, 'bad': False}","{'WorkerId': 'A2TBXASXZIRNNW', 'WorkTimeInSeconds': 249, 'AssignmentId': '32AT8R96G1PW619IHO5GKAXSYXBSUN', 'HITId': '37PGLWGSK8MQM73GRW2ZL1MH9PTKI5', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}","{'WorkerId': 'APRZ7BR8C0ZMQ', 'WorkTimeInSeconds': 577, 'AssignmentId': '33PPUNGG3OL1RL3F8M4JBS7BED6ZRU', 'HITId': '37PGLWGSK8MQM73GRW2ZL1MH9PTKI5', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}",2,0,0,0,False,False
bare bones,most basic and important elements or facts,We can only afford the bare bones,2,"{'WorkerId': 'A26UIS59SY4NM6', 'WorkTimeInSeconds': 77, 'AssignmentId': '37KGEN7NJJ6M14LU8L2SFZ5I3WAPP6', 'HITId': '39AYGO6AGU0B1TTIM8LQGQDGUT3N6J', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}","{'WorkerId': 'A2OVOVZBJYUO', 'WorkTimeInSeconds': 116, 'AssignmentId': '3YOH7BII0PNYVXLAH56JPA81VA5VKW', 'HITId': '39AYGO6AGU0B1TTIM8LQGQDGUT3N6J', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 2, 'bad': False}","{'WorkerId': 'A2TBXASXZIRNNW', 'WorkTimeInSeconds': 532, 'AssignmentId': '3UOUJI6MTTU42IVHBYB3JIEKDCBUXV', 'HITId': '39AYGO6AGU0B1TTIM8LQGQDGUT3N6J', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 2, 'bad': False}",0,2,2,2,False,False
red tape,over excessive or time-consuming rules and bureaucracy that hinder progress,Lots of red tape,2,"{'WorkerId': 'A26UIS59SY4NM6', 'WorkTimeInSeconds': 77, 'AssignmentId': '37KGEN7NJJ6M14LU8L2SFZ5I3WAPP6', 'HITId': '39AYGO6AGU0B1TTIM8LQGQDGUT3N6J', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}","{'WorkerId': 'A2OVOVZBJYUO', 'WorkTimeInSeconds': 116, 'AssignmentId': '3YOH7BII0PNYVXLAH56JPA81VA5VKW', 'HITId': '39AYGO6AGU0B1TTIM8LQGQDGUT3N6J', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 2, 'bad': False}","{'WorkerId': 'A2TBXASXZIRNNW', 'WorkTimeInSeconds': 532, 'AssignmentId': '3UOUJI6MTTU42IVHBYB3JIEKDCBUXV', 'HITId': '39AYGO6AGU0B1TTIM8LQGQDGUT3N6J', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 2, 'bad': False}",0,2,2,2,False,False
speak of the devil,when someone comes in unexpectedly while being talked about,I was just speaking of the devil,2,"{'WorkerId': 'A26UIS59SY4NM6', 'WorkTimeInSeconds': 77, 'AssignmentId': '37KGEN7NJJ6M14LU8L2SFZ5I3WAPP6', 'HITId': '39AYGO6AGU0B1TTIM8LQGQDGUT3N6J', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 2, 'bad': False}","{'WorkerId': 'A2OVOVZBJYUO', 'WorkTimeInSeconds': 116, 'AssignmentId': '3YOH7BII0PNYVXLAH56JPA81VA5VKW', 'HITId': '39AYGO6AGU0B1TTIM8LQGQDGUT3N6J', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 2, 'bad': False}","{'WorkerId': 'A2TBXASXZIRNNW', 'WorkTimeInSeconds': 532, 'AssignmentId': '3UOUJI6MTTU42IVHBYB3JIEKDCBUXV', 'HITId': '39AYGO6AGU0B1TTIM8LQGQDGUT3N6J', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 2, 'bad': False}",2,2,2,2,False,False
flip the bird,show someone the middle finger as an act of contempt or anger,He flipped the bird,2,"{'WorkerId': 'A26UIS59SY4NM6', 'WorkTimeInSeconds': 77, 'AssignmentId': '37KGEN7NJJ6M14LU8L2SFZ5I3WAPP6', 'HITId': '39AYGO6AGU0B1TTIM8LQGQDGUT3N6J', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}","{'WorkerId': 'A2OVOVZBJYUO', 'WorkTimeInSeconds': 116, 'AssignmentId': '3YOH7BII0PNYVXLAH56JPA81VA5VKW', 'HITId': '39AYGO6AGU0B1TTIM8LQGQDGUT3N6J', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 2, 'bad': False}","{'WorkerId': 'A2TBXASXZIRNNW', 'WorkTimeInSeconds': 532, 'AssignmentId': '3UOUJI6MTTU42IVHBYB3JIEKDCBUXV', 'HITId': '39AYGO6AGU0B1TTIM8LQGQDGUT3N6J', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 2, 'bad': False}",0,2,2,2,False,False
long in the tooth,To get too old for something.,He is getting long in the tooth,2,"{'WorkerId': 'A26UIS59SY4NM6', 'WorkTimeInSeconds': 77, 'AssignmentId': '37KGEN7NJJ6M14LU8L2SFZ5I3WAPP6', 'HITId': '39AYGO6AGU0B1TTIM8LQGQDGUT3N6J', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}","{'WorkerId': 'A2OVOVZBJYUO', 'WorkTimeInSeconds': 116, 'AssignmentId': '3YOH7BII0PNYVXLAH56JPA81VA5VKW', 'HITId': '39AYGO6AGU0B1TTIM8LQGQDGUT3N6J', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 2, 'bad': False}","{'WorkerId': 'A2TBXASXZIRNNW', 'WorkTimeInSeconds': 532, 'AssignmentId': '3UOUJI6MTTU42IVHBYB3JIEKDCBUXV', 'HITId': '39AYGO6AGU0B1TTIM8LQGQDGUT3N6J', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 2, 'bad': False}",0,2,2,2,False,False
know the ropes,to know all the ways and means to get something done,He knows the ropes when it comes to the stock market,0,"{'WorkerId': 'A2A6FH0F7LD9ND', 'WorkTimeInSeconds': 551, 'AssignmentId': '3K3R2QNK8RJE1MDJ8I5P3FS269KU9C', 'HITId': '3YD0MU1NDHHNLADYWELD0YTCQXO7AI', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}","{'WorkerId': 'A2LMQ4497NMK3S', 'WorkTimeInSeconds': 442, 'AssignmentId': '3NVC2EB656F93T881A14FNVT25M3Y3', 'HITId': '3YD0MU1NDHHNLADYWELD0YTCQXO7AI', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}","{'WorkerId': 'A3PRQ2GSU42718', 'WorkTimeInSeconds': 310, 'AssignmentId': '36NEMU28XVT60ALISROVQPJJRO2MW2', 'HITId': '3YD0MU1NDHHNLADYWELD0YTCQXO7AI', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}",0,0,0,0,False,False
begun to see the light,to suddenly begin to understand,I have begun to see the light as the sun came up,1,"{'WorkerId': 'A2A6FH0F7LD9ND', 'WorkTimeInSeconds': 551, 'AssignmentId': '3K3R2QNK8RJE1MDJ8I5P3FS269KU9C', 'HITId': '3YD0MU1NDHHNLADYWELD0YTCQXO7AI', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 1, 'bad': False}","{'WorkerId': 'A2LMQ4497NMK3S', 'WorkTimeInSeconds': 442, 'AssignmentId': '3NVC2EB656F93T881A14FNVT25M3Y3', 'HITId': '3YD0MU1NDHHNLADYWELD0YTCQXO7AI', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 1, 'bad': False}","{'WorkerId': 'A3PRQ2GSU42718', 'WorkTimeInSeconds': 310, 'AssignmentId': '36NEMU28XVT60ALISROVQPJJRO2MW2', 'HITId': '3YD0MU1NDHHNLADYWELD0YTCQXO7AI', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 2, 'bad': False}",1,1,2,1,False,False
feel the pinch,experience financial hardship,I'm starting to feel the pinch,2,"{'WorkerId': 'A2A6FH0F7LD9ND', 'WorkTimeInSeconds': 551, 'AssignmentId': '3K3R2QNK8RJE1MDJ8I5P3FS269KU9C', 'HITId': '3YD0MU1NDHHNLADYWELD0YTCQXO7AI', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}","{'WorkerId': 'A2LMQ4497NMK3S', 'WorkTimeInSeconds': 442, 'AssignmentId': '3NVC2EB656F93T881A14FNVT25M3Y3', 'HITId': '3YD0MU1NDHHNLADYWELD0YTCQXO7AI', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 2, 'bad': False}","{'WorkerId': 'A3PRQ2GSU42718', 'WorkTimeInSeconds': 310, 'AssignmentId': '36NEMU28XVT60ALISROVQPJJRO2MW2', 'HITId': '3YD0MU1NDHHNLADYWELD0YTCQXO7AI', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}",0,2,0,0,False,True
cry wolf,"to keep asking for help, even when you don't need it. When you really need help, no one believes you.",Don't cry wolf,2,"{'WorkerId': 'A2A6FH0F7LD9ND', 'WorkTimeInSeconds': 551, 'AssignmentId': '3K3R2QNK8RJE1MDJ8I5P3FS269KU9C', 'HITId': '3YD0MU1NDHHNLADYWELD0YTCQXO7AI', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}","{'WorkerId': 'A2LMQ4497NMK3S', 'WorkTimeInSeconds': 442, 'AssignmentId': '3NVC2EB656F93T881A14FNVT25M3Y3', 'HITId': '3YD0MU1NDHHNLADYWELD0YTCQXO7AI', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 2, 'bad': False}","{'WorkerId': 'A3PRQ2GSU42718', 'WorkTimeInSeconds': 310, 'AssignmentId': '36NEMU28XVT60ALISROVQPJJRO2MW2', 'HITId': '3YD0MU1NDHHNLADYWELD0YTCQXO7AI', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}",0,2,0,0,False,True
cards are stacked against,"someone is not likely to succeed, especially because the person is not being given a fair chance",The cards are stacked against him in the poker game,1,"{'WorkerId': 'A2A6FH0F7LD9ND', 'WorkTimeInSeconds': 551, 'AssignmentId': '3K3R2QNK8RJE1MDJ8I5P3FS269KU9C', 'HITId': '3YD0MU1NDHHNLADYWELD0YTCQXO7AI', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}","{'WorkerId': 'A2LMQ4497NMK3S', 'WorkTimeInSeconds': 442, 'AssignmentId': '3NVC2EB656F93T881A14FNVT25M3Y3', 'HITId': '3YD0MU1NDHHNLADYWELD0YTCQXO7AI', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}","{'WorkerId': 'A3PRQ2GSU42718', 'WorkTimeInSeconds': 310, 'AssignmentId': '36NEMU28XVT60ALISROVQPJJRO2MW2', 'HITId': '3YD0MU1NDHHNLADYWELD0YTCQXO7AI', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 2, 'bad': False}",0,0,2,0,False,True
the calm before the storm,an extremely peaceful atmosphere right before any serious incident or crisis,It was the calm before the storm as I was nervously anticipating the news of the results,0,"{'WorkerId': 'A1LI3JQS2VBOXC', 'WorkTimeInSeconds': 162, 'AssignmentId': '3DZQRBDBS1VC77WZ249FX17SLKPS3D', 'HITId': '3OEWW2KGRYRS4N89XATH1LND1PVODR', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}","{'WorkerId': 'A1QUQ0TV9KVD4C', 'WorkTimeInSeconds': 177, 'AssignmentId': '3COPXFW7XRSLQDOEVTXKJIJJ9M5KP1', 'HITId': '3OEWW2KGRYRS4N89XATH1LND1PVODR', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}","{'WorkerId': 'AEK2SAEL9GG39', 'WorkTimeInSeconds': 107, 'AssignmentId': '3DL65MZB8TVZAON0U20B1N77Q6VCEW', 'HITId': '3OEWW2KGRYRS4N89XATH1LND1PVODR', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}",0,0,0,0,False,False
want his head on a platter,when someone makes you so angry that you want them to be punished,I want his head on a platter because I'm so angry with him,0,"{'WorkerId': 'A1LI3JQS2VBOXC', 'WorkTimeInSeconds': 162, 'AssignmentId': '3DZQRBDBS1VC77WZ249FX17SLKPS3D', 'HITId': '3OEWW2KGRYRS4N89XATH1LND1PVODR', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}","{'WorkerId': 'A1QUQ0TV9KVD4C', 'WorkTimeInSeconds': 177, 'AssignmentId': '3COPXFW7XRSLQDOEVTXKJIJJ9M5KP1', 'HITId': '3OEWW2KGRYRS4N89XATH1LND1PVODR', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}","{'WorkerId': 'AEK2SAEL9GG39', 'WorkTimeInSeconds': 107, 'AssignmentId': '3DL65MZB8TVZAON0U20B1N77Q6VCEW', 'HITId': '3OEWW2KGRYRS4N89XATH1LND1PVODR', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}",0,0,0,0,False,False
knowing which way the wind blows,this means that you should know how things are developing and be prepared for the future,I know which way the wind blows because I looked at the weather report,1,"{'WorkerId': 'A1LI3JQS2VBOXC', 'WorkTimeInSeconds': 162, 'AssignmentId': '3DZQRBDBS1VC77WZ249FX17SLKPS3D', 'HITId': '3OEWW2KGRYRS4N89XATH1LND1PVODR', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 2, 'bad': False}","{'WorkerId': 'A1QUQ0TV9KVD4C', 'WorkTimeInSeconds': 177, 'AssignmentId': '3COPXFW7XRSLQDOEVTXKJIJJ9M5KP1', 'HITId': '3OEWW2KGRYRS4N89XATH1LND1PVODR', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 1, 'bad': False}","{'WorkerId': 'AEK2SAEL9GG39', 'WorkTimeInSeconds': 107, 'AssignmentId': '3DL65MZB8TVZAON0U20B1N77Q6VCEW', 'HITId': '3OEWW2KGRYRS4N89XATH1LND1PVODR', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 1, 'bad': False}",2,1,1,1,False,False
gets it out of his system,get rid of a strong emotion or desire by expressing it openly or trying to fulfill it,He got it out of his system by screaming at the top of his lungs,0,"{'WorkerId': 'A1LI3JQS2VBOXC', 'WorkTimeInSeconds': 162, 'AssignmentId': '3DZQRBDBS1VC77WZ249FX17SLKPS3D', 'HITId': '3OEWW2KGRYRS4N89XATH1LND1PVODR', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 2, 'bad': False}","{'WorkerId': 'A1QUQ0TV9KVD4C', 'WorkTimeInSeconds': 177, 'AssignmentId': '3COPXFW7XRSLQDOEVTXKJIJJ9M5KP1', 'HITId': '3OEWW2KGRYRS4N89XATH1LND1PVODR', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}","{'WorkerId': 'AEK2SAEL9GG39', 'WorkTimeInSeconds': 107, 'AssignmentId': '3DL65MZB8TVZAON0U20B1N77Q6VCEW', 'HITId': '3OEWW2KGRYRS4N89XATH1LND1PVODR', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}",2,0,0,0,False,False
keep one's own counsel,say little or nothing about one's opinions or intentions.,He kept his own counsel,2,"{'WorkerId': 'A1LI3JQS2VBOXC', 'WorkTimeInSeconds': 162, 'AssignmentId': '3DZQRBDBS1VC77WZ249FX17SLKPS3D', 'HITId': '3OEWW2KGRYRS4N89XATH1LND1PVODR', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 3, 'bad': False}","{'WorkerId': 'A1QUQ0TV9KVD4C', 'WorkTimeInSeconds': 177, 'AssignmentId': '3COPXFW7XRSLQDOEVTXKJIJJ9M5KP1', 'HITId': '3OEWW2KGRYRS4N89XATH1LND1PVODR', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 2, 'bad': False}","{'WorkerId': 'AEK2SAEL9GG39', 'WorkTimeInSeconds': 107, 'AssignmentId': '3DL65MZB8TVZAON0U20B1N77Q6VCEW', 'HITId': '3OEWW2KGRYRS4N89XATH1LND1PVODR', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 2, 'bad': False}",3,2,2,2,False,False
hand in hand,close ties or connections,They walked hand in hand,2,"{'WorkerId': 'A1QUQ0TV9KVD4C', 'WorkTimeInSeconds': 89, 'AssignmentId': '34Z02EIMI8TH5FAH8HWM5857KRKT09', 'HITId': '39WSF6KUWH1XWTM9T541735Y11WOEK', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 2, 'bad': False}","{'WorkerId': 'A290OV59Q76QC8', 'WorkTimeInSeconds': 503, 'AssignmentId': '3VNL7UK1XVZ82JP7BZF78FSBQT8TFC', 'HITId': '39WSF6KUWH1XWTM9T541735Y11WOEK', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 2, 'bad': False}","{'WorkerId': 'A2TBXASXZIRNNW', 'WorkTimeInSeconds': 232, 'AssignmentId': '3CPLWGV3M4F16WTABHT3PK08YDTN9F', 'HITId': '39WSF6KUWH1XWTM9T541735Y11WOEK', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 2, 'bad': False}",2,2,2,2,False,False
cool heels,to wait or take rest,They had to cool their heels,2,"{'WorkerId': 'A1QUQ0TV9KVD4C', 'WorkTimeInSeconds': 89, 'AssignmentId': '34Z02EIMI8TH5FAH8HWM5857KRKT09', 'HITId': '39WSF6KUWH1XWTM9T541735Y11WOEK', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 2, 'bad': False}","{'WorkerId': 'A290OV59Q76QC8', 'WorkTimeInSeconds': 503, 'AssignmentId': '3VNL7UK1XVZ82JP7BZF78FSBQT8TFC', 'HITId': '39WSF6KUWH1XWTM9T541735Y11WOEK', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 2, 'bad': False}","{'WorkerId': 'A2TBXASXZIRNNW', 'WorkTimeInSeconds': 232, 'AssignmentId': '3CPLWGV3M4F16WTABHT3PK08YDTN9F', 'HITId': '39WSF6KUWH1XWTM9T541735Y11WOEK', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 2, 'bad': False}",2,2,2,2,False,False
high on the hog,someone who is used to luxury,He's been living high on the hog and enjoying the finer things in life,0,"{'WorkerId': 'A1QUQ0TV9KVD4C', 'WorkTimeInSeconds': 89, 'AssignmentId': '34Z02EIMI8TH5FAH8HWM5857KRKT09', 'HITId': '39WSF6KUWH1XWTM9T541735Y11WOEK', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}","{'WorkerId': 'A290OV59Q76QC8', 'WorkTimeInSeconds': 503, 'AssignmentId': '3VNL7UK1XVZ82JP7BZF78FSBQT8TFC', 'HITId': '39WSF6KUWH1XWTM9T541735Y11WOEK', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}","{'WorkerId': 'A2TBXASXZIRNNW', 'WorkTimeInSeconds': 232, 'AssignmentId': '3CPLWGV3M4F16WTABHT3PK08YDTN9F', 'HITId': '39WSF6KUWH1XWTM9T541735Y11WOEK', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}",0,0,0,0,False,False
as the crow flies,in a straight line,She went as the crow flies,2,"{'WorkerId': 'A1QUQ0TV9KVD4C', 'WorkTimeInSeconds': 89, 'AssignmentId': '34Z02EIMI8TH5FAH8HWM5857KRKT09', 'HITId': '39WSF6KUWH1XWTM9T541735Y11WOEK', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}","{'WorkerId': 'A290OV59Q76QC8', 'WorkTimeInSeconds': 503, 'AssignmentId': '3VNL7UK1XVZ82JP7BZF78FSBQT8TFC', 'HITId': '39WSF6KUWH1XWTM9T541735Y11WOEK', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 2, 'bad': False}","{'WorkerId': 'A2TBXASXZIRNNW', 'WorkTimeInSeconds': 232, 'AssignmentId': '3CPLWGV3M4F16WTABHT3PK08YDTN9F', 'HITId': '39WSF6KUWH1XWTM9T541735Y11WOEK', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 2, 'bad': False}",0,2,2,2,False,False
apples to apples,having a fair comparison between the two things,Let's compare apples to apples,2,"{'WorkerId': 'A1QUQ0TV9KVD4C', 'WorkTimeInSeconds': 89, 'AssignmentId': '34Z02EIMI8TH5FAH8HWM5857KRKT09', 'HITId': '39WSF6KUWH1XWTM9T541735Y11WOEK', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 2, 'bad': False}","{'WorkerId': 'A290OV59Q76QC8', 'WorkTimeInSeconds': 503, 'AssignmentId': '3VNL7UK1XVZ82JP7BZF78FSBQT8TFC', 'HITId': '39WSF6KUWH1XWTM9T541735Y11WOEK', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 2, 'bad': False}","{'WorkerId': 'A2TBXASXZIRNNW', 'WorkTimeInSeconds': 232, 'AssignmentId': '3CPLWGV3M4F16WTABHT3PK08YDTN9F', 'HITId': '39WSF6KUWH1XWTM9T541735Y11WOEK', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 2, 'bad': False}",2,2,2,2,False,False
piss and vinegar,to self-reference someone who is in a bad mood and ready to fight.,He was full of piss and vinegar,2,"{'WorkerId': 'A290OV59Q76QC8', 'WorkTimeInSeconds': 535, 'AssignmentId': '3D3VGR7TAGV06SWMNF9A7R2WZI73R1', 'HITId': '3OJX0UFJ1ENBE2FPHG0OEVWCSQ49U8', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 2, 'bad': False}","{'WorkerId': 'A2LMQ4497NMK3S', 'WorkTimeInSeconds': 434, 'AssignmentId': '3MHW492WWGTTLLLD2HJZ4N05KF0MVS', 'HITId': '3OJX0UFJ1ENBE2FPHG0OEVWCSQ49U8', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}","{'WorkerId': 'A2TBXASXZIRNNW', 'WorkTimeInSeconds': 100, 'AssignmentId': '3ZPBJO59K5HLZQKGKZ3S6WM23M0HDI', 'HITId': '3OJX0UFJ1ENBE2FPHG0OEVWCSQ49U8', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 2, 'bad': False}",2,0,2,2,False,False
