idiom,meaning,freq
in the pipeline,in the process of being developed or completed.,43
unwritten law,an accepted rule or custom that is not formally expressed or recorded.,43
itchy feet,a strong desire to travel or explore new places.,43
bend [pron] law,stretch the rules or regulations to one's advantage.,43
no spring chicken,not young anymore.,42
take [pron] dim view of,have a negative opinion of someone or something.,42
virgin territory,a place or situation that is new and unexplored.,40
young at heart,"having a youthful outlook and enthusiasm, regardless of age.",40
home truth,"a frank and honest statement, often unpleasant, that is said to someone in order to help them.",40
just deserts,the reward or punishment that someone deserves.,40
old chestnut,"a story, joke, or problem that has been heard or seen many times before.",39
root and branch,"completely and thoroughly, leaving no part untouched.",39
fancy free,not bound by any commitments or obligations.,38
castles in the air,have unrealistic ideas or plans that are unlikely to come true.,37
an ugly duckling,a person or thing that is initially unattractive or awkward but eventually transforms into something beautiful or impressive.,37
make no bones about,speak openly and honestly about something without hesitation or embarrassment.,37
chew [pron] fat,engage in a friendly conversation with someone.,37
a sorry sight,something that is very sad or pitiful to look at.,37
a flash in the pan,something that is initially successful but quickly fades away.,36
know [pron] ropes,be familiar with the rules and procedures of a particular situation.,36
whiter than white,completely honest and ethical.,35
done to death,overused to the point of being trite or boring.,34
carry [pron] ball,"take responsibility for something, especially when others are not willing to do so.",33
jump on [pron] bandwagon,"join a popular trend or opinion, usually without considering the consequences.",33
vale of tears,a situation or period of time that is filled with sadness and sorrow.,33
beat [pron] clock,finish something before the expected or allotted time.,33
pin money,"extra money earned from a hobby or side job, usually used for small luxuries or treats.",33
butter up,to flatter someone in order to gain favor.,32
go bananas,to become very excited or angry.,31
cut [pron] mustard,succeed in meeting a certain standard or expectation.,30
many happy returns,wishing someone a happy birthday.,29
scarlet woman,a woman who is considered to be immoral or promiscuous.,29
tour de force,an impressive and remarkable feat or accomplishment.,29
be on [pron] ball,be alert and prepared for anything.,29
bite [pron] dust,fail or be defeated.,29
thumbnail sketch,a brief overview or summary of something.,29
rags to riches,a phrase used to describe a person who has gone from having nothing to having great wealth and success.,28
be in hot water,be in trouble or in a difficult situation.,28
drive [pron] up [pron] wall,annoy someone to the point of frustration.,28
dead loss,a situation or person that is completely useless or hopeless.,27
slice of life,"a representation of reality, usually in the form of a story or film, that is intended to be realistic and relatable.",27
a shot in the arm,"a sudden boost of energy, enthusiasm, or confidence.",27
a sea change,a complete transformation or alteration.,27
kangaroo court,a mock court in which the proceedings are biased and unjust.,27
paint [pron] town red,"have a wild night out with friends, usually involving a lot of drinking and partying.",26
labour of love,"a task or project that is done out of passion or dedication, rather than for financial gain.",26
go dutch,to split the cost of something equally between two or more people.,26
[pron] life-saver,someone who helps out in a difficult situation and is greatly appreciated.,26
have big ears,"to be a good listener, to pay attention to what is being said.",26
miss [pron] boat,fail to take advantage of an opportunity.,26
poison pill,a strategy or action taken to make a situation or company unattractive to an unwelcome takeover.,26
bolt from the blue,something that happens unexpectedly and without warning.,25
put [pron] cart before [pron] horse,do things in the wrong order or prioritize the wrong things.,25
snowed under,overwhelmed with work or responsibilities.,25
salad days,"a period of youthful innocence, inexperience, and enthusiasm.",24
be dead to [pron] world,be completely oblivious to the events and people around you.,24
reinvent [pron] wheel,"to do something that has already been done before, usually in a more complicated or inefficient way.",24
sacred cow,"an idea, institution, or person that is treated with too much respect and not allowed to be criticized or changed.",24
peg out,die,23
every cloud has a silver lining,every difficult situation has a positive aspect.,23
under canvas,living in a tent or other temporary shelter.,23
go back to [pron] drawing board,start over from the beginning with a plan or idea.,23
prick up [pron] ears,pay close attention to something.,22
work like [pron] charm,work very effectively and efficiently.,22
self explanatory,clear and understandable without needing further explanation.,22
drink like [pron] fish,drink a lot of alcohol.,22
sell [pron] soul to [pron] devil,make a deal with someone that involves sacrificing one's principles or values in exchange for something desired.,22
play cat and mouse,"to engage in a game of pursuit, where one person is trying to catch the other.",22
below the salt,a phrase used to describe someone or something of low social standing.,22
at sixes and sevens,in a state of confusion or disarray.,21
fire [pron] imagination,inspire someone to think of new ideas or possibilities.,21
call [pron] tune,allow someone to make all the decisions.,20
first among equals,the most important or influential person in a group of people who are all considered to be of equal status.,19
sweat blood,work extremely hard and put in a lot of effort.,19
walk on air,to feel extremely happy and excited.,19
wild and woolly,"chaotic, unpredictable, and full of excitement.",19
baptism of fire,a situation in which someone is suddenly thrown into a difficult or dangerous situation and must quickly learn how to cope.,18
bright as a button,very intelligent and quick-witted.,18
quake in [pron] boots,be extremely scared or nervous.,18
wax and wane,to increase and decrease in intensity or size over time.,17
set [pron] ball rolling,start a process or activity.,17
a whole new ball game,a completely different situation or set of circumstances.,17
have eyes only for,only have romantic feelings for one person.,17
bring home [pron] bacon,provide for one's family financially.,17
carrot and stick,a method of motivation that combines rewards (carrots) with punishments (sticks) to encourage desired behavior.,16
work [pron] fingers to [pron] bone,work extremely hard and exhaust oneself.,16
cock and bull story,an unbelievable or far-fetched story.,16
give [pron] kiss of life,revive someone who is unconscious or near death.,15
the acid test,a decisive or conclusive test or measure of the quality or effectiveness of something.,15
third time lucky,the third attempt at something will be successful.,15
keep body and soul together,"manage to survive, especially in difficult circumstances.",15
a new lease of life,a new opportunity to start fresh and make changes in one's life.,15
pigs might fly,something that is impossible or highly unlikely to happen.,15
neither fish nor fowl,not belonging to any particular category or group.,14
come under fire,"be criticized or attacked, especially in a public way.",14
burn [pron] midnight oil,work late into the night.,14
lift [pron] curtain,reveal something that was previously hidden or unknown.,14
as poor as a church mouse,"very poor, having very little money.",13
easy on the ear,pleasing to listen to.,13
war of nerves,a situation in which two people or groups try to gain an advantage over each other by using psychological tactics.,13
grin like [pron] cheshire cat,smile broadly and mischievously.,13
be in black and white,be clearly stated and understood.,13
get religion,to become very serious and devoted to a particular belief system or cause.,12
watch this space,wait and see what happens next.,12
trouble and strife,a term of endearment used to refer to one's spouse or significant other.,12
dressed up to the nines,dressed in one's best clothes.,12
on the horns of a dilemma,in a difficult situation where it is hard to choose between two options.,12
make hay while the sun shines,take advantage of a good opportunity while it is available.,11
scream blue murder,shout or yell very loudly and angrily.,11
familiarity breeds contempt,being too familiar with someone or something can lead to a lack of respect or appreciation.,11
let [pron] heart rule [pron] head,make decisions based on emotions rather than logic.,11
learn by heart,memorize something so that it can be recalled without difficulty.,10
be on cloud nine,be extremely happy and content.,10
come rain or shine,"no matter what the circumstances, something will happen.",10
keep [pron] wolf from [pron] door,make enough money to pay for basic necessities.,10
a safe pair of hands,someone who is reliable and trustworthy and can be relied upon to do a good job.,9
for love nor money,"no matter how hard one tries, it is impossible to obtain something.",9
charity begins at home,one should take care of their own family and friends before helping others.,9
first come first served,the people who arrive first will be served first.,9
chew [pron] cud,think deeply and reflect on something.,8
money for old rope,making money easily with little effort.,8
ring fencing,protecting something from external interference or risk by isolating it.,7
get in [pron] hair,annoy or bother someone.,7
gender bender,someone who does not conform to traditional gender roles.,7
the men in grey suits,"people in positions of authority, especially those in government or corporate roles.",7
be under no illusions,do not have false hopes or expectations; be realistic.,7
put [pron] shoulder to [pron] wheel,work hard and diligently to achieve a goal.,7
swim against [pron] tide,go against the majority opinion or trend.,6
eat humble pie,admit one's mistakes and apologize for them humbly.,6
red letter day,"a special or important day, usually one that is remembered or celebrated.",6
be sick and tired of,be extremely annoyed or frustrated with something.,6
take for [pron] ride,deceive or mislead someone for personal gain.,6
canteen culture,"a workplace culture that is informal and relaxed, where employees are encouraged to socialize and interact with each other.",6
trip [pron] light fantastic,dance joyfully and energetically.,6
a storm in a teacup,a situation that is made to seem much more serious or important than it really is.,5
love to death,"to love someone or something too much, to the point of being overbearing.",5
wag [pron] dog,manipulate someone to do something for one's own benefit.,5
shake in [pron] shoes,be very scared or nervous about something.,5
not bat [pron] eyelid,show no reaction or emotion.,5
put [pron] cat among [pron] pigeons,introduce a disruptive element into a situation.,5
dice with death,"take a great risk, especially one that could lead to death.",4
a load of cobblers,something that is not true or is nonsense.,4
meet [pron] waterloo,experience a complete and total defeat or failure.,4
the spirit of the law,"the underlying purpose or intent of a law, rather than its literal interpretation.",4
dream ticket,an ideal combination of people or things that would be perfect for a particular situation.,4
have [pron] whale of [pron] time,have a great time.,3
syrup of figs,a phrase used to describe something that is pleasant and soothing.,3
bring [pron] curtain down,"end something, usually a performance or presentation.",3
be in deep water,be in a difficult situation or in trouble.,2
volte face,a complete reversal of opinion or course of action.,2
sail close to [pron] wind,"take risks, act dangerously, or do something that is close to the edge of what is acceptable.",2
stir up [pron] hornets' nest,do something that will cause a lot of trouble or anger.,1
flog [pron] dead horse,continue to discuss or debate a topic that has already been resolved.,1
play away from home,engage in activities outside of one's usual environment or comfort zone.,1
fight like cat and dog,constantly argue and disagree with each other.,1
draw in [pron] horns,to become more cautious or conservative in one's actions or decisions.,1
take breath away,to be so amazing or shocking that it causes someone to be speechless.,1
laugh up [pron] sleeve,secretly feel or show amusement at someone or something.,1
draw [pron] shortest straw,be the one who has to do something unpleasant or undesirable.,1
jump in at [pron] deep end,to take on a difficult task without any prior experience or preparation.,1
play devil's advocate,to argue a position or opinion that one does not necessarily agree with in order to explore all sides of an issue.,1
burn candles at both ends,"work or study excessively, often leading to exhaustion.",1
