index,idiom_set,idiom
504,"frozenset({'keep', 'clean', 'nose'})",keep your nose clean
505,"frozenset({'kill', 'lays', 'goose', 'egg', 'golden'})",kill the goose that lays the golden egg
506,"frozenset({'buck', 'up'})",buck up
507,"frozenset({'man', 'island', 'no'})",no man is an island
508,"frozenset({'queensberry', 'rules'})",Queensberry rules
509,"frozenset({'vive', 'qui'})",qui vive
510,"frozenset({'rack', 'brains'})",rack your brains
511,"frozenset({'cross', 'come', 'when', 'bridge'})",cross that bridge when we come to it
512,"frozenset({'goose', 'cook'})",cook his goose
513,"frozenset({'down', 'ton', 'bricks', 'came', 'like'})",came down like a ton of bricks
514,"frozenset({'coast', 'clear'})",coast is clear
515,"frozenset({'horizon', 'cloud'})",cloud on the horizon
516,"frozenset({'clamp', 'down'})",clamp down
517,"frozenset({'wind', 'chill'})",chill wind
518,"frozenset({'torch', 'carry'})",carry the torch for
519,"frozenset({'can', 'carry'})",carry the can
520,"frozenset({'coals', 'castle', 'new', 'carry'})",carry coals to new castle
521,"frozenset({'cards', 'against', 'stacked'})",cards are stacked against
522,"frozenset({'tailed', 'eyed', 'bushy', 'bright', 'and'})",bright-eyed and bushy-tailed
523,"frozenset({'leg', 'broke'})",broke a leg
524,"frozenset({'out', 'fell', 'bottom'})",bottom fell out
525,"frozenset({'horn', 'blow'})",blow his own horn
526,"frozenset({'blind', 'leading'})",blind leading the blind
527,"frozenset({'sheep', 'black', 'family'})",black sheep of the family
528,"frozenset({'off', 'one', 'more', 'chew', 'bite', 'than', 'can'})",bite off more than one can chew
529,"frozenset({'horse', 'wrong', 'bet'})",bet on the wrong horse
530,"frozenset({'bent', 'ears'})",bent your ears
531,"frozenset({'see', 'begun', 'light'})",begun to see the light
532,"frozenset({'beat', 'drum'})",beat the drum
533,"frozenset({'beat', 'wall', 'head', 'against'})",beat his head against the wall
534,"frozenset({'beat', 'brain', 'out'})",beat your brain out
535,"frozenset({'made', 'tailor'})",been tailor made
536,frozenset({'edge'}),was on the edge
537,"frozenset({'walls', 'off', 'bouncing'})",being bouncing off the walls
538,"frozenset({'tune', 'dances'})",dances to the tune
539,"frozenset({'grave', 'dancing'})",dancing on their grave
540,"frozenset({'dead', 'duck'})",dead duck
541,"frozenset({'deep', 'down'})",deep down
542,"frozenset({'getting', 'fingers', 'burnt'})",getting my fingers burnt
543,"frozenset({'somebody', 'got', 'goat', 's'})",got somebody's goat
544,"frozenset({'got', 'off', 'back'})",got off your back
545,"frozenset({'out', 'gets', 'system'})",gets it out of his system
546,"frozenset({'got', 'hair'})",got in his hair
547,"frozenset({'out', 'loud', 'crying'})",for crying out loud
548,"frozenset({'mouth', 'foot'})",foot in mouth
549,"frozenset({'into', 'fling'})",fling him into
550,"frozenset({'fingers', 'and', 'thumbs'})",fingers and thumbs
551,"frozenset({'fight', 'battle', 'losing'})",fight a losing battle
552,"frozenset({'fall', 'cracks', 'through'})",fall through the cracks
553,"frozenset({'sword', 'fall'})",fall on his sword
554,"frozenset({'fall', 'feet'})",fall on our feet
555,"frozenset({'bats', 'belfry'})",bats in the belfry
556,"frozenset({'flat', 'fall'})",fall flat
557,"frozenset({'fall', 'first', 'hurdle'})",fall at first hurdle
558,"frozenset({'eyes', 'than', 'bigger', 'stomach'})",eyes are bigger than his stomach
559,"frozenset({'smoke', 'end'})",end in smoke
560,"frozenset({'alive', 'ate'})",ate her alive
561,"frozenset({'alive', 'eat'})",eat him alive
562,"frozenset({'crow', 'ate'})",ate crow
563,"frozenset({'between', 'wedge', 'drive'})",drive a wedge between
564,"frozenset({'its', 'feet', 'dragging'})",dragging its feet
565,"frozenset({'edged', 'sword', 'double'})",double-edged sword
566,"frozenset({'t', 'bricks', 'threw', 'when', 'house', 'don', 'glass', 'live'})",don't threw bricks when you live in a glass house
567,"frozenset({'cry', 't', 'spilt', 'don', 'milk', 'over'})",don't cry over spilt milk
568,"frozenset({'bullet', 'dodge'})",dodge a bullet
569,"frozenset({'back', 'dial'})",dial it back
570,"frozenset({'fall', 'side', 'way'})",fall by the way side
571,"frozenset({'territory', 'bandit'})",bandit territory
572,"frozenset({'ball', 'fire'})",ball of fire
573,"frozenset({'and', 'chain', 'ball'})",ball and chain
575,"frozenset({'apple', 'discord'})",apple of discord
576,"frozenset({'apple', 'eye'})",apple of eye
577,"frozenset({'upset', 'applecart'})",upset the applecart
578,"frozenset({'seal', 'approval'})",seal of approval
579,"frozenset({'arms', 'up'})",up in arms
580,"frozenset({'as', 'and', 'when'})",as and when
581,frozenset({'ascendant'}),in the ascendant
582,"frozenset({'s', 'ale', 'adam'})",Adam's ale
583,"frozenset({'grind', 'axe'})",axe to grind
584,"frozenset({'airs', 'give'})",give airs
585,"frozenset({'up', 'ante'})",up the ante
586,"frozenset({'ass', 'make'})",make an ass
587,frozenset({'arm'}),arm in arm
588,"frozenset({'agenda', 'or', 'top', 'high'})",high or top on agenda
589,"frozenset({'avant', 'garde'})",avant-garde
590,"frozenset({'matter', 'as', 'fact'})",as a matter of fact
591,frozenset({'about'}),about to
592,"frozenset({'s', 'length', 'arm', 'keep'})",keep at arm's length
593,frozenset({'according'}),according to
594,frozenset({'account'}),account for
595,"frozenset({'after', 'all'})",after all
596,"frozenset({'law', 'long', 'arm'})",long arm of the law
597,"frozenset({'all', 'sudden'})",all of a sudden
598,frozenset({'as'}),as to
599,"frozenset({'as', 'far'})",as far as
600,"frozenset({'as', 'long'})",as long as
601,"frozenset({'as', 'soon'})",as soon as
602,"frozenset({'hoc', 'ad'})",ad hoc
603,"frozenset({'got', 'better'})",got the better of them
604,"frozenset({'amuck', 'run', 'amok'})",run amok (amuck)
605,"frozenset({'omega', 'alpha', 'and'})",alpha and omega
606,"frozenset({'back', 'mines', 'salt'})",back to the salt mines
607,"frozenset({'back', 'horse', 'wrong'})",back the wrong horse
608,frozenset({'heels'}),at the heels of
609,"frozenset({'ladder', 'bottom'})",at the bottom of the ladder
610,"frozenset({'s', 'length', 'arm'})",at an arm's length
611,"frozenset({'wheel', 'asleep'})",asleep at the wheel
612,"frozenset({'asleep', 'switch'})",asleep at the switch
613,"frozenset({'asked', 'moon'})",asked for the moon
614,"frozenset({'apples', 'and', 'oranges'})",apples and oranges
615,"frozenset({'air', 'dirty', 'laundry'})",air their dirty laundry
616,"frozenset({'ahead', 'pack'})",ahead of the pack
617,"frozenset({'shadow', 'afraid'})",afraid of my own shadow
618,"frozenset({'hunt', 'witch'})",a witch hunt
619,"frozenset({'and', 'all', 'sundry'})",all and sundry
620,"frozenset({'call', 'wakeup'})",a wakeup call
621,"frozenset({'loose', 'screw'})",a screw loose
622,"frozenset({'roof', 'head', 'over'})",a roof over your head
623,"frozenset({'days', 'wonder', 'nine'})",a nine days wonder
624,"frozenset({'litmus', 'test'})",a litmus test
625,"frozenset({'cuckoo', 'nest'})",a cuckoo in the nest
626,"frozenset({'tears', 'crocodile'})",crocodile tears
627,frozenset({'abc'}),ABC
628,"frozenset({'take', 'into', 'account'})",take into account
630,"frozenset({'out', 'action'})",out of action
631,"frozenset({'from', 'z'})",from A to Z
632,"frozenset({'aback', 'take'})",take aback
633,frozenset({'accord'}),own accord
634,"frozenset({'brewing', 'storm'})",a storm is brewing
635,"frozenset({'got', 'bottom'})",got to the bottom of
636,"frozenset({'bird', 'give'})",give them a bird
637,"frozenset({'off', 'gloves'})",gloves are off
638,"frozenset({'s', 'too', 'far', 'going'})",that's going too far
639,"frozenset({'problems', 'teething'})",teething problems
640,"frozenset({'out', 'tore', 'hair'})",tore your hair out
641,"frozenset({'off', 'strip', 'tearing'})",tearing a strip off
642,"frozenset({'taking', 'medicine'})",taking your medicine
643,"frozenset({'take', 'biscuit'})",take the biscuit
644,"frozenset({'took', 'cover'})",took cover
645,"frozenset({'tables', 'turned'})",tables are turned
646,"frozenset({'stop', 'rot'})",stop the rot
647,"frozenset({'stops', 'tracks', 'dead'})",stops dead in their tracks
648,"frozenset({'throat', 'stick'})",stick in his throat
649,"frozenset({'toes', 'step'})",step on his toes
650,"frozenset({'shoes', 'snake'})",snake in the shoes
651,"frozenset({'tree', 'apple', 'fall', 'from', 'not', 'does', 'far'})",the apple does not fall far from the tree
652,"frozenset({'feathers', 'ruffled', 'smooth'})",smooth his ruffled feathers
653,"frozenset({'shot', 'dark'})",shot in the dark
654,"frozenset({'leg', 'shake'})",shake a leg
655,"frozenset({'see', 'tunnel', 'light', 'end'})",see light at end of tunnel
656,"frozenset({'scratch', 'surface'})",scratch the surface
657,"frozenset({'neck', 'saved'})",saved his neck
658,"frozenset({'sail', 'through'})",sail through
659,"frozenset({'rub', 'shoulders'})",rub shoulders
660,"frozenset({'red', 'carpet'})",red carpet
661,"frozenset({'drop', 'ready'})",ready to drop
662,"frozenset({'attic', 'rats'})",rats in the attic
663,"frozenset({'into', 'heart', 'put'})",put his heart into
664,"frozenset({'block', 'head', 'put'})",put your head on the block
665,"frozenset({'with', 'plays', 'fire'})",plays with fire
666,"frozenset({'smooth', 'sailing'})",smooth sailing
667,"frozenset({'cake', 'same', 'pieces'})",pieces of the same cake
668,"frozenset({'no', 'one', 'lights', 'but', 'home'})",the lights are on but no one is home
669,"frozenset({'throw', 'wall', 'over'})",throw it over the wall
670,"frozenset({'what', 'get', 'pay'})",you get what you pay for
671,"frozenset({'t', 'without', 'eggs', 'breaking', 'can', 'make', 'omelette'})",you can't make an omelette without breaking eggs
672,"frozenset({'ear', 't', 'out', 'sow', 'silk', 'make', 'purse', 's', 'can'})",you can't make a silk purse out of a sow's ear
673,"frozenset({'have', 'cake', 't', 'eat', 'and', 'can'})",you can't have your cake and eat it
674,"frozenset({'have', 'cake', 't', 'and', 'can', 'too', 'topping'})","you can't have cake and the topping, too"
675,"frozenset({'water', 't', 'drink', 'make', 'horse', 'can', 'lead', 'but'})","you can lead a horse to water, but you can't make it drink"
676,"frozenset({'choose', 't', 'friends', 'can', 'family', 'but'})","you can choose your friends, but you can't choose your family"
677,"frozenset({'written', 'face', 'over', 'all'})",written all over face
678,"frozenset({'up', 'wrapped', 'wool', 'cotton'})",wrapped up in cotton wool
679,"frozenset({'wouldn', 'seen', 't', 'dead'})",wouldn't be seen dead
680,"frozenset({'wooden', 'spoon'})",wooden spoon
681,"frozenset({'clean', 'slate', 'wipe'})",wipe the slate clean
682,"frozenset({'never', 'will', 'fly'})",will never fly
683,"frozenset({'rises', 'and', 'sets', 'sun'})",the sun rises and sets on them
684,"frozenset({'dark', 'whistle'})",whistle in the dark
685,"frozenset({'floats', 'boat', 'whatever'})",whatever floats my boat
686,"frozenset({'s', 'wet', 'baby', 'head'})",wet the baby's head
687,"frozenset({'platter', 'want', 'head'})",want his head on a platter
688,"frozenset({'broken', 'walking', 'glass'})",walking on broken glass
689,"frozenset({'circling', 'vultures'})",vultures are circling
690,"frozenset({'voice', 'wilderness'})",voice in the wilderness
691,"frozenset({'velvet', 'glove'})",velvet glove
692,"frozenset({'neck', 'up'})",up to the neck
693,"frozenset({'paddle', 'river', 'up', 'without'})",up a river without a paddle
694,"frozenset({'nose', 'under'})",under your nose
695,"frozenset({'uncharted', 'waters'})",uncharted waters
696,"frozenset({'glasses', 'looked', 'colored', 'through'})",looked through colored glasses
697,"frozenset({'spot', 'tight'})",tight spot
698,"frozenset({'off', 'wheels', 'fall'})",wheels fall off
699,"frozenset({'as', 'well'})",as well as
700,"frozenset({'wounds', 'open', 'old'})",open old wounds
701,"frozenset({'s', 'pig', 'back'})",on the pig's back
702,"frozenset({'johnny', 'spot'})",johnny on the spot
703,"frozenset({'jobs', 'boys'})",jobs for the boys
704,"frozenset({'jam', 'tomorrow'})",jam tomorrow
705,"frozenset({'face', 'jam'})",jam on your face
706,"frozenset({'jack', 'lad'})",jack the lad
707,"frozenset({'s', 'rocket', 'science', 'not'})",it's not rocket science
708,frozenset({'doghouse'}),in the doghouse
709,"frozenset({'full', 'swing'})",in full swing
710,"frozenset({'t', 'out', 'get', 'if', 'heat', 'stand', 'can', 'kitchen'})","if you can't stand the heat, get out of the kitchen"
711,"frozenset({'fits', 'shoe', 'wear', 'if'})","if the shoe fits, wear it"
712,"frozenset({'hornets', 'nest'})",hornets' nest
713,"frozenset({'hold', 'water'})",hold water
714,"frozenset({'hold', 'horse'})",hold his horse
715,"frozenset({'comes', 'johnny', 'lately'})",Johnny comes lately
716,"frozenset({'s', 'hit', 'eye', 'bull'})",hit the bull's-eye
717,"frozenset({'have', 'bigger', 'eyes', 'than', 'stomach'})",have eyes bigger than stomach
718,"frozenset({'have', 'clean', 'hands'})",have clean hands
719,"frozenset({'have', 'ants', 'pants'})",have ants in your pants
720,"frozenset({'have', 'spot', 'soft'})",have a soft spot
721,"frozenset({'have', 'big', 'mouth'})",have a big mouth
722,"frozenset({'happy', 'camper'})",happy camper
723,"frozenset({'out', 'dry', 'hung'})",hung out to dry
724,"frozenset({'hammer', 'and', 'tongs'})",hammer and tongs
725,"frozenset({'had', 'chips'})",had your chips
726,"frozenset({'graveyard', 'shift'})",graveyard shift
727,"frozenset({'got', 'slap', 'wrist'})",got the slap on the wrist
728,"frozenset({'got', 'made'})",got it made
729,"frozenset({'went', 'mill', 'through'})",went through the mill
730,"frozenset({'heart', 'mouth'})",heart in his mouth
731,"frozenset({'knows', 'pinches', 'only', 'where', 'shoe', 'wearer'})",only the wearer knows where the shoe pinches
732,"frozenset({'club', 'joined'})",joined the club
733,"frozenset({'out', 'there', 'jungle'})",jungle out there
734,frozenset({'hook'}),on the hook
735,"frozenset({'edge', 'seat'})",on the edge of their seat
736,"frozenset({'legs', 'its', 'last'})",on its last legs
737,"frozenset({'knees', 'its'})",on its knees
738,"frozenset({'branch', 'olive'})",olive branch
739,"frozenset({'not', 'getting', 'anywhere'})",not getting anywhere
740,"frozenset({'brush', 'sweeps', 'new', 'clean'})",new brush sweeps clean
741,"frozenset({'never', 'back', 'looked'})",never looked back
742,"frozenset({'full', 'hands'})",my hands are full
743,"frozenset({'s', 'law', 'murphy'})",murphy's law
744,"frozenset({'heat', 'than', 'light', 'more'})",more heat than light
745,"frozenset({'makes', 'burn', 'ears'})",makes my ears burn
746,"frozenset({'hackles', 'makes', 'rise'})",makes his hackles rise
747,"frozenset({'and', 'judge', 'jury', 'executioner'})","judge, jury and executioner"
748,"frozenset({'break', 'or', 'make'})",make or break
749,"frozenset({'song', 'make', 'and', 'dance'})",make a song and dance
750,"frozenset({'throat', 'lump'})",lump in my throat
751,"frozenset({'marbles', 'lost'})",lost her marbles
752,"frozenset({'fishes', 'and', 'loaves'})",loaves and fishes
753,"frozenset({'wounds', 'lick'})",lick his wounds
754,"frozenset({'lips', 'lick'})",lick your lips
755,"frozenset({'let', 'down', 'hair'})",let your hair down
756,"frozenset({'last', 'resort'})",last resort
757,"frozenset({'wind', 'knowing', 'which', 'blows', 'way'})",knowing which way the wind blows
758,"frozenset({'kick', 'yourself'})",kick yourself
759,"frozenset({'boat', 'off', 'just'})",just off the boat
760,"frozenset({'just', 'corner', 'around'})",just around the corner
761,"frozenset({'s', 'jury', 'out'})",jury's out
762,"frozenset({'lie', 'bed', 'ones', 'and', 'make'})",make ones bed and lie on it
763,"frozenset({'arrive', 'body'})",arrive in a body
764,"frozenset({'blow', 'account'})",blow-by-blow account
765,frozenset({'ages'}),ages
766,frozenset({'core'}),to the core
767,"frozenset({'la', 'creme', 'de'})",creme de la creme
768,frozenset({'cash'}),cash in
769,"frozenset({'head', 'clouds'})",head in the clouds
770,"frozenset({'channels', 'through', 'go'})",go through channels
771,"frozenset({'choke', 'up'})",choke up
772,"frozenset({'pretty', 'pass', 'come'})",come to a pretty pass
773,frozenset({'cinch'}),a cinch
774,"frozenset({'out', 'carry'})",carry out
775,frozenset({'come'}),come on
776,"frozenset({'come', 'up'})",come up
777,"frozenset({'come', 'with', 'up'})",come up with
778,"frozenset({'follower', 'camp'})",camp follower
779,"frozenset({'and', 'dried', 'cut'})",cut and dried
780,"frozenset({'chapter', 'and', 'verse'})",chapter and verse
781,"frozenset({'not', 'give', 'damn'})",not give a damn
782,frozenset({'dark'}),in the dark
783,"frozenset({'death', 'scare', 'frighten', 'or'})",frighten or scare to death
784,"frozenset({'out', 'depth', 's', 'one'})",out of one's depth
785,"frozenset({'fingers', 'crossed'})",fingers crossed
786,"frozenset({'wouldn', 't', 'dream'})",wouldn't dream of
787,"frozenset({'drawn', 'daggers'})",at daggers drawn
788,"frozenset({'damp', 'squib'})",a damp squib
789,"frozenset({'tune', 'dance'})",dance to tune
790,"frozenset({'damper', 'put'})",put damper on
791,"frozenset({'day', 'call'})",call it a day
792,"frozenset({'day', 'win'})",win the day
793,"frozenset({'s', 'day', 'work', 'all'})",all in a day's work
794,"frozenset({'and', 'change', 'chop'})",chop and change
795,"frozenset({'day', 'reckoning'})",day of reckoning
796,"frozenset({'come', 'again'})",come again
797,"frozenset({'dagger', 'and', 'cloak'})",cloak and dagger
798,"frozenset({'curry', 'favour'})",curry favour
799,"frozenset({'both', 'ways', 'cut'})",cut both ways
800,"frozenset({'cuff', 'off'})",off the cuff
801,"frozenset({'down', 'cut'})",cut down
802,"frozenset({'according', 'coat', 'cut', 'cloth'})",cut coat according to cloth
803,"frozenset({'blanche', 'carte'})",carte blanche
804,"frozenset({'catch', 'napping'})",catch napping
805,frozenset({'cave'}),cave in
806,frozenset({'chime'}),chime in
807,"frozenset({'clay', 'feet'})",feet of clay
808,"frozenset({'coin', 'money'})",coin money
809,"frozenset({'pass', 'come'})",come to pass
810,"frozenset({'cool', 'heels'})",cool heels
811,frozenset({'clover'}),in a clover
812,frozenset({'cahoots'}),in the cahoots
813,"frozenset({'easy', 'come', 'go'})","easy come, easy go"
815,"frozenset({'thrust', 'and', 'cut'})",cut and thrust
816,"frozenset({'calm', 'before', 'storm'})",the calm before the storm
817,"frozenset({'bird', 'early'})",early bird
818,"frozenset({'queer', 'pitch'})",queer pitch
819,"frozenset({'quote', 'unquote'})","quote, unquote"
820,"frozenset({'vent', 'spleen'})",vent spleen
821,"frozenset({'versa', 'vice'})",vice versa
822,"frozenset({'x', 'spot', 'marks'})",x marks the spot
823,"frozenset({'out', 'will', 'find', 'sins'})",your sins will find you out
824,"frozenset({'classes', 'chattering'})",the chattering classes
825,"frozenset({'hearted', 'chicken'})",chicken hearted
826,"frozenset({'due', 'course'})",in due course
827,frozenset({'cue'}),on cue
829,"frozenset({'deliver', 'goods'})",deliver the goods
830,"frozenset({'s', 'uppers', 'one'})",on one's uppers
831,frozenset({'up'}),be up on
832,"frozenset({'s', 'man', 'yesterday'})",yesterday's man
833,"frozenset({'take', 'vain', 'name'})",take name in vain
834,"frozenset({'between', 'caught', 'stools', 'two'})",caught between two stools
835,"frozenset({'judge', 't', 'cover', 'its', 'book', 'can'})",can't judge a book by its cover
836,"frozenset({'backseat', 'driver'})",backseat driver
837,"frozenset({'flames', 'add', 'fuel'})",add fuel to the flames
838,"frozenset({'accidentally', 'purpose'})",accidentally on purpose
839,"frozenset({'business', 'monkey'})",monkey business
840,frozenset({'t'}),to a T
841,frozenset({'tandem'}),in tandem
842,"frozenset({'tall', 'poppy'})",tall poppy
843,"frozenset({'milk', 'cry', 'spilt', 'over'})",cry over spilt milk
844,"frozenset({'before', 't', 'don', 'count', 'chickens', 'hatch'})",don't count your chickens before they hatch
845,"frozenset({'job', 't', 'don', 'day', 'up', 'give'})",don't give up the day job
846,"frozenset({'measures', 'call', 'drastic', 'times'})",drastic times call for drastic measures
847,"frozenset({'one', 't', 'don', 'eggs', 'basket', 'all', 'put'})",don't put all your eggs in one basket
848,"frozenset({'hear', 'grapevine'})",hear on the grapevine
849,"frozenset({'from', 'cry', 'far'})",far cry from
850,"frozenset({'viper', 'bosom'})",viper in bosom
851,"frozenset({'virtue', 'necessity', 'make'})",make a virtue of necessity
852,"frozenset({'off', 'warn'})",warn off
853,"frozenset({'hands', 'wash'})",wash hands of
854,"frozenset({'tango', 'two', 'takes'})",takes two to tango
855,"frozenset({'act', 'balancing'})",balancing act
856,"frozenset({'kill', 'two', 'one', 'birds', 'with', 'stone'})",kill two birds with one stone
857,"frozenset({'rack', 'and', 'manger', 'live'})",live at rack and manger
858,"frozenset({'s', 'advocate', 'devil'})",devil's advocate
859,"frozenset({'deal', 'get', 'raw'})",get a raw deal
860,"frozenset({'uncle', 'tom', 'all', 'and', 'cobley'})",uncle Tom Cobley and all
861,"frozenset({'beyond', 'veil'})",beyond the veil
862,"frozenset({'devil', 'due', 'give'})",give the devil his due
863,"frozenset({'die', 'hard'})",die hard
864,"frozenset({'die', 'harness'})",die in harness
865,"frozenset({'die', 'cast'})",the die is cast
866,"frozenset({'public', 'dirty', 'wash', 'linen'})",wash dirty linen in public
867,frozenset({'doldrums'}),doldrums
868,"frozenset({'vu', 'deja'})",deja vu
869,"frozenset({'dead', 'end'})",dead end
870,frozenset({'dot'}),on the dot
871,"frozenset({'double', 'whammy'})",double whammy
872,"frozenset({'and', 'drabs', 'dribs'})",dribs and drabs
873,"frozenset({'dudgeon', 'high'})",in high dudgeon
874,"frozenset({'with', 'deals'})",deals with
875,"frozenset({'late', 'unpleasantness'})",late unpleasantness
876,"frozenset({'play', 'ear'})",play by ear
877,"frozenset({'off', 'take', 'edge'})",take the edge off
878,"frozenset({'up', 'liquor'})",liquor up
879,"frozenset({'cat', 'bell'})",bell the cat
880,"frozenset({'wheel', 'third', 'fifth', 'or'})",third wheel or fifth wheel
881,"frozenset({'s', 'hours', 'banker'})",banker's hours
882,"frozenset({'penny', 'thoughts'})",penny for your thoughts
883,"frozenset({'sliced', 'thing', 'since', 'best', 'bread'})",best thing since sliced bread
885,"frozenset({'save', 'breath'})",save your breath
886,"frozenset({'up', 'belly'})",belly up
887,"frozenset({'spin', 'yarn'})",spin a yarn
888,"frozenset({'years', 'vale'})",vale of years
889,"frozenset({'life', 'variety', 'spice'})",variety is the spice of life
890,"frozenset({'early', 'days'})",early days
891,"frozenset({'catch', 'up'})",catch up
892,"frozenset({'take', 'cudgels', 'up'})",take up the cudgels
893,"frozenset({'cup', 'tea'})",cup of tea
894,"frozenset({'dogs', 'and', 'raining', 'cats'})",raining cats and dogs
895,"frozenset({'belt', 'below'})",below the belt
896,"frozenset({'best', 'make'})",make the best of
897,"frozenset({'safe', 'bet'})",safe bet
898,frozenset({'better'}),the better of
899,"frozenset({'better', 'half'})",better half
900,"frozenset({'beyond', 'shadow', 'doubt'})",beyond a shadow of doubt
901,"frozenset({'bide', 'time'})",bide time
902,"frozenset({'bill', 'fill'})",fill the bill
903,"frozenset({'bill', 'foot'})",foot the bill
904,"frozenset({'bird', 'hand'})",a bird in the hand
905,"frozenset({'bits', 'and', 'pieces'})",bits and pieces
906,"frozenset({'hand', 'feed', 'bite'})",bite the hand that feed
907,"frozenset({'bed', 'roses'})",a bed of roses
908,"frozenset({'off', 'more', 'chew', 'bite', 'than', 'can'})",bite off more than can chew
909,"frozenset({'think', 'outside', 'box'})",think outside the box
910,"frozenset({'butter', 'and', 'bread'})",bread and butter
911,"frozenset({'brunt', 'bear'})",bear the brunt of
912,"frozenset({'bridges', 'burn'})",burn bridges
913,"frozenset({'bull', 'china', 'shop'})",bull in a china shop
914,"frozenset({'burner', 'back'})",on the back burner
915,"frozenset({'as', 'busy', 'bee'})",as busy as a bee
916,"frozenset({'turn', 'back'})",turn back on
917,"frozenset({'butterflies', 'stomach'})",butterflies in stomach
918,"frozenset({'bird', 'passage'})",bird of passage
919,"frozenset({'blue', 'blood'})",blue blood
920,"frozenset({'bona', 'fide'})",bona fide
921,"frozenset({'yesterday', 'born'})",born yesterday
922,"frozenset({'draw', 'blank'})",draw a blank
923,frozenset({'bottom'}),at bottom
924,"frozenset({'baying', 'blood'})",baying for blood
925,"frozenset({'bated', 'breath'})",bated breath
926,"frozenset({'up', 'all'})",all up
927,"frozenset({'as', 'aside'})",as an aside
928,"frozenset({'as', 'broad', 'long'})",as broad as long
929,"frozenset({'back', 'see'})",to see the back of
930,"frozenset({'bad', 'way'})",in a bad way
931,"frozenset({'rolling', 'ball'})",the ball rolling
932,"frozenset({'bed', 'out', 'get', 'side', 'wrong'})",get out of bed on the wrong side
933,"frozenset({'benefit', 'doubt'})",the benefit of the doubt
934,"frozenset({'hell', 'give'})",give hell
935,"frozenset({'board', 'above'})",above board
936,"frozenset({'boat', 'push', 'out'})",push the boat out
937,"frozenset({'bone', 'contention'})",bone of contention
939,"frozenset({'baton', 'pass'})",pass on the baton
940,"frozenset({'get', 'bottom'})",get to the bottom
941,"frozenset({'cross', 'bridge'})",cross the bridge
942,frozenset({'brink'}),on the brink of
943,"frozenset({'door', 'back'})",back door
944,"frozenset({'take', 'back', 'seat'})",take a back seat
945,"frozenset({'bag', 'and', 'baggage'})",bag and baggage
946,"frozenset({'nerves', 'bag', 'bundle', 'or'})",a bag or bundle of nerves
947,"frozenset({'have', 'ball'})",have a ball
948,frozenset({'bang'}),bang on
949,"frozenset({'bang', 'with', 'go'})",go with a bang
950,"frozenset({'tree', 'wrong', 'up', 'bark'})",bark up the wrong tree
951,"frozenset({'back', 'basics'})",back to basics
952,frozenset({'bay'}),at bay
953,"frozenset({'beat', 'retreat', 'hasty'})",beat a hasty retreat
954,"frozenset({'back', 'square', 'one'})",back to square one
955,"frozenset({'crystal', 'clear'})",crystal clear
956,"frozenset({'hide', 'bushel', 'light', 'under'})",hide light under a bushel
957,"frozenset({'bad', 'mouth'})",bad-mouth
958,"frozenset({'circle', 'come', 'full'})",come full circle
959,"frozenset({'hobson', 's', 'choice'})",Hobson's choice
960,"frozenset({'clean', 'slate'})",clean slate
961,"frozenset({'cold', 'comfort'})",cold comfort
962,"frozenset({'clock', 'back', 'put'})",put the clock back
963,"frozenset({'sweep', 'clean'})",clean sweep
964,"frozenset({'clear', 'decks'})",clear the decks
965,"frozenset({'book', 'closed'})",closed book
966,"frozenset({'out', 'closet'})",out of the closet
968,"frozenset({'phrase', 'coin'})",coin a phrase
969,"frozenset({'catch', 'cold'})",catch a cold
970,"frozenset({'cold', 'pour', 'water'})",pour cold water on
971,"frozenset({'circles', 'round', 'go'})",go round in circles
972,"frozenset({'course', 'collision'})",be on a collision course
973,"frozenset({'conspiracy', 'silence'})",conspiracy of silence
974,"frozenset({'cold', 'feet'})",cold feet
975,"frozenset({'s', 'heart', 'content'})",to heart's content
976,"frozenset({'as', 'cool', 'cucumber'})",cool as cucumber
977,"frozenset({'power', 'corridors'})",the corridors of power
978,"frozenset({'wrap', 'wool', 'cotton'})",wrap in cotton wool
979,"frozenset({'count', 'chicken'})",count chicken
980,"frozenset({'cover', 'blow'})",blow cover
981,"frozenset({'get', 'cracking'})",get cracking
983,"frozenset({'glory', 'crowning'})",crowning glory
984,"frozenset({'comes', 'crunch'})",comes to the crunch
985,"frozenset({'full', 'cry'})",full cry
986,"frozenset({'colors', 'true', 'show'})",show true colors
987,"frozenset({'business', 'mean'})",mean business
988,"frozenset({'down', 'chips', 'when'})",when the chips are down
989,"frozenset({'cheers', 'three'})",three cheers for
990,"frozenset({'stab', 'back'})",stab in the back
991,"frozenset({'take', 'beating'})",take a beating
992,"frozenset({'laugh', 'belly'})",belly laugh
993,"frozenset({'big', 'make'})",make it big
994,"frozenset({'bitter', 'medicine'})",bitter medicine
995,"frozenset({'after', 'blood'})",after blood
996,"frozenset({'bonnet', 'bee'})",bee in bonnet
997,"frozenset({'collar', 'blue'})",blue-collar
998,"frozenset({'book', 'go'})",go by the book
999,"frozenset({'buzz', 'word'})",buzz word
1000,"frozenset({'better', 'off'})",better off
1001,"frozenset({'break', 'down'})",break down
1002,frozenset({'way'}),by the way
1003,"frozenset({'armour', 'chink'})",chink in armour
1004,"frozenset({'between', 'and', 'betwixt'})",betwixt and between
1005,frozenset({'black'}),in the black
1006,"frozenset({'differ', 'beg'})",beg to differ
