idiom_set,idiom_EPIE,meaning_EPIE,example_EPIE,tag_EPIE,idiom_dictionary,meaning_dictionary,example_dictionary,idiom_bookcorpus,meaning_bookcorpus
"frozenset({'ant', 'pant'})",,,,,ants in pants,be extremely restless,The young students just can't sit still; they must have ants in their pants.,ants in my pants,to not be able to keep still because you are very excited or worried about something
"frozenset({'got', 'better'})",,,,,,,,got the better of them,to defeat someone
"frozenset({'got', 'bottom'})",,,,,,,,got to the bottom of,to discover the truth about a situation
"frozenset({'bird', 'give'})",,,,,,,,give them a bird,to hold up your middle finger as a very rude sign
"frozenset({'far', 'go'})",,,,,,,,that's going too far,to do something that is considered extreme or unacceptable
"frozenset({'teeth', 'problem'})",,,,,,,,teething problems,the difficulties encountered during the initial stage of an activity or project
"frozenset({'out', 'tore', 'hair'})",,,,,,,,tore your hair out,to be extremely agitated or distressed about something
"frozenset({'off', 'strip', 'tear'})",,,,,,,,tearing a strip off,to reprimand someone severely for doing something wrong
"frozenset({'medicin', 'take'})",,,,,,,,taking your medicine,to accept the consequences of something you have done wrong
"frozenset({'take', 'biscuit'})",,,,,,,,take the biscuit,be the most remarkable or foolish of its kind
"frozenset({'took', 'cover'})",,,,,,,,took cover,protect oneself from attack by ducking down into or under a shelter
"frozenset({'stop', 'rot'})",,,,,,,,stop the rot,"when you prevent a situation from deteriorating, especially in business or politics"
"frozenset({'track', 'dead', 'stop'})",,,,,,,,stops dead in their tracks,to stop suddenly because you are totally surprised or frightened
"frozenset({'throat', 'stick'})",,,,,,,,stick in his throat,difficulty of accepting and makes you angry or resentful
"frozenset({'step', 'toe'})",,,,,,,,step on his toes,to annoy or irritate someone by intervening in a situation that is their responsibility
"frozenset({'shoe', 'snake'})",,,,,,,,snake in the shoes,to be in a state of fear
"frozenset({'ruffl', 'feather', 'smooth'})",,,,,,,,smooth his ruffled feathers,to make someone feel less angry or offended
"frozenset({'sail', 'smooth'})",,,,,,,,smooth sailing,easy progress without impediment or difficulty
"frozenset({'shot', 'dark'})",,,,,,,,shot in the dark,an attempt to guess something when you have no information or knowledge about the subject and therefore cannot possibly know what the answer is
"frozenset({'leg', 'shake'})",,,,,,,,shake a leg,"to go fast, hurry"
"frozenset({'see', 'tunnel', 'light', 'end'})",,,,,,,,see light at end of tunnel,to see signs of hope for the future after a long period of difficulty
"frozenset({'surfac', 'scratch'})",,,,,,,,scratch the surface,to deal with only a small part of a problem
"frozenset({'neck', 'save'})",,,,,,,,saved his neck,to manage to escape from serious danger or trouble
"frozenset({'sail', 'through'})",,,,,,,,sail through,to succeed in doing it without difficulty
"frozenset({'rub', 'shoulder'})",,,,,,,,rub shoulders,"to meet and spend time with people, especially when they are powerful or famous"
"frozenset({'red', 'carpet'})",,,,,,,,red carpet,to give people a special welcome to show that you think they are important
"frozenset({'drop', 'readi'})",,,,,,,,ready to drop,to be extremely tired and nearly too exhausted to stay standing
"frozenset({'rat', 'attic'})",,,,,,,,rats in the attic,someone who is bit mad or that their behaviour is eccentric
"frozenset({'heart', 'put'})",,,,,,,,put his heart into,to be very enthusiastic and invest a lot of energy and hard work in something
"frozenset({'block', 'head', 'put'})",,,,,,,,put your head on the block,if you put yourself in a dangerous situation where you risk losing your job or your reputation if things go wrong
"frozenset({'play', 'fire'})",,,,,,,,plays with fire,people who take unnecessary risks or behave in a dangerous way
"frozenset({'tree', 'fall', 'appl', 'doe', 'far'})",,,,,,,,the apple does not fall far from the tree,offspring grow up to be like their parents
"frozenset({'cake', 'same', 'piec'})",,,,,,,,pieces of the same cake,things that have the same characteristics or qualities
"frozenset({'but', 'light', 'home', 'one'})",,,,,,,,the lights are on but no one is home,"this is a humorous way of referring to someone who is lacking intelligence or sanity, or to someone who is simply preoccupied and not paying attention"
"frozenset({'throw', 'wall'})",,,,,,,,throw it over the wall,"to deal with part of a problem or project, then pass the responsibility to another person or department without any communication or coordination"
"frozenset({'break', 'without', 'egg', 'omelett', 'make'})",,,,,,,,you can't make an omelette without breaking eggs,"in order to achieve something or make progress, there are often losers in the process"
"frozenset({'purs', 'ear', 'out', 'sow', 'silk', 'make'})",,,,,,,,you can't make a silk purse out of a sow's ear,"if something isn't very good to start with, you can't do much to improve it"
"frozenset({'have', 'cake', 'eat'})",,,,,,,,you can't have your cake and eat it,you can't have things both ways
"frozenset({'have', 'top', 'cake'})",,,,,,,,"you can't have cake and the topping, too","you can't have everything the way you want it, especially if your desires are contradictory"
"frozenset({'water', 'drink', 'hors', 'lead', 'but', 'make'})",,,,,,,,"you can lead a horse to water, but you can't make it drink","you can offer something to someone, like good advice, but you cannot make them take it"
"frozenset({'famili', 'choos', 'but', 'friend'})",,,,,,,,"you can choose your friends, but you can't choose your family","some things you can choose, but others you cannot, so you have to try to make the best of what you have where you have no choice"
"frozenset({'written', 'face', 'all'})",,,,,,,,written all over face,when someone's feelings or thoughts are very clear
"frozenset({'wool', 'wrap', 'up', 'cotton'})",,,,,,,,wrapped up in cotton wool,to be over-protected from dangers and risks
"frozenset({'seen', 'dead'})",,,,,,,,wouldn't be seen dead,to be too ashamed or embarrassed of something
"frozenset({'wooden', 'spoon'})",,,,,,,,wooden spoon,the person who finishes last in a race or competition receives an imaginary prize
"frozenset({'clean', 'slate', 'wipe'})",,,,,,,,wipe the slate clean,"to make a fresh start and forget all past offences, disagreements or mistakes"
"frozenset({'never', 'fli'})",,,,,,,,will never fly,there's no chance that something will work; to be unsuccessful
"frozenset({'whistl', 'dark'})",,,,,,,,whistle in the dark,to try to hide your fear in a scary or dangerous situation
"frozenset({'off', 'wheel', 'fall'})",,,,,,,,wheels fall off,when a situation gets out of control and everything starts to go wrong
"frozenset({'boat', 'whatev', 'float'})",,,,,,,,whatever floats my boat,"although you don't quite agree with someone, it's their choice and you think they should so whatever makes them happy"
"frozenset({'wet', 'head', 'babi'})",,,,,,,,wet the baby's head,to have drink to celebrate the birth of a baby
"frozenset({'platter', 'want', 'head'})",,,,,,,,want his head on a platter,when someone makes you so angry that you want them to be punished
"frozenset({'broken', 'walk', 'glass'})",,,,,,,,walking on broken glass,when a person is punished for something
"frozenset({'vultur', 'circl'})",,,,,,,,vultures are circling,when something is in danger and its enemies are getting ready for the kill
"frozenset({'voic', 'wilder'})",,,,,,,,voice in the wilderness,"someone who expresses an opinion that no one believes or listens to, especially if proved right later"
"frozenset({'velvet', 'glove'})",,,,,,,,velvet glove,"a person who appears gentle, but is determined and inflexible underneath"
"frozenset({'neck', 'up'})",,,,,,,,up to the neck,"when people are very involved in something, especially when it's something wrong"
"frozenset({'paddl', 'river', 'up', 'without'})",,,,,,,,up a river without a paddle,"when you are in an unfortunate situation, unprepared and with none of the resources to remedy the matter"
"frozenset({'nose', 'under'})",,,,,,,,under your nose,"when something happens right in front of you, especially if it is surprising or audacious"
"frozenset({'unchart', 'water'})",,,,,,,,uncharted waters,"when you are in a situation that is unfamiliar to you, that you have no experience of and don't know what might happen"
"frozenset({'glass', 'look', 'color', 'through'})",,,,,,,,looked through colored glasses,to look the things not as they are; having a heavily biased worldview
"frozenset({'spot', 'tight'})",,,,,,,,tight spot,to be in a very difficult situation
"frozenset({'set', 'rise', 'sun'})",,,,,,,,the sun rises and sets on them,to believe that someone is the most wonderful and important person in the world; to love and adore someone more than anyone else
"frozenset({'broad', 'long'})",,,,,as broad as long,"ing: the same, whatever way you look at it. Example: He could not decide which formal suit to purchase - he thought the choice was just about as broad as it was longExample: ing: the same, whatever way you look at it. ","He could not decide which formal suit to purchase - he thought the choice was just about as broad as it was longExample: ing: the same, whatever way you look at it. Example: He could not decide which formal suit to purchase - he thought the choice was just about as broad as it was longRead on",,
"frozenset({'wound', 'open', 'old'})",,,,,,,,open old wounds,"to revive memories of an unpleasant event, situation or dispute that took place in the past"
"frozenset({'pig', 'back'})",,,,,,,,on the pig's back,a successful situation and everything is going well for that person
"frozenset({'johnni', 'spot'})",,,,,,,,johnny on the spot,"a person who is always available; ready, willing, and able to do what needs to be done"
"frozenset({'job', 'boy'})",,,,,,,,jobs for the boys,work that someone in an important position gives to their friends or relations
"frozenset({'jam', 'tomorrow'})",,,,,,,,jam tomorrow,something good that someone promises you but that never seems to happen
"frozenset({'face', 'jam'})",,,,,,,,jam on your face,"people who appear to be caught, embarrassed or found guilty"
"frozenset({'jack', 'lad'})",,,,,,,,jack the lad,a confident and not very serious young man who behaves as he wants to without thinking about other people
frozenset({'doghous'}),,,,,,,,in the doghouse,someone who is in disgrace and very unpopular at the moment
"frozenset({'full', 'swing'})",,,,,,,,in full swing,at a stage when the level of activity is at its highest
"frozenset({'heat', 'stand', 'out', 'get', 'kitchen'})",,,,,,,,"if you can't stand the heat, get out of the kitchen","if you cannot handle the pressure, you should not remain in a position where you have to deal with it"
"frozenset({'shoe', 'wear', 'fit'})",,,,,,,,"if the shoe fits, wear it",used to tell someone that they should accept a criticism that another person has made
"frozenset({'nest', 'hornet'})",,,,,,,,hornets' nest,a violent situation or one with a lot of dispute
"frozenset({'hold', 'water'})",,,,,,,,hold water,"it means that the point of view or argument put forward is sound, strong or logical"
"frozenset({'hit', 'eye', 'bull'})",,,,,,,,hit the bull's-eye,to be exactly right about something or achieve the best result possible
"frozenset({'heart', 'mouth'})",,,,,,,,heart in his mouth,to feel extremely anxious or nervous faced with a dangerous or unpleasant situation
"frozenset({'have', 'eye', 'bigger', 'stomach'})",,,,,,,,have eyes bigger than stomach,desiring more food than one can eat
"frozenset({'have', 'hand', 'clean'})",,,,,,,,have clean hands,to be innocent; to be free of any wrongdoing
"frozenset({'have', 'ant', 'pant'})",,,,,,,,have ants in your pants,not be able to keep still because you are very excited or worried about something
"frozenset({'have', 'spot', 'soft'})",,,,,,,,have a soft spot,to like someone very much
"frozenset({'have', 'big', 'mouth'})",,,,,,,,have a big mouth,one who gossips more or says things that are meant to be kept secret
"frozenset({'happi', 'camper'})",,,,,,,,happy camper,to be content or satisfied with what is happening in your lifes and have no complaints
"frozenset({'out', 'dri', 'hung'})",,,,,,,,hung out to dry,"to abandon someone who is in difficulty, without giving any assistance or support"
"frozenset({'hammer', 'tong'})",,,,,,,,hammer and tongs,"to argue fiercely, with a lot of energy and noise"
frozenset({'chip'}),,,,,,,,had your chips,when someone has completely failed in what they set out to achieve
"frozenset({'graveyard', 'shift'})",,,,,,,,graveyard shift,"a period of work, for example in a factory, that begins late at night and ends early in the morning"
"frozenset({'got', 'slap', 'wrist'})",,,,,,,,got the slap on the wrist,got small punishment when a more severe punishment is deserved
"frozenset({'got', 'made'})",,,,,,,,got it made,"to be certain to be successful and have a good life, often without much effort:"
"frozenset({'went', 'mill', 'through'})",,,,,,,,went through the mill,"you experience a very difficult period, or are exposed to rough treatment"
"frozenset({'off', 'glove'})",,,,,,,,gloves are off,people are beginning to behave in a more hostile or tenacious way; usually used to describe a dispute or fight
"frozenset({'late', 'johnni', 'come'})",,,,,,,,Johnny comes lately,"someone who has recently joined something or arrived somewhere, especially when they want to make changes that are not welcome"
"frozenset({'onli', 'know', 'pinch', 'shoe', 'wearer'})",,,,,,,,only the wearer knows where the shoe pinches,it's hard to know how much someone else is suffering
"frozenset({'judg', 'juri', 'execution'})",,,,,,,,"judge, jury and executioner","people that are in charge of every decision made, and they have the power to be rid of whomever they choose"
"frozenset({'out', 'juri'})",,,,,,,,jury's out,when there is no general agreement or consensus on something
frozenset({'hook'}),,,,,,,,on the hook,someone who is responsible for something
"frozenset({'edg', 'seat'})",,,,,,,,on the edge of their seat,to be very interested in something and fits with both extremely exciting and nerve-wracking
"frozenset({'leg', 'last'})",,,,,,,,on its last legs,in a bad condition and will not last long
frozenset({'knee'}),,,,,,,,on its knees,something that is in a very weak situation or on the verge of failure
"frozenset({'oliv', 'branch'})",,,,,,,,olive branch,to show that someone wants to end a disagreement and make peace
"frozenset({'anywher', 'get'})",,,,,,,,not getting anywhere,to make no progress at all; not improving or advancing a particular situation
"frozenset({'brush', 'sweep', 'new', 'clean'})",,,,,,,,new brush sweeps clean,someone with a new perspective can make great changes
"frozenset({'never', 'back', 'look'})",,,,,,,,never looked back,"after an event which changed your life for the better, you continue to be happy with the situation"
"frozenset({'hand', 'full'})",,,,,,,,my hands are full,someone is too busy or has too much going on to be able to do or become involved with anything else
"frozenset({'law', 'murphi'})",,,,,,,,murphy's law,"to express a sentiment of bad luck and the idea that if anything can go wrong, it will"
"frozenset({'heat', 'light'})",,,,,,,,more heat than light,to cause anger or intense reaction but doesn't clarify anything
"frozenset({'ear', 'burn', 'make'})",,,,,,,,makes my ears burn,"to be embarrassed by what you hear, especially if the conversation is about you"
"frozenset({'make', 'hackl', 'rise'})",,,,,,,,makes his hackles rise,to make you angry
"frozenset({'break', 'make'})",,,,,,,,make or break,circumstances or events that will make or break someone or something will cause either total success or total ruin
"frozenset({'lie', 'bed', 'make', 'one'})",,,,,,,,make ones bed and lie on it,to be responsible for what you have done and accept the results
"frozenset({'song', 'danc', 'make'})",,,,,,,,make a song and dance,if someone complains in an annoying way or becomes unnecessarily excited about something unimportant
"frozenset({'throat', 'lump'})",,,,,,,,lump in my throat,to have a tight feeling in your throat because of a strong emotion such as sadness or gratitude
"frozenset({'lost', 'marbl'})",,,,,,,,lost her marbles,"to become mentally confused, or no longer behave sensibly or rationally"
"frozenset({'loav', 'fish'})",,,,,,,,loaves and fishes,done for material benefits
"frozenset({'wound', 'lick'})",,,,,,,,lick his wounds,"to try to recover your confidence or spirit after a defeat, failure or disappointment"
"frozenset({'lick', 'lip'})",,,,,,,,lick your lips,to show that you're excited about something and are eager for it to happen
"frozenset({'let', 'down', 'hair'})",,,,,,,,let your hair down,to suggest to someone to relax and enjoy themselves
"frozenset({'last', 'resort'})",,,,,,,,last resort,the last thing you would do if you were desperate and all other courses of action had failed
"frozenset({'know', 'wind', 'blow', 'way'})",,,,,,,,knowing which way the wind blows,this means that you should know how things are developing and be prepared for the future
frozenset({'kick'}),,,,,,,,kick yourself,to be angry with yourself for something you have or have not done
"frozenset({'boat', 'off'})",,,,,,,,just off the boat,a person who is naive and inexperienced
"frozenset({'corner', 'around'})",,,,,,,,just around the corner,somethig that is expected to happen very soon
"frozenset({'out', 'jungl'})",,,,,,,,jungle out there,the situation is dangerous and is characterized by ruthless behavior and competition
"frozenset({'back', 'see'})",,,,,to see the back of,to be glad that you no longer have to deal with someone,"After my boss made my life difficult for ten years, he finally left the company. I was glad to see the back of him.",,
"frozenset({'bad', 'way'})",,,,,in a bad way,to say or mean something ill,The teacher did not mean it in a bad way but the student felt insulted at being asked to explain anyway.,,
"frozenset({'ball', 'roll'})",,,,,the ball rolling,to start a conversation in a social setting,"The ball was rolling when he struck that first conversation with her, she could not refuse his proposal knowing how charming he really was!",,
"frozenset({'come', 'up'})",,,,,come up with,to find a new thought,The team has to come up with cost saving ideas soon otherwise the budget cut will cost them a lot.,,
"frozenset({'follow', 'camp'})",,,,,camp follower,"a person who is supportive of the cause, person or organisation",The only issue of being related to a celebrity is that the camp followers never leave you alone.,,
"frozenset({'chapter', 'vers'})",,,,,chapter and verse,ing: verbatim; word for word details. Example: I was asked if I could give a chapter and verse account of what had happened that night at the paExample: ing: verbatim; word for word details. ,I was asked if I could give a chapter and verse account of what had happened that night at the paExample: ing: verbatim; word for word details. Example: I was asked if I could give a chapter and verse account of what had happened that night at the pa,,
"frozenset({'chop', 'chang'})",,,,,chop and change,"ing: repeatedly change. Example: One day she's going to be a doctor, the next she wants to study architecture - she'll have to stop chopping and changing and make her mindExample: ing: repeatedly change. ","One day she's going to be a doctor, the next she wants to study architecture - she'll have to stop chopping and changing and make her mindExample: ing: repeatedly change. Example: One day she's going to be a doctor, the next she wants to study architecture - she'll have to stop chopping and changing and make her mind",,
"frozenset({'damn', 'give'})",,,,,not give a damn,to not care,Their son does not give a damn about their health. His ill habits are costing the entire family now.,,
frozenset({'dark'}),,,,,in the dark,"ing: uninformed, a state of ignorance. Example: We're still in the dark about the company's layoff policy. Another forms of in the dark Idiom: keep in the dark Meaning: keep someone unaware, not informed, keep somebody off from any act. Example: My best friend kept me in the dark about his plan of starting new business with my brother. a shot in the dark Meaning: an attempt to guess something when you have no information or knowledge about it. Example: The whole theory about life on Mars is a shot in the dark, no one takes it seriouExample: ing: uninformed, a state of ignorance. Example: We're still in the dark about the company's layoff policy. Another forms of in the dark Idiom: keep in the dark Meaning: keep someone unaware, not informed, keep somebody off from any act. Example: My best friend kept me in the dark about his plan of starting new business with my brother. a shot in the dark Meaning: an attempt to guess something when you have no information or knowledge about it. ","We're still in the dark about the company's layoff policy. Another forms of in the dark Idiom: keep in the dark Meaning: keep someone unaware, not informed, keep somebody off from any act. Example: My best friend kept me in the dark about his plan of starting new business with my brother. a shot in the dark Meaning: an attempt to guess something when you have no information or knowledge about it. Example: The whole theory about life on Mars is a shot in the dark, no one takes it seriouExample: ing: uninformed, a state of ignorance. Example: We're still in the dark about the company's layoff policy. Another forms of in the dark Idiom: keep in the dark Meaning: keep someone unaware, not informed, keep somebody off from any act. Example: My best friend kept me in the dark about his plan of starting new business with my brother. a shot in the dark Meaning: an attempt to guess something when you have no information or knowledge about it. Example: The whole theory about life on Mars is a shot in the dark, no one takes it seriou",,
"frozenset({'death', 'scare', 'frighten'})",,,,,frighten or scare to death,ing: make somebody feel very frightened. Example: A shadow appeared in the doorway and scared me to deathExample: ing: make somebody feel very frightened. ,A shadow appeared in the doorway and scared me to deathExample: ing: make somebody feel very frightened. Example: A shadow appeared in the doorway and scared me to deathRead on,,
"frozenset({'out', 'depth'})",,,,,out of one's depth,a situation beyond one's knowledge or ability,"After watching this film, the audience realized that making comedy movies was out of the depth of this director.",,
frozenset({'dream'}),,,,,wouldn't dream of,"ing: not occur to one, not consider. Example: Even if it were lying on my desk, I wouldn't dream of taking another person's moExample: ing: not occur to one, not consider. ","Even if it were lying on my desk, I wouldn't dream of taking another person's moExample: ing: not occur to one, not consider. Example: Even if it were lying on my desk, I wouldn't dream of taking another person's mo",,
"frozenset({'dagger', 'drawn'})",,,,,at daggers drawn,almost ready to fight,The two schools have been at daggers drawn for months. Ever since they played in the championship game.,,
"frozenset({'damp', 'squib'})",,,,,a damp squib,ing: an event which people think will be exciting but which is disappointing when it happens. Example: The party turned out to be a bit of a damp squib. Half the people who'd been invited didn't turnExample: ing: an event which people think will be exciting but which is disappointing when it happens. ,The party turned out to be a bit of a damp squib. Half the people who'd been invited didn't turnExample: ing: an event which people think will be exciting but which is disappointing when it happens. Example: The party turned out to be a bit of a damp squib. Half the people who'd been invited didn't turn,,
"frozenset({'tune', 'danc'})",,,,,dance to tune,to do what someone else forces you to do,In order to keep the peace Peter has to dance to his wife's tune.,dances to the tune,to always do what someone tells you to do
"frozenset({'damper', 'put'})",,,,,put damper on,to discourage someone from doing something that they want to,The rain today put a damper on the picnic plans.,,
"frozenset({'day', 'call'})",,,,,call it a day,"stop doing something, especially working","After second heart attack, she decided it would be best to follow her doctor's advice and call it a day.",,
"frozenset({'day', 'win'})",,,,,win the day,ing: win a war or a fight or competition etc. Example: The opposition win the day in the debate over the judge's impeachmExample: ing: win a war or a fight or competition etc. ,The opposition win the day in the debate over the judge's impeachmExample: ing: win a war or a fight or competition etc. Example: The opposition win the day in the debate over the judge's impeachm,,
"frozenset({'day', 'work', 'all'})",,,,,all in a day's work,refers to the work that is done regularly by someone,Teaching difficult students might sound like a nightmare to other people but to teachers it is all in a day's work.,,
"frozenset({'day', 'reckon'})",,,,,day of reckoning,ing: the time when an unpleasant situation has to be dealt with. Example: Ignoring the study near exams will definitely bring you the day of reckoningExample: ing: the time when an unpleasant situation has to be dealt with. ,Ignoring the study near exams will definitely bring you the day of reckoningExample: ing: the time when an unpleasant situation has to be dealt with. Example: Ignoring the study near exams will definitely bring you the day of reckoningRead on,,
"frozenset({'bodi', 'dead'})",,,,,over my dead body,"in no way, under no circumstances",You will go on a date with my sister over my dead body!,over his dead body,this expression is used by someone who absolutely refuses to allow someone to do something
"frozenset({'deal', 'get', 'raw'})",,,,,get a raw deal,ing: unfair treatment. Example: She got a very raw deal in terms of his father's will: everything was left to her younger sisExample: ing: unfair treatment. ,She got a very raw deal in terms of his father's will: everything was left to her younger sisExample: ing: unfair treatment. Example: She got a very raw deal in terms of his father's will: everything was left to her younger sis,,
"frozenset({'deliv', 'good'})",,,,,deliver the goods,do what is required,So far the team's new player has failed to deliver the goods. He failed to open his account in his first three games.,,
"frozenset({'devil', 'due', 'give'})",,,,,give the devil his due,"give credit to an opponent's merits, grudgingly or not.","I don't like what the new management has done, but give the devil his due, sales have improved.",,
"frozenset({'die', 'hard'})",,,,,die hard,"ing: disappear or change very slowly, take a long time to cease to exist or be dropped from consideration. Noun: a person who displays such resistance or loyalty. Example 1: Die hard boarders are snatching up second homes here, but so far it has managed to stay affordable. Example 2: Die-hard football enthusiasts were planning the rebirth of a town team. Example 3: On the morning of my visit, a few die-hards were setting up a small fund-raising event at the gro","ing: disappear or change very slowly, take a long time to cease to exist or be dropped from consideration. Noun: a person who displays such resistance or loyalty. Example 1: Die hard boarders are snatching up second homes here, but so far it has managed to stay affordable. Example 2: Die-hard football enthusiasts were planning the rebirth of a town team. Example 3: On the morning of my visit, a few die-hards were setting up a small fund-raising event at the gro",,
"frozenset({'die', 'har'})",,,,,die in harness,to expire while working,She doesn't want to retire - she'd rather die in harness.,,
"frozenset({'die', 'cast'})",,,,,the die is cast,"an unalterable decision has been reached, or step taken.","an unalterable decision has been reached, or step taken.",,
"frozenset({'public', 'wash', 'dirti', 'linen'})",,,,,wash dirty linen in public,discuss publicly matters that one should keep private,She decided not to take the family dispute to court as she feared it would only lead to a lot of washing of dirty linen in public.,,
frozenset({'doldrum'}),,,,,doldrums,be inactive,A cut in interest rates on housing loans can lift the property market out of the doldrums.,,
"frozenset({'vu', 'deja'})",,,,,deja vu,already seen (Literal meaning in French),She suddenly had a strong sense of déjà vu.,,
"frozenset({'out', 'carri'})",,,,,carry out,"ing: put something into action, to accomplish something, to do something. Example: The scientist wanted to carry out several experiments before announcing the sending of human to the planet mExample: ing: put something into action, to accomplish something, to do something. ","The scientist wanted to carry out several experiments before announcing the sending of human to the planet mExample: ing: put something into action, to accomplish something, to do something. Example: The scientist wanted to carry out several experiments before announcing the sending of human to the planet m",,
"frozenset({'dead', 'end'})",,,,,dead end,"a street, corridor, road, pipe etc., that has no exit",The interlocutors have reached a dead end in their efforts to discover a peaceful solution to the imbroglio.,,
frozenset({'cinch'}),,,,,a cinch,an extremely easy task,I have been preparing for this presentation for the last six months. This promotion will be a cinch for me.,,
"frozenset({'choke', 'up'})",,,,,choke up,make a person become overemotional and speechless,He chokes up every time someone brings up the topic of their sudden movement to a new country. Perhaps there is a story behind it that we do not know about.,,
frozenset({'chime'}),,,,,chime in,to interject a remark,The family always chimes in with the others so they never feel like they have joined the social network from out of town.,,
"frozenset({'clay', 'feet'})",,,,,feet of clay,ing: have a flaw or weakness most people are unaware of. Example: Some of the greatest people in history had feet of clayExample: ing: have a flaw or weakness most people are unaware of. ,Some of the greatest people in history had feet of clayExample: ing: have a flaw or weakness most people are unaware of. Example: Some of the greatest people in history had feet of clayRead on,,
"frozenset({'coin', 'money'})",,,,,coin money,ing: make a great deal of money easily or very quickly. Example: With a monopoly in urban as well as rural markets the company could coin moneyExample: ing: make a great deal of money easily or very quickly. ,With a monopoly in urban as well as rural markets the company could coin moneyExample: ing: make a great deal of money easily or very quickly. Example: With a monopoly in urban as well as rural markets the company could coin moneyRead on,,
"frozenset({'pass', 'come'})",,,,,come to pass,to happen,The lady has come to pass that she will be in labour soon.,,
"frozenset({'cool', 'heel'})",,,,,cool heels,to wait or take rest,The prisoner has been awarded the death penalty is cooling his heels until the President evaluates if mercy can be sanctioned.,,
"frozenset({'cours', 'due'})",,,,,in due course,quite soon in the future,All candidates will be informed of our decision in due course.,,
"frozenset({'come', 'go', 'easi'})",,,,,"easy come, easy go",readily won and readily lost,"I won a lot of money at the casino last night but lost it on my way out. Oh well, easy come, easy go.",,
"frozenset({'crow', 'fli'})",,,,,as the crow flies,in a straight line,The nearest hotel is about 24 kilometers away as the crow flies.,as the crow flies,measuring distance between two places in a straight line
"frozenset({'cut', 'thrust'})",,,,,cut and thrust,"furious contest, discussion, etc.",The man is not sure if he has it in him to appreciate the cut and thrust of such a huge organisational business.,,
"frozenset({'calm', 'befor', 'storm'})",,,,,the calm before the storm,an extremely peaceful atmosphere right before any serious incident or crisis,"The family's meeting on property dispute begins today and I'm just sitting down with a cup of coffee, enjoying the calm before the storm.",,
"frozenset({'bird', 'earli'})",,,,,early bird,an early rising person,"If you are an early bird, you know that watching the sunrise is how breathtaking.",,
"frozenset({'queer', 'pitch'})",,,,,queer pitch,spoil somebody's chance of doing something.,He queered my pitch by asking for promotion before I did.,,
"frozenset({'unquot', 'quot'})",,,,,"quote, unquote",to use a phrase which has been coined by someone else but saying it in disbelief,She wants to practice law because it is a quote – respected – unquote - field. ,,
"frozenset({'vent', 'spleen'})",,,,,vent spleen,to exhibit your rage,The board members in the annual meeting witnessed the company's shareholders venting their spleen over them as they were angry.,,
"frozenset({'versa', 'vice'})",,,,,vice versa,a reverse in position,"I do not like my sister's new husband, and vice versa.",,
"frozenset({'x', 'mark', 'spot'})",,,,,x marks the spot,"ing: when someone finds something looking for, this is the exact spot, mark something with X on target. Example 1: X marks the spot, so let's go and dig up treasure. Example 2: I pointed to the location on the map and told the recruits ""x marks the spot"". Example 3: We looked at the Google map and saw that X marked the spot where it was the cloud brust and killed many people. Origin: What is said upon finding your target has been marked out derived from an X on pirate treasure maps. The phrase was put into common usage by the British army, who performed executions by marking a piece of paper with a black x and positioning it on the heart of someone sentenced to de","ing: when someone finds something looking for, this is the exact spot, mark something with X on target. Example 1: X marks the spot, so let's go and dig up treasure. Example 2: I pointed to the location on the map and told the recruits ""x marks the spot"". Example 3: We looked at the Google map and saw that X marked the spot where it was the cloud brust and killed many people. Origin: What is said upon finding your target has been marked out derived from an X on pirate treasure maps. The phrase was put into common usage by the British army, who performed executions by marking a piece of paper with a black x and positioning it on the heart of someone sentenced to de",,
"frozenset({'out', 'find', 'sin'})",,,,,your sins will find you out,"ing: things you do wrong will become known. Example: He usually cheats his customers by selling duplicate material, and now he lost his business completely, truly said, your sins will find you outExample: ing: things you do wrong will become known. ","He usually cheats his customers by selling duplicate material, and now he lost his business completely, truly said, your sins will find you outExample: ing: things you do wrong will become known. Example: He usually cheats his customers by selling duplicate material, and now he lost his business completely, truly said, your sins will find you outRead on",,
"frozenset({'class', 'chatter'})",,,,,the chattering classes,ing: educated people who like to discuss and give their opinions about political and social matters. Example: The royal baby's birth was a historic event and has recently become a trendy topic among the chattering classesExample: ing: educated people who like to discuss and give their opinions about political and social matters. ,The royal baby's birth was a historic event and has recently become a trendy topic among the chattering classesExample: ing: educated people who like to discuss and give their opinions about political and social matters. Example: The royal baby's birth was a historic event and has recently become a trendy topic among the chattering classesRead on,,
"frozenset({'heart', 'chicken'})",,,,,chicken hearted,ing: not brave. Example: These chicken hearted bosses always seem to give in at the first sign of a strExample: ing: not brave. ,These chicken hearted bosses always seem to give in at the first sign of a strExample: ing: not brave. Example: These chicken hearted bosses always seem to give in at the first sign of a str,,
"frozenset({'dagger', 'cloak'})",,,,,cloak and dagger,ing: of or characteristic of the activities of spies and undercover agents. Example: Do we need to go for cloak-and-dagger way? Why can't we just meet in a cafe like everyone eExample: ing: of or characteristic of the activities of spies and undercover agents. ,Do we need to go for cloak-and-dagger way? Why can't we just meet in a cafe like everyone eExample: ing: of or characteristic of the activities of spies and undercover agents. Example: Do we need to go for cloak-and-dagger way? Why can't we just meet in a cafe like everyone e,,
