idiom,meaning,example,source,dupl,idiom_set,idiom_EPIE,meaning_EPIE,example_EPIE,tag_EPIE,idiom_dictionary,meaning_dictionary,example_dictionary,idiom_bookcorpus,meaning_bookcorpus
pig out,overeat or eat a large amount of food in a short period of time.,Christmas Day 1988 has been delightful if unremarkable and we snuggle down after pigging out on room service and a floor picnic of the remaining Marks and Spencer goodies .,EPIE,0,"frozenset({'pig', 'out'})",pig out,overeat or eat a large amount of food in a short period of time.,Christmas Day 1988 has been delightful if unremarkable and we snuggle down after pigging out on room service and a floor picnic of the remaining Marks and Spencer goodies .,O O O O O O O O O O O O O B-IDIOM I-IDIOM O O O O O O O O O O O O O O O,,,,,
picture of health,a person who is in excellent physical and mental health.,"He would look at Harry , the picture of health and happiness and , while marvelling at his steady uncomplicated progress , suddenly think of the child 's mother , a travesty of the woman he had once known , suffering , it would seem , from chronic post-natal depression , so much so that , on Winifred Shalcross 's advice , a second specialist had been called in .",EPIE,0,"frozenset({'pictur', 'health'})",picture of health,a person who is in excellent physical and mental health.,"He would look at Harry , the picture of health and happiness and , while marvelling at his steady uncomplicated progress , suddenly think of the child 's mother , a travesty of the woman he had once known , suffering , it would seem , from chronic post-natal depression , so much so that , on Winifred Shalcross 's advice , a second specialist had been called in .",O O O O O O O B-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,,,,,
pick up [pron] tab,pay for someone else's expenses.,"27 constituent bodies are taking the to the roads with their Roadshows , each sponsored by nationally known organisations and with the RFU itself picking up the tab in Leicestershire , Northumberland and Somerset .",EPIE,0,"frozenset({'pick', 'up', 'tab'})",pick up [pron] tab,pay for someone else's expenses.,"27 constituent bodies are taking the to the roads with their Roadshows , each sponsored by nationally known organisations and with the RFU itself picking up the tab in Leicestershire , Northumberland and Somerset .",O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O O O O O,,,,,
perfect pitch,the ability to accurately identify or reproduce a given musical note without the use of an external reference.,"By the time he was seven he had ‘ perfect pitch ’ ; he could also improvise on the keyboard in various styles , play with the keys hidden under a cloth , sight-read anything he was given , add a bass line to a tune , and had ‘ taught himself ’ the violin ( although such a claim should perhaps be treated with some scepticism — his father after all was a violin teacher ) .",EPIE,0,"frozenset({'pitch', 'perfect'})",perfect pitch,the ability to accurately identify or reproduce a given musical note without the use of an external reference.,"By the time he was seven he had ‘ perfect pitch ’ ; he could also improvise on the keyboard in various styles , play with the keys hidden under a cloth , sight-read anything he was given , add a bass line to a tune , and had ‘ taught himself ’ the violin ( although such a claim should perhaps be treated with some scepticism — his father after all was a violin teacher ) .",O O O O O O O O O B-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,,,,,
per se,by or in itself; intrinsically.,"( b ) In English law the choice of law rules governing claims for restitution are influenced by the claim being connected with a contract , having regard to the English conflict of laws rule that the proper law of the obligation to restore a benefit , if the obligation arises in connection with a contract , is the proper law of the contract : Dicey & Morris , The Conflict of Laws , 11th ed. ( 1987 ) , p. 1350 , r. 203. ( c ) Quasi-contractual claims , at least where there is a contract involved , should probably fall per se under article 5(1) : see the opinion of the editors of Dicey & Morris , at p. 341 , to this effect , and the decision of the Scottish courts that a statutory claim to contribution falls within the article in Engdiv Ltd. v. G. Percy Trentham Ltd. , 1990 S.L.T. 617 , 621. ( d ) In the case of a claim for the return of moneys paid under an ineffective contract , there is no artificiality in deducing an implied promise to pay , even though the old theory that restitution was based on the concept of such an implied promise is now largely discredited .",EPIE,0,"frozenset({'per', 'se'})",per se,by or in itself; intrinsically.,"( b ) In English law the choice of law rules governing claims for restitution are influenced by the claim being connected with a contract , having regard to the English conflict of laws rule that the proper law of the obligation to restore a benefit , if the obligation arises in connection with a contract , is the proper law of the contract : Dicey & Morris , The Conflict of Laws , 11th ed. ( 1987 ) , p. 1350 , r. 203. ( c ) Quasi-contractual claims , at least where there is a contract involved , should probably fall per se under article 5(1) : see the opinion of the editors of Dicey & Morris , at p. 341 , to this effect , and the decision of the Scottish courts that a statutory claim to contribution falls within the article in Engdiv Ltd. v. G. Percy Trentham Ltd. , 1990 S.L.T. 617 , 621. ( d ) In the case of a claim for the return of moneys paid under an ineffective contract , there is no artificiality in deducing an implied promise to pay , even though the old theory that restitution was based on the concept of such an implied promise is now largely discredited .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,,,,,
peg out,die,"Once the inner is up and pegged out the flysheet , made from 190D double coated pu nylon , goes over the top and is pegged to the ground using eight ground points and two guylines .",EPIE,0,"frozenset({'peg', 'out'})",peg out,die,"Once the inner is up and pegged out the flysheet , made from 190D double coated pu nylon , goes over the top and is pegged to the ground using eight ground points and two guylines .",O O O O O O B-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,,,,,
peeping tom,"a person who secretly watches others, usually for sexual gratification.","The reader should note his progress within the whole twelve books and in doing so will see how he moves from a heroic , masterful force and a leader of millions to a spy alone in the Garden of Eden , watching two lovers like a common peeping Tom .",EPIE,0,"frozenset({'tom', 'peep'})",peeping tom,"a person who secretly watches others, usually for sexual gratification.","The reader should note his progress within the whole twelve books and in doing so will see how he moves from a heroic , masterful force and a leader of millions to a spy alone in the Garden of Eden , watching two lovers like a common peeping Tom .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM O,,,,,
pay [pron] dues,work hard and accept the necessary responsibilities to achieve success.,"So it is a hostile atmosphere and so hostile was it in the United Nations that the Americans decided to cripple it , and what they did was to invoke erm an article which called for the removal of votes from those states who were in , who were in arrears in the payment of their dues , of their , their funds and there were several countries in that category , two of them the Soviet Union and France , and the reason why they had not pal paid their dues was because they objected to the use of the , these funds for peacekeeping forces which had not been authorized by the Security Council , in their argument the Security Council was the , the supreme authority and the General Assembly had in fact not the right to authorize er peacekeeping activities and indeed , if you read the charter , this is the case although legal advice is conflicting on that point as it usually is .",EPIE,0,"frozenset({'due', 'pay'})",pay [pron] dues,work hard and accept the necessary responsibilities to achieve success.,"So it is a hostile atmosphere and so hostile was it in the United Nations that the Americans decided to cripple it , and what they did was to invoke erm an article which called for the removal of votes from those states who were in , who were in arrears in the payment of their dues , of their , their funds and there were several countries in that category , two of them the Soviet Union and France , and the reason why they had not pal paid their dues was because they objected to the use of the , these funds for peacekeeping forces which had not been authorized by the Security Council , in their argument the Security Council was the , the supreme authority and the General Assembly had in fact not the right to authorize er peacekeeping activities and indeed , if you read the charter , this is the case although legal advice is conflicting on that point as it usually is .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,,,,,
party animal,someone who loves to attend parties and social gatherings.,"These were Clione , and I cam to think of them as the party animals , always feasting and fighting and mating .",EPIE,0,"frozenset({'anim', 'parti'})",party animal,someone who loves to attend parties and social gatherings.,"These were Clione , and I cam to think of them as the party animals , always feasting and fighting and mating .",O O O O O O O O O O O O O B-IDIOM I-IDIOM O O O O O O O O,,,,,
over the hill,past one's prime; no longer young or in one's best years.,"As this village was inaccessible , the enemy patrols were unlikely to reach it undetected , but if they did the platoon headquarters was sufficiently mobile for the captain , sergeant , and their two runners/signalmen to withdraw quickly over the hill , taking their radio with them — a different proposition to moving a 109-set , for now the guerrillas had dry battery radios ( see Appendix No. 5 ) designed by Lieutenant Barcham , a New Zealander , for use by the Independent Companies .",EPIE,0,"frozenset({'over', 'hill'})",over the hill,past one's prime; no longer young or in one's best years.,"As this village was inaccessible , the enemy patrols were unlikely to reach it undetected , but if they did the platoon headquarters was sufficiently mobile for the captain , sergeant , and their two runners/signalmen to withdraw quickly over the hill , taking their radio with them — a different proposition to moving a 109-set , for now the guerrillas had dry battery radios ( see Appendix No. 5 ) designed by Lieutenant Barcham , a New Zealander , for use by the Independent Companies .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,,,,,
out of this world,extremely good or impressive.,"Cos the mortgages and that but there 's a lot of them , and kids causing it , and Christmas was coming well you know we just , that 's when they helped us at Christmas was really fantastic yes , true I never thought anything really out of this world how the how the people helped We got toys and everything for the kids ' Christmas , everything you could think of .",EPIE,0,"frozenset({'out', 'world'})",out of this world,extremely good or impressive.,"Cos the mortgages and that but there 's a lot of them , and kids causing it , and Christmas was coming well you know we just , that 's when they helped us at Christmas was really fantastic yes , true I never thought anything really out of this world how the how the people helped We got toys and everything for the kids ' Christmas , everything you could think of .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O,,,,,
out of sight,not visible or present.,"Would it be worthwhile for each discipline to set up think tanks — if one does not already exist — of their most imaginative scientists , engineers etc , with , perhaps , three remits : ( i ) to identify major problems for which current and foreseeable knowledge offers no solution ; ( ii ) to pinpoint what basic knowledge is needed , what would be the characteristics of the ideal chemical or other material , together with the relevant techniques for using them ; ( iii ) recognising that what is being considered may be so far out of sight as to be beyond worthwhile research based on existing knowledge and know-how , to organise a system that will recognise the first appearance of the new knowledge and then steer research in the right direction without delay .",EPIE,0,"frozenset({'out', 'sight'})",out of sight,not visible or present.,"Would it be worthwhile for each discipline to set up think tanks — if one does not already exist — of their most imaginative scientists , engineers etc , with , perhaps , three remits : ( i ) to identify major problems for which current and foreseeable knowledge offers no solution ; ( ii ) to pinpoint what basic knowledge is needed , what would be the characteristics of the ideal chemical or other material , together with the relevant techniques for using them ; ( iii ) recognising that what is being considered may be so far out of sight as to be beyond worthwhile research based on existing knowledge and know-how , to organise a system that will recognise the first appearance of the new knowledge and then steer research in the right direction without delay .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,,,,,
open warfare,a situation in which two sides are openly hostile and actively fighting each other.,"As one who admires much of what WTA has done and enjoys watching the best women players compete against each other , because the entertainment value they produce can often be tremendous , I was sad to see that apparently they still do not appreciate how relatively well off they are under the present set-up and how much they could stand to lose from open warfare in the game .",EPIE,0,"frozenset({'open', 'warfar'})",open warfare,a situation in which two sides are openly hostile and actively fighting each other.,"As one who admires much of what WTA has done and enjoys watching the best women players compete against each other , because the entertainment value they produce can often be tremendous , I was sad to see that apparently they still do not appreciate how relatively well off they are under the present set-up and how much they could stand to lose from open warfare in the game .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM O O O O,,,,,
once in a blue moon,very rarely,"Jay 'd had enough men to know they treat a woman 's body with anything from contempt and rage to inept uncertainty and fear ; once in a blue moon only , with real fascination and tenderness .",EPIE,0,"frozenset({'moon', 'onc', 'blue'})",once in a blue moon,very rarely,"Jay 'd had enough men to know they treat a woman 's body with anything from contempt and rage to inept uncertainty and fear ; once in a blue moon only , with real fascination and tenderness .",O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O O O O O O,,,,,
on thin ice,"in a precarious situation, at risk of making a mistake or getting into trouble.","Oh they , they say it 's all controllable so that I have , I have answered , I have not just let the Environmental Health wash over me I have actually written back to them again , er I will be interested to see whether I get a letter back from them , but I phoned up the Council this morning and they 're rejecting on two grounds , one is to do with the highway and the sort of the traffic situation coming in there , although the , the authority , the Highway Department are not objecting to it and the other one is erm , on local environmental issues I think you know that is , is unsuitably , unsuitable environmentally to the area well I can only say that I 'm grateful to the planning , to the planning offices for they 're going out on a limb if you like because I think they 're on thin ice erm and so long as the committee will , will back them up I mean I do not know of what else I could of done as a person",EPIE,0,"frozenset({'thin', 'ice'})",on thin ice,"in a precarious situation, at risk of making a mistake or getting into trouble.","Oh they , they say it 's all controllable so that I have , I have answered , I have not just let the Environmental Health wash over me I have actually written back to them again , er I will be interested to see whether I get a letter back from them , but I phoned up the Council this morning and they 're rejecting on two grounds , one is to do with the highway and the sort of the traffic situation coming in there , although the , the authority , the Highway Department are not objecting to it and the other one is erm , on local environmental issues I think you know that is , is unsuitably , unsuitable environmentally to the area well I can only say that I 'm grateful to the planning , to the planning offices for they 're going out on a limb if you like because I think they 're on thin ice erm and so long as the committee will , will back them up I mean I do not know of what else I could of done as a person",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,,,,,
on the wagon,abstaining from alcohol or other substances.,"Monty was supposed to be on the wagon and I certainly did not see him drinking , until I discovered that every time he passed the bar he 'd pick up any bottle that was on the bar and drink it .",EPIE,0,frozenset({'wagon'}),on the wagon,abstaining from alcohol or other substances.,"Monty was supposed to be on the wagon and I certainly did not see him drinking , until I discovered that every time he passed the bar he 'd pick up any bottle that was on the bar and drink it .",O O O O O B-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,,,,,
on the table,open for discussion or consideration.,"and then do your other half of knot , reef knot and tuck it in straight away , you get your pin ready , have it on , either on the table or ready like that , now if you have got too much material ever you just fold that down , there , if that 's too much , which is not too much with Denise because it 's the right size sling , sometimes you have to improvise and then you fold if forward and back , firmly , take the pin and put it , put your two fingers down between the casualty so that your fingers are apart and there 's a space between your fingers so you can stick the pin in and out again without any danger , if you put the fingers apart like that , if you do stick the pin in yourself and draw blood would you please throw the pin away , as a matter of automatic hygiene , it must not be used again once it 's been stuck into somebody",EPIE,0,frozenset({'tabl'}),on the table,open for discussion or consideration.,"and then do your other half of knot , reef knot and tuck it in straight away , you get your pin ready , have it on , either on the table or ready like that , now if you have got too much material ever you just fold that down , there , if that 's too much , which is not too much with Denise because it 's the right size sling , sometimes you have to improvise and then you fold if forward and back , firmly , take the pin and put it , put your two fingers down between the casualty so that your fingers are apart and there 's a space between your fingers so you can stick the pin in and out again without any danger , if you put the fingers apart like that , if you do stick the pin in yourself and draw blood would you please throw the pin away , as a matter of automatic hygiene , it must not be used again once it 's been stuck into somebody",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,,,,,
on the same wavelength,in agreement or understanding with someone else.,"And he believes that it is precisely because black footballers know of each other 's natural ability , that they are able to construct the most intricate and seemingly planned movements without any preparation at all : ‘ They have got the receivers built into their heads and can pick each other up on the same wavelength . ’",EPIE,0,"frozenset({'same', 'wavelength'})",on the same wavelength,in agreement or understanding with someone else.,"And he believes that it is precisely because black footballers know of each other 's natural ability , that they are able to construct the most intricate and seemingly planned movements without any preparation at all : ‘ They have got the receivers built into their heads and can pick each other up on the same wavelength . ’",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM O O,,,,,
fight fire with fire,respond to aggression with aggression.,"Spain , clearly fearing Ireland 's physical strength , have decided to fight fire with fire in this Group Three qualifier .",EPIE,0,"frozenset({'fight', 'fire'})",fight fire with fire,respond to aggression with aggression.,"Spain , clearly fearing Ireland 's physical strength , have decided to fight fire with fire in this Group Three qualifier .",O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O O O O,,,,,
neither fish nor fowl,not belonging to any particular category or group.,"A competitor like Hewlett-Packard Co , which earlier this year took its own lumps for baiting-and-switching , says the machine is ‘ neither fish nor fowl , ’ describing it as ‘ too severely compromised to be a workstation ’ and dismissing it as no better than a 50MHz 80486 box .",EPIE,0,"frozenset({'fish', 'neither', 'fowl'})",neither fish nor fowl,not belonging to any particular category or group.,"A competitor like Hewlett-Packard Co , which earlier this year took its own lumps for baiting-and-switching , says the machine is ‘ neither fish nor fowl , ’ describing it as ‘ too severely compromised to be a workstation ’ and dismissing it as no better than a 50MHz 80486 box .",O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O O,,,,,
nail it,successfully complete a task or achieve a goal.,"He glimpsed a fallacy , said ‘ Longer to us , I mean ’ with a vague interest in nailing it , and then thought the hell with it and bought some very expensive soap .",EPIE,0,frozenset({'nail'}),nail it,successfully complete a task or achieve a goal.,"He glimpsed a fallacy , said ‘ Longer to us , I mean ’ with a vague interest in nailing it , and then thought the hell with it and bought some very expensive soap .",O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM O O O O O O O O O O O O O O O,,,,,
live and learn,gain knowledge and experience from mistakes and successes.,"and he was saying to me er , he says Jean I says I live and learn and er he says , you know when he says , he talks through his nose , he says you know if they had have left Sandy Row the way it was and just put bathrooms in and he says and the way it is",EPIE,0,"frozenset({'live', 'learn'})",live and learn,gain knowledge and experience from mistakes and successes.,"and he was saying to me er , he says Jean I says I live and learn and er he says , you know when he says , he talks through his nose , he says you know if they had have left Sandy Row the way it was and just put bathrooms in and he says and the way it is",O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,,,,,
lift [pron] curtain,reveal something that was previously hidden or unknown.,"Unisys Corp has been lifting the curtain a little on its plans for the Unix-based U6000 range , as it boosted the power of its 486-based 6000/35 model by adding a 66MHz chip last week .",EPIE,0,"frozenset({'lift', 'curtain'})",lift [pron] curtain,reveal something that was previously hidden or unknown.,"Unisys Corp has been lifting the curtain a little on its plans for the Unix-based U6000 range , as it boosted the power of its 486-based 6000/35 model by adding a 66MHz chip last week .",O O O O B-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,,,,,
let [pron] off [pron] hook,forgive someone and not hold them accountable for something they did wrong.,Ruether does not think in terms of a God who is transcendent above history and acts as an agent in history ; and this we might say lets her off the hook as far as the theodicy question is concerned .,EPIE,0,"frozenset({'hook', 'off', 'let'})",let [pron] off [pron] hook,forgive someone and not hold them accountable for something they did wrong.,Ruether does not think in terms of a God who is transcendent above history and acts as an agent in history ; and this we might say lets her off the hook as far as the theodicy question is concerned .,O O O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O O O O O O O,,,,,
leave [pron] nest,leave the home of one's parents and become independent.,"Well , in this particular experiment , what the experimenters did was , when the parental birds left the nest , they stuffed the erm , the chicks as full with worms as they could possibly stuff it .",EPIE,0,"frozenset({'leav', 'nest'})",leave [pron] nest,leave the home of one's parents and become independent.,"Well , in this particular experiment , what the experimenters did was , when the parental birds left the nest , they stuffed the erm , the chicks as full with worms as they could possibly stuff it .",O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O,,,,,
learn by heart,memorize something so that it can be recalled without difficulty.,"It 's a real effort to click back to that frame of mind , which is bad because fanaticism is the true experience of pop , not discrimination and broad-mindedness — I think of the splendid devotion of all those boys and girls , who as soon as they have got hold of the new Cure or New Order or Bunnymen record , immediately set to learning the lyrics by heart , then spend days exhaustively interpreting the Tablets From on High , struggling to establish some fit between their experience and what is actually some drunken doggerel cobbled together in a studio off-moment .",EPIE,0,"frozenset({'heart', 'learn'})",learn by heart,memorize something so that it can be recalled without difficulty.,"It 's a real effort to click back to that frame of mind , which is bad because fanaticism is the true experience of pop , not discrimination and broad-mindedness — I think of the splendid devotion of all those boys and girls , who as soon as they have got hold of the new Cure or New Order or Bunnymen record , immediately set to learning the lyrics by heart , then spend days exhaustively interpreting the Tablets From on High , struggling to establish some fit between their experience and what is actually some drunken doggerel cobbled together in a studio off-moment .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,,,,,
lay down [pron] law,establish a set of rules or expectations that must be followed.,"Obviously for the average electrician , stockbroker , or humanities-trained academic to be laying down the law un the value of a human blood substitute from cows or the spread of BSE would , as things stand , be foolish .",EPIE,0,"frozenset({'lay', 'law', 'down'})",lay down [pron] law,establish a set of rules or expectations that must be followed.,"Obviously for the average electrician , stockbroker , or humanities-trained academic to be laying down the law un the value of a human blood substitute from cows or the spread of BSE would , as things stand , be foolish .",O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O,,,,,
law of [pron] jungle,"the idea that in a society without laws, the strongest and most powerful will dominate.","One of the advantages of this approach , or so it is claimed , is that it enables governments to pursue policies based upon consent and voluntary cooperation and thereby to avoid both the ‘ law of the jungle ’ ( monetarism ) and the ‘ jungle of the law ’ ( statutory incomes policies ) .",EPIE,0,"frozenset({'jungl', 'law'})",law of [pron] jungle,"the idea that in a society without laws, the strongest and most powerful will dominate.","One of the advantages of this approach , or so it is claimed , is that it enables governments to pursue policies based upon consent and voluntary cooperation and thereby to avoid both the ‘ law of the jungle ’ ( monetarism ) and the ‘ jungle of the law ’ ( statutory incomes policies ) .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O,,,,,
laugh up [pron] sleeve,secretly feel or show amusement at someone or something.,"The general opinion seems to be that since the bastard 's decided to stop shooting people , he can remain anonymous , stay at large , enjoy life and freedom , and laugh up his sleeve at an incompetent police force until he decides the time has come for a little more high-velocity fun . ’",EPIE,0,"frozenset({'laugh', 'up', 'sleev'})",laugh up [pron] sleeve,secretly feel or show amusement at someone or something.,"The general opinion seems to be that since the bastard 's decided to stop shooting people , he can remain anonymous , stay at large , enjoy life and freedom , and laugh up his sleeve at an incompetent police force until he decides the time has come for a little more high-velocity fun . ’",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O,,,,,
lame duck,a person or organization that is no longer in power or has lost their influence.,"If I had to nominate those politicians whose views I most trusted , who have most clearly articulated my own fluid , contingent thoughts on the crisis as it developed , I would opt for two pensionable septuagenarians , both of whom I despised in their political heyday : Denis Healey , who sold the Labour government to the IMF , and Ted Heath , who became the Tories ' lamest duck of all .",EPIE,0,"frozenset({'lame', 'duck'})",lame duck,a person or organization that is no longer in power or has lost their influence.,"If I had to nominate those politicians whose views I most trusted , who have most clearly articulated my own fluid , contingent thoughts on the crisis as it developed , I would opt for two pensionable septuagenarians , both of whom I despised in their political heyday : Denis Healey , who sold the Labour government to the IMF , and Ted Heath , who became the Tories ' lamest duck of all .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM O O O,,,,,
keeping [pron] fingers crossed,hoping for the best possible outcome.,Keeping your fingers crossed and plunging on is one way of dealing with tricky situations which may gain a reputation for the school that it has firm and strong management but it can have costs in the loss of a number of unhappy families .,EPIE,0,"frozenset({'keep', 'finger', 'cross'})",keeping [pron] fingers crossed,hoping for the best possible outcome.,Keeping your fingers crossed and plunging on is one way of dealing with tricky situations which may gain a reputation for the school that it has firm and strong management but it can have costs in the loss of a number of unhappy families .,B-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,,,,,
keep up the good work,continue to do something well or to make progress.,"We hope you find the current issue still of interest and we plan to keep up the good work during the coming year seeking out happenings/events/ stories to retell for you , but as it is your newspaper do contact us with your own ideas and suggestions at any time .",EPIE,0,"frozenset({'up', 'work', 'keep', 'good'})",keep up the good work,continue to do something well or to make progress.,"We hope you find the current issue still of interest and we plan to keep up the good work during the coming year seeking out happenings/events/ stories to retell for you , but as it is your newspaper do contact us with your own ideas and suggestions at any time .",O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,,,,,
keep tabs on,to monitor or keep track of someone or something.,"For the untrained , keeping tabs on this type of equipment , both technically and administratively , can be difficult , but Powersafe has been set up specifically to manage the inspection and testing of electrical installations and equipment used in industry , commerce and public utilities .",EPIE,0,"frozenset({'tab', 'keep'})",keep tabs on,to monitor or keep track of someone or something.,"For the untrained , keeping tabs on this type of equipment , both technically and administratively , can be difficult , but Powersafe has been set up specifically to manage the inspection and testing of electrical installations and equipment used in industry , commerce and public utilities .",O O O O B-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,,,,,
keep in touch,maintain communication with someone over a period of time.,"We think it desirable that the same type of teacher should be employed in these courses ( One-Year , Terminal and less formal ) as in University Tutorial Classes and that arrangements should be made whereby staff-tutors appointed for extra-mural work by the Universities should be encouraged to devote part of their time to less formal work , not only in the interests of the work , but also in order to provide a variety of occupation for the tutor and to ensure that he keeps in touch with all phases of the adult education movement .",EPIE,0,"frozenset({'touch', 'keep'})",keep in touch,maintain communication with someone over a period of time.,"We think it desirable that the same type of teacher should be employed in these courses ( One-Year , Terminal and less formal ) as in University Tutorial Classes and that arrangements should be made whereby staff-tutors appointed for extra-mural work by the Universities should be encouraged to devote part of their time to less formal work , not only in the interests of the work , but also in order to provide a variety of occupation for the tutor and to ensure that he keeps in touch with all phases of the adult education movement .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM O O O O O O O O O,,,,,
