idiom,meaning,example,source,dupl,tag,idiom_set,idiom_EPIE,meaning_EPIE,example_EPIE,idiom_dictionary,meaning_dictionary,example_dictionary,idiom_bookcorpus,meaning_bookcorpus
over the top,"excessive, exaggerated",The politician was over the top with his speech. Everything he said was exaggerated.,dictionary,1,,frozenset({'top'}),over the top,excessive or extreme in nature.,"The thing is , if they always give you and you , your , nine times out of ten what they do is like , is either , they either put a can over there or a beer or something , they put it over the end of the , the weapon pull the trigger and that , even with a flash that can go like that , and then they show you one with the , the erm flashes right which have more powerful than the and they have actually got same again same charge as a life grenade in , but it just plain cardboard so , obviously no trap , but if you lay on them ooh er , you get or something you do not throw what they do now is they put one they light one , put the helmet over the top of it and make it lit , it runs like buggery and it will go a hundred , a hundred and fifty foot up in the air and inside it looks like its been and where its been in the thing it will be like er , six seventy foot off the ground , I mean I laid on one once and I , landed about two foot too my left so I have rolled over , rolled , rolled , and rolled , as I have rolled I have rolled over on my back and I have had all loads of over , like the , I had a roll there its like the er",over the top,"excessive, exaggerated",The politician was over the top with his speech. Everything he said was exaggerated.,,
out on the town,go out and enjoy yourself at one or more places in the town,All of us slept till late afternoon after we had a night out on the town and returned after dawn.,dictionary,1,,"frozenset({'out', 'town'})",out on the town,"to go out and have a good time, usually with friends.","The noise in the taproom stilled for a moment , even the farmers in the corner drunkenly arguing about the price of wheat ; two harridans from the town shrieking at each other over an upturned barrel ; and a group of young bloods , garishly dressed in costly silks , noisily roistering before a night out on the town .",out on the town,go out and enjoy yourself at one or more places in the town,All of us slept till late afternoon after we had a night out on the town and returned after dawn.,,
out of the blue,out of nowhere or unexpectedly,"Out of the blue, a deer came in front of my car.",dictionary,1,,"frozenset({'out', 'blue'})",out of the blue,unexpectedly or without warning.,"Er indeed the directive was promulgated as the minister said but I do not think it was a bolt out of the blue , it was of course something that we around for some considerable time before that and of course that excuse hardly applies to the delay in establishing the European parliamentary constituency committees , er as the minister er will know very well , it was merely a matter of seven weeks , er the excuse being that had they had another seven weeks they could have had the public inquiry stage , the reality of course was that there was plenty of time to do this in good time and in good order and without the confusion that exists now er around the candidatures and the boundaries of the existing European boundaries .",out of the blue,out of nowhere or unexpectedly,"Out of the blue, a deer came in front of my car.",,
on the same page,everyone in agreement,"Before we begin with the discussion, I want to make sure that all of us are on the same page.",dictionary,1,,"frozenset({'page', 'same'})",on the same page,in agreement or understanding about something.,"On the one hand , she finds it true that ‘ the definition of ‘ Almighty ’ means that there is no evil out of which good can not be brought' , while on the same page she writes that , ‘ if those theologies who assert that God is in total control of His creation are right , I can not worship Him ’ .",on the same page,everyone in agreement,"Before we begin with the discussion, I want to make sure that all of us are on the same page.",,
music to ears,something that is soothing to your ears,Our teacher told us that we will get a long summer break and this was just music to my ears.,dictionary,1,,"frozenset({'music', 'ear'})",music to [pron] ears,something that is very pleasing or satisfying to hear.,"It was music to our ears in a hospital staffed by women from both sides of the great Christian divide , and men of that ilk also .",music to ears,something that is soothing to your ears,Our teacher told us that we will get a long summer break and this was just music to my ears.,,
level playing field,a situation that is fair to everyone,These set of rules would provide a level playing field to all the competitors and all would have a fair chance of succeeding.,dictionary,1,,"frozenset({'play', 'field', 'level'})",level playing field,a situation in which all participants have an equal chance of success.,"Whatever publishers ' position on the question of ‘ partner or competitor ’ , Richard Heath , of Heath Educational Book Supplies , stressed that ‘ booksellers are not asking for favouritism , we simple need a level playing field ’ , and , he warned , ‘ Publishers like Heinemann Educational , who attempt to gain market share for key national curriculum titles by offering schools 20 , 25 , 33 or even 50% discount for buying direct , can not then expect the same support from booksellers as we will give to publishers who show commitment to booksellers . ’",level playing field,a situation that is fair to everyone,These set of rules would provide a level playing field to all the competitors and all would have a fair chance of succeeding.,,
let sleeping dogs lie,its best to leave a situation as it is if disturbing it might cause trouble,"As Eliza was in good spirits that morning, Andy decided not to bring up the argument they had last night. It was best to let sleeping dogs lie.",dictionary,1,,"frozenset({'let', 'lie', 'dog', 'sleep'})",let sleeping dogs lie,leave a situation alone and not try to change it.,"There 's a ‘ chat-and-pat ’ service ; staff call your hound by name , and tiptoe past your room at night so as to let sleeping dogs lie ; your dog 's photograph is taken in the hotel ; the hotel manager appears for a final ‘ wave-and-wag ’ ; there 's a VIP service for show-winning dogs ; and a discount for families whose dogs are better behaved than the owners !",let sleeping dogs lie,its best to leave a situation as it is if disturbing it might cause trouble,"As Eliza was in good spirits that morning, Andy decided not to bring up the argument they had last night. It was best to let sleeping dogs lie.",,
let bygones be bygones,what's done is done,The two international rivals shook hands and agreed to let bygones be bygones.,dictionary,1,,"frozenset({'let', 'bygon'})",let bygones be bygones,stop dwelling on the past and move on.,"Right now Mr Hussein finds it convenient to pose as a conciliator prepared to grant autonomy to the Kurds he has displaced and , in relations with the rest of the world , to let bygones be bygones .",let bygones be bygones,what's done is done,The two international rivals shook hands and agreed to let bygones be bygones.,,
let your heart rule your head,do something based on emotions rather than logic,I think it would be unwise for you to be in a relationship with him; he is a known womanizer. Don't let your heart rule your head.,dictionary,1,,"frozenset({'rule', 'let', 'heart', 'head'})",let [pron] heart rule [pron] head,make decisions based on emotions rather than logic.,"Rulers who let their hearts rule their heads tended to court disaster , be they male or female ; and there have been plenty of examples of both .",let your heart rule your head,do something based on emotions rather than logic,I think it would be unwise for you to be in a relationship with him; he is a known womanizer. Don't let your heart rule your head.,,
leave no stone unturned,do everything that is possible in order to achieve something,The chief of security said that his team would leave no stone unturned in nabbing the miscreants.,dictionary,1,,"frozenset({'leav', 'stone', 'unturn'})",leave no stone unturned,to make a thorough effort to find something or to achieve a goal.,"Leaving no stone unturned for its Destiny launch , the telephone company offshoot went so far as to score still another first , announcing SVR4.2 simultaneously in Europe , the Far East , the US and Russia , reportedly at a Unix user group meeting , facilitated by the famed Esther Dyson .",leave no stone unturned,do everything that is possible in order to achieve something,The chief of security said that his team would leave no stone unturned in nabbing the miscreants.,,
last but not least,"someone or something that is last in sequence, but not less in importance","After the success of his first book, the author thanked his publisher, editor, and, last but not the least, his family.",dictionary,1,,"frozenset({'least', 'last', 'but'})",last but not least,"used to introduce the final item in a list of items, often to give it special emphasis.","They copy each other 's institutions ; and , to strengthen their common interests , they have built up a series of common institutions — international unions to govern postal , railway and tele-graphic communication , conferences and conventions to regulate affairs both of property ( such as copyright ) and labour ; international law courts ( at the Hague and elsewhere ) supported by a network of Arbitration and other treaties ; a sort of World-Duma , in the periodical Peace Conferences at the Hague ; and last but not least , the growing international organisation of the Labour and Socialist movements .",last but not least,"someone or something that is last in sequence, but not less in importance","After the success of his first book, the author thanked his publisher, editor, and, last but not the least, his family.",,
larger than life,something or someone that is very impressive,His father is a great man. He is larger than life.,dictionary,1,,"frozenset({'larger', 'life'})",larger than life,having an impressive or grandiose presence.,"Abu Sueir , was a pleasant station , well-established and well-run by one of the oldest group captains in the RAF , and the adjutant was none other than "" Happy "" Day or "" Wings "" Day perhaps one of the best known officers of the pre and postwar RAF , "" Happy "" was indeed a character much larger than life , and even today when I meet a fellow student from my course in the RAF Club , he related with tears streaming down his cheeks an incident when "" Happy "" was taking the course on rifle drill .",larger than life,something or someone that is very impressive,His father is a great man. He is larger than life.,,
labour of love,"a task done for the pleasure of doing it, not for gains or rewards","Every morning, he dusted, cleaned and wound up the old grandfather clock that he had inherited as a family heirloom. It was truly a labour of love.",dictionary,1,,"frozenset({'labour', 'love'})",labour of love,"a task or project that is done out of passion or dedication, rather than for financial gain.","‘ Well , she said a lot of good things about how housework and things were essential social work — you know , saying it was work , hard work , servicing other people , not that airy fairy labour of love stuff , and how it ought to be recognised , and how it was because women were seen as wives and mothers that they got low wages , no money when they were at home looking after small kids .",labour of love,"a task done for the pleasure of doing it, not for gains or rewards","Every morning, he dusted, cleaned and wound up the old grandfather clock that he had inherited as a family heirloom. It was truly a labour of love.",,
know the ropes,to know all the ways and means to get something done,She has been working here for 30 years and knows the ropes to getting anything done.,dictionary,1,,"frozenset({'know', 'rope'})",know [pron] ropes,be familiar with the rules and procedures of a particular situation.,"Whenever he spoke to the woman he regretted that he had not stamped his authority and demanded that Gwen should be released from Leconfield and transferred with him , but they had said in Century 's personnel that he must have a secretary who knew the ropes of the Service , and he had acquiesced .",know the ropes,to know all the ways and means to get something done,She has been working here for 30 years and knows the ropes to getting anything done.,,
kiss and make up,to become friendly again after an argument,"After having a heated argument the previous night, the young couple kissed and made up and decided to settle their differences amicably.",dictionary,1,,"frozenset({'up', 'make', 'kiss'})",kiss and make up,resolve a conflict and restore a friendly relationship.,"Fry , dismissed by the 20-stone ticket-broker for the third time yesterday , will not be kissing and making up this time … he will sue for wrongful dismissal .",kiss and make up,to become friendly again after an argument,"After having a heated argument the previous night, the young couple kissed and made up and decided to settle their differences amicably.",,
kill time,to wait for something by doing something or nothing,The team was killing time at the stadium before it was their turn to play.,dictionary,1,,"frozenset({'kill', 'time'})",kill time,to pass time in an unproductive or unenjoyable way.,"Killing time before England 's World Cup qualifier match with Norway , English soccer fans ransacked an Oslo pub causing over £100,000 ( $154,000 ) of damage .",kill time,to wait for something by doing something or nothing,The team was killing time at the stadium before it was their turn to play.,,
kick the bucket,to die,Have you heard? The old man down the street has kicked the bucket.,dictionary,1,,"frozenset({'kick', 'bucket'})",kick [pron] bucket,die,"‘ It 's just that Uncle was a cautious old devil and — ’ he looked away ‘ — he got the impression I was a bit of a spendthrift because — well , because I used to get through my allowance pretty rapidly when I was away at school , and … oh , hell , he wanted to make sure I was going to be dull and sensible about all that money when he finally kicked the bucket .",kick the bucket,to die,Have you heard? The old man down the street has kicked the bucket.,,
keep body and soul together,manage to stay alive with very little money,"When he first came to the city, he earned barely enough to keep body and soul together.",dictionary,1,,"frozenset({'keep', 'soul', 'bodi', 'togeth'})",keep body and soul together,"manage to survive, especially in difficult circumstances.","Their education , he said , was irrelevant to their duties , their poverty such that they had to spend most of their time keeping body and soul together .",keep body and soul together,manage to stay alive with very little money,"When he first came to the city, he earned barely enough to keep body and soul together.",,
keep the wolf from the door,to have sufficient money to prevent starvation or hunger,Both the man and his wife must work long hours just to keep the wolf from the door.,dictionary,1,,"frozenset({'keep', 'door', 'wolf'})",keep [pron] wolf from [pron] door,make enough money to pay for basic necessities.,"If a member of , say , the Hohenzollerns decided to keep the wolf from the door by taking up this particular trade , then royal here clearly would be true of the hatmaker ; i.e. the property ROYAL would apply to the E present to the mind of the speaker describing such an individual .",keep the wolf from the door,to have sufficient money to prevent starvation or hunger,Both the man and his wife must work long hours just to keep the wolf from the door.,,
long in the tooth,To get too old for something.,He is too long in the tooth to be working with 18 year old paired opposite him in movies.,dictionary,1,,"frozenset({'tooth', 'long'})",long in the tooth,older in age.,"In an evident effort to convince the West once again that military might is not what the Soviet Union is all about , the imposing array of missiles , rocket-launchers , self-propelled guns , and armoured vehicles were all ‘ long in the tooth , ’ according to a Western diplomatic source .",long in the tooth,To get too old for something.,He is too long in the tooth to be working with 18 year old paired opposite him in movies.,,
lose head,not have control over your emotions,He is usually very calm and does not lose his head in stressful situations.,dictionary,1,,"frozenset({'lose', 'head'})",lose [pron] head,become overwhelmed with emotion and act impulsively or irrationally.,"Ken did not have to put on drag in Carry On Screaming , the first of three 1966 releases , but in Carry On — Do not Lose Your Head , he did get to wear a woman 's frilly corset which did not go all that badly with the curled wig he wore as Citizen Camembert , the ‘ big cheese ’ of the French Revolutionary secret police .",lose head,not have control over your emotions,He is usually very calm and does not lose his head in stressful situations.,,
mumbo jumbo,Something that does not make sense.,"I do not believe in this mumbo jumbo, human life should be valued far more than some ritual that one is not willing to forego.",dictionary,1,,"frozenset({'jumbo', 'mumbo'})",mumbo jumbo,language or words that are difficult to understand and are used to confuse or deceive someone.,"An interconnectiveness between mind and matter is no longer regarded as mystic mumbo jumbo , but forms a vital ingredient in present scientific research into magnetic fields which have been found to influence the pattern and organization of any living thing , the alms of nature being wholeness , organization and continuity .",mumbo jumbo,Something that does not make sense.,"I do not believe in this mumbo jumbo, human life should be valued far more than some ritual that one is not willing to forego.",,
miss the boat,miss a chance,The discounted price sale ended today and I just missed the boat on making a great deal.,dictionary,1,,"frozenset({'boat', 'miss'})",miss [pron] boat,fail to take advantage of an opportunity.,"Now I 'm not saying Ian Rush missed the boat entirely , but he might find it pretty interesting when Gullitt and Van Basten discuss their life and work in Italy on Grandstand ( BBC1 , Saturday ) .",miss the boat,miss a chance,The discounted price sale ended today and I just missed the boat on making a great deal.,miss the boat,to fail to take advantage of an opportunity because you don't act quickly enough
make no bones about,"to talk openly about something, instead of being silent",She makes no bones about his feelings towards the protestors.,dictionary,1,,"frozenset({'bone', 'make'})",make no bones about,speak openly and honestly about something without hesitation or embarrassment.,"Slug in ash ( above ) and tortoise in burr elm ( right ) Making no bones about methods or means , David is a proud user of mechanical aids , ranging from lathes to the Woodcarver , from drum sanders to a Black & Decker Powerfile .",make no bones about,"to talk openly about something, instead of being silent",She makes no bones about his feelings towards the protestors.,,
love to death,love someone very much,"He is prepared to do anything for her, go to any extent. He loves her to death.",dictionary,1,,"frozenset({'death', 'love'})",love to death,"to love someone or something too much, to the point of being overbearing.","QueenSpark Books present two simultaneous writing workshops : ‘ Love 'em to Death ’ writing about romance , ‘ Steamy Stories ’ writing about sexuality and desire .",love to death,love someone very much,"He is prepared to do anything for her, go to any extent. He loves her to death.",,
love nest,a home or place where two people who love each other live,"It was rumoured that the boss was having an illicit love affair with one of his subordinates. Apparently, he had set up a love nest a few blocks away from the office where they met everyday after work.",dictionary,1,,"frozenset({'love', 'nest'})",love nest,a place where two people in a romantic relationship live together.,"Said waitress promptly decamps to the vacant love nest where she swiftly sets up home , insisting to the locals that she is Newton 's new spouse .",love nest,a home or place where two people who love each other live,"It was rumoured that the boss was having an illicit love affair with one of his subordinates. Apparently, he had set up a love nest a few blocks away from the office where they met everyday after work.",,
love child,a child born out of wedlock,The new actress in that movie is rumoured to be the love child of one of the most famous actors of the previous generation.,dictionary,1,,"frozenset({'child', 'love'})",love child,a child born out of wedlock.,"Nobody has bothered very much with their theories which have become imaginative curios to be put on the shelf with the books ‘ proving ’ that Queen Elizabeth I was a man , Queen Victoria had a love child , and that Pope John Paul I was murdered .",love child,a child born out of wedlock,The new actress in that movie is rumoured to be the love child of one of the most famous actors of the previous generation.,,
lose touch,fail to keep in contact,Michelle was my best friend at the university. But over the years we've lost touch.,dictionary,1,,"frozenset({'lose', 'touch'})",lose [pron] touch,"cease communication with someone, resulting in a lack of contact.","For all its Hendrix-derived elements of bravura free expression , dextrous embellishment and luxury , Prince 's music rarely loses touch with James Brown 's locked groove of desire , mesmerizing monotony and crude assertion of repetition .",lose touch,fail to keep in contact,Michelle was my best friend at the university. But over the years we've lost touch.,,
loose cannon,somebody whose activities are uncommon and out of control,He was a loose cannon and could not be risked in front of the press.,dictionary,1,,"frozenset({'loos', 'cannon'})",loose cannon,someone who is unpredictable and potentially dangerous.,"From the evidence here , she was a loose cannon of the left , espousing causes in an antagonistic manner that would be called ultra-leftism , were any principles discernible behind her actions .",loose cannon,somebody whose activities are uncommon and out of control,He was a loose cannon and could not be risked in front of the press.,loose cannon,an unpredictable or uncontrolled person who is likely to cause unintentional damage
under no illusions,be completely conscious of the real status of situation,I am under no illusion that living in Canada is going to be very easy.,dictionary,1,,"frozenset({'illus', 'under'})",be under no illusions,do not have false hopes or expectations; be realistic.,"The matters for discussion are s spelt out but just so that you 're under no illusions to what we are aiming to talk about , first issue , first matter is is the proposed provision and distribution of employment land for district councils and Greater York , the reason bearing in mind the need to provide sufficient land for employment in appropriate locations and the second matter is what effect if any will the proposed scale on provision have on adjoining areas in West Yorkshire .",under no illusions,be completely conscious of the real status of situation,I am under no illusion that living in Canada is going to be very easy.,,
cloud nine,very happy,She's been on cloud nine since she heard the news of her engagement.,dictionary,1,,"frozenset({'cloud', 'nine'})",be on cloud nine,be extremely happy and content.,"At that moment , and perhaps for an hour afterwards , I was on Cloud Nine — in a state of happiness , contentment , euphoria , joy and utter peace such as I have never experienced before or since : everything is all right , an inner voice said , and everything from now on will always be all right ; how wonderful to know that life can be like this .",cloud nine,very happy,She's been on cloud nine since she heard the news of her engagement.,,
on the ball,"alert to new trends, ideas, and methods",The mother is glad to know that her son is always on the ball to learn new things in class.,dictionary,1,,frozenset({'ball'}),be on [pron] ball,be alert and prepared for anything.,"They have good days and bad days : days when things seem relatively easy , they are on the ball , and a lot gets done , and days when they just can not face it and phone in sick — only to feel much perkier half-an-hour after putting down the phone , and a little guilty that ‘ I could have gone in if I 'd really had to ’ .",on the ball,"alert to new trends, ideas, and methods",The mother is glad to know that her son is always on the ball to learn new things in class.,,
in hot water,in trouble or state of shame,The opposition leader landed himself in a whole load of hot water after making several vulgar comments.,dictionary,1,,"frozenset({'water', 'hot'})",be in hot water,be in trouble or in a difficult situation.,"I 'm in hot water over various things — nothing important enough to bore you with , but I know the director wants shot of me — he 's said as much and I 'm sure my days are numbered ; I feel like I 'm struggling to keep my head above water — Oh , I knew this particular pool was going to be deep , but he 's there waiting just above the surface to shove me under , finding some half-baked reason to be rid of me .",in hot water,in trouble or state of shame,The opposition leader landed himself in a whole load of hot water after making several vulgar comments.,,
in deep water,a very serious situation,The political party is in deep water after it was discovered that their candidate had lied in the report.,dictionary,1,,"frozenset({'deep', 'water'})",be in deep water,be in a difficult situation or in trouble.,The oil company is in deep water for not taking part in a half-price fare offer — because they say people in Northern Ireland are not interested .,in deep water,a very serious situation,The political party is in deep water after it was discovered that their candidate had lied in the report.,,
in black and white,printed form of a document,Bank demanded in submit the proposal in black and white.,dictionary,1,,"frozenset({'white', 'black'})",be in black and white,be clearly stated and understood.,"There it was in black and white : ‘ … the property known as Wyvis Hall at Nunes in the county of Suffolk , the lands pertaining thereto … ’ but it must be a mistake .",in black and white,printed form of a document,Bank demanded in submit the proposal in black and white.,in black and white,to give in writing
an item,be involved in a romantic relationship,John and Sally are frequently seen together nowadays. Are they an item?,dictionary,1,,frozenset({'item'}),be [pron] item,be a couple or romantically involved with someone.,"One of Scotland 's richest footballers and one of Britain 's most marketable models were an item and according to a highly quotable ‘ close friend ’ , who in true tabloid style was never named , Frank was supposedly ‘ Besotted ’ by the blonde lovely .",an item,be involved in a romantic relationship,John and Sally are frequently seen together nowadays. Are they an item?,,
basket case,a person or a thing that is not able to function properly,You should accept this job offer since this is your first job and that organization is a real basket case.,dictionary,1,,"frozenset({'basket', 'case'})",basket case,a person or situation that is in a state of complete disarray or chaos.,"In systems integration , for example , Gartner Group rates Bull fourth in Europe and sixth in the world , which is a fact that continually gets lost amid all of Bull 's other bad news — and the French authorities seem to be oblivious to how badly the regular injections of state cash to prop Bull up play in the outside world , causing the company to be regarded as a corporate basket case that would no longer exist if it were subjected to the normal commercial disciplines faced by all its foreign competitors .",basket case,a person or a thing that is not able to function properly,You should accept this job offer since this is your first job and that organization is a real basket case.,,
banana republic,"a small, poor country with a weak, corrupt or dishonest government","If the current Prime Minister wins the election again, nobody can save our country from becoming a banana republic.",dictionary,1,,"frozenset({'banana', 'republ'})",banana republic,"a small, politically unstable country, typically in Latin America, that is economically dependent on a single export, such as bananas.",Computer 2000 AG 's European marketing manager Jan Zakrewski has accused the Polish government of ‘ Banana Republic behaviour ’ after the government 's implementation of its plan to waive import duty on computer equipment imported from outside the European Community appeared to confirm many Western vendors ' worst nightmares .,banana republic,"a small, poor country with a weak, corrupt or dishonest government","If the current Prime Minister wins the election again, nobody can save our country from becoming a banana republic.",,
bad egg,someone who fails to meet expectations,Stay away from Gordon. He's a thoroughly bad egg and the biggest bully in the school.,dictionary,1,,"frozenset({'bad', 'egg'})",bad egg,a person who is not trustworthy or reliable.,Water comes out stinking of bad eggs .,bad egg,someone who fails to meet expectations,Stay away from Gordon. He's a thoroughly bad egg and the biggest bully in the school.,,
bad blood,to have ill feelings towards someone,The villagers say the arson attack may have been the result of bad blood between the two families.,dictionary,1,,"frozenset({'bad', 'blood'})",bad blood,a feeling of animosity or hostility between two people or groups.,"The breadth of Mingus ' work is represented by everything from jug-band jollity , the wounded blues of ‘ Atom Bomb ’ featuring Rolling Stones Watts and Richards , Henry Rollins ' hipster piss-take on ‘ Groovy ’ and the bad blood and subterranean tremors of ‘ Erectus ’ , effortlessly contrasted with the tingling majesty of ‘ Love Bird ’ .",bad blood,to have ill feelings towards someone,The villagers say the arson attack may have been the result of bad blood between the two families.,bad blood,feelings of hate between people because of arguments in the past
back to the drawing board,back to the planning stage,"My experiment was a failure, so I'm back to the drawing board.",dictionary,1,,"frozenset({'board', 'draw', 'back'})",back to the drawing board,"start over from the beginning, usually after a failed attempt.","Professor John Ashworth , vice-chairman of the committee of vice-chancellors and principals ( CVCP ) , also urged Mr MacGregor to use ‘ a heaven-sent opportunity to go back to the drawing board and look at the entire issue of how students are supported — grants , loans and fees . ’",back to the drawing board,back to the planning stage,"My experiment was a failure, so I'm back to the drawing board.",,
beef up,to become big and muscular,Google has beefed up it's search algorithm to provide the best quality search result to its users.,dictionary,1,,"frozenset({'up', 'beef'})",beef up,to make something stronger or more powerful.,"THE Royal Ordnance Factory at Leeds yesterday delivered to the British Army the first production version of the Challenger tank , less than three years after the Ministry of Defence ordered the vehicle.The army is receiving more than 200 Challengers , costing about £300 million , to beef up its defences in Germany against Soviet tanks .",beef up,to become big and muscular,Google has beefed up it's search algorithm to provide the best quality search result to its users.,,
behind bars,to be in jail or prison,"Before the end of this year, Harrison will be behind bars for his crimes.",dictionary,1,,"frozenset({'behind', 'bar'})",behind bars,in prison or jail.,"Those on the list are : Mr Sisulu , sentenced with Mr Mandela to life imprisonment in the ‘ Rivonia Trial ’ of 1964 ; four other Rivonia triallists - Raymond Mhlaba , Elias Motsoaledi , Andrew Mlangeni , Ahmed Kathrada , Wilton Mkwayi and the oldest of them all , 80-year-old Oscar Mpheta , a trade union leader who has been behind bars since 1980 , and whose whose sentence runs out next year .",behind bars,to be in jail or prison,"Before the end of this year, Harrison will be behind bars for his crimes.",,
blue eyed boy,a person who is treated with special favor.,Managers at Apple have been trained against having blue-eyed boys.,dictionary,1,,"frozenset({'boy', 'eye', 'blue'})",blue-eyed boy,a person who is favored or preferred by someone in a position of authority.,"Arkansas Governor Bill Clinton , the Democrats ' blue-eyed boy , is still in the lead , despite a better than expected boost to George Bush 's campaign at the recent Republican convention .",blue eyed boy,a person who is treated with special favor.,Managers at Apple have been trained against having blue-eyed boys.,,
blood is thicker than water,family relations and bonds are closer than other relationships,"When you get into trouble, usually your family will be the ones to bail you out, not your friends. After all, blood is thicker than water.",dictionary,1,,"frozenset({'thicker', 'water', 'blood'})",blood is thicker than water,family relationships are more important than any other relationships.,"There still remained , however , some examples of blood-sharing among unrelated bats , cases where the ‘ blood is thicker than water ’ explanation would not fit the facts .",blood is thicker than water,family relations and bonds are closer than other relationships,"When you get into trouble, usually your family will be the ones to bail you out, not your friends. After all, blood is thicker than water.",,
blind date,to go on a date with someone you have never met before.,I'm going on a blind date with a guy that Jack knows from college.,dictionary,1,,"frozenset({'date', 'blind'})",blind date,a date with someone you have never met before.,"But one , one of the coloured chaps where Tasha works said he was he 'd been to one of these Blind Dates , he was on but we have not come across him yet have we ?",blind date,to go on a date with someone you have never met before.,I'm going on a blind date with a guy that Jack knows from college.,,
black sheep,a disgrace,I have always been the black sheep of my family. Everyone else has responsible jobs while I have chosen to be an artist.,dictionary,1,,"frozenset({'sheep', 'black'})",black sheep,a person who is seen as a disgrace to a family or group.,"Pub landlord John Payne , 47 , who joined a dozen regulars for the trip to the Black Sheep Brewery in Masham , North Yorks , said : ‘ We would not have gone if we had realised .",black sheep,a disgrace,I have always been the black sheep of my family. Everyone else has responsible jobs while I have chosen to be an artist.,,
black out,to be in a semi unconscious state so as to not have any memory of a particular moment,The child's mother blacked out on seeing him at the hospital. Subsequently she had to be hospitalised too.,dictionary,1,,"frozenset({'out', 'black'})",black out,"to forget or block out a period of time, usually due to drinking too much alcohol.",Another past champion graphically described this as the moment when the golfer blacks out and has not the remotest idea that he is holding a putter at all .,black out,to be in a semi unconscious state so as to not have any memory of a particular moment,The child's mother blacked out on seeing him at the hospital. Subsequently she had to be hospitalised too.,,
black and blue,"hurt, either bodily, emotionally or psychologically",The man beat his own mother black and blue! How could someone do such a horrible act? The mother is still praying for the best for him though.,dictionary,1,,"frozenset({'black', 'blue'})",black and blue,bruised or injured from physical violence.,"‘ I 'm black and blue from head to toe , ’ said Crawford then , ‘ I have got eight pulled ligaments in my leg and bruises all over and , when I limp out of the theatre at night , these bloody bastards are walking up and down with signs saying ‘ English actors will be working next year — will you ? ’ .",black and blue,"hurt, either bodily, emotionally or psychologically",The man beat his own mother black and blue! How could someone do such a horrible act? The mother is still praying for the best for him though.,black and blue,with dark marks on your skin caused by being hit or having an accident
bite tongue,to keep yourself from saying something that you really want to say,I had to bite my tongue when Peter said that he was hard-working.,dictionary,1,,"frozenset({'bite', 'tongu'})",bite [pron] tongue,refrain from saying something that one is tempted to say.,"Any farm worker could easily anticipate the consequences of ‘ going against ’ the local farmers , so for the most part they resigned themselves to this situation , bit their tongues rather than spoke out and developed what is by now their notorious taciturnity and ability to ‘ keep themselves to themselves ’ .",bite tongue,to keep yourself from saying something that you really want to say,I had to bite my tongue when Peter said that he was hard-working.,bite your tongue,to stop yourself from saying something because it would be better not to
bite the dust,to fall to the ground,The soldier bit the dust after a very long fight and even at that he managed to take many enemy soldiers with him.,dictionary,1,,"frozenset({'bite', 'dust'})",bite [pron] dust,fail or be defeated.,"Another one bites the dust : Zeos International Ltd reports that a US district court dismissed a class action shareholder suit against it because the plaintiffs failed to provide specific facts that were material to the trial : the suit was filed last September , alleging that the company failed to disclose the formation of its new subsidiary , Occidental Corp , to manufacture and market lower cost computers under a new brand name , a development revealed by the Wall Street Journal .",bite the dust,to fall to the ground,The soldier bit the dust after a very long fight and even at that he managed to take many enemy soldiers with him.,,
bite the bullet,to endure a painful experience that you cannot avoid,"When the time comes, I'll bite the bullet and take my punishment without a fuss.",dictionary,1,,"frozenset({'bite', 'bullet'})",bite [pron] bullet,accept a difficult situation and endure it.,"Mr Coulter said : ‘ It is becoming clear that building societies are pursuing their own interests by rescheduling loans or entering into shared ownership agreements , rather than biting the bullet of low interest loans to housing associations . ’",bite the bullet,to endure a painful experience that you cannot avoid,"When the time comes, I'll bite the bullet and take my punishment without a fuss.",bite the bullet,"to force yourself to do something unpleasant or difficult, or to be brave in a difficult situation"
