idiom,meaning
名不副实,be unworthy of the name or title; be something more in name than in reality
名不虚传,have o well-deserved reputation; true to its fame
名副其实,be worthy of the name; true to one's name
名利双收,win fame and fortune; gain both reputation and wealth
名列前茅,be among the best of the candidates; come to the fore
名落孙山,fail in a civil examination; 
名缰利锁,the bondage of refutation and wealth; 
名正言顺,be perfectly justifiable; things called by their right names
名垂青史,go down in history; be crowned with eternal glory
名噪一时,gain considerable fame among one's contemporaries; 
名存实亡,exist in name; non-existent except in name
吐故纳新,get rid of the stale and take in the fresh; exhaling the old and inhaling the new-metabolism
向壁虚造,fabricate; create groundless rumors
向隅而泣,weep all alone in a corner; grieve out in the cold
吞吞吐吐,"speak a word, swallow the next; hem and haw"
吞云吐雾,"""swallowing clouds and breathing out mists"" - said of smoking opium; "
吟风弄月,write sentimental verses; sing of the moon and the wind
吠影吠声,slavishly echo others; blindly chime in with others
否极泰来,out of the depth of misfortune comes bliss; 
含垢忍辱,bear shame and humiliation; eat dirt
含糊其辞,in vague terms; equivocated
含辛茹苦,endure all kinds of hardships; put up with hardships
含血喷人,make slanderous accusations; make scurrilous attacks on somebody
含沙射影,attack by innuendo; insinuation
吮痈舐痔,suck ulcers and piles of another person; sycophancy
吹毛求疵,fault-finding; hair-splitting
呆若木鸡,transfixed; dumbstruck
周而复始,go round and round; move in cycles
味同嚼蜡,it tastes no better than tallow; tasteless like chewing a candle
呼风唤雨,control the forces of nature; stir up trouble
呼之即来,have somebody at one's beck and call; make somebody do his bidding
呼之欲出,very vividly portrayed; seem ready to come out at one's call
命中注定,predestined; decreed by fate
命在旦夕,be on the verge of death; be dying
咄咄逼人,ferociously; overbearing
咄咄怪事,monstrous absurdity; isn't it absurd that ... ?
咆哮如雷,be a thundering rage; roar with rage
和盘托出,tell all the truth; without the slightest concealment
和睦相处,be happy together; smoke the calumet together
和风细雨,in a gentle and mild way; not be rough
和衷共济,pull together for common cause; work together with one heart
和颜悦色,an amiable manner; with a kind and pleasant countenance
咎由自取,have only oneself to blame; one brings the trouble on oneself
咎有应得,serve one right; open to censure
咫尺天涯,physically very near but separated as if by long distances; see little of each other though living nearby
咬牙切齿,gnash the teeth in anger; grind one's teeth
咬文嚼字,talk pedantically; speak or talk like a book
哀兵必胜,an army burning with righteous indignation is bound to win; 
哀鸿遍野,a land swarming with famished refugees; destitute people to be found everywhere
哀而不伤,"deeply felt but not sentimental; mournful, but not distressing"
哄堂大笑,the whole room rocking with laughter; the whole company bursting into laughter
唉声叹气,sigh in despair; moan and groan
唯命是从,be absolutely obedient; be at somebody's disposal
唯利是图,be bent solely on profit; profit-grabbing
唯我独尊,extremely conceited; overweening
唯唯诺诺,be obsequious; servile
唱独角戏,go it alone; put on a one-man show
唱对台戏,enter into rivalry; put on a rival show
唾手可得,extremely easy to obtain; with extreme case
问道于盲,blind leading the blind; seek advice from one who can offer none
问寒问暖,ask after somebody's health with deep concern; be solicitous for somebody's welfare
问心有愧,feel a twinge of conscience; have a guilty conscience
问心无愧,have a clear conscience; peace of conscience
问长问短,take the trouble to make detailed inquiries; 
哑口无言,have nothing to say for oneself; dumbfounded
哑然失笑,can't help laughing; chuckle to oneself
啼饥号寒,cry from hunger and cold; cry out in hunger and cold
啼笑皆非,be very embarrassed; in an awkward position
喃喃自语,mutter to oneself; 
善罢甘休,let it go at that; leave the matter at that
善始善终,see something through; do well from start to finish
善自为谋,good at taking care of oneself; 
善有善报,"good has its reward and evil has its recompense; good will be rewarded with good, and evil with evil"
喊冤叫屈,complain loudly about an alleged injustice; cry out about one's grievances
喋喋不休,talk endlessly; garrulously
喜怒无常,subject to changing moods; 
喜气洋洋,jubilant; ebullition of joy
喜笑颜开,be all smiles; beam with joy
喜新厌旧,love the new and loathe the old; be fickle in affection
喜形于色,light up with pleasure; be visibly pleased
喜出望外,be overjoyed; be overcome with joy
喜从天降,a sudden unexpected happy event; happiness comes from Heaven
喜闻乐见,love to see and hear; 
喧宾夺主,the sauce is better than the fish; minor taking precedence over a major issue
丧魂落魄,be driven to distraction; be frightened out of one's life
丧家之犬,stray dogs; 
丧尽天良,heartless; conscienceless
丧权辱国,surrender a country's sovereign rights under humiliating terms; national betrayal
丧心病狂,frenzied; unscrupulous
乔装改扮,disguise oneself; 
单刀直入,come straight to the point; without preliminaries
单枪匹马,go to battle single-handed; all alone
呜呼哀哉,dead and gone; all is lost
嗜杀成性,bloodthirsty; bloodsucking
嗟悔无及,too late for regrets and lamentations; it's too late to sigh or regret
嗟来之食,a handout; food handed out in contempt
嗤之以鼻,sniff at; despise
嗷嗷待哺,cry piteously for food; 
嘉言懿行,good words and admirable conduct; wise words and exemplary conduct
呕心沥血,make extremely painstaking efforts; work one's heart out
啧有烦言,there are a lot of complaints; 
嘘寒问暖,inquire after somebody's well-being; be solicitous about somebody's health
嘻嘻哈哈,laughing and joking; mirthful
噤若寒蝉,keep mum about; mute as a mackerel
噬脐莫及,it's too late to repent; 
喷薄而出,gush forth; spurt
嚎啕大哭,cry one's eyes out; cry loudly
严刑峻法,severe law; draconian law
严阵以待,stand ready in battle array; embattle
严惩不贷,punish mercilessly; punish severely without mercy
严于律己,be strict with oneself; 
嘤鸣求友,a bird sings to call forth a friend's response; 
囊空如洗,broke; penniless
囚首垢面,with unkempt hair and dirty face; 
四平八稳,well organized; lacking in initiative and is overcautious
四面八方,on every side; far and near
四面楚歌,be in dire straits; land oneself in a tight place
四分五裂,fall apart; disintegrate
四体不勤,can neither do physical work nor distinguish rice from wheat; can neither use one's four limbs nor tell the five grains apart
四通八达,extend in all directions; open out on all sides
四海之内皆兄弟,"""all the people of the world are brothers""; ""within the four seas all men are brothers"""
四海为家,settle down in any corner of the world for a certain cause; make one's home wherever one is
回头是岸,it is never too late to mend; repentance is salvation
回天乏术,be powerless to save the desperate situation; be incapable of saving a desperate situation
回天之力,tremendous power to overcome difficulties; 
回光返照,brief glow of health before passing away; a sudden spurt of activity prior to collapse
回心转意,change one's mind; a change of heart
回味无穷,lead to meaningful after-thoughts; lead a person to endless aftertastes
因地制宜,bear in mind local needs and possibilities; in a manner appropriate to local conditions
因陋就简,make do with whatever is available; economize because of lack of funds
因小失大,try to save a little only to lose a lot; sell one's birthright for a mess of pottage
因循守旧,follow the beaten track; lockstep
因循自误,procrastinate until it is too late; sit back and allow the situation to deteriorate
因势利导,give proper guidance as the situation requires; make the best use of the situation to guide something
因时制宜,do the right thing at the right time; do what is suitable to the occasion
因人成事,rely on others for success in work; 
因人设事,create a job to accommodate person; 
因材施教,teach students in accordance with their aptitude; teach a person according to what he is good for
因噎废食,throw away the apple because of the core; stop eating altogether on account of a hiccup - unjustified giving up of a good cause
困惑不解,feel puzzled; get into knots
困兽犹斗,one fights to the death in desperation; the crushed worm will turn
囤积居奇,corner the market; be on the long side of the market
囫囵吞枣,gulp down without thought; lap up information without digesting it
固执己见,stick to one's own view; self-willed
固若金汤,strongly fortified; impregnable
国计民生,national economy and the people's livelihood; national welfare and people's livelihood
围城打援,besiege a city to annihilate the enemy relief force; besiege the enemy in order to strike at his reinforcements
围魏救赵,relieve the besieged by besieging the base of the besiegers; relieving the state of Chao by besieging the state of Wei
圆凿方枘,at variance with each other; square handle and round socket
图穷匕见,the real intention is revealed in the end; the dagger is out after pretended friendship
土崩瓦解,fall apart; crumble and perish
土豪劣绅,local tyrants and evil gentry; 
土生土长,locally born and bred; born and brought up on one's native soil
土洋结合,combine indigenous and foreign methods; combine traditional and modern methods
在劫难逃,there is no escape from fate; impossible to escape
在所不惜,will never balk at; will not grudge
在所不辞,will not hesitate to; will never decline
在所难免,inevitable; be unavoidable
地大物博,a big country abounding in natural wealth; vast territory and rich resources
地利人和,have topographical advantages and enjoy popular support; 
地广人稀,a scarcely populated area; much land and few people
坐地分赃,divide the booty on the spot; partake with a thief
坐立不安,be in a fidget; like a hen on a hot griddle
坐观成败,sit and watch the results of; be a mere onlooker
坐困愁城,wallow in a slough of despondency; be walled in by one's own worries
坐井观天,have a very narrow view; see the sky from the bottom of a well
坐享其成,without striking a blow; reap where one has not sown
坐吃山空,"sit at home eating away one's resources; remain at home and ""eat away"" a whole fortune"
坐视不救,sit back and watch without going to the rescue; look on with folded arms
坐失良机,"let a golden opportunity slip by; he that will not when he may, when he will he shall have nay"
坐收渔利,have victory fall into one's lap; play both ends against the middle
坐山观虎斗,"watch in safety while others fight, then reap the spoils when both sides are exhausted; sit on top of a mountain to watch the tigers fight"
坐以待毙,sit passively for one's end; await one's doom
坐以待旦,sit up and wait for daybreak; remain awake till daybreak
坐卧不宁,feel restless; be nervous at every sound
垂头丧气,crest fallen; dejected
垂手而得,acquire a thing easily; get a thing without lifting a finger
垂死挣扎,in one's death throes; last thrusts
垂涎三尺,one's mouth waters after; have one's mouth made up
垂涎欲滴,keep a covetous eye on; slick one's lips
埋头苦干,hammer; quietly put one's shoulder to the wheel
城门失火,"in a disturbance innocent bystanders get into trouble; when the city catches fire, the disaster extends even to the fish in the moat - innocent people being involved in trouble"
城下之盟,treaty made under coercion; accept one's terms for surrender
执迷不悟,persist in one's wrong course; be perverse
堂堂正正,impressive or dignified in personal appearance; open and aboveboard
堂堂之阵,awe-inspiring military strength; an imposing array of troops
坚壁清野,strengthen the bulwarks and leave no provisions outside; strengthen the defences and clear the fields
坚不可摧,impregnable; indestructible
坚定不移,firm and unshakable; steadfast
坚甲利兵,strong armor and sharp weapons; 
坚信不疑,have infinite faith in; with confidence
坚贞不屈,faithful to the bitter end; stand firm and unyielding
坚持不懈,persistent; perseveringly
坚持不渝,stick to; persistent
坚忍不拔,firm and unyielding; 
坚韧不拔,bear up; keep a stiff upper lip
坚如磐石,solid as a rock; monolithic
报仇雪恨,take one's revenge; retaliate
涂脂抹粉,whitewash; prettify
塞翁失马,loss sometimes spells gain; nothing so bad as not to be good for something
墨汁未干,before the ink is dry; the ink was hardly dry
墨守成规,stick to established practice; methodism
壁垒森严,strongly fortified; sharply divided
壮志凌云,with soaring determination; 
寿比南山,"""may you live as long as the southern mountain"" (form; of birthday congratulations)"
寿终正寝,die a natural death; pass away peacefully
外强中干,"strong in appearance but weak in reality; apparently rich and successful, but actually in financial trouble"
多多益善,the more the merrier; plenty is no plague
多行不义必自毙,"if one keeps on doing unrighteous deeds, he is bound to come to ruin; give the rogue enough rope and he will hang himself"
多愁善感,sentimental; spooney
多事之秋,troubled times; a year of many troubles
多此一举,make an unnecessary move; uncalled for
多才多艺,gifted in many ways; many-sided
夙兴夜寐,rise early and retire late; hard at work night and day
夜郎自大,ignorant boast fulness; think no small beer of oneself
夜长梦多,a long delay means many hitches; there is many a slip between the cup and the lip
夜以继日,day and night; round the clock
梦寐以求,dream of; long cherished
梦幻泡影,a sheer illusion; pipe dream
大模大样,in an ostentatious manner; with a swagger
大谬不然,entirely wrong; grossly mistaken
大鸣大放,free airing of views; argue things out thoroughly
大名鼎鼎,well-known; famous
大发雷霆,go into a rage; an explosion of rage
大放厥词,talk a lot of nonsense; talk drivel
大风大浪,violent storms and waves; great storms
大腹便便,potbellied; big-bellied
大打出手,strike violently; attack brutally
大刀阔斧,deal with a matter summarily without regard to details; audacious
大敌当前,confronted by the sworn enemies; in the face of arch enemies
大庭广众,a public occasion; public
大同小异,largely identical but with minor differences; mostly alike except for slight differences
大逆不道,monstrous crime; impudent insubordination
大功告成,has been accomplished; be crowned with success
大公无私,just and selfless; selfless
大快人心,cheer the people greatly; make the people overjoyed
大海捞针,search for a needle in a haystack; 
大喊大叫,make a big clamor about ...; conduct vigorous propaganda
大旱望云霓,long for a rain cloud during a drought; look forward to relief from distress
大惑不解,be extremely puzzled; be unable to make head or tail of something
大惊小怪,a storm in a teacup; fussy
大惊失色,turn pale with fright; 
大器晚成,talent mature slowly; great vessels are long in reaching completion
大千世界,a universe of many universes; 
大权旁落,power has fallen into the hands of others; 
大喜过望,be overjoyed; be delighted with unexpectedly good results
大显神通,show what one is capable of; show ones magic power
大显身手,display one's talents to the full; cut a dashing figure
大相径庭,far apart; be widely divergent
大兴土木,go for large-scale construction; 
大智若愚,still waters run deep; the wisest man is often stupid-looking
大张旗鼓,on a grand scale; in a big way
大吃大喝,extravagant eating end drinking; eat and drink to one's heart's content
大吵大闹,make a scene; make a great hue and cry
大处落墨,pay attention to the important points; concentrate on the key points
大处着眼,keep the general goal in sight and take the daily tasks in hand; 
大吹大擂,brag about; make high-pitched loose talk
大是大非,major issues of principle; right and wrong on issues of major importance
大势所趋,the trend of the times; as things are going generally
大失所望,to one's great disappointment; be greatly disappointed
大势已去,the game is as good as lost; it is all up with
大杀风景,dampen the spirit; a fly in the ointment
大手大脚,wasteful; extravagant
大声疾呼,cry out for; shout at the top of one's voice
大书特书,write volumes about; it is clearly written
大慈大悲,infinite compassion and mercy; charitable
大材小用,waste or misuse of materials or talents; employ a steam-engine to crack a nut
大而无当,unwieldy; big but impractical
大义灭亲,punish one's own relatives in the cause of justice; cut off consanguinity for the sake of righteousness
大义凛然,inspiring awe by upholding justice; 
大摇大摆,strutting; swaggering
大有可为,have bright prospects; be well worth doing
大有人在,there are plenty of such people; such people are by no means rare
大有作为,be able to develop one's ability to the full; there is plenty of scope for one's talents
大言不惭,boast without shame; insolent enough to say
大鱼吃小鱼,the great fish eat up the small; 
大雨如注,the rain came down in sheets; the heavy rain pours down in torrents
天崩地坼,dreadful calamities; natural disasters like giant earthquakes and landslides
天不怕,nothing daunted; fear nothing at all
天马行空,a powerful and unconstrained style; a heavenly steed soaring across the skies
天南地北,poles apart; from different places or areas
天怒人怨,widespread indignation and discontent; the wrath of God and the resentment of men
天罗地网,tight encirclement; a gigantic net
天各一方,live far apart from each other; 
天高地厚,complexity of things; deep
天公地道,fair and reasonable; absolutely fair
天花乱坠,in superlative terms; talk somebody's head off
天昏地暗,in a state of chaos and darkness; dark all round
天经地义,nature's law and earth's way; very reasonable indeed
天下太平,all will be right with the world; all is quiet in the world
天下无敌,invincible; all-conquering
天下无双,unequalled in all the world; 
天下乌鸦一般黑,evil people are bad all over the world; crows are black the world over
天之骄子,an unusually lucky person; God's favored one
天真烂漫,naive; childish
天诛地灭,may the gods strike down!; may be destroyed by the gods!
天长地久,everlasting and unchanging; enduring as the universe
天长日久,after a considerable period of time; 
天壤之别,a world of difference; poles apart
天字第一号,the world's number one; A-1
天灾人祸,natural and man-made calamities; 
天造地设,heavenly; created by nature
天衣无缝,faultless; free from defect
天涯海角,the ends of the earth; the back of beyond
天有不测风云,something unexpected may happen any time; there are unexpected storms in nature
天无绝人之路,there is always a way out; Heaven never cuts off a man's means
天网恢恢,God's justice is inescapable; justice has a long arm
太公钓鱼,willingly play into somebody's hands; willingly fall into the snare
太岁头上动土,provoke somebody far superior in power or strength; 
失败为成功之母,failure is the mother of success; 
失之东隅,make up on the roundabouts what you lose on the swings; what one loses on the swings one gets back on the roundabouts
失之交臂,miss a good chance; miss something very desirable
失魂落魄,be scared out of one's wits; be driven to distraction
奄奄一息,on one's death bed; on one's last legs
奇谈怪论,fantastic stories and theories; ridiculous argument
奇货可居,hoard as a rare commodity to corner the market; set a high price and hold back
奇形怪状,grotesque or fantastic in shape or appearance; badly dressed appearance
奇珍异宝,very rare and valuable objects; 
奇装异服,outlandish clothes; bizarre dress
奇耻大辱,deep disgrace; crying shame and crowning humiliation
奇文共赏,a remarkable work should be shared and its subjects discussed; 
奉陪到底,take somebody on right to the very end; keep the enemy company and fight to the finish
奉公守法,law-abiding; respect justice and abide by the laws
奉行故事,fellow old customs; be formal
奉若神明,revere something as sacred; make a fetish of something
奔走相告,lose no time in telling each other the news; mouth)
奋不顾身,regardless of one's personal danger; with lost body
奋发图强,work hard for the prosperity of the country; go all out to make the country strong
奋起直追,do all one can do to catch up; encourage oneself and hurriedly catch up with
奴唇婢舌,loose-tongued like a slave or maid; 
奴颜婢膝,be subservient to; slavish
好大喜功,have a fondness for the grandiose; be ambitious for great achievements
好高骛远,aim too high; hitch one's wagon to a star
好好先生,a yesman; a man who is always polite and never says no
好汉不吃眼前亏,a wise man doesn't fight against impossible odds; a clever fellow will extricate himself from a disadvantageous position wherever possible
好景不常,good times don't fast long; the morning sun never lasts a day
好吃懒做,be fond of eating and averse to work; be gluttonous and lazy
好事多磨,the road to happiness is strewn with setbacks; the course of true love never did run smooth
好逸恶劳,love ease and hate work; eat one's head off
好为人师,like to lecture people; talk down to
如梦初醒,come to realize; as if awakening from a dream
如法炮制,do according to instructions; follow a set pattern
如汤沃雪,easily done; like melting snow by pouring hot water on it
如鸟兽散,flee helter-skelter; be utterly routed
如雷贯耳,reverberate like thunder; have resounded in one's ears
如狼牧羊,rule the people oppressively; like a wolf shepherding sheep
如狼似虎,like cruel beasts of prey; as ferocious as wolves and tigers
如临大敌,tense as a cat humping its back; as if confronted by a formidable enemy
如履薄冰,as if walking on thin ice; walking on egg-shells
如鲠在喉,like a fishbone getting stuck in the throat; give vent to one's pent-up feelings
如虎添翼,with might redoubled; like a tiger that has grown wings
如花似玉,as beautiful as flowers and jade; 
如获至宝,seem to have hit the jackpot; jump at something as a godsend
如火如荼,fiery; blazing and powerful
如饥似渴,with great eagerness; eagerly
如胶似漆,be deeply attached to each other; remain glued to each other
如箭在弦,poised to strike; like the arrow on the bow
如堕五里雾中,utterly mystified; as if lost in a thick fog
如出一辙,follow the same pattern; run in the same groove
如释重负,heave a sigh of relief; as if a big load has been taken off one's mind
如数家珍,can speak on a subject with great familiarity; like telling off one's family treasures
如日中天,to ride on the crest of success; very powerful
如入无人之境,breaking all resistance; like entering an unpeopled land
如坐针毡,feel as if sitting on a bed of nails; be on the anxious bench
如此而已,that's what it all adds up to; 
如丧考妣,look as if one had Lost one's parents; be pathetically anxious
如蚁附膻,a swarm of people running after unwholesome things or leaning on influential people for support; like ants seeking something rank-smelling
如意算盘,wishful thinking; wishful calculation
如影随形,like the shadow following the person; be a true reflection of what one is
如鱼得水,like fish let into the water; get along with one another swimmingly
如愿以偿,achieve what one wishes; fulfill one's utmost ambitions
妄自菲薄,inferiority complex; underestimate one's achievements
妄自尊大,have too high an opinion of oneself; have no small opinion of oneself
妖魔鬼怪,monsters of every description; evil spirits of all kinds
妖言惑众,wild rumors mislead the masses; strange doctrines win a large following
妙不可言,too wonderful for words; most intriguing
妙趣横生,full of wit and humour; very witty
妙手回春,effect a miraculous cure and bring the dying back to life; bring life back to a patient
妻离子散,with one's family broken up; breaking up or scattering of one's family
始终不懈,forever strive without cease; 
始终不渝,unswervingly; steadfast
始终如一,consistent; persistent
姗姗来迟,be late; be stow in coming
姑息养奸,toleration tends to breed traitors; foster evil propensities by being over lenient
姑妄听之,just let him talk and let's just listen; see no harm in hearing what somebody has to say
姑妄言之,tell somebody something for what it's worth; 
委曲求全,in a spirit of conciliation and compromise; be quite accommodating and care for over-all interests
威风凛凛,with great dignity; majestic-looking
威逼利诱,coercion and coaxing; big stick and carrot
威信扫地,completely discredited; prestige completely swept into the dust
威武不屈,not bow to pressure; firm and unyielding
娓娓动听,be pleasing to the ear; smooth-spoken
娓娓而谈,talk familiarly on and on; talk volubly
婆婆妈妈,womanishly fussy; maudlin
嫁祸于人,put blame on others; transfer the evil to another
嫣然一笑,the captivating smile of a woman; give a winsome smile
嬉皮笑脸,grinning cheekily; smiling and grimacing
娇生惯养,pampered since childhood; be spoiled
孑然一身,all alone in the world; lonely
字里行间,between the lines; 
字斟句酌,choose one's words with great care; refine on the wording
存而不论,leave it open; 
存亡绝续,be at stake; be upon death
孜孜不倦,tireless; diligent
孝子贤孙,filial offspring; dutiful sons of
孤芳自赏,indulge in self-admiration; narcissistic
孤陋寡闻,ignorant and ill-informed; solitary and inexperienced
孤立无援,left high and dry; stand without support
孤苦伶仃,sad and lonely; friendless and wretched
孤家寡人,a loner; be in the difficult position of being totally isolated
孤军奋战,fight in isolation; 
孤行己见,follow one's own bigoted course; 
孤掌难鸣,it's difficult to achieve anything without support; a weak minority
孤注一掷,stake everything on a single throw; sink or swim
学而不厌,have an insatiable desire to learn; grind away at one's studies
学以致用,learn in order to practise; study something in order to apply it
学无止境,there is no end to learning; knowledge is infinite
冗词赘句,verbose wording; redundant words
守口如瓶,be tight-mouthed; dumb as an oyster
守株待兔,wait for gains without pains; trust to chance and windfalls
安步当车,walk rather than ride; like to stretch one's legs
安不忘危,in time of peace do not forget danger; mindful of possible danger in time of peace
安民告示,a notice to reassure the public; advance notice
安分守己,be contented with one's lot; dutiful
安土重迁,hate to leave a place where one has lived long; fond of one's home and loathe to leave it for other parts
安家落户,settle down; make one's home in a place
安居乐业,quite contented with one's life and work; live a prosperous and contented life
安之若素,regard with equanimity; resign oneself with equanimity
安身立命,settle down and get on with one's pursuit; 
安然无恙,safe and sound; unscathed
安如磐石,as solid as a rock; great security
安如泰山,like a rock; rock-firm
安营扎寨,camp; encamp
安于现状,be content with things as they are; be satisfied with the existing state of affairs
完璧归赵,return a thing whole to its owner; return something to its owner in good condition
完美无缺,be flawless and perfect; faultless
官逼民反,the ruler's persecution drives the people to rebel; trend on a worm and it will turn
官官相护,bureaucrats shield each other; one official will protect another
官样文章,red tape; officialese
害群之马,a black sheep; one who brings disgrace on his group
宴安鸩毒,seeking pleasure is like drinking poisoned wine; 
家破人亡,"with the family broken up and decimated; with one's family broken up, some gone away, some dead"
家徒四壁,a house empty of all furniture; poor as a church mouse
家给人足,each family is provided for and; all live in plenty
家丑不可外扬,don't wash your dirty linen in public; it is an ill bird that fouls its own nest
家常便饭,common occurrence; routine
家喻户晓,widely known; every barber knows that
容光焕发,radiant beauty; freshly
密云不雨,trouble is brewing; dense clouds but no rain
寄人篱下,live under another's roof; sponge on another
寅吃卯粮,draw one's pay in advance; live beyond one's means
富丽堂皇,magnificent; sumptuous
富国强兵,enrich the nation and increase its military power; make one's country rich and build up its military power
富贵不能淫,neither riches nor honors can corrupt one; 
寒来暑往,with the passage; as summer goes and winter comes
察言观色,watch a person's every mood; carefully weigh up a person's words and closely watch his expression
宁缺毋滥,would rather go without than be contented with anything less satisfactory; put quality before quantity
宁死不屈,death before dishonor; prefer death to dishonour
宁为鸡口,would rather be a leader anywhere then a follower; better be the head of a dog than the tail of a lion
宁为玉碎,better to die in glory than survive with dishonor; better be a piece of broken jade than an unbroken tile
寡不敌众,hopelessly outnumbered; a few are no match for the many
寡廉鲜耻,shameless; brazen-faced
寡见少闻,have only limited knowledge; little read and uninformed
寥寥无几,very few; only a few
寥若晨星,few and far between; as sparse as the morning stars
实事求是,be practical and realistic; based on facts
审时度势,judge the hour and size up the situation; 
宽打窄用,budget liberally and spend sparingly; 
宽大为怀,liberal-minded; clemency
宽宏大量,magnanimity; large-minded
宠辱不惊,unmoved either by favor or disgrace; humiliation
寸步不离,not let out of one's sight; trail after
寸步难行,cannot walk a single step; find oneself hard to move a single step
寸土必争,contest every inch of land; fight for every inch of land
寸金难买寸光阴,time is more precious than gold; money can't buy time
寸草不留,not even so much as a blade of grass left; be devastated
封官许愿,promise high posts and other favors; offering high posts and personal fame
专横跋扈,despotic; presuming
专心致志,be bent on ...; with undivided attention
将功补过,make up for one's faults by good deeds; make up for one's mistakes by winning merit
将功赎罪,redeem sins by good deeds; expiate one's crime by good deeds
将计就计,counterplot; beat somebody at his own game
将信将疑,"indecision; half believing, half doubting"
将错就错,take the wrong and make the best of it; over shoes over boots
将欲取之,"in order to take, one must first give; give in order to take"
尊师重道,honor the teacher and respect his teachings; 
寻根究底,get to the bottom of things; sift a matter to the bottom
寻欢作乐,seek pleasure and make merry; 
寻章摘句,write in clichés without originality; look for quotes in order to criticize or to embellish one's writings
寻事生非,make trouble; seek quarrel
寻死觅活,repeatedly attempt suicide; try to commit suicide in order to give a scare
对牛弹琴,talk over people's heads; preach to deaf ears
对症下药,administer medicine according to the diagnosis; suit the remedy to the case
小不忍则乱大谋,lack of forbearance in small matters upsets great plans; who cannot take small insults or setbacks is liable to spoil big plans
小题大作,make a mountain out of a molehill; a storm in a teacup
小家碧玉,a pretty girl from a humble home; 
小巧玲珑,small and exquisite; 
小心翼翼,with great care; walk on egg shells
小丑跳梁,a contemptible wretch making trouble; 
小试锋芒,display only a small part of one's talent; 
小手小脚,timid; stingy
小恩小惠,petty favors; economic sops
小巫见大巫,feel dwarfed; the moon is not seen where the sun shines
少不更事,young and little-experienced; green
少头无尾,unfinished; imperfect
少年老成,a young person lacking in vigor and drive; have an old head on young shoulders
少见多怪,ignorant; shocked through lack of experience
少壮不努力,"laziness in youth spells regret in old age; idle young, needy old"
稍安勿躁,don't be impatient; wait for a while
尖酸刻薄,with biting sarcasm; tart and mean
就地取材,use local materials; draw on local resources
就事论事,judge the case as it stands; consider something as it stands
尸横遍野,a field littered with corpses; 
尸位素餐,hold down a job without doing a stroke of work; hold a sinecure job and eat white rice
尺短寸长,everyone has his strong and weak points; every man is useful according to his ability
尾大不掉,too cumbersome to be effective; the tail wagging the dog
局促不安,ill at ease; perturbed
居高临下,occupy a commanding position; overlook from a vantage point
居高自傲,pride oneself on one's merits; self-styled hero
居心叵测,harbor evil intentions; insidious
居安思危,maintain vigilance in peace time; be vigilant in peace time
屈打成招,confess to false charges under torture; obtain confessions under torture
屈指可数,can be counted an one's fingers - very few; 
屠门大嚼,stand before a butcher's and masticate vigorously - of one who ardently desiring the unattainable seeks to solace himself in this manner; 
屡教不改,refuse to correct one's errors despite repeated education; refuse to mend one's ways after repeated warnings
屡见不鲜,common occurrence; nothing new
屡试不爽,time-tested; stand repeated tests
屡次三番,repeatedly; many times
层出不穷,spring up one after another; emerge in an endless stream
履险如夷,handle a crisis without difficulty; cross a dangerous pass as easily as walking on level ground
山南海北,all over the land; south of the mountains and north of the seas - far and wide
山高水长,high as mountains and long as rivers - one's nobility or reputation lasts forever; deep grace and friendly sentiment
山清水秀,green hills and clean waters - picturesque scenery; green mountains and blue waters - beautiful country scene
山穷水尽,at the end of one's rope; be at the low-water mark
山珍海错,delicacies from land and sea; dainties of all kinds
山雨欲来风满楼,the turbulent wind precedes the mountain storm; the gale is raging and the storm is about to burst
岌岌可危,in a precarious situation; extremely hazardous
峥嵘岁月,eventful years; crowded months and years
岿然不动,steadfastly stand one's ground; lofty and unshakable
巍然屹立,stand rock-firm; stand as firm as a rock
川流不息,uninterrupted flow; never-ending
工力悉敌,the artistical attainments of both are well-matched; the workmanship of each vies with the other
左道旁门,heresy; heterodoxy
左顾右盼,glance left and right; cast one's glances about
左支右绌,not have enough money to cover the expenses; be in straitened circumstances
左右逢源,win advantage from both sides; have one's bread buttered on both sides
左右开弓,box somebody on both ears; kick with both feet
左右为难,in a dilemma; be in a quandary
巧妇难为无米之炊,you can't make something out of nothing; if you have no hand you can't make a fist
巧夺天工,wonderful workmanship excelling nature; surpass natural creation
巧立名目,concoct various pretexts; invent all sorts of names
巧取豪夺,secure by force or by trick; 
巧舌如簧,honeymouthed; have a silver tongue
巧言令色,pleasing words and smoothness of manner; fine words and an insinuating countenance
差强人意,just passable; barely satisfactory
差之毫厘,one false move may lose the game; a small discrepancy leads to a great error
己所不欲,do not do to others that which you do not wish to be done to yourself; don't do to others what you would not like others do to you
师心自用,self-opinionated; 
师直为壮,an army fighting for a just cause has high morale; a troop fighting for the just is invincible
师出无名,there is no excuse for the campaign; send army out without a righteous cause
席不暇暖,be constantly on the go; be in a tearing hurry
常备不懈,be ever prepared; all-time preparedness against war
平白无故,for no reason; gratuitously
平步青云,have a meteoric rise; rapidly go up in the world
平铺直叙,"tell in a simple, straightforward way; dull expressions"
平分秋色,have equal shares; go fifty-fifty
平淡无奇,very ordinary; pedestrian
平地风波,"a sudden, unexpected turn of events; a crisis out of nowhere"
平地楼台,start from scratch; high buildings rise from the ground
平地一声雷,a sudden big change; a sudden clap of thunder
平起平坐,sit as equals at the same table with; be on an equal footing
平心静气,calmly; dispassionately
平易近人,amiable and easy of approach; 
